name,instance,run_id,threshold_pretraining,test_incremental_only/micro/precision,test_incremental_only/macro_types/f1,test_incremental_finance-currency/macro_types/recall,test_incremental_finance-stock_exchange/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_finance-stock_exchange/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_example/precision,test/micro/f1,test/micro/precision,test/macro_example/recall,test_incremental_only/micro/recall,test/macro_types/precision,test_incremental/micro/recall,epoch,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_finance/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_finance/macro_types/precision,test_incremental/macro_example_exclusive/precision,threshold_incremental,test_incremental_finance-currency/macro_types/precision,test/macro_example/f1,test_incremental/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_finance-stock_exchange/macro_types/precision,test_pretraining/micro/precision,test/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_finance/macro_types/f1,test_incremental_finance-currency/macro_types/f1,test_incremental_only/macro_example_exclusive/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,lc477a8j,0.25,1.0,0.9189189076423644,0.800000011920929,0.9473683834075928,0.915700376033783,0.8999999761581421,0.01860053837299347,0.01913709193468094,0.8929163217544556,0.9060327410697936,0.9068255424499512,0.8500000238418579,0.8945369720458984,0.8666666746139526,65,0.8611111044883728,0.8175432085990906,0.8833333253860474,0.8666666746139526,0.925373077392578,1.0,0.8500000238418579,0.8801742792129517,0.8543088436126709,0.8909657597541809,1,0.9166667461395264,0.16,1.0,0.915700376033783,0.9285714626312256,0.9068255424499512,0.017745302990078926,0.8500000238418579,1.0,0.9060327410697936,0.9247506260871888,1.0,0.017745302990078926,0.8543088436126709,0.8175432085990906,0.8929163217544556,1.0,0.8500000238418579,0.9189189076423644,0.9247506260871888,0.017745302990078926,0.8801742792129517,0.018093250691890717,0.8945369720458984,0.9380530714988708,0.888888955116272,0.8500000238418579
no_init_box_kenn_bottom_up_adapter_bert_ms,0,rh3xdnuu,0.25,1.0,0.9189189076423644,0.800000011920929,0.9473683834075928,0.915700376033783,0.8999999761581421,0.01860053837299347,0.01913709193468094,0.8929163217544556,0.9060327410697936,0.9068255424499512,0.8500000238418579,0.8945369720458984,0.8666666746139526,41,0.8611111044883728,0.8175432085990906,0.8833333253860474,0.8666666746139526,0.925373077392578,1.0,0.8500000238418579,0.8801742792129517,0.8543088436126709,0.8909657597541809,1,0.9166667461395264,0.01,1.0,0.915700376033783,0.9285714626312256,0.9068255424499512,0.017745302990078926,0.8500000238418579,1.0,0.9060327410697936,0.9247506260871888,1.0,0.017745302990078926,0.8543088436126709,0.8175432085990906,0.8929163217544556,1.0,0.8500000238418579,0.9189189076423644,0.9247506260871888,0.017745302990078926,0.8801742792129517,0.018093250691890717,0.8945369720458984,0.9380530714988708,0.888888955116272,0.8500000238418579
smart_init_box_adapter_bert_ms,2,k79bxg28,0.25,0.9649122953414916,0.9410029053688048,0.8999999761581421,0.9333333373069764,0.9159449934959412,0.9333333373069764,0.018846958875656128,0.018905125558376312,0.8932081460952759,0.9057111144065856,0.907417058944702,0.9166666865348816,0.8932297229766846,0.8999999761581421,71,0.9055556058883668,0.8201575875282288,0.8833333253860474,0.9000000953674316,0.9402819275856018,0.9818181991577148,0.9166667461395264,0.8810457587242126,0.8551355004310608,0.9027692675590516,1,0.9055556058883668,0.29000000000000004,1.0,0.9159449934959412,0.939130425453186,0.907417058944702,0.018961522728204727,0.9000000357627869,0.9333333373069764,0.9057111144065856,0.9246346950531006,0.9666666984558104,0.018789144232869148,0.8551355004310608,0.8201575875282288,0.8932081460952759,0.9777778387069702,0.9166666269302368,0.9401710033416748,0.9246346950531006,0.01913709193468094,0.8810457587242126,0.018789144232869148,0.8932297229766846,0.9380530714988708,0.9473683834075928,0.9082568883895874
smart_init_box_adapter_bert_ms,1,z2xjsn0q,0.25,0.9824561476707458,0.9574085474014282,0.9333333373069764,0.9491525292396544,0.9161757826805116,0.9333333373069764,0.019163938239216805,0.019369056448340416,0.8934290409088135,0.9059350490570068,0.9075910449028016,0.9333333373069764,0.8938608169555664,0.9083333611488342,100,0.9166666269302368,0.8208112120628357,0.8833333253860474,0.908333420753479,0.9512317776679992,0.9909090995788574,0.9333333969116212,0.8812636137008667,0.8557799458503723,0.917952597141266,1,0.9277778267860411,0.33,1.0,0.9161757826805116,0.9478261470794678,0.9075910449028016,0.019397659227252007,0.9250000715255736,0.9655172228813172,0.9059350490570068,0.924924612045288,0.982758641242981,0.01931106485426426,0.8557799458503723,0.8208112120628357,0.8934290409088135,0.9885058403015136,0.9333333373069764,0.9572649598121644,0.924924612045288,0.01948503777384758,0.8812636137008667,0.01896311715245247,0.8938608169555664,0.9380530714988708,0.9655172228813172,0.9291480779647828
smart_init_box_adapter_bert_ms,0,dby8ywf5,0.25,1.0,0.9473683834075928,0.8666666746139526,0.9655172228813172,0.9160269498825072,0.9333333373069764,0.019040174782276154,0.01948503777384758,0.8932832479476929,0.9060959219932556,0.9072431325912476,0.8999999761581421,0.8945369720458984,0.8916666507720947,89,0.894444465637207,0.8195040225982666,0.8833333253860474,0.8916667103767395,0.94428151845932,1.0,0.9000000953674316,0.8808279037475586,0.8553781509399414,0.9120244383811952,1,0.9333333969116212,0.53,1.0,0.9160269498825072,0.9427312612533568,0.9072431325912476,0.018789146095514297,0.9000000953674316,1.0,0.9060959219932556,0.9249825477600098,1.0,0.018789146095514297,0.8553781509399414,0.8195040225982666,0.8932832479476929,1.0,0.8999999761581421,0.9473683834075928,0.9249825477600098,0.018789146095514297,0.8808279037475586,0.018615171313285828,0.8945369720458984,0.9380530714988708,0.9285714626312256,0.9000000953674316
no_init_kenn_horizontal_adapter_bert_ms,2,17er9poj,0.375,0.37748345732688904,0.6043527126312256,0.9333333373069764,0.7532467246055603,0.9152429699897766,0.9666666388511658,0.018336154520511627,0.01983298547565937,0.8979015350341797,0.8962448239326477,0.9151647090911864,0.949999988079071,0.8862046003341675,0.8166666626930237,18,0.8611111640930176,0.8650094270706177,0.6833333373069763,0.8166666626930237,0.7268112897872925,0.5104166865348816,0.9500000476837158,0.899564266204834,0.8754787445068359,0.8783019185066223,1,0.9500000476837158,0.02,0.26923078298568726,0.9152429699897766,0.6282051205635071,0.9151647090911864,0.01983298547565937,0.9500000476837158,0.6170212626457214,0.8962448239326477,0.9153212904930116,0.44312602281570435,0.01983298547565937,0.8754787445068359,0.8650094270706177,0.8979015350341797,0.6287506818771362,0.949999988079071,0.5402843952178955,0.9153212904930116,0.01983298547565937,0.899564266204834,0.017049407586455345,0.8862046003341675,0.8118811845779419,0.41791045665740967,0.9500000476837158
no_init_kenn_horizontal_adapter_bert_ms,1,1ecl2tbo,0.375,1.0,0.8888888359069824,0.7666666507720947,0.9090909361839294,0.9214470386505128,0.8333333134651184,0.016833504661917686,0.018441198393702507,0.9060919284820556,0.9147424697875975,0.9139527082443236,0.800000011920929,0.9080427885055542,0.7416666746139526,114,0.7611111402511597,0.8591270446777344,0.6833333373069763,0.7416666746139526,0.864353358745575,1.0,0.8000000715255737,0.8976035118103027,0.8829079270362854,0.80632483959198,1,0.8833334445953369,0.99,1.0,0.9214470386505128,0.8516746759414673,0.9139527082443236,0.016701461747288704,0.8000000715255737,1.0,0.9147424697875975,0.9290652275085448,1.0,0.016701461747288704,0.8829079270362854,0.8591270446777344,0.9060919284820556,1.0,0.7999999523162842,0.888888955116272,0.9290652275085448,0.016701461747288704,0.8976035118103027,0.015483646653592588,0.9080427885055542,0.8118811845779419,0.8679245114326477,0.8000000715255737
no_init_kenn_horizontal_adapter_bert_ms,0,2o742h9w,0.375,1.0,0.9565216898918152,0.8666666746139526,0.98305082321167,0.92206609249115,0.9666666388511658,0.018133016303181648,0.01983298547565937,0.9069333076477052,0.9148747324943542,0.9148341417312622,0.9166666865348816,0.9080427885055542,0.800000011920929,22,0.8388888835906982,0.8637022376060486,0.6833333373069763,0.800000011920929,0.91238671541214,1.0,0.9166667461395264,0.8991285562515259,0.8853176832199097,0.8685714602470398,1,0.9500000476837158,0.45,1.0,0.92206609249115,0.888888955116272,0.9148341417312622,0.01913709193468094,0.9166667461395264,1.0,0.9148747324943542,0.9294131994247437,1.0,0.01913709193468094,0.8853176832199097,0.8637022376060486,0.9069333076477052,1.0,0.9166666269302368,0.95652174949646,0.9294131994247437,0.01913709193468094,0.8991285562515259,0.016701461747288704,0.9080427885055542,0.8118811845779419,0.9285714626312256,0.9166667461395264
smart_init_kenn_hybrid_adapter_bert_ms,2,b31gh1cp,0.375,0.9818181991577148,0.9392789602279664,0.8999999761581421,0.931034505367279,0.9218629002571106,0.8999999761581421,0.017534930258989334,0.018673162907361984,0.9067135453224182,0.9146530628204346,0.9148051738739014,0.8999999761581421,0.9073425531387328,0.7916666865348816,18,0.8277778029441833,0.8630486726760864,0.6833333373069763,0.7916666865348816,0.9008595943450928,0.9895833134651184,0.9000000953674316,0.8989107012748718,0.8846414685249329,0.839923083782196,1,0.894444465637207,0.26,1.0,0.9218629002571106,0.8796296119689941,0.9148051738739014,0.01870175451040268,0.8916667103767395,0.9642857313156128,0.9146530628204346,0.929030418395996,0.9821428656578064,0.018615171313285828,0.8846414685249329,0.8630486726760864,0.9067135453224182,0.9880952835083008,0.8999999761581421,0.939130425453186,0.929030418395996,0.018789144232869148,0.8989107012748718,0.016527488827705383,0.9073425531387328,0.8118811845779419,0.9473683834075928,0.895814061164856
smart_init_kenn_top_down_adapter_bert_ms,2,pmio2tyk,0.375,0.8142856955528259,0.8775454163551331,0.9333333373069764,0.90625,0.9213022589683532,0.9666666388511658,0.01813535764813423,0.019369056448340416,0.9058796763420104,0.9122845530509948,0.9151647090911864,0.949999988079071,0.9008020162582396,0.8166666626930237,17,0.8611111640930176,0.8650094270706177,0.6833333373069763,0.8166666626930237,0.8689369559288025,0.8828828930854797,0.9500000476837158,0.899564266204834,0.8825429677963257,0.8686836957931519,1,0.9277778267860411,0.03,0.7777777910232544,0.9213022589683532,0.8484848141670227,0.9151647090911864,0.019478825852274895,0.9166667461395264,0.8529411554336548,0.9122845530509948,0.9275226593017578,0.8153594732284546,0.01913709193468094,0.8825429677963257,0.8650094270706177,0.9058796763420104,0.8769063353538513,0.949999988079071,0.8769230246543884,0.9275226593017578,0.01983298547565937,0.899564266204834,0.017049407586455345,0.9008020162582396,0.8118811845779419,0.8484848737716675,0.9330357909202576
smart_init_kenn_bottom_up_adapter_bert_ms,2,ultcw70a,0.375,1.0,0.9473683834075928,0.8999999761581421,0.9473683834075928,0.921880066394806,0.8999999761581421,0.01758589968085289,0.018789144232869148,0.9068132042884828,0.9148558974266052,0.9148051738739014,0.8999999761581421,0.9080427885055542,0.7916666865348816,18,0.8277778029441833,0.8630486726760864,0.6833333373069763,0.7916666865348816,0.9057750701904296,1.0,0.9000000953674316,0.8989107012748718,0.8849742412567139,0.8423645496368408,1,0.9000000953674316,0.25,1.0,0.921880066394806,0.8837209343910217,0.9148051738739014,0.018789144232869148,0.9000000953674316,1.0,0.9148558974266052,0.9290652275085448,1.0,0.018789144232869148,0.8849742412567139,0.8630486726760864,0.9068132042884828,1.0,0.8999999761581421,0.9473683834075928,0.9290652275085448,0.018789144232869148,0.8989107012748718,0.016527488827705383,0.9080427885055542,0.8118811845779419,0.9473683834075928,0.9000000953674316
smart_init_kenn_hybrid_adapter_bert_ms,1,y2k49v94,0.375,1.0,0.9090909361839294,0.8333333134651184,0.9090909361839294,0.9216238260269164,0.8333333134651184,0.01703704707324505,0.018441198393702507,0.9063324928283693,0.91478031873703,0.9143006801605223,0.8333333134651184,0.9080427885055542,0.7583333253860474,24,0.7833333611488342,0.8604342937469482,0.6833333373069763,0.7583333253860474,0.8785046935081482,1.0,0.8333333730697632,0.8980392217636108,0.883597731590271,0.8160744905471802,1,0.8833334445953369,0.96,1.0,0.9216238260269164,0.8625592589378357,0.9143006801605223,0.017397355288267136,0.8333333730697632,1.0,0.91478031873703,0.9290652275085448,1.0,0.017397355288267136,0.883597731590271,0.8604342937469482,0.9063324928283693,1.0,0.8333333134651184,0.9090909361839294,0.9290652275085448,0.017397355288267136,0.8980392217636108,0.015831593424081802,0.9080427885055542,0.8118811845779419,0.9090909361839294,0.833333432674408
smart_init_kenn_top_down_adapter_bert_ms,1,epktlq4d,0.375,1.0,0.899082601070404,0.800000011920929,0.9090909361839294,0.9215354919433594,0.8333333134651184,0.016935793682932854,0.018441198393702507,0.9062122106552124,0.9147613644599916,0.9141266942024232,0.8166666626930237,0.9080427885055542,0.75,24,0.7722222805023193,0.8597806692123413,0.6833333373069763,0.75,0.8714733719825745,1.0,0.8166667222976685,0.8978213667869568,0.8832529187202454,0.8112245202064514,1,0.8833334445953369,0.98,1.0,0.9215354919433594,0.8571428656578064,0.9141266942024232,0.017049409449100494,0.8166667222976685,1.0,0.9147613644599916,0.9290652275085448,1.0,0.017049409449100494,0.8832529187202454,0.8597806692123413,0.9062122106552124,1.0,0.8166666626930237,0.899082601070404,0.9290652275085448,0.017049409449100494,0.8978213667869568,0.015657620504498482,0.9080427885055542,0.8118811845779419,0.888888955116272,0.8166667819023132
smart_init_kenn_bottom_up_adapter_bert_ms,1,355qt16j,0.375,1.0,0.899082601070404,0.800000011920929,0.9090909361839294,0.9215354919433594,0.8333333134651184,0.016935793682932854,0.018441198393702507,0.9062122106552124,0.9147613644599916,0.9141266942024232,0.8166666626930237,0.9080427885055542,0.75,24,0.7722222805023193,0.8597806692123413,0.6833333373069763,0.75,0.8714733719825745,1.0,0.8166667222976685,0.8978213667869568,0.8832529187202454,0.8112245202064514,1,0.8833334445953369,0.96,1.0,0.9215354919433594,0.8571428656578064,0.9141266942024232,0.017049409449100494,0.8166667222976685,1.0,0.9147613644599916,0.9290652275085448,1.0,0.017049409449100494,0.8832529187202454,0.8597806692123413,0.9062122106552124,1.0,0.8166666626930237,0.899082601070404,0.9290652275085448,0.017049409449100494,0.8978213667869568,0.015657620504498482,0.9080427885055542,0.8118811845779419,0.888888955116272,0.8166667819023132
smart_init_kenn_hybrid_adapter_bert_ms,0,qeiyxdg1,0.375,0.9649122953414916,0.9410029053688048,0.8999999761581421,0.9333333373069764,0.9219356179237366,0.9333333373069764,0.017735103145241737,0.018905125558376312,0.9067339897155762,0.914469301700592,0.9148921370506288,0.9166666865348816,0.9067355990409852,0.800000011920929,22,0.838888943195343,0.8637022376060486,0.6833333373069763,0.800000011920929,0.9030241370201112,0.9795918464660645,0.9166667461395264,0.8991285562515259,0.8846958875656128,0.849511444568634,1,0.9055556058883668,0.15000000000000002,1.0,0.9219356179237366,0.8807339668273926,0.9148921370506288,0.018961522728204727,0.9000000953674316,0.9333333373069764,0.914469301700592,0.9290884137153624,0.9666666984558104,0.018789144232869148,0.8846958875656128,0.8637022376060486,0.9067339897155762,0.9777778387069702,0.9166666269302368,0.9401710033416748,0.9290884137153624,0.01913709193468094,0.8991285562515259,0.016701461747288704,0.9067355990409852,0.8118811845779419,0.9473683834075928,0.9082569479942322
smart_init_kenn_top_down_adapter_bert_ms,0,penjnpfc,0.375,0.9649122953414916,0.9410029053688048,0.8999999761581421,0.9333333373069764,0.9219356179237366,0.9333333373069764,0.017735103145241737,0.018905125558376312,0.9067339897155762,0.914469301700592,0.9148921370506288,0.9166666865348816,0.9067355990409852,0.800000011920929,22,0.838888943195343,0.8637022376060486,0.6833333373069763,0.800000011920929,0.9030241370201112,0.9795918464660645,0.9166667461395264,0.8991285562515259,0.8846958875656128,0.849511444568634,1,0.9055556058883668,0.4,1.0,0.9219356179237366,0.8807339668273926,0.9148921370506288,0.018961522728204727,0.9000000953674316,0.9333333373069764,0.914469301700592,0.9290884137153624,0.9666666984558104,0.018789144232869148,0.8846958875656128,0.8637022376060486,0.9067339897155762,0.9777778387069702,0.9166666269302368,0.9401710033416748,0.9290884137153624,0.01913709193468094,0.8991285562515259,0.016701461747288704,0.9067355990409852,0.8118811845779419,0.9473683834075928,0.9082569479942322
