name,instance,run_id,test_incremental_finance/macro_types/precision,epoch,test/macro_example/recall,test_incremental_finance-currency/macro_types/recall,test/micro/recall,test_incremental_only/macro_example/precision,test_incremental_finance-currency/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_finance-stock_exchange/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_finance/macro_types/recall,test_incremental_finance/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/macro_types/precision,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test/macro_types/recall,test/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/micro/f1,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_finance-stock_exchange/macro_types/f1,test/macro_types/f1,test/macro_example/f1,threshold_pretraining,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/f1,test_incremental_finance-currency/macro_types/precision,test_incremental_finance-stock_exchange/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test/micro/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,2tjaxrfq,1,48,0.9049988389015198,0.7666666507720947,0.8764705657958984,0.011830202303826807,0.8679245114326477,0.9049988389015198,0.7234042882919312,0.5666667222976685,0.36666667461395264,0.9056731462478638,0.6722222566604614,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.5666666626930237,1.0,1.0,0.011830202303826807,0.803076982498169,0.8945369720458984,0.9245187044143676,1.0,0.5666666626930237,0.8064321279525757,0.8908326029777527,0.8039867281913757,0.7234042882919312,0.01513569988310337,0.011830202303826807,0.8405797481536865,0.7250000238418579,0.8945369720458984,0.8908326029777527,0.9146546125411988,0.8764705657958984,0.5666667222976685,0.5365853905677795,0.8482027649879456,0.9146546125411988,0.25,1.0,0.9000000953674316,0.8482027649879456,0.016765698790550232,1.0,1.0,0.9245187044143676,0.5666667222976685,0.59,0.8064321279525757,0.7250000238418579,0.9056731462478638
no_init_box_kenn_bottom_up_adapter_bert_ms,0,z09ge8nn,1,70,0.904894471168518,0.6666666865348816,0.8766884803771973,0.012178149074316025,0.800000011920929,0.904894471168518,0.7368420958518982,0.5833333730697632,0.5,0.9056943655014038,0.6833333969116211,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.5833333730697632,1.0,1.0,0.012178149074316025,0.8081633448600769,0.8945369720458984,0.9245187044143676,1.0,0.5833333134651184,0.8070856928825378,0.8909554481506348,0.8118812441825867,0.736842155456543,0.015309672802686691,0.012178149074316025,0.8461538553237915,0.7333333492279053,0.8945369720458984,0.8909554481506348,0.9146013259887696,0.8766884803771973,0.5833333730697632,0.6666666865348816,0.8485641479492188,0.9146013259887696,0.25,1.0,0.9000000953674316,0.8485641479492188,0.01687188446521759,1.0,1.0,0.9245187044143676,0.5833333730697632,0.16,0.8070856928825378,0.7333333492279053,0.9056943655014038
smart_init_box_adapter_bert_ms,2,i0df48db,1,12,0.907417058944702,0.8999999761581421,0.8810457587242126,0.00956854596734047,0.6352941393852234,0.907417058944702,0.6470587849617004,0.6111111640930176,0.9333333373069764,0.8950863480567932,0.905555546283722,0.01264207810163498,0.8833333253860474,0.9380530714988708,0.9166666269302368,0.5,0.5,0.01913709193468094,0.7239853143692017,0.8749290704727173,0.918777585029602,0.6625766754150391,0.9166666865348816,0.8201575875282288,0.8880105018615723,0.7679623365402222,0.6470587849617004,0.018789144232869148,0.012758061289787292,0.7632508873939514,0.8999999761581421,0.8749290704727173,0.8880105018615723,0.9130619764328004,0.8810457587242126,0.9166667461395264,0.6588234901428223,0.8466584086418152,0.9130619764328004,0.25,0.6666666865348816,0.6055556535720825,0.8466584086418152,0.015114515088498592,0.4909090995788574,0.5090909004211426,0.918777585029602,0.4583333730697632,0.05,0.8201575875282288,0.9000000953674316,0.8950863480567932
smart_init_box_adapter_bert_ms,1,r47oydgh,1,154,0.9061876535415648,0.7666666507720947,0.8790849447250366,0.016005568206310272,0.8679245114326477,0.9061876535415648,0.8679245114326477,0.7666667103767395,0.7666666507720947,0.9059272408485411,0.8055555820465088,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.7666666507720947,1.0,1.0,0.016005568206310272,0.8608696460723877,0.8945369720458984,0.9245187044143676,1.0,0.7666666507720947,0.8142752647399902,0.8923042416572571,0.892307698726654,0.8679245114326477,0.017223382368683815,0.016005568206310272,0.904109537601471,0.824999988079071,0.8945369720458984,0.8923042416572571,0.915261447429657,0.8790849447250366,0.7666667699813843,0.8679245114326477,0.8525211811065674,0.915261447429657,0.25,1.0,0.9000000953674316,0.8525211811065674,0.017972225323319435,1.0,1.0,0.9245187044143676,0.7666667699813843,0.8200000000000001,0.8142752647399902,0.8250000476837158,0.9059272408485411
smart_init_box_adapter_bert_ms,0,ftgl762b,1,161,0.9052597880363464,0.6000000238418579,0.8777777552604675,0.013917884789407252,0.75,0.9052597880363464,0.800000011920929,0.6666666865348816,0.7333333492279053,0.9058003425598145,0.7388889193534851,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.6666666865348816,1.0,1.0,0.013917884789407252,0.8328359127044678,0.8945369720458984,0.9245766401290894,1.0,0.6666666865348816,0.810353696346283,0.8915688991546631,0.8498402237892151,0.800000011920929,0.016179541125893593,0.013917884789407252,0.8732393980026245,0.7749999761581421,0.8945369720458984,0.8915688991546631,0.9148163199424744,0.8777777552604675,0.6666666865348816,0.8461538553237915,0.8503669500350952,0.9148163199424744,0.25,1.0,0.9000000953674316,0.8503669500350952,0.017386969178915024,1.0,1.0,0.9245766401290894,0.6666666865348816,0.88,0.810353696346283,0.7750000953674316,0.9058003425598145
no_init_kenn_horizontal_adapter_bert_ms,2,3a8ds49i,1,132,0.9151647090911864,0.9333333373069764,0.899564266204834,0.01983298547565937,0.7000000476837158,0.9151647090911864,0.8142857551574707,0.9500000476837158,0.9666666388511658,0.9102733731269836,0.8611111640930176,0.01983298547565937,0.6833333373069763,0.8118811845779419,0.949999988079071,0.7633333206176758,0.7124999761581421,0.01983298547565937,0.8783019185066223,0.8987617492675781,0.9254697561264038,0.8099173307418823,0.949999988079071,0.8650094270706177,0.9048871397972108,0.8515620231628418,0.8464979529380798,0.017049407586455345,0.01983298547565937,0.8132780194282532,0.8166666626930237,0.8987617492675781,0.9048871397972108,0.920288383960724,0.899564266204834,0.9500000476837158,0.9666666388511658,0.8815626502037048,0.920288383960724,0.375,0.842222273349762,0.9500000476837158,0.8815626502037048,0.018336154520511627,0.5600000023841858,0.9666666388511658,0.9254697561264038,0.9500000476837158,0.08,0.8650094270706177,0.8166666626930237,0.9102733731269836
no_init_kenn_horizontal_adapter_bert_ms,1,1792ee7s,1,163,0.9130828380584716,0.6000000238418579,0.8965141773223877,0.01496172696352005,0.75,0.9130828380584716,0.8349514007568359,0.7166666984558105,0.8333333134651184,0.9146476984024048,0.7055555582046509,0.018441198393702507,0.6833333373069763,0.8118811845779419,0.7166666984558105,1.0,1.0,0.01496172696352005,0.7810527086257935,0.9080427885055542,0.9290072321891784,1.0,0.7166666388511658,0.855859100818634,0.9054901599884032,0.8273615837097168,0.8349514603614807,0.01461377926170826,0.01496172696352005,0.8235293626785278,0.699999988079071,0.9080427885055542,0.9054901599884032,0.920976221561432,0.8965141773223877,0.7166666984558105,0.9090909361839294,0.8811790347099304,0.920976221561432,0.375,1.0,0.8833334445953369,0.8811790347099304,0.01630590111017227,1.0,1.0,0.9290072321891784,0.7166666984558105,0.98,0.855859100818634,0.7000000476837158,0.9146476984024048
no_init_kenn_horizontal_adapter_bert_ms,0,1o9s0fga,1,174,0.914283275604248,0.800000011920929,0.8982570767402649,0.017745302990078926,0.8727272748947144,0.914283275604248,0.9107142686843872,0.8500000238418579,0.8999999761581421,0.9145962595939636,0.7944444417953491,0.018789144232869148,0.6833333373069763,0.8118811845779419,0.8500000238418579,0.9800000190734864,0.9807692170143129,0.017745302990078926,0.8280001282691956,0.9072585105895996,0.9290072321891784,0.9892473220825196,0.8500000238418579,0.8610878586769104,0.9063530564308168,0.8801829814910889,0.9103825688362122,0.016005568206310272,0.017745302990078926,0.8638497591018677,0.7666666507720947,0.9072585105895996,0.9063530564308168,0.9215864539146424,0.8982570767402649,0.8500000238418579,0.9473683834075928,0.8835704922676086,0.9215864539146424,0.375,0.9866666793823242,0.9000000953674316,0.8835704922676086,0.017286013811826706,0.959999978542328,1.0,0.9290072321891784,0.8500000238418579,0.03,0.8610878586769104,0.7666667103767395,0.9145962595939636
smart_init_kenn_hybrid_adapter_bert_ms,2,7ofoxo9f,1,142,0.9148051738739014,0.8999999761581421,0.8989107012748718,0.018789144232869148,0.9473683834075928,0.9148051738739014,0.9473683834075928,0.9000000953674316,0.8999999761581421,0.9148558974266052,0.8277778029441833,0.018789144232869148,0.6833333373069763,0.8118811845779419,0.8999999761581421,1.0,1.0,0.018789144232869148,0.8423645496368408,0.9080427885055542,0.9290652275085448,1.0,0.8999999761581421,0.8630486726760864,0.9068132042884828,0.9057750701904296,0.9473683834075928,0.016527488827705383,0.018789144232869148,0.8837209343910217,0.7916666865348816,0.9080427885055542,0.9068132042884828,0.921880066394806,0.8989107012748718,0.9000000953674316,0.9473683834075928,0.8849742412567139,0.921880066394806,0.375,1.0,0.9000000953674316,0.8849742412567139,0.01758589968085289,1.0,1.0,0.9290652275085448,0.9000000953674316,0.33,0.8630486726760864,0.7916666865348816,0.9148558974266052
smart_init_kenn_top_down_adapter_bert_ms,2,l8vmmhjs,1,142,0.914631187915802,0.8666666746139526,0.898692786693573,0.01844119653105736,0.9285714626312256,0.914631187915802,0.9380530714988708,0.8833333849906921,0.8999999761581421,0.9148370027542114,0.8166667222976685,0.018789144232869148,0.6833333373069763,0.8118811845779419,0.8833333253860474,1.0,1.0,0.01844119653105736,0.8376238346099854,0.9080427885055542,0.9290652275085448,1.0,0.8833333253860474,0.8623950481414795,0.9066931009292604,0.899082601070404,0.9380530714988708,0.016353514045476913,0.01844119653105736,0.8785046935081482,0.7833333611488342,0.9080427885055542,0.9066931009292604,0.9217917323112488,0.898692786693573,0.8833333849906921,0.9473683834075928,0.8846304416656494,0.9217917323112488,0.375,1.0,0.9000000953674316,0.8846304416656494,0.017486924305558205,1.0,1.0,0.9290652275085448,0.8833333849906921,0.64,0.8623950481414795,0.7833333611488342,0.9148370027542114
smart_init_kenn_bottom_up_adapter_bert_ms,2,owut5im3,1,56,0.9148051738739014,0.8999999761581421,0.8989107012748718,0.018789144232869148,0.9473683834075928,0.9148051738739014,0.939130425453186,0.9000000953674316,0.8999999761581421,0.9146530628204346,0.8277778029441833,0.018789144232869148,0.6833333373069763,0.8118811845779419,0.8999999761581421,0.9821428656578064,0.9818181991577148,0.018789144232869148,0.8423645496368408,0.9073425531387328,0.9288912415504456,0.9895833134651184,0.8999999761581421,0.8630486726760864,0.9067135453224182,0.9008595943450928,0.9392789602279664,0.016527488827705383,0.018789144232869148,0.8796296119689941,0.7916666865348816,0.9073425531387328,0.9067135453224182,0.9217944145202636,0.8989107012748718,0.9000000953674316,0.931034505367279,0.8846414685249329,0.9217944145202636,0.375,0.9880952835083008,0.9000000953674316,0.8846414685249329,0.01758589968085289,1.0,0.9642857313156128,0.9288912415504456,0.9000000953674316,0.15000000000000002,0.8630486726760864,0.7916666865348816,0.9146530628204346
smart_init_kenn_hybrid_adapter_bert_ms,1,bho5wy7c,1,60,0.913848340511322,0.7333333492279053,0.8976035118103027,0.016701461747288704,0.8461538553237915,0.913848340511322,0.888888955116272,0.8000000715255737,0.8666666746139526,0.9147424697875975,0.7611111402511597,0.018441198393702507,0.6833333373069763,0.8118811845779419,0.800000011920929,1.0,1.0,0.016701461747288704,0.80632483959198,0.9080427885055542,0.9290072321891784,1.0,0.800000011920929,0.8591270446777344,0.9060919284820556,0.864353358745575,0.888888955116272,0.01548364758491516,0.016701461747288704,0.8516746759414673,0.7416666746139526,0.9080427885055542,0.9060919284820556,0.9213654398918152,0.8976035118103027,0.8000000715255737,0.9285714626312256,0.8829079270362854,0.9213654398918152,0.375,1.0,0.8833334445953369,0.8829079270362854,0.016833502799272537,1.0,1.0,0.9290072321891784,0.8000000715255737,0.99,0.8591270446777344,0.7416666746139526,0.9147424697875975
smart_init_kenn_top_down_adapter_bert_ms,1,d19n4p6c,1,59,0.913848340511322,0.7333333492279053,0.8976035118103027,0.016701461747288704,0.8461538553237915,0.913848340511322,0.888888955116272,0.8000000715255737,0.8666666746139526,0.9147424697875975,0.7611111402511597,0.018441198393702507,0.6833333373069763,0.8118811845779419,0.800000011920929,1.0,1.0,0.016701461747288704,0.80632483959198,0.9080427885055542,0.9290072321891784,1.0,0.800000011920929,0.8591270446777344,0.9060919284820556,0.864353358745575,0.888888955116272,0.01548364758491516,0.016701461747288704,0.8516746759414673,0.7416666746139526,0.9080427885055542,0.9060919284820556,0.9213654398918152,0.8976035118103027,0.8000000715255737,0.9285714626312256,0.8829079270362854,0.9213654398918152,0.375,1.0,0.8833334445953369,0.8829079270362854,0.016833502799272537,1.0,1.0,0.9290072321891784,0.8000000715255737,0.99,0.8591270446777344,0.7416666746139526,0.9147424697875975
smart_init_kenn_bottom_up_adapter_bert_ms,1,wth0etec,1,55,0.913604736328125,0.699999988079071,0.8971677422523499,0.016005568206310272,0.8235293626785278,0.913604736328125,0.8679245114326477,0.7666667103767395,0.8333333134651184,0.9147045612335204,0.7388889193534851,0.018441198393702507,0.6833333373069763,0.8118811845779419,0.7666666507720947,1.0,1.0,0.016005568206310272,0.7963730692863464,0.9080427885055542,0.9290072321891784,1.0,0.7666666507720947,0.8578199148178101,0.9058513045310974,0.8498402237892151,0.8679245114326477,0.01513569988310337,0.016005568206310272,0.8405797481536865,0.7250000238418579,0.9080427885055542,0.9058513045310974,0.921241581439972,0.8971677422523499,0.7666667699813843,0.9090909361839294,0.8822171092033386,0.921241581439972,0.375,1.0,0.8833334445953369,0.8822171092033386,0.016625743359327316,1.0,1.0,0.9290072321891784,0.7666667699813843,0.99,0.8578199148178101,0.7250000238418579,0.9147045612335204
smart_init_kenn_hybrid_adapter_bert_ms,0,zox7noyu,1,76,0.9148051738739014,0.8999999761581421,0.8989107012748718,0.01844119653105736,0.9473683834075928,0.9148051738739014,0.923076868057251,0.8915888071060181,0.8999999761581421,0.914247751235962,0.8277778029441833,0.01855717971920967,0.6833333373069763,0.8118811845779419,0.8999999761581421,0.949999988079071,0.9473684430122375,0.018789144232869148,0.8374656438827515,0.906082034111023,0.9288564920425416,0.9693877696990968,0.8999999761581421,0.8630486726760864,0.9065143465995787,0.8918473124504089,0.9243243336677552,0.016527488827705383,0.0186135433614254,0.8715595602989197,0.7916666865348816,0.906082034111023,0.9065143465995787,0.9217773079872132,0.8989107012748718,0.9000000953674316,0.8999999761581421,0.884041965007782,0.9217773079872132,0.375,0.9666666984558104,0.888888955116272,0.884041965007782,0.017483623698353767,1.0,0.8999999761581421,0.9288564920425416,0.8833333849906921,0.16,0.8630486726760864,0.7916666865348816,0.914247751235962
smart_init_kenn_top_down_adapter_bert_ms,0,yrslqg58,1,76,0.9148051738739014,0.8999999761581421,0.8989107012748718,0.01844119653105736,0.9473683834075928,0.9148051738739014,0.923076868057251,0.8915888071060181,0.8999999761581421,0.914247751235962,0.8277778029441833,0.01855717971920967,0.6833333373069763,0.8118811845779419,0.8999999761581421,0.949999988079071,0.9473684430122375,0.018789144232869148,0.8374656438827515,0.906082034111023,0.9288564920425416,0.9693877696990968,0.8999999761581421,0.8630486726760864,0.9065143465995787,0.8918473124504089,0.9243243336677552,0.016527488827705383,0.0186135433614254,0.8715595602989197,0.7916666865348816,0.906082034111023,0.9065143465995787,0.9217773079872132,0.8989107012748718,0.9000000953674316,0.8999999761581421,0.884041965007782,0.9217773079872132,0.375,0.9666666984558104,0.888888955116272,0.884041965007782,0.017483623698353767,1.0,0.8999999761581421,0.9288564920425416,0.8833333849906921,0.42,0.8630486726760864,0.7916666865348816,0.914247751235962
