name,instance,run_id,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,threshold_incremental,threshold_pretraining,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_religion-religion/macro_types/recall,test_pretraining/micro/f1,test_incremental/micro/precision,test_incremental/macro_types/recall,epoch,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_religion-religion/macro_types/precision,test/macro_types/recall,test/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_pretraining/micro/recall,test_incremental/macro_types/precision,test/macro_types/f1,test/micro/f1,test_incremental_religion-religion/macro_types/f1,test_incremental/macro_example/precision,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test/macro_example/f1,test_incremental/micro/f1,test_incremental/micro/recall,test_pretraining/macro_types/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,zns0kqzb,0.8125,0.009046625345945358,0.9629629850387572,0.8125,0.009046625345945358,0.8522447347640991,0.8125,0.8161440491676331,0.8125,0.880096435546875,0.8813559412956238,0.8125,0.009046625345945358,0.9058396816253662,0.25,0.25,0.9052987694740297,0.915140688419342,0.9052987694740297,0.009046625345945358,0.009046625345945358,0.9629629850387572,0.8125,0.8925197720527649,0.9629629850387572,0.8125,34,0.8125,0.9246346950531006,0.8125,0.9629629850387572,0.8161440491676331,0.8916868567466736,0.8125,0.9246346950531006,0.880096435546875,0.9629629850387572,0.8522447347640991,0.8925197720527649,0.8813559412956238,0.009046625345945358,0.9058396816253662,0.8813559412956238,0.8813559412956238,0.915140688419342,0.8813559412956238,0.8125,0.8916868567466736
no_init_box_kenn_bottom_up_adapter_bert_ms,0,6r9ad3gw,0.8125,0.009046625345945358,0.9629629850387572,0.8125,0.009046625345945358,0.8522447347640991,0.8125,0.8161440491676331,0.8125,0.880096435546875,0.8813559412956238,0.8125,0.009046625345945358,0.9058396816253662,0.04,0.25,0.9052987694740297,0.915140688419342,0.9052987694740297,0.009046625345945358,0.009046625345945358,0.9629629850387572,0.8125,0.8925197720527649,0.9629629850387572,0.8125,34,0.8125,0.9246346950531006,0.8125,0.9629629850387572,0.8161440491676331,0.8916868567466736,0.8125,0.9246346950531006,0.880096435546875,0.9629629850387572,0.8522447347640991,0.8925197720527649,0.8813559412956238,0.009046625345945358,0.9058396816253662,0.8813559412956238,0.8813559412956238,0.915140688419342,0.8813559412956238,0.8125,0.8916868567466736
smart_init_box_adapter_bert_ms,2,vlxpip9t,1.0,0.011134307831525804,0.8205128312110901,1.0,0.011134307831525804,0.8529751300811768,1.0,0.8198940753936768,1.0,0.8814116716384888,0.9014084935188292,1.0,0.011134307831525804,0.9064486026763916,0.02,0.25,0.904205083847046,0.915110170841217,0.904205083847046,0.011134307831525804,0.011134307831525804,0.8205128312110901,1.0,0.8926628828048706,0.8205128312110901,1.0,6,1.0,0.9239387512207032,1.0,0.8205128312110901,0.8198940753936768,0.8888378739356995,1.0,0.9239387512207032,0.8814116716384888,0.8205128312110901,0.8529751300811768,0.8926628828048706,0.9014084935188292,0.011134307831525804,0.9064486026763916,0.9014084935188292,0.9014084935188292,0.915110170841217,0.9014084935188292,1.0,0.8888378739356995
smart_init_box_adapter_bert_ms,1,qcjjoe25,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.6900000000000001,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,15,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
smart_init_box_adapter_bert_ms,0,q7k1zl5e,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.22,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,5,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_kenn_horizontal_adapter_bert_ms,2,1loreegm,1.0,0.011134307831525804,0.3855421543121338,1.0,0.011134307831525804,0.8788627982139587,1.0,0.864309549331665,1.0,0.8996054530143738,0.5565217137336731,1.0,0.011134307831525804,0.9144456386566162,0.05,0.375,0.904163897037506,0.9174742698669434,0.904163897037506,0.011134307831525804,0.011134307831525804,0.3855421543121338,1.0,0.9018789529800416,0.3855421543121338,1.0,25,1.0,0.9205231070518494,1.0,0.3855421543121338,0.864309549331665,0.8939144611358643,1.0,0.9205231070518494,0.8996054530143738,0.3855421543121338,0.8788627982139587,0.9018789529800416,0.5565217137336731,0.011134307831525804,0.9144456386566162,0.5565217137336731,0.5565217137336731,0.9174742698669434,0.5565217137336731,1.0,0.8939144611358643
no_init_kenn_horizontal_adapter_bert_ms,1,g0hljps5,0.84375,0.009394572116434574,0.84375,0.84375,0.009394572116434574,0.8816341757774353,0.84375,0.8611845374107361,0.84375,0.8985094428062439,0.84375,0.84375,0.009394572116434574,0.9139527082443236,0.47,0.375,0.9133244156837464,0.9209247827529908,0.9133244156837464,0.009394572116434574,0.009394572116434574,0.84375,0.84375,0.9058563709259032,0.84375,0.84375,41,0.84375,0.9280039668083192,0.84375,0.84375,0.8611845374107361,0.9030786156654358,0.84375,0.9280039668083192,0.8985094428062439,0.84375,0.8816341757774353,0.9058563709259032,0.84375,0.009394572116434574,0.9139527082443236,0.84375,0.84375,0.9209247827529908,0.84375,0.84375,0.9030786156654358
no_init_kenn_horizontal_adapter_bert_ms,0,36c1jg71,1.0,0.011134307831525804,0.5,1.0,0.011134307831525804,0.8799676895141602,1.0,0.864309549331665,1.0,0.8996054530143738,0.6666666865348816,1.0,0.011134307831525804,0.9144456386566162,0.05,0.375,0.9079645872116088,0.9190270900726318,0.9079645872116088,0.011134307831525804,0.011134307831525804,0.5,1.0,0.9037657380104064,0.5,1.0,34,1.0,0.9236546158790588,1.0,0.5,0.864309549331665,0.8962036371231079,1.0,0.9236546158790588,0.8996054530143738,0.5,0.8799676895141602,0.9037657380104064,0.6666666865348816,0.011134307831525804,0.9144456386566162,0.6666666865348816,0.6666666865348816,0.9190270900726318,0.6666666865348816,1.0,0.8962036371231079
no_init_kenn_hybrid_adapter_bert_ms,2,2isuv9wg,1.0,0.011134307831525804,0.47058823704719543,1.0,0.011134307831525804,0.8796840310096741,1.0,0.864309549331665,1.0,0.8996054530143738,0.6399999856948853,1.0,0.011134307831525804,0.9144456386566162,0.03,0.375,0.907161831855774,0.9189839959144592,0.907161831855774,0.011134307831525804,0.011134307831525804,0.47058823704719543,1.0,0.9033678770065308,0.47058823704719543,1.0,32,1.0,0.9235676527023317,1.0,0.47058823704719543,0.864309549331665,0.8956153988838196,1.0,0.9235676527023317,0.8996054530143738,0.47058823704719543,0.8796840310096741,0.9033678770065308,0.6399999856948853,0.011134307831525804,0.9144456386566162,0.6399999856948853,0.6399999856948853,0.9189839959144592,0.6399999856948853,1.0,0.8956153988838196
no_init_kenn_top_down_adapter_bert_ms,2,xld4yzoo,1.0,0.011134307831525804,0.4923076927661896,1.0,0.011134307831525804,0.8798935413360596,1.0,0.864309549331665,1.0,0.8996054530143738,0.6597938537597656,1.0,0.011134307831525804,0.9144456386566162,0.16,0.375,0.9077637791633606,0.9190557599067688,0.9077637791633606,0.011134307831525804,0.011134307831525804,0.4923076927661896,1.0,0.9036661982536316,0.4923076927661896,1.0,34,1.0,0.9237126111984252,1.0,0.4923076927661896,0.864309549331665,0.8960497975349426,1.0,0.9237126111984252,0.8996054530143738,0.4923076927661896,0.8798935413360596,0.9036661982536316,0.6597938537597656,0.011134307831525804,0.9144456386566162,0.6597938537597656,0.6597938537597656,0.9190557599067688,0.6597938537597656,1.0,0.8960497975349426
