metric,projector,instance,family,subset,precision,recall,f1
test_incremental_only/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,1,art,10,1.0,1.0,1.0
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,1,art,10,0.9871795177459716,0.8717949390411377,0.9259063601493835
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,1,art,10,0.013221990317106249,0.013221990317106249,0.013221991248428822
test_incremental_art/macro_types,kenn_hybrid_adapter_bert_ms,1,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_hybrid_adapter_bert_ms,1,art,10,0.8868101835250854,0.864309549331665,0.8754153251647949
test/micro,kenn_hybrid_adapter_bert_ms,1,art,10,0.7199159264564514,0.8997372984886169,0.7998443245887756
test_pretraining/macro_example,kenn_hybrid_adapter_bert_ms,1,art,10,0.7712363600730896,0.9152517318725586,0.8370950222015381
test_pretraining/micro,kenn_hybrid_adapter_bert_ms,1,art,10,0.7199159264564514,0.8997372984886169,0.7998443245887756
test_incremental/micro,kenn_hybrid_adapter_bert_ms,1,art,10,0.051777433604002,0.8701298832893372,0.09773887693881989
test_incremental_art-film/macro_types,kenn_hybrid_adapter_bert_ms,1,art,10,0.030327213928103447,1.0,0.05886909365653992
test/macro_example,kenn_hybrid_adapter_bert_ms,1,art,10,0.7712363600730896,0.9152517318725586,0.8370950222015381
test_incremental_only/micro,kenn_hybrid_adapter_bert_ms,1,art,10,0.030327213928103447,1.0,0.05886909365653992
test_incremental/macro_example,kenn_hybrid_adapter_bert_ms,1,art,10,0.013395964168012142,0.011830202303826807,0.012564490549266338
test_pretraining/macro_types,kenn_hybrid_adapter_bert_ms,1,art,10,0.8868101835250854,0.864309549331665,0.8754153251647949
test_incremental/macro_types,kenn_hybrid_adapter_bert_ms,1,art,10,0.3688221275806427,0.8717948794364929,0.5183505415916443
test_incremental_only/macro_types,kenn_top_down_adapter_bert_ms,1,art,10,0.02955271489918232,0.9736841917037964,0.057364340871572495
test_incremental_only/macro_example_exclusive,kenn_top_down_adapter_bert_ms,1,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_top_down_adapter_bert_ms,1,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_top_down_adapter_bert_ms,1,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
test_incremental_art/macro_types,kenn_top_down_adapter_bert_ms,1,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_top_down_adapter_bert_ms,1,art,10,0.8867946863174438,0.8637832403182983,0.8751376867294312
test/micro,kenn_top_down_adapter_bert_ms,1,art,10,0.7198668718338013,0.8995183706283569,0.7997274994850159
test_pretraining/macro_example,kenn_top_down_adapter_bert_ms,1,art,10,0.7712363600730896,0.9150777459144592,0.8370222449302673
test_pretraining/micro,kenn_top_down_adapter_bert_ms,1,art,10,0.7198668718338013,0.8995183706283569,0.7997274994850159
test_incremental/micro,kenn_top_down_adapter_bert_ms,1,art,10,0.05104408413171768,0.8571428656578064,0.09635036438703536
test_incremental_art-film/macro_types,kenn_top_down_adapter_bert_ms,1,art,10,0.02955271489918232,0.9736841917037964,0.057364340871572495
test/macro_example,kenn_top_down_adapter_bert_ms,1,art,10,0.7712363600730896,0.9150777459144592,0.8370222449302673
test_incremental_only/micro,kenn_top_down_adapter_bert_ms,1,art,10,0.02955271489918232,0.9736841917037964,0.057364340871572495
test_incremental/macro_example,kenn_top_down_adapter_bert_ms,1,art,10,0.013395964168012142,0.011656228452920914,0.012465688399970531
test_pretraining/macro_types,kenn_top_down_adapter_bert_ms,1,art,10,0.8867946863174438,0.8637832403182983,0.8751376867294312
test_incremental/macro_types,kenn_top_down_adapter_bert_ms,1,art,10,0.368434876203537,0.8586369752883911,0.5156206488609314
test_incremental_only/macro_types,kenn_bottom_up_adapter_bert_ms,1,art,10,0.029576338827610016,0.9736841917037964,0.05740884691476822
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,1,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,1,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_bottom_up_adapter_bert_ms,1,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
test_incremental_art/macro_types,kenn_bottom_up_adapter_bert_ms,1,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_bottom_up_adapter_bert_ms,1,art,10,0.886795163154602,0.8637832403182983,0.8751379251480103
test/micro,kenn_bottom_up_adapter_bert_ms,1,art,10,0.719992995262146,0.8995183706283569,0.7998053431510925
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,1,art,10,0.771410346031189,0.9150777459144592,0.8371247053146362
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,1,art,10,0.719992995262146,0.8995183706283569,0.7998053431510925
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,1,art,10,0.05108359083533287,0.8571428656578064,0.09642075002193452
test_incremental_art-film/macro_types,kenn_bottom_up_adapter_bert_ms,1,art,10,0.029576338827610016,0.9736841917037964,0.05740884691476822
test/macro_example,kenn_bottom_up_adapter_bert_ms,1,art,10,0.771410346031189,0.9150777459144592,0.8371247053146362
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,1,art,10,0.029576338827610016,0.9736841917037964,0.05740884691476822
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,1,art,10,0.013395964168012142,0.011656228452920914,0.012465688399970531
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,1,art,10,0.886795163154602,0.8637832403182983,0.8751379251480103
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,1,art,10,0.3684467077255249,0.8586369752883911,0.5156322717666626
test_incremental_only/macro_types,kenn_hybrid_adapter_bert_ms,0,art,10,0.03037569858133793,1.0,0.058960430324077606
test_incremental_only/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,0,art,10,1.0,1.0,1.0
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,0,art,10,0.9871795177459716,0.8717949390411377,0.9259063601493835
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,0,art,10,0.013221990317106249,0.013221990317106249,0.013221991248428822
test_incremental_art/macro_types,kenn_hybrid_adapter_bert_ms,0,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_hybrid_adapter_bert_ms,0,art,10,0.8868111371994019,0.864309549331665,0.8754157423973083
test/micro,kenn_hybrid_adapter_bert_ms,0,art,10,0.7201682329177856,0.8997372984886169,0.800000011920929
test_pretraining/macro_example,kenn_hybrid_adapter_bert_ms,0,art,10,0.7715842723846436,0.9152517318725586,0.8372999429702759
test_pretraining/micro,kenn_hybrid_adapter_bert_ms,0,art,10,0.7201682329177856,0.8997372984886169,0.800000011920929
test_incremental/micro,kenn_hybrid_adapter_bert_ms,0,art,10,0.051857586950063705,0.8701298832893372,0.09788166731595992
test_incremental_art-film/macro_types,kenn_hybrid_adapter_bert_ms,0,art,10,0.03037569858133793,1.0,0.058960430324077606
test/macro_example,kenn_hybrid_adapter_bert_ms,0,art,10,0.7715842723846436,0.9152517318725586,0.8372999429702759
test_incremental_only/micro,kenn_hybrid_adapter_bert_ms,0,art,10,0.03037569858133793,1.0,0.058960430324077606
test_incremental/macro_example,kenn_hybrid_adapter_bert_ms,0,art,10,0.013395964168012142,0.011830202303826807,0.012564490549266338
test_pretraining/macro_types,kenn_hybrid_adapter_bert_ms,0,art,10,0.8868111371994019,0.864309549331665,0.8754157423973083
test_incremental/macro_types,kenn_hybrid_adapter_bert_ms,0,art,10,0.3688463866710663,0.8717948794364929,0.518374502658844
test_incremental_only/macro_types,kenn_top_down_adapter_bert_ms,0,art,10,0.03037569858133793,1.0,0.058960430324077606
test_incremental_only/macro_example_exclusive,kenn_top_down_adapter_bert_ms,0,art,10,1.0,1.0,1.0
test_incremental/macro_example_exclusive,kenn_top_down_adapter_bert_ms,0,art,10,0.9871795177459716,0.8717949390411377,0.9259063601493835
test_incremental_only/macro_example,kenn_top_down_adapter_bert_ms,0,art,10,0.013221990317106249,0.013221990317106249,0.013221991248428822
test_incremental_art/macro_types,kenn_top_down_adapter_bert_ms,0,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_top_down_adapter_bert_ms,0,art,10,0.8868111371994019,0.864309549331665,0.8754157423973083
test/micro,kenn_top_down_adapter_bert_ms,0,art,10,0.7201682329177856,0.8997372984886169,0.800000011920929
test_pretraining/macro_example,kenn_top_down_adapter_bert_ms,0,art,10,0.7715842723846436,0.9152517318725586,0.8372999429702759
test_pretraining/micro,kenn_top_down_adapter_bert_ms,0,art,10,0.7201682329177856,0.8997372984886169,0.800000011920929
test_incremental/micro,kenn_top_down_adapter_bert_ms,0,art,10,0.051857586950063705,0.8701298832893372,0.09788166731595992
test_incremental_art-film/macro_types,kenn_top_down_adapter_bert_ms,0,art,10,0.03037569858133793,1.0,0.058960430324077606
test/macro_example,kenn_top_down_adapter_bert_ms,0,art,10,0.7715842723846436,0.9152517318725586,0.8372999429702759
test_incremental_only/micro,kenn_top_down_adapter_bert_ms,0,art,10,0.03037569858133793,1.0,0.058960430324077606
test_incremental/macro_example,kenn_top_down_adapter_bert_ms,0,art,10,0.013395964168012142,0.011830202303826807,0.012564490549266338
test_pretraining/macro_types,kenn_top_down_adapter_bert_ms,0,art,10,0.8868111371994019,0.864309549331665,0.8754157423973083
test_incremental/macro_types,kenn_top_down_adapter_bert_ms,0,art,10,0.3688463866710663,0.8717948794364929,0.518374502658844
test_incremental_only/macro_types,kenn_bottom_up_adapter_bert_ms,0,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,0,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,0,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_bottom_up_adapter_bert_ms,0,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
test_incremental_art/macro_types,kenn_bottom_up_adapter_bert_ms,0,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_bottom_up_adapter_bert_ms,0,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test/micro,kenn_bottom_up_adapter_bert_ms,0,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,0,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,0,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,0,art,10,0.05112316086888313,0.8571428656578064,0.0964912325143814
test_incremental_art-film/macro_types,kenn_bottom_up_adapter_bert_ms,0,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test/macro_example,kenn_bottom_up_adapter_bert_ms,0,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,0,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,0,art,10,0.013395964168012142,0.011656228452920914,0.012465688399970531
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,0,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,0,art,10,0.3684585392475128,0.8586369752883911,0.515643835067749
test_incremental_only/macro_types,box_adapter_bert_ms,2,art,10,0.0139860138297081,1.0,0.027586206793785095
test_incremental_only/macro_example_exclusive,box_adapter_bert_ms,2,art,10,1.0,1.0,1.0
test_incremental/macro_example_exclusive,box_adapter_bert_ms,2,art,10,0.9871795177459716,0.9102563858032228,0.947158694267273
test_incremental_only/macro_example,box_adapter_bert_ms,2,art,10,0.013221990317106249,0.013221990317106249,0.013221991248428822
test_incremental_art/macro_types,box_adapter_bert_ms,2,art,10,0.7111111283302307,0.8205128312110901,0.7619048357009888
test/macro_types,box_adapter_bert_ms,2,art,10,0.8727073073387146,0.8198940753936768,0.8454766869544983
test/micro,box_adapter_bert_ms,2,art,10,0.5651929974555969,0.8815674185752869,0.6887881755828857
test_pretraining/macro_example,box_adapter_bert_ms,2,art,10,0.5609313249588013,0.9072083234786988,0.6932331919670105
test_pretraining/micro,box_adapter_bert_ms,2,art,10,0.5651929974555969,0.8815674185752869,0.6887881755828857
test_incremental/micro,box_adapter_bert_ms,2,art,10,0.02534395456314087,0.9090909361839294,0.04931313917040825
test_incremental_art-film/macro_types,box_adapter_bert_ms,2,art,10,0.0139860138297081,1.0,0.027586206793785095
