name,instance,run_id,test_incremental/micro/f1,test/macro_types/precision,test_incremental_person-artist/macro_types/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_person-artist-music/macro_types/precision,test/micro/f1,test_incremental_person-artist-actor/macro_types/f1,test/macro_types/recall,test_incremental_person-artist-music/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example/recall,test_incremental_person-artist-music/macro_types/recall,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_person-artist-author/macro_types/precision,test_incremental_person-artist-director/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_person-artist-actor/macro_types/precision,epoch,threshold_incremental,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental_person-artist-director/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_person-artist/macro_types/recall,test_pretraining/macro_example/precision,test/micro/precision,test/macro_example/recall,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-actor/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_pretraining/micro/recall,test_incremental_person-artist-director/macro_types/precision,threshold_pretraining,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_example/f1,test_incremental_person-artist-author/macro_types/recall,test_incremental_person-artist/macro_types/f1,test/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/precision
smart_init_box_adapter_bert_ms,1,izn3j9ix,0.6639999747276306,0.733687162399292,0.797468364238739,0.733687162399292,0.8303464651107788,0.2786885201931,0.7998470067977905,0.35754188895225525,0.6539925336837769,0.3469387888908386,0.6696535348892212,0.444643497467041,0.048470646142959595,0.45945945382118225,0.8182941675186157,0.8182941675186157,0.5123670101165771,0.4347345232963562,0.8584905862808228,0.6052631735801697,0.7998470067977905,0.43121692538261414,0.6539925336837769,0.5,51,0.28,0.6998313665390015,0.05073178932070732,0.7684674859046936,0.7666666507720947,0.7413926124572754,0.10204663872718812,0.6316590309143066,0.5743796825408936,0.11429040879011154,0.9032257795333862,0.8497799634933472,0.8338983058929443,0.7890582084655762,0.6026489734649658,0.27826085686683655,0.588447630405426,0.7890582084655762,0.5869295001029968,0.8497799634933472,0.6915513873100281,0.4921681582927704,0.5342947840690613,0.7684674859046936,0.5,0.26,0.49770990014076233,0.5805867314338684,0.8338983058929443,0.04957544803619385,0.4642857015132904,0.847058892250061,0.6915513873100281,0.09217233955860138,0.45501473546028137
smart_init_box_adapter_bert_ms,0,kwwjx2mf,0.6277778148651123,0.7251477241516113,0.797468364238739,0.7251477241516113,0.7648148536682129,0.19565217196941376,0.7925237417221069,0.5245901942253113,0.6659084558486938,0.30857139825820923,0.6978495121002197,0.4128497242927551,0.05208846926689148,0.7297297120094299,0.8153572678565979,0.8153572678565979,0.5124002695083618,0.46718287467956543,0.6384615302085876,0.5199999809265137,0.7925237417221069,0.5291005373001099,0.6659084558486938,0.4961240291595459,38,0.2,0.5772669315338135,0.04123499616980553,0.7752664685249329,0.8666666746139526,0.7297992706298828,0.10045089572668076,0.6879756450653076,0.6959226727485657,0.10527051240205763,0.9032257795333862,0.8399100303649902,0.810566782951355,0.7921993136405945,0.5092024207115173,0.5565217137336731,0.4282655119895935,0.7921993136405945,0.49982693791389465,0.8399100303649902,0.694266676902771,0.644096851348877,0.42541658878326416,0.7752664685249329,0.37142857909202576,0.26,0.47337275743484497,0.5817955136299133,0.810566782951355,0.04603060334920883,0.4234693944454193,0.847058892250061,0.694266676902771,0.09605327993631364,0.36983776092529297
no_init_kenn_hybrid_adapter_bert_ms,2,yeebtdu1,0.5525946617126465,0.8211402893066406,0.8231292366981506,0.8211402893066406,0.6268219947814941,0.13636364042758942,0.8177842497825623,0.2612612545490265,0.7871249914169312,0.2130177617073059,0.6603345274925232,0.3965957462787628,0.05130734667181969,0.4864864945411682,0.84670090675354,0.84670090675354,0.3783511817455292,0.4601769745349884,0.6774193644523621,0.2957746386528015,0.8177842497825623,0.4021163880825043,0.7871249914169312,0.2710280418395996,16,0.29000000000000004,0.5123537182807922,0.03885051608085632,0.8246967792510986,0.699999988079071,0.6431419849395752,0.0885232463479042,0.5996955633163452,0.546923041343689,0.08627692610025406,0.8673835396766663,0.8468266725540161,0.8109866380691528,0.8465752005577087,0.5250000357627869,0.25217390060424805,0.3199999928474426,0.8465752005577087,0.41908806562423706,0.8468266725540161,0.8037729859352112,0.4668079614639282,0.3180777430534363,0.8246967792510986,0.1875,0.33,0.35638919472694397,0.4745471775531769,0.8109866380691528,0.04421836882829666,0.4285714328289032,0.8446771502494812,0.8037729859352112,0.09088965505361556,0.34845131635665894
no_init_kenn_top_down_adapter_bert_ms,2,fn2po8ne,0.5587786436080933,0.8240683078765869,0.8231292366981506,0.8240683078765869,0.670967698097229,0.12871287763118744,0.8213628530502319,0.24468085169792175,0.7817515134811401,0.1884058117866516,0.6289128065109253,0.3766548037528992,0.04460614919662475,0.3513513505458832,0.84763503074646,0.84763503074646,0.3756333291530609,0.400073766708374,0.7613636255264282,0.33070865273475647,0.8213628530502319,0.32804232835769653,0.7817515134811401,0.31506848335266113,16,0.44,0.560490071773529,0.03967275097966194,0.8195516467094421,0.699999988079071,0.6492599248886108,0.08936533331871033,0.5570776462554932,0.4921143054962158,0.09235323220491408,0.8673835396766663,0.8512842059135437,0.8231819868087769,0.8440169095993042,0.47183096408843994,0.20000000298023224,0.34540390968322754,0.8440169095993042,0.4489538073539734,0.8512842059135437,0.8023523688316345,0.3982970118522644,0.35540997982025146,0.8195516467094421,0.2164948433637619,0.33,0.33649933338165283,0.4695443212985992,0.8231819868087769,0.041995059698820114,0.34183672070503235,0.8446771502494812,0.8023523688316345,0.08656470477581024,0.3558259606361389
no_init_kenn_bottom_up_adapter_bert_ms,2,zax6zy60,0.5524712204933167,0.8208568096160889,0.8231292366981506,0.8208568096160889,0.6168459057807922,0.15107913315296173,0.8165412545204163,0.2738589346408844,0.7906506061553955,0.23863637447357175,0.6765233278274536,0.4014182388782501,0.05480184406042099,0.5675675868988037,0.8466331362724304,0.8466331362724304,0.3895553052425385,0.49151915311813354,0.6716417670249939,0.2802547812461853,0.8165412545204163,0.43915343284606934,0.7906506061553955,0.261904776096344,16,0.2,0.497560977935791,0.03782272711396217,0.8272693753242493,0.7333333492279053,0.6453078389167786,0.08882135897874832,0.621004581451416,0.5828849673271179,0.08490379899740219,0.8673835396766663,0.8453090786933899,0.8060877323150635,0.8479612469673157,0.5454545021057129,0.2869565188884735,0.31558936834335327,0.8479612469673157,0.41619664430618286,0.8453090786933899,0.8054706454277039,0.5117602944374084,0.3144634962081909,0.8272693753242493,0.17322835326194763,0.33,0.36725664138793945,0.4856355190277099,0.8060877323150635,0.04475605487823486,0.4591836631298065,0.8446771502494812,0.8054706454277039,0.09311790764331818,0.33923304080963135
no_init_kenn_hybrid_adapter_bert_ms,1,sner6n6t,0.5984252691268921,0.8242130279541016,0.8231292366981506,0.8242130279541016,0.6735961437225342,0.145454540848732,0.8243353962898254,0.33980584144592285,0.7868746519088745,0.2176870554685593,0.696117103099823,0.4859146475791931,0.05965302139520645,0.4324324429035187,0.8495001792907715,0.8495001792907715,0.40354472398757935,0.5350294709205627,0.7200000286102295,0.2720000147819519,0.8243353962898254,0.46560847759246826,0.7868746519088745,0.3846153914928436,16,0.25,0.5648648738861084,0.04962176829576492,0.8291069269180298,0.5666666626930237,0.6846714019775391,0.09423943608999252,0.6362252831459045,0.544370174407959,0.09271501004695892,0.8673835396766663,0.8506148457527161,0.8196185231208801,0.8483884334564209,0.6242774128913879,0.30434781312942505,0.39461883902549744,0.8483884334564209,0.4504293203353882,0.8506148457527161,0.8051111698150635,0.46361684799194336,0.3572543263435364,0.8291069269180298,0.17894737422466278,0.33,0.42718446254730225,0.4929642379283905,0.8196185231208801,0.05417696759104729,0.5510203838348389,0.8446771502494812,0.8051111698150635,0.09581483155488968,0.44505900144577026
no_init_kenn_top_down_adapter_bert_ms,1,rr61t0rn,0.6039102673530579,0.8248937129974365,0.8231292366981506,0.8248937129974365,0.6842293739318848,0.14814814925193787,0.825359046459198,0.3482586741447449,0.7867746353149414,0.22068965435028076,0.6968936920166016,0.4960860908031464,0.06010524556040764,0.4324324429035187,0.849908173084259,0.849908173084259,0.4085266888141632,0.5390855669975281,0.7086092829704285,0.2956521809101105,0.825359046459198,0.46296295523643494,0.7867746353149414,0.4069767296314239,16,0.32,0.5759668350219727,0.051225125789642334,0.8289231657981873,0.5666666626930237,0.6905034780502319,0.0950421616435051,0.6347032189369202,0.5433497428894043,0.09417858719825745,0.8673835396766663,0.8514546751976013,0.8218254446983337,0.8483672738075256,0.6167147159576416,0.30434781312942505,0.4069767296314239,0.8483672738075256,0.4573726952075958,0.8514546751976013,0.8053833842277527,0.46234130859375,0.3659335374832154,0.8289231657981873,0.20000000298023224,0.33,0.4331683218479157,0.49666789174079895,0.8218254446983337,0.05531103163957596,0.545918345451355,0.8446771502494812,0.8053833842277527,0.09592172503471376,0.4594395160675049
no_init_kenn_bottom_up_adapter_bert_ms,1,jhs95ziy,0.5829725861549377,0.8234792351722717,0.8231292366981506,0.8234792351722717,0.6755077838897705,0.13461539149284363,0.822604238986969,0.3444976210594177,0.7846847772598267,0.19858156144618988,0.6753882765769958,0.4323718249797821,0.05451405793428421,0.37837839126586914,0.84883713722229,0.84883713722229,0.3868790566921234,0.4889380931854248,0.7089552283287048,0.25563907623291016,0.822604238986969,0.4285714328289032,0.7846847772598267,0.38297873735427856,16,0.24,0.554183840751648,0.04320835322141647,0.8265343904495239,0.5666666626930237,0.6754480004310608,0.09296990185976028,0.6149162650108337,0.5220332145690918,0.09297812730073927,0.8673835396766663,0.8505774736404419,0.8187113404273987,0.8471037745475769,0.575757622718811,0.313043475151062,0.3724137842655182,0.8471037745475769,0.4429454505443573,0.8505774736404419,0.80361407995224,0.4356955885887146,0.347899466753006,0.8265343904495239,0.1650485396385193,0.33,0.3985239863395691,0.47924837470054626,0.8187113404273987,0.04820721596479416,0.48469388484954834,0.8446771502494812,0.80361407995224,0.09296167641878128,0.387536883354187
no_init_kenn_hybrid_adapter_bert_ms,0,x861opcg,0.5730550289154053,0.8220744132995605,0.8231292366981506,0.8220744132995605,0.5783153772354126,0.1284916251897812,0.8169975876808167,0.40148699283599854,0.7985990643501282,0.21296297013759613,0.7321386337280273,0.48276758193969727,0.0670120045542717,0.6216216087341309,0.8467803001403809,0.8467803001403809,0.42904946208000183,0.6010324358940125,0.6547619104385376,0.30188676714897156,0.8169975876808167,0.5582010746002197,0.7985990643501282,0.350649356842041,16,0.19,0.49025973677635193,0.04497615620493889,0.835538387298584,0.800000011920929,0.6461989879608154,0.08894401043653488,0.689497709274292,0.6639589667320251,0.07960039377212524,0.8673835396766663,0.8417315483093262,0.799261748790741,0.851889967918396,0.6043955683708191,0.469565212726593,0.33492064476013184,0.851889967918396,0.4286157488822937,0.8417315483093262,0.8101667165756226,0.6131027936935425,0.3299873471260071,0.835538387298584,0.1860465109348297,0.33,0.4186508059501648,0.5209406018257141,0.799261748790741,0.05382608994841576,0.5612244606018066,0.8446771502494812,0.8101667165756226,0.1007729023694992,0.4033923149108886
no_init_kenn_top_down_adapter_bert_ms,0,yyhbblxd,0.5697367787361145,0.8220597505569458,0.8231292366981506,0.8220597505569458,0.6020908355712891,0.12790697813034058,0.8178861737251282,0.3935742974281311,0.7936018109321594,0.21052631735801697,0.7089008092880249,0.4608165025711059,0.06191416084766388,0.5945945978164673,0.846255898475647,0.846255898475647,0.41217172145843506,0.5553097724914551,0.6369426846504211,0.29411765933036804,0.8178861737251282,0.5052909851074219,0.7936018109321594,0.36567163467407227,16,0.32,0.5017381310462952,0.04390724748373032,0.831863284111023,0.6666666865348816,0.651144802570343,0.08962475508451462,0.6590563058853149,0.6129871606826782,0.08287288248538971,0.8673835396766663,0.8424984216690063,0.8043709993362427,0.8500469923019409,0.5665722489356995,0.426086962223053,0.3356766402721405,0.8500469923019409,0.42846596240997314,0.8424984216690063,0.8075801134109497,0.5493881106376648,0.3298001289367676,0.831863284111023,0.18867924809455872,0.33,0.40337908267974854,0.5043801665306091,0.8043709993362427,0.05137864500284195,0.5102040767669678,0.8446771502494812,0.8075801134109497,0.0975744128227234,0.3938053250312805
no_init_kenn_bottom_up_adapter_bert_ms,0,atgvgsr9,0.576877236366272,0.8210184574127197,0.8231292366981506,0.8210184574127197,0.5675626993179321,0.12886597216129303,0.8154613375663757,0.4589040875434875,0.8040297031402588,0.21645021438598633,0.7659498453140259,0.5203414559364319,0.07424765825271606,0.6756756901741028,0.8459703922271729,0.8459703922271729,0.4324461817741394,0.6659291982650757,0.5813953280448914,0.292397677898407,0.8154613375663757,0.6402116417884827,0.8040297031402588,0.3785310685634613,21,0.1,0.474045068025589,0.04760730266571045,0.8412348628044128,0.8333333134651184,0.6519992351531982,0.08974236994981766,0.7366818785667419,0.7193512916564941,0.07812037318944931,0.8673835396766663,0.837303876876831,0.7912201881408691,0.8548182845115662,0.6082724928855896,0.582608699798584,0.3328748345375061,0.8548182845115662,0.41784530878067017,0.837303876876831,0.8124352693557739,0.6823431849479675,0.31652432680130005,0.8412348628044128,0.1773049682378769,0.33,0.4380090534687042,0.5286290049552917,0.7912201881408691,0.058015376329422,0.6377550959587097,0.8446771502494812,0.8124352693557739,0.10542673617601396,0.42699113488197327
