name,instance,run_id,test_incremental/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_person-artist-director/macro_types/f1,threshold_incremental,test_incremental/macro_types/precision,test_incremental_person-artist-actor/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test/macro_example/recall,test_incremental_only/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental_person-artist-director/macro_types/recall,test_incremental/micro/f1,test_incremental_only/macro_types/precision,test_incremental_person-artist-director/macro_types/precision,test/micro/recall,test/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_pretraining/micro/precision,test_incremental_person-artist/macro_types/recall,test_incremental_person-artist-music/macro_types/recall,test/macro_example/precision,test_pretraining/macro_example/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_person-artist/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental_person-artist-actor/macro_types/precision,test_incremental_person-artist-music/macro_types/precision,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-actor/macro_types/recall,test_incremental_person-artist/macro_types/precision,test/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/micro/precision,test/macro_example/f1,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_person-artist-author/macro_types/precision,test/micro/f1,threshold_pretraining,epoch,test_pretraining/macro_types/precision,test_incremental_person-artist-music/macro_types/f1,test_incremental_person-artist-author/macro_types/recall
smart_init_box_adapter_bert_ms,1,ov5v2xto,0.9406392574310304,0.9274193048477172,0.1109057292342186,0.04,0.3018204867839813,0.35576924681663513,0.9734513163566588,0.08291364461183548,0.3006773591041565,0.458881139755249,0.9567553997039796,0.8081307411193848,0.9682539701461792,0.3017312288284302,0.06139615178108215,0.9701377749443054,1.0,0.4091360569000244,0.1779084950685501,0.05870841443538666,0.8057699203491211,0.6914803385734558,0.4048672616481781,0.7057353258132935,0.2614213228225708,0.1787109375,0.06376200169324875,0.6461833119392395,0.9032257795333862,0.945945918560028,0.7675571441650391,0.7675571441650391,0.7873215675354004,0.6914803385734558,0.04514060169458389,0.847058892250061,0.44605737924575806,0.7172064185142517,0.21807464957237244,0.06876228004693985,0.5314685702323914,0.9652174115180968,0.797468364238739,0.698535144329071,0.8081307411193848,0.5718831419944763,0.12765170633792877,0.10853477567434312,0.6023869514465332,0.6461833119392395,0.7873215675354004,0.8057699203491211,0.698535144329071,0.3660886287689209,0.7172064185142517,0.26,10,0.7057353258132935,0.12820513546466827,0.9693877696990968
smart_init_box_adapter_bert_ms,0,g3zzr7z3,0.9573820233345032,0.9402627944946288,0.05964214354753494,0.01,0.23500464856624603,0.204667866230011,0.997787594795227,0.08485745638608932,0.17246338725090027,0.3790187537670135,0.9789060354232788,0.8091420531272888,0.9973545074462892,0.173732727766037,0.06312283873558044,0.997826099395752,1.0,0.254913866519928,0.09438872337341309,0.030737705528736115,0.8077912330627441,0.6936519145965576,0.4203539788722992,0.699184775352478,0.14703132212162018,0.09515396505594254,0.06595054268836975,0.5052873492240906,0.9032257795333862,1.0,0.6436366438865662,0.6436366438865662,0.7169619202613831,0.6936519145965576,0.04686729237437248,0.847058892250061,0.4586021304130554,0.6216942071914673,0.11411411315202712,0.03767820820212364,0.3263946771621704,0.991304337978363,0.797468364238739,0.6964073777198792,0.8091420531272888,0.591512143611908,0.1294195055961609,0.11124815046787262,0.6165091395378113,0.5052873492240906,0.7169619202613831,0.8077912330627441,0.6964073777198792,0.19502487778663635,0.6216942071914673,0.26,10,0.699184775352478,0.0726202130317688,1.0
no_init_kenn_hybrid_adapter_bert_ms,2,iv58cbxy,0.7899543642997742,0.8024492263793945,0.15789474546909332,0.01,0.3781991004943848,0.40871933102607727,0.7330383062362671,0.08420031517744064,0.3921063244342804,0.5059301257133484,0.7639391422271729,0.8575286865234375,0.7328042387962341,0.3876836895942688,0.06803157180547714,0.7380779385566711,0.800000011920929,0.5184814929962158,0.2669665813446045,0.08759123831987381,0.847666323184967,0.8084010481834412,0.3359144628047943,0.8171315789222717,0.38587361574172974,0.2635585069656372,0.05136668309569359,0.7549918293952942,0.8673835396766663,0.7297297120094299,0.8284308314323425,0.8284308314323425,0.8427286148071289,0.8084010481834412,0.03745272010564804,0.8446771502494812,0.49426522850990295,0.7986496090888977,0.2976190447807312,0.1018867939710617,0.6622806787490845,0.6521739363670349,0.8231292366981506,0.8127428889274597,0.8575286865234375,0.4607091546058655,0.11045058071613312,0.08172997832298279,0.611734926700592,0.7549918293952942,0.8427286148071289,0.847666323184967,0.8127428889274597,0.5807692408561707,0.7986496090888977,0.33,12,0.8171315789222717,0.17880794405937195,0.7704081535339355
no_init_kenn_top_down_adapter_bert_ms,2,0o7xmfu2,0.8888888955116272,0.8826165199279785,0.12184873968362808,0.01,0.3278949558734894,0.3899613618850708,0.8967551589012146,0.08483932912349701,0.334294855594635,0.48240065574646,0.9122636318206788,0.8639571666717529,0.9047619104385376,0.32821497321128845,0.06517842411994934,0.9234836101531982,0.9666666388511658,0.4395935237407684,0.20408639311790464,0.06502242386341095,0.8596104383468628,0.8229426145553589,0.4118731617927551,0.8121998310089111,0.2919999957084656,0.20046892762184143,0.06293695420026779,0.6915003657341003,0.8673835396766663,0.945945918560028,0.795969545841217,0.795969545841217,0.8285710215568542,0.8229426145553589,0.04592172056436539,0.8446771502494812,0.4735364317893982,0.7664454579353333,0.2506203353404999,0.08027523010969162,0.5737439393997192,0.8782608509063721,0.8231292366981506,0.817535936832428,0.8639571666717529,0.5644832849502563,0.12148495018482208,0.09998355060815813,0.6163774728775024,0.6915003657341003,0.8285710215568542,0.8596104383468628,0.817535936832428,0.4204275608062744,0.7664454579353333,0.33,13,0.8121998310089111,0.14799153804779053,0.9030612111091614
no_init_kenn_bottom_up_adapter_bert_ms,2,kfe6khok,0.7427701950073242,0.7635602951049805,0.14785993099212646,0.02,0.38684412837028503,0.3963414430618286,0.6530236005783081,0.0841946005821228,0.38800710439682007,0.49526283144950867,0.6881179809570312,0.8543425798416138,0.6507936716079712,0.3880126476287842,0.07022693753242493,0.6433014869689941,0.6333333253860474,0.5301466584205627,0.27777284383773804,0.08370044082403183,0.8419698476791382,0.8009675741195679,0.29830384254455566,0.8179791569709778,0.4121621549129486,0.2764045000076294,0.04566068202257157,0.7702134847640991,0.8673835396766663,0.6756756901741028,0.8328092098236084,0.8328092098236084,0.843438446521759,0.8009675741195679,0.03325933218002319,0.8446771502494812,0.5102150440216064,0.8044947385787964,0.30516430735588074,0.1106194704771042,0.6523810029029846,0.5652173757553101,0.8231292366981506,0.8093839883804321,0.8543425798416138,0.4095318615436554,0.10509784519672394,0.07280874997377396,0.6116933226585388,0.7702134847640991,0.843438446521759,0.8419698476791382,0.8093839883804321,0.6116071343421936,0.8044947385787964,0.33,12,0.8179791569709778,0.19011405110359192,0.6989796161651611
no_init_kenn_hybrid_adapter_bert_ms,1,ma7b5ayv,0.6605783700942993,0.7062126398086548,0.09909910708665848,0.04,0.38173937797546387,0.33910036087036133,0.5446165204048157,0.08258022367954254,0.3428039848804474,0.449209988117218,0.5456512570381165,0.8493927121162415,0.5079365372657776,0.3465704023838043,0.07178095728158951,0.465218186378479,0.36666667461395264,0.516359269618988,0.2713918685913086,0.0572916679084301,0.8320470452308655,0.787000298500061,0.2300885021686554,0.8174786567687988,0.423828125,0.26301369071006775,0.03606899455189705,0.7821730971336365,0.8673835396766663,0.4864864945411682,0.8365156650543213,0.8365156650543213,0.8429049849510193,0.787000298500061,0.025653675198554993,0.8446771502494812,0.5215054154396057,0.8063396215438843,0.2816092073917389,0.095238097012043,0.6145552396774292,0.426086962223053,0.8231292366981506,0.8019500374794006,0.8493927121162415,0.3235037624835968,0.09720440208911896,0.06072191894054413,0.5999646186828613,0.7821730971336365,0.8429049849510193,0.8320470452308655,0.8019500374794006,0.6514285802841187,0.8063396215438843,0.33,11,0.8174786567687988,0.1592920422554016,0.581632673740387
no_init_kenn_top_down_adapter_bert_ms,1,4wtvpk6p,0.6834094524383545,0.7270609140396118,0.08494209498167038,0.060000000000000005,0.3682259917259216,0.3461538553237915,0.5896017551422119,0.08147497475147247,0.337265282869339,0.44843581318855286,0.5733209848403931,0.8507493734359741,0.5476190447807312,0.3365853428840637,0.06870580464601517,0.4998053312301636,0.36666667461395264,0.4980587661266327,0.254500150680542,0.04803493618965149,0.8348034024238586,0.7897130250930786,0.2511062026023865,0.8161538243293762,0.3917975425720215,0.24295774102211,0.03926952928304672,0.7685670852661133,0.8673835396766663,0.5405405163764954,0.8318443894386292,0.8318443894386292,0.8411906361579895,0.7897130250930786,0.027997037395834923,0.8446771502494812,0.4991637170314789,0.800317108631134,0.27411168813705444,0.08888889104127884,0.6146095395088196,0.469565212726593,0.8231292366981506,0.8027157187461853,0.8507493734359741,0.35220950841903687,0.10007400065660477,0.06573754549026489,0.5919346213340759,0.7685670852661133,0.8411906361579895,0.8348034024238586,0.8027157187461853,0.606965184211731,0.800317108631134,0.33,11,0.8161538243293762,0.15267175436019895,0.6224489808082581
no_init_kenn_bottom_up_adapter_bert_ms,1,s55t3q2l,0.6453576683998108,0.6964755058288574,0.07692307978868484,0.05,0.38232457637786865,0.3333333432674408,0.5276548862457275,0.0831787958741188,0.3298089802265167,0.4364032745361328,0.5083009600639343,0.8485211133956909,0.48148149251937866,0.3411434292793274,0.07345831394195557,0.4185303449630738,0.2666666805744171,0.5170731544494629,0.27212342619895935,0.04494382068514824,0.830209493637085,0.7833384871482849,0.21312685310840607,0.8175360560417175,0.4313326478004456,0.2641509473323822,0.03385185822844505,0.7860125303268433,0.8673835396766663,0.4324324429035187,0.8381989002227783,0.8381989002227783,0.8433284163475037,0.7833384871482849,0.0237625390291214,0.8446771502494812,0.5336917638778687,0.8075066804885864,0.28143712878227234,0.08938547223806381,0.6149584650993347,0.40869563817977905,0.8231292366981506,0.8000720143318176,0.8485211133956909,0.30361825227737427,0.09586416184902193,0.058830782771110535,0.604313313961029,0.7860125303268433,0.8433284163475037,0.830209493637085,0.8000720143318176,0.6727272868156433,0.8075066804885864,0.33,11,0.8175360560417175,0.14814813435077667,0.5663265585899353
no_init_kenn_hybrid_adapter_bert_ms,0,cvuxmx5v,0.7792998552322388,0.7961170673370361,0.1733333319425583,0.01,0.37984251976013184,0.41551247239112854,0.7241888046264648,0.08387692272663116,0.39188849925994873,0.5044100284576416,0.7505487203598022,0.8570712208747864,0.7142857313156128,0.38654258847236633,0.06794112920761108,0.7213400602340698,0.8666666746139526,0.5197969675064087,0.26902085542678833,0.0962962955236435,0.8463799953460693,0.8070882558822632,0.34218287467956543,0.8172926902770996,0.38994669914245605,0.26496565341949463,0.05181865766644478,0.7578150629997253,0.8673835396766663,0.6216216087341309,0.8294588327407837,0.8294588327407837,0.8430389761924744,0.8070882558822632,0.03815161809325218,0.8446771502494812,0.49360817670822144,0.7996527552604675,0.3048780560493469,0.09090909361839294,0.6547085642814636,0.6521739363670349,0.8231292366981506,0.8121584057807922,0.8570712208747864,0.46476292610168457,0.10957901179790495,0.08074329793453217,0.6093854308128357,0.7578150629997253,0.8430389761924744,0.8463799953460693,0.8121584057807922,0.5839999914169312,0.7996527552604675,0.33,11,0.8172926902770996,0.158620685338974,0.7448979616165161
no_init_kenn_top_down_adapter_bert_ms,0,b3k27jvq,0.7153729200363159,0.7514336705207825,0.1597222089767456,0.060000000000000005,0.37152183055877686,0.3734939992427826,0.6386430263519287,0.08226755261421204,0.3618122637271881,0.4741451144218445,0.6550994515419006,0.8531844019889832,0.60317462682724,0.34889060258865356,0.06829468905925751,0.6020283699035645,0.7666666507720947,0.5,0.2586199939250946,0.08914728462696075,0.8386622667312622,0.7977304458618164,0.3016224205493927,0.8164769411087036,0.3843008875846863,0.24542519450187683,0.04568314552307129,0.7621910572052002,0.8673835396766663,0.45945945382118225,0.830583930015564,0.830583930015564,0.8417325019836426,0.7977304458618164,0.03362933546304703,0.8446771502494812,0.4961768388748169,0.7986001968383789,0.2857142984867096,0.07083333283662796,0.614634096622467,0.539130449295044,0.8231292366981506,0.8069947957992554,0.8531844019889832,0.4097333550453186,0.10342870652675629,0.07120539247989655,0.5976929068565369,0.7621910572052002,0.8417325019836426,0.8386622667312622,0.8069947957992554,0.5887850522994995,0.7986001968383789,0.33,12,0.8164769411087036,0.12274368107318878,0.6428571343421936
