name,instance,run_id,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_person-artist/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental_person-artist-director/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_person-artist-music/macro_types/f1,test_incremental_only/macro_types/recall,threshold_incremental,test_incremental_only/macro_example_exclusive/precision,test_incremental_person-artist-music/macro_types/recall,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-director/macro_types/precision,test_pretraining/macro_types/precision,test/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_person-artist-author/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_incremental/macro_example/precision,test_incremental/micro/precision,test_incremental_person-artist-actor/macro_types/recall,test_incremental_person-artist-music/macro_types/precision,threshold_pretraining,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_person-artist-actor/macro_types/f1,test/macro_example/f1,test_incremental/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_person-artist-director/macro_types/recall,test_incremental/micro/recall,test_incremental_person-artist-actor/macro_types/precision,test_incremental/macro_example/recall,epoch,test_incremental_person-artist/macro_types/recall,test_incremental_person-artist-author/macro_types/precision,test_incremental_person-artist/macro_types/precision,test_pretraining/micro/precision,test_incremental/macro_example/f1,test/macro_types/f1,test/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test/micro/f1,test_incremental_only/micro/f1
smart_init_box_adapter_bert_ms,1,t5bsu2c7,0.7962663173675537,0.6904686093330383,0.847058892250061,0.7496788501739502,0.2391449511051178,0.04481171071529389,0.8042998909950256,0.14851485192775726,0.8018156290054321,0.0629395842552185,0.17073170840740204,0.9572384357452391,0.06999999999999999,0.4019173979759216,0.945945918560028,0.6468531489372253,0.08021390438079834,0.7105040550231934,0.8074427843093872,0.10569807142019272,0.5645067691802979,0.9438775777816772,0.8042998909950256,0.8074427843093872,0.915949821472168,0.38212716579437256,0.9480088353157043,0.7020047903060913,0.06142081692814827,0.3364589214324951,0.939130425453186,0.0938337817788124,0.26,0.9464359283447266,0.3504614531993866,0.7962663173675537,0.6001092195510864,0.4417177438735962,0.8018156290054321,0.49392712116241455,0.44623658061027527,1.0,0.9284626841545104,0.28877004981040955,0.12607300281524658,14,0.9032257795333862,0.49202126264572144,0.797468364238739,0.7020047903060913,0.08260013163089752,0.7003430724143982,0.7105040550231934,0.5115119814872742,0.23870974779129028,0.6904686093330383,0.7003430724143982,0.9470899701118468,0.7496788501739502,0.3818666338920593
smart_init_box_adapter_bert_ms,0,yjtkgoev,0.7697231769561768,0.6912097930908203,0.847058892250061,0.7183479070663452,0.17993079125881195,0.04526393860578537,0.805402398109436,0.114068441092968,0.7883812189102173,0.06379920989274979,0.13011153042316437,0.9666883945465088,0.05,0.4059734642505646,0.945945918560028,0.5331453084945679,0.060483869165182114,0.7057658433914185,0.8079662322998047,0.1080414354801178,0.572216808795929,0.9642857313156128,0.805402398109436,0.8079662322998047,0.9250298738479614,0.30106601119041443,0.969026505947113,0.6482768654823303,0.06186482310295105,0.2633604109287262,0.95652174949646,0.06986027956008911,0.26,0.9539958238601683,0.302131712436676,0.7697231769561768,0.604974091053009,0.35031846165657043,0.7883812189102173,0.4112149775028229,0.4494623839855194,1.0,0.9375951290130616,0.2144249528646469,0.12732282280921936,14,0.9032257795333862,0.3684210479259491,0.797468364238739,0.6482768654823303,0.08326975256204605,0.6984119415283203,0.7057658433914185,0.4589221477508545,0.17829754948616028,0.6912097930908203,0.6984119415283203,0.9629629850387572,0.7183479070663452,0.3032069802284241
no_init_kenn_hybrid_adapter_bert_ms,2,6sos5f3o,0.8259164094924927,0.8055034875869751,0.8446771502494812,0.7969613075256348,0.258541077375412,0.036178261041641235,0.8482175469398499,0.12377849221229552,0.841410756111145,0.05030883103609085,0.1656050980091095,0.7011340856552124,0.01,0.32448381185531616,0.7027027010917664,0.6779661178588867,0.06859205663204193,0.8165578842163086,0.8574975728988647,0.08255220949649811,0.451221227645874,0.8163265585899353,0.8482175469398499,0.8574975728988647,0.8064516186714172,0.37896227836608887,0.7404129505157471,0.7515467405319214,0.06551553308963776,0.379084974527359,0.6521739363670349,0.09386281669139862,0.33,0.7343840599060059,0.372347354888916,0.8259164094924927,0.5986404418945312,0.40760868787765503,0.841410756111145,0.5132743120193481,0.47598567605018616,0.6333333253860474,0.7945205569267273,0.2964426875114441,0.11100147664546968,18,0.8673835396766663,0.5797101259231567,0.8231292366981506,0.7515467405319214,0.0823979601264,0.8109930157661438,0.8165578842163086,0.4941505491733551,0.25965192914009094,0.8055034875869751,0.8109930157661438,0.7407407164573669,0.7969613075256348,0.3832991123199463
no_init_kenn_top_down_adapter_bert_ms,2,mbnlau3h,0.8313941955566406,0.7965283393859863,0.8446771502494812,0.8010503649711609,0.25974026322364807,0.03190264850854874,0.8408673405647278,0.10486891120672226,0.842444121837616,0.04445675760507584,0.17037037014961243,0.5867016315460205,0.08,0.2861357033252716,0.6216216087341309,0.6542923450469971,0.05907173082232475,0.8166025876998901,0.8537917137145996,0.07330209016799927,0.39873382449150085,0.7193877696990967,0.8408673405647278,0.8537917137145996,0.7629629373550415,0.36053499579429626,0.6574483513832092,0.7648336887359619,0.06928958743810654,0.3957307040691376,0.539130449295044,0.09871244430541992,0.33,0.6428380012512207,0.3728036880493164,0.8313941955566406,0.6065841913223267,0.371257483959198,0.842444121837616,0.5141333341598511,0.5034050345420837,0.46666666865348816,0.7336377501487732,0.2831050157546997,0.10501562058925629,19,0.8673835396766663,0.6000000238418579,0.8231292366981506,0.7648336887359619,0.08349135518074036,0.8064405918121338,0.8166025876998901,0.4719230830669403,0.26022231578826904,0.7965283393859863,0.8064405918121338,0.6349206566810608,0.8010503649711609,0.36866357922554016
no_init_kenn_bottom_up_adapter_bert_ms,2,38wbdtaq,0.8259525299072266,0.805062472820282,0.8446771502494812,0.7963058948516846,0.25529953837394714,0.03572603315114975,0.847666323184967,0.12377849221229552,0.8413085341453552,0.0497492216527462,0.16455695033073425,0.6955108046531677,0.01,0.32042771577835083,0.7027027010917664,0.6708860397338867,0.06859205663204193,0.8162825107574463,0.8572462201118469,0.08189442753791809,0.4462020695209503,0.8112244606018066,0.847666323184967,0.8572462201118469,0.8031660914421082,0.3743984401226044,0.7345132827758789,0.7508137822151184,0.06572932004928589,0.3763596713542938,0.634782612323761,0.09318996220827104,0.33,0.7298853397369385,0.3695380985736847,0.8259525299072266,0.5989560484886169,0.3989071249961853,0.8413085341453552,0.509823203086853,0.4775388538837433,0.6333333253860474,0.7899543642997742,0.2908366620540619,0.11054924875497818,18,0.8673835396766663,0.5719424486160278,0.8231292366981506,0.7508137822151184,0.08244141191244125,0.810633659362793,0.8162825107574463,0.4906579852104187,0.2561402916908264,0.805062472820282,0.810633659362793,0.7328042387962341,0.7963058948516846,0.3786739706993103
no_init_kenn_hybrid_adapter_bert_ms,1,9sw6baqh,0.8416299819946289,0.7729520797729492,0.8446771502494812,0.8081943392753601,0.22975517809391025,0.017924683168530464,0.8191841244697571,0.06557377427816391,0.8423241972923279,0.024779731407761577,0.12154695391654968,0.28610336780548096,0.27,0.16076695919036865,0.29729729890823364,0.4698413014411926,0.03921568766236305,0.8159384727478027,0.8430196046829224,0.04012497887015343,0.2222500741481781,0.37755101919174194,0.8191841244697571,0.8430196046829224,0.6176224946975708,0.2678321897983551,0.3598819971084595,0.7974955439567566,0.0765087902545929,0.44121211767196655,0.269565224647522,0.0763888880610466,0.33,0.4023594260215759,0.3660295605659485,0.8416299819946289,0.5851126909255981,0.269565224647522,0.8423241972923279,0.4912280738353729,0.5558542013168335,0.20000000298023224,0.5540334582328796,0.269565224647522,0.08501069247722626,18,0.8673835396766663,0.6218487620353699,0.8231292366981506,0.7974955439567566,0.08053598552942276,0.7938637733459473,0.8159384727478027,0.3833356499671936,0.25175464153289795,0.7729520797729492,0.7938637733459473,0.32275131344795227,0.8081943392753601,0.2684268355369568
no_init_kenn_top_down_adapter_bert_ms,1,otbbkcko,0.8398251533508301,0.7760950326919556,0.8446771502494812,0.8066407442092896,0.23024055361747744,0.02096694707870483,0.8213891983032227,0.09000000357627869,0.8419255614280701,0.028251048177480698,0.11398963630199432,0.32617658376693726,0.24,0.18805310130119324,0.29729729890823364,0.4861538410186768,0.05294117704033851,0.8160253167152405,0.8440364599227905,0.043290577828884125,0.25338438153266907,0.4030612111091614,0.8213891983032227,0.8440364599227905,0.6320788860321045,0.2848778963088989,0.38827431201934814,0.7924126982688904,0.07432165741920471,0.4292237460613251,0.30434781312942505,0.07051282376050949,0.33,0.4344179630279541,0.36691540479660034,0.8398251533508301,0.5824017524719238,0.28925618529319763,0.8419255614280701,0.4905414581298828,0.5399641990661621,0.30000001192092896,0.5722983479499817,0.27559053897857666,0.08700048923492432,18,0.8673835396766663,0.6124030947685242,0.8231292366981506,0.7924126982688904,0.08016283810138702,0.7955594062805176,0.8160253167152405,0.3978235423564911,0.2528619170188904,0.7760950326919556,0.7955594062805176,0.35449734330177307,0.8066407442092896,0.27916666865348816
no_init_kenn_bottom_up_adapter_bert_ms,1,d7fx96tv,0.8316094279289246,0.7950401306152344,0.8446771502494812,0.8030983209609985,0.262790709733963,0.029107052832841873,0.8382947444915771,0.11811023950576782,0.8419776558876038,0.04096909239888191,0.17120622098445892,0.5677258372306824,0.02,0.2610619366168976,0.5945945978164673,0.6356967687606812,0.0669642835855484,0.8171328902244568,0.8526076078414917,0.06914980709552765,0.36745285987854,0.6632652878761292,0.8382947444915771,0.8526076078414917,0.7442054748535156,0.3631763756275177,0.6202065348625183,0.7707383036613464,0.06742312014102936,0.4055459201335907,0.5130434632301331,0.10000000149011612,0.33,0.627657413482666,0.3782125115394592,0.8316094279289246,0.5908108353614807,0.37106916308403015,0.8419776558876038,0.5168415307998657,0.4898447096347809,0.5,0.7123287916183472,0.29064038395881653,0.10243380069732666,17,0.8673835396766663,0.6103286147117615,0.8231292366981506,0.7707383036613464,0.08132028579711914,0.8059350848197937,0.8171328902244568,0.472005158662796,0.2669833302497864,0.7950401306152344,0.8059350848197937,0.5978835821151733,0.8030983209609985,0.365105003118515
no_init_kenn_hybrid_adapter_bert_ms,0,4vjozpaf,0.8347936868667603,0.7923390865325928,0.8446771502494812,0.8059622645378113,0.26753246784210205,0.02766814641654491,0.8346196413040161,0.1599999964237213,0.842982292175293,0.03899521008133888,0.14166666567325592,0.5332876443862915,0.11,0.24815633893013,0.45945945382118225,0.6068601608276367,0.0923076942563057,0.817776620388031,0.8513332009315491,0.06602532416582108,0.3497491180896759,0.5867347121238708,0.8346196413040161,0.8513332009315491,0.7271803617477417,0.36304208636283875,0.5921828746795654,0.7792074084281921,0.0706627145409584,0.42105263471603394,0.48695650696754456,0.08374384045600891,0.33,0.6001068353652954,0.3847784996032715,0.8347936868667603,0.601857602596283,0.3684210479259491,0.842982292175293,0.520627498626709,0.5133811235427856,0.6000000238418579,0.6818873882293701,0.29629629850387573,0.10009044408798218,17,0.8673835396766663,0.6284152865409851,0.8231292366981506,0.7792074084281921,0.08284078538417816,0.8048568964004517,0.817776620388031,0.4689037501811981,0.2751907706260681,0.7923390865325928,0.8048568964004517,0.5449735522270203,0.8059622645378113,0.3588850200176239
no_init_kenn_top_down_adapter_bert_ms,0,cj9950id,0.8335410356521606,0.791857123374939,0.8446771502494812,0.8033265471458435,0.25436410307884216,0.028778161853551865,0.834252119064331,0.1531914919614792,0.8422385454177856,0.04011500999331474,0.13545817136764526,0.5271430611610413,0.17,0.2581120729446411,0.45945945382118225,0.6015424132347107,0.08780487626791,0.8167253136634827,0.8511193990707397,0.06618976593017578,0.3597926199436188,0.5969387888908386,0.834252119064331,0.8511193990707397,0.7269414663314819,0.34983840584754944,0.5936577916145325,0.7746118307113647,0.06973358988761902,0.40693432092666626,0.4521739184856415,0.07943925261497498,0.33,0.5951911211013794,0.37405505776405334,0.8335410356521606,0.5971128940582275,0.34098362922668457,0.8422385454177856,0.5088419914245605,0.5066308379173279,0.6000000238418579,0.6788432002067566,0.27368420362472534,0.10005755722522736,18,0.8673835396766663,0.606217622756958,0.8231292366981506,0.7746118307113647,0.0821877121925354,0.8040989637374878,0.8167253136634827,0.45939671993255615,0.26178649067878723,0.791857123374939,0.8040989637374878,0.5396825671195984,0.8033265471458435,0.3457627594470978
