name,instance,run_id,test/micro/f1,test/micro/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test/macro_example/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_pretraining/micro/f1,test_pretraining/macro_example/recall,test_incremental_people-ethnicity/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_people/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_types/recall,test_incremental/micro/recall,test_pretraining/micro/precision,test/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test/macro_types/precision,test_incremental/macro_example_exclusive/f1,epoch,test_pretraining/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,threshold_incremental,test/macro_types/f1,test_incremental/micro/f1,test_incremental/macro_example/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test_incremental_people-ethnicity/macro_types/precision,test/macro_example/f1,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test_incremental_people-ethnicity/macro_types/recall,threshold_pretraining,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental_people/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_people/macro_types/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,o7x7pi5p,0.892960250377655,0.9052228927612304,0.011134307831525804,0.011482255533337591,0.9248086214065552,0.9411764740943908,0.8187175989151001,0.9411764740943908,0.9248086214065552,0.892960250377655,0.9062456488609314,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.8187175989151001,0.9411764740943908,0.9052228927612304,0.8810254335403442,0.8534459471702576,0.9411764740943908,0.8912511467933655,0.955656111240387,30,0.9154330492019652,0.9411764740943908,0.011134307831525804,0.9705882668495178,0.01,0.8534459471702576,0.9411764740943908,0.011305605061352251,0.8912511467933655,0.9411764740943908,0.9062456488609314,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.9154330492019652,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.25,0.8810254335403442,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.9411764740943908
no_init_box_kenn_bottom_up_adapter_bert_ms,0,fj143pcd,0.8917297124862671,0.9050090312957764,0.007654836401343346,0.011134307831525804,0.9245187044143676,0.7586207389831543,0.8128352165222168,0.9289215803146362,0.9245187044143676,0.8917297124862671,0.905114769935608,0.7586207389831543,0.6470588445663452,0.9411764740943908,0.6470588445663452,0.8128352165222168,0.7941176295280457,0.9050090312957764,0.8788343667984009,0.8500158190727234,0.7586207389831543,0.8907608985900879,0.8614158034324646,35,0.9147137999534608,0.7941176891326904,0.007654836401343346,0.9411765336990356,0.03,0.8500158190727234,0.8571428656578064,0.010190723463892937,0.8907608985900879,0.7941176891326904,0.905114769935608,0.8562463521957397,0.009394573047757149,0.9166666865348816,0.6470588445663452,0.9166666865348816,0.9147137999534608,0.931034505367279,0.007654836401343346,0.6470588445663452,0.25,0.8788343667984009,0.6470588445663452,0.9411764740943908,0.9166666865348816,0.9411764740943908,0.6470588445663452
smart_init_box_adapter_bert_ms,2,3aecaqx6,0.8922221660614014,0.9050946831703186,0.009046625345945358,0.011134307831525804,0.9245187044143676,0.8387096524238586,0.8151881694793701,0.9348739385604858,0.9245187044143676,0.8922221660614014,0.9055207371711732,0.8387096524238586,0.7647058963775635,0.9411764740943908,0.7647058963775635,0.8151881694793701,0.8529411554336548,0.9050946831703186,0.8797107934951782,0.8514092564582825,0.8387096524238586,0.8909990191459656,0.8948891162872314,8,0.9149210453033448,0.8529411554336548,0.009046625345945358,0.9411765336990356,0.8,0.8514092564582825,0.8923077583312988,0.010586719028651714,0.8909990191459656,0.8529411554336548,0.9055207371711732,0.8920300602912903,0.01009046658873558,0.9285714030265808,0.7647058963775635,0.9285714030265808,0.9149210453033448,0.9354838728904724,0.009046625345945358,0.7647058963775635,0.25,0.8797107934951782,0.7647058963775635,0.9411764740943908,0.9285714030265808,0.9411764740943908,0.7647058963775635
smart_init_box_adapter_bert_ms,1,wm16coxr,0.8928373456001282,0.9052015542984008,0.010786361061036588,0.011134307831525804,0.9245766401290894,0.9253731369972228,0.8181293606758118,0.9402852058410645,0.9245766401290894,0.8928373456001282,0.9061006307601928,0.9253731369972228,0.9117647409439088,0.9411764740943908,0.9117647409439088,0.8181293606758118,0.9264705777168274,0.9052015542984008,0.8808063268661499,0.8531098961830139,0.9253731369972228,0.891215443611145,0.933765709400177,6,0.9152454137802124,0.9264705777168274,0.010786361061036588,0.9411765336990356,0.46,0.8531098961830139,0.9333333373069764,0.011046635918319224,0.891215443611145,0.9264706373214722,0.9061006307601928,0.933326780796051,0.010960333980619907,0.939393937587738,0.911764681339264,0.939393937587738,0.9152454137802124,0.9402984976768494,0.010786361061036588,0.911764681339264,0.25,0.8808063268661499,0.911764681339264,0.9411764740943908,0.939393937587738,0.9411764740943908,0.9117647409439088
smart_init_box_adapter_bert_ms,0,st05rpvy,0.8886680006980896,0.8959910869598389,0.011830202303826807,0.011830201372504234,0.9202041625976562,0.5862069129943848,0.8198940753936768,0.6779053211212158,0.9202041625976562,0.8886680006980896,0.9064486026763916,0.5862069129943848,1.0,0.9411764740943908,1.0,0.8198940753936768,0.970588207244873,0.8959910869598389,0.8814636468887329,0.8492193818092346,0.5862069129943848,0.8807202577590942,0.9850746989250184,6,0.913274586200714,0.970588207244873,0.011830201372504234,1.0,0.02,0.8492193818092346,0.717391312122345,0.011653631925582886,0.8807202577590942,0.9705882668495178,0.9064486026763916,0.7982645034790039,0.011482255533337591,0.4146341383457184,1.0,0.4146341383457184,0.913274586200714,0.568965494632721,0.011830201372504234,1.0,0.25,0.8814636468887329,1.0,0.9411764740943908,0.4146341383457184,0.9411764740943908,1.0
no_init_kenn_horizontal_adapter_bert_ms,2,3m3vqhwv,0.9043631553649902,0.9095744490623474,0.011134307831525804,0.011134307831525804,0.9246984720230104,0.7111111283302307,0.8631330728530884,0.7181467413902283,0.9246984720230104,0.9043631553649902,0.9143876433372498,0.7111111283302307,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.8631330728530884,0.9411764740943908,0.9095744490623474,0.8992112278938293,0.88004469871521,0.7111111283302307,0.8976322412490845,0.9411764740943908,23,0.9195141792297364,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.17,0.88004469871521,0.7950310111045837,0.011134307831525804,0.8976322412490845,0.9411764740943908,0.9143876433372498,0.8146729469299316,0.011134307831525804,0.5714285969734192,0.9411764740943908,0.5714285969734192,0.9195141792297364,0.6881720423698425,0.011134307831525804,0.9411764740943908,0.375,0.8992112278938293,0.9411764740943908,0.9014084339141846,0.5714285969734192,0.8648648858070374,0.9411764740943908
no_init_kenn_horizontal_adapter_bert_ms,1,1wu6qad4,0.9020901918411256,0.90587717294693,0.00974251888692379,0.011830201372504234,0.92252379655838,0.5384615063667297,0.8607801198959351,0.6324324607849121,0.92252379655838,0.9020901918411256,0.9140976667404176,0.5384615063667297,0.8235294222831726,0.9411764740943908,0.8235294222831726,0.8607801198959351,0.8823529481887817,0.90587717294693,0.898334801197052,0.8771736025810242,0.5384615063667297,0.8942036628723145,0.9375,19,0.9182913899421692,0.8823529481887817,0.00974251888692379,1.0,0.18000000000000002,0.8771736025810242,0.6857143044471741,0.011090814135968683,0.8942036628723145,0.8823529481887817,0.9140976667404176,0.736775815486908,0.010438414290547373,0.4000000059604645,0.8235294222831726,0.4000000059604645,0.9182913899421692,0.5607476830482483,0.00974251888692379,0.8235294222831726,0.375,0.898334801197052,0.8235294222831726,0.9014084339141846,0.4000000059604645,0.8648648858070374,0.8235294222831726
no_init_kenn_horizontal_adapter_bert_ms,0,ici88xje,0.9029136300086976,0.906201720237732,0.011830202303826807,0.011830201372504234,0.922755777835846,0.6238532066345215,0.864309549331665,0.6590991020202637,0.922755777835846,0.9029136300086976,0.9146195650100708,0.6238532066345215,1.0,0.9411764740943908,1.0,0.864309549331665,0.970588207244873,0.906201720237732,0.899649441242218,0.8795174956321716,0.6238532066345215,0.8952702879905701,0.9850746989250184,40,0.9186696410179138,0.970588207244873,0.011830201372504234,1.0,0.01,0.8795174956321716,0.7333333492279053,0.011653630994260313,0.8952702879905701,0.9705882668495178,0.9146195650100708,0.7850755453109741,0.011482254602015018,0.4533333480358124,1.0,0.4533333480358124,0.9186696410179138,0.5892857313156128,0.011830201372504234,1.0,0.375,0.899649441242218,1.0,0.9014084339141846,0.4533333480358124,0.8648648858070374,1.0
no_init_kenn_hybrid_adapter_bert_ms,2,1n92enz0,0.9057602882385254,0.912405490875244,0.011134307831525804,0.011134307831525804,0.9275690317153932,0.8421052694320679,0.8631330728530884,0.8133848309516907,0.9275690317153932,0.9057602882385254,0.9143876433372498,0.8421052694320679,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.8631330728530884,0.9411764740943908,0.912405490875244,0.8992112278938293,0.8818715214729309,0.8421052694320679,0.9014416933059692,0.9411764740943908,21,0.9209311604499816,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.1,0.8818715214729309,0.8707482814788818,0.011134307831525804,0.9014416933059692,0.9411764740943908,0.9143876433372498,0.8726269006729126,0.011134307831525804,0.761904776096344,0.9411764740943908,0.761904776096344,0.9209311604499816,0.8101266026496887,0.011134307831525804,0.9411764740943908,0.375,0.8992112278938293,0.9411764740943908,0.9014084339141846,0.761904776096344,0.8648648858070374,0.9411764740943908
no_init_kenn_top_down_adapter_bert_ms,2,1jscdiak,0.9002411961555481,0.9008337259292604,0.011830202303826807,0.011830201372504234,0.921097218990326,0.5,0.864309549331665,0.5990990996360779,0.921097218990326,0.9002411961555481,0.9146195650100708,0.5,1.0,0.9411764740943908,1.0,0.864309549331665,0.970588207244873,0.9008337259292604,0.899649441242218,0.8783578276634216,0.5,0.892870306968689,0.9850746989250184,23,0.917846977710724,0.970588207244873,0.011830201372504234,1.0,0.14,0.8783578276634216,0.6376811265945435,0.011653630994260313,0.892870306968689,0.9705882668495178,0.9146195650100708,0.74088454246521,0.011482254602015018,0.3333333432674408,1.0,0.3333333432674408,0.917846977710724,0.4748201370239258,0.011830201372504234,1.0,0.375,0.899649441242218,1.0,0.9014084339141846,0.3333333432674408,0.8648648858070374,1.0
