name,instance,run_id,test/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_people/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_people-ethnicity/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental/micro/recall,test/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test/macro_types/f1,test/micro/precision,test_pretraining/micro/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_people-ethnicity/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/precision,test_incremental/micro/precision,test_incremental/macro_example/recall,epoch,test/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_people/macro_types/precision,test/macro_example/f1,threshold_incremental,threshold_pretraining,test_incremental/micro/f1,test_incremental_people-ethnicity/macro_types/f1,test/micro/recall,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_people/macro_types/f1,test_incremental/macro_example_exclusive/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,ugpbyw6y,0.890027642250061,0.9147459268569946,0.890027642250061,0.9411764740943908,0.8614158034324646,0.6470588445663452,0.6470588445663452,0.905288815498352,0.9244027137756348,0.7941176891326904,0.6470588445663452,0.010190722532570362,0.6470588445663452,0.8483741879463196,0.7941176295280457,0.8916305899620056,0.6470588445663452,0.7941176891326904,0.905288815498352,0.8496818542480469,0.9048048853874208,0.8916305899620056,0.6470588445663452,0.007654836401343346,0.8496818542480469,0.8799999952316284,0.8788343667984009,0.7457627058029175,0.9244027137756348,0.9152542352676392,0.009394572116434574,64,0.8128352165222168,0.8799999952316284,0.007654836401343346,0.8799999952316284,0.9411764740943908,0.9147459268569946,0.01,0.25,0.8503937125205994,0.7457627058029175,0.8788343667984009,0.9048048853874208,0.8128352165222168,0.910588264465332,0.011134307831525804,0.7457627058029175,0.007654836401343346,0.9411764740943908,0.9411765336990356
no_init_box_kenn_bottom_up_adapter_bert_ms,0,376ltkb3,0.8884276151657104,0.9136317372322084,0.8884276151657104,0.9411764740943908,0.677647054195404,0.11764705926179886,0.11764705926179886,0.902998149394989,0.9245187044143676,0.529411792755127,0.11764705926179886,0.00801670178771019,0.11764705926179886,0.6584280729293823,0.529411792755127,0.889606773853302,0.11764705926179886,0.529411792755127,0.902998149394989,0.8431408405303955,0.9048266410827636,0.889606773853302,0.11764705926179886,0.0013917884789407251,0.8431408405303955,0.800000011920929,0.8748904466629028,0.20512820780277252,0.9245187044143676,0.9230769276618958,0.00626304792240262,64,0.8022469878196716,0.800000011920929,0.0013917884789407251,0.800000011920929,0.9411764740943908,0.9136317372322084,0.24,0.25,0.6728972792625427,0.20512820780277252,0.8748904466629028,0.9048266410827636,0.8022469878196716,0.8705882430076599,0.011134307831525804,0.20512820780277252,0.0013917884789407251,0.9411764740943908,0.9411765336990356
smart_init_box_adapter_bert_ms,2,6m9c512p,0.8909990191459656,0.9149210453033448,0.8909990191459656,0.9411764740943908,0.8948891162872314,0.7647058963775635,0.7647058963775635,0.9055207371711732,0.9245187044143676,0.8529411554336548,0.7647058963775635,0.010586719028651714,0.7647058963775635,0.8920300602912903,0.8529411554336548,0.8922221660614014,0.7647058963775635,0.8529411554336548,0.9055207371711732,0.8514092564582825,0.9050946831703186,0.8922221660614014,0.7647058963775635,0.009046625345945358,0.8514092564582825,0.9285714030265808,0.8797107934951782,0.8387096524238586,0.9245187044143676,0.9354838728904724,0.01009046658873558,9,0.8151881694793701,0.9285714030265808,0.009046625345945358,0.9285714030265808,0.9411764740943908,0.9149210453033448,0.8200000000000001,0.25,0.8923077583312988,0.8387096524238586,0.8797107934951782,0.9050946831703186,0.8151881694793701,0.9348739385604858,0.011134307831525804,0.8387096524238586,0.009046625345945358,0.9411764740943908,0.9411765336990356
smart_init_box_adapter_bert_ms,1,pwqu3uo2,0.8906093835830688,0.9145213961601256,0.8906093835830688,0.9411764740943908,0.843813419342041,0.5882353186607361,0.5882353186607361,0.9047378897666932,0.9245187044143676,0.7647058963775635,0.5882353186607361,0.009982483461499214,0.5882353186607361,0.8373045921325684,0.7647058963775635,0.8914832472801208,0.5882353186607361,0.7647058963775635,0.9047378897666932,0.8493031859397888,0.904966115951538,0.8914832472801208,0.5882353186607361,0.006958941929042339,0.8493031859397888,0.9090909361839294,0.8783961534500122,0.7142857313156128,0.9245187044143676,0.9285714030265808,0.009046625345945358,6,0.8116587400436401,0.9090909361839294,0.006958941929042339,0.9090909361839294,0.9411764740943908,0.9145213961601256,0.88,0.25,0.8387096524238586,0.7142857313156128,0.8783961534500122,0.904966115951538,0.8116587400436401,0.9251337051391602,0.011134307831525804,0.7142857313156128,0.006958941929042339,0.9411764740943908,0.9411765336990356
smart_init_box_adapter_bert_ms,0,efnjw7y8,0.891215443611145,0.9152454137802124,0.891215443611145,0.9411764740943908,0.933765709400177,0.911764681339264,0.9117647409439088,0.9061006307601928,0.9245766401290894,0.9264706373214722,0.9117647409439088,0.011046635918319224,0.9117647409439088,0.933326780796051,0.9264705777168274,0.8928373456001282,0.911764681339264,0.9264705777168274,0.9061006307601928,0.8531098961830139,0.9052015542984008,0.8928373456001282,0.911764681339264,0.010786361061036588,0.8531098961830139,0.939393937587738,0.8808063268661499,0.9253731369972228,0.9245766401290894,0.9402984976768494,0.010960333980619907,6,0.8181293606758118,0.939393937587738,0.010786361061036588,0.939393937587738,0.9411764740943908,0.9152454137802124,0.46,0.25,0.9333333373069764,0.9253731369972228,0.8808063268661499,0.9052015542984008,0.8181293606758118,0.9402852058410645,0.011134307831525804,0.9253731369972228,0.010786361061036588,0.9411764740943908,0.9411765336990356
no_init_kenn_horizontal_adapter_bert_ms,2,1de6o8t2,0.8979277610778809,0.9198894500732422,0.8979277610778809,0.9411764740943908,0.9850746989250184,1.0,1.0,0.9146195650100708,0.9252203702926636,0.9705882668495178,1.0,0.011653630994260313,1.0,0.8303597569465637,0.970588207244873,0.9046044945716858,1.0,0.970588207244873,0.9146195650100708,0.8807979822158813,0.9096145033836364,0.9046044945716858,1.0,0.011830201372504234,0.8807979822158813,0.5862069129943848,0.899649441242218,0.739130437374115,0.9252203702926636,0.6947368383407593,0.011482254602015018,43,0.864309549331665,0.5862069129943848,0.011830201372504234,0.5862069129943848,0.8648648858070374,0.9198894500732422,0.05,0.375,0.8098158836364746,0.739130437374115,0.899649441242218,0.9096145033836364,0.864309549331665,0.7255358695983887,0.011830201372504234,0.739130437374115,0.011830202303826807,0.9014084339141846,1.0
no_init_kenn_horizontal_adapter_bert_ms,1,2somcyd9,0.8948243260383606,0.9188337922096252,0.8948243260383606,0.9411764740943908,0.8995695114135742,0.7352941036224365,0.7352941036224365,0.9138076901435852,0.9239155650138856,0.8382352590560913,0.7352941036224365,0.010642090812325478,0.7352941036224365,0.7309107184410095,0.8382353186607361,0.9026216864585876,0.7352941036224365,0.8382352590560913,0.9138076901435852,0.8765543103218079,0.9076207280158995,0.9026216864585876,0.7352941036224365,0.008698678575456142,0.8765543103218079,0.43103447556495667,0.897677481174469,0.5434783101081848,0.9239155650138856,0.6000000238418579,0.00991649366915226,36,0.8590154051780701,0.43103447556495667,0.008698678575456142,0.43103447556495667,0.8648648858070374,0.9188337922096252,0.17,0.375,0.6993865370750427,0.5434783101081848,0.897677481174469,0.9076207280158995,0.8590154051780701,0.6479496955871582,0.011482255533337591,0.5434783101081848,0.008698678575456142,0.9014084339141846,0.9705882668495178
no_init_kenn_horizontal_adapter_bert_ms,0,hh80iezk,0.9031267166137696,0.9202263951301576,0.9031267166137696,0.9411764740943908,0.756459653377533,0.3235294222831726,0.3235294222831726,0.9122419357299804,0.928351879119873,0.6323530077934265,0.3235294222831726,0.008949069306254387,0.3235294222831726,0.727196216583252,0.6323529481887817,0.9040185809135436,0.3235294222831726,0.6323529481887817,0.9122419357299804,0.8761723041534424,0.9136272072792052,0.9040185809135436,0.3235294222831726,0.003827418200671673,0.8761723041534424,0.8461538553237915,0.8946099877357483,0.4680851399898529,0.928351879119873,0.8600000143051147,0.007480863016098738,55,0.8507801294326782,0.8461538553237915,0.003827418200671673,0.8461538553237915,0.8648648858070374,0.9202263951301576,0.55,0.375,0.7288135886192322,0.4680851399898529,0.8946099877357483,0.9136272072792052,0.8507801294326782,0.8555094003677368,0.011134307831525804,0.4680851399898529,0.003827418200671673,0.9014084339141846,0.9411764740943908
no_init_kenn_hybrid_adapter_bert_ms,2,1g2gjypo,0.9049535989761353,0.921155333518982,0.9049535989761353,0.9411764740943908,0.926237165927887,0.8823529481887817,0.8823529481887817,0.9140976667404176,0.9283229112625122,0.9117647409439088,0.8823529481887817,0.010957572609186172,0.8823529481887817,0.9064427018165588,0.911764681339264,0.9063190817832948,0.8823529481887817,0.9117647409439088,0.9140976667404176,0.8829319477081299,0.9139928817749025,0.9063190817832948,0.8823529481887817,0.010438414290547373,0.8829319477081299,0.9375,0.8987730145454407,0.9090909361839294,0.9283229112625122,0.8985507488250732,0.010786360129714012,38,0.8619565963745117,0.9375,0.010438414290547373,0.9375,0.8648648858070374,0.921155333518982,0.25,0.375,0.9051095247268676,0.9090909361839294,0.8987730145454407,0.9139928817749025,0.8619565963745117,0.9011824131011964,0.011134307831525804,0.9090909361839294,0.010438414290547373,0.9014084339141846,0.9411764740943908
no_init_kenn_top_down_adapter_bert_ms,2,601uwg1e,0.9035009145736694,0.9212445616722108,0.9035009145736694,0.9411764740943908,0.955656111240387,0.9411764740943908,0.9411764740943908,0.9143296480178832,0.9282649159431458,0.9411764740943908,0.9411764740943908,0.011305605061352251,0.9411764740943908,0.9014084339141846,0.9411764740943908,0.906260311603546,0.9411764740943908,0.9411764740943908,0.9143296480178832,0.8828558325767517,0.9134208559989928,0.906260311603546,0.9411764740943908,0.011134307831525804,0.8828558325767517,0.8648648858070374,0.8992112278938293,0.9014084339141846,0.9282649159431458,0.8648648858070374,0.011134307831525804,37,0.8631330728530884,0.8648648858070374,0.011134307831525804,0.8648648858070374,0.8648648858070374,0.9212445616722108,0.3,0.375,0.9014084339141846,0.9014084339141846,0.8992112278938293,0.9134208559989928,0.8631330728530884,0.8648648858070374,0.011482255533337591,0.9014084339141846,0.011134307831525804,0.9014084339141846,0.9705882668495178
