name,instance,run_id,test_incremental_only/macro_example/recall,test/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_event/macro_types/recall,test_incremental_event-protest/macro_types/recall,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_event-natural_disaster/macro_types/recall,threshold_pretraining,test_incremental_event-military_conflict/macro_types/recall,test_incremental_event-protest/macro_types/f1,test_incremental_event-terrorist_attack/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_event-attack/macro_types/recall,test/micro/recall,test_pretraining/macro_types/recall,test_incremental_event-sports_event/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_incremental_event/macro_types/precision,epoch,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/micro/precision,test_incremental_event-attack/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_event-natural_disaster/macro_types/precision,test_incremental_event/macro_types/f1,test_incremental_only/macro_example/f1,test_pretraining/micro/precision,test/macro_example/precision,test_incremental_event-sports_event/macro_types/recall,threshold_incremental,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_event-military_conflict/macro_types/precision,test/macro_example/recall,test_incremental_event-election/macro_types/recall,test/macro_types/precision,test_incremental_event-natural_disaster/macro_types/f1,test_incremental_event-terrorist_attack/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_event-attack/macro_types/precision,test/micro/f1,test/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_event-election/macro_types/f1,test_incremental_event-election/macro_types/precision,test_incremental_event-terrorist_attack/macro_types/recall,test_incremental_only/micro/f1,test_incremental_event-protest/macro_types/precision,test_incremental_event-military_conflict/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/recall,test_incremental_event-sports_event/macro_types/f1,test_incremental/macro_example/recall,test_incremental/micro/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,u3p61dcm,0.02992345206439495,0.7770885229110718,0.8843994736671448,0.9184549450874328,0.7333333492279053,0.8792428374290466,0.4053156077861786,0.5114155411720276,0.8792428374290466,0.503178596496582,0.21666666865348816,0.25,0.018518518656492233,0.8148148059844971,1.0,0.8272784948348999,0.2537313401699066,0.8509625196456909,0.7770885229110718,0.05974842607975006,0.6725074648857117,0.28773584961891174,0.9184549450874328,52,0.0622372068464756,0.7676812410354614,0.8507864475250244,0.4047618806362152,0.8508744835853577,0.9141631126403807,0.5550881028175354,0.9285714030265808,0.9184549450874328,0.03510250896215439,0.8507864475250244,0.8723846673965454,0.6333333253860474,0.01,0.8509625196456909,0.6303571462631226,0.07411273568868637,0.042449548840522766,0.5147174596786499,1.0,0.8862097263336182,0.699999988079071,0.8843994736671448,0.3513513505458832,0.98305082321167,0.8529301881790161,0.8435695171356201,1.0,0.8508744835853577,0.8272784948348999,0.6616594791412354,0.43877550959587097,0.8862097263336182,0.8723846673965454,0.8235293626785278,1.0,0.9666666388511658,0.3365517258644104,0.9166666865348816,0.036363635212183,0.6224489808082581,0.6292135119438171,0.10919539630413055,0.053641848266124725,0.5642317533493042
no_init_box_kenn_bottom_up_adapter_bert_ms,0,ro2x0f8j,0.02290651947259903,0.7642908692359924,0.8848936557769775,0.9184549450874328,0.6666666865348816,0.8784079551696777,0.3289036452770233,0.5024077296257019,0.8784079551696777,0.4007976353168487,0.1666666716337204,0.25,0.018518518656492233,0.800000011920929,1.0,0.8201825022697449,0.2537313401699066,0.8462015986442566,0.7642908692359924,0.023569023236632347,0.6031546592712402,0.2538461685180664,0.9184549450874328,53,0.05981836840510368,0.7378454208374023,0.8520216941833496,0.4047618806362152,0.8491016626358032,0.918454885482788,0.4655047655105591,0.9090909361839294,0.9184549450874328,0.02751561813056469,0.8520216941833496,0.8742983341217041,0.23333333432674408,0.01,0.8462015986442566,0.5442275404930115,0.07446068525314331,0.03444676846265793,0.4034687876701355,1.0,0.8825563192367554,0.6000000238418579,0.8848936557769775,0.28169015049934387,0.9285714626312256,0.8563893437385559,0.8475229740142822,1.0,0.8491016626358032,0.8201825022697449,0.6165951490402222,0.33588436245918274,0.8825563192367554,0.8742983341217041,0.75,1.0,0.8666666746139526,0.286541223526001,1.0,0.036363635212183,0.5051020383834839,0.5861423015594482,0.04281345382332802,0.04998840391635895,0.5410544276237488
smart_init_box_adapter_bert_ms,2,uqk4v1kr,0.06089074537158013,0.8281826972961426,0.7944554686546326,0.9184549450874328,1.0,0.8774666786193848,0.880398690700531,0.20228040218353271,0.8774666786193848,0.9119324684143066,0.8999999761581421,0.25,0.7407407164573669,0.178571417927742,0.09933774918317796,0.8109685182571411,0.7761194109916687,0.8805630207061768,0.8281826972961426,0.09803921729326248,0.35884571075439453,0.1241217777132988,0.9184549450874328,13,0.03789852932095528,0.4674694240093231,0.6501604914665222,0.2795698940753937,0.7480217218399048,0.317826509475708,0.9127477407455444,0.17589576542377472,0.9184549450874328,0.02263506129384041,0.6501604914665222,0.8526670932769775,1.0,0.04,0.8805630207061768,0.21834200620651245,0.025766726583242416,0.013901316560804844,0.33190393447875977,0.13029316067695618,0.9037520885467528,0.9666666388511658,0.7944554686546326,0.2942779064178467,0.1807229071855545,0.2233222872018814,0.124017633497715,0.1704917997121811,0.7480217218399048,0.8109685182571411,0.8834048509597778,0.8928570747375488,0.9037520885467528,0.8526670932769775,0.17469878494739532,0.09602648764848708,1.0,0.21756979823112488,0.09803921729326248,0.22160664200782776,0.20383869111537933,0.8970037698745728,0.178571417927742,0.07161910831928253,0.3301171660423279
smart_init_box_adapter_bert_ms,1,dxzgmtcp,0.06506611406803131,0.8355516195297241,0.8000043630599976,0.9184549450874328,1.0,0.8869531154632568,0.9634551405906676,0.25780051946640015,0.8869531154632568,0.9708837270736694,0.8999999761581421,0.25,0.9444444179534912,0.21739131212234497,0.12195122241973876,0.8173916935920715,0.9850746393203736,0.885737955570221,0.8355516195297241,0.12195122241973876,0.4122532308101654,0.1684088259935379,0.9184549450874328,28,0.034607142210006714,0.4268709123134613,0.6980423927307129,0.4217252731323242,0.7807681560516357,0.2780502736568451,0.9643300771713256,0.2195121943950653,0.9184549450874328,0.023601217195391655,0.6980423927307129,0.8686248064041138,1.0,0.09,0.885737955570221,0.2870296835899353,0.02254200167953968,0.01441495306789875,0.34607091546058655,0.2073170691728592,0.906071662902832,0.9666666388511658,0.8000043630599976,0.3529411554336548,0.21739131212234497,0.2621645927429199,0.1684088408946991,0.26829269528388977,0.7807681560516357,0.8173916935920715,0.918454885482788,0.9540815353393556,0.906071662902832,0.8686248064041138,0.21014493703842163,0.11788617819547652,1.0,0.2867029309272766,0.12195122241973876,0.3400000035762787,0.21137027442455292,0.9438202381134032,0.21739131212234497,0.07446068525314331,0.4049819111824035
smart_init_box_adapter_bert_ms,0,je8pudcs,0.06471816450357437,0.8352540135383606,0.7922887206077576,0.9184549450874328,1.0,0.8668301701545715,0.960132896900177,0.17091403901576996,0.8668301701545715,0.9685027599334716,0.8833333253860474,0.25,0.9444444179534912,0.14218010008335114,0.07874015718698502,0.813204288482666,0.9850746393203736,0.885530948638916,0.8352540135383606,0.07594936341047287,0.34226974844932556,0.10664206743240356,0.9184549450874328,14,0.03489468991756439,0.4304177761077881,0.6010115146636963,0.29203540086746216,0.7160431742668152,0.2812691628932953,0.9622467756271362,0.1358974426984787,0.9184549450874328,0.023511691018939015,0.6010115146636963,0.8309929370880127,1.0,0.02,0.885530948638916,0.19219639897346497,0.022802961990237236,0.014365246519446371,0.34475815296173096,0.13212434947490692,0.9058977365493774,0.9666666388511658,0.7922887206077576,0.23555557429790497,0.145985409617424,0.2081551253795624,0.10668372362852097,0.17142857611179352,0.7160431742668152,0.813204288482666,0.9163089990615844,0.9489794969558716,0.9058977365493774,0.8309929370880127,0.14111924171447754,0.07611548900604248,1.0,0.1919628083705902,0.07653061300516129,0.23181818425655365,0.21064141392707825,0.94194757938385,0.1411764770746231,0.07428671419620514,0.2893298864364624
no_init_box_adapter_bert_ms,2,anrygjc7,0.005161215551197529,0.7329411506652832,0.81407231092453,0.9184549450874328,0.0,0.8980705738067627,0.11295680701732635,0.9253731369972228,0.8980705738067627,0.15000000596046448,0.0833333358168602,0.25,0.0,0.0,0.9666666388511658,0.771379292011261,0.0,0.8327468633651733,0.7329411506652832,0.0,0.2925281822681427,0.9714285731315612,0.9184549450874328,37,0.05225634202361107,0.6445696353912354,0.905469298362732,0.0,0.8675867915153503,0.9163089990615844,0.24605685472488403,1.0,0.9184549450874328,0.007186948321759701,0.905469298362732,0.9243447184562684,0.0,0.01,0.8327468633651733,0.1955801248550415,0.07428671419620514,0.011830202303826807,0.10538413375616074,0.0,0.8732486963272095,0.0,0.81407231092453,0.1538461595773697,0.9666666388511658,0.3606401979923248,0.2809523940086365,0.0,0.8675867915153503,0.771379292011261,0.49713876843452454,0.07568027079105377,0.8732486963272095,0.9243447184562684,0.0,0.0,0.9666666388511658,0.2023809403181076,0.0,0.0,0.17346937954425812,0.4644194841384888,0.0,0.040303874760866165,0.618453860282898
no_init_box_adapter_bert_ms,1,dz5sgr9p,0.028357690200209618,0.7755007147789001,0.863240122795105,0.9184549450874328,0.699999988079071,0.9036045074462892,0.35548171401023865,0.9197707772254944,0.9036045074462892,0.49047622084617615,0.13333334028720856,0.25,0.0,0.807692289352417,0.9655172228813172,0.8170216083526611,0.0,0.8478575944900513,0.7755007147789001,0.800000011920929,0.6140361428260803,0.9224137663841248,0.9184549450874328,59,0.0609905906021595,0.7523046135902405,0.9053934812545776,0.0,0.8756815195083618,0.9034334421157836,0.5439735651016235,1.0,0.9184549450874328,0.032193873077631,0.9053934812545776,0.9233008623123168,0.9333333373069764,0.03,0.8478575944900513,0.5678808093070984,0.07324286550283432,0.037230342626571655,0.4720673263072967,0.0,0.8847309350967407,0.7333333492279053,0.863240122795105,0.2352941334247589,0.9491525292396544,0.7048146724700928,0.6742947101593018,0.0,0.8756815195083618,0.8170216083526611,0.6444921493530273,0.4158163070678711,0.8847309350967407,0.9233008623123168,0.8461538553237915,1.0,0.9333333373069764,0.513189435005188,0.9545454382896424,0.0,0.545918345451355,0.601123571395874,0.8615384697914124,0.05225005745887756,0.7270668148994446
no_init_box_adapter_bert_ms,0,3xryiy44,0.02957550436258316,0.7764932513237,0.8843464851379395,0.9184549450874328,0.7333333492279053,0.8791571855545044,0.40199336409568787,0.5106707215309143,0.8791571855545044,0.4984166920185089,0.21666666865348816,0.25,0.018518518656492233,0.8148148059844971,1.0,0.8269178867340088,0.2537313401699066,0.850755512714386,0.7764932513237,0.05678233504295349,0.6693261861801147,0.28605201840400696,0.9184549450874328,52,0.06211994588375091,0.7662348747253418,0.850755512714386,0.4047618806362152,0.850755512714386,0.9141631126403807,0.5509214401245117,0.9285714030265808,0.9184549450874328,0.03474404290318489,0.850755512714386,0.8723846673965454,0.6000000238418579,0.01,0.850755512714386,0.6264902949333191,0.07411273568868637,0.042101603001356125,0.5094611048698425,1.0,0.8860357403755188,0.699999988079071,0.8843464851379395,0.3513513505458832,0.98305082321167,0.8525594472885132,0.8431457877159119,1.0,0.850755512714386,0.8269178867340088,0.6595135927200317,0.4336734414100647,0.8860357403755188,0.8723846673965454,0.8235293626785278,1.0,0.9666666388511658,0.3342541754245758,0.9166666865348816,0.036363635212183,0.6173469424247742,0.6273408532142639,0.10374639928340912,0.053467873483896255,0.563025176525116
no_init_kenn_horizontal_adapter_bert_ms,2,3057214c,0.04279749467968941,0.8382498025894165,0.8734805583953857,0.9270386099815368,0.800000011920929,0.8866671919822693,0.5714285969734192,0.4993565082550049,0.8866671919822693,0.6752152442932129,0.3499999940395355,0.375,0.31481480598449707,0.75,0.6818181872367859,0.8555026054382324,0.3283582031726837,0.878493070602417,0.8382498025894165,0.7142857313156128,0.6975094079971313,0.3197025954723358,0.9037656784057616,42,0.06392684578895569,0.7885225415229797,0.8498197793960571,0.4150943160057068,0.8639186024665833,0.822603702545166,0.706693172454834,0.06363636255264282,0.9152541756629944,0.04631071910262108,0.8498197793960571,0.8727093935012817,1.0,0.06999999999999999,0.878493070602417,0.6664031147956848,0.0666898638010025,0.0504523292183876,0.6790663599967957,1.0,0.9010786414146424,0.9333333373069764,0.8734805583953857,0.10769230872392654,0.8108108043670654,0.6885613799095154,0.6578179001808167,0.5641025900840759,0.8639186024665833,0.8555026054382324,0.7571530342102051,0.6275510191917419,0.9010786414146424,0.8727093935012817,0.9032257795333862,0.875,1.0,0.4100119471549988,0.7058823704719543,0.4788732230663299,0.7397959232330322,0.7265917658805847,0.8333333730697632,0.061383672058582306,0.5919145345687866
no_init_kenn_horizontal_adapter_bert_ms,1,3tjv9vda,0.03102528676390648,0.8191824555397034,0.9031562209129332,0.9270386099815368,0.6333333253860474,0.9102271795272828,0.4086378812789917,0.9064171314239502,0.9102271795272828,0.5226763486862183,0.11666666716337204,0.375,0.1296296268701553,0.7169811725616455,0.9666666388511658,0.8591222763061523,0.17910447716712952,0.8683502674102783,0.8191824555397034,0.9166666865348816,0.6992431879043579,0.9111111164093018,0.9037656784057616,60,0.062662772834301,0.7729305624961853,0.9137442708015442,0.29629629850387573,0.8904691338539124,0.905579388141632,0.5732215642929077,0.699999988079071,0.9152541756629944,0.03597276285290718,0.9137442708015442,0.926583170890808,0.7333333492279053,0.63,0.8683502674102783,0.6600072979927063,0.07341684401035309,0.042797498404979706,0.527478039264679,1.0,0.894438624382019,0.8999999761581421,0.9031562209129332,0.19999998807907104,0.9666666388511658,0.8962911367416382,0.8952233195304871,0.8571428656578064,0.8904691338539124,0.8591222763061523,0.6741774082183838,0.45493197441101074,0.894438624382019,0.926583170890808,0.9473683834075928,1.0,0.9666666388511658,0.5642201900482178,0.8260869383811951,0.2295081913471222,0.6275509595870972,0.6348314881324768,0.8148148059844971,0.05465669184923172,0.7466960549354553
