name,instance,run_id,test_incremental_only/macro_types/precision,test_incremental_other-art-broadcast/macro_types/recall,test_incremental/micro/f1,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/micro/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental_other-art-music/macro_types/f1,test/macro_types/f1,threshold_incremental,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_other-art-stage/macro_types/precision,test/micro/precision,test_incremental_other-art-music/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-art-stage/macro_types/f1,test/micro/f1,threshold_pretraining,test_pretraining/macro_types/f1,test_incremental_other-art-writing/macro_types/precision,test_incremental_other-art/macro_types/precision,test_incremental_other-art-broadcast/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_other-art-music/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_other-art-stage/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,test/macro_example/recall,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,epoch,test/macro_example/f1,test_incremental_other-art-film/macro_types/precision,test_incremental_other-art-writing/macro_types/recall,test/macro_types/recall,test_incremental_other-art-broadcast/macro_types/precision,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test/macro_example/precision,test_incremental_other-art-writing/macro_types/f1,test_pretraining/micro/f1,test_incremental_other-art-film/macro_types/f1,test_incremental/macro_example/precision,test_incremental_other-art-film/macro_types/recall,test_incremental/macro_example/recall,test/macro_types/precision,test_incremental/macro_example/f1,test_incremental_other-art/macro_types/recall,test_incremental_other-art/macro_types/f1,test_incremental/macro_example_exclusive/precision
smart_init_box_adapter_bert_ms,1,fx71ax10,0.09606944024562836,0.9666666388511658,0.2619047462940216,0.17415215075016022,0.8048529624938965,0.938916027545929,0.02979239821434021,0.1525658816099167,0.20826297998428345,0.947211980819702,0.694634735584259,0.09591115266084672,0.1900237500667572,0.6911578178405762,0.04,0.34090834856033325,0.9220085740089417,0.07038834691047668,0.626432478427887,1.0,0.3871102035045624,0.1312217116355896,0.7024365663528442,0.26,0.6911578178405762,0.14035087823867798,0.7692307829856873,0.1377672255039215,0.24358975887298584,0.5459855198860168,0.018746916204690933,0.10498687624931335,0.1744459867477417,0.9666666388511658,0.7994301915168762,0.07252097129821777,0.7994301915168762,0.942307710647583,0.924369752407074,0.8048529624938965,0.7894611954689026,0.6877156496047974,17,0.7894611954689026,0.09045226126909256,0.9655172228813172,0.694634735584259,0.07416880130767822,0.626432478427887,0.9452736377716064,0.774647057056427,0.774647057056427,0.24507658183574677,0.7024365663528442,0.16326530277729034,0.02984706498682499,0.8372092843055725,0.07095871865749359,0.6877156496047974,0.04201960191130638,0.8974359035491943,0.8284023404121399,0.3878205418586731
smart_init_box_adapter_bert_ms,0,bkpzpltr,0.061026934534311295,1.0,0.1787886619567871,0.11501597613096236,0.8060863018035889,0.9716033339500428,0.031080415472388268,0.09871495515108109,0.1790609061717987,0.9864367246627808,0.6984063386917114,0.061073411256074905,0.11940298974514008,0.6913048028945923,0.01,0.3023926019668579,0.94551283121109,0.04427481070160866,0.5284461379051208,1.0,0.4038461446762085,0.08467152714729309,0.636768639087677,0.26,0.6913048028945923,0.08497723937034607,0.7692307829856873,0.08875739574432373,0.2538461685180664,0.5264155864715576,0.01953626051545143,0.0634920671582222,0.11494281142950058,0.9666666388511658,0.8009496927261353,0.07597434520721436,0.8009496927261353,0.9871795177459716,0.9467787146568298,0.8060863018035889,0.7549947500228882,0.6843461990356445,15,0.7549947500228882,0.0659509226679802,0.9655172228813172,0.6984063386917114,0.046439629048109055,0.5284461379051208,0.9850746393203736,0.709993839263916,0.709993839263916,0.156206414103508,0.636768639087677,0.123741015791893,0.028071042150259014,1.0,0.07276763021945953,0.6843461990356445,0.04051348939538002,0.8974359035491943,0.8284023404121399,0.36474359035491943
no_init_kenn_hybrid_adapter_bert_ms,2,ms36nnen,0.23030927777290344,0.5,0.48784875869750977,0.3263707458972931,0.8538075089454651,0.674803614616394,0.02580418810248375,0.3594164550304413,0.3206721842288971,0.6225848197937012,0.7959436178207397,0.22123894095420835,0.20000000298023224,0.7994694709777832,0.02,0.4347483813762665,0.759615421295166,0.22522522509098053,0.7932077050209045,0.44999998807907104,0.3352890610694885,0.3546099066734314,0.8193590044975281,0.33,0.7994694709777832,0.4042553305625915,0.7724867463111877,0.2255639135837555,0.2322649657726288,0.6393961310386658,0.017875349149107933,0.12857143580913544,0.33623650670051575,0.8333333134651184,0.8472934365272522,0.04637394845485687,0.8472934365272522,0.6025641560554504,0.7591036558151245,0.8538075089454651,0.8484644889831543,0.8030267953872681,17,0.8484644889831543,0.24786324799060824,0.6551724076271057,0.7959436178207397,0.1456310749053955,0.7932077050209045,0.6218905448913574,0.8431878685951233,0.8431878685951233,0.5,0.8193590044975281,0.36250001192092896,0.042484790086746216,0.6744186282157898,0.0584607794880867,0.8030267953872681,0.04920857772231102,0.935897409915924,0.8463767766952515,0.5520299673080444
no_init_kenn_top_down_adapter_bert_ms,2,0papso0h,0.1924537569284439,0.699999988079071,0.4453248679637909,0.2944383919239044,0.8554930686950684,0.7218309640884399,0.030132168903946877,0.3104972243309021,0.289125919342041,0.6790176630020142,0.801369845867157,0.18854749202728271,0.2048780471086502,0.8003771305084229,0.03,0.4128762483596802,0.7980769872665405,0.16551724076271057,0.7741991281509399,0.5249999761581421,0.3915250897407532,0.2742857038974762,0.8099637627601624,0.33,0.8003771305084229,0.3046875,0.7724867463111877,0.25766870379447937,0.2744658291339874,0.6624601483345032,0.021123170852661133,0.12727272510528564,0.2999054193496704,0.800000011920929,0.8491927981376648,0.052540700882673264,0.8491927981376648,0.6826923489570618,0.7871148586273193,0.8554930686950684,0.8475804924964905,0.7993868589401245,17,0.8475804924964905,0.2068965584039688,0.6724137663841248,0.801369845867157,0.15789473056793213,0.7741991281509399,0.6716417670249939,0.8398128747940063,0.8398128747940063,0.4193548262119293,0.8099637627601624,0.3191489577293396,0.04357835650444031,0.6976743936538696,0.06142082065343857,0.7993868589401245,0.05098360776901245,0.935897409915924,0.8463767766952515,0.5662393569946289
no_init_kenn_bottom_up_adapter_bert_ms,2,pa60by0q,0.2467225193977356,0.4333333373069763,0.5092682838439941,0.3382352888584137,0.8525905609130859,0.6326580047607422,0.025327155366539955,0.390718549489975,0.3343498706817627,0.5720101594924927,0.79108065366745,0.2400835007429123,0.22641511261463165,0.7977854609489441,0.03,0.4374920427799225,0.7350428104400635,0.2340425550937653,0.8037197589874268,0.44999998807907104,0.3290906846523285,0.3548387289047241,0.8240303993225098,0.33,0.7977854609489441,0.40243902802467346,0.7724867463111877,0.22608697414398193,0.2332265079021454,0.6712396144866943,0.01794935017824173,0.15126051008701324,0.3447469472885132,0.7333333492279053,0.8453941345214844,0.04300279542803764,0.8453941345214844,0.5587607622146606,0.7310924530029297,0.8525905609130859,0.8499020934104919,0.8046049475669861,18,0.8499020934104919,0.2929292917251587,0.568965494632721,0.79108065366745,0.1529411822557449,0.8037197589874268,0.572139322757721,0.8472306132316589,0.8472306132316589,0.4714285731315613,0.8240303993225098,0.408450722694397,0.0475332997739315,0.6744186282157898,0.05656964331865311,0.8046049475669861,0.05165928602218628,0.935897409915924,0.8463767766952515,0.6176282167434692
no_init_kenn_hybrid_adapter_bert_ms,1,ytiy9x7k,0.1780470460653305,0.6000000238418579,0.4496578872203827,0.24778762459754944,0.8492523431777954,0.5005554556846619,0.016976121813058853,0.3453453481197357,0.27712032198905945,0.413487046957016,0.7758380174636841,0.17610062658786774,0.09655172377824783,0.7867637276649475,0.03,0.35674017667770386,0.6810897588729858,0.10752688348293304,0.7984104156494141,0.17499999701976776,0.2205808162689209,0.16260163486003876,0.818442702293396,0.33,0.7867637276649475,0.30927833914756775,0.7724867463111877,0.2950819730758667,0.1428418904542923,0.6496256589889526,0.01099325716495514,0.06666667014360428,0.24891261756420135,0.3333333432674408,0.8395061492919922,0.03724716231226921,0.8395061492919922,0.4839743971824646,0.6442577242851257,0.8492523431777954,0.8481768369674683,0.7980015277862549,17,0.8481768369674683,0.21111111342906952,0.517241358757019,0.7758380174636841,0.19565217196941376,0.7984104156494141,0.41791045665740967,0.8471040725708008,0.8471040725708008,0.3870967626571655,0.818442702293396,0.2857142984867096,0.047788191586732864,0.44186046719551086,0.052417367696762085,0.7980015277862549,0.04999585822224617,0.935897409915924,0.8463767766952515,0.6209402084350586
no_init_kenn_top_down_adapter_bert_ms,1,zhpphyla,0.14381161332130432,0.800000011920929,0.39331209659576416,0.22173434495925903,0.8515217304229736,0.5733523964881897,0.0223467405885458,0.2747497260570526,0.24859079718589783,0.5008434057235718,0.7842376232147217,0.14225351810455322,0.1157894805073738,0.7894389629364014,0.04,0.3468126058578491,0.7297009229660034,0.0763888880610466,0.7691107392311096,0.2750000059604645,0.2903643846511841,0.12643678486347198,0.8042414784431458,0.33,0.7894389629364014,0.2589927911758423,0.7724867463111877,0.2840236723423004,0.19412395358085632,0.6616656184196472,0.014939977787435057,0.07333333045244217,0.2234593629837036,0.36666667461395264,0.8427350521087646,0.04431837052106857,0.8427350521087646,0.5758547782897949,0.6918767690658569,0.8515217304229736,0.8459340929985046,0.7947096824645996,17,0.8459340929985046,0.13768115639686584,0.6206896305084229,0.7842376232147217,0.17266187071800232,0.7691107392311096,0.5024875402450562,0.8404192924499512,0.8404192924499512,0.3654822111129761,0.8042414784431458,0.20994475483894348,0.046579509973526,0.44186046719551086,0.05615852400660515,0.7947096824645996,0.0509224534034729,0.935897409915924,0.8463767766952515,0.6052350997924805
no_init_kenn_bottom_up_adapter_bert_ms,1,kj22u792,0.17647652328014374,0.6000000238418579,0.4501991868019104,0.24279211461544037,0.8487589955329895,0.48240411281585693,0.016091277822852135,0.3493044674396515,0.2758115530014038,0.3917054533958435,0.7737436294555664,0.17467248439788818,0.08695652335882187,0.7856122255325317,0.03,0.35096248984336853,0.6714743971824646,0.08791209012269974,0.8004350066184998,0.15000000596046448,0.20908349752426147,0.13223141431808472,0.8191429972648621,0.33,0.7856122255325317,0.31521740555763245,0.7724867463111877,0.3050847351551056,0.13461540639400482,0.6511666774749756,0.010360137559473516,0.06122449040412903,0.2433263063430786,0.2666666805744171,0.8387464284896851,0.03601381182670593,0.8387464284896851,0.4679487347602844,0.6330532431602478,0.8487589955329895,0.8484135866165161,0.7978505492210388,17,0.8484135866165161,0.21348313987255096,0.5,0.7737436294555664,0.20454545319080353,0.8004350066184998,0.3980099558830261,0.8480684161186218,0.8480684161186218,0.3866666853427887,0.8191429972648621,0.28787878155708313,0.048643313348293304,0.44186046719551086,0.05167735368013382,0.7978505492210388,0.050114452838897705,0.935897409915924,0.8463767766952515,0.6320512890815735
no_init_kenn_hybrid_adapter_bert_ms,0,i1xcye1a,0.17930763959884644,0.6666666865348816,0.4386989176273346,0.2740046977996826,0.8531004190444946,0.6461871862411499,0.023326409980654716,0.3123515546321869,0.2781708240509033,0.588245153427124,0.7926416993141174,0.1791730523109436,0.1931818127632141,0.7953727841377258,0.01,0.38891950249671936,0.7580128312110901,0.15671642124652865,0.7795868515968323,0.42500001192092896,0.303093820810318,0.25609755516052246,0.8113327622413635,0.33,0.7953727841377258,0.280303031206131,0.7724867463111877,0.25974026322364807,0.20117522776126864,0.6595720052719116,0.015482651069760324,0.125,0.2748393416404724,0.699999988079071,0.8457739949226379,0.04727840796113014,0.8457739949226379,0.6143162250518799,0.7366946935653687,0.8531004190444946,0.8468161821365356,0.798122763633728,16,0.8468161821365356,0.17322835326194763,0.6379310488700867,0.7926416993141174,0.16129031777381897,0.7795868515968323,0.5820895433425903,0.8406238555908203,0.8406238555908203,0.38947367668151855,0.8113327622413635,0.25882354378700256,0.04492682218551636,0.5116279125213623,0.05833744630217552,0.798122763633728,0.05076133459806442,0.935897409915924,0.8463767766952515,0.5837607383728027
no_init_kenn_top_down_adapter_bert_ms,0,djpis2q3,0.14539775252342224,0.8333333134651184,0.3722358644008637,0.2447388917207718,0.8576309084892273,0.8096082806587219,0.02626181952655315,0.23839496076107025,0.2499125897884369,0.7843505144119263,0.8114979267120361,0.1451016664505005,0.14671814441680908,0.8030938506126404,0.01,0.3819298148155213,0.8370726108551025,0.13679245114326477,0.7316398024559021,0.4749999940395355,0.34123533964157104,0.2396694123744965,0.7878310084342957,0.33,0.8030938506126404,0.23720930516719815,0.7724867463111877,0.20080320537090304,0.22190172970294952,0.638298511505127,0.01707778312265873,0.08675798773765564,0.24531973898410797,0.9666666388511658,0.8533713221549988,0.056816309690475464,0.8533713221549988,0.7382478713989258,0.848739504814148,0.8576309084892273,0.8402167558670044,0.7948622107505798,17,0.8402167558670044,0.1520737260580063,0.8793103694915771,0.8114979267120361,0.11415524780750276,0.7316398024559021,0.7810945510864258,0.8234958052635193,0.8234958052635193,0.37362638115882874,0.7878310084342957,0.253846138715744,0.03969741612672806,0.7674418687820435,0.06442196667194366,0.7948622107505798,0.0491241030395031,0.935897409915924,0.8463767766952515,0.5158119797706604
