name,instance,run_id,test_incremental_living_thing-animal/macro_types/recall,test/macro_types/f1,test/macro_example/precision,test_incremental_only/micro/precision,test_incremental_living_thing-animal/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_living_thing/macro_types/recall,threshold_pretraining,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_living_thing-animal/macro_types/precision,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,epoch,test/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/precision,test_incremental_living_thing/macro_types/precision,test/micro/f1,test/micro/precision,test_incremental/micro/f1,test_incremental/micro/recall,test/macro_example/f1,test/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test/micro/recall,threshold_incremental,test_pretraining/micro/precision,test_incremental_living_thing/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,1,covjmmts,0.8666666746139526,0.8494167327880859,0.9224309921264648,0.5909090638160706,0.7027026414871216,0.9140599966049194,0.8666667342185974,0.9692307710647584,0.25,0.7027026414871216,0.7800699472427368,0.009046625345945358,0.5909090638160706,0.8165137767791748,0.8666667342185974,0.8666667342185974,0.8307693004608154,56,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.884245753288269,0.9692307710647584,0.8910341858863831,0.9018418788909912,0.8725490570068359,0.9368420839309692,0.9140599966049194,0.884245753288269,0.9058396816253662,0.009046625345945358,0.8494167327880859,0.8666666746139526,0.8434114456176758,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9224309921264648,0.5909090638160706,0.8804824352264404,0.09,0.9018418788909912,0.9692307710647584,0.020009217783808708,0.8666666746139526,0.018789146095514297,0.8847153186798096,0.8172273635864258,0.9058396816253662,0.8910341858863831,0.7027026414871216
no_init_box_kenn_horizontal_adapter_bert_ms,0,o8v3c5m3,0.699999988079071,0.8495994806289673,0.9239387512207032,0.807692289352417,0.7499999403953552,0.9145038723945618,0.7000000476837158,0.9692307710647584,0.25,0.7499999403953552,0.8884615302085876,0.00730688963085413,0.807692289352417,0.9230769276618958,0.7000000476837158,0.7000000476837158,0.9307692050933838,66,0.8138940334320068,0.00730688963085413,0.9076923131942748,0.8885814547538757,0.9692307710647584,0.8917055130004883,0.9043752551078796,0.903225839138031,0.8842105269432068,0.9145038723945618,0.8885814547538757,0.9052597880363464,0.00730688963085413,0.8495994806289673,0.699999988079071,0.8606970906257629,0.0205288790166378,0.8793859481811523,0.8346153497695923,0.9239387512207032,0.807692289352417,0.8793859481811523,0.56,0.9043752551078796,0.9692307710647584,0.02078656479716301,0.699999988079071,0.021050799638032913,0.9190859198570251,0.8138940334320068,0.9052597880363464,0.8917055130004883,0.7499999403953552
smart_init_box_adapter_bert_ms,2,j2r9szr0,0.9333333373069764,0.8494666218757629,0.921532154083252,0.5185185074806213,0.6666666865348816,0.9137365221977234,0.9333333969116212,0.9692307710647584,0.25,0.6666666865348816,0.7438746690750122,0.00974251888692379,0.5185185074806213,0.7647058963775635,0.9333333969116212,0.9333333969116212,0.7692307829856873,5,0.8185607194900513,0.00974251888692379,0.9615384936332704,0.8827979564666748,0.9692307710647584,0.890489935874939,0.9002689123153687,0.8504672646522522,0.9578947424888612,0.9137365221977234,0.8827979564666748,0.906071662902832,0.00974251888692379,0.8494666218757629,0.9333333373069764,0.8348899483680725,0.021746695041656498,0.8809210658073425,0.9512820243835448,0.921532154083252,0.5185185074806213,0.8809210658073425,0.86,0.9002689123153687,0.9692307710647584,0.019330395385622975,0.9333333373069764,0.017397357150912285,0.8547008633613586,0.8185607194900513,0.906071662902832,0.890489935874939,0.6666666865348816
smart_init_box_adapter_bert_ms,1,26355ywq,0.9333333373069764,0.8494666218757629,0.921532154083252,0.5185185074806213,0.6666666865348816,0.9137365221977234,0.9333333969116212,0.9692307710647584,0.25,0.6666666865348816,0.7438746690750122,0.00974251888692379,0.5185185074806213,0.7647058963775635,0.9333333969116212,0.9333333969116212,0.7692307829856873,6,0.8185607194900513,0.00974251888692379,0.9615384936332704,0.8827979564666748,0.9692307710647584,0.890489935874939,0.9002689123153687,0.8504672646522522,0.9578947424888612,0.9137365221977234,0.8827979564666748,0.906071662902832,0.00974251888692379,0.8494666218757629,0.9333333373069764,0.8348899483680725,0.021746695041656498,0.8809210658073425,0.9512820243835448,0.921532154083252,0.5185185074806213,0.8809210658073425,0.89,0.9002689123153687,0.9692307710647584,0.019330395385622975,0.9333333373069764,0.017397357150912285,0.8547008633613586,0.8185607194900513,0.906071662902832,0.890489935874939,0.6666666865348816
smart_init_box_adapter_bert_ms,0,g3ry2gyr,0.8666666746139526,0.8485769033432007,0.921532154083252,0.5,0.6341463327407837,0.913618505001068,0.8666667342185974,0.9692307710647584,0.25,0.6341463327407837,0.7346153855323792,0.009046625345945358,0.5,0.7606837749481201,0.8666667342185974,0.8666667342185974,0.7692307829856873,6,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8824275732040405,0.9692307710647584,0.8902438879013062,0.9002242088317871,0.8396226763725281,0.9368420839309692,0.913618505001068,0.8824275732040405,0.9058396816253662,0.009046625345945358,0.8485769033432007,0.8666666746139526,0.8161126971244812,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.921532154083252,0.5,0.8804824352264404,0.91,0.9002242088317871,0.9692307710647584,0.01919170282781124,0.8666666746139526,0.017397357150912285,0.8485684394836426,0.8172273635864258,0.9058396816253662,0.8902438879013062,0.6341463327407837
no_init_box_adapter_bert_ms,2,nadl0byt,0.8666666746139526,0.8490684628486633,0.9220830798149108,0.5531914830207825,0.6753246188163757,0.9138891696929932,0.8666667342185974,0.9692307710647584,0.25,0.6753246188163757,0.7612111568450928,0.009046625345945358,0.5531914830207825,0.7946428656578064,0.8666667342185974,0.8666667342185974,0.8076923489570618,53,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8834913969039917,0.9692307710647584,0.8907376527786255,0.9012345671653748,0.8599033951759338,0.9368420839309692,0.9138891696929932,0.8834913969039917,0.9058396816253662,0.009046625345945358,0.8490684628486633,0.8666666746139526,0.83226478099823,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9220830798149108,0.5531914830207825,0.8804824352264404,0.13,0.9012345671653748,0.9692307710647584,0.019709372892975807,0.8666666746139526,0.018267223611474037,0.8714575171470642,0.8172273635864258,0.9058396816253662,0.8907376527786255,0.6753246188163757
no_init_box_adapter_bert_ms,1,dw7387sj,0.8666666746139526,0.8494167327880859,0.9224309921264648,0.5909090638160706,0.7027026414871216,0.9140599966049194,0.8666667342185974,0.9692307710647584,0.25,0.7027026414871216,0.7800699472427368,0.009046625345945358,0.5909090638160706,0.8165137767791748,0.8666667342185974,0.8666667342185974,0.8307693004608154,57,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.884245753288269,0.9692307710647584,0.8910341858863831,0.9018418788909912,0.8725490570068359,0.9368420839309692,0.9140599966049194,0.884245753288269,0.9058396816253662,0.009046625345945358,0.8494167327880859,0.8666666746139526,0.8434114456176758,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9224309921264648,0.5909090638160706,0.8804824352264404,0.15000000000000002,0.9018418788909912,0.9692307710647584,0.020009217783808708,0.8666666746139526,0.018789146095514297,0.8847153186798096,0.8172273635864258,0.9058396816253662,0.8910341858863831,0.7027026414871216
no_init_box_adapter_bert_ms,0,4vvuqg2g,0.6000000238418579,0.84895920753479,0.924170732498169,0.8571428656578064,0.7058824300765991,0.914439857006073,0.6000000238418579,0.9692307710647584,0.25,0.7058824300765991,0.91318678855896,0.006263048388063908,0.8571428656578064,0.9418604373931884,0.6000000238418579,0.6000000238418579,0.9461538791656494,52,0.8118940591812134,0.006263048388063908,0.884615421295166,0.8895704746246338,0.9692307710647584,0.8915340304374695,0.9047188758850098,0.8950275778770447,0.8526315689086914,0.914439857006073,0.8895704746246338,0.9049118757247924,0.006263048388063908,0.84895920753479,0.6000000238418579,0.8440328240394592,0.02000695839524269,0.8787280917167664,0.7846153974533081,0.924170732498169,0.8571428656578064,0.8787280917167664,0.59,0.9047188758850098,0.9692307710647584,0.02067946270108223,0.6000000238418579,0.021398749202489853,0.9143503904342652,0.8118940591812134,0.9049118757247924,0.8915340304374695,0.7058824300765991
no_init_kenn_horizontal_adapter_bert_ms,2,29z5043y,0.800000011920929,0.8802818655967712,0.9273951053619384,0.75,0.7741935849189758,0.9204483032226562,0.8000000715255737,0.9846153855323792,0.375,0.7741935849189758,0.8194444179534912,0.008350730873644352,0.75,0.8461538553237915,0.8000000715255737,0.8000000715255737,0.9230769872665404,58,0.8603095412254333,0.008350730873644352,0.9384615421295166,0.9012036323547364,0.8888888955116272,0.9053934216499328,0.9126559495925904,0.8844221234321594,0.9263157844543456,0.9204483032226562,0.9012036323547364,0.913604736328125,0.008350730873644352,0.8802818655967712,0.800000011920929,0.8543252944946289,0.021224774420261383,0.898245632648468,0.892307698726654,0.9273951053619384,0.75,0.898245632648468,0.73,0.9126559495925904,0.9343065619468688,0.021049363538622856,0.800000011920929,0.020876826718449593,0.930705726146698,0.8603095412254333,0.913604736328125,0.9053934216499328,0.7741935849189758
no_init_kenn_horizontal_adapter_bert_ms,1,2c07fyuu,0.9333333373069764,0.8810333013534546,0.926902174949646,0.6829268336296082,0.7887323498725891,0.920440673828125,0.9333333969116212,0.9846153855323792,0.375,0.7887323498725891,0.7859078645706177,0.00974251888692379,0.6829268336296082,0.8141592741012573,0.9333333969116212,0.9333333969116212,0.892307698726654,53,0.8629761934280396,0.00974251888692379,0.9692307710647584,0.8998621702194214,0.8888888955116272,0.9053770303726196,0.9117189049720764,0.8846153616905212,0.9684210419654846,0.920440673828125,0.8998621702194214,0.9140686988830566,0.00974251888692379,0.8810333013534546,0.9333333373069764,0.8638582825660706,0.021920667961239815,0.8991228342056274,0.9589743614196776,0.926902174949646,0.6829268336296082,0.8991228342056274,0.79,0.9117189049720764,0.9343065619468688,0.021014856174588203,0.9333333373069764,0.02018093317747116,0.9291799068450928,0.8629761934280396,0.9140686988830566,0.9053770303726196,0.7887323498725891
