name,instance,run_id,test_pretraining/micro/recall,threshold_incremental,test_incremental/micro/f1,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental_organization-company/macro_types/recall,epoch,test_incremental_organization-company/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_organization-company-broadcast/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test/macro_example/f1,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_organization-company-news/macro_types/recall,test_incremental_organization-company-broadcast/macro_types/recall,test/macro_types/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/macro_types/f1,test_incremental_organization-company/macro_types/f1,test_incremental_organization-company-news/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_types/precision,test_incremental_organization-company-broadcast/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test/micro/precision,test_incremental/micro/recall,test/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_organization-company-news/macro_types/f1,test/macro_types/precision
smart_init_box_adapter_bert_ms,1,xtg9a43d,0.7955693602561951,0.23,0.4805653393268585,0.5093951225280762,0.7940263748168945,0.7543859481811523,13,0.7247191071510315,0.8195381164550781,0.2343096286058426,0.8343406915664673,0.06487419456243515,0.9000000357627869,0.7018057107925415,0.34228187799453735,0.7690058946609497,0.8343406915664673,0.01850024610757828,0.5357142686843872,0.91858971118927,0.8195381164550781,0.7947971224784851,0.0448632538318634,0.5318000912666321,0.26,0.8052517175674438,0.6716418266296387,0.9038461446762084,0.9333333373069764,0.6780024766921997,0.8638551235198975,0.8052517175674438,0.40643274784088135,0.7947971224784851,0.7018057107925415,0.7392550110816956,0.2248803824186325,0.6780024766921997,0.7273411750793457,0.17942583560943604,0.30000004172325134,0.3611902594566345,0.13397128880023956,0.9146341681480408,0.03428712487220764,0.7940263748168945,0.8063241243362427,0.7955693602561951,0.300212025642395,0.17942583560943604,0.023194339126348495,0.03108041360974312,0.3601532578468323,0.7273411750793457
smart_init_box_adapter_bert_ms,0,rtihphst,0.7949864268302917,0.03,0.4521934390068054,0.4873408079147339,0.7873364090919495,0.7543859481811523,39,0.7247191071510315,0.8184822797775269,0.18897637724876404,0.8327526450157166,0.06413418799638748,0.8571428656578064,0.700114905834198,0.31603774428367615,0.7602338790893555,0.8327526450157166,0.01776023581624031,0.5142857432365417,0.8615384697914124,0.8184822797775269,0.7911429405212402,0.04886414483189583,0.5792257785797119,0.26,0.8046926259994507,0.6428571343421936,0.9230769276618958,0.800000011920929,0.6756739020347595,0.8258209228515625,0.8046926259994507,0.4678362309932709,0.7911429405212402,0.700114905834198,0.7392550110816956,0.20512820780277252,0.6756739020347595,0.726390540599823,0.15613552927970886,0.2666666805744171,0.3456633985042572,0.1071428582072258,0.8780487775802612,0.03946719318628311,0.7873364090919495,0.7944663763046265,0.7949864268302917,0.2643612027168274,0.1572052389383316,0.022200295701622963,0.029600394889712337,0.3356643319129944,0.726390540599823
no_init_kenn_hybrid_adapter_bert_ms,2,eawow708,0.8544500470161438,0.4,0.5496598482131958,0.5130943655967712,0.8241799473762512,0.8245614171028137,15,0.6844660043716431,0.8560400605201721,0.34090909361839294,0.8501121401786804,0.06643643975257874,0.7285714745521545,0.8255606889724731,0.41908714175224304,0.7875243425369263,0.8501121401786804,0.018746916204690933,0.5428571701049805,0.7980769276618958,0.8560400605201721,0.839042067527771,0.05135330185294151,0.6087318062782288,0.33,0.862051248550415,0.6221509575843811,0.5961538553237915,1.0,0.8137202858924866,0.8069051504135132,0.862051248550415,0.4961013793945313,0.839042067527771,0.8255606889724731,0.7480106353759766,0.23846153914928436,0.8137202858924866,0.8377506732940674,0.22197049856185913,0.34078213572502136,0.3761356770992279,0.2054794579744339,0.7439024448394775,0.04185166954994202,0.8241799473762512,0.7984189987182617,0.8544500470161438,0.3473358750343323,0.22101449966430664,0.021485229954123497,0.02516033500432968,0.34065932035446167,0.8377506732940674
no_init_kenn_top_down_adapter_bert_ms,2,tmgk7dm3,0.8532841205596924,0.59,0.5467224717140198,0.49786150455474854,0.8258416652679443,0.8245614171028137,15,0.6844660043716431,0.856108546257019,0.3176470398902893,0.8509042263031006,0.06520308554172516,0.6642857789993286,0.823764979839325,0.42241379618644714,0.7729044556617737,0.8509042263031006,0.017513565719127655,0.5071429014205933,0.7192307710647583,0.856108546257019,0.8393386602401733,0.05152585729956627,0.6107773184776306,0.33,0.8613770008087158,0.5751742720603943,0.5384615659713745,0.8999999761581421,0.8105020523071289,0.7543410062789917,0.8613770008087158,0.5048732757568359,0.8393386602401733,0.823764979839325,0.7480106353759766,0.23728813230991364,0.8105020523071289,0.8374691605567932,0.2150726318359375,0.3235294222831726,0.37153711915016174,0.19285714626312256,0.6707317233085632,0.042591676115989685,0.8258416652679443,0.7747035622596741,0.8532841205596924,0.33112767338752747,0.21317829191684723,0.01986294612288475,0.02294030413031578,0.3294117748737335,0.8374691605567932
no_init_kenn_bottom_up_adapter_bert_ms,2,sdn2kyi1,0.854255735874176,0.26,0.5425100922584534,0.504664421081543,0.8230668306350708,0.8245614171028137,15,0.6844660043716431,0.8557049036026001,0.3181818127632141,0.8496749997138977,0.06618977338075638,0.7142857313156128,0.8248952031135559,0.41188523173332214,0.7846003770828247,0.8496749997138977,0.017266895622015,0.5,0.7743589878082275,0.8557049036026001,0.8383712768554688,0.050720132887363434,0.6012263894081116,0.33,0.8618209958076477,0.5882353186607361,0.6153846383094788,0.9333333373069764,0.8127522468566895,0.7910931706428528,0.8618209958076477,0.4873294234275818,0.8383712768554688,0.8248952031135559,0.7480106353759766,0.23529411852359772,0.8127522468566895,0.8374065160751343,0.21353746950626373,0.32967033982276917,0.3705136477947235,0.19178082048892975,0.7317073345184326,0.04111165925860405,0.8230668306350708,0.7944663763046265,0.854255735874176,0.3347611129283905,0.21276596188545227,0.020313994958996773,0.02466699481010437,0.3404255509376526,0.8374065160751343
no_init_kenn_hybrid_adapter_bert_ms,1,f33ylxkl,0.8550330400466919,0.35000000000000003,0.5481283068656921,0.5159388184547424,0.822737455368042,0.8245614171028137,15,0.6844660043716431,0.8559154868125916,0.32768362760543823,0.849542498588562,0.0671764463186264,0.7714285850524902,0.8260164260864258,0.4141414165496826,0.796296238899231,0.849542498588562,0.018253576010465625,0.5285714864730835,0.8198717832565308,0.8559154868125916,0.8385744690895081,0.05100717395544052,0.6046289205551147,0.33,0.8623847961425781,0.6273155808448792,0.6730769276618958,0.9666666388511658,0.8146098256111145,0.8214350342750549,0.8623847961425781,0.4873294532299042,0.8385744690895081,0.8260164260864258,0.7480106353759766,0.246478870511055,0.8146098256111145,0.8377469778060913,0.22187888622283936,0.34501349925994873,0.3760746121406555,0.1972789168357849,0.7804877758026123,0.04111165925860405,0.822737455368042,0.8102766871452332,0.8550330400466919,0.3492433428764343,0.22145329415798187,0.02166358567774296,0.026640355587005615,0.3608247637748718,0.8377469778060913
no_init_kenn_top_down_adapter_bert_ms,1,xq1rnzex,0.8554216623306274,0.35000000000000003,0.5362694263458252,0.5113687515258789,0.8194341063499451,0.8245614171028137,15,0.6844660043716431,0.8554216027259827,0.31182795763015747,0.8483948707580566,0.06766979396343231,0.800000011920929,0.8261993527412415,0.3988439440727234,0.8021442294120789,0.8483948707580566,0.01850024610757828,0.535714328289032,0.8391025066375732,0.8554216027259827,0.8370413184165955,0.05082935839891434,0.6025211215019226,0.33,0.8625656366348267,0.6417112350463867,0.7115384340286255,0.9666666388511658,0.8153947591781616,0.834255576133728,0.8625656366348267,0.48245614767074585,0.8370413184165955,0.8261993527412415,0.7480106353759766,0.23566879332065585,0.8153947591781616,0.8372941017150879,0.21078312397003177,0.3341772258281708,0.3686774373054504,0.1858974397182465,0.8048780560493469,0.04070053994655609,0.8194341063499451,0.8181818127632141,0.8554216623306274,0.3369293510913849,0.21086262166500092,0.02216072380542755,0.02762703225016594,0.35406699776649475,0.8372941017150879
no_init_kenn_bottom_up_adapter_bert_ms,1,28t1hseu,0.8528954386711121,0.49,0.5714285969734192,0.501276433467865,0.8314074873924255,0.8245614171028137,14,0.6844660043716431,0.8570455312728882,0.291970819234848,0.8531078100204468,0.06470975279808044,0.6357143521308899,0.8227963447570801,0.4553990662097931,0.7670565247535706,0.8531078100204468,0.01430685631930828,0.41428571939468384,0.6506410241127014,0.8570455312728882,0.8420143723487854,0.05318211764097214,0.6304101943969727,0.33,0.8610199093818665,0.5016521215438843,0.6346153616905212,0.6666666865348816,0.8077024817466736,0.7086145281791687,0.8610199093818665,0.5350877046585083,0.8420143723487854,0.8227963447570801,0.7480106353759766,0.29203540086746216,0.8077024817466736,0.8384652137756348,0.2394756376743317,0.3509933352470398,0.3878057897090912,0.18691588938236237,0.6463414430618286,0.04514060169458389,0.8314074873924255,0.7667984366416931,0.8528954386711121,0.3500949442386627,0.24090908467769623,0.017323948442935944,0.021953625604510307,0.4000000059604645,0.8384652137756348
no_init_kenn_hybrid_adapter_bert_ms,0,av28131p,0.8546443581581116,0.52,0.5442359447479248,0.5077073574066162,0.8226711750030518,0.8245614171028137,15,0.6844660043716431,0.8558362722396851,0.2921348512172699,0.8495301604270935,0.06692977994680405,0.7642857432365417,0.8250781893730164,0.4117647111415863,0.7933723330497742,0.8495301604270935,0.017020225524902344,0.4928571581840515,0.7794871926307678,0.8558362722396851,0.8383530378341675,0.05087275058031082,0.6030355095863342,0.33,0.8622367978096008,0.5992695093154907,0.692307710647583,0.8666666746139526,0.8129614591598511,0.7945120334625244,0.8622367978096008,0.486354798078537,0.8383530378341675,0.8250781893730164,0.7480106353759766,0.2589927911758423,0.8129614591598511,0.8375614881515503,0.2173342406749725,0.3360433578491211,0.3730448186397553,0.1756756752729416,0.7560975551605225,0.0410294346511364,0.8226711750030518,0.8023715615272522,0.8546443581581116,0.3398989140987396,0.2160278707742691,0.020695047453045845,0.02639368548989296,0.376963347196579,0.8375614881515503
no_init_kenn_top_down_adapter_bert_ms,0,18zsf0mo,0.8550330400466919,0.49,0.529032289981842,0.5014894008636475,0.8186046481132507,0.8245614171028137,15,0.6844660043716431,0.85521000623703,0.27225130796432495,0.8481059074401855,0.06742312014102936,0.7928571701049805,0.8252044320106506,0.3927203118801117,0.7992202639579773,0.8481059074401855,0.01776023581624031,0.5142857432365417,0.7987179756164551,0.85521000623703,0.8364223837852478,0.05088730528950691,0.6032080054283142,0.33,0.8624341487884521,0.6238875985145569,0.7307692170143127,0.8666666746139526,0.8137463927268982,0.8073325157165527,0.8624341487884521,0.4844054579734802,0.8364223837852478,0.8252044320106506,0.7480106353759766,0.2451612949371338,0.8137463927268982,0.8369897603988647,0.20332598686218264,0.3216080665588379,0.3637060225009918,0.16149067878723145,0.7804877758026123,0.040864989161491394,0.8186046481132507,0.8102766871452332,0.8550330400466919,0.32413771748542786,0.20253165066242215,0.021545203402638435,0.027380362153053284,0.3671497702598572,0.8369897603988647
no_init_kenn_bottom_up_adapter_bert_ms,0,6wcemcvm,0.8550330400466919,0.2,0.5310880541801453,0.5021394491195679,0.819061815738678,0.8245614171028137,14,0.6844660043716431,0.8553189635276794,0.27956992387771606,0.8483361005783081,0.0673408955335617,0.7857142686843872,0.8252246975898743,0.3949903547763825,0.7982456684112549,0.8483361005783081,0.01652688719332218,0.47857144474983215,0.7987179756164551,0.8553189635276794,0.8366609215736389,0.05041564255952835,0.5976170301437378,0.33,0.8624176979064941,0.594834566116333,0.7307692170143127,0.8666666746139526,0.8137463927268982,0.8073325157165527,0.8624176979064941,0.4775828719139099,0.8366609215736389,0.8252246975898743,0.7480106353759766,0.24203822016716003,0.8137463927268982,0.8370316028594971,0.2043524384498596,0.3240506052970886,0.3643903136253357,0.1666666716337204,0.7804877758026123,0.04028942808508873,0.819061815738678,0.8102766871452332,0.8550330400466919,0.3254407048225403,0.2044728398323059,0.02054189145565033,0.027133692055940628,0.3636363744735718,0.8370316028594971
smart_init_classifier_adapter_bert_ms,2,6c5f58sa,0.8534784317016602,0.43,0.5457063913345337,0.4963799715042114,0.8252536654472351,0.8245614171028137,15,0.6844660043716431,0.8560700416564941,0.3030303120613098,0.8508439660072327,0.06520308554172516,0.6571428775787354,0.823642909526825,0.42004263401031494,0.7729044556617737,0.8508439660072327,0.016280217096209526,0.47142860293388367,0.7147436141967773,0.8560700416564941,0.8391287922859192,0.05152585729956627,0.6107773184776306,0.33,0.8613605499267578,0.5490054488182068,0.5961538553237915,0.8333333134651184,0.8103188872337341,0.7513495683670044,0.8613605499267578,0.5048732757568359,0.8391287922859192,0.823642909526825,0.7480106353759766,0.2421875,0.8103188872337341,0.8374125957489014,0.21368634700775144,0.32463768124580383,0.37061288952827454,0.18518517911434176,0.6829268336296082,0.042591676115989685,0.8252536654472351,0.7786561250686646,0.8534784317016602,0.32900911569595337,0.21292775869369507,0.01895924098789692,0.02269363589584827,0.3444444537162781,0.8374125957489014
smart_init_classifier_adapter_bert_ms,1,61nr2a9z,0.8534784317016602,0.49,0.5743439793586731,0.5117809772491455,0.8308740258216858,0.8245614171028137,14,0.6844660043716431,0.8571473956108093,0.3120567202568054,0.8528899550437927,0.06544975936412811,0.6785714626312256,0.8238266110420227,0.45496535301208496,0.77582848072052,0.8528899550437927,0.015293536707758904,0.44285717606544495,0.6935897469520569,0.8571473956108093,0.8420246243476868,0.05337272211909294,0.6326696276664734,0.33,0.8614474534988403,0.5359417796134949,0.6538461446762085,0.7333333492279053,0.8094555139541626,0.7372470498085022,0.8614474534988403,0.5341130495071411,0.8420246243476868,0.8238266110420227,0.7480106353759766,0.2931034564971924,0.8094555139541626,0.8387172222137451,0.24565082788467407,0.36245954036712646,0.39192256331443787,0.19819819927215576,0.6829268336296082,0.04505837708711624,0.8308740258216858,0.7786561250686646,0.8534784317016602,0.3628056347370148,0.24669604003429413,0.018508102744817737,0.023433644324541092,0.4047619104385376,0.8387172222137451
smart_init_classifier_adapter_bert_ms,0,1i2t0ogc,0.8523125052452087,0.39,0.6252045631408691,0.5467293858528137,0.8416810631752014,0.8245614171028137,43,0.6844660043716431,0.8597649931907654,0.446601927280426,0.8587720394134521,0.06421641260385513,0.6142857074737549,0.8243768811225891,0.5335195660591125,0.7612085938453674,0.8587720394134521,0.01899358630180359,0.550000011920929,0.6429487466812134,0.8597649931907654,0.8469634056091309,0.06138333678245544,0.7276259064674377,0.33,0.8607602715492249,0.580368161201477,0.5192307829856873,0.7666666507720947,0.8073884844779968,0.7034863233566284,0.8607602715492249,0.6968810558319092,0.8469634056091309,0.8243768811225891,0.7480106353759766,0.3417721390724182,0.8073884844779968,0.8420955538749695,0.3284203112125397,0.4273504316806793,0.44710221886634827,0.31506848335266113,0.6097561120986938,0.05878967046737671,0.8416810631752014,0.7549406886100769,0.8523125052452087,0.43476253747940063,0.32894736528396606,0.020042311400175095,0.02121361531317234,0.4122137427330017,0.8420955538749695
