name,instance,run_id,test/macro_types/recall,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_organization-company/macro_types/f1,test_incremental_organization-company-news/macro_types/f1,test_incremental_organization-company-broadcast/macro_types/recall,test_pretraining/macro_types/f1,test_incremental/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_organization-company/macro_types/recall,test/micro/recall,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test/macro_example/recall,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_organization-company/macro_types/precision,test/macro_types/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/precision,test_incremental_organization-company-broadcast/macro_types/precision,test_pretraining/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_organization-company-news/macro_types/recall,test_incremental_organization-company-news/macro_types/precision,epoch,test/micro/f1,test_incremental/macro_example/recall,test/micro/precision,test/macro_example/f1,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_incremental/macro_types/recall,threshold_incremental,test_pretraining/micro/f1,test_incremental/micro/recall,test_incremental_organization-company-broadcast/macro_types/f1
smart_init_box_adapter_bert_ms,1,z7wrn4lq,0.672848105430603,0.8433771133422852,0.35543766617774963,0.8170731663703918,0.352023720741272,0.027133693918585777,0.785714328289032,0.82322758436203,0.594834566116333,0.7392550110816956,0.4577114582061768,0.699999988079071,0.6999163031578064,0.3924265205860138,0.5399448871612549,0.04357835650444031,0.7456140518188477,0.7543859481811523,0.7940147519111633,0.47857144474983215,0.26,0.8040183782577515,0.672848105430603,0.7292536497116089,0.8433771133422852,0.6103096008300781,0.4143763184547424,0.05148639902472496,0.8040183782577515,0.7923076748847961,0.7247191071510315,0.6999163031578064,0.7940147519111633,0.22628021240234375,0.1438356190919876,0.8118418455123901,0.02054189331829548,0.01652688719332218,0.8846153616905212,0.3087248206138611,25,0.8028293251991272,0.0629008412361145,0.8118418455123901,0.82322758436203,0.5220778584480286,0.2271186411380768,0.516569197177887,0.7292536497116089,0.7796671390533447,0.16,0.8028293251991272,0.7747035622596741,0.23863637447357175
smart_init_box_adapter_bert_ms,0,zzyb4pg4,0.6566262245178223,0.8560197353363037,0.4370861351490021,0.40243902802467346,0.4291728436946869,0.013813517056405544,0.40000003576278687,0.8273748159408569,0.3773585259914398,0.7392550110816956,0.4583333432674408,0.36666667461395264,0.6954713463783264,0.5549063682556152,0.6479999423027039,0.062489718198776245,0.6598440408706665,0.7543859481811523,0.7874076962471008,0.3571428656578064,0.26,0.8005849123001099,0.6566262245178223,0.7392013669013977,0.8560197353363037,0.6979561448097229,0.6558704376220703,0.05888036265969277,0.8005849123001099,0.3948718011379242,0.7247191071510315,0.6954713463783264,0.7874076962471008,0.4699999988079071,0.4399999976158142,0.8429374098777771,0.013031619600951672,0.012333497405052183,0.42307692766189575,0.5,25,0.8142268657684326,0.055665187537670135,0.8429374098777771,0.8273748159408569,0.5340527892112732,0.47826087474823,0.7407407760620117,0.7392013669013977,0.5147098898887634,0.45,0.8142268657684326,0.6403161883354187,0.4000000059604645
no_init_kenn_hybrid_adapter_bert_ms,2,vd9tecac,0.8089321851730347,0.861632227897644,0.5125628113746643,0.6219512224197388,0.5603407621383667,0.022200297564268112,0.6428571939468384,0.8612560629844666,0.6635944843292236,0.7480106353759766,0.3809523582458496,0.8999999761581421,0.8280646800994873,0.5455657839775085,0.6666666269302368,0.05936523526906967,0.7660818696022034,0.8245614171028137,0.8525068163871765,0.6857143044471741,0.33,0.8608800768852234,0.8089321851730347,0.8481239676475525,0.861632227897644,0.7335690855979919,0.594427227973938,0.06188471615314483,0.8608800768852234,0.6807692050933838,0.6844660043716431,0.8280646800994873,0.8525068163871765,0.4761156439781189,0.6279069781303406,0.8475657105445862,0.022916434332728382,0.023680314421653748,0.4615384638309479,0.3243243098258972,48,0.8500290513038635,0.06462752819061279,0.8475657105445862,0.8612560629844666,0.6239730715751648,0.43589743971824646,0.703703761100769,0.8481239676475525,0.7286999821662903,0.44,0.8500290513038635,0.7588932514190674,0.7397260665893555
no_init_kenn_top_down_adapter_bert_ms,2,uj53cywa,0.8106851577758789,0.8609415292739868,0.5118483304977417,0.6585366129875183,0.5668120384216309,0.023680314421653748,0.6857143044471741,0.8610697984695435,0.7031182646751404,0.7480106353759766,0.3703703582286834,0.9666666388511658,0.8287813067436218,0.5387018918991089,0.6632652878761292,0.0584607794880867,0.7748538255691528,0.8245614171028137,0.8530897498130798,0.721428632736206,0.33,0.8611980676651001,0.8106851577758789,0.8477038145065308,0.8609415292739868,0.7316348552703857,0.5820895433425903,0.06172153726220131,0.8611980676651001,0.7237179279327393,0.6844660043716431,0.8287813067436218,0.8530897498130798,0.4658198356628418,0.6304348111152649,0.8461834788322449,0.0242813378572464,0.024913664907217022,0.48076921701431274,0.3012048304080963,48,0.8496226072311401,0.06536753475666046,0.8461834788322449,0.8610697984695435,0.629576563835144,0.41860464215278625,0.6929824352264404,0.8477038145065308,0.757332444190979,0.35000000000000003,0.8496226072311401,0.7707509994506836,0.7631579041481018
no_init_kenn_bottom_up_adapter_bert_ms,2,1ghfrtcs,0.806289553642273,0.8640186786651611,0.5487805008888245,0.5487805008888245,0.5855867862701416,0.019240256398916245,0.5571428537368774,0.8621469736099243,0.5843205451965332,0.7480106353759766,0.3958333134651184,0.8666666746139526,0.8282625675201416,0.6001648902893066,0.6876155138015747,0.06520309299230576,0.7485380172729492,0.8245614171028137,0.8513408303260803,0.6142857670783997,0.33,0.860283374786377,0.806289553642273,0.8514667749404907,0.8640186786651611,0.760526180267334,0.6458333134651184,0.0641588419675827,0.860283374786377,0.6160256266593933,0.6844660043716431,0.8282625675201416,0.8513408303260803,0.5580143928527832,0.6842105388641357,0.8521688580513,0.02017880417406559,0.02121361531317234,0.3653846085071564,0.4318181872367859,59,0.8517546653747559,0.06314750760793686,0.8521688580513,0.8621469736099243,0.6400168538093567,0.5487805008888245,0.7729045152664185,0.8514667749404907,0.6855376362800598,0.44,0.8517546653747559,0.7351778745651245,0.7647058963775635
no_init_kenn_hybrid_adapter_bert_ms,1,s3wdwmgu,0.810109555721283,0.8523568511009216,0.34726691246032715,0.6585366129875183,0.3655425012111664,0.021706953644752502,0.6285715103149414,0.8568280935287476,0.5387755036354065,0.7480106353759766,0.3776223957538605,0.8999999761581421,0.8241756558418274,0.3922738432884216,0.5668604969978333,0.04423614591360092,0.7670565247535706,0.8245614171028137,0.8530897498130798,0.47142860293388367,0.33,0.861346423625946,0.810109555721283,0.8387387990951538,0.8523568511009216,0.6229077577590942,0.4482758641242981,0.052549201995134354,0.861346423625946,0.7096153497695923,0.6844660043716431,0.8241756558418274,0.8530897498130798,0.24617773294448853,0.19565217196941376,0.8301815390586853,0.01860596053302288,0.016280215233564377,0.5192307829856873,0.2967033088207245,11,0.8414797186851501,0.06470975279808044,0.8301815390586853,0.8568280935287476,0.5146333575248718,0.235807865858078,0.5243664979934692,0.8387387990951538,0.7479307651519775,0.54,0.8414797186851501,0.7707509994506836,0.3214285671710968
no_init_kenn_top_down_adapter_bert_ms,1,3m6cf2oa,0.8094292879104614,0.8538758754730225,0.3732394576072693,0.6463414430618286,0.3953556716442108,0.02121361717581749,0.6142857074737549,0.8575296998023987,0.5424860715866089,0.7480106353759766,0.4122137427330017,0.8666666746139526,0.8244215250015259,0.41254010796546936,0.5869894027709961,0.0476895272731781,0.7641324996948242,0.8245614171028137,0.8528954386711121,0.485714316368103,0.33,0.8612148761749268,0.8094292879104614,0.8399795293807983,0.8538758754730225,0.6498487591743469,0.47549018263816833,0.05482197925448418,0.8612148761749268,0.6929486989974976,0.6844660043716431,0.8244215250015259,0.8528954386711121,0.2765771150588989,0.21138212084770203,0.8342520594596863,0.018734104931354523,0.016773557290434837,0.5192307829856873,0.3417721390724182,12,0.8434707522392273,0.06446307897567749,0.8342520594596863,0.8575296998023987,0.5289338827133179,0.26237624883651733,0.5653021335601807,0.8399795293807983,0.7368196845054626,0.65,0.8434707522392273,0.7667984366416931,0.33986929059028625
no_init_kenn_bottom_up_adapter_bert_ms,1,ebnbr7vk,0.8085658550262451,0.8596641421318054,0.4690265357494354,0.6463414430618286,0.4744032919406891,0.02244696579873562,0.6499999761581421,0.8603021502494812,0.6278409361839294,0.7480106353759766,0.4724409282207489,0.7666666507720947,0.8257386088371277,0.4725998044013977,0.6434494256973267,0.05936523526906967,0.7690058350563049,0.8245614171028137,0.8528954386711121,0.6071428656578064,0.33,0.8609411716461182,0.8085658550262451,0.8436566591262817,0.8596641421318054,0.7349069714546204,0.5542857050895691,0.06199757754802704,0.8609411716461182,0.6717948913574219,0.6844660043716431,0.8257386088371277,0.8528954386711121,0.36666667461395264,0.3333333432674408,0.8435518145561218,0.021681727841496468,0.02096694707870483,0.5769230723381042,0.4000000059604645,25,0.848197877407074,0.06487419456243515,0.8435518145561218,0.8603021502494812,0.5714902281761169,0.3680555522441864,0.7037037014961243,0.8436566591262817,0.7227171063423157,0.53,0.848197877407074,0.7667984366416931,0.46464648842811584
no_init_kenn_hybrid_adapter_bert_ms,0,0f3ucumn,0.811470091342926,0.8525201082229614,0.3510971963405609,0.6829268336296082,0.3749229907989502,0.02417365461587906,0.699999988079071,0.8570134043693542,0.6502732038497925,0.7480106353759766,0.3857142925262451,0.9666666388511658,0.8249689340591431,0.3953050374984741,0.5660919547080994,0.04489393159747124,0.7787524461746216,0.8245614171028137,0.8534784317016602,0.6071429252624512,0.33,0.8615543246269226,0.811470091342926,0.8389244079589844,0.8525201082229614,0.6322659254074097,0.4446952641010285,0.0533386655151844,0.8615543246269226,0.7429487109184265,0.6844660043716431,0.8249689340591431,0.8534784317016602,0.25072452425956726,0.19463087618350983,0.829305112361908,0.022456401959061623,0.02096694707870483,0.5192307829856873,0.3068181872367859,12,0.841218113899231,0.06569643318653107,0.829305112361908,0.8570134043693542,0.5224475860595703,0.236286923289299,0.5321637392044067,0.8389244079589844,0.7701529860496521,0.4,0.841218113899231,0.7786561250686646,0.3240223526954651
no_init_kenn_top_down_adapter_bert_ms,0,njfatg9b,0.8148976564407349,0.8488157987594604,0.3290488123893738,0.7804877758026123,0.3412676751613617,0.02812037244439125,0.8142857551574707,0.8555411100387573,0.7140042781829834,0.7480106353759766,0.3715847134590149,1.0,0.8260277509689331,0.3714875280857086,0.5352480411529541,0.04292057082056999,0.8021442890167236,0.8245614171028137,0.8550330400466919,0.6357142925262451,0.33,0.8623738288879395,0.8148976564407349,0.8374661207199097,0.8488157987594604,0.6226310133934021,0.39961013197898865,0.0525258406996727,0.8623738288879395,0.8269230723381042,0.6844660043716431,0.8260277509689331,0.8550330400466919,0.2149982750415802,0.17045454680919647,0.8199776411056519,0.024657273665070537,0.021953625604510307,0.6538461446762085,0.25954198837280273,12,0.8371385335922241,0.06766979396343231,0.8199776411056519,0.8555411100387573,0.5125136375427246,0.20846904814243317,0.5087719559669495,0.8374661207199097,0.8261359333992004,0.29000000000000004,0.8371385335922241,0.8102766871452332,0.291262149810791
no_init_kenn_bottom_up_adapter_bert_ms,0,aw7ax7xq,0.8107898831367493,0.8548945784568787,0.3971119225025177,0.6707317233085632,0.4185328185558319,0.024173656478524208,0.7000000476837158,0.8581135869026184,0.6854166984558105,0.7480106353759766,0.41860467195510864,0.9333333373069764,0.8254690766334534,0.4241345226764679,0.5993883609771729,0.05188291519880295,0.7777777910232544,0.8245614171028137,0.8532841205596924,0.6714285612106323,0.33,0.8613569736480713,0.8107898831367493,0.8406894207000732,0.8548945784568787,0.6868828535079956,0.4887780547142029,0.057946208864450455,0.8613569736480713,0.7262820601463318,0.6844660043716431,0.8254690766334534,0.8532841205596924,0.29396873712539673,0.23728813230991364,0.8357442021369934,0.02367003820836544,0.023186974227428436,0.5192307829856873,0.350649356842041,25,0.8444231152534485,0.06561420857906342,0.8357442021369934,0.8581135869026184,0.5441890954971313,0.28205129504203796,0.6150097250938416,0.8406894207000732,0.7590419054031372,0.25,0.8444231152534485,0.7747035622596741,0.3783783614635467
smart_init_classifier_adapter_bert_ms,2,lrbor5j0,0.8125429153442383,0.8609350919723511,0.5370370149612427,0.707317054271698,0.5779016613960266,0.025407005101442337,0.735714316368103,0.8612802028656006,0.7427884340286255,0.7480106353759766,0.4148148000240326,1.0,0.8296918272972107,0.5366835594177246,0.6711635589599609,0.05977635085582733,0.7855750322341919,0.8245614171028137,0.8538670539855957,0.75,0.33,0.861625611782074,0.8125429153442383,0.8475801944732666,0.8609350919723511,0.7450920939445496,0.5852941274642944,0.06285680085420609,0.861625611782074,0.7692307829856873,0.6844660043716431,0.8296918272972107,0.8538670539855957,0.4627923369407654,0.5882353186607361,0.8461390137672424,0.025651302188634872,0.0259003434330225,0.5384615659713745,0.33734938502311707,59,0.8499855399131775,0.06627199053764343,0.8461390137672424,0.8612802028656006,0.6383951902389526,0.43283581733703613,0.708577036857605,0.8475801944732666,0.7876743674278259,0.17,0.8499855399131775,0.7865612506866455,0.7407407164573669
smart_init_classifier_adapter_bert_ms,1,e72x7vvh,0.8092461824417114,0.8592694997787476,0.4675324857234955,0.6585366129875183,0.47390198707580566,0.02294030599296093,0.6642857789993286,0.8601866364479065,0.6421428918838501,0.7480106353759766,0.4580152630805969,0.800000011920929,0.825988233089447,0.46902334690093994,0.6414473652839661,0.05936523526906967,0.7719298005104065,0.8245614171028137,0.8530897498130798,0.6214286088943481,0.33,0.8611056804656982,0.8092461824417114,0.843437671661377,0.8592694997787476,0.736239492893219,0.5492957830429077,0.06210999563336373,0.8611056804656982,0.6884615421295166,0.6844660043716431,0.825988233089447,0.8530897498130798,0.361301988363266,0.34285715222358704,0.8429339528083801,0.022175628691911697,0.021460285410284996,0.5769230723381042,0.37974682450294495,25,0.8479814529418945,0.0651208683848381,0.8429339528083801,0.8601866364479065,0.5722776651382446,0.3624161183834076,0.7037037014961243,0.843437671661377,0.7338281869888306,0.53,0.8479814529418945,0.7707509994506836,0.48000001907348633
smart_init_classifier_adapter_bert_ms,0,bp0we3fo,0.8080687522888184,0.8597269654273987,0.45945945382118225,0.6219512224197388,0.46935874223709106,0.02244696579873562,0.6500000357627869,0.8602867722511292,0.6605405807495117,0.7480106353759766,0.4426229596138001,0.800000011920929,0.8254328370094299,0.47101253271102905,0.6410684585571289,0.06059858202934265,0.7670565247535706,0.8245614171028137,0.8525068163871765,0.6714285612106323,0.33,0.8608472347259521,0.8080687522888184,0.8435595035552979,0.8597269654273987,0.7418906092643738,0.5549132823944092,0.0625867247581482,0.8608472347259521,0.6596153974533081,0.6844660043716431,0.8254328370094299,0.8525068163871765,0.3642857074737549,0.34285715222358704,0.8438161015510559,0.02281096950173378,0.023186976090073586,0.5192307829856873,0.3857142925262451,25,0.848139226436615,0.06470975279808044,0.8438161015510559,0.8602867722511292,0.5677825808525085,0.3642857074737549,0.7183235883712769,0.8435595035552979,0.7145974040031433,0.51,0.848139226436615,0.7588932514190674,0.48000001907348633
