name,instance,run_id,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_location-geography/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1,test_incremental_location-geography-island/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-geography-island/macro_types/recall,test/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,threshold_pretraining,test_incremental_only/macro_types/recall,test_incremental_location-geography/macro_types/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test/micro/precision,test/macro_example/precision,test_incremental/micro/recall,test/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_location-geography/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/recall,test_incremental/macro_types/precision,test_incremental_location-geography-island/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/micro/f1,test/macro_types/precision,epoch,test/micro/f1,test_incremental/micro/f1,test_incremental_only/macro_types/precision,test_incremental_location-geography-mountain/macro_types/precision,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,threshold_incremental,test/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_location-geography-mountain/macro_types/recall,test_incremental/macro_types/f1
no_init_kenn_hybrid_adapter_bert_ms,2,58bc9tym,0.8477796912193298,0.3821411728858948,0.4949420094490051,0.8578611016273499,0.8111830949783325,0.7837837934494019,0.01776023581624031,0.38297873735427856,0.46875,0.5222222805023193,0.19354839622974396,0.46875,0.8482731580734253,0.36734694242477417,0.1666666567325592,0.5,0.859196662902832,0.40000003576278687,0.8111830949783325,0.33,0.40000003576278687,0.644444465637207,0.8578611016273499,0.8605363368988037,0.8477796912193298,0.8605363368988037,0.5222222208976746,0.8482731580734253,0.023186976090073586,0.010447196662425997,0.020884722471237183,1,0.021975716575980183,0.4000000059604645,0.4838709533214569,0.5,0.5243566036224365,0.44117647409439087,0.7895227670669556,0.8480263948440552,0.8340653777122498,8,0.8480263948440552,0.5595237612724304,0.3658088445663452,0.1875,0.6025640964508057,0.859196662902832,0.4611111283302307,0.007400098256766796,0.19,0.7895227670669556,0.23529410362243652,0.8340653777122498,0.47037041187286377,0.20000000298023224,0.4907043576240539
no_init_kenn_top_down_adapter_bert_ms,2,lp964sl1,0.8451600670814514,0.4310203790664673,0.49358975887298584,0.8595467209815979,0.8150686621665955,0.7837837934494019,0.023186974227428436,0.43317970633506775,0.39436617493629456,0.5833333730697632,0.3380281627178192,0.46666666865348816,0.8504074215888977,0.3700787425041199,0.23148149251937863,0.46666666865348816,0.8594600558280945,0.5222222805023193,0.8150686621665955,0.33,0.5222222208976746,0.644444465637207,0.8595467209815979,0.8593734502792358,0.8451600670814514,0.8593734502792358,0.5833333134651184,0.8504074215888977,0.0259003434330225,0.014242613688111304,0.01899358630180359,1,0.021915677934885025,0.5222222208976746,0.5600000023841858,0.699999988079071,0.5252032279968262,0.3414634168148041,0.7968561053276062,0.8477756381034851,0.8341331481933594,13,0.8477756381034851,0.5753425359725952,0.36693769693374634,0.2926829159259796,0.5675675868988037,0.8594600558280945,0.5527777671813965,0.010277914814651012,0.2,0.7968561053276062,0.3207753300666809,0.8341331481933594,0.4277777671813965,0.4000000059604645,0.5386378169059753
no_init_kenn_bottom_up_adapter_bert_ms,2,lff40lx5,0.8419033288955688,0.429368108510971,0.4612159729003906,0.8603689670562744,0.8160797357559204,0.7837837934494019,0.025653675198554993,0.4279835522174835,0.4691357910633087,0.6111111640930176,0.24390245974063873,0.4600000083446502,0.851377546787262,0.33986929059028625,0.21111111342906952,0.6333333253860474,0.8587995171546936,0.5777778029441833,0.8160797357559204,0.33,0.5777778029441833,0.644444465637207,0.8603689670562744,0.8572356700897217,0.8419033288955688,0.8572356700897217,0.6111111044883728,0.851377546787262,0.027133695781230927,0.013730136677622797,0.01644466258585453,1,0.02047826163470745,0.5777778029441833,0.574999988079071,0.7666666507720947,0.5062142014503479,0.3725490272045135,0.8001894950866699,0.846613883972168,0.8326139450073242,8,0.846613883972168,0.5626598000526428,0.3416188955307007,0.1923076957464218,0.521327018737793,0.8587995171546936,0.5944444537162781,0.009373458102345468,0.02,0.8001894950866699,0.3092331886291504,0.8326139450073242,0.37037038803100586,0.3333333432674408,0.5467929840087891
no_init_kenn_hybrid_adapter_bert_ms,1,zhz3wabp,0.8536632657051086,0.5479391813278198,0.5703643560409546,0.8593411445617676,0.8211482763290405,0.7837837934494019,0.022200297564268112,0.5521472096443176,0.4000000059604645,0.5722222328186035,0.48148149251937866,0.6764705777168274,0.8500193953514099,0.6164383292198181,0.39814814925193787,0.30000001192092896,0.8616018891334534,0.5,0.8211482763290405,0.33,0.5,0.644444465637207,0.8593411445617676,0.8638745546340942,0.8536632657051086,0.8638745546340942,0.5722222328186035,0.8500193953514099,0.025407005101442337,0.019682737067341805,0.02524255588650703,1,0.025324514135718346,0.5,0.71875,0.7666666507720947,0.7045342922210693,0.6000000238418579,0.7955228090286255,0.8518374562263489,0.8484796285629272,31,0.8518374562263489,0.6623793840408325,0.6060457825660706,0.5416666865348816,0.7862595319747925,0.8616018891334534,0.5361111164093018,0.01767801307141781,0.76,0.7955228090286255,0.44329896569252014,0.8484796285629272,0.5685185194015503,0.4333333373069763,0.6088905930519104
no_init_kenn_top_down_adapter_bert_ms,1,c29y6ant,0.8392516374588013,0.4489623308181762,0.4808189570903778,0.8616434335708618,0.8187521696090698,0.7837837934494019,0.029600393027067184,0.44609662890434265,0.5,0.6555556058883667,0.301075279712677,0.4137931168079376,0.8529297709465027,0.33519554138183594,0.2518518567085266,0.7333333492279053,0.8589377403259277,0.6666666865348816,0.8187521696090698,0.33,0.6666666865348816,0.644444465637207,0.8616434335708618,0.8562489748001099,0.8392516374588013,0.8562489748001099,0.6555555462837219,0.8529297709465027,0.029107054695487022,0.016232473775744438,0.01685578003525734,1,0.02134864591062069,0.6666666865348816,0.5454545617103577,0.800000011920929,0.5038314461708069,0.3793103396892547,0.8055227398872375,0.8460354208946228,0.8324233889579773,8,0.8460354208946228,0.5659472346305847,0.3384419083595276,0.2222222238779068,0.49789029359817505,0.8589377403259277,0.6611111164093018,0.011182371526956558,0.02,0.8055227398872375,0.3655914068222046,0.8324233889579773,0.3796296715736389,0.46666666865348816,0.5718541145324707
no_init_kenn_bottom_up_adapter_bert_ms,1,p6qedwo5,0.8395109176635742,0.438292384147644,0.45827168226242065,0.8613145351409912,0.8178781270980835,0.7837837934494019,0.02861371450126171,0.4377358555793762,0.4772726893424988,0.644444465637207,0.2921348214149475,0.4137931168079376,0.8525417447090149,0.33142855763435364,0.2222222238779068,0.699999988079071,0.8588569760322571,0.644444465637207,0.8178781270980835,0.33,0.644444465637207,0.644444465637207,0.8613145351409912,0.8564133644104004,0.8395109176635742,0.8564133644104004,0.644444465637207,0.8525417447090149,0.02861371450126171,0.01467370055615902,0.015786875039339066,1,0.020347530022263527,0.644444465637207,0.5454545617103577,0.800000011920929,0.4990502595901489,0.3620689511299134,0.8041894435882568,0.8459761738777161,0.8320409059524536,7,0.8459761738777161,0.5617433786392212,0.3320670425891876,0.22033898532390592,0.497854083776474,0.8588569760322571,0.644444465637207,0.009866798296570778,0.01,0.8041894435882568,0.3304843604564667,0.8320409059524536,0.35555559396743774,0.4333333373069763,0.5625039935112
no_init_kenn_hybrid_adapter_bert_ms,0,yd8bw1f6,0.8454563021659851,0.43079546093940735,0.4915899932384491,0.8594233989715576,0.8148730397224426,0.7837837934494019,0.02269363589584827,0.4299065470695496,0.4533333480358124,0.5777778029441833,0.19999998807907104,0.5641025900840759,0.8502134084701538,0.3709677457809448,0.222222238779068,0.5666666626930237,0.8592274785041809,0.5111111402511597,0.8148730397224426,0.33,0.5111111402511597,0.644444465637207,0.8594233989715576,0.859031617641449,0.8454563021659851,0.859031617641449,0.5777778029441833,0.8502134084701538,0.025653675198554993,0.013753718696534634,0.01899358630180359,1,0.021826883777976036,0.5111111402511597,0.6376811861991882,0.7333333492279053,0.5292201042175293,0.3777777850627899,0.7961894273757935,0.847828209400177,0.8344545364379883,9,0.847828209400177,0.5745856761932373,0.37229347229003906,0.17499999701976776,0.5714285969734192,0.8592274785041809,0.5444444417953491,0.009866798296570778,0.13,0.7961894273757935,0.3097643554210663,0.8344545364379883,0.42777782678604126,0.23333333432674408,0.536724328994751
no_init_kenn_top_down_adapter_bert_ms,0,9kifjitr,0.836121678352356,0.4257316589355469,0.4606060683727264,0.8619722723960876,0.818556010723114,0.7837837934494019,0.030587073415517807,0.42611682415008545,0.44897958636283875,0.6666666865348816,0.3333333432674408,0.35820895433425903,0.8533177971839905,0.30845770239830017,0.2370370477437973,0.7333333492279053,0.8584259152412415,0.6888889074325562,0.818556010723114,0.33,0.6888889074325562,0.644444465637207,0.8619722723960876,0.8549087047576904,0.836121678352356,0.8549087047576904,0.6666666865348816,0.8533177971839905,0.029600393027067184,0.01566058211028576,0.01562242954969406,1,0.020451180636882785,0.6888889074325562,0.4948453903198242,0.800000011920929,0.4810406565666199,0.3235294222831726,0.806856095790863,0.8446321487426758,0.8306001424789429,9,0.8446321487426758,0.5466970801353455,0.30805420875549316,0.24242424964904785,0.4633204638957978,0.8584259152412415,0.6777777671813965,0.010524583980441092,0.03,0.806856095790863,0.35271114110946655,0.8306001424789429,0.35185185074806213,0.5333333611488342,0.5627087354660034
no_init_kenn_bottom_up_adapter_bert_ms,0,kgjsbl66,0.8438883423805237,0.424751877784729,0.4764045178890228,0.8597522974014282,0.8150146007537842,0.7837837934494019,0.023680316284298897,0.4247787594795227,0.4358974099159241,0.5888888835906982,0.2432432472705841,0.5,0.8506014943122864,0.3529411852359772,0.2074074149131775,0.5666666626930237,0.8588977456092834,0.533333420753479,0.8150146007537842,0.33,0.5333333611488342,0.644444465637207,0.8597522974014282,0.8580449819564819,0.8438883423805237,0.8580449819564819,0.5888888835906982,0.8506014943122864,0.026147013530135155,0.013260976411402224,0.01776023767888546,1,0.021152641624212265,0.5333333611488342,0.5945945978164673,0.7333333492279053,0.5146780014038086,0.3541666567325592,0.7975227236747742,0.8472315669059753,0.8332910537719727,9,0.8472315669059753,0.5668449401855469,0.3529040217399597,0.20454545319080353,0.5463917255401611,0.8588977456092834,0.5611110925674438,0.009209011681377888,0.08,0.7975227236747742,0.29866668581962585,0.8332910537719727,0.40000003576278687,0.30000001192092896,0.5368924736976624
smart_init_classifier_adapter_bert_ms,2,q5lr432d,0.8336490988731384,0.4142808020114898,0.4743240773677826,0.862301230430603,0.8187808990478516,0.7837837934494019,0.03157375380396843,0.41423946619033813,0.4615384638309479,0.6777778267860413,0.3106796145439148,0.3333333432674408,0.853705883026123,0.29223743081092834,0.23888888955116272,0.800000011920929,0.8578170537948608,0.7111111283302307,0.8187808990478516,0.33,0.7111111879348755,0.644444465637207,0.862301230430603,0.8533793687820435,0.8336490988731384,0.8533793687820435,0.6777777671813965,0.853705883026123,0.030093733221292496,0.015879198908805847,0.016197992488741875,1,0.021060269325971603,0.7111111283302307,0.4705882668495178,0.800000011920929,0.4692089557647705,0.3243243098258972,0.8081894516944885,0.8435582518577576,0.8296535611152649,8,0.8435582518577576,0.5339167714118958,0.29227858781814575,0.21917808055877688,0.44043320417404175,0.8578170537948608,0.6944444179534912,0.010606808587908745,0.01,0.8081894516944885,0.3576348125934601,0.8296535611152649,0.364814817905426,0.5333333611488342,0.5600285530090332
smart_init_classifier_adapter_bert_ms,1,hs436lfq,0.8384512662887573,0.4384501874446869,0.4672323167324066,0.8616434335708618,0.8184093236923218,0.7837837934494019,0.029600393027067184,0.4379562139511109,0.4835164248943329,0.6555556058883667,0.30434781312942505,0.39344263076782227,0.8529297709465027,0.32608696818351746,0.22962963581085205,0.7333333492279053,0.8587225675582886,0.6666666865348816,0.8184093236923218,0.33,0.6666667461395264,0.644444465637207,0.8616434335708618,0.8558213710784912,0.8384512662887573,0.8558213710784912,0.6555555462837219,0.8529297709465027,0.029107054695487022,0.015167144127190111,0.016115769743919373,1,0.02074539102613926,0.6666666865348816,0.5274725556373596,0.800000011920929,0.4949762225151062,0.3606557250022888,0.8055227398872375,0.845628559589386,0.8317149877548218,7,0.845628559589386,0.5592416524887085,0.32663494348526,0.22580644488334656,0.4876033067703247,0.8587225675582886,0.6611111164093018,0.010195691138505936,0.03,0.8055227398872375,0.3415977954864502,0.8317149877548218,0.3629629611968994,0.46666666865348816,0.5661064386367798
