name,instance,run_id,test_incremental_location-geography-island/macro_types/recall,epoch,test_incremental_location-geography/macro_types/f1,test_incremental_location-geography-island/macro_types/precision,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/recall,test_incremental/macro_types/recall,test/micro/recall,test/macro_types/f1,test/macro_example/f1,threshold_incremental,test/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_location-geography/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental/micro/f1,test_incremental_only/micro/precision,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_location-geography-body_of_water/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/micro/precision,test_incremental_only/micro/f1,test/macro_types/precision,test/macro_example/precision,test_incremental_location-geography-mountain/macro_types/recall,test/micro/f1,test_pretraining/micro/f1,test_incremental/macro_example/recall,test_pretraining/macro_types/recall,test_incremental_location-geography-mountain/macro_types/precision,threshold_pretraining,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_location-geography-island/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_location-geography/macro_types/recall,test/macro_example/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-geography-body_of_water/macro_types/recall,test_pretraining/micro/recall,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall
smart_init_box_adapter_bert_ms,1,4ys4wrte,0.9666666388511658,8,0.6153846383094788,0.06651376187801361,0.11965812742710114,0.3185185194015503,0.699999988079071,0.8277777433395386,0.7964687347412109,0.6970831751823425,0.7867163419723511,0.01,0.6850321888923645,0.0658050999045372,1,0.47777777910232544,0.12526997923851013,0.16502946615219116,0.0657995417714119,0.017431342974305153,0.7657405138015747,0.123130701482296,0.9555555582046508,0.9555555582046508,0.5030508637428284,0.06697459518909454,0.022335754707455635,0.014142410829663277,0.392592579126358,0.6790736317634583,0.1231209635734558,0.7095656394958496,0.7657405138015747,0.9333333373069764,0.7331011891365051,0.7331011891365051,0.03108041174709797,0.6850321888923645,0.06392694264650345,0.26,0.6970831751823425,0.6790736317634583,0.1244635209441185,0.7867163419723511,0.02121361531317234,0.29935383796691895,0.04242723062634468,0.4444444477558136,0.8088736534118652,0.4396974444389343,0.8088736534118652,0.9555556178092957,0.9666666388511658,0.7964687347412109,0.0935412049293518,0.7095656394958496,0.7000000476837158
smart_init_box_adapter_bert_ms,0,r6vc7snz,0.9666666388511658,7,0.6153846383094788,0.07323232293128967,0.13519813120365143,0.31481480598449707,0.6944444179534912,0.8194444179534912,0.796274721622467,0.696903645992279,0.7926627397537231,0.01,0.6843655705451965,0.0715387761592865,1,0.472222238779068,0.12765957415103912,0.1775568276643753,0.07154881954193115,0.017266895622015,0.77727872133255,0.13300299644470215,0.9444444179534912,0.944444477558136,0.49857547879219055,0.06870228797197342,0.022137045860290527,0.013977963477373123,0.3888888955116272,0.6925413608551025,0.1330203413963318,0.7099096775054932,0.77727872133255,0.9666666388511658,0.7407942414283752,0.7407942414283752,0.030833741649985313,0.6843655705451965,0.07268170267343521,0.26,0.696903645992279,0.6925413608551025,0.13615022599697113,0.7926627397537231,0.020966945216059685,0.3036540746688843,0.04193389415740967,0.4444444477558136,0.8086680769920349,0.4431091845035553,0.8086680769920349,0.9444445371627808,0.8999999761581421,0.796274721622467,0.10179153084754944,0.7099096775054932,0.6944445371627808
no_init_kenn_hybrid_adapter_bert_ms,2,nd34v19t,0.6666666865348816,26,0.7837837934494019,0.9523809552192688,0.6938775777816772,0.6888889670372009,0.6666666865348816,0.6777777671813965,0.8533177971839905,0.8364465236663818,0.8643844127655029,0.7000000000000001,0.806856095790863,0.9362187385559082,1,0.6888889670372009,0.8928570747375488,0.7894736528396606,0.939393937587738,0.030833743512630463,0.8668099641799927,0.7937328815460205,0.6888889074325562,0.6888889074325562,0.6802721619606018,0.9615384340286256,0.03020448423922062,0.030587073415517807,0.6944445371627808,0.8581463694572449,0.7948718070983887,0.8682900071144104,0.8668099641799927,0.5666666626930237,0.8557252287864685,0.8557252287864685,0.029600394889712337,0.806856095790863,0.8947368264198303,0.33,0.8364465236663818,0.8581463694572449,0.7843137383460999,0.8643844127655029,0.030587073415517807,0.9521640539169312,0.030587073415517807,0.644444465637207,0.8619723320007324,0.7918756604194641,0.8619723320007324,0.6888889670372009,0.8333333134651184,0.8533177971839905,0.9677419066429138,0.8682900071144104,0.6666667461395264
no_init_kenn_top_down_adapter_bert_ms,2,qaoryn9f,0.7333333492279053,27,0.7837837934494019,0.9166666865348816,0.7407407760620117,0.7314815521240234,0.6944444179534912,0.7194444537162781,0.8542879223823547,0.8363975882530212,0.8645722270011902,0.38,0.810189425945282,0.8706896901130676,1,0.7379061579704285,0.8474575877189636,0.79365074634552,0.8701298832893372,0.032642658799886703,0.866398811340332,0.8026331067085266,0.7444444298744202,0.7444444894790649,0.7142343521118164,0.8620689511299133,0.031712427735328674,0.0324782095849514,0.7351852655410767,0.8572819232940674,0.802395224571228,0.8643581867218018,0.866398811340332,0.6666666865348816,0.8557823300361633,0.8557823300361633,0.030833743512630463,0.810189425945282,0.8333333134651184,0.33,0.8363975882530212,0.8572819232940674,0.8148148059844971,0.8645722270011902,0.032763462513685226,0.9030172228813172,0.03305377438664436,0.644444465637207,0.8627533912658691,0.8008456826210022,0.8627533912658691,0.7444444894790649,0.8333333134651184,0.8542879223823547,0.92592591047287,0.8643581867218018,0.694444477558136
no_init_kenn_bottom_up_adapter_bert_ms,2,f7yn7575,0.6666666865348816,26,0.7837837934494019,0.9523809552192688,0.7200000286102295,0.7000000476837158,0.6722221970558167,0.6861110925674438,0.8535118103027344,0.8368535041809082,0.8645078539848328,0.62,0.8075227737426758,0.937973141670227,1,0.7000000476837158,0.8928570747375488,0.7934425473213196,0.9402984976768494,0.031327083706855774,0.8668921589851379,0.8016995787620544,0.699999988079071,0.7000000476837158,0.6884857416152954,0.9615384340286256,0.03056917153298855,0.03108041360974312,0.7055556178092957,0.8581740260124207,0.802547812461853,0.8683952689170837,0.8668921589851379,0.6000000238418579,0.8558365702629089,0.8558365702629089,0.02984706498682499,0.8075227737426758,0.8999999761581421,0.33,0.8368535041809082,0.8581740260124207,0.7843137383460999,0.8645078539848328,0.03108041360974312,0.9534798860549928,0.03108041360974312,0.644444465637207,0.862136721611023,0.7979955077171326,0.862136721611023,0.7000000476837158,0.8333333134651184,0.8535118103027344,0.9679999947547911,0.8683952689170837,0.6722222566604614
no_init_kenn_hybrid_adapter_bert_ms,1,hvotq5a6,0.6666666865348816,22,0.7837837934494019,0.9090909361839294,0.7169811725616455,0.6703703999519348,0.6722221970558167,0.6861110925674438,0.8535118103027344,0.8354052305221558,0.8643239140510559,0.24,0.8075227737426758,0.8860849142074585,1,0.6848649382591248,0.8571428656578064,0.783171534538269,0.8873239159584045,0.03034040331840515,0.8665221929550171,0.7821264266967773,0.699999988079071,0.7000000476837158,0.6777322888374329,0.9230769276618958,0.03009171038866043,0.029764842242002487,0.6833333969116211,0.8575048446655273,0.7826086282730103,0.8652819395065308,0.8665221929550171,0.6333333253860474,0.8555036783218384,0.8555036783218384,0.02984706312417984,0.8075227737426758,0.8260869383811951,0.33,0.8354052305221558,0.8575048446655273,0.7692307829856873,0.8643239140510559,0.030408404767513275,0.9145637154579164,0.03108041360974312,0.644444465637207,0.862136721611023,0.7840346693992615,0.862136721611023,0.7000000476837158,0.800000011920929,0.8535118103027344,0.9379844665527344,0.8652819395065308,0.6722222566604614
no_init_kenn_top_down_adapter_bert_ms,1,tfqvv9qh,0.5666666626930237,22,0.7837837934494019,1.0,0.7058824300765991,0.6555556058883667,0.6499999761581421,0.6527777910232544,0.8527357578277588,0.8358190655708313,0.8641732335090637,0.74,0.8048561215400696,0.9523810148239136,1,0.6555556058883667,0.888888955116272,0.7800000309944153,0.9516128897666932,0.030093735083937645,0.8668428659439087,0.7765712738037109,0.6555555462837219,0.6555556058883667,0.663598358631134,1.0,0.029464157298207283,0.029107054695487022,0.6777778267860413,0.8582308292388916,0.7763157486915588,0.8692597150802612,0.8668428659439087,0.6000000238418579,0.8554744720458984,0.8554744720458984,0.028860384598374367,0.8048561215400696,0.8571428656578064,0.33,0.8358190655708313,0.8582308292388916,0.7234042882919312,0.8641732335090637,0.029107054695487022,0.9642857313156128,0.029107054695487022,0.644444465637207,0.8615200519561768,0.7785276174545288,0.8615200519561768,0.6555556058883667,0.800000011920929,0.8527357578277588,0.975000023841858,0.8692597150802612,0.6500000357627869
no_init_kenn_bottom_up_adapter_bert_ms,1,21ldpagm,0.699999988079071,25,0.7837837934494019,0.91304349899292,0.7169811725616455,0.6814815402030945,0.6777777671813965,0.6944444179534912,0.853705883026123,0.8354796767234802,0.864324688911438,0.14,0.8081894516944885,0.8760064840316772,1,0.6959812045097351,0.8421052694320679,0.7845658659934998,0.8767123222351074,0.030833743512630463,0.866357684135437,0.7849928140640259,0.7111111283302307,0.7111111283302307,0.68600994348526,0.8888888955116272,0.030459245666861538,0.0302581787109375,0.6944445371627808,0.8573655486106873,0.7852761149406433,0.8646773099899292,0.866357684135437,0.6333333253860474,0.8555317521095276,0.8555317521095276,0.030093733221292496,0.8081894516944885,0.8260869383811951,0.33,0.8354796767234802,0.8573655486106873,0.7924527525901794,0.864324688911438,0.030901970341801643,0.9070048332214355,0.03157375380396843,0.644444465637207,0.862301230430603,0.7866180539131165,0.862301230430603,0.7111111879348755,0.800000011920929,0.853705883026123,0.9312977194786072,0.8646773099899292,0.6777778267860413
no_init_kenn_hybrid_adapter_bert_ms,0,dco3wehe,0.6333333253860474,21,0.7837837934494019,1.0,0.625,0.6203703880310059,0.6388888955116272,0.6361111402511597,0.8523476719856262,0.8344948291778564,0.8638239502906799,0.55,0.8035228252410889,0.9305555820465088,1,0.6267848610877991,0.8518518805503845,0.7692307829856873,0.934426248073578,0.028202597051858905,0.8664728403091431,0.7537003755569458,0.6333333253860474,0.6333333253860474,0.6370317339897156,0.9583333134651184,0.028284579515457153,0.027544811367988583,0.6351852416992188,0.8580077886581421,0.7549669742584229,0.8679502010345459,0.8664728403091431,0.5,0.8551682829856873,0.8551682829856873,0.028367044404149055,0.8035228252410889,0.8333333134651184,0.33,0.8344948291778564,0.8580077886581421,0.7755101919174194,0.8638239502906799,0.027829615399241447,0.9479166269302368,0.0281203743070364,0.644444465637207,0.8611911535263062,0.7613254189491272,0.8611911535263062,0.6333333253860474,0.7666666507720947,0.8523476719856262,0.9663865566253662,0.8679502010345459,0.638888955116272
no_init_kenn_top_down_adapter_bert_ms,0,98j8nbm6,0.6333333253860474,22,0.7837837934494019,1.0,0.6792453527450562,0.6537037491798401,0.6555555462837219,0.6611111164093018,0.8529297709465027,0.8341124057769775,0.8638266324996948,0.47,0.8055227994918823,0.8781535625457764,1,0.6601216197013855,0.8070175051689148,0.7687296271324158,0.8695651888847351,0.029682617634534836,0.8659795522689819,0.7579337954521179,0.6666666865348816,0.6666666865348816,0.6619735956192017,0.8518518805503845,0.029392018914222717,0.02902483195066452,0.6685185432434082,0.8572542667388916,0.7547169327735901,0.864806056022644,0.8659795522689819,0.6000000238418579,0.8550865054130554,0.8550865054130554,0.029107054695487022,0.8055227994918823,0.782608687877655,0.33,0.8341124057769775,0.8572542667388916,0.7755101919174194,0.8638266324996948,0.02930978685617447,0.9086151719093324,0.029600394889712337,0.644444465637207,0.8616844415664673,0.7653508186340332,0.8616844415664673,0.6666666865348816,0.7666666507720947,0.8529297709465027,0.9291338324546814,0.864806056022644,0.6555556058883667
no_init_kenn_bottom_up_adapter_bert_ms,0,d9d7lo0t,0.6333333253860474,21,0.7837837934494019,0.949999988079071,0.6800000071525574,0.6370370388031006,0.6499999761581421,0.6527777910232544,0.8527357578277588,0.8349044919013977,0.8640915155410767,0.38,0.8048561215400696,0.9194444417953492,1,0.6461637020111084,0.8518518805503845,0.774834394454956,0.921875,0.02902483008801937,0.8666784167289734,0.7653929591178894,0.6555555462837219,0.6555556058883667,0.6518465876579285,0.9583333134651184,0.028942374512553215,0.028284821659326553,0.6537036895751953,0.8578957915306091,0.7662337422370911,0.8672835230827332,0.8666784167289734,0.5666666626930237,0.8553079962730408,0.8553079962730408,0.028860384598374367,0.8048561215400696,0.8500000238418579,0.33,0.8349044919013977,0.8578957915306091,0.7599999904632568,0.8640915155410767,0.028690049424767498,0.9395833015441896,0.029107054695487022,0.644444465637207,0.8615200519561768,0.7703518271446228,0.8615200519561768,0.6555556058883667,0.7666666507720947,0.8527357578277588,0.9590163826942444,0.8672835230827332,0.6500000357627869
smart_init_classifier_adapter_bert_ms,2,544f9mx0,0.699999988079071,28,0.7837837934494019,0.91304349899292,0.7407407760620117,0.7277778387069702,0.6888889074325562,0.7111111283302307,0.8540939092636108,0.8362963795661926,0.8645308613777161,0.44,0.8095227479934692,0.8797447085380554,1,0.7305450439453125,0.8620689511299133,0.7923322319984436,0.8799999952316284,0.032642658799886703,0.866439938545227,0.7998944520950317,0.7333333492279053,0.7333333492279053,0.7112845182418823,0.8928571343421936,0.03158145397901535,0.032313764095306396,0.7351852655410767,0.8574211001396179,0.800000011920929,0.8649015426635742,0.866439938545227,0.6666666865348816,0.8557543158531189,0.8557543158531189,0.030587073415517807,0.8095227479934692,0.8333333134651184,0.33,0.8362963795661926,0.8574211001396179,0.7924527525901794,0.8645308613777161,0.03243662789463997,0.9098085165023804,0.03256043419241905,0.644444465637207,0.8626300692558289,0.7982813715934753,0.8626300692558289,0.73333340883255,0.8333333134651184,0.8540939092636108,0.932330846786499,0.8649015426635742,0.6888889074325562
smart_init_classifier_adapter_bert_ms,1,sjtcm5dx,0.5666666626930237,23,0.7837837934494019,1.0,0.7200000286102295,0.644444465637207,0.644444465637207,0.644444465637207,0.8525417447090149,0.8358551263809204,0.8641722202301025,0.7000000000000001,0.8041895031929016,0.9666666984558104,1,0.644444465637207,0.8679245114326477,0.7785235047340393,0.9666666388511658,0.0303404051810503,0.867007315158844,0.7733333706855774,0.644444465637207,0.644444465637207,0.66331946849823,1.0,0.029451772570610046,0.02861371450126171,0.6833333969116211,0.8583707809448242,0.7733333110809326,0.8701168298721313,0.867007315158844,0.6000000238418579,0.8554463386535645,0.8554463386535645,0.02861371450126171,0.8041895031929016,0.8999999761581421,0.33,0.8358551263809204,0.8583707809448242,0.7234042882919312,0.8641722202301025,0.02861371450126171,0.975000023841858,0.02861371450126171,0.644444465637207,0.8613556623458862,0.7759863138198853,0.8613556623458862,0.644444465637207,0.7666666507720947,0.8525417447090149,0.98305082321167,0.8701168298721313,0.644444465637207
