name,instance,run_id,test/macro_types/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/micro/f1,test_incremental_government/macro_types/f1,test_incremental_government-political_party/macro_types/f1,test/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/recall,test_incremental_government-government/macro_types/precision,test_incremental_government-political_party/macro_types/precision,test_incremental_government-political_party/macro_types/recall,test_incremental/micro/f1,test_incremental/micro/recall,test_pretraining/micro/precision,test_incremental_only/macro_example/recall,test/macro_example/recall,test/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_government/macro_types/recall,test_incremental_government-government/macro_types/recall,test_incremental_government/macro_types/precision,test/macro_example/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/micro/precision,test_incremental_government-government/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_pretraining/micro/f1,test_incremental/micro/precision,test_incremental/macro_example/precision,test/micro/f1,test_incremental_only/macro_example/precision,threshold_incremental,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test/macro_types/precision,epoch,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,threshold_pretraining,test/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,0,1stf7mx3,0.8458634614944458,0.9006842970848083,0.8945369720458984,0.6153846383094788,0.9543147087097168,0.7428571581840515,0.8712465167045593,0.8458634614944458,0.4590908885002136,0.4444444477558136,0.8022134304046631,1.0,1.0,0.5909090638160706,0.8117647767066956,0.6969696879386902,0.9058849811553956,0.015309672802686691,0.9006842970848083,0.912445902824402,0.02400835230946541,1.0,0.9494949579238892,0.3272727131843567,0.9591836929321288,0.9245187044143676,0.6225589513778687,0.015309672802686691,0.8038669228553772,0.9058849811553956,0.4931506812572479,0.4444444477558136,0.9863946437835692,0.8882281184196472,0.97183096408844,0.03270702809095383,0.8882281184196472,0.015309672802686691,0.01,0.7633394002914429,0.912445902824402,0.696969747543335,0.4444444477558136,0.8712465167045593,0.8945369720458984,88,0.027690613642334935,1.0,0.9245187044143676,0.9494949579238892,0.4444444477558136,0.6292834281921387,0.25,0.8022134304046631
smart_init_box_adapter_bert_ms,2,eed1xnl9,0.8424121737480164,0.90363609790802,0.8747571706771851,0.591093122959137,0.9543147087097168,0.4033613204956054,0.8775113224983215,0.8424121737480164,0.718181848526001,0.3888888955116272,0.8123738765716553,0.6712328791618347,0.3199999928474426,0.5454545617103577,0.7522522211074829,0.8434343338012695,0.891571581363678,0.02540013939142227,0.90363609790802,0.9113573431968688,0.0290535856038332,0.4932432472705841,0.9494949579238892,0.8909090757369995,0.9591836929321288,0.9192116260528564,0.795286238193512,0.01754090189933777,0.7751953601837158,0.891571581363678,0.765625,0.7373737096786499,0.6501388549804688,0.8844855427742004,0.6788617968559265,0.02470424585044384,0.8844855427742004,0.013395964168012142,0.38,0.7154248952865601,0.9113573431968688,0.8434343338012695,0.5092177391052246,0.8775113224983215,0.8747571706771851,17,0.026702970266342163,0.4956164360046386,0.9192116260528564,0.7171717882156372,0.7373737096786499,0.5864940285682678,0.25,0.8123738765716553
smart_init_box_adapter_bert_ms,1,3vkf16kt,0.8453946709632874,0.9053177833557128,0.8740899562835693,0.6214286088943481,0.9543147087097168,0.5648854374885559,0.8805357813835144,0.8453946709632874,0.875,0.4747474789619446,0.818523645401001,0.5319148898124695,0.4252873659133911,0.8409090638160706,0.7589098811149597,0.9141414165496826,0.8882109522819519,0.03027139976620674,0.9053177833557128,0.9114519953727722,0.03148921579122543,0.4806629717350006,0.9494949579238892,0.9090909361839294,0.9591836929321288,0.9176698923110962,0.8998316526412964,0.021235160529613495,0.7799643874168396,0.8882109522819519,0.6711409687995911,0.8787878751754761,0.6387953758239746,0.884356677532196,0.6487455368041992,0.02342844009399414,0.884356677532196,0.016353514045476913,0.3,0.7471703886985779,0.9114519953727722,0.9141414165496826,0.6164631247520447,0.8805357813835144,0.8740899562835693,57,0.02686724998056889,0.4786011278629303,0.9176698923110962,0.6801347136497498,0.8787878751754761,0.6187583208084106,0.25,0.818523645401001
smart_init_box_adapter_bert_ms,0,0l31hxvt,0.8463746309280396,0.9013048410415648,0.8907337188720703,0.6875,0.9543147087097168,0.7397261261940002,0.8736228346824646,0.8463746309280396,0.5613636374473572,0.5404040813446045,0.8062241077423096,0.875,0.931034505367279,0.6136363744735718,0.8347339034080505,0.752525269985199,0.9049004316329956,0.01913709193468094,0.9013048410415648,0.9126455187797546,0.025922060012817383,0.9016393423080444,0.9494949579238892,0.5090909004211426,0.9591836929321288,0.9242751002311708,0.6907408237457275,0.018872523680329323,0.835640013217926,0.9049004316329956,0.6436781287193298,0.5555555820465088,0.9217394590377808,0.8889866471290588,0.9371069073677064,0.03235907852649689,0.8889866471290588,0.018615171313285828,0.51,0.78969407081604,0.9126455187797546,0.7525252103805542,0.5478751063346863,0.8736228346824646,0.8907337188720703,41,0.028785090893507004,0.903017282485962,0.9242751002311708,0.939393937587738,0.5555555820465088,0.6923349499702454,0.25,0.8062241077423096
no_init_kenn_horizontal_adapter_bert_ms,2,32g86jk8,0.8797853589057922,0.9135061502456664,0.8977624773979187,0.7945206165313721,0.9494949579238892,0.8842105269432068,0.898466169834137,0.8797853589057922,0.8863636255264282,0.8787878751754761,0.8625138998031616,0.6521739363670349,0.8235294222831726,0.9545454382896424,0.8681055307388306,0.9141414165496826,0.908872365951538,0.03027139976620674,0.9135061502456664,0.9186011552810668,0.03148921579122543,0.7250000238418579,0.9494949579238892,0.8181818127632141,0.9494949579238892,0.9237532019615172,0.9074074625968932,0.03027139976620674,0.9339066743850708,0.908872365951538,0.725806474685669,0.8787878751754761,0.8083994388580322,0.9036393761634828,0.8264840245246887,0.0328810028731823,0.9036393761634828,0.03027139976620674,0.02,0.8550468683242798,0.9186011552810668,0.9141414165496826,0.8787878751754761,0.898466169834137,0.8977624773979187,50,0.03217006474733353,0.7378516793251038,0.9237532019615172,0.9545454978942872,0.8787878751754761,0.8053179383277893,0.375,0.8625138998031616
no_init_kenn_horizontal_adapter_bert_ms,1,1idpr84x,0.8735159039497375,0.9117200374603271,0.8896373510360718,0.5362319350242615,0.9494949579238892,0.8865979313850403,0.8956578373908997,0.8735159039497375,0.7704545259475708,0.747474730014801,0.8579684495925903,0.25,0.8113207817077637,0.9772727489471436,0.7088608145713806,0.8484848737716675,0.8948845267295837,0.025748087093234066,0.9117200374603271,0.9116997122764589,0.02922755666077137,0.4180791079998016,0.9494949579238892,0.5636363625526428,0.9494949579238892,0.9116794466972352,0.8301347494125366,0.025748087093234066,0.9006263613700867,0.8948845267295837,0.3463687002658844,0.747474730014801,0.6702719926834106,0.8952710032463074,0.6086956262588501,0.03305497765541077,0.8952710032463074,0.025748087093234066,0.05,0.741686999797821,0.9116997122764589,0.8484848737716675,0.7474746704101562,0.8956578373908997,0.8896373510360718,48,0.0310236643999815,0.5306603908538818,0.9116794466972352,0.9595959782600404,0.747474730014801,0.6284605264663696,0.375,0.8579684495925903
no_init_kenn_horizontal_adapter_bert_ms,0,32ji3aad,0.8821958899497986,0.9123579859733582,0.9058440923690796,0.8633878827095032,0.9494949579238892,0.9450549483299256,0.8967379331588745,0.8821958899497986,0.8159090876579285,0.7979797720909119,0.8597509860992432,0.9729729890823364,0.914893627166748,0.9772727489471436,0.9081364870071412,0.8737373948097229,0.9143171906471252,0.027487821877002716,0.9123579859733582,0.919977605342865,0.03009742498397827,0.9404761791229248,0.9494949579238892,0.6545454263687134,0.9494949579238892,0.927725613117218,0.8604377508163452,0.027487821877002716,0.9192196726799012,0.9143171906471252,0.782608687877655,0.7979797720909119,0.9457871913909912,0.9054421782493592,0.9453551769256592,0.03340292349457741,0.9054421782493592,0.027487821877002716,0.2,0.9010959267616272,0.919977605342865,0.8737373948097229,0.7979797720909119,0.8967379331588745,0.9058440923690796,49,0.03166414424777031,0.9439333081245422,0.927725613117218,0.9696969985961914,0.7979797720909119,0.8752644658088684,0.375,0.8597509860992432
smart_init_kenn_hybrid_adapter_bert_ms,2,xg0y1cfd,0.8825957775115967,0.9129668474197388,0.9050087332725524,0.8842105269432068,0.9494949579238892,0.9090909361839294,0.8978180885314941,0.8825957775115967,0.8545454740524292,0.8333333730697632,0.8612661361694336,0.936170220375061,0.9090909361839294,0.9090909361839294,0.9175257682800292,0.8989899158477783,0.9140092134475708,0.02922755666077137,0.9129668474197388,0.920495331287384,0.03096729516983032,0.9230769276618958,0.9494949579238892,0.800000011920929,0.9494949579238892,0.9281489253044128,0.8861953616142273,0.028964245691895485,0.918747901916504,0.9140092134475708,0.8627450466156006,0.8484848737716675,0.9315853714942932,0.9058412909507751,0.9368420839309692,0.032359082251787186,0.9058412909507751,0.028705637902021408,0.39,0.9083237051963806,0.920495331287384,0.8989899158477783,0.8408408761024475,0.8978180885314941,0.9050087332725524,89,0.03164789825677872,0.9226305484771729,0.9281489253044128,0.939393937587738,0.8484848737716675,0.8872838020324707,0.375,0.8612661361694336
smart_init_kenn_top_down_adapter_bert_ms,2,ygl5wej9,0.8797308206558228,0.9132452011108398,0.8986165523529053,0.8075116872787476,0.9494949579238892,0.6990290880203247,0.898250162601471,0.8797308206558228,0.8636363744735718,0.7575757503509521,0.8616226315498352,0.9090909361839294,0.6101694703102112,0.8181818127632141,0.8759124279022217,0.9090909361839294,0.909846842288971,0.0299234539270401,0.9132452011108398,0.9199111461639404,0.031315241008996964,0.7543859481811523,0.9494949579238892,0.9090909361839294,0.9494949579238892,0.9266750812530518,0.8922559022903442,0.02787899412214756,0.891938328742981,0.909846842288971,0.9090909361839294,0.868686854839325,0.8229184746742249,0.904011368751526,0.8450704216957092,0.030155418440699577,0.904011368751526,0.026096034795045853,0.62,0.8561856746673584,0.9199111461639404,0.9090909361839294,0.8093355894088745,0.898250162601471,0.8986165523529053,15,0.030724389478564262,0.7596302032470703,0.9266750812530518,0.8754209280014038,0.8686869144439697,0.8083013892173767,0.375,0.8616226315498352
smart_init_kenn_bottom_up_adapter_bert_ms,2,lsi0lbed,0.8824074268341064,0.9129668474197388,0.9046126008033752,0.8795812129974365,0.9494949579238892,0.898876428604126,0.8978180885314941,0.8824074268341064,0.8545454740524292,0.8282828330993652,0.8612661361694336,0.936170220375061,0.8888888955116272,0.9090909361839294,0.9151670932769777,0.8989899158477783,0.913808286190033,0.02922755666077137,0.9129668474197388,0.9204525351524352,0.03096729516983032,0.91304349899292,0.9494949579238892,0.800000011920929,0.9494949579238892,0.9280619621276855,0.8861953616142273,0.02887541800737381,0.9171346426010132,0.913808286190033,0.8627450466156006,0.8484848737716675,0.9248513579368592,0.9057425856590272,0.9319371581077576,0.03224309906363487,0.9057425856590272,0.028531663119792935,0.2,0.905110776424408,0.9204525351524352,0.8989899158477783,0.838262140750885,0.8978180885314941,0.9046126008033752,88,0.031592320650815964,0.9125295877456664,0.9280619621276855,0.936026930809021,0.8484848737716675,0.8825861811637878,0.375,0.8612661361694336
smart_init_kenn_hybrid_adapter_bert_ms,1,l81q4qor,0.8744388222694397,0.9120969772338868,0.8925184607505798,0.6523604989051819,0.9494949579238892,0.4166666567325592,0.8960898518562317,0.8744388222694397,0.7477272748947144,0.5101009607315063,0.8570771813392639,0.8793103694915771,0.32894736528396606,0.5681818127632141,0.7888630628585815,0.8585858345031738,0.9037036895751952,0.026443980634212497,0.9120969772338868,0.9182940125465392,0.02957550436258316,0.5671641826629639,0.9494949579238892,0.9272727370262146,0.9494949579238892,0.9245758056640624,0.8149831891059875,0.021113377064466476,0.8161865472793579,0.9037036895751952,0.9026548862457277,0.7676767706871033,0.7192509174346924,0.8998807072639465,0.729613721370697,0.026791926473379135,0.8998807072639465,0.017571330070495605,0.74,0.7641303539276123,0.9182940125465392,0.8585858345031738,0.6129276752471924,0.8960898518562317,0.8925184607505798,10,0.028114985674619675,0.6041288375854492,0.9245758056640624,0.7777777910232544,0.7676767706871033,0.6683012843132019,0.375,0.8570771813392639
smart_init_kenn_top_down_adapter_bert_ms,1,lovx5jby,0.8746941685676575,0.9120969772338868,0.8930504322052002,0.6551724076271057,0.9494949579238892,0.41322314739227295,0.8960898518562317,0.8746941685676575,0.7477272748947144,0.5202020406723022,0.8570771813392639,0.9107142686843872,0.3246753215789795,0.5681818127632141,0.7906976938247681,0.8585858345031738,0.9039006233215332,0.026443980634212497,0.9120969772338868,0.9183226823806764,0.02957550436258316,0.5714285969734192,0.9494949579238892,0.9272727370262146,0.9494949579238892,0.9246338605880736,0.8149831891059875,0.021362587809562683,0.8171125054359436,0.9039006233215332,0.9189189672470092,0.7676767706871033,0.728294849395752,0.8999782800674438,0.732758641242981,0.02684991993010044,0.8999782800674438,0.017919275909662247,0.73,0.769204318523407,0.9183226823806764,0.8585858345031738,0.6201624870300293,0.8960898518562317,0.8930504322052002,10,0.028146885335445404,0.6176947951316833,0.9246338605880736,0.7794613242149353,0.7676767706871033,0.6765193939208984,0.375,0.8570771813392639
smart_init_kenn_bottom_up_adapter_bert_ms,1,3vwwejn6,0.8726778030395508,0.9122129678726196,0.8884736895561218,0.6039215326309204,0.9494949579238892,0.3999999761581421,0.8963059186935425,0.8726778030395508,0.7568181753158569,0.4191919267177582,0.8574336767196655,0.6933333277702332,0.3086419701576233,0.5681818127632141,0.7549669146537781,0.8636363744735718,0.8996096849441528,0.026791926473379135,0.9122129678726196,0.9175167083740234,0.02974947914481163,0.49358972907066345,0.9494949579238892,0.9454545378684998,0.9494949579238892,0.9228824973106384,0.8210437893867493,0.018765652552247047,0.7795819640159607,0.8996096849441528,0.800000011920929,0.7777777910232544,0.6504901051521301,0.8979547619819641,0.6705882549285889,0.024472281336784363,0.8979547619819641,0.014439805410802364,0.41,0.7258831858634949,0.9175167083740234,0.8636363744735718,0.5447726249694824,0.8963059186935425,0.8884736895561218,9,0.026854075491428375,0.5009876489639282,0.9228824973106384,0.7104377746582031,0.7777777910232544,0.6028856635093689,0.375,0.8574336767196655
smart_init_kenn_hybrid_adapter_bert_ms,0,fy7ffkxi,0.8832520842552185,0.9136511087417604,0.904032826423645,0.9045226573944092,0.9494949579238892,0.8888888955116272,0.8991142511367798,0.8832520842552185,0.9090909361839294,0.8888888955116272,0.863405168056488,0.92592591047287,0.8695651888847351,0.9090909361839294,0.9269521236419678,0.9292929172515868,0.9135206341743468,0.031315241008996964,0.9136511087417604,0.9207940101623536,0.032011136412620544,0.8999999761581421,0.9494949579238892,0.9090909361839294,0.9494949579238892,0.9280495047569276,0.9225589632987976,0.030963383615016937,0.9326477646827698,0.9135206341743468,0.9174312353134156,0.9090909361839294,0.9149953722953796,0.9062601327896118,0.9246231317520142,0.03224309906363487,0.9062601327896118,0.030619347468018532,0.8300000000000001,0.9187616109848022,0.9207940101623536,0.9292929768562316,0.8988763689994812,0.8991142511367798,0.904032826423645,28,0.03212669864296913,0.8977455496788025,0.9280495047569276,0.936026930809021,0.9090908765792848,0.9033826589584352,0.375,0.863405168056488
