metric,projector,instance,family,subset,precision,recall,f1
test_incremental/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.3748816251754761,0.7527778148651123,0.5005102753639221
test_incremental_only/macro_types,kenn_top_down_adapter_bert_ms,1,location/geography,10,0.16650885343551636,0.7888889312744141,0.2749786376953125
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.6000000238418579,0.6000000238418579,0.6000000238418579
test_incremental/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.7222222089767456,0.6222222447395325,0.6685031652450562
test_incremental_location-geography-island/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.6000000238418579,0.5,0.5454545617103577
test_incremental_only/macro_example,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.026640355587005615,0.026640355587005615,0.026640355587005615
test_incremental_location-geography-body_of_water/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.959999978542328,0.800000011920929,0.8727272748947144
test_incremental_location-geography/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8562512397766113,0.8517656326293945,0.8540025353431702
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8888888955116272,0.6222222447395325,0.7320261597633362
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8562512397766113,0.8517656326293945,0.8540025353431702
test/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.859983503818512,0.8015227317810059,0.8297246098518372
test_incremental_location-geography-mountain/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8333333134651184,0.5,0.625
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8657246232032776,0.8607800602912903,0.8632452487945557
test/macro_example,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8657246232032776,0.8607800602912903,0.8632452487945557
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.7941176295280457,0.6000000238418579,0.6835443377494812
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.03206709399819374,0.02762703411281109,0.029681937769055367
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.859983503818512,0.8015227317810059,0.8297246098518372
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8483332991600037,0.6111111044883728,0.7104427814483643
test_incremental_only/macro_types,kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.7977777719497681,0.6000000238418579,0.68489670753479
test_incremental_only/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.6833333969116211,0.7111111879348755,0.6969456076622009
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.7111111879348755,0.6777778267860413,0.6940444707870483
test_incremental_location-geography-island/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.529411792755127,0.6000000238418579,0.5625000596046448
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.03034040331840515,0.03157375380396843,0.030944794416427612
test_incremental_location-geography-body_of_water/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.1869918704032898,0.7666666507720947,0.3006536066532135
test_incremental_location-geography/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8355488181114197,0.853705883026123,0.8445297479629517
test_incremental/micro,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.46037736535072327,0.6777777671813965,0.54831463098526
test_pretraining/micro,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8355488181114197,0.853705883026123,0.8445297479629517
test/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8356449604034424,0.8081895112991333,0.8216879367828369
test_incremental_location-geography-mountain/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.4600000083446502,0.7666666507720947,0.574999988079071
test_pretraining/macro_example,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.847922682762146,0.8623011708259583,0.8550513982772827
test/macro_example,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.847922682762146,0.8623011708259583,0.8550513982772827
test_incremental_only/micro,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.30917873978614807,0.7111111283302307,0.43097642064094543
test_incremental/macro_example,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.03157375380396843,0.030093733221292496,0.030815983191132545
test_pretraining/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8356449604034424,0.8081895112991333,0.8216879367828369
test_incremental/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.5441008806228638,0.6944444179534912,0.6101477742195129
test_incremental_only/macro_types,kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.39213457703590393,0.7111111879348755,0.505510687828064
test_incremental_only/macro_example_exclusive,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.6111111640930176,0.6111111640930176,0.6111111640930176
test_incremental/macro_example_exclusive,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.6833333969116211,0.6277778148651123,0.6543785929679871
test_incremental_location-geography-island/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.6521739363670349,0.5,0.5660377144813538
test_incremental_only/macro_example,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.027133693918585777,0.027133693918585777,0.027133693918585777
test_incremental_location-geography-body_of_water/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.42307692766189575,0.7333333492279053,0.5365853905677795
test_incremental_location-geography/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8494873046875,0.8519596457481384,0.8507216572761536
test_incremental/micro,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.6726190447807312,0.6277777552604675,0.6494252681732178
test_pretraining/micro,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8494873046875,0.8519596457481384,0.8507216572761536
test/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8439075946807861,0.8021894097328186,0.8225198984146118
test_incremental_location-geography-mountain/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.5142857432365417,0.6000000238418579,0.5538461804389954
test_pretraining/macro_example,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8586205244064331,0.8609033823013306,0.8597604632377625
test/macro_example,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8586205244064331,0.8609033823013306,0.8597604632377625
test_incremental_only/micro,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.5,0.6111111044883728,0.5499999523162842
test_incremental/macro_example,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.0303404051810503,0.027873704209923744,0.0290547925978899
test_pretraining/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8439075946807861,0.8021894097328186,0.8225198984146118
test_incremental/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.6473841667175293,0.6194444894790649,0.6331062316894531
test_incremental_only/macro_types,kenn_top_down_adapter_bert_ms,0,location/geography,10,0.5298455357551575,0.6111111640930176,0.5675842761993408
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.7111111879348755,0.7444444894790649,0.7273961901664734
test_incremental/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.7351852059364319,0.694444477558136,0.7142343521118164
test_incremental_location-geography-island/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.42553192377090454,0.6666666865348816,0.5194805264472961
test_incremental_only/macro_example,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.03157375380396843,0.03305377438664436,0.03229681774973869
test_incremental_location-geography-body_of_water/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.1949152499437332,0.7666666507720947,0.3108108341693878
