name,instance,run_id,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/precision,test_incremental/micro/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test_incremental_EVENT/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_EVENT/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_EVENT-WAR/macro_types/recall,test_incremental_EVENT-HURRICANE/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_types/recall,test/micro/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_EVENT-HURRICANE/macro_types/f1,test_incremental_EVENT-HURRICANE/macro_types/precision,threshold_incremental,test/macro_types/precision,test_incremental_EVENT/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental_EVENT-WAR/macro_types/precision,test/macro_types/f1,test/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,epoch,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test/micro/recall,threshold_pretraining,test_incremental/macro_types/precision,test/macro_types/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_EVENT-WAR/macro_types/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,1aqeeo5b,0.30000001192092896,0.5120567679405212,0.692307710647583,0.5555555820465088,0.7043189406394958,0.7967698574066162,0.3896104097366333,0.8186047077178955,0.8314935564994812,0.8162702918052673,0.30000001192092896,0.8367891907691956,0.8262645602226257,0.41860467195510864,0.016965126618742943,0.08294062316417694,0.7272727489471436,0.8061749339103699,0.80999755859375,0.06503298878669739,0.8228756785392761,0.03333333507180214,0.5666666626930237,0.8367491364479065,0.30000001192092896,0.016965126618742943,0.30000001192092896,0.8162702918052673,0.8023881912231445,0.936170220375061,0.7234042882919312,1.0,0.01,0.8023881912231445,0.936170220375061,0.7340425252914429,0.6883116960525513,0.8367891907691956,0.1111111119389534,0.8061749339103699,0.7967698574066162,0.016965126618742943,0.30000001192092896,28,0.5579147934913635,0.8314935564994812,0.8367491364479065,0.175,0.6127946376800537,0.80999755859375,0.7210884094238281,0.07290322333574295,0.8262645602226257,0.05128205195069313
no_init_box_kenn_bottom_up_adapter_bert_ms,0,scui3jzh,0.21666668355464935,0.4565011858940125,1.0,0.5,0.701388955116272,0.800407350063324,0.302325576543808,0.8186047077178955,0.8308835029602051,0.8164820075035095,0.21666668355464935,0.8344329595565796,0.8273640871047974,0.3561643660068512,0.01225259155035019,0.08294062316417694,0.7272727489471436,0.7984704375267029,0.8007382750511169,0.06267672032117844,0.8058940768241882,0.0,0.4333333373069763,0.8332155346870422,0.21666666865348816,0.01225259155035019,0.21666666865348816,0.8164820075035095,0.7962153553962708,0.936170220375061,0.604651153087616,1.0,0.02,0.7962153553962708,0.936170220375061,0.707446813583374,0.6558441519737244,0.8344329595565796,0.0,0.7984704375267029,0.800407350063324,0.01225259155035019,0.21666668355464935,28,0.5092406272888184,0.8308835029602051,0.8332155346870422,0.175,0.575757622718811,0.8007382750511169,0.753731369972229,0.07139872759580612,0.8273640871047974,0.0
no_init_kenn_hybrid_adapter_bert_ms,2,4wmny5gf,0.908333420753479,0.9338061809539796,0.6043956279754639,0.6185897588729858,0.7849462032318115,0.7779179811477661,0.7386916875839233,0.8235293626785278,0.8315958976745605,0.8220000267028809,0.9166667461395264,0.8587809801101685,0.8060791492462158,0.7284768223762512,0.05160118639469147,0.07650014758110046,0.7165354490280151,0.8359290361404419,0.8861230611801147,0.08435438573360443,0.9056370854377748,0.8999999761581421,0.9333333373069764,0.8713780641555786,0.9166666865348816,0.05136663466691971,0.9166666269302368,0.8220000267028809,0.7911165952682495,0.8634752035140991,0.8115941882133484,0.7179487347602844,0.27,0.7911165952682495,0.9680851101875304,0.9521276950836182,0.948051929473877,0.8587809801101685,0.5192307829856873,0.8359290361404419,0.7779179811477661,0.05183788761496544,0.9124810695648192,40,0.7673354148864746,0.8315958976745605,0.8713780641555786,0.25,0.6512383222579956,0.8861230611801147,0.6697247624397278,0.08023551106452942,0.8060791492462158,0.6585366129875183
no_init_kenn_top_down_adapter_bert_ms,2,8vpiwptz,0.8833333849906921,0.9115839600563048,0.6385542154312134,0.6501175165176392,0.7912087440490723,0.7805960774421692,0.748991072177887,0.8235293626785278,0.8314877152442932,0.8228609561920166,0.8833333849906921,0.85783851146698,0.806707501411438,0.7412587404251099,0.04995286837220192,0.07728557288646698,0.7165354490280151,0.8362212181091309,0.8824194073677063,0.08341187238693237,0.9055967926979064,0.8333333134651184,0.9333333373069764,0.8699646592140198,0.8833333253860474,0.04995287209749222,0.8833333253860474,0.8228609561920166,0.7946196794509888,0.8723404407501221,0.8358209133148193,0.7567567825317383,0.25,0.7946196794509888,0.9680851101875304,0.9414893388748168,0.9350649118423462,0.85783851146698,0.54347825050354,0.8362212181091309,0.7805960774421692,0.04995287209749222,0.8833333849906921,61,0.7738385796546936,0.8314877152442932,0.8699646592140198,0.25,0.6722568869590759,0.8824194073677063,0.6857143044471741,0.08023194223642349,0.806707501411438,0.6578947305679321
no_init_kenn_bottom_up_adapter_bert_ms,2,t6mumzqf,0.8750000596046448,0.9115839600563048,0.6235294342041016,0.6255543231964111,0.7868852019309998,0.779607355594635,0.732424259185791,0.8235293626785278,0.8320713639259338,0.822311282157898,0.8833333849906921,0.85783851146698,0.8078070878982544,0.731034517288208,0.04971612989902496,0.07838516682386398,0.7165354490280151,0.8347075581550598,0.8824194073677063,0.08341187238693237,0.9122391939163208,0.8333333134651184,0.9333333373069764,0.8699646592140198,0.8833333253860474,0.049481622874736786,0.8833333253860474,0.822311282157898,0.7918904423713684,0.8847517967224121,0.7887323498725891,0.6829268336296082,0.15000000000000002,0.7918904423713684,0.9680851101875304,0.9414893388748168,0.9350649118423462,0.85783851146698,0.5681818127632141,0.8347075581550598,0.779607355594635,0.04995287209749222,0.8791469931602478,45,0.7628761529922485,0.8320713639259338,0.8699646592140198,0.25,0.655881404876709,0.8824194073677063,0.6792452931404114,0.08082043379545212,0.8078070878982544,0.6756756901741028
no_init_kenn_hybrid_adapter_bert_ms,1,fxmcke1x,0.908333420753479,0.967139482498169,0.3602484464645386,0.36533647775650024,0.6742081642150879,0.7468277812004089,0.5302669405937195,0.8235293626785278,0.8227294087409973,0.8052117228507996,0.9666666984558104,0.8601948022842407,0.7883914113044739,0.5248869061470032,0.0529647059738636,0.06880301982164383,0.7165354490280151,0.8223227262496948,0.8916786909103394,0.08576814085245132,0.8618318438529968,0.9666666388511658,0.9666666388511658,0.873498260974884,0.9666666388511658,0.05136663466691971,0.9666666388511658,0.8052117228507996,0.7629773616790771,0.7765957713127136,0.4833333194255829,0.3222222328186035,0.04,0.7629773616790771,0.9680851101875304,0.9680851101875304,0.9675324559211732,0.8601948022842407,0.4084506928920746,0.8223227262496948,0.7468277812004089,0.05466540902853012,0.936592698097229,42,0.6437215209007263,0.8227294087409973,0.873498260974884,0.25,0.4824028015136719,0.8916786909103394,0.5173611044883728,0.07635457068681717,0.7883914113044739,0.5742574334144592
no_init_kenn_top_down_adapter_bert_ms,1,d9m9p7tm,0.908333420753479,0.956028401851654,0.4285714328289032,0.4457336962223053,0.714975893497467,0.7590657472610474,0.6067733764648438,0.8235293626785278,0.8257506489753723,0.811965823173523,0.9500000476837158,0.8597235083580017,0.7943606376647949,0.590673565864563,0.05251835286617279,0.07681432366371155,0.7165354490280151,0.8266848921775818,0.889826774597168,0.0852968841791153,0.9123886227607728,0.9666666388511658,0.9333333373069764,0.8727915287017822,0.949999988079071,0.05136663466691971,0.949999988079071,0.811965823173523,0.7719103693962097,0.8670212626457214,0.5137614607810974,0.3544303774833679,0.18000000000000002,0.7719103693962097,0.9680851101875304,0.96276593208313,0.9610389471054076,0.8597235083580017,0.5370370149612427,0.8266848921775818,0.7590657472610474,0.05372290313243866,0.9286996126174928,42,0.6868928074836731,0.8257506489753723,0.8727915287017822,0.25,0.5360009670257568,0.889826774597168,0.5692307949066162,0.08083367347717285,0.7943606376647949,0.6904761791229248
no_init_kenn_bottom_up_adapter_bert_ms,1,fv4vw3r9,0.908333420753479,0.967139482498169,0.4202898442745209,0.44745081663131714,0.7112171649932861,0.7573529481887817,0.6117395162582397,0.8235293626785278,0.8256281614303589,0.8112897872924805,0.9666666984558104,0.8601948022842407,0.7937322854995728,0.5858585834503174,0.0529647059738636,0.07587181776762009,0.7165354490280151,0.8275928497314453,0.8916786909103394,0.08576814085245132,0.908814549446106,0.9666666388511658,0.9666666388511658,0.873498260974884,0.9666666388511658,0.05136663466691971,0.9666666388511658,0.8112897872924805,0.7721011638641357,0.8563829660415649,0.5,0.3372093141078949,0.04,0.7721011638641357,0.9680851101875304,0.9680851101875304,0.9675324559211732,0.8601948022842407,0.557692289352417,0.8275928497314453,0.7573529481887817,0.05466540902853012,0.936592698097229,44,0.6906865835189819,0.8256281614303589,0.873498260974884,0.25,0.5371456742286682,0.8916786909103394,0.5622641444206238,0.08051703125238419,0.7937322854995728,0.707317054271698
no_init_kenn_hybrid_adapter_bert_ms,0,t568pr3u,0.8833333849906921,0.9115839600563048,0.8153846263885498,0.8421052694320679,0.8323699831962585,0.7896087169647217,0.8622267246246338,0.8235293626785278,0.8349783420562744,0.8278412818908691,0.8833333849906921,0.85783851146698,0.8133050203323364,0.8479999899864197,0.04995287582278251,0.08435438573360443,0.7165354490280151,0.8478848934173584,0.8824194073677063,0.08341187238693237,0.9467786550521852,0.8666666746139526,0.8999999761581421,0.8699646592140198,0.8833333253860474,0.04995287582278251,0.8833333253860474,0.8278412818908691,0.8159516453742981,0.9521276950836182,0.9473683834075928,1.0,0.7000000000000001,0.8159516453742981,0.9680851101875304,0.9414893388748168,0.9350649118423462,0.85783851146698,0.6842105388641357,0.8478848934173584,0.7896087169647217,0.04995287582278251,0.8833333849906921,40,0.8522957563400269,0.8349783420562744,0.8699646592140198,0.25,0.8002486824989319,0.8824194073677063,0.75,0.0838804841041565,0.8133050203323364,0.7647058963775635
no_init_kenn_top_down_adapter_bert_ms,0,clcqniob,0.8666666746139526,0.9004728198051453,0.8125,0.837837815284729,0.8289854526519775,0.7894737124443054,0.8520084619522095,0.8235293626785278,0.8347550630569458,0.8274469971656799,0.8666666746139526,0.8573672771453857,0.8133050203323364,0.8387096524238586,0.04901036620140076,0.08435438573360443,0.7165354490280151,0.8467735052108765,0.8805675506591797,0.08294062316417694,0.9440815448760986,0.8333333134651184,0.8999999761581421,0.869257926940918,0.8666666746139526,0.04901036620140076,0.8666666746139526,0.8274469971656799,0.8154774904251099,0.9521276950836182,0.9473683834075928,1.0,0.75,0.8154774904251099,0.9680851101875304,0.936170220375061,0.9285714030265808,0.8573672771453857,0.6756756901741028,0.8467735052108765,0.7894737124443054,0.04901036620140076,0.8666666746139526,42,0.8458098769187927,0.8347550630569458,0.869257926940918,0.25,0.7974036931991577,0.8805675506591797,0.7486910820007324,0.08364152908325195,0.8133050203323364,0.7462686896324158
