name,instance,run_id,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test_incremental_EVENT/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/macro_example/f1,test_pretraining/micro/f1,test_pretraining/macro_types/f1,threshold_incremental,test/macro_example/precision,test_incremental/micro/recall,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_EVENT-HURRICANE/macro_types/precision,test/micro/f1,test_incremental_EVENT/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test_incremental_EVENT-WAR/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_EVENT-WAR/macro_types/recall,test_incremental/micro/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,threshold_pretraining,test_incremental/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test/macro_example/f1,test_incremental_EVENT-HURRICANE/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test/macro_types/recall,test/micro/precision,test_incremental/micro/precision,test_incremental_only/macro_types/f1,test/macro_example/recall,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_types/f1,test_incremental/macro_example/recall,test_incremental_EVENT/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_EVENT-WAR/macro_types/precision,test_incremental_EVENT-HURRICANE/macro_types/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,tneti39o,0.7862201929092407,0.693696141242981,0.7272727489471436,0.05183788761496544,0.7993953227996826,0.9166667461395264,30,0.8344159126281738,0.8227762579917908,0.847037672996521,0.01,0.815504252910614,0.9285714030265808,0.07903314381837845,0.9308511018753052,0.9655172228813172,0.8227762579917908,0.936170220375061,0.8920656442642212,0.8563829660415649,0.9166666269302368,0.5744680762290955,0.9166666865348816,0.8542255163192749,0.07587181776762009,0.8999999761581421,0.7771738767623901,0.8177371621131897,0.7189542055130005,0.8785160779953003,0.7048883438110352,0.9166667461395264,0.862897515296936,0.175,0.9231678247451782,0.5913978219032288,0.8177371621131897,0.8344159126281738,0.9491525292396544,0.815504252910614,0.05183788761496544,0.8785160779953003,0.7862201929092407,0.6682242751121521,0.7897451519966125,0.8542255163192749,0.862897515296936,0.9166667461395264,0.847037672996521,0.08246936649084091,0.8186047077178955,0.05183788761496544,0.421875,0.9333333373069764
no_init_box_kenn_bottom_up_adapter_bert_ms,0,mkhgymwd,0.7925877571105957,0.75,0.7272727489471436,0.04995287209749222,0.8140394687652588,0.8833333849906921,32,0.8358510732650757,0.8256011605262756,0.8486426472663879,0.01,0.8191171884536743,0.9155844449996948,0.07884985953569412,0.920212745666504,1.0,0.8256011605262756,0.936170220375061,0.8899968266487122,0.8617021441459656,0.8833333253860474,0.625,0.8833333253860474,0.8532830476760864,0.07634307444095612,0.8333333134651184,0.798866868019104,0.8239932060241699,0.7681159377098083,0.8748123645782471,0.7424243092536926,0.8833333849906921,0.8614841103553772,0.175,0.9009456634521484,0.6794871687889099,0.8239932060241699,0.8358510732650757,0.9655172228813172,0.8191171884536743,0.04995287209749222,0.8748123645782471,0.7925877571105957,0.7085427045822144,0.8112245202064514,0.8532830476760864,0.8614841103553772,0.8833333849906921,0.8486426472663879,0.08152686059474945,0.8186047077178955,0.04995286837220192,0.5,0.9333333373069764
no_init_kenn_hybrid_adapter_bert_ms,2,dkangtn3,0.773809552192688,0.6558382511138916,0.7165354490280151,0.05372290313243866,0.79203861951828,0.9500000476837158,23,0.8303607702255249,0.8203255534172058,0.8398872017860413,0.05,0.8029375076293945,0.9610389471054076,0.07968856394290924,0.96276593208313,0.9032257795333862,0.8203255534172058,0.9680851101875304,0.8994633555412292,0.8439716100692749,0.949999988079071,0.5742574334144592,0.949999988079071,0.8597235083580017,0.07477223128080368,0.9666666388511658,0.772845983505249,0.7952553033828735,0.7037037014961243,0.889826774597168,0.6760706901550293,0.9500000476837158,0.8727915287017822,0.25,0.9560283422470092,0.5588235259056091,0.7952553033828735,0.8303607702255249,0.9180328249931335,0.8029375076293945,0.05372290313243866,0.889826774597168,0.773809552192688,0.6462882161140442,0.7759764194488525,0.8597235083580017,0.8727915287017822,0.9500000476837158,0.8398872017860413,0.0852968841791153,0.8235293626785278,0.05372290313243866,0.4084506928920746,0.9333333373069764
no_init_kenn_top_down_adapter_bert_ms,2,ihdk0xjt,0.721541166305542,0.28266867995262146,0.7165354490280151,0.05325164645910263,0.5927150249481201,0.9416667222976683,23,0.8122154474258423,0.790281355381012,0.8169580698013306,0.05,0.7693057060241699,0.9675324559211732,0.07871288061141968,0.9680851101875304,0.353658527135849,0.790281355381012,0.9680851101875304,0.8884507417678833,0.8209220170974731,0.9666666388511658,0.34730538725852966,0.9666666388511658,0.8601948022842407,0.07273012399673462,0.9666666388511658,0.5959999561309814,0.7537920475006104,0.4157706201076507,0.8916786909103394,0.4272909462451935,0.9666666984558104,0.873498260974884,0.25,0.967139482498169,0.26484018564224243,0.7537920475006104,0.8122154474258423,0.5178571343421936,0.7693057060241699,0.05466540902853012,0.8916786909103394,0.721541166305542,0.43063583970069885,0.4374268054962158,0.8601948022842407,0.873498260974884,0.9540029168128968,0.8169580698013306,0.08576814085245132,0.8235293626785278,0.0539492666721344,0.21167883276939392,0.9666666388511658
no_init_kenn_bottom_up_adapter_bert_ms,2,9jc3atqo,0.7777078151702881,0.7058355212211609,0.7165354490280151,0.05372290313243866,0.8144544363021851,0.9500000476837158,23,0.8312000036239624,0.822510838508606,0.8429752588272095,0.04,0.8045083284378052,0.9610389471054076,0.08211963623762131,0.96276593208313,0.9655172228813172,0.822510838508606,0.9680851101875304,0.9269036054611206,0.8936170339584351,0.949999988079071,0.6105263233184814,0.949999988079071,0.8597235083580017,0.0791705846786499,0.9666666388511658,0.7893332839012146,0.8008105754852295,0.7402597665786743,0.889826774597168,0.7094022035598755,0.9500000476837158,0.8727915287017822,0.25,0.956028401851654,0.6063829660415649,0.8008105754852295,0.8312000036239624,0.9491525292396544,0.8045083284378052,0.05372290313243866,0.889826774597168,0.7777078151702881,0.6696832776069641,0.8099159002304077,0.8597235083580017,0.8727915287017822,0.9500000476837158,0.8429752588272095,0.0852968841791153,0.8235293626785278,0.05372290313243866,0.446153849363327,0.9333333373069764
no_init_kenn_hybrid_adapter_bert_ms,1,0t4uyqzw,0.7555012106895447,0.4167172610759735,0.7165354490280151,0.05136663466691971,0.6735144257545471,0.9083333611488342,14,0.8257216215133667,0.8102261424064636,0.8256270885467529,0.060000000000000005,0.7939051389694214,0.9675324559211732,0.07577063143253326,0.9680851101875304,0.4754098355770111,0.8102261424064636,0.9680851101875304,0.8552407622337341,0.7659574747085571,0.9666666388511658,0.522522509098053,0.9666666388511658,0.8601948022842407,0.06786050647497177,0.9666666388511658,0.7044917941093445,0.7686862945556641,0.5742574334144592,0.8916786909103394,0.5166566371917725,0.9666666984558104,0.873498260974884,0.25,0.967139482498169,0.4084506928920746,0.7686862945556641,0.8257216215133667,0.6373626589775085,0.7939051389694214,0.05466540902853012,0.8916786909103394,0.7555012106895447,0.553903341293335,0.5823787450790405,0.8601948022842407,0.873498260974884,0.936592698097229,0.8256270885467529,0.08576814085245132,0.8235293626785278,0.0529647059738636,0.3580246865749359,0.9666666388511658
no_init_kenn_top_down_adapter_bert_ms,1,7zsm9jgr,0.693213701248169,0.20881503820419312,0.7165354490280151,0.0527803972363472,0.5436121225357056,0.9333333969116212,14,0.7984938025474548,0.772983193397522,0.8121144771575928,0.1,0.7450518012046814,0.9675324559211732,0.07616070657968521,0.9680851101875304,0.16763006150722504,0.772983193397522,0.9680851101875304,0.859643816947937,0.7730496525764465,0.9666666388511658,0.39726024866104126,0.9666666388511658,0.8601948022842407,0.06848884373903275,0.9666666388511658,0.5228070616722107,0.7455860376358032,0.33237823843955994,0.8916786909103394,0.3780551850795746,0.9666666984558104,0.873498260974884,0.25,0.967139482498169,0.2006920427083969,0.7455860376358032,0.7984938025474548,0.2857142984867096,0.7450518012046814,0.05466540902853012,0.8916786909103394,0.693213701248169,0.35817307233810425,0.3434413969516754,0.8601948022842407,0.873498260974884,0.9497076869010924,0.8121144771575928,0.08576814085245132,0.8235293626785278,0.05370636656880379,0.25,0.9666666388511658
no_init_kenn_bottom_up_adapter_bert_ms,1,aw2h85qn,0.7531992793083191,0.3967795968055725,0.7165354490280151,0.05230914056301117,0.6621184945106506,0.925000011920929,14,0.8241896629333496,0.8089005351066589,0.8243476152420044,0.060000000000000005,0.7910776138305664,0.9675324559211732,0.0768357664346695,0.9680851101875304,0.4264705777168274,0.8089005351066589,0.9680851101875304,0.8672632575035095,0.7854609489440918,0.9666666388511658,0.5321100950241089,0.9666666388511658,0.8601948022842407,0.06958843767642975,0.9666666388511658,0.6962616443634033,0.7664710283279419,0.5603864789009094,0.8916786909103394,0.5033648610115051,0.9666666984558104,0.873498260974884,0.25,0.967139482498169,0.3945578336715698,0.7664710283279419,0.8241896629333496,0.59183669090271,0.7910776138305664,0.05466540902853012,0.8916786909103394,0.7531992793083191,0.543795645236969,0.5626237392425537,0.8601948022842407,0.873498260974884,0.9453744888305664,0.8243476152420044,0.08576814085245132,0.8235293626785278,0.05346132442355156,0.3670886158943176,0.9666666388511658
no_init_kenn_hybrid_adapter_bert_ms,0,kf8yd37x,0.7704304456710815,0.5661172270774841,0.7165354490280151,0.05372290313243866,0.7494301199913025,0.9500000476837158,15,0.8304867744445801,0.818422794342041,0.8342944979667664,0.11,0.8031731247901917,0.9610389471054076,0.07851383090019226,0.96276593208313,0.7179487347602844,0.818422794342041,0.9680851101875304,0.8862040638923645,0.8209220170974731,0.949999988079071,0.5799999833106995,0.949999988079071,0.8597235083580017,0.07273013144731522,0.9666666388511658,0.7589743137359619,0.7852863073348999,0.6745562553405762,0.889826774597168,0.6162566542625427,0.9500000476837158,0.8727915287017822,0.25,0.9560283422470092,0.5229358077049255,0.7852863073348999,0.8304867744445801,0.8115941882133484,0.8031731247901917,0.05372290313243866,0.889826774597168,0.7704304456710815,0.6271186470985413,0.7094587683677673,0.8597235083580017,0.8727915287017822,0.9500000476837158,0.8342944979667664,0.0852968841791153,0.8235293626785278,0.05372290313243866,0.41428571939468384,0.9333333373069764
no_init_kenn_top_down_adapter_bert_ms,0,2hor3aux,0.7801642417907715,0.7016128897666931,0.7165354490280151,0.05372290313243866,0.8125960230827332,0.9500000476837158,16,0.8331658840179443,0.8238825798034668,0.8427152037620544,0.35000000000000003,0.8081998229026794,0.9610389471054076,0.08211962878704071,0.96276593208313,0.9032257795333862,0.8238825798034668,0.9680851101875304,0.9269036054611206,0.8936170339584351,0.949999988079071,0.6590908765792847,0.949999988079071,0.8597235083580017,0.0791705921292305,0.9666666388511658,0.800000011920929,0.8003413677215576,0.7651007175445557,0.889826774597168,0.7065871357917786,0.9500000476837158,0.8727915287017822,0.25,0.956028401851654,0.6404494643211365,0.8003413677215576,0.8331658840179443,0.9180328249931335,0.8081998229026794,0.05372290313243866,0.889826774597168,0.7801642417907715,0.6851851940155029,0.8071288466453552,0.8597235083580017,0.8727915287017822,0.9500000476837158,0.8427152037620544,0.0852968841791153,0.8235293626785278,0.05372290313243866,0.5,0.9333333373069764
no_init_kenn_bottom_up_adapter_bert_ms,0,t3f9lth9,0.7801642417907715,0.6754010915756226,0.7165354490280151,0.05372290313243866,0.8009176254272461,0.9500000476837158,15,0.8333745002746582,0.8238825798034668,0.841097891330719,0.14,0.8085925579071045,0.9610389471054076,0.08237241953611374,0.96276593208313,0.8235294222831726,0.8238825798034668,0.9680851101875304,0.9297568202018738,0.8989361524581909,0.949999988079071,0.6823528409004211,0.949999988079071,0.8597235083580017,0.07964184880256653,0.9666666388511658,0.800000011920929,0.7974289655685425,0.7651007175445557,0.889826774597168,0.6891125440597534,0.9500000476837158,0.8727915287017822,0.25,0.9560283422470092,0.6404494643211365,0.7974289655685425,0.8333745002746582,0.875,0.8085925579071045,0.05372290313243866,0.889826774597168,0.7801642417907715,0.6851851940155029,0.789504885673523,0.8597235083580017,0.8727915287017822,0.9500000476837158,0.841097891330719,0.0852968841791153,0.8235293626785278,0.05372290313243866,0.5272727012634277,0.9333333373069764
no_init_kenn_horizontal_adapter_bert_ms,2,yq732m52,0.7780579924583435,0.6924731135368347,0.7165354490280151,0.0527803972363472,0.8045513033866882,0.9333333969116212,23,0.8311471939086914,0.8223925232887268,0.8413216471672058,0.03,0.8048225045204163,0.9545454382896424,0.08231887221336365,0.957446813583374,0.9333333373069764,0.8223925232887268,0.9680851101875304,0.9291523694992064,0.902482271194458,0.9333333373069764,0.6086956262588501,0.9333333373069764,0.8592522740364075,0.07995600998401642,0.9333333373069764,0.7882037162780762,0.7993258833885193,0.736842155456543,0.8879749774932861,0.7004939317703247,0.9333333969116212,0.8720847964286804,0.25,0.9449173212051392,0.6086956262588501,0.7993258833885193,0.8311471939086914,0.9333333373069764,0.8048225045204163,0.0527803972363472,0.8879749774932861,0.7780579924583435,0.6712328791618347,0.7950617074966431,0.8592522740364075,0.8720847964286804,0.9333333969116212,0.8413216471672058,0.08482563495635986,0.8235293626785278,0.0527803935110569,0.4516128897666931,0.9333333373069764
no_init_kenn_horizontal_adapter_bert_ms,1,ls8lmkya,0.7582821846008301,0.4265628457069397,0.7165354490280151,0.05230914056301117,0.6790669560432434,0.9250000715255736,14,0.8245731592178345,0.8118226528167725,0.8262577056884766,0.05,0.7917845249176025,0.9675324559211732,0.07989360392093658,0.9680851101875304,0.43283581733703613,0.8118226528167725,0.9680851101875304,0.9017778635025024,0.8439716100692749,0.9666666388511658,0.5858585834503174,0.9666666388511658,0.8601948022842407,0.07477222383022308,0.9666666388511658,0.714628279209137,0.7697802782058716,0.59183669090271,0.8916786909103394,0.5232203602790833,0.9666666984558104,0.873498260974884,0.25,0.967139482498169,0.4264705777168274,0.7697802782058716,0.8245731592178345,0.5979381203651428,0.7917845249176025,0.05466540902853012,0.8916786909103394,0.7582821846008301,0.5665399432182312,0.5919255614280701,0.8601948022842407,0.873498260974884,0.9453744888305664,0.8262577056884766,0.08576814085245132,0.8235293626785278,0.05346132442355156,0.4202898442745209,0.9666666388511658
no_init_kenn_horizontal_adapter_bert_ms,0,5otjctoi,0.7811511754989624,0.7011363506317139,0.7165354490280151,0.05372290313243866,0.8123858571052551,0.9500000476837158,15,0.8332075476646423,0.8244325518608093,0.842685878276825,0.14,0.8082783222198486,0.9610389471054076,0.08262376487255096,0.96276593208313,0.875,0.8244325518608093,0.9680851101875304,0.9325937628746032,0.9042553305625916,0.949999988079071,0.6823528409004211,0.949999988079071,0.8597235083580017,0.08011309802532196,0.9666666388511658,0.8043477535247803,0.8002884387969971,0.7755101919174194,0.889826774597168,0.706269383430481,0.9500000476837158,0.8727915287017822,0.25,0.9560283422470092,0.6551724076271057,0.8002884387969971,0.8332075476646423,0.9032257795333862,0.8082783222198486,0.05372290313243866,0.889826774597168,0.7811511754989624,0.6915887594223022,0.8068134188652039,0.8597235083580017,0.8727915287017822,0.9500000476837158,0.842685878276825,0.0852968841791153,0.8235293626785278,0.05372290313243866,0.5272727012634277,0.9333333373069764
