name,instance,run_id,test/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_EVENT-WAR/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_EVENT-WAR/macro_types/recall,test_incremental/micro/recall,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_EVENT/macro_types/recall,test_incremental/macro_types/f1,test_incremental_EVENT/macro_types/precision,test/micro/recall,test_incremental_EVENT-HURRICANE/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_EVENT-WAR/macro_types/f1,test_incremental_EVENT-HURRICANE/macro_types/precision,threshold_pretraining,test_pretraining/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test/micro/f1,test_pretraining/micro/f1,test_incremental_EVENT/macro_types/f1,test/micro/precision,test_incremental_only/macro_example/recall,epoch,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_EVENT-HURRICANE/macro_types/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,617p9nko,0.8273640871047974,0.8091948628425598,0.8248123526573181,0.8248123526573181,0.8489493727684021,0.02450518310070038,0.8091948628425598,0.801613986492157,0.7941577434539795,0.0,0.8405592441558838,0.6009456515312195,0.8273640871047974,0.7549669146537781,0.06880301237106323,0.48148149251937866,0.0,0.7402597665786743,0.4333333373069763,0.4333333373069763,0.4333333671092987,0.936170220375061,0.7941577434539795,0.5977011919021606,0.0752132311463356,0.9629629850387572,0.936170220375061,0.5815737843513489,0.7272727489471436,0.8424028158187866,0.8666666746139526,0.4333333671092987,0.8339094519615173,0.5634119510650635,0.02450518310070038,0.0,0.9629629850387572,0.175,0.8424028158187866,0.8405592441558838,0.4333333671092987,0.04,0.8339094519615173,0.45614033937454224,0.08294062316417694,0.8215024471282959,0.8215024471282959,0.8186047077178955,0.801613986492157,0.02450518310070038,18,0.7702702879905701,0.7765957117080688,0.9122806787490844
no_init_box_kenn_bottom_up_adapter_bert_ms,0,vftypw5n,0.8257147073745728,0.8395349383354187,0.8507382869720459,0.8507382869720459,0.8891711831092834,0.03770028054714203,0.8395349383354187,0.7986754775047302,0.8286228179931641,0.5833333134651184,0.8471567630767822,0.7565011978149414,0.8257147073745728,0.7876922488212585,0.07540056109428406,0.7916666269302368,0.46666666865348816,0.8311688303947449,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.9308511018753052,0.8286228179931641,0.7272727489471436,0.07877670228481293,0.800000011920929,0.936170220375061,0.7632901668548584,0.7272727489471436,0.8522968292236328,0.8666666746139526,0.6666666865348816,0.8362983465194702,0.7702020406723022,0.03770028054714203,0.5185185670852661,1.0,0.175,0.8522968292236328,0.8471567630767822,0.6666666865348816,0.02,0.8362983465194702,0.7238095998764038,0.08246936649084091,0.8246153593063354,0.8246153593063354,0.8186047077178955,0.7986754775047302,0.03770028054714203,44,0.7485380172729492,0.8510638475418091,0.9285714626312256
no_init_kenn_hybrid_adapter_bert_ms,2,7vvsh33p,0.8018379211425781,0.8404729962348938,0.889826774597168,0.889826774597168,0.8882662057876587,0.05372290313243866,0.8404729962348938,0.7733249664306641,0.7963062524795532,0.3972602784633637,0.8597235083580017,0.956028401851654,0.8018379211425781,0.7708333134651184,0.0852968841791153,0.6652967929840088,0.9666666388511658,0.9610389471054076,0.949999988079071,0.949999988079071,0.9500000476837158,0.8244681358337402,0.7963062524795532,0.6993865370750427,0.07869653403759003,0.553398072719574,0.9680851101875304,0.7963492274284363,0.7165354490280151,0.8727915287017822,0.9333333373069764,0.9500000476837158,0.8297723531723022,0.6823763847351074,0.05372290313243866,0.5631068348884583,0.9333333373069764,0.25,0.8727915287017822,0.8597235083580017,0.9500000476837158,0.13,0.8297723531723022,0.7825582027435303,0.0730443000793457,0.8200531601905823,0.8200531601905823,0.8235293626785278,0.7733249664306641,0.05372290313243866,25,0.643478274345398,0.96276593208313,0.9333333373069764
no_init_kenn_top_down_adapter_bert_ms,2,k196hfsk,0.798382043838501,0.8392572999000549,0.889826774597168,0.889826774597168,0.8974456191062927,0.05372290313243866,0.8392572999000549,0.7694703936576843,0.7941265106201172,0.3580246865749359,0.8597235083580017,0.956028401851654,0.798382043838501,0.7551020979881287,0.0852968841791153,0.6456789970397949,0.9666666388511658,0.9610389471054076,0.949999988079071,0.949999988079071,0.9500000476837158,0.8404255509376526,0.7941265106201172,0.6666666269302368,0.07950978726148605,0.5135135054588318,0.9680851101875304,0.7873714566230774,0.7165354490280151,0.8727915287017822,0.9333333373069764,0.9500000476837158,0.8279181122779846,0.6692978143692017,0.05372290313243866,0.522522509098053,0.9333333373069764,0.25,0.8727915287017822,0.8597235083580017,0.9500000476837158,0.24,0.8279181122779846,0.76882004737854,0.0744580551981926,0.8178807497024536,0.8178807497024536,0.8235293626785278,0.7694703936576843,0.05372290313243866,25,0.6218487620353699,0.96276593208313,0.9333333373069764
no_init_kenn_bottom_up_adapter_bert_ms,2,s1livqyz,0.777474045753479,0.8196237087249756,0.8916786909103394,0.8916786909103394,0.8563449382781982,0.04948161914944649,0.8196237087249756,0.7344028353691101,0.7583433389663696,0.25,0.8601948022842407,0.967139482498169,0.777474045753479,0.6340425610542297,0.08576814085245132,0.323630154132843,0.9666666388511658,0.9675324559211732,0.9666666388511658,0.9666666388511658,0.8750000596046448,0.7677304744720459,0.7583433389663696,0.465863436460495,0.07586845010519028,0.30687829852104187,0.9680851101875304,0.618482768535614,0.7165354490280151,0.873498260974884,0.9666666388511658,0.9185521006584167,0.8167452812194824,0.4545985758304596,0.05194450542330742,0.39726024866104126,0.3972602784633637,0.25,0.873498260974884,0.8601948022842407,0.9666666984558104,0.02,0.8167452812194824,0.4849154949188232,0.06801759451627731,0.7979341149330139,0.7979341149330139,0.8235293626785278,0.7344028353691101,0.05466540902853012,26,0.47151899337768555,0.9680851101875304,0.5631068348884583
no_init_kenn_hybrid_adapter_bert_ms,1,7k6p3qhd,0.7962456941604614,0.8269879817962646,0.889826774597168,0.889826774597168,0.868338942527771,0.05183789134025574,0.8269879817962646,0.7609365582466125,0.7724390029907227,0.3918918967247009,0.8597235083580017,0.9560283422470092,0.7962456941604614,0.7219512462615967,0.0852968841791153,0.45049139857292175,0.9666666388511658,0.9610389471054076,0.949999988079071,0.949999988079071,0.9166667461395264,0.7907801270484924,0.7724390029907227,0.6031745672225952,0.07693106681108475,0.44186046719551086,0.9680851101875304,0.6894917488098145,0.7165354490280151,0.8727915287017822,0.9333333373069764,0.9330357909202576,0.8267679810523987,0.5391727685928345,0.05276356637477875,0.557692289352417,0.5090909004211426,0.25,0.8727915287017822,0.8597235083580017,0.9500000476837158,0.04,0.8267679810523987,0.6111667156219482,0.07005968689918518,0.8130349516868591,0.8130349516868591,0.8235293626785278,0.7609365582466125,0.05372290313243866,25,0.578125,0.96276593208313,0.6588234901428223
no_init_kenn_top_down_adapter_bert_ms,1,xg6dd2lv,0.7958686947822571,0.8286031484603882,0.889826774597168,0.889826774597168,0.8862040638923645,0.05325165018439293,0.8286031484603882,0.7637600302696228,0.7752620577812195,0.4027777910232544,0.8597235083580017,0.9560283422470092,0.7958686947822571,0.7326732277870178,0.0852968841791153,0.47589871287345886,0.9666666388511658,0.9610389471054076,0.949999988079071,0.949999988079071,0.9416667222976683,0.8209220170974731,0.7752620577812195,0.6229508519172668,0.07851383090019226,0.4634146392345429,0.9680851101875304,0.7031863927841187,0.7165354490280151,0.8727915287017822,0.9333333373069764,0.9458150267601012,0.8265647292137146,0.5561109781265259,0.053486235439777374,0.5686274766921997,0.5490196347236633,0.25,0.8727915287017822,0.8597235083580017,0.9500000476837158,0.17,0.8265647292137146,0.634131669998169,0.07273012399673462,0.8146437406539917,0.8146437406539917,0.8235293626785278,0.7637600302696228,0.05372290313243866,25,0.5920000076293945,0.96276593208313,0.6913580298423767
no_init_kenn_bottom_up_adapter_bert_ms,1,1kl5ozqk,0.7950832843780518,0.8266018629074097,0.889826774597168,0.889826774597168,0.8799680471420288,0.05230914056301117,0.8266018629074097,0.7609365582466125,0.7717656493186951,0.41428571939468384,0.8597235083580017,0.956028401851654,0.7950832843780518,0.7219512462615967,0.0852968841791153,0.4444310069084167,0.9666666388511658,0.9610389471054076,0.949999988079071,0.949999988079071,0.9250000715255736,0.8102836608886719,0.7717656493186951,0.6031745672225952,0.07796135544776917,0.44186046719551086,0.9680851101875304,0.6861792802810669,0.7165354490280151,0.8727915287017822,0.9333333373069764,0.937333345413208,0.8261408805847168,0.5351325273513794,0.053006596863269806,0.5799999833106995,0.47457626461982727,0.25,0.8727915287017822,0.8597235083580017,0.9500000476837158,0.04,0.8261408805847168,0.6055651903152466,0.07178762555122375,0.8130349516868591,0.8130349516868591,0.8235293626785278,0.7609365582466125,0.05372290313243866,25,0.578125,0.96276593208313,0.6292134523391724
no_init_kenn_hybrid_adapter_bert_ms,0,58z9r1p9,0.8045868873596191,0.8425977230072021,0.8879749774932861,0.8879749774932861,0.9011263847351074,0.0527803972363472,0.8425977230072021,0.776589035987854,0.8016327619552612,0.4264705777168274,0.8592522740364075,0.9449172616004944,0.8045868873596191,0.7819148898124695,0.08482563495635986,0.7132352590560913,0.9666666388511658,0.9545454382896424,0.9333333373069764,0.9333332777023317,0.9333333969116212,0.8510638475418091,0.8016327619552612,0.72258061170578,0.07983589172363281,0.5894736647605896,0.9680851101875304,0.8136045932769775,0.7165354490280151,0.8720847964286804,0.8999999761581421,0.9333333969116212,0.8310216069221497,0.7143353223800659,0.0527803935110569,0.59183669090271,1.0,0.25,0.8720847964286804,0.8592522740364075,0.9333333969116212,0.16,0.8310216069221497,0.8085739016532898,0.07540056109428406,0.8215712904930115,0.8215712904930115,0.8235293626785278,0.776589035987854,0.0527803972363472,26,0.662162184715271,0.957446813583374,0.9473683834075928
no_init_kenn_top_down_adapter_bert_ms,0,m4c5u4ih,0.8087496161460876,0.8453940153121948,0.8879749774932861,0.8879749774932861,0.9328969120979308,0.0527803972363472,0.8453940153121948,0.7824984192848206,0.8067098259925842,0.5178571343421936,0.8592522740364075,0.9449173212051392,0.8087496161460876,0.807692289352417,0.08482563495635986,0.7589285373687744,0.9666666388511658,0.9545454382896424,0.9333333373069764,0.9333332777023317,0.9333333969116212,0.9095745086669922,0.8067098259925842,0.7832167744636536,0.08265061676502228,0.6746987700462341,0.9680851101875304,0.8330068588256836,0.7165354490280151,0.8720847964286804,0.8999999761581421,0.9333333969116212,0.8332363963127136,0.7447975277900696,0.0527803935110569,0.674418568611145,1.0,0.25,0.8720847964286804,0.8592522740364075,0.9333333969116212,0.46,0.8332363963127136,0.8371438384056091,0.08058434724807739,0.8248663544654846,0.8248663544654846,0.8235293626785278,0.7824984192848206,0.0527803972363472,26,0.699999988079071,0.957446813583374,0.9473683834075928
no_init_kenn_bottom_up_adapter_bert_ms,0,q3m277ta,0.8090637922286987,0.8456811308860779,0.8879749774932861,0.8879749774932861,0.9356866478919984,0.0527803972363472,0.8456811308860779,0.7829949259757996,0.8072329163551331,0.5272727012634277,0.8592522740364075,0.9449173212051392,0.8090637922286987,0.8099173307418823,0.08482563495635986,0.7636363506317139,0.9666666388511658,0.9545454382896424,0.9333333373069764,0.9333332777023317,0.9333333969116212,0.914893627166748,0.8072329163551331,0.7887323498725891,0.08289777487516403,0.6829268336296082,0.9680851101875304,0.834966242313385,0.7165354490280151,0.8720847964286804,0.8999999761581421,0.9333333969116212,0.8334030508995056,0.7479360699653625,0.0527803935110569,0.6823528409004211,1.0,0.25,0.8720847964286804,0.8592522740364075,0.9333333969116212,0.19,0.8334030508995056,0.8399999141693115,0.08105560392141342,0.8251420855522156,0.8251420855522156,0.8235293626785278,0.7829949259757996,0.0527803972363472,26,0.7033492922782898,0.957446813583374,0.9473683834075928
no_init_kenn_horizontal_adapter_bert_ms,2,0x411dco,0.8048225045204163,0.8423109650611877,0.8879749774932861,0.8879749774932861,0.919664978981018,0.05230914056301117,0.8423109650611877,0.7785488963127136,0.8011138439178467,0.4516128897666931,0.8592522740364075,0.9449173212051392,0.8048225045204163,0.7903226017951965,0.08482563495635986,0.7085650563240051,0.9333333373069764,0.9545454382896424,0.9333333373069764,0.9333333373069764,0.9250000715255736,0.8847517967224121,0.8011138439178467,0.7417218685150146,0.08147833496332169,0.6153846383094788,0.9680851101875304,0.8115814328193665,0.7165354490280151,0.8720847964286804,0.9333333373069764,0.9291480779647828,0.8311471939086914,0.7112219333648682,0.05254371091723442,0.6086956262588501,0.9655172228813172,0.25,0.8720847964286804,0.8592522740364075,0.9333333969116212,0.08,0.8311471939086914,0.805564284324646,0.07838517427444458,0.8226667046546936,0.8226667046546936,0.8235293626785278,0.7785488963127136,0.0527803972363472,26,0.6743119359016418,0.957446813583374,0.9491525292396544
no_init_kenn_horizontal_adapter_bert_ms,1,3ofez2nl,0.7946119904518127,0.8269876837730408,0.8879749774932861,0.8879749774932861,0.909015655517578,0.05136663466691971,0.8269876837730408,0.7640866637229919,0.7738393545150757,0.47457626461982727,0.8592522740364075,0.9449173212051392,0.7946119904518127,0.7313432097434998,0.08482563495635986,0.4630945920944214,0.9333333373069764,0.9545454382896424,0.9333333373069764,0.9333333373069764,0.908333420753479,0.8652482032775879,0.7738393545150757,0.6187845468521118,0.08053485304117203,0.4628099203109741,0.9680851101875304,0.6933543086051941,0.7165354490280151,0.8720847964286804,0.9333333373069764,0.9206637144088744,0.8256689310073853,0.5475748777389526,0.052063923329114914,0.6292134523391724,0.4516128897666931,0.25,0.8720847964286804,0.8592522740364075,0.9333333969116212,0.03,0.8256689310073853,0.6190389394760132,0.0766572430729866,0.8145214319229126,0.8145214319229126,0.8235293626785278,0.7640866637229919,0.0527803972363472,25,0.5927419066429138,0.957446813583374,0.6086956262588501
no_init_kenn_horizontal_adapter_bert_ms,0,6d7p0h5e,0.809535026550293,0.8451806306838989,0.8861230611801147,0.8861230611801147,0.9358981847763062,0.05183788761496544,0.8451806306838989,0.7838525176048279,0.8078545331954956,0.5384615659713745,0.8587810397148132,0.9338061809539796,0.809535026550293,0.8111110925674438,0.08435438573360443,0.7692307829856873,0.9333333373069764,0.948051929473877,0.9166666865348816,0.9166666269302368,0.9166667461395264,0.920212745666504,0.8078545331954956,0.7913669347763062,0.08291652053594589,0.6962025165557861,0.9680851101875304,0.8328944444656372,0.7165354490280151,0.8713780641555786,0.8999999761581421,0.9166667461395264,0.8334311842918396,0.7516657114028931,0.05183788761496544,0.6829268932342529,1.0,0.25,0.8713780641555786,0.8587810397148132,0.9166667461395264,0.25,0.8334311842918396,0.836501955986023,0.08152686059474945,0.8253012299537659,0.8253012299537659,0.8235293626785278,0.7838525176048279,0.05183788761496544,18,0.708737850189209,0.9521276950836182,0.9473683834075928
