name,instance,run_id,test_incremental/macro_types/precision,test_incremental_WORK_OF_ART/macro_types/f1,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental/macro_example_exclusive/precision,epoch,test/macro_types/f1,test/macro_example/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,threshold_incremental,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test_incremental_WORK_OF_ART-SONG/macro_types/recall,test/micro/f1,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test/macro_types/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/micro/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_incremental_WORK_OF_ART/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_WORK_OF_ART-SONG/macro_types/precision,test/micro/precision,test_pretraining/macro_example/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test/micro/recall,threshold_pretraining
kenn_bottom_up_adapter_bert_ms,0,1gn2xmwd,0.6938164234161377,0.7596153616905212,0.8110272884368896,0.7768750190734863,0.5106382966041565,0.6818181872367859,9,0.8250234723091125,0.8561105728149414,0.8525377511978149,0.8594650626182556,0.6818181276321411,0.6310679316520691,0.6566227078437805,0.7932358980178833,0.34,0.6132075190544128,0.060791708528995514,0.7181817889213562,0.6310679316520691,0.6767441630363464,0.6286313533782959,0.9534883499145508,0.4000000059604645,0.8129497170448303,0.7932358980178833,0.6220095157623291,0.626213550567627,0.8329593539237976,0.8329593539237976,0.6760563254356384,0.6921826601028442,0.8250234723091125,0.6905567049980164,0.8594650626182556,0.061026424169540405,0.8110272884368896,0.7058823704719543,0.6906474828720093,0.8129497170448303,0.07068803161382675,0.07068803161382675,0.6376633644104004,0.7130434513092041,0.8061224222183228,0.07068802416324615,0.061262957751750946,0.6818181872367859,0.7058823704719543,0.7768750190734863,0.8561105728149414,0.5694444179534912,0.8525377511978149,0.25
box_adapter_bert_ms,2,1aplsttb,0.5133455991744995,0.7559808492660522,0.4937794804573059,0.4947749078273773,0.5360825061798096,0.663636326789856,7,0.8150376677513123,0.8506126403808594,0.8443072438240051,0.8511258959770203,0.6818181276321411,0.6310679316520691,0.47762301564216614,0.7818852066993713,0.99,0.06322956830263138,0.061262957751750946,0.7181817889213562,0.6310679912567139,0.6701550483703613,0.6310679912567139,0.9069767594337464,0.4333333373069763,0.6239229440689087,0.7818852066993713,0.1149425283074379,0.6310679912567139,0.6248401403427124,0.6248401403427124,0.6760563254356384,0.58730548620224,0.8150376677513123,0.6861640214920044,0.8511258959770203,0.061262957751750946,0.4937794804573059,0.12777285277843475,0.2149253785610199,0.6239229440689087,0.06973277777433395,0.07068803161382675,0.37102845311164856,0.07543519884347916,0.7979797720909119,0.06880301237106323,0.061262957751750946,0.6726043820381165,0.7027027010917664,0.4947749078273773,0.8506126403808594,0.03935418650507927,0.8443072438240051,0.175
box_adapter_bert_ms,1,jo1ixaeh,0.542354941368103,0.7559808492660522,0.4945648908615112,0.4955787658691406,0.5591397881507874,0.6727272272109985,31,0.8188471794128418,0.8515551090240479,0.845678985118866,0.853709876537323,0.6909090280532837,0.6504854559898376,0.5188814401626587,0.7867200970649719,0.99,0.06517509371042252,0.06314796954393387,0.7181817889213562,0.6504853963851929,0.6934108734130859,0.6504853963851929,0.9534883499145508,0.4333333373069763,0.624936580657959,0.7867200970649719,0.11847921460866928,0.6504853963851929,0.6257231831550598,0.6257231831550598,0.68544602394104,0.6118103861808777,0.8188471794128418,0.701667845249176,0.853709876537323,0.06314796954393387,0.4945648908615112,0.12954747676849365,0.21791045367717743,0.624936580657959,0.07067546248435974,0.07163053750991821,0.41454240679740906,0.07899806648492813,0.7979797720909119,0.06974552571773529,0.06314796954393387,0.6816969513893127,0.7878788113594055,0.4955787658691406,0.8515551090240479,0.04120602831244469,0.845678985118866,0.175
box_adapter_bert_ms,0,326co0x8,0.4460069537162781,0.7559808492660522,0.49425071477890015,0.49517685174942017,0.4736841917037964,0.6727272272109985,7,0.8093158602714539,0.8510838747024536,0.8449931144714355,0.8520517945289612,0.6863635778427124,0.6407766938209534,0.38630273938179016,0.7706620693206787,0.99,0.06420233100652695,0.06220546364784241,0.7181817889213562,0.6407766938209534,0.6784883737564087,0.6407766938209534,0.9069767594337464,0.44999998807907104,0.6244298219680786,0.7706620693206787,0.1167108714580536,0.6407766938209534,0.6253445744514465,0.6253445744514465,0.6807511448860168,0.5423302054405212,0.8093158602714539,0.6917195320129395,0.8520517945289612,0.06220546364784241,0.49425071477890015,0.1286601573228836,0.21641790866851807,0.6244298219680786,0.07044531404972076,0.07115928828716278,0.2700205445289612,0.07669615745544434,0.7979797720909119,0.06974552571773529,0.06220546364784241,0.6794769763946533,0.5,0.49517685174942017,0.8510838747024536,0.04004106670618057,0.8449931144714355,0.175
classifier_adapter_bert_ms,2,2zpci0dv,0.5272084474563599,0.7596153616905212,0.8004398345947266,0.7441860437393188,0.3461538255214691,0.5181818008422852,6,0.8121196031570435,0.8583097457885742,0.855967104434967,0.8648267984390259,0.7045454978942871,0.6796116232872009,0.5052697062492371,0.7654678821563721,0.05,0.3825136721134186,0.03817153722047806,0.7181817889213562,0.6796116828918457,0.7250000238418579,0.4981768727302551,1.0,0.44999998807907104,0.7961722016334534,0.7654678821563721,0.4895104765892029,0.3932038843631744,0.8283653259277344,0.8283653259277344,0.6995305418968201,0.6096760630607605,0.8121196031570435,0.7227272987365723,0.8648267984390259,0.0483621284365654,0.8004398345947266,0.5302491188049316,0.6032388806343079,0.7961722016334534,0.06191115453839302,0.0730443000793457,0.387751430273056,0.6615384221076965,0.8061224222183228,0.05372290313243866,0.06597549468278885,0.5971611738204956,0.28125,0.7441860437393188,0.8583097457885742,0.49425286054611206,0.855967104434967,0.25
classifier_adapter_bert_ms,1,2skhdfzp,0.6133841276168823,0.7596153616905212,0.7947690486907959,0.7197674512863159,0.4941176772117615,0.6909090280532837,14,0.8152788877487183,0.8537543416023254,0.8491083383560181,0.8541033267974854,0.6590908765792847,0.582524299621582,0.5673276782035828,0.7798305153846741,0.8300000000000001,0.2654867172241211,0.05655042082071304,0.7181817889213562,0.582524299621582,0.6284883618354797,0.582524299621582,0.9069767594337464,0.3499999940395355,0.7791063189506531,0.7798305153846741,0.36474162340164185,0.582524299621582,0.8232064843177795,0.8232064843177795,0.6525821685791016,0.6350889801979065,0.8152788877487183,0.65838623046875,0.8541033267974854,0.05655042082071304,0.7947690486907959,0.4290123581886291,0.517690896987915,0.7791063189506531,0.06994227319955826,0.0683317631483078,0.5170149207115173,0.3196721374988556,0.8061224222183228,0.07163053750991821,0.05655042082071304,0.6746249794960022,0.8399999737739563,0.7197674512863159,0.8537543416023254,0.1940298527479172,0.8491083383560181,0.25
classifier_adapter_bert_ms,0,25rm10ov,0.538648247718811,0.7596153616905212,0.8014294505119324,0.7496984601020813,0.31292515993118286,0.5363636016845703,7,0.8109761476516724,0.8561105728149414,0.8525377511978149,0.8598310947418213,0.6818181872367859,0.6310679316520691,0.5075907707214355,0.7673745155334473,0.12,0.396341472864151,0.0372290275990963,0.7181817889213562,0.6310679912567139,0.6800387501716614,0.47707533836364746,0.9767441749572754,0.38333332538604736,0.7978177666664124,0.7673745155334473,0.48689138889312744,0.38349515199661255,0.8278680443763733,0.8278680443763733,0.6760563254356384,0.60605788230896,0.8109761476516724,0.6927530765533447,0.8598310947418213,0.04631362482905388,0.8014294505119324,0.5496183037757874,0.6063157916069031,0.7978177666664124,0.06224767118692398,0.07068802416324615,0.4049111902713776,0.7000000476837158,0.8061224222183228,0.05560791864991188,0.061262957751750946,0.6004070043563843,0.26436781883239746,0.7496984601020813,0.8561105728149414,0.5454545617103577,0.8525377511978149,0.25
