name,instance,run_id,test/micro/precision,test/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_location-transit/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_types/recall,test_incremental_location-transit-road/macro_types/recall,threshold_incremental,test/macro_example/recall,test/micro/f1,test_incremental/micro/precision,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_location-transit-road/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental/macro_types/f1,test_incremental_location-transit/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_pretraining/micro/recall,test/micro/recall,test_incremental/micro/recall,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_location-transit/macro_types/precision,test/macro_types/f1,threshold_pretraining,test_incremental_only/micro/f1,test_incremental_location-transit-road/macro_types/precision,epoch,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1
smart_init_box_adapter_bert_ms,1,qdiic6al,0.831312894821167,0.8233523368835449,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.8123682141304016,0.44999998807907104,0.8999999761581421,0.05,0.8067769408226013,0.8123682141304016,0.20930232107639313,0.006660088896751404,0.20930232107639313,0.8999999761581421,0.6726030111312866,0.7044118046760559,0.3396226465702057,0.9000000357627869,0.3396226465702057,0.8067769408226013,0.013320177793502808,0.20930232107639313,0.7393785715103149,0.8233523368835449,0.16981132328510284,0.0,0.9000000357627869,0.9000000357627869,0.25,0.831312894821167,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.8406230211257935,0.7393785715103149,0.0,0.7044118046760559,0.26,0.3396226465702057,0.20930232107639313,22,0.00888011883944273,0.10465116053819656,0.2368420958518982,0.8406230211257935,0.8999999761581421,0.013320177793502808
smart_init_box_adapter_bert_ms,0,j66upcd2,0.8380281925201416,0.8268312215805054,0.31578946113586426,0.013320177793502808,0.4736841917037964,0.0,0.8155613541603088,0.44999998807907104,0.8999999761581421,0.01,0.8067769408226013,0.8155613541603088,0.30000001192092896,0.006660088896751404,0.30000001192092896,0.8999999761581421,0.6726030111312866,0.705268144607544,0.44999998807907104,0.9000000357627869,0.44999998807907104,0.8067769408226013,0.013320177793502808,0.30000001192092896,0.7412680387496948,0.8268312215805054,0.22499999403953552,0.0,0.9000000357627869,0.9000000357627869,0.3050847351551056,0.8380281925201416,0.6726030111312866,0.7942677736282349,0.7942677736282349,0.3103448152542114,0.013320177793502808,0.8479080200195312,0.7412680387496948,0.0,0.705268144607544,0.26,0.44999998807907104,0.30000001192092896,18,0.00888011883944273,0.15000000596046448,0.2368420958518982,0.8479080200195312,0.8999999761581421,0.013320177793502808
no_init_kenn_hybrid_adapter_bert_ms,2,mef3g8zl,0.8568342328071594,0.8644714951515198,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8566659688949585,0.6780701875686646,0.8999999761581421,0.99,0.8631809949874878,0.8566659688949585,0.8833333253860474,0.013073507696390152,0.8181818127632141,0.8999999761581421,0.8161696195602417,0.8389320373535156,0.8571428060531616,0.9000000357627869,0.8571428060531616,0.8631809949874878,0.013320177793502808,0.8181818127632141,0.8630005121231079,0.8644714951515198,0.7699276208877563,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.7210884690284729,0.8568342328071594,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8657657504081726,0.8630005121231079,0.9629629850387572,0.8389320373535156,0.33,0.8571428060531616,0.8181818127632141,11,0.013195689767599106,0.8905724287033081,0.4649122655391693,0.8657657504081726,0.8999999761581421,0.013320177793502808
no_init_kenn_top_down_adapter_bert_ms,2,eodgna8s,0.8188813924789429,0.8485409617424011,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.837267279624939,0.6780701875686646,0.8999999761581421,0.02,0.8631809949874878,0.837267279624939,0.17905405163764954,0.013073507696390152,0.10037174820899963,0.8999999761581421,0.8161696195602417,0.8318026065826416,0.1806020140647888,0.9000000357627869,0.1806020140647888,0.8631809949874878,0.013320177793502808,0.10037174820899963,0.8480461835861206,0.8485409617424011,0.5960099101066589,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.2767623960971832,0.8188813924789429,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8343892693519592,0.8480461835861206,0.9629629850387572,0.8318026065826416,0.33,0.1806020140647888,0.10037174820899963,10,0.013195689767599106,0.5316673517227173,0.4649122655391693,0.8343892693519592,0.8999999761581421,0.013320177793502808
no_init_kenn_bottom_up_adapter_bert_ms,2,ixl9n192,0.8570025563240051,0.8645533919334412,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8567501306533813,0.6780701875686646,0.8999999761581421,0.99,0.8631809949874878,0.8567501306533813,0.8983050584793091,0.013073507696390152,0.84375,0.8999999761581421,0.8161696195602417,0.8391836881637573,0.8709677457809448,0.9000000357627869,0.8709677457809448,0.8631809949874878,0.013320177793502808,0.84375,0.8635332584381104,0.8645533919334412,0.7746664881706238,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.7260273694992065,0.8570025563240051,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8659301996231079,0.8635332584381104,0.9629629850387572,0.8391836881637573,0.33,0.8709677457809448,0.84375,11,0.013195689767599106,0.9033564925193788,0.4649122655391693,0.8659301996231079,0.8999999761581421,0.013320177793502808
no_init_kenn_hybrid_adapter_bert_ms,1,cis1s9rz,0.8458704948425293,0.85940021276474,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8511509895324707,0.6780701875686646,0.8999999761581421,0.37,0.8631809949874878,0.8511509895324707,0.420634925365448,0.013073507696390152,0.27272728085517883,0.8999999761581421,0.8161696195602417,0.8335261344909668,0.41860467195510864,0.9000000357627869,0.41860467195510864,0.8631809949874878,0.013320177793502808,0.27272728085517883,0.8516368865966797,0.85940021276474,0.6465582251548767,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.4976525902748108,0.8458704948425293,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8556522727012634,0.8516368865966797,0.9629629850387572,0.8335261344909668,0.33,0.41860467195510864,0.27272728085517883,14,0.013195689767599106,0.6178451180458069,0.4649122655391693,0.8556522727012634,0.8999999761581421,0.013320177793502808
no_init_kenn_top_down_adapter_bert_ms,1,4pbdlxpp,0.8463627696037292,0.8596488833427429,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8514001369476318,0.6780701875686646,0.8999999761581421,0.75,0.8631809949874878,0.8514001369476318,0.43089431524276733,0.013073507696390152,0.28125,0.8999999761581421,0.8161696195602417,0.8336111903190613,0.4285714030265808,0.9000000357627869,0.4285714030265808,0.8631809949874878,0.013320177793502808,0.28125,0.8518145084381104,0.8596488833427429,0.6488839387893677,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.5047618746757507,0.8463627696037292,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8561456203460693,0.8518145084381104,0.9629629850387572,0.8336111903190613,0.33,0.4285714030265808,0.28125,14,0.013195689767599106,0.6221064925193787,0.4649122655391693,0.8561456203460693,0.8999999761581421,0.013320177793502808
no_init_kenn_bottom_up_adapter_bert_ms,1,td50ef9v,0.8457065224647522,0.8592756986618042,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8510679602622986,0.6780701875686646,0.8999999761581421,0.44,0.8631809949874878,0.8510679602622986,0.4173228442668915,0.013073507696390152,0.27000001072883606,0.8999999761581421,0.8161696195602417,0.8334989547729492,0.4153846204280853,0.9000000357627869,0.4153846204280853,0.8631809949874878,0.013320177793502808,0.27000001072883606,0.8515801429748535,0.8592756986618042,0.6458108425140381,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.4953271150588989,0.8457065224647522,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8554055690765381,0.8515801429748535,0.9629629850387572,0.8334989547729492,0.33,0.4153846204280853,0.27000001072883606,14,0.013195689767599106,0.6164814829826355,0.4649122655391693,0.8554055690765381,0.8999999761581421,0.013320177793502808
no_init_kenn_hybrid_adapter_bert_ms,0,2ewmt6ld,0.8481726050376892,0.8603736162185669,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8523148894309998,0.6780701875686646,0.8999999761581421,0.12,0.8631809949874878,0.8523148894309998,0.4732142984867096,0.013073507696390152,0.3176470696926117,0.8999999761581421,0.8161696195602417,0.8339741230010986,0.469565212726593,0.9000000357627869,0.469565212726593,0.8631809949874878,0.013320177793502808,0.3176470696926117,0.8525727987289429,0.8603736162185669,0.6586467027664185,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.5326633453369141,0.8481726050376892,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.857584536075592,0.8525727987289429,0.9629629850387572,0.8339741230010986,0.33,0.469565212726593,0.3176470696926117,13,0.013195689767599106,0.6403050422668457,0.4649122655391693,0.857584536075592,0.8999999761581421,0.013320177793502808
no_init_kenn_top_down_adapter_bert_ms,0,mr5lvbvv,0.8327925205230713,0.8541681170463562,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8444788455963135,0.6780701875686646,0.8999999761581421,0.04,0.8631809949874878,0.8444788455963135,0.256038635969162,0.013073507696390152,0.15000000596046448,0.8999999761581421,0.8161696195602417,0.8322995901107788,0.2571428716182709,0.9000000357627869,0.2571428716182709,0.8631809949874878,0.013320177793502808,0.15000000596046448,0.8490800857543945,0.8541681170463562,0.61128830909729,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.3605442345142365,0.8327925205230713,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8453414440155029,0.8490800857543945,0.9629629850387572,0.8322995901107788,0.33,0.2571428716182709,0.15000000596046448,12,0.013195689767599106,0.5564814805984497,0.4649122655391693,0.8453414440155029,0.8999999761581421,0.013320177793502808
no_init_kenn_bottom_up_adapter_bert_ms,0,39b6o58w,0.8478429913520813,0.8601873517036438,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8521484136581421,0.6780701875686646,0.8999999761581421,0.13,0.8631809949874878,0.8521484136581421,0.4649122953414917,0.013073507696390152,0.3103448152542114,0.8999999761581421,0.8161696195602417,0.8339014053344727,0.4615384340286255,0.9000000357627869,0.4615384340286255,0.8631809949874878,0.013320177793502808,0.3103448152542114,0.8524206876754761,0.8601873517036438,0.6567096710205078,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.5273632407188416,0.8478429913520813,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8572144508361816,0.8524206876754761,0.9629629850387572,0.8339014053344727,0.33,0.4615384340286255,0.3103448152542114,13,0.013195689767599106,0.6366539001464844,0.4649122655391693,0.8572144508361816,0.8999999761581421,0.013320177793502808
smart_init_classifier_adapter_bert_ms,2,11192ubd,0.8204212188720703,0.8493056297302246,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8380714654922485,0.6780701875686646,0.8999999761581421,0.02,0.8631809949874878,0.8380714654922485,0.1853146851062775,0.013073507696390152,0.1042471006512642,0.8999999761581421,0.8161696195602417,0.8318414092063904,0.18685120344161987,0.9000000357627869,0.18685120344161987,0.8631809949874878,0.013320177793502808,0.1042471006512642,0.8481268882751465,0.8493056297302246,0.597225546836853,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.2841823101043701,0.8204212188720703,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.835869312286377,0.8481268882751465,0.9629629850387572,0.8318414092063904,0.33,0.18685120344161987,0.1042471006512642,9,0.013195689767599106,0.5336050391197205,0.4649122655391693,0.835869312286377,0.8999999761581421,0.013320177793502808
smart_init_classifier_adapter_bert_ms,1,4b6avthy,0.8470199704170227,0.85993891954422,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8517325520515442,0.6780701875686646,0.8999999761581421,0.7100000000000001,0.8631809949874878,0.8517325520515442,0.4453781545162201,0.013073507696390152,0.29347825050354004,0.8999999761581421,0.8161696195602417,0.8337331414222717,0.44262292981147766,0.9000000357627869,0.44262292981147766,0.8631809949874878,0.013320177793502808,0.29347825050354004,0.8520692586898804,0.85993891954422,0.6521942019462585,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.5145631432533264,0.8470199704170227,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8567211627960205,0.8520692586898804,0.9629629850387572,0.8337331414222717,0.33,0.44262292981147766,0.29347825050354004,10,0.013195689767599106,0.6282206177711487,0.4649122655391693,0.8567211627960205,0.8999999761581421,0.013320177793502808
smart_init_classifier_adapter_bert_ms,0,lnoh01p8,0.8326336145401001,0.8540421724319458,0.4692572355270386,0.013320177793502808,0.4736841917037964,0.45614033937454224,0.8443971276283264,0.6780701875686646,0.8999999761581421,0.05,0.8631809949874878,0.8443971276283264,0.2548076808452606,0.013073507696390152,0.14917127788066864,0.8999999761581421,0.8161696195602417,0.8322913646697998,0.25592419505119324,0.9000000357627869,0.25592419505119324,0.8631809949874878,0.013320177793502808,0.14917127788066864,0.8490628004074097,0.8540421724319458,0.6110382080078125,0.6190475821495056,0.9000000357627869,0.9000000357627869,0.35932204127311707,0.8326336145401001,0.8161696195602417,0.8564978241920471,0.8564978241920471,0.6091954112052917,0.013320177793502808,0.8450947999954224,0.8490628004074097,0.9629629850387572,0.8322913646697998,0.33,0.25592419505119324,0.14917127788066864,12,0.013195689767599106,0.5560671091079712,0.4649122655391693,0.8450947999954224,0.8999999761581421,0.013320177793502808
