name,instance,run_id,test_pretraining/micro/f1,test/micro/recall,test/macro_types/recall,test_incremental/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/recall,epoch,test_incremental/micro/recall,test_incremental/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/f1,test/macro_types/precision,test/macro_example/precision,test_incremental_location-transit/macro_types/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_location-transit-road/macro_types/f1,test_incremental_location-transit-road/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_location-transit/macro_types/recall,test/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental_location-transit/macro_types/precision,test_incremental_location-transit-road/macro_types/recall,test/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/micro/precision,test_incremental/macro_example/recall,threshold_incremental,threshold_pretraining,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/precision
smart_init_box_adapter_bert_ms,1,5zklzu73,0.8197751045227051,0.7942677736282349,0.6726030111312866,0.4285714030265808,0.3913043439388275,0.8067769408226013,0.8999999761581421,0.2368420958518982,24,0.3103448152542114,0.692307710647583,0.44999998807907104,0.3461538553237915,0.013320177793502808,0.9000000357627869,0.782608687877655,0.013320177793502808,0.013320177793502808,0.9000000357627869,0.830442488193512,0.7494411468505859,0.8555383086204529,0.0,0.708946168422699,0.8555383086204529,0.9000000357627869,0.7942677736282349,0.782608687877655,0.7494411468505859,0.8999999761581421,0.782608687877655,0.692307710647583,0.830442488193512,0.6726030111312866,0.0,0.8067769408226013,0.8469750881195068,0.00888011883944273,0.0,0.8999999761581421,0.708946168422699,0.013320177793502808,0.4736841917037964,0.8197751045227051,0.8469750881195068,0.006660088896751404,0.03,0.26,0.692307710647583,0.31578946113586426,0.692307710647583
smart_init_box_adapter_bert_ms,0,yhz2bgpa,0.8162195086479187,0.7942677736282349,0.6726030111312866,0.3195266127586365,0.2410714328289032,0.8067769408226013,0.8999999761581421,0.2368420958518982,32,0.3103448152542114,0.32926830649375916,0.44999998807907104,0.16463415324687958,0.013320177793502808,0.9000000357627869,0.4821428656578064,0.013320177793502808,0.013320177793502808,0.9000000357627869,0.8274562954902649,0.7418777942657471,0.8492236137390137,0.0,0.7055439949035645,0.8492236137390137,0.9000000357627869,0.7942677736282349,0.4821428656578064,0.7418777942657471,0.8999999761581421,0.4821428656578064,0.32926830649375916,0.8274562954902649,0.6726030111312866,0.0,0.8067769408226013,0.8394190669059753,0.00888011883944273,0.0,0.8999999761581421,0.7055439949035645,0.013320177793502808,0.4736841917037964,0.8162195086479187,0.8394190669059753,0.006660088896751404,0.01,0.26,0.32926830649375916,0.31578946113586426,0.32926830649375916
no_init_kenn_hybrid_adapter_bert_ms,2,jwkb1tcr,0.856918454170227,0.8564978241920471,0.8161696195602417,0.7361111044883728,0.7848269939422607,0.8631809949874878,0.8999999761581421,0.4649122655391693,14,0.6091954112052917,0.9298245906829834,0.6780701875686646,0.9314814805984496,0.013320177793502808,0.9000000357627869,0.8999999761581421,0.013320177793502808,0.013320177793502808,0.9000000357627869,0.8647172451019287,0.8647050857543945,0.8662590980529785,0.6190475821495056,0.8397365808486938,0.8662590980529785,0.9000000357627869,0.8564978241920471,0.8999999761581421,0.8647050857543945,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8647172451019287,0.8161696195602417,0.45614033937454224,0.8631809949874878,0.8573393821716309,0.013195689767599106,0.9629629850387572,0.8999999761581421,0.8397365808486938,0.013320177793502808,0.4736841917037964,0.856918454170227,0.8573393821716309,0.013073507696390152,0.99,0.33,0.8999999761581421,0.4692572355270386,0.8999999761581421
no_init_kenn_top_down_adapter_bert_ms,2,3x9yttcc,0.8394420742988586,0.8564978241920471,0.8161696195602417,0.29775282740592957,0.599511981010437,0.8631809949874878,0.8999999761581421,0.4649122655391693,14,0.6091954112052917,0.19702602922916412,0.6780701875686646,0.5372666120529175,0.013320177793502808,0.9000000357627869,0.1985294073820114,0.013320177793502808,0.013320177793502808,0.9000000357627869,0.85028076171875,0.8482794761657715,0.8377604484558105,0.6190475821495056,0.8319148421287537,0.8377604484558105,0.9000000357627869,0.8564978241920471,0.1985294073820114,0.8482794761657715,0.8999999761581421,0.1985294073820114,0.11157024651765823,0.85028076171875,0.8161696195602417,0.45614033937454224,0.8631809949874878,0.8230522274971008,0.013195689767599106,0.9629629850387572,0.8999999761581421,0.8319148421287537,0.013320177793502808,0.4736841917037964,0.8394420742988586,0.8230522274971008,0.013073507696390152,0.01,0.33,0.11157024651765823,0.4692572355270386,0.11157024651765823
no_init_kenn_bottom_up_adapter_bert_ms,2,8xuc2aqg,0.8569744825363159,0.8563015460968018,0.8154752254486084,0.73758864402771,0.784191370010376,0.8630164861679077,0.8666666746139526,0.4561403691768646,14,0.5977011322975159,0.9629629850387572,0.6614035367965698,0.9629629850387572,0.012826837599277496,0.8666666746139526,0.9122806787490844,0.013320177793502808,0.012826837599277496,0.8666666746139526,0.8647985458374023,0.8660168647766113,0.8665879964828491,0.6190475821495056,0.8399865031242371,0.8665879964828491,0.8666666746139526,0.8563015460968018,0.9122806787490844,0.8660168647766113,0.8666666746139526,0.9122806787490844,0.9629629850387572,0.8647985458374023,0.8154752254486084,0.45614033937454224,0.8630164861679077,0.8576484322547913,0.013068852946162224,0.9629629850387572,0.8666666746139526,0.8399865031242371,0.012826837599277496,0.4736841917037964,0.8569744825363159,0.8576484322547913,0.012826837599277496,0.99,0.33,0.9629629850387572,0.4647467434406281,0.9629629850387572
no_init_kenn_hybrid_adapter_bert_ms,1,7g9lgewt,0.8567219972610474,0.8563015460968018,0.8154752254486084,0.7222222089767456,0.7677385210990906,0.8630164861679077,0.8666666746139526,0.45614033937454224,14,0.5977011322975159,0.9122806787490844,0.6614035367965698,0.914814829826355,0.012826837599277496,0.8666667342185974,0.8666666746139526,0.012826837599277496,0.012826837599277496,0.8666667342185974,0.8645528554916382,0.8640106916427612,0.8660946488380432,0.6190475821495056,0.8390416502952576,0.8660946488380432,0.8666667342185974,0.8563015460968018,0.8666666746139526,0.8640106916427612,0.8666666746139526,0.8666666746139526,0.8666666746139526,0.8645528554916382,0.8154752254486084,0.45614033937454224,0.8630164861679077,0.8571428656578064,0.012826837599277496,0.9629629850387572,0.8666666746139526,0.8390416502952576,0.012826837599277496,0.45614033937454224,0.8567219972610474,0.8571428656578064,0.012826837599277496,0.99,0.33,0.8666666746139526,0.45614033937454224,0.8666666746139526
no_init_kenn_top_down_adapter_bert_ms,1,l4wz2mpq,0.8566378355026245,0.8563015460968018,0.8154752254486084,0.7172412872314453,0.7627719640731812,0.8630164861679077,0.8666666746139526,0.45614033937454224,15,0.5977011322975159,0.8965517282485962,0.6614035367965698,0.9008363485336304,0.012826837599277496,0.8666667342185974,0.8524589538574219,0.012826837599277496,0.012826837599277496,0.8666667342185974,0.8644708395004272,0.8634282350540161,0.8659301996231079,0.6190475821495056,0.8387669324874878,0.8659301996231079,0.8666667342185974,0.8563015460968018,0.8524589538574219,0.8634282350540161,0.8666666746139526,0.8524589538574219,0.8387096524238586,0.8644708395004272,0.8154752254486084,0.45614033937454224,0.8630164861679077,0.8569744825363159,0.012826837599277496,0.9629629850387572,0.8666666746139526,0.8387669324874878,0.012826837599277496,0.45614033937454224,0.8566378355026245,0.8569744825363159,0.012826837599277496,0.99,0.33,0.8387096524238586,0.45614033937454224,0.8387096524238586
no_init_kenn_bottom_up_adapter_bert_ms,1,7d8x8oyh,0.8566378355026245,0.8563015460968018,0.8154752254486084,0.7172412872314453,0.7627719640731812,0.8630164861679077,0.8666666746139526,0.45614033937454224,14,0.5977011322975159,0.8965517282485962,0.6614035367965698,0.9008363485336304,0.012826837599277496,0.8666667342185974,0.8524589538574219,0.012826837599277496,0.012826837599277496,0.8666667342185974,0.8644708395004272,0.8634282350540161,0.8659301996231079,0.6190475821495056,0.8387669324874878,0.8659301996231079,0.8666667342185974,0.8563015460968018,0.8524589538574219,0.8634282350540161,0.8666666746139526,0.8524589538574219,0.8387096524238586,0.8644708395004272,0.8154752254486084,0.45614033937454224,0.8630164861679077,0.8569744825363159,0.012826837599277496,0.9629629850387572,0.8666666746139526,0.8387669324874878,0.012826837599277496,0.45614033937454224,0.8566378355026245,0.8569744825363159,0.012826837599277496,0.97,0.33,0.8387096524238586,0.45614033937454224,0.8387096524238586
no_init_kenn_hybrid_adapter_bert_ms,0,cvurb9l0,0.8520652055740356,0.8564978241920471,0.8161696195602417,0.5247524380683899,0.6557703614234924,0.8631809949874878,0.8999999761581421,0.4649122655391693,14,0.6091954112052917,0.46086955070495605,0.6780701875686646,0.6348905563354492,0.013320177793502808,0.9000000357627869,0.457627147436142,0.013320177793502808,0.013320177793502808,0.9000000357627869,0.8602080941200256,0.8523471355438232,0.8572555780410767,0.6190475821495056,0.8338661193847656,0.8572555780410767,0.9000000357627869,0.8564978241920471,0.457627147436142,0.8523471355438232,0.8999999761581421,0.457627147436142,0.3068181872367859,0.8602080941200256,0.8161696195602417,0.45614033937454224,0.8631809949874878,0.8476782441139221,0.013195689767599106,0.9629629850387572,0.8999999761581421,0.8338661193847656,0.013320177793502808,0.4736841917037964,0.8520652055740356,0.8476782441139221,0.013073507696390152,0.05,0.33,0.3068181872367859,0.4692572355270386,0.3068181872367859
no_init_kenn_top_down_adapter_bert_ms,0,q2qkchve,0.8461166024208069,0.8564978241920471,0.8161696195602417,0.38686132431030273,0.6169019937515259,0.8631809949874878,0.8999999761581421,0.4649122655391693,14,0.6091954112052917,0.28342247009277344,0.6780701875686646,0.5658565163612366,0.013320177793502808,0.9000000357627869,0.28421053290367126,0.013320177793502808,0.013320177793502808,0.9000000357627869,0.8553124666213989,0.8494707345962524,0.8475861549377441,0.6190475821495056,0.8324872851371765,0.8475861549377441,0.9000000357627869,0.8564978241920471,0.28421053290367126,0.8494707345962524,0.8999999761581421,0.28421053290367126,0.16875000298023224,0.8553124666213989,0.8161696195602417,0.45614033937454224,0.8631809949874878,0.83598393201828,0.013195689767599106,0.9629629850387572,0.8999999761581421,0.8324872851371765,0.013320177793502808,0.4736841917037964,0.8461166024208069,0.83598393201828,0.013073507696390152,0.04,0.33,0.16875000298023224,0.4692572355270386,0.16875000298023224
