name,instance,run_id,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_location-transit-road/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_location-transit/macro_types/f1,threshold_incremental,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/recall,test_incremental_only/macro_example/f1,test/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test/macro_example/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_location-transit/macro_types/precision,test/micro/recall,test/micro/precision,test_incremental/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test/macro_example/recall,test_incremental_location-transit-road/macro_types/f1,epoch,test/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test/micro/f1,test/macro_types/recall,test_incremental_only/micro/f1,test_incremental/micro/precision,test_incremental/micro/recall,test_incremental_only/macro_example/precision,test_incremental_location-transit/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-transit-road/macro_types/precision,test_pretraining/macro_example/f1
smart_init_box_adapter_bert_ms,1,nrmfdfe6,0.7529778480529785,0.7097489237785339,0.008222331292927265,0.8620689511299133,0.8333333134651184,0.0061667487025260925,0.8483322858810425,0.4237287938594818,0.8571827411651611,0.0,0.01,0.8333333134651184,0.8620689511299133,0.833333432674408,0.7938751578330994,0.012333497405052183,0.7097489237785339,0.8202008008956909,0.292397677898407,0.8064480423927307,0.012333497405052183,0.8571827411651611,0.8474575877189636,0.7529778480529785,0.0,0.7938751578330994,0.8483322858810425,0.4166666567325592,0.8333333134651184,0.43103447556495667,0.8333333730697632,0.26,0.8064480423927307,0.8474575877189636,22,0.8310418128967285,0.4385964870452881,0.43103447556495667,0.012333497405052183,0.21929824352264404,0.6712141036987305,0.8202008008956909,0.6712141036987305,0.8474575877189636,0.8620689511299133,0.28735631704330444,0.012333497405052183,0.0,0.8333333730697632,0.8620689511299133,0.8310418128967285
smart_init_box_adapter_bert_ms,0,srl284wo,0.7521312236785889,0.7085962295532227,0.007564544677734375,0.8214285969734192,0.7666666507720947,0.005673408508300781,0.848090648651123,0.3965517580509186,0.8570594191551208,0.0,0.11,0.7666666507720947,0.8214285969734192,0.7666667103767395,0.7934825420379639,0.011346817016601562,0.7085962295532227,0.819878339767456,0.2690058648586273,0.8061192035675049,0.011346817016601562,0.8570594191551208,0.7931035161018372,0.7521312236785889,0.0,0.7934825420379639,0.848090648651123,0.38333332538604736,0.7666666507720947,0.40000003576278687,0.7666667103767395,0.26,0.8061192035675049,0.7931035161018372,27,0.8308091759681702,0.4035087823867798,0.4107142984867096,0.011346817016601562,0.2017543911933899,0.6698252558708191,0.819878339767456,0.6698252558708191,0.7931035161018372,0.8214285969734192,0.26436781883239746,0.011346817016601562,0.0,0.7666667103767395,0.8214285969734192,0.8308091759681702
no_init_kenn_hybrid_adapter_bert_ms,2,o7dxn9gw,0.8659204244613647,0.8388345837593079,0.012445841915905476,0.9583333134651184,0.7666666507720947,0.01208682730793953,0.8575644493103027,0.7472319602966309,0.8665879964828491,0.6190475821495056,0.99,0.7666666507720947,0.9583333134651184,0.7666667103767395,0.8557125926017761,0.011346817016601562,0.8388345837593079,0.8566375374794006,0.4425916373729706,0.8625231981277466,0.011346817016601562,0.8665879964828491,0.8518518805503845,0.8659204244613647,0.9629629850387572,0.8557125926017761,0.8575644493103027,0.6114034652709961,0.7666666507720947,0.7101449370384216,0.7666667699813843,0.33,0.8625231981277466,0.8518518805503845,9,0.8645508289337158,0.45614033937454224,0.9606481790542604,0.012826837599277496,0.429824560880661,0.8133918046951294,0.8566375374794006,0.8133918046951294,0.8518518805503845,0.9607843160629272,0.5632184147834778,0.011346817016601562,0.45614033937454224,0.7666667699813843,0.9583333134651184,0.8645508289337158
no_init_kenn_top_down_adapter_bert_ms,2,bzajbghc,0.8659204244613647,0.8388345837593079,0.012445841915905476,0.9583333134651184,0.7666666507720947,0.01208682730793953,0.8575644493103027,0.7472319602966309,0.8665879964828491,0.6190475821495056,0.99,0.7666666507720947,0.9583333134651184,0.7666667103767395,0.8557125926017761,0.011346817016601562,0.8388345837593079,0.8566375374794006,0.4425916373729706,0.8625231981277466,0.011346817016601562,0.8665879964828491,0.8518518805503845,0.8659204244613647,0.9629629850387572,0.8557125926017761,0.8575644493103027,0.6114034652709961,0.7666666507720947,0.7101449370384216,0.7666667699813843,0.33,0.8625231981277466,0.8518518805503845,8,0.8645508289337158,0.45614033937454224,0.9606481790542604,0.012826837599277496,0.429824560880661,0.8133918046951294,0.8566375374794006,0.8133918046951294,0.8518518805503845,0.9607843160629272,0.5632184147834778,0.011346817016601562,0.45614033937454224,0.7666667699813843,0.9583333134651184,0.8645508289337158
no_init_kenn_bottom_up_adapter_bert_ms,2,8ef8kin1,0.8658826351165771,0.8384474515914917,0.012313763611018658,0.95652174949646,0.7333333492279053,0.011840157210826874,0.8575363755226135,0.7343863248825073,0.8665879964828491,0.6190475821495056,0.99,0.7333333492279053,0.95652174949646,0.7333333492279053,0.8555163145065308,0.010853477753698826,0.8384474515914917,0.8565251231193542,0.437894731760025,0.8623587489128113,0.010853477753698826,0.8665879964828491,0.8301886916160583,0.8658826351165771,0.9629629850387572,0.8555163145065308,0.8575363755226135,0.5947368144989014,0.7333333492279053,0.7007299065589905,0.7333333492279053,0.33,0.8623587489128113,0.8301886916160583,9,0.8644682168960571,0.45614033937454224,0.9597423672676086,0.012826837599277496,0.42105263471603394,0.8126974105834961,0.8565251231193542,0.8126974105834961,0.8301886916160583,0.959999978542328,0.5517241358757019,0.010853477753698826,0.45614033937454224,0.7333333492279053,0.95652174949646,0.8644682168960571
no_init_kenn_hybrid_adapter_bert_ms,1,tmuf6xnd,0.864633321762085,0.8393351435661316,0.012826837599277496,0.8965517282485962,0.8666666746139526,0.012826837599277496,0.8573113083839417,0.7729511260986328,0.8662590980529785,0.6190475821495056,0.99,0.8666666746139526,0.8965517282485962,0.8666667342185974,0.8563015460968018,0.012826837599277496,0.8393351435661316,0.8568060994148254,0.45614033937454224,0.8630164861679077,0.012826837599277496,0.8662590980529785,0.8813559412956238,0.864633321762085,0.9629629850387572,0.8563015460968018,0.8573113083839417,0.6614035367965698,0.8666666746139526,0.7272726893424988,0.8666667342185974,0.33,0.8630164861679077,0.8813559412956238,51,0.8646347522735596,0.45614033937454224,0.9297573566436768,0.012826837599277496,0.45614033937454224,0.8154752254486084,0.8568060994148254,0.8154752254486084,0.8813559412956238,0.9285714030265808,0.5977011322975159,0.012826837599277496,0.45614033937454224,0.8666667342185974,0.8965517282485962,0.8646347522735596
no_init_kenn_top_down_adapter_bert_ms,1,4i3dh43m,0.8653002977371216,0.8396492600440979,0.012826837599277496,0.9285714030265808,0.8666666746139526,0.012826837599277496,0.8574798703193665,0.7784285545349121,0.8664235472679138,0.6190475821495056,0.99,0.8666666746139526,0.9285714030265808,0.8666667342185974,0.8563015460968018,0.012826837599277496,0.8396492600440979,0.8568903207778931,0.45614033937454224,0.8630164861679077,0.012826837599277496,0.8664235472679138,0.8965517282485962,0.8653002977371216,0.9629629850387572,0.8563015460968018,0.8574798703193665,0.6614035367965698,0.8666666746139526,0.7323943376541138,0.8666667342185974,0.33,0.8630164861679077,0.8965517282485962,14,0.8647167086601257,0.45614033937454224,0.9457671642303468,0.012826837599277496,0.45614033937454224,0.8154752254486084,0.8568903207778931,0.8154752254486084,0.8965517282485962,0.9454545378684998,0.5977011322975159,0.012826837599277496,0.45614033937454224,0.8666667342185974,0.9285714030265808,0.8647167086601257
no_init_kenn_bottom_up_adapter_bert_ms,1,xunp1ty4,0.8645563125610352,0.8389307856559753,0.012702305801212788,0.8928571343421936,0.8333333134651184,0.01258016750216484,0.8572832942008972,0.7608291506767273,0.8662590980529785,0.6190475821495056,0.98,0.8333333134651184,0.8928571343421936,0.833333432674408,0.8561052083969116,0.012333497405052183,0.8389307856559753,0.8566938638687134,0.4517118036746979,0.8628520965576172,0.012333497405052183,0.8662590980529785,0.8620689511299133,0.8645563125610352,0.9629629850387572,0.8561052083969116,0.8572832942008972,0.6447368264198303,0.8333333134651184,0.7183098196983337,0.8333333730697632,0.33,0.8628520965576172,0.8620689511299133,50,0.8645521998405457,0.45614033937454224,0.927910089492798,0.012826837599277496,0.4473684430122375,0.8147807121276855,0.8566938638687134,0.8147807121276855,0.8620689511299133,0.9272727370262146,0.5862069129943848,0.012333497405052183,0.45614033937454224,0.8333333730697632,0.8928571343421936,0.8645521998405457
no_init_kenn_hybrid_adapter_bert_ms,0,yd5qoxj5,0.8511157035827637,0.8332763910293579,0.013195689767599106,0.24770642817020416,0.8999999761581421,0.013073507696390152,0.8442337512969971,0.6396413445472717,0.8538268804550171,0.6190475821495056,0.01,0.8999999761581421,0.24770642817020416,0.9000000357627869,0.8564978241920471,0.013320177793502808,0.8332763910293579,0.8503216505050659,0.4692572355270386,0.8631809949874878,0.013320177793502808,0.8538268804550171,0.3884892165660858,0.8511157035827637,0.9629629850387572,0.8564978241920471,0.8442337512969971,0.6780701875686646,0.8999999761581421,0.47533634305000305,0.9000000357627869,0.33,0.8631809949874878,0.3884892165660858,24,0.8584784865379333,0.4736841917037964,0.6053346991539001,0.013320177793502808,0.4649122655391693,0.8161696195602417,0.8503216505050659,0.8161696195602417,0.3884892165660858,0.3897058963775635,0.6091954112052917,0.013320177793502808,0.45614033937454224,0.9000000357627869,0.24770642817020416,0.8584784865379333
no_init_kenn_top_down_adapter_bert_ms,0,1ov3gchh,0.8520034551620483,0.8337016701698303,0.013195689767599106,0.29032257199287415,0.8999999761581421,0.013073507696390152,0.8468555808067322,0.6513428688049316,0.8561456203460693,0.6190475821495056,0.1,0.8999999761581421,0.29032257199287415,0.9000000357627869,0.8564978241920471,0.013320177793502808,0.8337016701698303,0.8516494035720825,0.4692572355270386,0.8631809949874878,0.013320177793502808,0.8561456203460693,0.4390243887901306,0.8520034551620483,0.9629629850387572,0.8564978241920471,0.8468555808067322,0.6780701875686646,0.8999999761581421,0.512077271938324,0.9000000357627869,0.33,0.8631809949874878,0.4390243887901306,19,0.8596488833427429,0.4736841917037964,0.6266427636146545,0.013320177793502808,0.4649122655391693,0.8161696195602417,0.8516494035720825,0.8161696195602417,0.4390243887901306,0.4416666626930237,0.6091954112052917,0.013320177793502808,0.45614033937454224,0.9000000357627869,0.29032257199287415,0.8596488833427429
