name,instance,run_id,test_pretraining/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test/macro_types/recall,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_SUBSTANCE-FOOD/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision,test/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental_SUBSTANCE-FOOD/macro_types/recall,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_SUBSTANCE-DRUG/macro_types/recall,test/micro/f1,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_SUBSTANCE-FOOD/macro_types/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1,test/micro/recall,test_incremental/micro/recall,test_incremental_SUBSTANCE/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_SUBSTANCE-DRUG/macro_types/precision,test_incremental_SUBSTANCE-DRUG/macro_types/f1,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/macro_example/recall,test_incremental_SUBSTANCE/macro_types/recall,threshold_pretraining,threshold_incremental,test_incremental/macro_example/recall,epoch,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_SUBSTANCE/macro_types/precision,test/macro_example/recall,test_pretraining/macro_types/f1,test_incremental/macro_example/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,n04o9dwn,0.806390643119812,0.6046341061592102,0.8490461111068726,0.806390643119812,0.06717938184738159,0.8267357349395752,0.791970431804657,0.8490461111068726,0.8317307829856873,0.5960264205932617,1.0,0.529411792755127,0.800000011920929,0.8019867539405823,0.5142858028411865,0.9055556058883668,0.04241281747817993,0.7257142663002014,0.6333333253860474,0.5263158082962036,0.8393025398254395,0.1818181872367859,0.8165879845619202,0.5631446242332458,0.8880733847618103,0.7755101919174194,0.6349206566810608,0.8317307829856873,0.6649214625358582,0.8241206407546997,0.8329717516899109,0.8165879845619202,0.6892330646514893,0.9333333969116212,0.8271688222885132,0.703703761100769,1.0,0.307692289352417,0.8267357349395752,0.7987421154975891,0.04005654901266098,0.9111111164093018,0.175,0.11,0.05969211459159851,16,0.4455445408821106,0.041201021522283554,0.44715577363967896,0.752293586730957,0.8393025398254395,0.8271688222885132,0.07681432366371155,0.8019867539405823,0.8329717516899109,0.8999999761581421,0.5000000596046448
no_init_box_kenn_bottom_up_adapter_bert_ms,0,0gmtk5jy,0.8034107089042664,0.5865906476974487,0.8486075401306152,0.8034107089042664,0.06657835096120834,0.826578676700592,0.7848848104476929,0.8486075401306152,0.8303571343421936,0.5771812200546265,1.0,0.5058823823928833,0.7916666865348816,0.8017241358757019,0.4907362461090088,0.9055556058883668,0.04052780568599701,0.7183908224105835,0.6333333253860474,0.5,0.838360071182251,0.1515151560306549,0.8157894611358643,0.5489898920059204,0.8859900832176208,0.7755101919174194,0.6129031777381897,0.8303571343421936,0.6544502377510071,0.8241206407546997,0.8324277400970459,0.8157894611358643,0.6779183149337769,0.9305555820465088,0.8253908753395081,0.6925926208496094,1.0,0.2631579041481018,0.826578676700592,0.7961783409118652,0.03817153349518776,0.9111111164093018,0.175,0.02,0.05874960497021675,16,0.4257425665855408,0.039314400404691696,0.4282828271389008,0.752293586730957,0.838360071182251,0.8253908753395081,0.07681432366371155,0.8017241358757019,0.8324277400970459,0.8958333134651184,0.4764706492424011
no_init_kenn_hybrid_adapter_bert_ms,2,k81t4kio,0.8749252557754517,0.6937389373779297,0.7780071496963501,0.8749252557754517,0.07728525996208191,0.7993245720863342,0.9111074209213256,0.7780071496963501,0.8667582273483276,0.6746987700462341,0.4590163826942444,0.8705883026123047,0.5849056839942932,0.7685748934745789,0.8705883622169495,0.90925931930542,0.0697455182671547,0.7644444704055786,0.9333333373069764,0.8157894611358643,0.8557178974151611,0.7575757503509521,0.8147192001342773,0.8711190819740295,0.6430022120475769,0.6153846383094788,0.6813187003135681,0.8667582273483276,0.9005235433578491,0.8756219148635864,0.8265604972839355,0.8147192001342773,0.7398766279220581,0.5930720567703247,0.823624849319458,0.9129630327224731,0.7352941036224365,0.746268630027771,0.7993245720863342,0.6640926599502563,0.06974552571773529,0.9777777791023254,0.25,0.22,0.07744266092777252,17,0.8316831588745117,0.0697455182671547,0.8355662226676941,0.792792797088623,0.8557178974151611,0.823624849319458,0.07712849229574203,0.7685748934745789,0.8265604972839355,0.5675675868988037,0.8705883026123047
no_init_kenn_top_down_adapter_bert_ms,2,l88md625,0.8824800252914429,0.622031033039093,0.7601548433303833,0.8824800252914429,0.0785394236445427,0.781574010848999,0.9258926510810852,0.7601548433303833,0.870192289352417,0.5913621187210083,0.301075279712677,0.8941177129745483,0.5789473652839661,0.7479338645935059,0.8970492482185364,0.9203703999519348,0.07163053750991821,0.7051793336868286,0.9333333373069764,0.8684210777282715,0.8572887182235718,0.8484848737716675,0.804444432258606,0.9070042967796326,0.5582038164138794,0.4552845656871796,0.6947368383407593,0.870192289352417,0.926701545715332,0.8756219148635864,0.8176823854446411,0.804444432258606,0.6910871863365173,0.4800075590610504,0.8167627453804016,0.9314815402030944,0.5600000023841858,0.6746987700462341,0.781574010848999,0.5691318511962891,0.07210178673267365,0.9777777791023254,0.25,0.23,0.07901350408792496,17,0.8811880946159363,0.07186539471149445,0.8834131360054016,0.792792797088623,0.8572887182235718,0.8167627453804016,0.0780709981918335,0.7479338645935059,0.8176823854446411,0.4449999928474426,0.9000000953674316
no_init_kenn_bottom_up_adapter_bert_ms,2,x9k0p2j9,0.8721551895141602,0.6961240768432617,0.7800237536430359,0.8721551895141602,0.07727760076522827,0.7990103960037231,0.9110170602798462,0.7800237536430359,0.8653846383094788,0.6693877577781677,0.4444444477558136,0.8647059202194214,0.5918367505073547,0.7692307829856873,0.8557913899421692,0.9203703999519348,0.06927426904439926,0.7623319029808044,0.9333333373069764,0.7631579041481018,0.8547753691673279,0.7575757503509521,0.8144797086715698,0.8579611778259277,0.652580976486206,0.602150559425354,0.6666666865348816,0.8653846383094788,0.8900523781776428,0.8756219148635864,0.8259527087211609,0.8144797086715698,0.741308867931366,0.6058437824249268,0.8235206604003906,0.9018518924713136,0.78125,0.7692307829856873,0.7990103960037231,0.6666666865348816,0.06786050647497177,0.9777777791023254,0.25,0.22,0.07650015503168106,17,0.8118811845779419,0.06856010109186172,0.8180223703384399,0.792792797088623,0.8547753691673279,0.8235206604003906,0.0780709981918335,0.7692307829856873,0.8259527087211609,0.5694444179534912,0.8470588326454163
no_init_kenn_hybrid_adapter_bert_ms,1,pjxklxja,0.8543258905410767,0.7072376608848572,0.7963722944259644,0.8543258905410767,0.07546326518058777,0.8090637922286987,0.8896281719207764,0.7963722944259644,0.8571428656578064,0.6965174078941345,0.7714285850524902,0.8235294818878174,0.5789473652839661,0.7829360365867615,0.8024133443832397,0.9222222566604614,0.06597549468278885,0.7860697507858276,0.8999999761581421,0.5789473652839661,0.8511624336242676,0.6363636255264282,0.8183606863021851,0.7732722163200378,0.7302366495132446,0.8307691812515259,0.5789473652839661,0.8571428656578064,0.8272251486778259,0.8756219148635864,0.8295793533325195,0.8183606863021851,0.7511385083198547,0.709384560585022,0.8243317604064941,0.859259307384491,0.7777777910232544,0.699999988079071,0.8090637922286987,0.7488151788711548,0.06267671287059784,0.9777777791023254,0.25,0.56,0.07288721203804016,12,0.6930692791938782,0.0642838105559349,0.7051036357879639,0.792792797088623,0.8511624336242676,0.8243317604064941,0.07822808623313904,0.7829360365867615,0.8295793533325195,0.699999988079071,0.7823530435562134
no_init_kenn_top_down_adapter_bert_ms,1,ndigu7wh,0.8557109832763672,0.6625099182128906,0.7819494009017944,0.8557109832763672,0.07585086673498154,0.8043512105941772,0.8941974639892578,0.7819494009017944,0.8578296899795532,0.6543778777122498,0.5869565010070801,0.8352941870689392,0.5897436141967773,0.7757763862609863,0.8110827207565308,0.9277778267860411,0.06691800057888031,0.760765552520752,0.8999999761581421,0.6052631735801697,0.8514765501022339,0.6363636255264282,0.8147423267364502,0.7798511385917664,0.6617280840873718,0.7105262875556946,0.5974026322364807,0.8578296899795532,0.8324607610702515,0.8756219148635864,0.8272433280944824,0.8147423267364502,0.715950071811676,0.6180398464202881,0.8171690702438354,0.8629629611968994,0.6774193644523621,0.6562500596046448,0.8043512105941772,0.700440526008606,0.06314797699451447,0.9777777791023254,0.25,0.5800000000000001,0.07320138812065125,12,0.7029703259468079,0.06497835367918015,0.7138755917549133,0.792792797088623,0.8514765501022339,0.8171690702438354,0.07869933545589447,0.7757763862609863,0.8272433280944824,0.6120689511299133,0.7882353067398071
no_init_kenn_bottom_up_adapter_bert_ms,1,0boq4flq,0.8511865139007568,0.7015025615692139,0.7978237271308899,0.8511865139007568,0.07551105320453644,0.8096921443939209,0.8901913166046143,0.7978237271308899,0.8557692170143127,0.6903553009033203,0.7647058963775635,0.8000000715255737,0.5833333134651184,0.7836477756500244,0.7757576107978821,0.9388889670372008,0.06409047544002533,0.783919632434845,0.8666666746139526,0.5526315569877625,0.8502984642982483,0.6363636255264282,0.818122148513794,0.7583599090576172,0.7371310591697693,0.8125,0.5675675272941589,0.8557692170143127,0.8167539238929749,0.8756219148635864,0.8294986486434937,0.818122148513794,0.7475947737693787,0.7185772061347961,0.8236417770385742,0.8462963104248047,0.807692289352417,0.7118644118309021,0.8096921443939209,0.7536231875419617,0.060320451855659485,0.9777777791023254,0.25,0.47,0.07178762555122375,12,0.6732673048973083,0.06214834004640579,0.6852205991744995,0.792792797088623,0.8502984642982483,0.8236417770385742,0.07964184880256653,0.7836477756500244,0.8294986486434937,0.7083333134651184,0.7529412508010864
no_init_kenn_hybrid_adapter_bert_ms,0,lesmqb0z,0.8571463823318481,0.7249119877815247,0.7991328239440918,0.8571463823318481,0.07632272690534592,0.8111058473587036,0.8997602462768555,0.7991328239440918,0.8585164546966553,0.7128713130950928,0.8125,0.8411765098571777,0.574999988079071,0.7836990356445312,0.8200717568397522,0.9333333969116212,0.06738925725221634,0.7940446734428406,0.8666666746139526,0.6052631735801697,0.8519478440284729,0.6969696879386902,0.8194034695625305,0.7866693735122681,0.7433490753173828,0.8387096524238586,0.5897435545921326,0.8585164546966553,0.8376963138580322,0.8756219148635864,0.8310253024101257,0.8194034695625305,0.7643959522247314,0.7268678545951843,0.8271236419677734,0.868518590927124,0.7931034564971924,0.7419354319572449,0.8111058473587036,0.7547169923782349,0.06409047544002533,0.9777777791023254,0.25,0.44,0.07367263734340668,7,0.7128713130950928,0.06569847464561462,0.7229664921760559,0.792792797088623,0.8519478440284729,0.8271236419677734,0.0791705921292305,0.7836990356445312,0.8310253024101257,0.7128713130950928,0.8000000715255737
no_init_kenn_top_down_adapter_bert_ms,0,981mnpea,0.8662960529327393,0.5460479259490967,0.7506471276283264,0.8662960529327393,0.07694544643163681,0.7810870409011841,0.9071013331413268,0.7506471276283264,0.8626373410224915,0.5306122899055481,0.3768115937709808,0.8705882430076599,0.5319148898124695,0.744516909122467,0.8525760769844055,0.9240741729736328,0.0697455182671547,0.6707070469856262,0.8666666746139526,0.6578947305679321,0.8538328409194946,0.8181818127632141,0.7992364168167114,0.8301302790641785,0.5130422115325928,0.5252525210380554,0.5882353186607361,0.8626373410224915,0.8691099286079407,0.8756219148635864,0.8158414959907532,0.7992364168167114,0.6341580748558044,0.419791966676712,0.8043357729911804,0.8907407522201538,0.350649356842041,0.4909090995788574,0.7810870409011841,0.5460526347160339,0.06691800057888031,0.9777777791023254,0.25,0.37,0.0755576491355896,8,0.7722772359848022,0.06830250471830368,0.7809144258499146,0.792792797088623,0.8538328409194946,0.8043357729911804,0.07838517427444458,0.744516909122467,0.8158414959907532,0.4041450917720794,0.8352941870689392
no_init_kenn_bottom_up_adapter_bert_ms,0,9feg2frz,0.8439590930938721,0.6689784526824951,0.7951067686080933,0.8439590930938721,0.07565151154994965,0.809377908706665,0.8918473720550537,0.7951067686080933,0.8530219793319702,0.656410276889801,0.8799999952316284,0.7529412508010864,0.5789473652839661,0.7821158766746521,0.7348706126213074,0.9666668176651,0.060320451855659485,0.7676767706871033,0.7333333492279053,0.5789473652839661,0.8488847017288208,0.6060606241226196,0.8160316348075867,0.7240297794342041,0.7242253422737122,0.800000011920929,0.5789473652839661,0.8530219793319702,0.7958115339279175,0.8756219148635864,0.8286606669425964,0.8160316348075867,0.7241275906562805,0.70136958360672,0.818804919719696,0.8277778029441833,0.6451612710952759,0.625,0.809377908706665,0.7414634227752686,0.0574929304420948,0.9777777791023254,0.25,0.53,0.07021677494049072,8,0.6336633563041687,0.0588727630674839,0.6394471526145935,0.792792797088623,0.8488847017288208,0.818804919719696,0.08199810981750488,0.7821158766746521,0.8286606669425964,0.6808510422706604,0.7176470756530762
no_init_kenn_horizontal_adapter_bert_ms,2,171xdson,0.87534499168396,0.648443877696991,0.767848551273346,0.87534499168396,0.07828889787197113,0.7919415235519409,0.9229392409324646,0.767848551273346,0.8667582273483276,0.6315789818763733,0.39436620473861694,0.8764706254005432,0.5918367505073547,0.7606992125511169,0.8675573468208313,0.9370371103286744,0.07021677494049072,0.7366166710853577,0.9333333373069764,0.7631579041481018,0.85540372133255,0.8181818127632141,0.8102728724479675,0.873112678527832,0.5947489738464355,0.5544554591178894,0.6666666865348816,0.8667582273483276,0.9005235433578491,0.8756219148635864,0.8224502205848694,0.8102728724479675,0.707536518573761,0.5287343263626099,0.8180806040763855,0.90925931930542,0.6000000238418579,0.6923076510429382,0.7919415235519409,0.6231883764266968,0.06880301237106323,0.9777777791023254,0.25,0.18000000000000002,0.07712849229574203,17,0.8316831588745117,0.06950270384550095,0.8382244110107422,0.792792797088623,0.85540372133255,0.8180806040763855,0.07948476076126099,0.7606992125511169,0.8224502205848694,0.5090909004211426,0.8588235378265381
