name,instance,run_id,test_pretraining/macro_types/f1,test_incremental/macro_example/recall,test/macro_example/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental/micro/f1,test_incremental_SUBSTANCE-DRUG/macro_types/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/f1,test_incremental_SUBSTANCE-FOOD/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental_SUBSTANCE-FOOD/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_SUBSTANCE-DRUG/macro_types/recall,threshold_pretraining,test_pretraining/micro/f1,test/macro_example/precision,test_incremental_SUBSTANCE/macro_types/precision,test/micro/recall,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_SUBSTANCE/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,threshold_incremental,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test/micro/precision,test/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_SUBSTANCE-CHEMICAL/macro_types/recall,test/micro/f1,test_incremental/micro/recall,test_incremental/macro_example/precision,test_incremental_SUBSTANCE/macro_types/recall,test_pretraining/macro_example/precision,epoch,test_incremental_SUBSTANCE-FOOD/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental_SUBSTANCE-DRUG/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,iep7yye7,0.8130130767822266,0.050738297402858734,0.8312912583351135,0.39370080828666687,0.7755252122879028,0.6564417481422424,0.2631579041481018,0.375,1.0,0.2823529541492462,0.5720875859260559,0.9130734205245972,0.5365853905677795,0.2881152629852295,0.8999999761581421,0.41653376817703247,0.023562677204608917,0.1515151560306549,0.175,0.8096532821655273,0.8272070288658142,0.752293586730957,0.8179945349693298,0.7755252122879028,0.061259493231773376,0.3993716537952423,0.9666666984558104,0.8014804720878601,0.829244077205658,0.8543093204498291,0.9111111760139464,0.8543093204498291,0.8312912583351135,0.8241206407546997,0.7221813201904297,0.5981481671333313,0.05,0.7925925850868225,0.24752475321292877,0.9615384340286256,0.8014804720878601,0.829244077205658,0.02308180555701256,0.2368421107530594,0.8096532821655273,0.5602094531059265,0.07728558033704758,0.9111111164093018,0.8272070288658142,43,0.36666667461395264,0.8179945349693298,0.2516746520996094,0.8130130767822266,1.0,0.29411765933036804,0.022620171308517456
no_init_box_kenn_bottom_up_adapter_bert_ms,0,z8ck27ri,0.8119869828224182,0.050267040729522705,0.8308199644088745,0.380952388048172,0.7741401791572571,0.6523077487945557,0.2631579041481018,0.3404255509376526,1.0,0.2705882489681244,0.5653170943260193,0.9102956056594848,0.5365853905677795,0.276345431804657,0.8888888955116272,0.4099548161029816,0.02262016758322716,0.1515151560306549,0.175,0.8092485666275024,0.8272070288658142,0.752293586730957,0.817307710647583,0.7741401791572571,0.06091473624110222,0.38794755935668945,0.9629629850387572,0.8013467788696289,0.8290095329284668,0.853724479675293,0.9111111760139464,0.853724479675293,0.8308199644088745,0.8241206407546997,0.7181171774864197,0.5925925970077515,0.01,0.7910447716712952,0.23762376606464383,0.959999978542328,0.8013467788696289,0.8290095329284668,0.022138888016343117,0.21052631735801697,0.8092485666275024,0.554973840713501,0.07728558033704758,0.9111111164093018,0.8272070288658142,44,0.36666667461395264,0.817307710647583,0.2429027259349823,0.8119869828224182,1.0,0.2823529541492462,0.021677661687135696
no_init_kenn_hybrid_adapter_bert_ms,2,0rabtnea,0.8020557165145874,0.07885642349720001,0.8569745421409607,0.4631579220294952,0.8814643621444702,0.6058520078659058,0.5137614607810974,0.5,0.24786324799060824,0.9000000357627869,0.5936658978462219,0.44238555431365967,0.3945578336715698,0.8222485184669495,0.3604651093482971,0.9021796584129332,0.06063462048768997,0.8484848737716675,0.25,0.7841436862945557,0.7632265090942383,0.792792797088623,0.8695054650306702,0.8814643621444702,0.07362166792154312,0.4748689234256744,0.32558315992355347,0.7140439748764038,0.8073882460594177,0.7357720136642456,0.8138889074325562,0.7357720136642456,0.8569745421409607,0.8756219148635864,0.8679176568984985,0.929629683494568,0.02,0.4512820541858673,0.8712871074676514,0.3154121935367584,0.7140439748764038,0.8073882460594177,0.06587287038564682,0.8157894611358643,0.7841436862945557,0.9214659929275512,0.06903864443302155,0.9777777791023254,0.7632265090942383,54,0.9666666388511658,0.8695054650306702,0.8769803643226624,0.8020557165145874,0.3684210479259491,0.7568627595901489,0.07210178673267365
no_init_kenn_top_down_adapter_bert_ms,2,txppqzg7,0.8090614080429077,0.07178762555122375,0.8499057292938232,0.5725806355476379,0.8551821708679199,0.7082405686378479,0.6875,0.5647059082984924,0.36231884360313416,0.7352942228317261,0.6733219027519226,0.5938568115234375,0.505050539970398,0.7742870450019836,0.5106382966041565,0.7773391604423523,0.06550423800945282,0.6666666865348816,0.25,0.8065870404243469,0.7930411696434021,0.792792797088623,0.8578296899795532,0.8551821708679199,0.0749414712190628,0.6055136322975159,0.5275448560714722,0.7611212730407715,0.8204893469810486,0.7676607370376587,0.924074113368988,0.7676607370376587,0.8499057292938232,0.8756219148635864,0.8834766745567322,0.8462963104248047,0.22,0.6162790656089783,0.7029703259468079,0.4829931855201721,0.7611212730407715,0.8204893469810486,0.062030527740716934,0.6315789222717285,0.8065870404243469,0.8324607610702515,0.07838517427444458,0.9777777791023254,0.7930411696434021,54,0.8333333134651184,0.8578296899795532,0.7105263471603394,0.8090614080429077,0.7096773982048035,0.8176470994949341,0.058906689286231995
no_init_kenn_bottom_up_adapter_bert_ms,2,p322pz2z,0.8154906630516052,0.07540056109428406,0.8535187244415283,0.626984179019928,0.8676307201385498,0.7373068332672119,0.694444477558136,0.6067416071891785,0.4426229596138001,0.8235294818878174,0.6997627019882202,0.6014633178710938,0.5934065580368042,0.8379773497581482,0.529411792755127,0.8364699482917786,0.0683317631483078,0.7575757503509521,0.25,0.8107062578201294,0.7957115769386292,0.792792797088623,0.8633241653442383,0.8676307201385498,0.07617788761854172,0.6396610140800476,0.537686824798584,0.7641337513923645,0.8236021399497986,0.7692620754241943,0.9074074029922484,0.7692620754241943,0.8535187244415283,0.8756219148635864,0.8980527520179749,0.888888955116272,0.06999999999999999,0.6374045610427856,0.7821782231330872,0.5231788158416748,0.7641337513923645,0.8236021399497986,0.06713295727968216,0.7105262875556946,0.8107062578201294,0.8743455410003662,0.07697141170501709,0.9777777791023254,0.7957115769386292,54,0.8999999761581421,0.8633241653442383,0.7893673777580261,0.8154906630516052,0.6410256624221802,0.8529412150382996,0.06597548723220825
no_init_kenn_hybrid_adapter_bert_ms,1,dotawf98,0.8123295903205872,0.07540056109428406,0.8535187244415283,0.6070038676261902,0.8666150569915771,0.7248907685279846,0.6578946709632874,0.5208333134651184,0.5090909004211426,0.8294118046760559,0.6824051737785339,0.5785783529281616,0.6588234901428223,0.8124033212661743,0.43103447556495667,0.8316453695297241,0.06377630680799484,0.7575757503509521,0.25,0.8087573051452637,0.7984448671340942,0.792792797088623,0.8626373410224915,0.8666150569915771,0.07379629462957382,0.6155821084976196,0.5071735382080078,0.7612121105194092,0.8250637054443359,0.7644442319869995,0.8518519401550293,0.7644442319869995,0.8535187244415283,0.8756219148635864,0.8699764609336853,0.888888955116272,0.06999999999999999,0.6217228174209595,0.7722772359848022,0.5,0.7612121105194092,0.8250637054443359,0.06508414447307587,0.6578947305679321,0.8087573051452637,0.8691099286079407,0.07225887477397919,0.9777777791023254,0.7984448671340942,35,0.9333333373069764,0.8626373410224915,0.7829346656799316,0.8123295903205872,0.5813953280448914,0.7960784435272217,0.06644675135612488
no_init_kenn_top_down_adapter_bert_ms,1,v9er0u26,0.7930785417556763,0.07430097460746765,0.8524191379547119,0.4245809912681579,0.8636350631713867,0.5867620706558228,0.4848484992980957,0.3243243098258972,0.34567901492118835,0.8000000715255737,0.5636271834373474,0.43007251620292664,0.5045045018196106,0.8256228566169739,0.2181818187236786,0.8174906969070435,0.0683317631483078,0.7272727489471436,0.25,0.7820392847061157,0.7720074653625488,0.792792797088623,0.8612637519836426,0.8636350631713867,0.07515500485897064,0.4402081072330475,0.30916574597358704,0.7161622047424316,0.8102231025695801,0.7331798076629639,0.8962963819503784,0.7331798076629639,0.8524191379547119,0.8756219148635864,0.8859941363334656,0.8759260177612305,0.14,0.44565218687057495,0.7524752616882324,0.29571983218193054,0.7161622047424316,0.8102231025695801,0.06614319980144501,0.6315789222717285,0.7820392847061157,0.8586387634277344,0.07602889835834503,0.9777777791023254,0.7720074653625488,36,0.9333333373069764,0.8612637519836426,0.764061689376831,0.7930785417556763,0.3636363744735718,0.8529412150382996,0.06409047544002533
no_init_kenn_bottom_up_adapter_bert_ms,1,ck0lrij8,0.8122615814208984,0.07618598639965057,0.8543041348457336,0.6060606241226196,0.869594931602478,0.72258061170578,0.5909091234207153,0.5531914830207825,0.5384615659713745,0.8470588326454163,0.6789389252662659,0.5670668482780457,0.6829268932342529,0.814479649066925,0.4642857015132904,0.8458001613616943,0.06283380091190338,0.7878788113594055,0.25,0.8082236051559448,0.7956173419952393,0.792792797088623,0.8640109896659851,0.869594931602478,0.07371267676353455,0.6096768975257874,0.4918248653411865,0.7592033743858337,0.823917031288147,0.7620207071304321,0.8416666984558105,0.7620207071304321,0.8543041348457336,0.8756219148635864,0.8689906001091003,0.8981481790542603,0.13,0.6131386756896973,0.7920792102813721,0.4907975494861603,0.7592033743858337,0.823917031288147,0.06525049358606339,0.6842105388641357,0.8082236051559448,0.8795811533927917,0.0713949054479599,0.9777777791023254,0.7956173419952393,24,0.9333333373069764,0.8640109896659851,0.8018075823783875,0.8122615814208984,0.4727272689342499,0.7843137979507446,0.06786050647497177
no_init_kenn_hybrid_adapter_bert_ms,0,89osa1dp,0.7909839749336243,0.07932767271995544,0.8574458360671997,0.33652007579803467,0.8809943199157715,0.48618781566619873,0.3199999928474426,0.39080461859703064,0.17751479148864746,0.917647123336792,0.5105510354042053,0.35635894536972046,0.30150753259658813,0.8480324745178223,0.25,0.8999468088150024,0.06314797699451447,0.7272727489471436,0.25,0.7508896589279175,0.7295790314674377,0.792792797088623,0.8695054650306702,0.8809943199157715,0.0741841271519661,0.33977946639060974,0.21088100969791412,0.6607515811920166,0.7883613109588623,0.7176612019538879,0.8212963342666626,0.7176612019538879,0.8574458360671997,0.8756219148635864,0.8745485544204712,0.9351851940155028,0.02,0.33020636439323425,0.8712871074676514,0.20853079855442047,0.6607515811920166,0.7883613109588623,0.06793850660324097,0.8947368264198303,0.7508896589279175,0.9214659929275512,0.06966698169708252,0.9777777791023254,0.7295790314674377,35,1.0,0.8695054650306702,0.8740031719207764,0.7909839749336243,0.20512820780277252,0.7882353663444519,0.07351554930210114
no_init_kenn_top_down_adapter_bert_ms,0,vpdtfpwn,0.7785784602165222,0.08089852333068848,0.8590166568756104,0.09851694852113724,0.888968825340271,0.17328865826129913,0.0981387495994568,0.10149253904819489,0.05025125667452812,0.9470588564872742,0.3786379396915436,0.2372032105922699,0.09569378197193146,0.7838521003723145,0.05379746854305267,0.937825620174408,0.053565818816423416,0.8787878751754761,0.25,0.5366265773773193,0.5022619962692261,0.792792797088623,0.8729395866394043,0.888968825340271,0.0703812688589096,0.0984738916158676,0.05200668424367905,0.3873818814754486,0.6338914036750793,0.6925758123397827,0.7342592477798462,0.6925758123397827,0.8590166568756104,0.8756219148635864,0.8297170400619507,0.953703761100769,0.02,0.0953635424375534,0.9207921028137208,0.05204252898693085,0.3873818814754486,0.6338914036750793,0.06279682368040085,0.8947368264198303,0.5366265773773193,0.9476439952850342,0.06228400766849518,0.9777777791023254,0.5022619962692261,35,1.0,0.8729395866394043,0.9245082139968872,0.7785784602165222,0.051971327513456345,0.6686275005340576,0.07587181776762009
no_init_kenn_bottom_up_adapter_bert_ms,0,q6b5brxd,0.7918771505355835,0.07932767271995544,0.8574458360671997,0.3492063283920288,0.8809943199157715,0.4992907643318176,0.3287671208381653,0.4023669064044952,0.18867924809455872,0.917647123336792,0.5176870226860046,0.36335083842277527,0.3174603283405304,0.8592514395713806,0.25954198837280273,0.8999468088150024,0.0647188201546669,0.7272727489471436,0.25,0.7551445960998535,0.7334119081497192,0.792792797088623,0.8695054650306702,0.8809943199157715,0.07480296492576599,0.35177740454673767,0.22020354866981504,0.667369544506073,0.7905936241149902,0.7191331386566162,0.8342592716217041,0.7191331386566162,0.8574458360671997,0.8756219148635864,0.8818438649177551,0.9351851940155028,0.02,0.34241244196891785,0.8712871074676514,0.21836228668689728,0.667369544506073,0.7905936241149902,0.06883728504180908,0.8947368264198303,0.7551445960998535,0.9214659929275512,0.07076656818389893,0.9777777791023254,0.7334119081497192,35,1.0,0.8695054650306702,0.8740031719207764,0.7918771505355835,0.21238937973976135,0.8078432083129883,0.07351554930210114
no_init_kenn_horizontal_adapter_bert_ms,2,n59ukvrr,0.8149919509887695,0.06566132605075836,0.8446434140205383,0.6129032373428345,0.833264946937561,0.7493540048599243,0.6666666865348816,0.5135135054588318,0.6774193644523621,0.5882353782653809,0.7030395865440369,0.7356085777282715,0.688524603843689,0.6267180442810059,0.5277777910232544,0.6732323169708252,0.05372290313243866,0.5151515007019043,0.25,0.813838541507721,0.8100062608718872,0.792792797088623,0.8482142686843872,0.833264946937561,0.07292598485946655,0.6359911561012268,0.7165471911430359,0.7821406126022339,0.8269622325897217,0.7975032329559326,0.9666666984558104,0.7975032329559326,0.8446434140205383,0.8756219148635864,0.8597163558006287,0.7740740776062012,0.34,0.7397959232330322,0.5643564462661743,0.6705882549285889,0.7821406126022339,0.8269622325897217,0.05020831897854805,0.5,0.813838541507721,0.7591623067855835,0.08199811726808548,0.9777777791023254,0.8100062608718872,48,0.699999988079071,0.8482142686843872,0.5717172026634216,0.8149919509887695,0.9444444179534912,0.6705882549285889,0.047125354409217834
no_init_kenn_horizontal_adapter_bert_ms,1,urtsjxsk,0.804926872253418,0.07257304340600967,0.8508482575416565,0.5634920597076416,0.8561307191848755,0.7019867897033691,0.5542168617248535,0.5384615659713745,0.4426229596138001,0.7647058963775635,0.6492472290992737,0.5551039576530457,0.5934065580368042,0.7875330448150635,0.5249999761581421,0.7818447351455688,0.06503298878669739,0.6969696879386902,0.25,0.8055465221405029,0.792726993560791,0.792792797088623,0.8578296899795532,0.8561307191848755,0.07426078617572784,0.5719183087348938,0.47587430477142334,0.7592704892158508,0.8207600116729736,0.7595022320747375,0.8962963223457336,0.7595022320747375,0.8508482575416565,0.8756219148635864,0.8754522204399109,0.855555534362793,0.23,0.6068702340126038,0.7029703259468079,0.4701986610889435,0.7592704892158508,0.8207600116729736,0.0630917027592659,0.5526315569877625,0.8055465221405029,0.8324607610702515,0.07602889835834503,0.9777777791023254,0.792726993560791,24,0.8999999761581421,0.8578296899795532,0.7165337800979614,0.804926872253418,0.4600000083446502,0.8117647767066956,0.061262957751750946
