name,instance,run_id,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_education-educational_degree/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_incremental_education-department/macro_types/f1,test_incremental_education-educational_degree/macro_types/precision,test/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_example/recall,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test/macro_example/f1,threshold_pretraining,test/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_education-educational_degree/macro_types/recall,test_incremental_education-department/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_education/macro_types/precision,epoch,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_education/macro_types/recall,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_types/precision,test/micro/recall,test_pretraining/micro/precision,test_incremental_education/macro_types/f1,test/micro/precision,threshold_incremental,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_education-department/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,jduvwib7,0.9061644673347472,0.88593989610672,0.555555522441864,0.7940664291381836,0.88593989610672,0.015440709888935087,0.7371795177459717,0.7692307829856873,0.6356589198112488,0.9061644673347472,0.43478262424468994,0.9615384340286256,0.8452116250991821,0.45045045018196106,0.8833334445953369,0.5734265446662903,0.8799419403076172,0.7246376872062683,0.013279981911182404,0.7081544399261475,0.6692308187484741,0.9131047129631042,0.25,0.920151948928833,0.6361111402511597,0.6410256624221802,0.29411765933036804,0.8782343864440918,0.6781236529350281,0.017397355288267136,1,31,0.920151948928833,0.627828061580658,0.8452116250991821,0.8131188750267029,0.015831593424081802,0.7396100163459778,0.8131188750267029,0.7583334445953369,0.5333333611488342,0.6029411554336548,0.9131047129631042,0.7518853545188904,0.8782343864440918,0.8937817811965942,0.6956522464752197,0.8937817811965942,0.04,0.8799419403076172,0.01657758466899395,0.8333333134651184,0.018441198393702507,0.8333333730697632
no_init_box_kenn_bottom_up_adapter_bert_ms,0,i7qd9wur,0.905874490737915,0.8888155221939087,0.6575341820716858,0.7606557607650757,0.8888155221939087,0.015083345584571362,0.7115384340286255,0.7301587462425232,0.6201550364494324,0.905874490737915,0.6024096608161926,0.9583333134651184,0.8462402820587158,0.6233766078948975,0.8666667342185974,0.7339449524879456,0.8833611011505127,0.695652186870575,0.012932034209370611,0.7225505709648132,0.6521368026733398,0.9141802191734314,0.25,0.922639787197113,0.6194444894790649,0.5897436141967773,0.4716981053352356,0.8777995109558105,0.7132728099822998,0.016701461747288704,1,67,0.922639787197113,0.715015709400177,0.8462402820587158,0.812113344669342,0.01513569988310337,0.7224923372268677,0.812113344669342,0.7250000238418579,0.5333333611488342,0.6722689270973206,0.9141802191734314,0.8100104928016663,0.8777995109558105,0.9001114964485168,0.6956522464752197,0.9001114964485168,0.04,0.8833611011505127,0.015880078077316284,0.8333333134651184,0.018093250691890717,0.8000000715255737
smart_init_box_adapter_bert_ms,2,bf2x03hl,0.907962203025818,0.8840200901031494,0.5593219995498657,0.6966667175292969,0.8840200901031494,0.01408262737095356,0.9538461565971376,0.6386554837226868,0.7596899271011353,0.907962203025818,0.47863245010375977,0.4749999940395355,0.8455617427825928,0.39520958065986633,0.6166667342185974,0.49246230721473694,0.8709455728530884,0.95652174949646,0.015541637316346169,0.6899906396865845,0.8136752843856812,0.912586510181427,0.25,0.9172581434249878,0.7444444894790649,0.9743589758872986,0.3218390941619873,0.8817133903503418,0.5620654821395874,0.011482255533337591,1,11,0.9172581434249878,0.3984195590019226,0.8455617427825928,0.8216156363487244,0.01983298547565937,0.6745578646659851,0.8216156363487244,0.9500000476837158,0.5333333611488342,0.5975610017776489,0.912586510181427,0.5989463329315186,0.8817133903503418,0.8863387703895569,0.6956522464752197,0.8863387703895569,0.25,0.8709455728530884,0.014544189907610416,0.9333333373069764,0.012874044477939606,0.5500000715255737
smart_init_box_adapter_bert_ms,1,bb69g9lr,0.9031083583831788,0.8879796862602234,0.4952380657196045,0.39095744490623474,0.8879796862602234,0.010795822367072104,0.35641026496887207,0.6451613306999207,0.44961240887641907,0.9031083583831788,0.2790697515010834,0.8695651888847351,0.8377416729927063,0.7222222089767456,0.6027778387069702,0.8529411554336548,0.8814213275909424,0.3768115937709808,0.009452562779188156,0.5413669943809509,0.4153846502304077,0.913277268409729,0.25,0.9236778020858764,0.45277780294418335,0.5128205418586731,0.4615384638309479,0.8730158805847168,0.4642236828804016,0.007828810252249241,1,15,0.9236778020858764,0.6655518412590027,0.8377416729927063,0.7981867790222168,0.008524704724550247,0.5171199440956116,0.7981867790222168,0.40833336114883423,0.5333333611488342,0.5888324975967407,0.913277268409729,0.77703458070755,0.8730158805847168,0.9034653306007384,0.6956522464752197,0.9034653306007384,0.51,0.8814213275909424,0.008161951787769794,0.20000000298023224,0.012584088370203972,0.3750000298023224
smart_init_box_adapter_bert_ms,0,0368m9aj,0.906396508216858,0.8904803991317749,0.7536231875419617,0.8236532807350159,0.8904803991317749,0.015503332950174809,0.7589743733406067,0.8358209133148193,0.6511628031730652,0.906396508216858,0.6760563254356384,1.0,0.8486474752426147,0.7536231875419617,0.8611111640930176,0.8316831588745117,0.8864068984985352,0.7536231875419617,0.01362792868167162,0.7625213861465454,0.6837607622146606,0.9150579571723938,0.25,0.9238865971565248,0.6527778506278992,0.7179487347602844,0.5853658318519592,0.878669261932373,0.7754625082015991,0.017919275909662247,1,53,0.9238865971565248,0.7926828861236572,0.8486474752426147,0.813973605632782,0.016527488827705383,0.7426096200942993,0.813973605632782,0.7916667461395264,0.5333333611488342,0.7304347157478333,0.9150579571723938,0.8617886304855347,0.878669261932373,0.9026133418083192,0.6956522464752197,0.9026133418083192,0.49,0.8864068984985352,0.017195265740156174,0.800000011920929,0.017977267503738403,0.8583333492279053
no_init_box_adapter_bert_ms,2,zbqsvi7a,0.9068024158477784,0.8797302842140198,0.43410852551460266,0.8942636251449585,0.8797302842140198,0.01663411781191826,0.8256410360336304,0.8115941882133484,0.682170569896698,0.9068024158477784,0.29629626870155334,0.9333333373069764,0.8457512855529785,0.29629629850387573,0.9500000476837158,0.39819005131721497,0.8770748376846313,0.8115941882133484,0.014323823153972626,0.7154555320739746,0.7282052040100098,0.909816563129425,0.25,0.912850856781006,0.6861112117767334,0.7179487347602844,0.17610062658786774,0.8795390129089355,0.6635918021202087,0.01948503777384758,1,31,0.912850856781006,0.5547170042991638,0.8457512855529785,0.8165879845619202,0.017919275909662247,0.7967742681503296,0.8165879845619202,0.85833340883255,0.5333333611488342,0.5028571486473083,0.909816563129425,0.7031446695327759,0.8795390129089355,0.8799216747283936,0.6956522464752197,0.8799216747283936,0.03,0.8770748376846313,0.018669385462999344,0.9333333373069764,0.01983298547565937,0.9333333969116212
no_init_box_adapter_bert_ms,1,u3v3m2e6,0.9064544439315796,0.879460334777832,0.4173228442668915,0.8486928939819336,0.879460334777832,0.016076501458883286,0.7871794700622559,0.7692307829856873,0.6589147448539734,0.9064544439315796,0.29629626870155334,0.9615384340286256,0.8451982140541077,0.2864864766597748,0.9166666865348816,0.39170506596565247,0.8776279091835022,0.7681159377098083,0.013859893195331097,0.707520067691803,0.7025641202926636,0.9095579385757446,0.25,0.9126827120780944,0.6638889312744141,0.6410256624221802,0.17610062658786774,0.8788866996765137,0.6604179739952087,0.018441198393702507,1,25,0.9126827120780944,0.568819522857666,0.8451982140541077,0.8150796890258789,0.017049409449100494,0.7700644135475159,0.8150796890258789,0.8166667222976685,0.5333333611488342,0.49132946133613586,0.9095579385757446,0.7125463485717773,0.8788866996765137,0.880034863948822,0.6956522464752197,0.880034863948822,0.01,0.8776279091835022,0.017718013375997543,0.9333333373069764,0.01913709193468094,0.8833333849906921
no_init_box_adapter_bert_ms,0,5uqa0plg,0.9068604111671448,0.8830913305282593,0.5022421479225159,0.8942635655403137,0.8830913305282593,0.016510479152202606,0.821794867515564,0.7945205569267273,0.682170569896698,0.9068604111671448,0.35999998450279236,0.8529411554336548,0.8453832268714905,0.3636363744735718,0.9333333969116212,0.4731182754039765,0.8764573335647583,0.8115941882133484,0.014323823153972626,0.7087602615356445,0.7256410717964172,0.9118146300315856,0.25,0.9168232679367064,0.6861112117767334,0.7435897588729858,0.22499999403953552,0.8795390129089355,0.6509913802146912,0.01948503777384758,1,64,0.9168232679367064,0.5389705896377563,0.8453832268714905,0.8164371252059937,0.017919277772307396,0.7908520102500916,0.8164371252059937,0.8583333492279053,0.5333333611488342,0.5587301850318909,0.9118146300315856,0.6926470994949341,0.8795390129089355,0.8866724967956543,0.6956522464752197,0.8866724967956543,0.01,0.8764573335647583,0.018669387325644493,0.8999999761581421,0.01948503777384758,0.9333333969116212
no_init_kenn_horizontal_adapter_bert_ms,2,glen846c,0.9150023460388184,0.9036210775375366,0.7483870983123779,0.9276532530784608,0.9036210775375366,0.017888378351926804,0.8474358916282654,0.8493151068687439,0.7596899271011353,0.9150023460388184,0.6585366129875183,0.911764681339264,0.8785700798034668,0.6744186282157898,0.9666666984558104,0.7777777910232544,0.896885871887207,0.8405796885490417,0.01606355980038643,0.7985879778862,0.7871795296669006,0.9205415844917296,0.375,0.926148235797882,0.7694445252418518,0.7948718070983887,0.5192307829856873,0.8980212807655334,0.7758978605270386,0.02018093317747116,1,35,0.926148235797882,0.7154977321624756,0.8785700798034668,0.8609873056411743,0.018615171313285828,0.8568534255027771,0.8609873056411743,0.8916667103767395,0.6666666865348816,0.7686274647712708,0.9205415844917296,0.8103318810462952,0.8980212807655334,0.9092910885810852,0.800000011920929,0.9092910885810852,0.53,0.896885871887207,0.01936645619571209,0.8999999761581421,0.02018093317747116,0.9666666984558104
no_init_kenn_horizontal_adapter_bert_ms,1,3m8ea3vw,0.915292263031006,0.8953413367271423,0.49180328845977783,0.9449339509010316,0.8953413367271423,0.018159108236432076,0.8807692527770996,0.469696968793869,0.7751938104629517,0.915292263031006,0.5178571343421936,0.3333333432674408,0.8721813559532166,0.34285715222358704,0.9777778387069702,0.4651162922382355,0.8822975158691406,0.8695651888847351,0.016353514045476913,0.6636154055595398,0.8094017505645752,0.9144273996353148,0.375,0.9135642051696776,0.783333420753479,0.7948718070983887,0.353658527135849,0.8984562158584595,0.494240403175354,0.02035490609705448,1,38,0.9135642051696776,0.3434959352016449,0.8721813559532166,0.8622944951057434,0.01913709193468094,0.869821310043335,0.8622944951057434,0.9166666865348816,0.6666666865348816,0.5813953876495361,0.9144273996353148,0.5623306632041931,0.8984562158584595,0.8922479152679443,0.800000011920929,0.8922479152679443,0.01,0.8822975158691406,0.019727222621440887,0.9666666388511658,0.02041289769113064,0.975000023841858
no_init_kenn_horizontal_adapter_bert_ms,0,2je2bp2r,0.9150893688201904,0.900959849357605,0.6373625993728638,0.9237987995147704,0.900959849357605,0.017842669039964676,0.8512820601463318,0.7142857313156128,0.7596899271011353,0.9150893688201904,0.5714285969734192,0.6666666865348816,0.8753180503845215,0.5132743120193481,0.9611111879348756,0.6405228972434998,0.8899728059768677,0.8405796885490417,0.01606355793774128,0.7381081581115723,0.7897436618804932,0.9190071821212769,0.375,0.9229587316513062,0.769444465637207,0.7692307829856873,0.4117647111415863,0.8980212807655334,0.6602306962013245,0.02000696025788784,1,24,0.9229587316513062,0.5392156839370728,0.8753180503845215,0.861138105392456,0.018615171313285828,0.8546638488769531,0.861138105392456,0.8916667103767395,0.6666666865348816,0.6950355172157288,0.9190071821212769,0.6928104758262634,0.8980212807655334,0.9039177298545836,0.800000011920929,0.9039177298545836,0.1,0.8899728059768677,0.019285988062620163,0.9333333373069764,0.020064949989318848,0.9583333730697632
smart_init_kenn_hybrid_adapter_bert_ms,2,m89lciub,0.914828360080719,0.9023164510726928,0.6867469549179077,0.9109589457511902,0.9023164510726928,0.017643630504608154,0.8346153497695923,0.8695651888847351,0.751937985420227,0.914828360080719,0.5567010045051575,1.0,0.8780447840690613,0.5876288414001465,0.9500000476837158,0.7080292105674744,0.8963366150856018,0.8260869383811951,0.01588958501815796,0.7896555066108704,0.7786325216293335,0.919808566570282,0.375,0.924843430519104,0.7611111402511597,0.7692307829856873,0.4029850661754608,0.8978038430213928,0.762285590171814,0.01983298547565937,1,24,0.924843430519104,0.7014925479888916,0.8780447840690613,0.8604845404624939,0.018267223611474037,0.8451299071311951,0.8604845404624939,0.8750000596046448,0.6666666865348816,0.7293233275413513,0.919808566570282,0.8009950518608093,0.8978038430213928,0.9068745970726012,0.800000011920929,0.9068745970726012,0.46,0.8963366150856018,0.019017931073904037,0.8999999761581421,0.01983298547565937,0.9500000476837158
smart_init_kenn_top_down_adapter_bert_ms,2,j2mf97qb,0.914828360080719,0.90251362323761,0.6951219439506531,0.9109589457511902,0.90251362323761,0.017643630504608154,0.8346153497695923,0.8695651888847351,0.751937985420227,0.914828360080719,0.5684210062026978,1.0,0.8781613707542419,0.6000000238418579,0.9500000476837158,0.7185184955596924,0.8965797424316406,0.8260869383811951,0.01588958501815796,0.7916586995124817,0.7786325216293335,0.9199377298355104,0.375,0.9251043796539308,0.7611111402511597,0.7692307829856873,0.4153846204280853,0.8978038430213928,0.7659313082695007,0.01983298547565937,1,24,0.9251043796539308,0.7076923251152039,0.8781613707542419,0.8604845404624939,0.018267223611474037,0.8451299071311951,0.8604845404624939,0.8750000596046448,0.6666666865348816,0.7348484992980957,0.9199377298355104,0.8051282167434692,0.8978038430213928,0.9072731137275696,0.800000011920929,0.9072731137275696,0.72,0.8965797424316406,0.019017931073904037,0.8999999761581421,0.01983298547565937,0.9500000476837158
smart_init_kenn_bottom_up_adapter_bert_ms,2,vgcrnvuj,0.914828360080719,0.9024149775505066,0.6909090876579285,0.9109589457511902,0.9024149775505066,0.017643630504608154,0.8346153497695923,0.8695651888847351,0.751937985420227,0.914828360080719,0.5625,1.0,0.8781022429466248,0.59375,0.9500000476837158,0.7132353186607361,0.8964563608169556,0.8260869383811951,0.01588958501815796,0.7906432151794434,0.7786325216293335,0.9198660254478456,0.375,0.9249594211578368,0.7611111402511597,0.7692307829856873,0.40909090638160706,0.8978038430213928,0.76408451795578,0.01983298547565937,1,24,0.9249594211578368,0.7045454382896423,0.8781022429466248,0.8604845404624939,0.018267223611474037,0.8451299071311951,0.8604845404624939,0.8750000596046448,0.6666666865348816,0.7320755124092102,0.9198660254478456,0.8030303716659546,0.8978038430213928,0.9070737957954408,0.800000011920929,0.9070737957954408,0.52,0.8964563608169556,0.019017931073904037,0.8999999761581421,0.01983298547565937,0.9500000476837158
smart_init_kenn_hybrid_adapter_bert_ms,1,4x86jblz,0.91427743434906,0.9046834707260132,0.7938930988311768,0.832583487033844,0.9046834707260132,0.016578445211052895,0.7628204822540283,0.8181818127632141,0.713178277015686,0.91427743434906,0.7692307233810425,1.0,0.8794853687286377,0.8387096524238586,0.8777778148651123,0.901960790157318,0.9024405479431152,0.7536231875419617,0.01513569988310337,0.8085106611251831,0.7307692766189575,0.9208895564079284,0.375,0.927597999572754,0.7250000238418579,0.692307710647583,0.7142857313156128,0.8967166543006897,0.8072357177734375,0.017919275909662247,1,13,0.927597999572754,0.8571428656578064,0.8794853687286377,0.8576690554618835,0.016875434666872025,0.7941074967384338,0.8576690554618835,0.8083333969116211,0.6666666865348816,0.7965368628501892,0.9208895564079284,0.9047619104385376,0.8967166543006897,0.9127932786941528,0.800000011920929,0.9127932786941528,0.76,0.9024405479431152,0.0173816978931427,0.8333333134651184,0.018325217068195343,0.85833340883255
