name,instance,run_id,test/micro/precision,test_incremental_finance/macro_types/precision,test_incremental_finance-stock_exchange/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/recall,test_incremental_finance-currency/macro_types/precision,test_incremental/micro/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_finance-currency/macro_types/f1,test_incremental_finance-stock_exchange/macro_types/precision,test/macro_example/precision,test_pretraining/macro_example/precision,test/micro/f1,test/micro/recall,test/macro_example/f1,test/macro_types/precision,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_finance/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,epoch,test_incremental/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_finance/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_finance-stock_exchange/macro_types/f1,threshold_incremental,threshold_pretraining,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_finance-currency/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_pretraining/micro/f1
kenn_bottom_up_adapter_bert_ms,0,25vsq5ip,0.9118621349334716,1,1.0,0.8083333373069763,0.016875434666872025,0.7647058963775635,0.83620685338974,0.91490375995636,0.7877583503723145,0.921158492565155,0.01948503777384758,0.8125,0.8108108043670654,0.9274994134902954,0.9274994134902954,0.9055610299110411,0.8993464112281799,0.921158492565155,0.8997195959091187,0.8993464112281799,0.8542316555976868,0.9333333373069764,0.8500000238418579,0.02018093317747116,0.01948503777384758,0.6833333373069763,0.9333333969116212,0.8083333373069763,84,0.8585056066513062,0.9118621349334716,0.8997195959091187,0.9666666984558104,0.8643558025360107,0.8543891906738281,0.7887324094772339,0.01948503777384758,0.8804382085800171,0.91490375995636,0.8660714030265808,0.01838075555860996,0.8643558025360107,0.8118811845779419,0.9333333969116212,0.8955223560333252,0.03,0.375,0.8549618721008301,0.8816832304000854,0.9333333373069764,0.8666666746139526,0.9333333969116212,0.8816832304000854,0.9055610299110411
box_adapter_bert_ms,2,rxntl09g,0.5681403279304504,1,1.0,0.9333333969116212,0.01948503777384758,0.019269103184342384,0.07750865072011948,0.9079506397247314,0.022010788321495056,0.6964903473854065,0.0205288790166378,0.03778501600027085,0.024752475321292877,0.5649211406707764,0.5649211406707764,0.6910797953605652,0.8819172382354736,0.6964903473854065,0.8561844229698181,0.8819172382354736,0.5094068050384521,0.9833333492279052,0.9500000476837158,0.0205288790166378,0.0205288790166378,0.8833333253860474,0.9833333492279052,0.9333333373069764,154,0.3480072021484375,0.5681403279304504,0.8561844229698181,0.9833333492279052,0.8227719664573669,0.04305777698755264,0.021715126931667328,0.0205288790166378,0.9576811790466307,0.9079506397247314,0.040433213114738464,0.019993342459201813,0.8227719664573669,0.9380530714988708,0.9833333492279052,0.04830917716026306,0.99,0.25,0.04249189794063568,0.8391457200050354,0.9833333492279052,0.9666666388511658,0.9833333492279052,0.8391457200050354,0.6910797953605652
box_adapter_bert_ms,1,3q3xj6rz,0.5681403279304504,1,1.0,0.9333333969116212,0.01948503777384758,0.02834799699485302,0.07750865072011948,0.9079506397247314,0.02302877977490425,0.6964903473854065,0.0205288790166378,0.05508072301745415,0.017709562554955482,0.5649211406707764,0.5649211406707764,0.6910797953605652,0.8819172382354736,0.6964903473854065,0.8562243580818176,0.8819172382354736,0.5101335048675537,0.9833333492279052,0.9500000476837158,0.0205288790166378,0.0205288790166378,0.8833333253860474,0.9833333492279052,0.9333333373069764,85,0.3486858606338501,0.5681403279304504,0.8562243580818176,0.9833333492279052,0.8227719664573669,0.04500361531972885,0.021715126931667328,0.0205288790166378,0.9576811790466307,0.9079506397247314,0.040433213114738464,0.019993342459201813,0.8227719664573669,0.9380530714988708,0.9833333492279052,0.03480277955532074,0.99,0.25,0.04249189794063568,0.8391648530960083,0.9833333492279052,0.9666666388511658,0.9833333492279052,0.8391648530960083,0.6910797953605652
box_adapter_bert_ms,0,q2mgokge,0.5680000185966492,1,1.0,0.9250000715255736,0.01931106299161911,0.054794520139694214,0.0768166109919548,0.9077765941619872,0.034196898341178894,0.6963070034980774,0.02018093317747116,0.10351201891899107,0.013599274680018423,0.5647472143173218,0.5647472143173218,0.6909090876579285,0.8816993236541748,0.6963070034980774,0.8566622734069824,0.8816993236541748,0.5163899660110474,0.9666666388511658,0.9388889074325562,0.02035490609705448,0.02018093317747116,0.8833333253860474,0.9666666984558104,0.925000011920929,142,0.35613125562667847,0.5680000185966492,0.8566622734069824,0.975000023841858,0.8221184015274048,0.06605696678161621,0.02134707383811474,0.02018093317747116,0.9493421316146852,0.9077765941619872,0.04007220268249512,0.01981925033032894,0.8221184015274048,0.9380530714988708,0.9666666984558104,0.026833631098270416,0.99,0.25,0.041771698743104935,0.839034914970398,0.9666666984558104,0.9333333373069764,0.9666666984558104,0.839034914970398,0.6909090876579285
classifier_adapter_bert_ms,2,egpxu4ma,0.7205933928489685,1,0.9333333373069764,0.8166667222976685,0.017049409449100494,0.035236939787864685,0.13658536970615387,0.915269136428833,0.04866059869527817,0.8363741636276245,0.01983298547565937,0.06799531728029251,0.06208425760269165,0.7700011730194092,0.7700011730194092,0.8001937866210938,0.899564266204834,0.8363741636276245,0.8707354068756104,0.899564266204834,0.5134497284889221,0.949999988079071,0.8611111640930176,0.01983298547565937,0.01983298547565937,0.6833333373069763,0.9500000476837158,0.8166666626930237,102,0.3657737672328949,0.7205933928489685,0.8707354068756104,0.9500000476837158,0.8650094270706177,0.09257914125919342,0.04474097490310669,0.01983298547565937,0.8783019185066223,0.915269136428833,0.07452471554279327,0.01833615824580193,0.8650094270706177,0.8118811845779419,0.9500000476837158,0.11642411351203918,0.99,0.375,0.08545728027820587,0.8678629398345947,0.949999988079071,0.9666666388511658,0.9500000476837158,0.8678629398345947,0.8001937866210938
classifier_adapter_bert_ms,1,2s6ob9nw,0.7595658302307129,1,0.9333333373069764,0.8166667222976685,0.017049409449100494,0.04441041499376297,0.17177914083003998,0.915269136428833,0.0650186613202095,0.8611942529678345,0.01983298547565937,0.08491947501897812,0.08562690764665604,0.8131524324417114,0.8131524324417114,0.8236584663391113,0.899564266204834,0.8611942529678345,0.8713768720626831,0.899564266204834,0.5240994095802307,0.949999988079071,0.8611111640930176,0.01983298547565937,0.01983298547565937,0.6833333373069763,0.9500000476837158,0.8166666626930237,40,0.37667912244796753,0.7595658302307129,0.8713768720626831,0.9500000476837158,0.8650094270706177,0.12170756608247756,0.05816326662898064,0.01983298547565937,0.8783019185066223,0.915269136428833,0.0959843322634697,0.01833615824580193,0.8650094270706177,0.8118811845779419,0.9500000476837158,0.15686273574829102,0.98,0.375,0.10961539298295976,0.8681814670562744,0.949999988079071,0.9666666388511658,0.9500000476837158,0.8681814670562744,0.8236584663391113
classifier_adapter_bert_ms,0,3l9t8eu4,0.8950563669204712,1,0.9333333373069764,0.8083333373069763,0.016875434666872025,0.3294117748737335,0.6119873523712158,0.915066123008728,0.3618890047073364,0.9169411659240724,0.01931106485426426,0.48695650696754456,0.39436620473861694,0.9188239574432372,0.9188239574432372,0.8971962332725525,0.8993464112281799,0.9169411659240724,0.8830188512802124,0.8993464112281799,0.6856749653816223,0.9333333373069764,0.8500000238418579,0.019369056448340416,0.01948503777384758,0.6833333373069763,0.9333333969116212,0.8083333373069763,33,0.574592649936676,0.8950563669204712,0.8830188512802124,0.9277777671813964,0.8643558025360107,0.5215522646903992,0.3589743673801422,0.019397659227252007,0.8639466166496277,0.915066123008728,0.49238577485084534,0.01803646609187126,0.8643558025360107,0.8118811845779419,0.9291480779647828,0.5544554591178894,0.59,0.375,0.5185185074806213,0.8735876679420471,0.9333333373069764,0.9333333373069764,0.9250000715255736,0.8735876679420471,0.8971962332725525
