name,instance,run_id,test/macro_example/recall,test_incremental_only/micro/precision,test_incremental_other-product/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-product-weapon/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_other-product-car/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_other-product-computer/macro_types/precision,test/macro_types/recall,test/micro/recall,test/macro_types/precision,test_incremental_other-product-software/macro_types/recall,test_incremental/micro/f1,test_pretraining/micro/precision,epoch,test_pretraining/macro_example/f1,threshold_pretraining,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/micro/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_other-product-weapon/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example/precision,test/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_incremental_other-product-software/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_other-product/macro_types/f1,test_incremental_other-product-computer/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/precision,test_incremental_other-product-weapon/macro_types/f1,test_incremental_other-product-software/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_other-product/macro_types/recall,test/macro_example/f1,test/micro/precision,test/macro_example/precision,test/micro/f1,test_incremental_other-product-computer/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_other-product-car/macro_types/recall,test_incremental_other-product-car/macro_types/precision,test_incremental/macro_types/precision
smart_init_box_adapter_bert_ms,1,rmiwce8e,0.8025753498077393,0.678787887096405,0.7797619104385376,0.8111358880996704,0.8439448475837708,0.9333333373069764,0.7472184300422668,0.8311688899993896,0.06438086181879044,0.8522740602493286,0.5,0.6793467998504639,0.7932027578353882,0.7472184300422668,0.5199999809265137,0.7570093274116516,0.8425453901290894,102,0.8266783952713013,0.26,0.7932027578353882,0.6793467998504639,0.7909091114997864,0.7864077687263489,0.7297297120094299,0.06551176309585571,0.05007399991154671,0.9333333373069764,0.815434992313385,0.06668310612440109,0.711668074131012,0.818548321723938,0.8709677457809448,0.27,0.6666666865348816,0.711668074131012,0.7867867350578308,0.6265060305595398,0.8025753498077393,0.05328071117401123,0.9333333373069764,0.584269642829895,0.7068182229995728,0.7777777910232544,0.8048020601272583,0.7572515606880188,0.05162761360406875,0.7939394116401672,0.8266783952713013,0.8425453901290894,0.8522740602493286,0.8171298503875732,0.8387096524238586,0.7249190807342529,0.8171298503875732,0.7636446356773376,0.8191918730735779,0.9696969985961914,0.7272727489471436,0.7214069366455078
smart_init_box_adapter_bert_ms,0,sl4soskp,0.8006842136383057,0.9174311757087708,0.7797619104385376,0.7473509311676025,0.7662348747253418,0.7666666507720947,0.7650058269500732,0.8888888955116272,0.061585262417793274,0.8574541211128235,0.9615384340286256,0.673093318939209,0.7908986210823059,0.7650058269500732,0.4000000059604645,0.788395881652832,0.8498039841651917,110,0.8280973434448242,0.26,0.7908986210823059,0.673093318939209,0.7565656304359436,0.7475728392601013,0.833935022354126,0.06618799269199371,0.04464726150035858,1.0,0.7357038259506226,0.07153429090976715,0.7161123752593994,0.7298386693000793,0.8064515590667725,0.55,0.9523809552192688,0.7161123752593994,0.7867867350578308,0.8771929740905762,0.8006842136383057,0.04933398962020874,0.8679245114326477,0.5633803009986877,0.933608055114746,0.6944444179534912,0.8131094574928284,0.8229247331619263,0.04687376320362091,0.7939394116401672,0.8280973434448242,0.8498039841651917,0.8574541211128235,0.8192939162254333,0.8064516186714172,0.7905138731002808,0.8192939162254333,0.8177695274353027,0.8787878155708313,0.9696969985961914,0.8205128312110901,0.9028388261795044
no_init_kenn_hybrid_adapter_bert_ms,2,8035obo6,0.8595384359359741,0.6666666865348816,0.9177215099334716,0.7786510586738586,0.7846154570579529,0.8666666746139526,0.8496095538139343,0.8000000715255737,0.0668475553393364,0.8609509468078613,0.6190476417541504,0.8096197247505188,0.852150559425354,0.8496095538139343,0.4000000059604645,0.7967742085456848,0.8514965176582336,43,0.8602441549301147,0.33,0.852150559425354,0.8096197247505188,0.821212112903595,0.799352765083313,0.7942122220993042,0.06576128304004669,0.04588060826063156,0.5909090638160706,0.7536168098449707,0.06470974534749985,0.8291327357292175,0.75,0.8225806355476379,0.51,0.800000011920929,0.8291327357292175,0.8978328108787537,0.7123287916183472,0.8595384359359741,0.05032067000865936,0.7027026414871216,0.5333333611488342,0.6810606122016907,0.7083333134651184,0.8078674077987671,0.7155041098594666,0.04799817502498627,0.8787878751754761,0.8602441549301147,0.8514965176582336,0.8609509468078613,0.8518233895301819,0.8387096524238586,0.6868686676025391,0.8518233895301819,0.7526839971542358,0.794949471950531,0.9090909361839294,0.7142857313156128,0.7283928394317627
no_init_kenn_top_down_adapter_bert_ms,2,tic2gw30,0.8596371412277222,0.6688311696052551,0.9177215099334716,0.7847116589546204,0.7926968932151794,0.8666666746139526,0.8501241207122803,0.7654320597648621,0.06709422916173935,0.8611811399459839,0.6666666865348816,0.8102139234542847,0.8523425459861755,0.8501241207122803,0.4000000059604645,0.7987117767333984,0.8515250086784363,43,0.8604084253311157,0.33,0.8523425459861755,0.8102139234542847,0.8242424130439758,0.8025889992713928,0.7948718070983887,0.06651368737220764,0.04637394845485687,0.604651153087616,0.7611925601959229,0.06594309955835342,0.8296893239021301,0.7580645084381104,0.8306451439857483,0.56,0.8333333134651184,0.8296893239021301,0.8978328108787537,0.7428571581840515,0.8596371412277222,0.050814010202884674,0.7123287916183472,0.5405405759811401,0.6876211166381836,0.7152777910232544,0.817110538482666,0.7225388288497925,0.04849255830049515,0.8787878751754761,0.8604084253311157,0.8515250086784363,0.8611811399459839,0.8519335389137268,0.8387096524238586,0.6912751197814941,0.8519335389137268,0.7583175897598267,0.8101009726524353,0.939393937587738,0.6458333134651184,0.7336412072181702
no_init_kenn_bottom_up_adapter_bert_ms,2,cc3r8gsc,0.8594726920127869,0.7285714149475098,0.9177215099334716,0.7807116508483887,0.7846153378486633,0.8666666746139526,0.8550253510475159,0.8611111044883728,0.0668475553393364,0.8625954389572144,0.6666666865348816,0.8098217844963074,0.852150559425354,0.8550253510475159,0.3799999952316284,0.813838541507721,0.8536257147789001,43,0.8610312938690186,0.33,0.852150559425354,0.8098217844963074,0.821212112903595,0.799352765083313,0.8288590312004089,0.06721553206443787,0.04588060826063156,0.6341463327407837,0.7561925649642944,0.06758756935596466,0.8318098783493042,0.75,0.8225805759429932,0.49,0.9047619104385376,0.8318098783493042,0.8978328108787537,0.7428571581840515,0.8594726920127869,0.05032067000865936,0.7323943972587585,0.5352112650871277,0.7501116991043091,0.7083333134651184,0.8257325291633606,0.7531399130821228,0.04799817502498627,0.8787878751754761,0.8610312938690186,0.8536257147789001,0.8625954389572144,0.8528875708580017,0.8387096524238586,0.7183098196983337,0.8528875708580017,0.7821698784828186,0.8303030133247375,0.939393937587738,0.7948718070983887,0.7836336493492126
no_init_kenn_hybrid_adapter_bert_ms,1,73zo8jza,0.8601304888725281,0.7412587404251099,0.9177215099334716,0.7891808152198792,0.8150935769081116,0.8999999761581421,0.8557260632514954,0.8533334136009216,0.06783424317836761,0.8620656728744507,0.91304349899292,0.8106521368026733,0.8529185652732849,0.8557260632514954,0.5199999809265137,0.8229508399963379,0.8539023399353027,44,0.8610970377922058,0.33,0.8529185652732849,0.8106521368026733,0.8333333134651184,0.8122977614402771,0.8338870406150818,0.06717001646757126,0.047853969037532806,0.6585366129875183,0.7667790651321411,0.06651866436004639,0.8325794339179993,0.7822580337524414,0.8508064150810242,0.52,0.7027027010917664,0.8325794339179993,0.8978328108787537,0.7777777314186096,0.8601304888725281,0.05204736068844795,0.7605634331703186,0.5977010726928711,0.7590469121932983,0.7361111044883728,0.8251733183860779,0.7628934383392334,0.04986265301704407,0.8787878751754761,0.8610970377922058,0.8539023399353027,0.8620656728744507,0.8534101247787476,0.6774193644523621,0.7386760115623474,0.8534101247787476,0.7899804711341858,0.8171716332435608,0.9696969985961914,0.761904776096344,0.7907818555831909
no_init_kenn_top_down_adapter_bert_ms,1,ed8fw4bp,0.860541582107544,0.6687116622924805,0.9177215099334716,0.8085356950759888,0.825649082660675,0.8999999761581421,0.8503861427307129,0.7619048357009888,0.06840980052947998,0.8607747554779053,0.8888888955116272,0.8125496506690979,0.8534946441650391,0.8503861427307129,0.5199999809265137,0.8063491582870483,0.8512064218521118,44,0.8606581687927246,0.33,0.8534946441650391,0.8125496506690979,0.8404040336608887,0.8220064640045166,0.7912772297859192,0.06711114943027496,0.04884064942598343,0.6428571343421936,0.7909725904464722,0.06586088240146637,0.8310375213623047,0.7983870506286621,0.8548387289047241,0.39,0.604651153087616,0.8310375213623047,0.8978328108787537,0.8275862336158752,0.860541582107544,0.05229403078556061,0.7499999403953552,0.5591397285461426,0.6909620761871338,0.7569444179534912,0.8244502544403076,0.7375926375389099,0.05050837993621826,0.8787878751754761,0.8606581687927246,0.8512064218521118,0.8607747554779053,0.8523489832878113,0.774193525314331,0.7100976705551147,0.8523489832878113,0.7707366943359375,0.8090908527374268,0.9696969985961914,0.6274510025978088,0.7363139986991882
no_init_kenn_bottom_up_adapter_bert_ms,1,is3fh0yo,0.860541582107544,0.6942675113677979,0.9177215099334716,0.8087507486343384,0.825649082660675,0.9333333373069764,0.851009726524353,0.810126543045044,0.06840980052947998,0.8615230321884155,0.7666666507720947,0.8125707507133484,0.8534946441650391,0.851009726524353,0.5199999809265137,0.8141025304794312,0.8521856069564819,44,0.8610320091247559,0.33,0.8534946441650391,0.8125707507133484,0.8404040336608887,0.8220064640045166,0.8063492178916931,0.06732393801212311,0.04884064942598343,0.6666666865348816,0.791241466999054,0.06627199798822403,0.8313461542129517,0.7983870506286621,0.8548387289047241,0.3,0.6666666865348816,0.8313461542129517,0.8978328108787537,0.7540983557701111,0.860541582107544,0.05229403078556061,0.7777777910232544,0.584269642829895,0.6989130973815918,0.7569444179534912,0.8270642757415771,0.7422170639038086,0.05050837993621826,0.8787878751754761,0.8610320091247559,0.8521856069564819,0.8615230321884155,0.8528396487236023,0.7419354915618896,0.7242525219917297,0.8528396487236023,0.7743056416511536,0.8141413331031799,0.9696969985961914,0.695652186870575,0.7426747679710388
no_init_kenn_hybrid_adapter_bert_ms,0,hwt5jmkp,0.8602538108825684,0.636904776096344,0.9177215099334716,0.7952023148536682,0.8110246062278748,0.8333333134651184,0.8482872843742371,0.7804878354072571,0.06799868494272232,0.859824538230896,0.8888888955116272,0.8112424612045288,0.8531106114387512,0.8482872843742371,0.5199999809265137,0.7937008142471313,0.850009560585022,22,0.8600391149520874,0.33,0.8531106114387512,0.8112424612045288,0.8353534936904907,0.8155339956283569,0.7730061411857605,0.06570372730493546,0.04810063913464546,0.5102040767669678,0.7743059396743774,0.06355862319469452,0.8293514251708984,0.7862902879714966,0.8373655676841736,0.48,0.604651153087616,0.8293514251708984,0.8978328108787537,0.8275862336158752,0.8602538108825684,0.051225125789642334,0.6329114437103271,0.5591397285461426,0.6642013192176819,0.7430555820465088,0.8071602582931519,0.715039849281311,0.04961374029517174,0.8787878751754761,0.8600391149520874,0.850009560585022,0.859824538230896,0.8515572547912598,0.774193525314331,0.6858974695205688,0.8515572547912598,0.7529190182685852,0.7808080315589905,0.9696969985961914,0.6530612111091614,0.7149053812026978
no_init_kenn_top_down_adapter_bert_ms,0,wrf9cz98,0.8600893616676331,0.6198830604553223,0.9177215099334716,0.7912023663520813,0.8054637312889099,0.8333333134651184,0.8467414379119873,0.7529411911964417,0.06775201112031937,0.8593887090682983,0.8571428656578064,0.8108503222465515,0.8529185652732849,0.8467414379119873,0.5,0.7868338823318481,0.8493307828903198,22,0.859738826751709,0.33,0.8529185652732849,0.8108503222465515,0.8323231935501099,0.8122977614402771,0.7629179358482361,0.06545677781105042,0.04760729894042015,0.5102040767669678,0.769305944442749,0.06331195682287216,0.8284072279930115,0.7782257795333862,0.8346773982048035,0.53,0.5952380895614624,0.8284072279930115,0.8978328108787537,0.8135592937469482,0.8600893616676331,0.05106068029999733,0.6329114437103271,0.54347825050354,0.6444923877716064,0.7361111044883728,0.8041265606880188,0.701389729976654,0.04927355796098709,0.8787878751754761,0.859738826751709,0.8493307828903198,0.8593887090682983,0.8511209487915039,0.774193525314331,0.673015832901001,0.8511209487915039,0.7423267364501953,0.7777777910232544,0.9696969985961914,0.6153846383094788,0.6991382241249084
