name,instance,run_id,test/macro_example/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_PRODUCT-WEAPON/macro_types/f1,test/micro/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example/precision,test/micro/f1,test_incremental_PRODUCT/macro_types/precision,threshold_incremental,test/macro_types/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_PRODUCT/macro_types/recall,test/micro/recall,test_incremental_PRODUCT-VEHICLE/macro_types/recall,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_PRODUCT-WEAPON/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_PRODUCT-VEHICLE/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example/f1,test_incremental/micro/f1,test_incremental_only/micro/recall,test_incremental_PRODUCT/macro_types/f1,test_incremental_PRODUCT-VEHICLE/macro_types/precision,test/macro_example/precision,test_incremental_only/micro/precision,test_incremental_PRODUCT-WEAPON/macro_types/precision,threshold_pretraining,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,epoch,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_types/precision
box_adapter_bert_ms,1,o8rre7d0,0.8512409925460815,0.7370977401733398,0.8419753313064575,0.8158238530158997,0.8245666027069092,0.7929458022117615,0.5097074508666992,0.5760000348091125,0.7714985013008118,0.7999999523162842,0.33112582564353943,0.7370977401733398,0.05424928665161133,0.8000000715255737,0.8579505085945129,0.3886639475822449,0.02544769085943699,0.7929458022117615,0.9740259647369384,0.46,0.865553081035614,0.6350026726722717,0.4121180772781372,0.92592591047287,0.8579505085945129,0.7666666507720947,0.7714985013008118,0.8245666027069092,0.045240338891744614,0.8333333134651184,0.8723404407501221,0.865553081035614,0.06738924980163574,0.8512409925460815,0.799513041973114,0.7105987071990967,0.8827161192893982,0.4791666567325592,0.45000001788139343,0.032573044300079346,0.6074073910713196,0.800000011920929,0.9493670463562012,0.3484848439693451,0.799513041973114,0.25668448209762573,0.20661157369613647,0.175,0.04539742693305016,0.5946502685546875,23,0.8158238530158997,0.46590909361839294,0.2775481939315796
box_adapter_bert_ms,0,k6l9vmzy,0.8477851152420044,0.5648104548454285,0.764197587966919,0.8107765316963196,0.7201822400093079,0.6796171069145203,0.5179511308670044,0.6833333969116211,0.7728724479675293,0.6833333373069763,0.056971512734889984,0.5648104548454285,0.06289027631282806,0.6833333969116211,0.8530035614967346,0.11126186698675156,0.03864279016852379,0.6796171069145203,0.9740259647369384,0.95,0.8525901436805725,0.6174275875091553,0.4071066379547119,0.92592591047287,0.8530035614967346,0.7333333492279053,0.7728724479675293,0.7201822400093079,0.03864279016852379,0.6333333253860474,0.8226950168609619,0.8525901436805725,0.06409047544002533,0.8477851152420044,0.6259660720825195,0.8237850666046143,0.8395061492919922,0.6285714507102966,0.6833333969116211,0.03864279016852379,0.25921788811683655,0.6833333373069763,0.9493670463562012,0.550000011920929,0.6259660720825195,0.060561299324035645,0.029827315360307693,0.175,0.06173421069979668,0.8086419701576233,20,0.8107765316963196,0.1538461595773697,0.2899136543273926
classifier_adapter_bert_ms,2,auf6hcgc,0.8579956293106079,0.6304683685302734,0.8144032955169678,0.79981529712677,0.7905531525611877,0.7296009659767151,0.42050275206565857,0.7833333611488342,0.7391648888587952,0.7833333015441895,0.11764705181121826,0.6304683685302734,0.06661493331193924,0.783333420753479,0.8657243847846985,0.18467582762241364,0.044297829270362854,0.7296009659767151,0.9594594836235046,0.99,0.8713083267211914,0.5546313524246216,0.25322726368904114,0.8765432238578796,0.8657243847846985,0.8333333134651184,0.7391648888587952,0.7905531525611877,0.044297829270362854,0.7333333492279053,0.8368794322013855,0.8713083267211914,0.06456173211336136,0.8579956293106079,0.732940673828125,0.8725734353065491,0.8456790447235107,0.37037038803100586,0.783333420753479,0.044297829270362854,0.35542169213294983,0.7833333611488342,0.9161290526390076,0.2380952388048172,0.732940673828125,0.10467705875635148,0.06395348906517029,0.25,0.06880301237106323,0.9012346267700196,105,0.79981529712677,0.22562141716480255,0.15102437138557434
classifier_adapter_bert_ms,1,wfryg2fw,0.8513980507850647,0.7366179823875427,0.6588477492332458,0.7931947112083435,0.8216301798820496,0.7917619943618774,0.4679679870605469,0.42149537801742554,0.7470757961273193,0.550000011920929,0.3166666626930237,0.7366179823875427,0.054642453789711,0.5500000715255737,0.8558303713798523,0.3142857253551483,0.019321393221616745,0.7917619943618774,0.9594594836235046,0.55,0.8453823328018188,0.5472405552864075,0.316546767950058,0.8765432238578796,0.8558303713798523,0.46666666865348816,0.7470757961273193,0.8216301798820496,0.031102731823921204,0.6333333253860474,0.73758864402771,0.8453823328018188,0.05796418339014053,0.8513980507850647,0.79387366771698,0.7157487273216248,0.7592592835426331,0.31111112236976624,0.34166669845581055,0.023835737258195877,0.5698630213737488,0.550000011920929,0.9161290526390076,0.23333333432674408,0.79387366771698,0.2199999988079071,0.21111111342906952,0.25,0.051680803298950195,0.6769548058509827,14,0.7931947112083435,0.4642857015132904,0.2222222238779068
classifier_adapter_bert_ms,0,3mt8pm0d,0.8589380979537964,0.7578752040863037,0.8366255164146423,0.816789448261261,0.8302711248397827,0.8088331818580627,0.5805035829544067,0.8039724230766296,0.765831708908081,0.8166666626930237,0.4888888895511627,0.7578752040863037,0.06211751326918602,0.8166667222976685,0.8671377897262573,0.5297297239303589,0.04476908594369888,0.8088331818580627,0.9594594836235046,0.53,0.8750120401382446,0.6854197382926941,0.5288393497467041,0.8765432238578796,0.8671377897262573,0.8999999761581421,0.765831708908081,0.8302711248397827,0.046182844787836075,0.7333333492279053,0.8510638475418091,0.8750120401382446,0.06550423800945282,0.8589380979537964,0.8034558296203613,0.8136627674102783,0.8580247163772583,0.5684210062026978,0.7916667461395264,0.045464977622032166,0.7058823704719543,0.8166666626930237,0.9161290526390076,0.4153846204280853,0.8034558296203613,0.3919999897480011,0.36666667461395264,0.25,0.05906377732753754,0.7736625671386719,99,0.816789448261261,0.6030150651931763,0.3910256624221802
