name,instance,run_id,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_WORK_OF_ART-SONG/macro_types/precision,threshold_pretraining,test/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_WORK_OF_ART/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/f1,test_incremental_WORK_OF_ART-SONG/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test/macro_types/recall,test/macro_types/precision,test_incremental_only/micro/precision,test/micro/recall,test_incremental/micro/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test_incremental/micro/f1,epoch,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_WORK_OF_ART/macro_types/precision,test/macro_types/f1,test/macro_example/precision,threshold_incremental,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,bp2ys7xd,0.7880967855453491,0.8082506060600281,0.3786408007144928,0.8068296313285828,0.3786407709121704,0.3777131736278534,0.8314436674118042,0.5539906024932861,0.4912027418613434,0.8186323642730713,0.6715380549430847,0.03675777465105057,0.4923076927661896,0.07728558033704758,0.5636363625526428,0.4893617033958435,0.175,0.8416588306427002,0.6419192552566528,0.7181817889213562,0.8264746069908142,0.8134083151817322,0.8314436674118042,0.8068296313285828,0.4660493731498718,0.8214734792709351,0.7559808492660522,0.38333332538604736,0.3786407709121704,0.7880967855453491,0.8186323642730713,0.8082506060600281,0.5652173757553101,0.8264746069908142,0.7023809552192688,0.6083172559738159,0.7454545497894287,0.4534883499145508,0.03675777465105057,0.7272727489471436,0.6194226145744324,51,0.06655146926641464,0.8416588306427002,0.03675777465105057,0.7979797720909119,0.8134083151817322,0.8214734792709351,0.01,0.5673858523368835,0.058435436338186264,0.4299065470695496,0.3720930218696594,0.3786407709121704
no_init_box_kenn_bottom_up_adapter_bert_ms,0,w0f2l9p8,0.7993174195289612,0.7962153553962708,0.04854368790984154,0.8012315630912781,0.04854368790984154,0.0416666679084301,0.8277566432952881,0.39436620473861694,0.267171710729599,0.7812938690185547,0.5993266105651855,0.004712535068392754,0.0,0.0744580626487732,0.40909090638160706,1.0,0.175,0.8281495571136475,0.5212610363960266,0.7181817889213562,0.8031550049781799,0.788684070110321,0.8277566432952881,0.8012315630912781,0.07692307978868484,0.8273640871047974,0.7559808492660522,0.0833333358168602,0.04854369163513184,0.7993174195289612,0.7812938690185547,0.7962153553962708,1.0,0.8031550049781799,0.807692289352417,0.5,0.718181848526001,0.09259258955717088,0.004712535068392754,0.0,0.5299684405326843,49,0.05404214188456535,0.8281495571136475,0.004712535068392754,0.7979797720909119,0.788684070110321,0.8273640871047974,0.43,0.36958664655685425,0.04241281747817993,0.1538461595773697,0.0,0.04854369163513184
no_init_kenn_hybrid_adapter_bert_ms,2,jdob5quv,0.7877022624015808,0.8075181245803833,0.3786408007144928,0.8105227947235107,0.3786407709121704,0.3908914923667908,0.829052746295929,0.5539906024932861,0.4999882578849793,0.8277036547660828,0.7795099020004272,0.03675777465105057,0.5714285969734192,0.07115928828716278,0.5636363625526428,0.7916666865348816,0.25,0.8465284109115601,0.6189752221107483,0.7181817889213562,0.8347050547599792,0.8174862861633301,0.829052746295929,0.8105227947235107,0.5176799893379211,0.812283992767334,0.7596153616905212,0.3166666626930237,0.3786407709121704,0.7877022624015808,0.8277036547660828,0.8075181245803833,0.7647058963775635,0.8347050547599792,0.791946291923523,0.7662037014961243,0.6863636374473572,0.5064935088157654,0.03675777465105057,0.7407407164573669,0.6519336700439453,41,0.06417272984981537,0.8465284109115601,0.03675777465105057,0.8061224222183228,0.8174862861633301,0.812283992767334,0.24,0.6092166900634766,0.058435436338186264,0.4523809552192688,0.4651162922382355,0.3786407709121704
no_init_kenn_top_down_adapter_bert_ms,2,jaaxkumv,0.7732154130935669,0.7796795964241028,0.4341270625591278,0.8049983382225037,0.446601927280426,0.475581407546997,0.827886164188385,0.5868544578552246,0.556448221206665,0.837113618850708,0.6124785542488098,0.04099905863404274,0.6363636255264282,0.06534714996814728,0.5954545140266418,0.40909090638160706,0.25,0.8488847017288208,0.6123833656311035,0.7181817889213562,0.8395061492919922,0.807376503944397,0.827886164188385,0.8049983382225037,0.4948088824748993,0.8079013228416443,0.7596153616905212,0.30000001192092896,0.446601927280426,0.7732154130935669,0.837113618850708,0.7796795964241028,0.516853928565979,0.8395061492919922,0.6684492230415344,0.515656590461731,0.6303030252456665,0.4791666567325592,0.0421442836523056,0.6222222447395325,0.625,43,0.06348931789398193,0.8488847017288208,0.04335532709956169,0.8061224222183228,0.807376503944397,0.8079013228416443,0.27,0.5831205248832703,0.06173421069979668,0.3461538255214691,0.6511628031730652,0.4223301112651825
no_init_kenn_bottom_up_adapter_bert_ms,2,ipau5urx,0.7840102910995483,0.7964584827423096,0.36893200874328613,0.8082419633865356,0.3689320385456085,0.3825581669807434,0.8286876678466797,0.5492957830429077,0.4944327175617218,0.8267776966094971,0.7131519317626953,0.035815268754959106,0.5479452013969421,0.07100220024585724,0.5590908527374268,0.6666666865348816,0.25,0.8460571765899658,0.615612804889679,0.7181817889213562,0.8340191841125488,0.8113349676132202,0.8286876678466797,0.8082419633865356,0.4861470758914947,0.8120169639587402,0.7596153616905212,0.30000001192092896,0.3689320385456085,0.7840102910995483,0.8267776966094971,0.7964584827423096,0.6666666865348816,0.8340191841125488,0.7548387050628662,0.6666666865348816,0.684848427772522,0.47499996423721313,0.035815268754959106,0.6666666865348816,0.635869562625885,41,0.06382414698600769,0.8460571765899658,0.035815268754959106,0.8061224222183228,0.8113349676132202,0.8120169639587402,0.1,0.5839849710464478,0.05796418339014053,0.4137931168079376,0.4651162922382355,0.3689320385456085
no_init_kenn_hybrid_adapter_bert_ms,1,i1wz03am,0.7833014726638794,0.8058801889419556,0.49514564871788025,0.8120251297950745,0.49514561891555786,0.5403100848197937,0.8305277824401855,0.6103286147117615,0.5996006727218628,0.8443057537078857,0.7696821689605713,0.048067860305309296,0.699999988079071,0.06927426904439926,0.6181818246841431,0.8888888955116272,0.25,0.8502984642982483,0.642210066318512,0.7181817889213562,0.8429355025291443,0.8246455788612366,0.8305277824401855,0.8120251297950745,0.628628671169281,0.8116556406021118,0.7596153616905212,0.2666666805744171,0.49514564871788025,0.7833014726638794,0.8443057537078857,0.8058801889419556,0.6800000071525574,0.8429355025291443,0.7514451146125793,0.7514619827270508,0.6681817770004272,0.5730337500572205,0.048067860305309296,0.6140350699424744,0.6735751032829285,49,0.06658163666725159,0.8502984642982483,0.048067860305309296,0.8061224222183228,0.8246455788612366,0.8116556406021118,0.32,0.6740783452987671,0.06409047544002533,0.41025641560554504,0.8139534592628479,0.49514564871788025
no_init_kenn_top_down_adapter_bert_ms,1,pxo9ik0w,0.7835773229598999,0.8066070675849915,0.5145630836486816,0.8128094673156738,0.5145630836486816,0.5635659098625183,0.8309434652328491,0.6197183132171631,0.6151045560836792,0.8468897342681885,0.7740433216094971,0.04995287209749222,0.7254902124404907,0.06974552571773529,0.6272727251052856,0.8888888955116272,0.25,0.8510838747024536,0.6492053866386414,0.7181817889213562,0.8443072438240051,0.8262577652931213,0.8309434652328491,0.8128094673156738,0.6464813947677612,0.8117341995239258,0.7596153616905212,0.2666666805744171,0.5145630836486816,0.7835773229598999,0.8468897342681885,0.8066070675849915,0.6883116960525513,0.8443072438240051,0.7542856931686401,0.7580037713050842,0.6727272868156433,0.5888888835906982,0.04995286837220192,0.6271186470985413,0.6804123520851135,52,0.06730686873197556,0.8510838747024536,0.04995287209749222,0.8061224222183228,0.8262577652931213,0.8117341995239258,0.43,0.6854814887046814,0.06503298878669739,0.41025641560554504,0.8604651093482971,0.5145630836486816
no_init_kenn_bottom_up_adapter_bert_ms,1,dgqr0g2p,0.7802406549453735,0.8032762408256531,0.5242718458175659,0.8113269805908203,0.5242718458175659,0.5751938223838806,0.8307225108146667,0.6244131326675415,0.6228564977645874,0.8481817245483398,0.7540584802627563,0.05089537799358368,0.6909091472625732,0.06927426904439926,0.6318181753158569,0.8888888955116272,0.25,0.8513980507850647,0.6494913697242737,0.7181817889213562,0.8449931144714355,0.8251184225082397,0.8307225108146667,0.8113269805908203,0.6426485776901245,0.8110273480415344,0.7596153616905212,0.2666666805744171,0.5242718458175659,0.7802406549453735,0.8481817245483398,0.8032762408256531,0.6352941393852234,0.8449931144714355,0.7267759442329407,0.7280265092849731,0.6681817770004272,0.5744681358337402,0.05089537426829338,0.5671641826629639,0.6717171669006348,49,0.06733652949333191,0.8513980507850647,0.05089537799358368,0.8061224222183228,0.8251184225082397,0.8110273480415344,0.08,0.6822065711021423,0.06550423800945282,0.41025641560554504,0.8837209343910217,0.5242718458175659
no_init_kenn_hybrid_adapter_bert_ms,0,az372b5q,0.7812302112579346,0.8019246459007263,0.5218333601951599,0.8118615746498108,0.5242718458175659,0.5554263591766357,0.8310384154319763,0.6244131326675415,0.6096782088279724,0.8459852933883667,0.7459489107131958,0.05042412877082825,0.6336634159088135,0.06896010041236877,0.6318181753158569,0.8799999952316284,0.25,0.85218346118927,0.6480565071105957,0.7181817889213562,0.8449931144714355,0.8233659267425537,0.8310384154319763,0.8118615746498108,0.6255207657814026,0.8109173774719238,0.7596153616905212,0.36666667461395264,0.5242718458175659,0.7812302112579346,0.8459852933883667,0.8019246459007263,0.650602400302887,0.8449931144714355,0.7348066568374634,0.7158620357513428,0.6651514768600464,0.5806451439857483,0.050658658146858215,0.5517241358757019,0.6751269102096558,41,0.06718776375055313,0.85218346118927,0.05089537799358368,0.8061224222183228,0.8233659267425537,0.8109173774719238,0.12,0.6709644794464111,0.06550423800945282,0.5176470875740051,0.7441860437393188,0.5194175243377686
no_init_kenn_top_down_adapter_bert_ms,0,xsr1juhv,0.7736676931381226,0.7962480783462524,0.5436893701553345,0.8083851337432861,0.5436893105506897,0.5819767117500305,0.829367995262146,0.6338028311729431,0.6273784637451172,0.8489353656768799,0.7118892669677734,0.0527803935110569,0.5833333134651184,0.06786050647497177,0.6409090757369995,0.875,0.25,0.8528118133544922,0.6476554870605469,0.7181817889213562,0.8463648557662964,0.8217480778694153,0.829367995262146,0.8083851337432861,0.6206254959106445,0.8071787357330322,0.7596153616905212,0.3499999940395355,0.5436893701553345,0.7736676931381226,0.8489353656768799,0.7962480783462524,0.5544554591178894,0.8463648557662964,0.6783919334411621,0.6647727489471436,0.6545454263687134,0.5490196347236633,0.0527803935110569,0.4545454680919647,0.655339777469635,43,0.0671461820602417,0.8528118133544922,0.0527803935110569,0.8061224222183228,0.8217480778694153,0.8071787357330322,0.21,0.6669674515724182,0.06644675135612488,0.5,0.8139534592628479,0.5436893701553345
