name,instance,run_id,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,threshold_pretraining,test_incremental_WORK_OF_ART/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental_only/macro_types/precision,test/micro/precision,test/macro_types/f1,test_pretraining/micro/precision,threshold_incremental,test_incremental/macro_example_exclusive/precision,test_incremental_WORK_OF_ART-SONG/macro_types/recall,test_incremental_only/micro/recall,test_incremental/macro_example/precision,epoch,test/macro_example/f1,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental_only/micro/f1,test_incremental_WORK_OF_ART-SONG/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test_pretraining/micro/recall,test_incremental_WORK_OF_ART/macro_types/f1,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test/macro_example/recall,test/macro_types/precision,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test/macro_types/recall,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental_only/micro/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,4gwpdj8m,0.06597548723220825,0.05183788761496544,0.175,0.7979797720909119,0.5339806079864502,0.8374485373497009,0.6399470567703247,0.7882505059242249,0.8242416381835938,0.7882505059242249,0.01,0.7363636493682861,0.4833333194255829,0.5339806079864502,0.07634307444095612,37,0.8341026306152344,0.6291079521179199,0.8117650747299194,0.5439922213554382,0.05183788761496544,0.7181817889213562,0.5339806079864502,0.8210021257400513,0.644172191619873,0.8476279973983765,0.5087718963623047,0.5729166865348816,0.5370370149612427,0.6683291792869568,0.0707816556096077,0.6020554304122925,0.05183788761496544,0.7428571581840515,0.8374485373497009,0.7559808492660522,0.604651153087616,0.8476279973983765,0.8117650747299194,0.83710777759552,0.6363636255264282,0.6666666269302368,0.8341026306152344,0.5880812406539917,0.6827212572097778,0.6926246881484985,0.8210021257400513,0.5339806079864502,0.812105119228363,0.83710777759552,0.812105119228363,0.8242416381835938,0.7127659320831299,0.617977499961853
no_init_box_kenn_bottom_up_adapter_bert_ms,0,nl4s407i,0.06173421069979668,0.04335532337427139,0.175,0.7979797720909119,0.446601927280426,0.8312757015228271,0.8530219793319702,0.8005284070968628,0.831540048122406,0.8005284070968628,0.01,0.7045454382896423,0.38333332538604736,0.446601927280426,0.0730443000793457,36,0.8354095220565796,0.5868544578552246,0.8354400396347046,0.45910853147506714,0.04335532337427139,0.7181817889213562,0.446601927280426,0.827128529548645,0.6597686409950256,0.843858003616333,0.5348837375640869,0.5859872698783875,0.8846153616905212,0.6830601096153259,0.06691469997167587,0.5454663038253784,0.04335532337427139,0.8214285969734192,0.8312757015228271,0.7559808492660522,0.5348837375640869,0.843858003616333,0.8354400396347046,0.8276762962341309,0.5954545736312866,0.6478873491287231,0.8354095220565796,0.5969370603561401,0.6454227566719055,0.834674596786499,0.827128529548645,0.446601927280426,0.8156123757362366,0.8276762962341309,0.8156123757362366,0.831540048122406,0.8169934749603271,0.8518518805503845
no_init_kenn_hybrid_adapter_bert_ms,2,byhlkfub,0.06550423800945282,0.05041972175240517,0.25,0.8061224222183228,0.5193721055984497,0.8449931144714355,0.6747967600822449,0.7827191948890686,0.8202641606330872,0.7827191948890686,0.22,0.6696969270706177,0.4333333373069763,0.5242718458175659,0.0694313496351242,16,0.8313370943069458,0.6244131326675415,0.7973618507385254,0.5422480702400208,0.04995287209749222,0.7181817889213562,0.5242718458175659,0.8109173774719238,0.6544846296310425,0.8528118133544922,0.5252525210380554,0.5901638865470886,0.6666666865348816,0.6803069114685059,0.06741064786911011,0.6008926630020142,0.05089538171887398,0.6829268336296082,0.8449931144714355,0.7596153616905212,0.6511628031730652,0.8528118133544922,0.7973618507385254,0.8445210456848145,0.6318181753158569,0.6666666865348816,0.8313370943069458,0.6013044714927673,0.6502063870429993,0.7185720205307007,0.8109173774719238,0.5145630836486816,0.8126649260520935,0.8445210456848145,0.8126649260520935,0.8202641606330872,0.7471910119056702,0.675000011920929
no_init_kenn_top_down_adapter_bert_ms,2,xx840j0v,0.0636192262172699,0.047125350683927536,0.25,0.8061224222183228,0.4854369163513184,0.8422496318817139,0.6761904954910278,0.7831632494926453,0.8182476758956909,0.7831632494926453,0.46,0.6863635778427124,0.4000000059604645,0.485436886548996,0.07115928083658218,16,0.8304004669189453,0.6056337952613831,0.7975167036056519,0.5023255944252014,0.047125350683927536,0.7181817889213562,0.4854369163513184,0.8105560541152954,0.6387388706207275,0.8512409925460815,0.5052631497383118,0.5649717450141907,0.6857143044471741,0.6701298952102661,0.06717834621667862,0.5742776393890381,0.047125350683927536,0.6666666865348816,0.8422496318817139,0.7596153616905212,0.604651153087616,0.8512409925460815,0.7975167036056519,0.8400852084159851,0.6136363744735718,0.6341463327407837,0.8304004669189453,0.576433002948761,0.647965669631958,0.7195011377334595,0.8105560541152954,0.4854369163513184,0.811632513999939,0.8400852084159851,0.811632513999939,0.8182476758956909,0.75,0.6756756901741028
no_init_kenn_bottom_up_adapter_bert_ms,2,y3m45fk4,0.06409048289060593,0.04783106967806816,0.25,0.8061224222183228,0.4927065074443817,0.8429355025291443,0.7009804248809814,0.784301221370697,0.8201355338096619,0.784301221370697,0.17,0.6848484873771667,0.4166666567325592,0.49514561891555786,0.07100220024585724,17,0.8312675356864929,0.6103286147117615,0.8002711534500122,0.5106589198112488,0.04759660363197327,0.7181817889213562,0.49514564871788025,0.8117813467979431,0.6486602425575256,0.8517122268676758,0.5319148898124695,0.5795454382896423,0.7352941036224365,0.6770833134651184,0.06736953556537628,0.5798332691192627,0.048067860305309296,0.6666666865348816,0.8429355025291443,0.7596153616905212,0.604651153087616,0.8517122268676758,0.8002711534500122,0.8410111665725708,0.6181818246841431,0.6341463327407837,0.8312675356864929,0.5908719897270203,0.6498097777366638,0.736027717590332,0.8117813467979431,0.4902912676334381,0.8125619888305664,0.8410111665725708,0.8125619888305664,0.8201355338096619,0.7602339386940002,0.698630154132843
no_init_kenn_hybrid_adapter_bert_ms,1,m84aelov,0.0683317631483078,0.05655042082071304,0.25,0.8061224222183228,0.582524299621582,0.8491083383560181,0.77513587474823,0.783048689365387,0.8305085897445679,0.783048689365387,0.46,0.6681817770004272,0.36666667461395264,0.582524299621582,0.06927426159381866,21,0.8324379920959473,0.6525821685791016,0.8085106015205383,0.6251938343048096,0.05655042082071304,0.7181817889213562,0.582524299621582,0.8117341995239258,0.7150311470031738,0.8542255759239197,0.5301204919815063,0.6315789818763733,0.95652174949646,0.6984924674034119,0.06879978626966476,0.6561897993087769,0.05655042082071304,0.59375,0.8491083383560181,0.7596153616905212,0.8837209343910217,0.8542255759239197,0.8085106015205383,0.8537372350692749,0.6590908765792847,0.7102803587913513,0.8324379920959473,0.6921372413635254,0.6636052131652832,0.7854647636413574,0.8117341995239258,0.582524299621582,0.8147416114807129,0.8537372350692749,0.8147416114807129,0.8305085897445679,0.7513513565063477,0.6896551847457886
no_init_kenn_top_down_adapter_bert_ms,1,0je9rmgr,0.06974552571773529,0.059377942234277725,0.25,0.8061224222183228,0.6116504669189453,0.8511660099029541,0.7444946765899658,0.778544545173645,0.8305305242538452,0.778544545173645,0.4,0.6681817770004272,0.36666667461395264,0.6116504669189453,0.06927426904439926,21,0.8313943147659302,0.6666666865348816,0.8051060438156128,0.6600775122642517,0.059377942234277725,0.7181817889213562,0.6116504669189453,0.8089066743850708,0.7197056412696838,0.8551680445671082,0.5301204919815063,0.6206896305084229,0.95652174949646,0.6909975409507751,0.0695091038942337,0.6794456243515015,0.059377942234277725,0.5324675440788269,0.8511660099029541,0.7596153616905212,0.9534883499145508,0.8551680445671082,0.8051060438156128,0.857613205909729,0.6727272272109985,0.6833332777023315,0.8313943147659302,0.6997492909431458,0.6704468131065369,0.7650372982025146,0.8089066743850708,0.6116504669189453,0.8132372498512268,0.857613205909729,0.8132372498512268,0.8305305242538452,0.7171717286109924,0.6299999952316284
no_init_kenn_bottom_up_adapter_bert_ms,1,xgr5i4qm,0.06691800057888031,0.05372290313243866,0.25,0.8061224222183228,0.553398072719574,0.8470507264137268,0.8045454025268555,0.786123514175415,0.8305581212043762,0.786123514175415,0.52,0.6772727370262146,0.3499999940395355,0.553398072719574,0.07021677494049072,21,0.832253098487854,0.6384976506233215,0.8117783665657043,0.5936046242713928,0.05372289940714836,0.7181817889213562,0.553398072719574,0.8125196099281311,0.7100744247436523,0.8529688715934753,0.5121951103210449,0.6333333849906921,0.9545454382896424,0.7010309100151062,0.0685277134180069,0.6351304054260254,0.05372289940714836,0.6545454263687134,0.8470507264137268,0.7596153616905212,0.8372092843055725,0.8529688715934753,0.8117783665657043,0.8502273559570312,0.6454545259475708,0.7346938252449036,0.832253098487854,0.6831625699996948,0.6609809398651123,0.8050711154937744,0.8125196099281311,0.553398072719574,0.8154507279396057,0.8502273559570312,0.8154507279396057,0.8305581212043762,0.7771428823471069,0.7402597665786743
no_init_kenn_hybrid_adapter_bert_ms,0,svn09adi,0.06220546364784241,0.044297829270362854,0.25,0.8061224222183228,0.4563106894493103,0.8401920199394226,0.7933333516120911,0.7877813577651978,0.8233480453491211,0.7877813577651978,0.5800000000000001,0.6954545378684998,0.38333332538604736,0.4563106894493103,0.07210178673267365,34,0.831171989440918,0.591549277305603,0.8105325698852539,0.47073644399642944,0.044297829270362854,0.7181817889213562,0.4563106894493103,0.8134621381759644,0.6533018946647644,0.8496701717376709,0.5411764979362488,0.5731707215309143,0.9200000166893004,0.6774193048477173,0.06678902357816696,0.5532182455062866,0.044297829270362854,0.6666666865348816,0.8401920199394226,0.7596153616905212,0.5581395626068115,0.8496701717376709,0.8105325698852539,0.8365752696990967,0.6000000238418579,0.607594907283783,0.831171989440918,0.59087073802948,0.6442105770111084,0.7975963950157166,0.8134621381759644,0.4563106894493103,0.8131430149078369,0.8365752696990967,0.8131430149078369,0.8233480453491211,0.7924528121948242,0.7704917788505554
no_init_kenn_top_down_adapter_bert_ms,0,z0gj5wfm,0.0636192262172699,0.047125350683927536,0.25,0.8061224222183228,0.4854369163513184,0.8422496318817139,0.800595223903656,0.7871794700622559,0.8256388902664185,0.7871794700622559,0.5800000000000001,0.6909090876579285,0.38333332538604736,0.485436886548996,0.07163053750991821,34,0.8319369554519653,0.6056337952613831,0.8113394379615784,0.5056201219558716,0.047125350683927536,0.7181817889213562,0.4854369163513184,0.8137762546539307,0.6709414124488831,0.8509267568588257,0.5476190447807312,0.591715931892395,0.9583333134651184,0.6843501329421997,0.06738761067390442,0.5764740705490112,0.047125350683927536,0.6428571343421936,0.8422496318817139,0.7596153616905212,0.6279069781303406,0.8509267568588257,0.8113394379615784,0.8404512405395508,0.6136363744735718,0.6352941393852234,0.8319369554519653,0.61980140209198,0.6499841809272766,0.8024376630783081,0.8137762546539307,0.4854369163513184,0.8137839436531067,0.8404512405395508,0.8137839436531067,0.8256388902664185,0.7865853905677795,0.7575757503509521
no_init_kenn_bottom_up_adapter_bert_ms,0,ylqi3saj,0.06314796954393387,0.046182844787836075,0.25,0.8061224222183228,0.47572818398475647,0.8415637612342834,0.7770731449127197,0.7865384817123413,0.8236616253852844,0.7865384817123413,0.28,0.6863636374473572,0.38333332538604736,0.4757281541824341,0.07115928083658218,34,0.8313834071159363,0.6009389758110046,0.808725893497467,0.49399223923683167,0.046182844787836075,0.7181817889213562,0.47572818398475647,0.8131479620933533,0.6602033376693726,0.8504555225372314,0.5411764979362488,0.5798816680908203,0.9200000166893004,0.6790450811386108,0.06691468507051468,0.568722128868103,0.046182844787836075,0.6341463327407837,0.8415637612342834,0.7596153616905212,0.604651153087616,0.8504555225372314,0.808725893497467,0.8391592502593994,0.6090909242630005,0.6190476417541504,0.8313834071159363,0.6040099859237671,0.6454226970672607,0.7867562770843506,0.8131479620933533,0.47572818398475647,0.8131212592124939,0.8391592502593994,0.8131212592124939,0.8236616253852844,0.7804877758026123,0.7424242496490479
no_init_kenn_horizontal_adapter_bert_ms,2,rzetf3gj,0.062205467373132706,0.044297829270362854,0.25,0.8061224222183228,0.4563107192516327,0.8401920199394226,0.7382352948188782,0.7862644195556641,0.8200017809867859,0.7862644195556641,0.18000000000000002,0.689393937587738,0.4000000059604645,0.4563106894493103,0.07147344946861267,17,0.8304117918014526,0.591549277305603,0.8044105768203735,0.4674418568611145,0.044297829270362854,0.7181817889213562,0.4563107192516327,0.8115770816802979,0.6391603946685791,0.8501414060592651,0.5333333611488342,0.5628741979598999,0.800000011920929,0.671999990940094,0.06651818752288818,0.5510218739509583,0.044297829270362854,0.6764705777168274,0.8401920199394226,0.7596153616905212,0.5348837375640869,0.8501414060592651,0.8044105768203735,0.836209237575531,0.5999999642372131,0.5974026322364807,0.8304117918014526,0.5724286437034607,0.641598105430603,0.7608643770217896,0.8115770816802979,0.4563107192516327,0.8123341798782349,0.836209237575531,0.8123341798782349,0.8200017809867859,0.7777777910232544,0.734375
no_init_kenn_horizontal_adapter_bert_ms,1,gjo3vjox,0.06691800057888031,0.05372290313243866,0.25,0.8061224222183228,0.553398072719574,0.8470507264137268,0.8168953657150269,0.7871255874633789,0.8312757015228271,0.7871255874633789,0.55,0.6909090876579285,0.3499999940395355,0.553398072719574,0.07163053750991821,21,0.8326236605644226,0.6384976506233215,0.8131505846977234,0.5936046242713928,0.05372289940714836,0.7181817889213562,0.553398072719574,0.8132264614105225,0.713258683681488,0.8529688715934753,0.5121951103210449,0.6404494047164917,0.9545454382896424,0.7046631574630737,0.06919412314891815,0.6351304054260254,0.05372289940714836,0.6792452931404114,0.8470507264137268,0.7596153616905212,0.8372092843055725,0.8529688715934753,0.8131505846977234,0.8502273559570312,0.6454545259475708,0.75,0.8326236605644226,0.6875758171081543,0.6674087643623352,0.8133044242858887,0.8132264614105225,0.553398072719574,0.8159894347190857,0.8502273559570312,0.8159894347190857,0.8312757015228271,0.7861271500587463,0.7599999904632568
no_init_kenn_horizontal_adapter_bert_ms,0,ykb1kegt,0.07021677494049072,0.059845488518476486,0.25,0.8061224222183228,0.6164665818214417,0.8518518805503845,0.6540032625198364,0.7762500047683716,0.824898898601532,0.7762500047683716,0.060000000000000005,0.6878787875175476,0.44999998807907104,0.6213592290878296,0.07131636142730713,31,0.8306657671928406,0.67136150598526,0.7950514554977417,0.6552325487136841,0.059377945959568024,0.7181817889213562,0.6213592290878296,0.8065504431724548,0.6901686787605286,0.8562676310539246,0.5744680762290955,0.6124402284622192,0.7941176295280457,0.6858513355255127,0.07076229900121689,0.676215648651123,0.060320451855659485,0.5138888955116272,0.8518518805503845,0.7596153616905212,0.8604651093482971,0.8562676310539246,0.7950514554977417,0.8570748567581177,0.6772726774215698,0.643478274345398,0.8306657671928406,0.6546173095703125,0.6825345158576965,0.7047097086906433,0.8065504431724548,0.6116504669189453,0.81229567527771,0.8570748567581177,0.81229567527771,0.824898898601532,0.7009803652763367,0.6037735939025879
