name,instance,run_id,test/micro/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_WORK_OF_ART-SONG/macro_types/recall,epoch,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test/macro_example/f1,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_WORK_OF_ART/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_pretraining/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,threshold_pretraining,test/macro_example/recall,test_incremental/macro_types/recall,test_incremental_WORK_OF_ART/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_WORK_OF_ART-SONG/macro_types/precision,test_incremental_WORK_OF_ART/macro_types/f1,test_incremental_only/macro_example/f1,test/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test/macro_types/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/precision,test_incremental/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_WORK_OF_ART-BOOK/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_WORK_OF_ART-BOOK/macro_types/f1,test_incremental_WORK_OF_ART-SONG/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_types/f1,test/micro/precision,threshold_incremental,test_incremental/micro/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,wpgfxhjc,0.8388202786445618,0.553398072719574,0.38333332538604736,26,0.8474709391593933,0.05372290313243866,0.806063175201416,0.837658703327179,0.8183339238166809,0.7988243103027344,0.0715254694223404,0.8033686876296997,0.05372290313243866,0.7181817889213562,0.7409090995788574,0.679317831993103,0.8388202786445618,0.800000011920929,0.837658703327179,0.6898956894874573,0.6454545259475708,0.175,0.8474709391593933,0.6307376623153687,0.7979797720909119,0.553398072719574,0.8214285969734192,0.7559808492660522,0.05372290313243866,0.8280709981918335,0.8360145688056946,0.8418881893157959,0.8302223682403564,0.7906976938247681,0.6384976506233215,0.06691800057888031,0.8360145688056946,0.8028169274330139,0.8302223682403564,0.8280709981918335,0.7906976938247681,0.6551724672317505,0.8418881893157959,0.5870155096054077,0.7906976938247681,0.5227272510528564,0.553398072719574,0.8183339238166809,0.553398072719574,0.07681432366371155,0.7066628932952881,0.7988243103027344,0.02,0.710182785987854
no_init_box_kenn_bottom_up_adapter_bert_ms,0,w20ogb6h,0.8360767960548401,0.5145630836486816,0.3333333432674408,30,0.8455858826637268,0.04995287209749222,0.8276396989822388,0.8364159464836121,0.8172979950904846,0.7993442416191101,0.06922155618667603,0.8177531361579895,0.04995287209749222,0.7181817889213562,0.7136363983154297,0.6611227989196777,0.8360767960548401,0.8048780560493469,0.8364159464836121,0.6676733493804932,0.6272727251052856,0.175,0.8455858826637268,0.606319010257721,0.7979797720909119,0.5145630836486816,0.8695651888847351,0.7559808492660522,0.04995286837220192,0.8274426460266113,0.8352109789848328,0.8378183841705322,0.8326197862625122,0.7857142686843872,0.6197183132171631,0.06503298878669739,0.8352109789848328,0.8153846263885498,0.8326197862625122,0.8274426460266113,0.7674418687820435,0.6309523582458496,0.8378183841705322,0.5503876209259033,0.7764706015586853,0.4819277226924896,0.5145630836486816,0.8172979950904846,0.5145630836486816,0.07398680597543716,0.6963400840759277,0.7993442416191101,0.01,0.7002652883529663
no_init_kenn_hybrid_adapter_bert_ms,2,frc29bfa,0.8463648557662964,0.5338041186332703,0.46666666865348816,13,0.8537543416023254,0.0527803935110569,0.5210803747177124,0.8280169367790222,0.8052202463150024,0.767890453338623,0.06573226302862167,0.6160944104194641,0.05089537799358368,0.7181817889213562,0.6272727251052856,0.5393348336219788,0.8463648557662964,0.6398104429244995,0.8280169367790222,0.6340175867080688,0.6409090757369995,0.25,0.8537543416023254,0.612003743648529,0.8061224222183228,0.5436893701553345,0.4057970941066742,0.7596153616905212,0.051820747554302216,0.8037858009338379,0.8119849562644958,0.8463729023933411,0.7802822589874268,0.6363636255264282,0.6338028311729431,0.06644674390554428,0.8119849562644958,0.4955752193927765,0.7802822589874268,0.8037858009338379,0.6511628031730652,0.5185185074806213,0.8463729023933411,0.5589147210121155,0.6436781883239746,0.43410852551460266,0.5242718458175659,0.8052202463150024,0.5436893105506897,0.06503298878669739,0.6140422821044922,0.767890453338623,0.1,0.6367924809455872
no_init_kenn_top_down_adapter_bert_ms,2,fo3pefly,0.8518518805503845,0.5961007475852966,0.4833333194255829,14,0.8564248085021973,0.060320451855659485,0.4929149746894837,0.8278136849403381,0.8046647310256958,0.7624309659004211,0.06786268204450607,0.5973174571990967,0.05560791492462158,0.7181817889213562,0.6333333253860474,0.5601571202278137,0.8518518805503845,0.6137338876724243,0.8278136849403381,0.6545665264129639,0.6772727370262146,0.25,0.8564248085021973,0.6718229055404663,0.8061224222183228,0.6213592290878296,0.3717948794364929,0.7596153616905212,0.05786839872598648,0.801052451133728,0.8148281574249268,0.8563427925109863,0.7771527171134949,0.6140350699424744,0.67136150598526,0.07021677494049072,0.8148281574249268,0.4740740656852722,0.7771527171134949,0.801052451133728,0.8139534592628479,0.5378151535987854,0.8563427925109863,0.6486433744430542,0.699999988079071,0.42028987407684326,0.5728155374526978,0.8046647310256958,0.6213592290878296,0.06566132605075836,0.6323832273483276,0.7624309659004211,0.23,0.6412555575370789
no_init_kenn_bottom_up_adapter_bert_ms,2,e89sn7h5,0.8463648557662964,0.5338041186332703,0.46666666865348816,13,0.8537543416023254,0.0527803935110569,0.4886128306388855,0.8269069194793701,0.8039087653160095,0.7655087113380432,0.06573226302862167,0.5944494009017944,0.05089537799358368,0.7181817889213562,0.6272727251052856,0.5214046835899353,0.8463648557662964,0.625,0.8269069194793701,0.6340175867080688,0.6409090757369995,0.25,0.8537543416023254,0.612003743648529,0.8061224222183228,0.5436893701553345,0.4057970941066742,0.7596153616905212,0.051820747554302216,0.8016965389251709,0.8100273013114929,0.8463729023933411,0.776674747467041,0.5714285969734192,0.6338028311729431,0.06644674390554428,0.8100273013114929,0.47457626461982727,0.776674747467041,0.8016965389251709,0.6511628031730652,0.5067873001098633,0.8463729023933411,0.5589147210121155,0.6086956858634949,0.43410852551460266,0.5242718458175659,0.8039087653160095,0.5436893105506897,0.06503298878669739,0.6030989289283752,0.7655087113380432,0.08,0.6293706297874451
no_init_kenn_hybrid_adapter_bert_ms,1,753wawrg,0.8504801392555237,0.6019417643547058,0.36666667461395264,14,0.8548538684844971,0.058435436338186264,0.7385074496269226,0.8324054479598999,0.8147174715995789,0.7818410992622375,0.06887931376695633,0.7610458135604858,0.058435436338186264,0.7181817889213562,0.6606060266494751,0.6905547380447388,0.8504801392555237,0.74210524559021,0.8324054479598999,0.6643723249435425,0.6681817770004272,0.25,0.8548538684844971,0.671693742275238,0.8061224222183228,0.6019417643547058,0.8799999952316284,0.7596153616905212,0.058435436338186264,0.8111058473587036,0.8295705914497375,0.8563212156295776,0.8044407963752747,0.5970149040222168,0.6619718074798584,0.06927426904439926,0.8295705914497375,0.6739130616188049,0.8044407963752747,0.8111058473587036,0.930232584476471,0.6358974575996399,0.8563212156295776,0.6484496593475342,0.7272727489471436,0.5176470875740051,0.6019417643547058,0.8147174715995789,0.6019417643547058,0.06848884373903275,0.7135835886001587,0.7818410992622375,0.25,0.6997518539428711
no_init_kenn_top_down_adapter_bert_ms,1,rewcfcsm,0.8511660099029541,0.6116504669189453,0.36666667461395264,15,0.8551680445671082,0.059377942234277725,0.5737794041633606,0.8287312388420105,0.8095238208770752,0.771766185760498,0.06935059279203415,0.6512271165847778,0.059377942234277725,0.7181817889213562,0.6651514768600464,0.6139105558395386,0.8511660099029541,0.6698113083839417,0.8287312388420105,0.6689178943634033,0.6727272272109985,0.25,0.8551680445671082,0.6794456243515015,0.8061224222183228,0.6116504669189453,0.6285714507102966,0.7596153616905212,0.059377942234277725,0.803879976272583,0.8203215003013611,0.857613205909729,0.7861377000808716,0.5189873576164246,0.6666666865348816,0.06974552571773529,0.8203215003013611,0.5526315569877625,0.7861377000808716,0.803879976272583,0.9534883499145508,0.5806450843811035,0.857613205909729,0.6600775122642517,0.6721311211585999,0.4631578922271729,0.6116504669189453,0.8095238208770752,0.6116504669189453,0.06896010041236877,0.6650371551513672,0.771766185760498,0.26,0.6682353019714355
no_init_kenn_bottom_up_adapter_bert_ms,1,l9xoy2m7,0.8504801392555237,0.6019417643547058,0.36666667461395264,14,0.8548538684844971,0.058435436338186264,0.7341176271438599,0.8322399854660034,0.8144499659538269,0.781348466873169,0.06911682337522507,0.7581192255020142,0.058435436338186264,0.7181817889213562,0.6651514768600464,0.6886295676231384,0.8504801392555237,0.7382199168205261,0.8322399854660034,0.6666631698608398,0.6681817770004272,0.25,0.8548538684844971,0.6716936826705933,0.8061224222183228,0.6019417643547058,0.8799999952316284,0.7596153616905212,0.058435436338186264,0.8107917308807373,0.8293112516403198,0.8563212156295776,0.8039530515670776,0.5882353186607361,0.6619718074798584,0.06927426904439926,0.8293112516403198,0.6666666865348816,0.8039530515670776,0.8107917308807373,0.930232584476471,0.6326531171798706,0.8563212156295776,0.6484496593475342,0.7207207679748535,0.5176470875740051,0.6019417643547058,0.8144499659538269,0.6019417643547058,0.06896010041236877,0.7122943997383118,0.781348466873169,0.18000000000000002,0.698019802570343
no_init_kenn_hybrid_adapter_bert_ms,0,536ek302,0.8518518805503845,0.6213592290878296,0.4000000059604645,13,0.8557963967323303,0.060320448130369186,0.7511520385742188,0.8334561586380005,0.8165680766105652,0.7840909361839294,0.06990119069814682,0.7694755792617798,0.060320448130369186,0.7181817889213562,0.6712120771408081,0.7055209279060364,0.8518518805503845,0.7606382966041565,0.8334561586380005,0.6742287278175354,0.6772726774215698,0.25,0.8557963967323303,0.6828048229217529,0.8061224222183228,0.6213592290878296,0.8571428656578064,0.7596153616905212,0.060320448130369186,0.8122525215148926,0.8311865925788879,0.8581730723381042,0.8058457374572754,0.6451612710952759,0.67136150598526,0.07021677494049072,0.8311865925788879,0.7111111283302307,0.8058457374572754,0.8122525215148926,0.930232584476471,0.6632124185562134,0.8581730723381042,0.6651163101196289,0.7619047164916992,0.5454545617103577,0.6213592290878296,0.8165680766105652,0.6213592290878296,0.06958843767642975,0.7235540151596069,0.7840909361839294,0.36000000000000004,0.7132169604301453
no_init_kenn_top_down_adapter_bert_ms,0,h2kiwzn2,0.8525377511978149,0.6310679912567139,0.4166666567325592,14,0.8562676906585693,0.061262957751750946,0.7435344457626343,0.83332359790802,0.8164203763008118,0.7832388281822205,0.07068802416324615,0.764397144317627,0.061262957751750946,0.7181817889213562,0.6818181872367859,0.7067588567733765,0.8525377511978149,0.753926694393158,0.83332359790802,0.6818181872367859,0.6818181276321411,0.25,0.8562676906585693,0.6883603930473328,0.8061224222183228,0.6310679912567139,0.8620689511299133,0.7596153616905212,0.061262957751750946,0.8115770816802979,0.8311697840690613,0.8590990304946899,0.8049993515014648,0.625,0.6760563254356384,0.07068802416324615,0.8311697840690613,0.698924720287323,0.8049993515014648,0.8115770816802979,0.930232584476471,0.6632652878761292,0.8590990304946899,0.6734496355056763,0.7476636171340942,0.5617977380752563,0.6310679912567139,0.8164203763008118,0.6310679316520691,0.07068802416324615,0.7243888974189758,0.7832388281822205,0.45,0.712871253490448
no_init_kenn_bottom_up_adapter_bert_ms,0,hwrkleev,0.8518518805503845,0.6213592290878296,0.4000000059604645,13,0.8557964563369751,0.060320451855659485,0.7410714626312256,0.8336793780326843,0.8160315752029419,0.7831021547317505,0.07052954286336899,0.7627551555633545,0.060320451855659485,0.7181817889213562,0.6833333373069763,0.7010425329208374,0.8518518805503845,0.7526316046714783,0.8336793780326843,0.6802895665168762,0.6772726774215698,0.25,0.8557964563369751,0.6828048229217529,0.8061224222183228,0.6213592290878296,0.8571428656578064,0.7596153616905212,0.060320451855659485,0.812676727771759,0.8305904865264893,0.8581730723381042,0.804725706577301,0.625,0.67136150598526,0.07021677494049072,0.8305904865264893,0.695652186870575,0.804725706577301,0.812676727771759,0.930232584476471,0.656410276889801,0.8581730723381042,0.6651163101196289,0.7476636171340942,0.5454545617103577,0.6213592290878296,0.8160315752029419,0.6213592290878296,0.0708451122045517,0.7205690741539001,0.7831021547317505,0.22,0.7096774578094482
no_init_kenn_horizontal_adapter_bert_ms,2,p7anvukj,0.8504801392555237,0.5844579935073853,0.4833333194255829,13,0.8559535145759583,0.058435432612895966,0.5435185432434082,0.8275096416473389,0.8088715076446533,0.7711442708969116,0.06935271620750427,0.6310531497001648,0.05513666197657585,0.7181817889213562,0.6696969270706177,0.5815860033035278,0.8504801392555237,0.6650943160057068,0.8275096416473389,0.6689384579658508,0.6681817770004272,0.25,0.8559535145759583,0.6563190221786499,0.8061224222183228,0.6019417643547058,0.5370370149612427,0.7596153616905212,0.05673814192414284,0.8008953928947449,0.8167276382446289,0.8537588119506836,0.782775342464447,0.550000011920929,0.6619718074798584,0.06927426159381866,0.8167276382446289,0.5438596606254578,0.782775342464447,0.8008953928947449,0.7674418687820435,0.5714285969734192,0.8537588119506836,0.6253876090049744,0.6407766938209534,0.5087718963623047,0.5679612159729004,0.8088715076446533,0.6019417643547058,0.0694313496351242,0.6434381604194641,0.7711442708969116,0.060000000000000005,0.6635293364524841
no_init_kenn_horizontal_adapter_bert_ms,1,9newrf7o,0.8511660099029541,0.6116504669189453,0.36666667461395264,14,0.8551680445671082,0.059377942234277725,0.755384624004364,0.8324716091156006,0.8159105777740479,0.7834596037864685,0.07005828619003296,0.7722972631454468,0.059377942234277725,0.7181817889213562,0.678787887096405,0.704522430896759,0.8511660099029541,0.7553191781044006,0.8324716091156006,0.6757439970970154,0.6727272272109985,0.25,0.8551680445671082,0.6794456243515015,0.8061224222183228,0.6116504669189453,0.8799999952316284,0.7596153616905212,0.059377942234277725,0.8109487295150757,0.8311738967895508,0.857613205909729,0.8063160181045532,0.6307692527770996,0.6666666865348816,0.06974552571773529,0.8311738967895508,0.699999988079071,0.8063160181045532,0.8109487295150757,0.9534883499145508,0.6528497338294983,0.857613205909729,0.6600775122642517,0.7592592835426331,0.5176470875740051,0.6116504669189453,0.8159105777740479,0.6116504669189453,0.07037386298179626,0.7229021191596985,0.7834596037864685,0.19,0.7082294225692749
no_init_kenn_horizontal_adapter_bert_ms,0,4unhbl11,0.8662551641464233,0.7871546745300293,0.699999988079071,13,0.8653784990310669,0.08011309802532196,0.3399208188056946,0.8183853030204773,0.7876520156860352,0.7221269011497498,0.07931990921497345,0.4953213930130005,0.0730443000793457,0.7181817889213562,0.7575757503509521,0.4856334626674652,0.8662551641464233,0.4645892381668091,0.8183853030204773,0.7650765180587769,0.7727272510528564,0.25,0.8653784990310669,0.8060606122016907,0.8061224222183228,0.8252427577972412,0.38532111048698425,0.7596153616905212,0.07641557604074478,0.7762330770492554,0.8151459693908691,0.8787157535552979,0.7601534128189087,0.2945205569267273,0.7699530720710754,0.08011309802532196,0.8151459693908691,0.3333333432674408,0.7601534128189087,0.7762330770492554,1.0,0.4748603701591492,0.8787157535552979,0.8500000238418579,0.45502644777297974,0.4970414638519287,0.7524272203445435,0.7876520156860352,0.8252426981925964,0.07854225486516953,0.6135923862457275,0.7221269011497498,0.02,0.5795052647590637
