name,instance,run_id,test_pretraining/macro_example/precision,epoch,test_pretraining/micro/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test_incremental/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_types/precision,test/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_visual_art-color/macro_types/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test/micro/recall,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_incremental_visual_art/macro_types/precision,test/macro_example/f1,test_incremental_visual_art/macro_types/f1,test/micro/precision,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/micro/f1,test_pretraining/micro/precision,test_incremental_visual_art-color/macro_types/f1,test_incremental_visual_art-color/macro_types/precision,test/micro/f1,test/macro_types/f1,test_incremental/macro_types/recall,test_incremental_visual_art/macro_types/recall,test/macro_types/precision,test_pretraining/macro_example/recall,threshold_incremental,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision
smart_init_box_adapter_bert_ms,1,bxsx0pbg,0.9245187044143676,23,0.8922015428543091,0.8793859481811523,0.8235293626785278,0.00730688963085413,0.7000000476837158,0.25,0.8157181143760681,0.8138940334320068,0.9772727489471436,0.8924275636672974,0.9057817459106444,0.699999988079071,0.7000000476837158,0.699999988079071,0.008350730873644352,0.746666669845581,0.8138940334320068,0.8793859481811523,0.9245187044143676,0.9767441749572754,1.0,0.00730688963085413,0.007794015109539032,0.699999988079071,0.7000000476837158,0.7000000476837158,0.699999988079071,0.8513535857200623,0.9545454382896424,0.9150543212890624,0.807692289352417,0.9053962230682372,0.8155339360237122,0.9150543212890624,0.007306889165192843,0.00730688963085413,0.8235293626785278,0.9053962230682372,0.8235293626785278,1.0,0.8922015428543091,0.8513535857200623,0.699999988079071,0.699999988079071,0.8924275636672974,0.9057817459106444,0.52,1.0,0.8000000715255737
smart_init_box_adapter_bert_ms,0,xhfonzjs,0.9248666763305664,33,0.892595112323761,0.8802631497383118,0.8928570747375488,0.008698677644133568,0.8333333730697632,0.25,0.8517367243766785,0.8165607452392578,0.9580419063568116,0.891658365726471,0.9065355658531188,0.8333333134651184,0.833333432674408,0.8333333134651184,0.008698677644133568,0.7986111044883728,0.8165607452392578,0.8802631497383118,0.9248666763305664,0.9583333134651184,0.9615384340286256,0.008698677644133568,0.008336232975125313,0.8333333134651184,0.7666667103767395,0.8333333730697632,0.7666666507720947,0.8524588346481323,0.9545454382896424,0.9156093597412108,0.807692289352417,0.9052774310112,0.8518518805503845,0.9156093597412108,0.008002783171832561,0.008698677644133568,0.8928570747375488,0.9052774310112,0.8928570747375488,0.9615384340286256,0.892595112323761,0.8524588346481323,0.7666666507720947,0.699999988079071,0.891658365726471,0.9065355658531188,0.06999999999999999,0.9615384340286256,0.8333333730697632
no_init_kenn_horizontal_adapter_bert_ms,2,3lmmx70u,0.9257712960243224,59,0.9050772786140442,0.8991228342056274,0.7567567229270935,0.00974251888692379,0.9333333969116212,0.375,0.8646287322044373,0.8629761934280396,0.8181818127632141,0.8989309072494507,0.9144166707992554,0.9333333373069764,0.9333333969116212,0.9333333373069764,0.00974251888692379,0.9249249696731568,0.8629761934280396,0.8991228342056274,0.9257712960243224,0.7746478915214539,0.6363636255264282,0.00974251888692379,0.009654748253524303,0.9333333373069764,0.9166666865348816,0.9333333969116212,0.9166666865348816,0.8805867433547974,1.0,0.9200589060783386,0.9473683834075928,0.9111111164093018,0.8396946787834167,0.9200589060783386,0.00956854596734047,0.00974251888692379,0.7567567229270935,0.9111111164093018,0.7567567229270935,0.6363636255264282,0.9050772786140442,0.8805867433547974,0.9166666269302368,0.8999999761581421,0.8989309072494507,0.9144166707992554,0.4,0.6363636255264282,0.9333333969116212
no_init_kenn_horizontal_adapter_bert_ms,1,tfncjgqu,0.9283229112625122,289,0.9055894017219543,0.8971491456031799,0.7755101919174194,0.0066109951585531235,0.6333333849906921,0.375,0.8679245114326477,0.8569762110710144,1.0,0.9062036275863647,0.9129088521003724,0.6333333253860474,0.6333333849906921,0.6333333253860474,0.009394572116434574,0.828000009059906,0.8569762110710144,0.8971491456031799,0.9283229112625122,1.0,1.0,0.0066109951585531235,0.008643006905913353,0.6333333253860474,0.7666667103767395,0.6333333849906921,0.7666666507720947,0.8809027075767517,1.0,0.9205513596534728,0.9473683834075928,0.9141899347305298,0.8679245114326477,0.9205513596534728,0.008002784103155136,0.006610995624214411,0.7755101919174194,0.9141899347305298,0.7755101919174194,1.0,0.9055894017219543,0.8809027075767517,0.7666666507720947,0.8999999761581421,0.9062036275863647,0.9129088521003724,0.99,1.0,0.9000000357627869
no_init_kenn_horizontal_adapter_bert_ms,0,1tx4prs3,0.9283809065818788,221,0.9063156843185424,0.8984649181365967,0.9090909361839294,0.008698677644133568,0.8333333730697632,0.375,0.9285714626312256,0.8609762191772461,1.0,0.9062036275863647,0.9140686988830566,0.8333333134651184,0.833333432674408,0.8333333134651184,0.009394572116434574,0.8830189108848572,0.8609762191772461,0.8984649181365967,0.9283809065818788,1.0,1.0,0.008698677644133568,0.009217316284775734,0.8333333134651184,0.8666666746139526,0.8333333730697632,0.8666666746139526,0.8830112218856812,1.0,0.9211691617965698,0.9473683834075928,0.9143048524856568,0.9285714626312256,0.9211691617965698,0.009046625345945358,0.008698677644133568,0.9090909361839294,0.9143048524856568,0.9090909361839294,1.0,0.9063156843185424,0.8830112218856812,0.8666666746139526,0.8999999761581421,0.9062036275863647,0.9140686988830566,0.9,1.0,0.9000000357627869
no_init_kenn_hybrid_adapter_bert_ms,2,5nqkfj6f,0.922552764415741,59,0.9024094939231871,0.8993421196937561,0.5631068348884583,0.01009046658873558,0.9666666984558104,0.375,0.799104630947113,0.8636428713798523,0.698630154132843,0.8941488265991211,0.91459059715271,0.9666666388511658,0.9666666984558104,0.9666666388511658,0.01009046658873558,0.9497076272964478,0.8636428713798523,0.8993421196937561,0.922552764415741,0.5600000023841858,0.3972602784633637,0.01009046658873558,0.00991344079375267,0.9666666388511658,0.9333333373069764,0.9666666984558104,0.9333333373069764,0.8786311149597168,1.0,0.918554425239563,0.9473683834075928,0.905497908592224,0.7000000476837158,0.918554425239563,0.00974251888692379,0.01009046658873558,0.5631068348884583,0.905497908592224,0.5631068348884583,0.3972602784633637,0.9024094939231871,0.8786311149597168,0.9333332777023317,0.8999999761581421,0.8941488265991211,0.91459059715271,0.05,0.3972602784633637,0.9666666984558104
no_init_kenn_top_down_adapter_bert_ms,2,xyezgh84,0.9231326580047609,59,0.9029062390327454,0.8993421196937561,0.59183669090271,0.01009046658873558,0.9666666984558104,0.375,0.8085739016532898,0.8636428713798523,0.7132352590560913,0.8947330713272095,0.91459059715271,0.9666666388511658,0.9666666984558104,0.9666666388511658,0.01009046658873558,0.9497076272964478,0.8636428713798523,0.8993421196937561,0.9231326580047609,0.5894736647605896,0.4264705777168274,0.01009046658873558,0.00991344079375267,0.9666666388511658,0.9333333373069764,0.9666666984558104,0.9333333373069764,0.8789131045341492,1.0,0.9188417792320251,0.9473683834075928,0.9064986705780028,0.72258061170578,0.9188417792320251,0.00974251888692379,0.01009046658873558,0.59183669090271,0.9064986705780028,0.59183669090271,0.4264705777168274,0.9029062390327454,0.8789131045341492,0.9333332777023317,0.8999999761581421,0.8947330713272095,0.91459059715271,0.24,0.4264705777168274,0.9666666984558104
no_init_kenn_bottom_up_adapter_bert_ms,2,yocrwixk,0.9238286018371582,59,0.9033039212226868,0.8993421196937561,0.6170212626457214,0.01009046658873558,0.9666666984558104,0.375,0.8170693516731262,0.8636428713798523,0.7265625,0.8952661156654358,0.91459059715271,0.9666666388511658,0.9666666984558104,0.9666666388511658,0.01009046658873558,0.9497076272964478,0.8636428713798523,0.8993421196937561,0.9238286018371582,0.6153846383094788,0.453125,0.01009046658873558,0.00991344079375267,0.9666666388511658,0.9333333373069764,0.9666666984558104,0.9333333373069764,0.8791702389717102,1.0,0.9191863536834716,0.9473683834075928,0.9073008894920348,0.7417218685150146,0.9191863536834716,0.00974251888692379,0.01009046658873558,0.6170212626457214,0.9073008894920348,0.6170212626457214,0.453125,0.9033039212226868,0.8791702389717102,0.9333332777023317,0.8999999761581421,0.8952661156654358,0.91459059715271,0.08,0.453125,0.9666666984558104
no_init_kenn_hybrid_adapter_bert_ms,1,2kvdjeru,0.9283809065818788,287,0.9059526920318604,0.8978070020675659,0.8461538553237915,0.007654836867004633,0.7333333492279053,0.375,0.899082601070404,0.8589761853218079,1.0,0.9062036275863647,0.9134307503700256,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.009394572116434574,0.8563107252120972,0.8589761853218079,0.8978070020675659,0.9283809065818788,1.0,1.0,0.007654836867004633,0.008938525803387165,0.7333333492279053,0.8166667222976685,0.7333333492279053,0.8166666626930237,0.8819580674171448,1.0,0.9208451509475708,0.9473683834075928,0.914247453212738,0.899082601070404,0.9208451509475708,0.008524704724550247,0.007654836867004633,0.8461538553237915,0.914247453212738,0.8461538553237915,1.0,0.9059526920318604,0.8819580674171448,0.8166666626930237,0.8999999761581421,0.9062036275863647,0.9134307503700256,0.99,1.0,0.9000000357627869
no_init_kenn_top_down_adapter_bert_ms,1,1g77372a,0.9283809065818788,287,0.9059526920318604,0.8978070020675659,0.8461538553237915,0.007654836867004633,0.7333333492279053,0.375,0.899082601070404,0.8589761853218079,1.0,0.9062036275863647,0.9134307503700256,0.7333333492279053,0.7333333492279053,0.7333333492279053,0.009394572116434574,0.8563107252120972,0.8589761853218079,0.8978070020675659,0.9283809065818788,1.0,1.0,0.007654836867004633,0.008938525803387165,0.7333333492279053,0.8166667222976685,0.7333333492279053,0.8166666626930237,0.8819580674171448,1.0,0.9208451509475708,0.9473683834075928,0.914247453212738,0.899082601070404,0.9208451509475708,0.008524704724550247,0.007654836867004633,0.8461538553237915,0.914247453212738,0.8461538553237915,1.0,0.9059526920318604,0.8819580674171448,0.8166666626930237,0.8999999761581421,0.9062036275863647,0.9134307503700256,0.99,1.0,0.9000000357627869
