name,instance,run_id,test/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,epoch,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,test_incremental_visual_art-color/macro_types/recall,test_pretraining/macro_types/precision,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_visual_art/macro_types/precision,test_incremental_visual_art-color/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/micro/recall,test_incremental_visual_art/macro_types/recall,threshold_incremental,threshold_pretraining,test_pretraining/macro_example/f1,test_incremental_visual_art/macro_types/f1,test_incremental_visual_art-color/macro_types/f1,test/micro/f1,test/micro/recall,test/macro_types/f1,test/micro/precision,test/macro_example/f1,test_pretraining/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test_incremental/micro/f1,test_pretraining/macro_example/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/recall,test/macro_types/precision,test_incremental/macro_example_exclusive/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,60mm903t,0.8178940415382385,0.9053201079368592,0.7999999523162842,0.9000000357627869,0.931034505367279,0.959999978542328,0.9594155550003052,0.8999999761581421,0.9000000357627869,29,0.8178940415382385,0.009394572116434574,0.8999999761581421,0.8917133212089539,0.8928412199020386,0.9000000357627869,0.008841950446367264,0.9642857313156128,0.9000000357627869,0.9248666763305664,0.931034505367279,0.8724856972694397,0.9545454382896424,0.9642857313156128,0.8532099723815918,0.800000011920929,0.699999988079071,0.01,0.25,0.91572767496109,0.807692289352417,0.931034505367279,0.8928412199020386,0.8807017803192139,0.8532099723815918,0.9053201079368592,0.91572767496109,0.8807017803192139,0.8470588326454163,0.009394572116434574,0.8999999761581421,0.8727272748947144,0.9248666763305664,0.008350730873644352,0.009394572116434574,0.009394572116434574,0.9067675471305848,0.9642857313156128,0.9067675471305848,0.8917133212089539,0.800000011920929
no_init_box_kenn_bottom_up_adapter_bert_ms,0,adusx01d,0.8172273635864258,0.9055029153823853,0.7833333015441895,0.9000000357627869,0.9285714626312256,0.9791666865348816,0.9772727489471436,0.8666666746139526,0.8666666746139526,29,0.8172273635864258,0.009394572116434574,0.8666666746139526,0.8924275636672974,0.8928174376487732,0.8666666746139526,0.008743462152779102,1.0,0.8666666746139526,0.9248666763305664,0.9285714626312256,0.8696213364601135,0.9545454382896424,1.0,0.8531736135482788,0.7833333611488342,0.699999988079071,0.04,0.25,0.9156389236450196,0.807692289352417,0.9285714626312256,0.8928174376487732,0.8804824352264404,0.8531736135482788,0.9055029153823853,0.9156389236450196,0.8804824352264404,0.8376237750053406,0.009046625345945358,0.8666666746139526,0.8703703880310059,0.9248666763305664,0.008176757022738457,0.009046625345945358,0.009046625345945358,0.9065935611724854,1.0,0.9065935611724854,0.8924275636672974,0.7833333611488342
smart_init_box_adapter_bert_ms,2,0xrpyn2b,0.8165607452392578,0.9054816365242004,0.7666666507720947,0.9000000357627869,0.9090909361839294,0.978723406791687,0.9772727489471436,0.8333333134651184,0.8333333730697632,35,0.8165607452392578,0.009394572116434574,0.8333333134651184,0.8924275636672974,0.8926942944526672,0.833333432674408,0.008643006905913353,1.0,0.8333333730697632,0.9248666763305664,0.9090909361839294,0.8592528104782104,0.9545454382896424,1.0,0.8528102040290833,0.7666666507720947,0.699999988079071,0.41,0.25,0.9155502915382384,0.807692289352417,0.9090909361839294,0.8926942944526672,0.8802631497383118,0.8528102040290833,0.9054816365242004,0.9155502915382384,0.8802631497383118,0.8279999494552612,0.008698677644133568,0.8333333134651184,0.8598130941390991,0.9248666763305664,0.008002784103155136,0.008698677644133568,0.008698677644133568,0.9064196348190308,1.0,0.9064196348190308,0.8924275636672974,0.7666666507720947
smart_init_box_adapter_bert_ms,1,lk7x55kw,0.8152273893356323,0.9054389595985411,0.7333333492279053,0.8333333730697632,0.8679245114326477,0.9777777791023254,0.9772727489471436,0.7666666507720947,0.7666666507720947,31,0.8152273893356323,0.008698677644133568,0.7666666507720947,0.8924275636672974,0.8924480080604553,0.7666666507720947,0.008143443614244461,1.0,0.7666666507720947,0.9245187044143676,0.8679245114326477,0.8379096984863281,0.9545454382896424,1.0,0.8520824313163757,0.7333333492279053,0.699999988079071,0.35000000000000003,0.25,0.915202260017395,0.807692289352417,0.8679245114326477,0.8924480080604553,0.8798245787620544,0.8520824313163757,0.9054389595985411,0.915202260017395,0.8798245787620544,0.7801418900489807,0.008002784103155136,0.7666666507720947,0.8380953073501587,0.9245187044143676,0.007654836867004633,0.008002784103155136,0.008002784103155136,0.906071662902832,1.0,0.906071662902832,0.8924275636672974,0.7333333492279053
smart_init_box_adapter_bert_ms,0,z4131gxh,0.8178940415382385,0.9053201079368592,0.7999999523162842,0.9000000357627869,0.931034505367279,0.959999978542328,0.9594155550003052,0.8999999761581421,0.9000000357627869,30,0.8178940415382385,0.009394572116434574,0.8999999761581421,0.8917133212089539,0.8928412199020386,0.9000000357627869,0.008841950446367264,0.9642857313156128,0.9000000357627869,0.9248666763305664,0.931034505367279,0.8724856972694397,0.9545454382896424,0.9642857313156128,0.8532099723815918,0.800000011920929,0.699999988079071,0.12,0.25,0.91572767496109,0.807692289352417,0.931034505367279,0.8928412199020386,0.8807017803192139,0.8532099723815918,0.9053201079368592,0.91572767496109,0.8807017803192139,0.8470588326454163,0.009394572116434574,0.8999999761581421,0.8727272748947144,0.9248666763305664,0.008350730873644352,0.009394572116434574,0.009394572116434574,0.9067675471305848,0.9642857313156128,0.9067675471305848,0.8917133212089539,0.800000011920929
no_init_kenn_horizontal_adapter_bert_ms,2,2p37fmsz,0.8636428713798523,0.9107261896133424,0.9333332777023317,0.9666666984558104,0.7532467246055603,0.7567567825317383,0.8085106611251831,0.9666666388511658,0.9666666984558104,34,0.8636428713798523,0.01009046658873558,0.9666666388511658,0.8985440731048584,0.9049983024597168,0.9666666984558104,0.00991344079375267,0.6170212626457214,0.9666666984558104,0.9255973100662231,0.7532467246055603,0.8664494752883911,1.0,0.6170212626457214,0.8807477951049805,0.9333333373069764,0.8999999761581421,0.33,0.375,0.9200610518455504,0.9473683834075928,0.7532467246055603,0.9049983024597168,0.8993421196937561,0.8807477951049805,0.9107261896133424,0.9200610518455504,0.8993421196937561,0.9497076272964478,0.01009046658873558,0.9666666388511658,0.8358209133148193,0.9255973100662231,0.00974251888692379,0.01009046658873558,0.01009046658873558,0.91459059715271,0.6170212626457214,0.91459059715271,0.8985440731048584,0.9333333373069764
no_init_kenn_horizontal_adapter_bert_ms,1,fqat9lih,0.8596428632736206,0.9142665863037108,0.8333333134651184,0.9000000357627869,0.8679245114326477,1.0,1.0,0.7666666507720947,0.7666666507720947,126,0.8596428632736206,0.009394572116434574,0.7666666507720947,0.9062036275863647,0.9060736894607544,0.7666666507720947,0.009033242240548134,1.0,0.7666666507720947,0.9283809065818788,0.8679245114326477,0.9090909361839294,1.0,1.0,0.8823094367980957,0.8333333134651184,0.8999999761581421,0.98,0.375,0.9209335446357728,0.9473683834075928,0.8679245114326477,0.9060736894607544,0.8980262875556946,0.8823094367980957,0.9142665863037108,0.9209335446357728,0.8980262875556946,0.8653846979141235,0.008002784103155136,0.7666666507720947,0.9090909361839294,0.9283809065818788,0.008698677644133568,0.008002784103155136,0.008002784103155136,0.913604736328125,1.0,0.913604736328125,0.9062036275863647,0.8333333730697632
no_init_kenn_horizontal_adapter_bert_ms,0,1cf2g6n3,0.8623095154762268,0.9143430590629578,0.8999999761581421,0.9000000357627869,0.9473683834075928,1.0,1.0,0.8999999761581421,0.9000000357627869,222,0.8623095154762268,0.009394572116434574,0.8999999761581421,0.9062036275863647,0.906557559967041,0.9000000357627869,0.009394572116434574,1.0,0.9000000357627869,0.9283809065818788,0.9473683834075928,0.9473683834075928,1.0,1.0,0.8837118744850159,0.8999999761581421,0.8999999761581421,0.97,0.375,0.9212870001792908,0.9473683834075928,0.9473683834075928,0.906557559967041,0.898903489112854,0.8837118744850159,0.9143430590629578,0.9212870001792908,0.898903489112854,0.9000000357627869,0.009394572116434574,0.8999999761581421,0.9473683834075928,0.9283809065818788,0.009394572116434574,0.009394572116434574,0.009394572116434574,0.9143006801605223,1.0,0.9143006801605223,0.9062036275863647,0.9000000357627869
no_init_kenn_hybrid_adapter_bert_ms,2,3j3tyhv1,0.864309549331665,0.8997586965560913,0.949999988079071,1.0,0.451127827167511,0.4384615421295166,0.6456310749053955,1.0,1.0,34,0.864309549331665,0.010438413359224796,1.0,0.8920288681983948,0.899660050868988,1.0,0.010170761495828629,0.291262149810791,1.0,0.9199721813201904,0.451127827167511,0.7687860727310181,1.0,0.291262149810791,0.8779504895210266,0.949999988079071,0.8999999761581421,0.04,0.375,0.9173609614372252,0.9473683834075928,0.451127827167511,0.899660050868988,0.8995614051818848,0.8779504895210266,0.8997586965560913,0.9173609614372252,0.8995614051818848,0.9743589162826538,0.010438413359224796,1.0,0.5999999642372131,0.9199721813201904,0.009916492737829683,0.010438413359224796,0.010438413359224796,0.9147645235061646,0.291262149810791,0.9147645235061646,0.8920288681983948,0.949999988079071
no_init_kenn_top_down_adapter_bert_ms,2,1idaudqj,0.864309549331665,0.9007465839385986,0.949999988079071,1.0,0.46875,0.4560000002384186,0.6530612111091614,1.0,1.0,34,0.864309549331665,0.010438413359224796,1.0,0.8923261165618896,0.900153636932373,1.0,0.010170761495828629,0.30612245202064514,1.0,0.9201461672782898,0.46875,0.7740292549133301,1.0,0.30612245202064514,0.8780943751335144,0.949999988079071,0.8999999761581421,0.18000000000000002,0.375,0.9174474477767944,0.9473683834075928,0.46875,0.900153636932373,0.8995614051818848,0.8780943751335144,0.9007465839385986,0.9174474477767944,0.8995614051818848,0.9743589162826538,0.010438413359224796,1.0,0.6162161827087402,0.9201461672782898,0.009916492737829683,0.010438413359224796,0.010438413359224796,0.9147645235061646,0.30612245202064514,0.9147645235061646,0.8923261165618896,0.949999988079071
no_init_kenn_bottom_up_adapter_bert_ms,2,2hsm278u,0.864309549331665,0.9027288556098938,0.949999988079071,1.0,0.508474588394165,0.4956521689891815,0.6704545617103577,1.0,1.0,34,0.864309549331665,0.010438413359224796,1.0,0.893021821975708,0.901142418384552,1.0,0.010170761495828629,0.34090909361839294,1.0,0.9215669631958008,0.508474588394165,0.7861150503158569,1.0,0.34090909361839294,0.8784311413764954,0.949999988079071,0.8999999761581421,0.060000000000000005,0.375,0.9181531071662904,0.9473683834075928,0.508474588394165,0.901142418384552,0.8995614051818848,0.8784311413764954,0.9027288556098938,0.9181531071662904,0.8995614051818848,0.9743589162826538,0.010438413359224796,1.0,0.6514285802841187,0.9215669631958008,0.009916492737829683,0.010438413359224796,0.010438413359224796,0.9147645235061646,0.34090909361839294,0.9147645235061646,0.893021821975708,0.949999988079071
no_init_kenn_hybrid_adapter_bert_ms,1,3bugfgq8,0.8596428632736206,0.9142665863037108,0.8333333134651184,0.9000000357627869,0.8679245114326477,1.0,1.0,0.7666666507720947,0.7666666507720947,127,0.8596428632736206,0.009394572116434574,0.7666666507720947,0.9062036275863647,0.9060736894607544,0.7666666507720947,0.009033242240548134,1.0,0.7666666507720947,0.9283809065818788,0.8679245114326477,0.9090909361839294,1.0,1.0,0.8823094367980957,0.8333333134651184,0.8999999761581421,0.99,0.375,0.9209335446357728,0.9473683834075928,0.8679245114326477,0.9060736894607544,0.8980262875556946,0.8823094367980957,0.9142665863037108,0.9209335446357728,0.8980262875556946,0.8653846979141235,0.008002784103155136,0.7666666507720947,0.9090909361839294,0.9283809065818788,0.008698677644133568,0.008002784103155136,0.008002784103155136,0.913604736328125,1.0,0.913604736328125,0.9062036275863647,0.8333333730697632
no_init_kenn_top_down_adapter_bert_ms,1,1jbz1ua8,0.8596428632736206,0.9142665863037108,0.8333333134651184,0.9000000357627869,0.8679245114326477,1.0,1.0,0.7666666507720947,0.7666666507720947,127,0.8596428632736206,0.009394572116434574,0.7666666507720947,0.9062036275863647,0.9060736894607544,0.7666666507720947,0.009033242240548134,1.0,0.7666666507720947,0.9283809065818788,0.8679245114326477,0.9090909361839294,1.0,1.0,0.8823094367980957,0.8333333134651184,0.8999999761581421,0.99,0.375,0.9209335446357728,0.9473683834075928,0.8679245114326477,0.9060736894607544,0.8980262875556946,0.8823094367980957,0.9142665863037108,0.9209335446357728,0.8980262875556946,0.8653846979141235,0.008002784103155136,0.7666666507720947,0.9090909361839294,0.9283809065818788,0.008698677644133568,0.008002784103155136,0.008002784103155136,0.913604736328125,1.0,0.913604736328125,0.9062036275863647,0.8333333730697632
no_init_kenn_bottom_up_adapter_bert_ms,1,2hu8pzla,0.8589761853218079,0.914247453212738,0.8166666626930237,0.9000000357627869,0.8461538553237915,1.0,1.0,0.7333333492279053,0.7333333492279053,138,0.8589761853218079,0.009394572116434574,0.7333333492279053,0.9062036275863647,0.9059526920318604,0.7333333492279053,0.008938525803387165,1.0,0.7333333492279053,0.9283809065818788,0.8461538553237915,0.899082601070404,1.0,1.0,0.8819580674171448,0.8166666626930237,0.8999999761581421,0.99,0.375,0.9208451509475708,0.9473683834075928,0.8461538553237915,0.9059526920318604,0.8978070020675659,0.8819580674171448,0.914247453212738,0.9208451509475708,0.8978070020675659,0.8563107252120972,0.007654836867004633,0.7333333492279053,0.899082601070404,0.9283809065818788,0.008524704724550247,0.007654836867004633,0.007654836867004633,0.9134307503700256,1.0,0.9134307503700256,0.9062036275863647,0.8166667222976685
no_init_kenn_hybrid_adapter_bert_ms,0,11pkkh3c,0.8623095154762268,0.9143430590629578,0.8999999761581421,0.9000000357627869,0.9473683834075928,1.0,1.0,0.8999999761581421,0.9000000357627869,223,0.8623095154762268,0.009394572116434574,0.8999999761581421,0.9062036275863647,0.906557559967041,0.9000000357627869,0.009394572116434574,1.0,0.9000000357627869,0.9283809065818788,0.9473683834075928,0.9473683834075928,1.0,1.0,0.8837118744850159,0.8999999761581421,0.8999999761581421,0.99,0.375,0.9212870001792908,0.9473683834075928,0.9473683834075928,0.906557559967041,0.898903489112854,0.8837118744850159,0.9143430590629578,0.9212870001792908,0.898903489112854,0.9000000357627869,0.009394572116434574,0.8999999761581421,0.9473683834075928,0.9283809065818788,0.009394572116434574,0.009394572116434574,0.009394572116434574,0.9143006801605223,1.0,0.9143006801605223,0.9062036275863647,0.9000000357627869
no_init_kenn_top_down_adapter_bert_ms,0,13eb8phq,0.8623095154762268,0.9143430590629578,0.8999999761581421,0.9000000357627869,0.9473683834075928,1.0,1.0,0.8999999761581421,0.9000000357627869,223,0.8623095154762268,0.009394572116434574,0.8999999761581421,0.9062036275863647,0.906557559967041,0.9000000357627869,0.009394572116434574,1.0,0.9000000357627869,0.9283809065818788,0.9473683834075928,0.9473683834075928,1.0,1.0,0.8837118744850159,0.8999999761581421,0.8999999761581421,0.99,0.375,0.9212870001792908,0.9473683834075928,0.9473683834075928,0.906557559967041,0.898903489112854,0.8837118744850159,0.9143430590629578,0.9212870001792908,0.898903489112854,0.9000000357627869,0.009394572116434574,0.8999999761581421,0.9473683834075928,0.9283809065818788,0.009394572116434574,0.009394572116434574,0.009394572116434574,0.9143006801605223,1.0,0.9143006801605223,0.9062036275863647,0.9000000357627869
no_init_kenn_bottom_up_adapter_bert_ms,0,2e5vricb,0.8623095154762268,0.9143430590629578,0.8999999761581421,0.9000000357627869,0.9473683834075928,1.0,1.0,0.8999999761581421,0.9000000357627869,222,0.8623095154762268,0.009394572116434574,0.8999999761581421,0.9062036275863647,0.906557559967041,0.9000000357627869,0.009394572116434574,1.0,0.9000000357627869,0.9283809065818788,0.9473683834075928,0.9473683834075928,1.0,1.0,0.8837118744850159,0.8999999761581421,0.8999999761581421,0.98,0.375,0.9212870001792908,0.9473683834075928,0.9473683834075928,0.906557559967041,0.898903489112854,0.8837118744850159,0.9143430590629578,0.9212870001792908,0.898903489112854,0.9000000357627869,0.009394572116434574,0.8999999761581421,0.9473683834075928,0.9283809065818788,0.009394572116434574,0.009394572116434574,0.009394572116434574,0.9143006801605223,1.0,0.9143006801605223,0.9062036275863647,0.9000000357627869
