name,instance,run_id,test/micro/recall,test/micro/precision,test_incremental/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental_other-living_thing/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-living_thing-animal/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental_other-living_thing-animal/macro_types/f1,test_incremental/macro_example/f1,test/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/precision,test/micro/f1,test/macro_example/f1,test/macro_types/recall,epoch,threshold_pretraining,test_pretraining/macro_example/f1,threshold_incremental,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_pretraining/micro/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-living_thing-animal/macro_types/precision,test/macro_types/precision,test/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test/macro_example/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_other-living_thing/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_other-living_thing/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/micro/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision
smart_init_box_adapter_bert_ms,1,c749owrj,0.7940714359283447,0.8446439504623413,0.8888888955116272,0.7156863212585449,0.8070175647735596,0.8043924570083618,0.8666667342185974,0.8666666746139526,0.7940714359283447,0.6719086170196533,0.5098039507865906,0.6419753432273865,0.020080430433154103,0.7068563103675842,0.6666666865348816,0.8666667342185974,0.8446439504623413,0.8185773491859436,0.8285977840423584,0.6719086170196533,6,0.26,0.8285977840423584,0.39,0.884313702583313,0.7980986833572388,0.8185773491859436,0.012826837599277496,0.7068563103675842,0.6584107875823975,0.018006905913352966,0.9019608497619628,0.8666667342185974,0.5098039507865906,0.7456389665603638,0.8543049693107605,0.8666666746139526,0.6419753432273865,0.8043924570083618,0.012826837599277496,0.8543049693107605,0.012826837599277496,0.901960790157318,0.8666666746139526,0.8518518209457397,0.02269363589584827,0.7456389665603638,0.761904776096344,0.6419753432273865,0.7548226118087769,0.5098039507865906
smart_init_box_adapter_bert_ms,0,y210r4kq,0.7940714359283447,0.8472978472709656,0.8888888955116272,0.8333333730697632,0.8070175647735596,0.8043924570083618,0.8666667342185974,0.8666666746139526,0.7940714359283447,0.6719086170196533,0.7222222089767456,0.7878787517547607,0.021796148270368576,0.708838701248169,0.774193525314331,0.8666667342185974,0.8472978472709656,0.8198215961456299,0.8296405076980591,0.6719086170196533,7,0.26,0.8296405076980591,0.7000000000000001,0.884313702583313,0.8662900328636169,0.8198215961456299,0.012826837599277496,0.708838701248169,0.7646198868751526,0.02096694707870483,0.9019608497619628,0.8666667342185974,0.7222222089767456,0.7500643730163574,0.8565249443054199,0.8666666746139526,0.7878787517547607,0.8043924570083618,0.012826837599277496,0.8565249443054199,0.012826837599277496,0.901960790157318,0.8666666746139526,0.8518518209457397,0.02269363589584827,0.7500643730163574,0.8275862336158752,0.7878787517547607,0.8201225996017456,0.7222222089767456
no_init_kenn_hybrid_adapter_bert_ms,2,hutqjl71,0.8563015460968018,0.8541218042373657,0.9012345671653748,0.7647059559822083,0.8703703880310059,0.8627945184707642,0.8666667342185974,0.8666666746139526,0.8563015460968018,0.8154752254486084,0.5416666865348816,0.6666666865348816,0.020927999168634415,0.8358361721038818,0.7156862616539001,0.8666667342185974,0.8541218042373657,0.8552103042602539,0.8634451031684875,0.8154752254486084,13,0.33,0.8634451031684875,0.8400000000000001,0.8941176533699036,0.8317853808403015,0.8552103042602539,0.012826837599277496,0.8358361721038818,0.7060185670852661,0.019240256398916245,0.9117647409439088,0.8666667342185974,0.5416666865348816,0.857239842414856,0.8640965819358826,0.8666666746139526,0.6666666865348816,0.8627945184707642,0.012826837599277496,0.8640965819358826,0.012826837599277496,0.9215686321258544,0.8666666746139526,0.8952381014823914,0.02294030599296093,0.857239842414856,0.7978141903877258,0.6666666865348816,0.7890123724937439,0.5416666865348816
no_init_kenn_top_down_adapter_bert_ms,2,jsd4bz5b,0.8563015460968018,0.8552941083908081,0.9012345671653748,0.8235294222831726,0.8703703880310059,0.8627945184707642,0.8666667342185974,0.8666666746139526,0.8563015460968018,0.8154752254486084,0.6341463327407837,0.7323943972587585,0.021773850545287132,0.8367509245872498,0.7684210538864136,0.8666667342185974,0.8552941083908081,0.855797529220581,0.8638061285018921,0.8154752254486084,17,0.33,0.8638061285018921,0.87,0.8941176533699036,0.8654038310050964,0.855797529220581,0.012826837599277496,0.8367509245872498,0.7522583603858948,0.02072027698159218,0.9117647409439088,0.8666667342185974,0.6341463327407837,0.8591665029525757,0.864820122718811,0.8666666746139526,0.7323943972587585,0.8627945184707642,0.012826837599277496,0.864820122718811,0.012826837599277496,0.9215686321258544,0.8666666746139526,0.8952381014823914,0.02294030599296093,0.8591665029525757,0.8295454382896423,0.7323943972587585,0.8170763850212097,0.6341463327407837
no_init_kenn_bottom_up_adapter_bert_ms,2,qcuak5r7,0.8563015460968018,0.8534533381462097,0.9012345671653748,0.7254902720451355,0.8703703880310059,0.8627945184707642,0.8666667342185974,0.8666666746139526,0.8563015460968018,0.8154752254486084,0.5,0.6341463327407837,0.020330332219600677,0.8354232907295227,0.6886792182922363,0.8666667342185974,0.8534533381462097,0.8548750281333923,0.8631165623664856,0.8154752254486084,7,0.33,0.8631165623664856,0.5,0.8941176533699036,0.8080310821533203,0.8548750281333923,0.012826837599277496,0.8354232907295227,0.6851851940155029,0.018253576010465625,0.9117647409439088,0.8666667342185974,0.5,0.8563717603683472,0.8634388446807861,0.8666666746139526,0.6341463327407837,0.8627945184707642,0.012826837599277496,0.8634388446807861,0.012826837599277496,0.9215686321258544,0.8666666746139526,0.8952381014823914,0.02294030599296093,0.8563717603683472,0.7807486057281494,0.6341463327407837,0.7758311629295349,0.5
no_init_kenn_hybrid_adapter_bert_ms,1,w6mgbuaj,0.8564978241920471,0.8521484136581421,0.9135802388191224,0.7254902720451355,0.8703703880310059,0.8629589676856995,0.9000000953674316,0.8999999761581421,0.8564978241920471,0.8161696195602417,0.4426229596138001,0.5934065580368042,0.020426619797945023,0.8352178335189819,0.643478274345398,0.9000000953674316,0.8521484136581421,0.8543176054954529,0.8627136945724487,0.8161696195602417,12,0.33,0.8627136945724487,0.04,0.9107843041419984,0.8118581175804138,0.8543176054954529,0.013320177793502808,0.8352178335189819,0.6564966440200806,0.018253576010465625,0.9215686917304992,0.9000000953674316,0.4426229596138001,0.8551764488220215,0.8624686002731323,0.8999999761581421,0.5934065580368042,0.8629589676856995,0.013320177793502808,0.8624686002731323,0.013320177793502808,0.9215686321258544,0.8999999761581421,0.8952381014823914,0.023186976090073586,0.8551764488220215,0.7551020383834839,0.5934065580368042,0.7630116939544678,0.4426229596138001
no_init_kenn_top_down_adapter_bert_ms,1,u0cqjml8,0.8570867776870728,0.8469446897506714,0.9506173133850098,0.7843137979507446,0.8703703880310059,0.8634523153305054,1.0,1.0,0.8570867776870728,0.8182529211044312,0.3125,0.4761904776096344,0.021628914400935173,0.8350089192390442,0.5133333206176758,1.0,0.8469446897506714,0.8519855737686157,0.8608766794204712,0.8182529211044312,13,0.33,0.8608766794204712,0.02,0.9607843160629272,0.8596433401107788,0.8519855737686157,0.014800196513533592,0.8350089192390442,0.5914351940155029,0.019733596593141556,0.9509804248809814,1.0,0.3125,0.8524655103683472,0.8583163022994995,1.0,0.4761904776096344,0.8634523153305054,0.014800196513533592,0.8583163022994995,0.014800196513533592,0.9215686321258544,1.0,0.8952381014823914,0.023926986381411552,0.8524655103683472,0.6666666865348816,0.4761904776096344,0.7321666479110718,0.3125
no_init_kenn_bottom_up_adapter_bert_ms,1,69z2al5e,0.8566941618919373,0.8520109057426453,0.92592591047287,0.7450981140136719,0.8703703880310059,0.8631234169006348,0.9333333969116212,0.9333333373069764,0.8566941618919373,0.816864013671875,0.4444444477558136,0.602150559425354,0.020829908549785617,0.835599422454834,0.6410256624221802,0.9333333969116212,0.8520109057426453,0.8543460965156555,0.862795889377594,0.816864013671875,7,0.33,0.862795889377594,0.02,0.9274510145187378,0.8278868198394775,0.8543460965156555,0.01381351798772812,0.835599422454834,0.6574074029922485,0.018746916204690933,0.9313726425170898,0.9333333969116212,0.4444444477558136,0.8552143573760986,0.8624686002731323,0.9333333373069764,0.602150559425354,0.8631234169006348,0.01381351798772812,0.8624686002731323,0.01381351798772812,0.9215686321258544,0.9333333373069764,0.8952381014823914,0.02343364618718624,0.8552143573760986,0.7575758099555969,0.602150559425354,0.7694228291511536,0.4444444477558136
no_init_kenn_hybrid_adapter_bert_ms,0,pk66l1ka,0.8561052083969116,0.8549304008483887,0.8888888955116272,0.7745099067687988,0.8703703880310059,0.8626300692558289,0.8333333730697632,0.8333333134651184,0.8561052083969116,0.8147807121276855,0.5952380895614624,0.6944444179534912,0.02096838876605034,0.8360008597373962,0.75,0.833333432674408,0.8549304008483887,0.8555173873901367,0.8633340001106262,0.8147807121276855,5,0.33,0.8633340001106262,0.99,0.8774509429931641,0.8333907723426819,0.8555173873901367,0.01233349833637476,0.8360008597373962,0.7328042387962341,0.0194869264960289,0.9019608497619628,0.8333333730697632,0.5952380895614624,0.8583558797836304,0.8640390634536743,0.8333333134651184,0.6944444179534912,0.8626300692558289,0.01233349833637476,0.8640390634536743,0.01233349833637476,0.9215686321258544,0.8333333134651184,0.8952381014823914,0.02269363589584827,0.8583558797836304,0.813559353351593,0.6944444179534912,0.7986308932304382,0.5952380895614624
no_init_kenn_top_down_adapter_bert_ms,0,onw0gssi,0.8561052083969116,0.8549304008483887,0.8888888955116272,0.7745099067687988,0.8703703880310059,0.8626300692558289,0.8333333730697632,0.8333333134651184,0.8561052083969116,0.8147807121276855,0.5952380895614624,0.6944444179534912,0.02096838876605034,0.8360008597373962,0.75,0.833333432674408,0.8549304008483887,0.8555173873901367,0.8633340001106262,0.8147807121276855,5,0.33,0.8633340001106262,0.99,0.8774509429931641,0.8333907723426819,0.8555173873901367,0.01233349833637476,0.8360008597373962,0.7328042387962341,0.0194869264960289,0.9019608497619628,0.8333333730697632,0.5952380895614624,0.8583558797836304,0.8640390634536743,0.8333333134651184,0.6944444179534912,0.8626300692558289,0.01233349833637476,0.8640390634536743,0.01233349833637476,0.9215686321258544,0.8333333134651184,0.8952381014823914,0.02269363589584827,0.8583558797836304,0.813559353351593,0.6944444179534912,0.7986308932304382,0.5952380895614624
