name,instance,run_id,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test_incremental_other-living_thing-animal/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_incremental/macro_example/recall,test_incremental_other-living_thing/macro_types/f1,test_incremental_other-living_thing-animal/macro_types/recall,threshold_pretraining,test/macro_example/recall,test_incremental/micro/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_types/precision,test/macro_types/precision,test_incremental/macro_types/precision,test_pretraining/macro_example/recall,test/micro/recall,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test/macro_example/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,threshold_incremental,test_incremental_only/micro/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_incremental_other-living_thing/macro_types/precision,test/macro_example/f1,test/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/micro/precision,test_incremental_other-living_thing/macro_types/recall,test_incremental_other-living_thing-animal/macro_types/f1,test_incremental/micro/f1,test_pretraining/macro_types/precision,epoch,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_pretraining/micro/f1
smart_init_box_adapter_bert_ms,1,c09ze2k9,0.7039569616317749,0.8114805817604065,0.08123249560594559,0.08123249560594559,0.9666666984558104,0.7945824265480042,0.02343364618718624,0.8518518209457397,0.9666666388511658,0.26,0.8048858046531677,0.92592591047287,0.6020610332489014,0.6739919185638428,0.08123249560594559,0.7367104291915894,0.4441250264644623,0.8048858046531677,0.7946603894233704,0.7946603894233704,0.021130917593836784,0.14987081289291382,0.014306857250630856,0.019240256398916245,0.9666666388511658,0.8181842565536499,0.9666666388511658,0.8181842565536499,0.014306857250630856,0.01,0.14987081289291382,0.014306857250630856,0.7647059559822083,0.9666666984558104,0.7039569616317749,0.8070175647735596,0.8114805817604065,0.6739919185638428,0.8398504853248596,0.18115942180156708,0.901960790157318,0.14987081289291382,0.3030302822589874,0.7367104291915894,10,0.7945044040679932,0.934313714504242,0.9313726425170898,0.9666666984558104,0.7945044040679932,0.7945824265480042
smart_init_box_adapter_bert_ms,0,dtbd7z9z,0.7078458070755005,0.8292648196220398,0.5744680762290955,0.5744680762290955,0.9000000953674316,0.8191113471984863,0.02294030599296093,0.8518518209457397,0.8999999761581421,0.26,0.8045569062232971,0.9012345671653748,0.7819773554801941,0.6726030111312866,0.5744680762290955,0.7469861507415771,0.6907428503036499,0.8045569062232971,0.7942677736282349,0.7942677736282349,0.021773850545287132,0.701298713684082,0.013320177793502808,0.02072027698159218,0.8999999761581421,0.8555383086204529,0.8999999761581421,0.8555383086204529,0.013320177793502808,0.55,0.701298713684082,0.013320177793502808,0.8235294818878174,0.9000000953674316,0.7078458070755005,0.8070175647735596,0.8292648196220398,0.6726030111312866,0.8654038906097412,0.7019230723381042,0.901960790157318,0.701298713684082,0.7891891598701477,0.7469861507415771,14,0.8455590605735779,0.9009803533554076,0.9117647409439088,0.9000000953674316,0.8455590605735779,0.8191113471984863
no_init_kenn_hybrid_adapter_bert_ms,2,h8g4o6wd,0.8354452252388,0.8629398941993713,0.4655172526836395,0.4655172526836395,0.9000000953674316,0.8545686602592468,0.023186976090073586,0.8952381014823914,0.8999999761581421,0.33,0.8629589676856995,0.9135802388191224,0.7706871628761292,0.8161696195602417,0.4655172526836395,0.8556534051895142,0.6679438352584839,0.8629589676856995,0.8564978241920471,0.8564978241920471,0.020426619797945023,0.6136363744735718,0.013320177793502808,0.018253576010465625,0.8999999761581421,0.8629207611083984,0.8999999761581421,0.8629207611083984,0.013320177793502808,0.19,0.6136363744735718,0.013320177793502808,0.7254902720451355,0.9000000953674316,0.8354452252388,0.8703703880310059,0.8629398941993713,0.8161696195602417,0.8118581175804138,0.6607142686843872,0.9215686321258544,0.6136363744735718,0.7668393850326538,0.8556534051895142,5,0.8526480197906494,0.9107843041419984,0.9215686917304992,0.9000000953674316,0.8526480197906494,0.8545686602592468
no_init_kenn_top_down_adapter_bert_ms,2,x3jk4hbc,0.8361514210700989,0.8633303642272949,0.5,0.5,0.9333333969116212,0.8549320101737976,0.02343364618718624,0.8952381014823914,0.9333333373069764,0.33,0.8631234169006348,0.92592591047287,0.7881203293800354,0.816864013671875,0.5,0.8563717603683472,0.6851851940155029,0.8631234169006348,0.8566941618919373,0.8566941618919373,0.021425047889351845,0.6511627435684204,0.01381351798772812,0.019733596593141556,0.9333333373069764,0.8635374307632446,0.9333333373069764,0.8635374307632446,0.01381351798772812,0.12,0.6511627435684204,0.01381351798772812,0.7843137383460999,0.9333333969116212,0.8361514210700989,0.8703703880310059,0.8633303642272949,0.816864013671875,0.8515406847000122,0.6818181872367859,0.9215686321258544,0.6511627435684204,0.7853403091430664,0.8563717603683472,17,0.8531769514083862,0.9274510145187378,0.9313726425170898,0.9333333969116212,0.8531769514083862,0.8549320101737976
no_init_kenn_bottom_up_adapter_bert_ms,2,xexo3cyq,0.8355263471603394,0.8629810214042664,0.4736842215061188,0.4736842215061188,0.9000000953674316,0.8546523451805115,0.023186976090073586,0.8952381014823914,0.8999999761581421,0.33,0.8629589676856995,0.9135802388191224,0.7733983397483826,0.8161696195602417,0.4736842215061188,0.8558235168457031,0.6720272898674011,0.8629589676856995,0.8564978241920471,0.8564978241920471,0.020426619797945023,0.6206896901130676,0.013320177793502808,0.018253576010465625,0.8999999761581421,0.8630030155181885,0.8999999761581421,0.8630030155181885,0.013320177793502808,0.15000000000000002,0.6206896901130676,0.013320177793502808,0.7254902720451355,0.9000000953674316,0.8355263471603394,0.8703703880310059,0.8629810214042664,0.8161696195602417,0.8118581175804138,0.6666666865348816,0.9215686321258544,0.6206896901130676,0.7708333134651184,0.8558235168457031,5,0.8528146743774414,0.9107843041419984,0.9215686917304992,0.9000000953674316,0.8528146743774414,0.8546523451805115
no_init_kenn_hybrid_adapter_bert_ms,1,w085jjsq,0.8351446986198425,0.8614552617073059,0.32608696818351746,0.32608696818351746,1.0,0.8523182272911072,0.023926986381411552,0.8952381014823914,1.0,0.33,0.8634523153305054,0.9506173133850098,0.7373495101928711,0.8182529211044312,0.32608696818351746,0.8527486324310303,0.5982286930084229,0.8634523153305054,0.8570867776870728,0.8570867776870728,0.021628914400935173,0.49180328845977783,0.014800196513533592,0.019733596593141556,1.0,0.8594673871994019,1.0,0.8594673871994019,0.014800196513533592,0.01,0.49180328845977783,0.014800196513533592,0.7843137979507446,1.0,0.8351446986198425,0.8703703880310059,0.8614552617073059,0.8182529211044312,0.8596433401107788,0.5273972749710083,0.9215686321258544,0.49180328845977783,0.6784141063690186,0.8527486324310303,13,0.8476024270057678,0.9607843160629272,0.9509804248809814,1.0,0.8476024270057678,0.8523182272911072
no_init_kenn_top_down_adapter_bert_ms,1,4t3ls2j8,0.8355417847633362,0.8621568083763123,0.3658536672592163,0.3658536672592163,1.0,0.8531509637832642,0.023926986381411552,0.8952381014823914,1.0,0.33,0.8634523153305054,0.9506173133850098,0.7522626519203186,0.8182529211044312,0.3658536672592163,0.8535770177841187,0.6181120276451111,0.8634523153305054,0.8570867776870728,0.8570867776870728,0.021628914400935173,0.5357142686843872,0.014800196513533592,0.019733596593141556,1.0,0.8608652353286743,1.0,0.8608652353286743,0.014800196513533592,0.08,0.5357142686843872,0.014800196513533592,0.7843137979507446,1.0,0.8355417847633362,0.8703703880310059,0.8621568083763123,0.8182529211044312,0.8596433401107788,0.5661764740943909,0.9215686321258544,0.5357142686843872,0.709677517414093,0.8535770177841187,13,0.8492510914802551,0.9607843160629272,0.9509804248809814,1.0,0.8492510914802551,0.8531509637832642
no_init_kenn_bottom_up_adapter_bert_ms,1,261p5gqv,0.835412859916687,0.8618887662887573,0.3529411852359772,0.3529411852359772,1.0,0.8529009819030762,0.023926986381411552,0.8952381014823914,1.0,0.33,0.8634523153305054,0.9506173133850098,0.7474614977836609,0.8182529211044312,0.3529411852359772,0.8533080816268921,0.6116557717323303,0.8634523153305054,0.8570867776870728,0.8570867776870728,0.021628914400935173,0.52173912525177,0.014800196513533592,0.019733596593141556,1.0,0.8603307604789734,1.0,0.8603307604789734,0.014800196513533592,0.02,0.52173912525177,0.014800196513533592,0.7843137979507446,1.0,0.835412859916687,0.8703703880310059,0.8618887662887573,0.8182529211044312,0.8596433401107788,0.5539568066596985,0.9215686321258544,0.52173912525177,0.7000000476837158,0.8533080816268921,13,0.8487558364868164,0.9607843160629272,0.9509804248809814,1.0,0.8487558364868164,0.8529009819030762
no_init_kenn_hybrid_adapter_bert_ms,0,ph5t5gzd,0.8363235592842102,0.8633999228477478,0.5909090638160706,0.5909090638160706,0.8666667342185974,0.8555457592010498,0.02294030599296093,0.8952381014823914,0.8666666746139526,0.33,0.8627945184707642,0.9012345671653748,0.8041543960571289,0.8154752254486084,0.5909090638160706,0.85826575756073,0.7306396961212158,0.8627945184707642,0.8563015460968018,0.8563015460968018,0.020927999168634415,0.7027026414871216,0.012826837599277496,0.019240256398916245,0.8666666746139526,0.8640061616897583,0.8666666746139526,0.8640061616897583,0.012826837599277496,0.99,0.7027026414871216,0.012826837599277496,0.7647058963775635,0.8666667342185974,0.8363235592842102,0.8703703880310059,0.8633999228477478,0.8154752254486084,0.8317853808403015,0.7448979616165161,0.9215686321258544,0.7027026414871216,0.8156424760818481,0.85826575756073,5,0.8547912836074829,0.8941176533699036,0.9117647409439088,0.8666667342185974,0.8547912836074829,0.8555457592010498
no_init_kenn_top_down_adapter_bert_ms,0,w5rs9uwm,0.8363235592842102,0.8633999228477478,0.5909090638160706,0.5909090638160706,0.8666667342185974,0.8555457592010498,0.02294030599296093,0.8952381014823914,0.8666666746139526,0.33,0.8627945184707642,0.9012345671653748,0.8041543960571289,0.8154752254486084,0.5909090638160706,0.85826575756073,0.7306396961212158,0.8627945184707642,0.8563015460968018,0.8563015460968018,0.020927999168634415,0.7027026414871216,0.012826837599277496,0.019240256398916245,0.8666666746139526,0.8640061616897583,0.8666666746139526,0.8640061616897583,0.012826837599277496,0.99,0.7027026414871216,0.012826837599277496,0.7647058963775635,0.8666667342185974,0.8363235592842102,0.8703703880310059,0.8633999228477478,0.8154752254486084,0.8317853808403015,0.7448979616165161,0.9215686321258544,0.7027026414871216,0.8156424760818481,0.85826575756073,5,0.8547912836074829,0.8941176533699036,0.9117647409439088,0.8666667342185974,0.8547912836074829,0.8555457592010498
no_init_kenn_bottom_up_adapter_bert_ms,0,u5kvhi3u,0.836527407169342,0.8637027740478516,0.6857143044471741,0.6857143044471741,0.8000000715255737,0.855908989906311,0.02244696579873562,0.8952381014823914,0.800000011920929,0.33,0.8624656200408936,0.8765432238578796,0.8173245787620544,0.8140863180160522,0.6857143044471741,0.8602408170700073,0.7780423164367676,0.8624656200408936,0.8559089303016663,0.8559089303016663,0.02154908888041973,0.7384615540504456,0.011840157210826874,0.02072027698159218,0.800000011920929,0.8649435043334961,0.800000011920929,0.8649435043334961,0.011840158142149448,0.99,0.7384615540504456,0.011840158142149448,0.8235294222831726,0.8000000715255737,0.836527407169342,0.8703703880310059,0.8637027740478516,0.8140863180160522,0.8564706444740295,0.7977527976036072,0.9215686321258544,0.7384615540504456,0.8352941274642944,0.8602408170700073,5,0.8559089303016663,0.8607842922210693,0.8921569585800171,0.8000000715255737,0.8559089303016663,0.855908989906311
smart_init_classifier_adapter_bert_ms,2,p5n4d2mm,0.8356102705001831,0.8629810214042664,0.4821428656578064,0.4821428656578064,0.9000000953674316,0.8547359704971313,0.023186976090073586,0.8952381014823914,0.8999999761581421,0.33,0.8629589676856995,0.9135802388191224,0.7761916518211365,0.8161696195602417,0.4821428656578064,0.8559997081756592,0.6762566566467285,0.8629589676856995,0.8564978241920471,0.8564978241920471,0.020426619797945023,0.6279070377349854,0.013320177793502808,0.018253576010465625,0.8999999761581421,0.8630030155181885,0.8999999761581421,0.8630030155181885,0.013320177793502808,0.5,0.6279070377349854,0.013320177793502808,0.7254902720451355,0.9000000953674316,0.8356102705001831,0.8703703880310059,0.8629810214042664,0.8161696195602417,0.8118581175804138,0.6727272868156433,0.9215686321258544,0.6279070377349854,0.7748690843582153,0.8559997081756592,5,0.852981448173523,0.9107843041419984,0.9215686917304992,0.9000000953674316,0.852981448173523,0.8547359704971313
smart_init_classifier_adapter_bert_ms,1,bshk6xvx,0.8353719711303711,0.8619505763053894,0.3488371968269348,0.3488371968269348,1.0,0.8528176546096802,0.023926986381411552,0.8952381014823914,1.0,0.33,0.8634523153305054,0.9506173133850098,0.7459273338317871,0.8182529211044312,0.3488371968269348,0.8532226085662842,0.609603762626648,0.8634523153305054,0.8570867776870728,0.8570867776870728,0.021628914400935173,0.517241358757019,0.014800196513533592,0.019733596593141556,1.0,0.8604540824890137,1.0,0.8604540824890137,0.014800196513533592,0.08,0.517241358757019,0.014800196513533592,0.7843137979507446,1.0,0.8353719711303711,0.8703703880310059,0.8619505763053894,0.8182529211044312,0.8596433401107788,0.550000011920929,0.9215686321258544,0.517241358757019,0.6968326568603516,0.8532226085662842,13,0.8485908508300781,0.9607843160629272,0.9509804248809814,1.0,0.8485908508300781,0.8528176546096802
smart_init_classifier_adapter_bert_ms,0,5o765y98,0.836527407169342,0.8637027740478516,0.6857143044471741,0.6857143044471741,0.8000000715255737,0.855908989906311,0.02244696579873562,0.8952381014823914,0.800000011920929,0.33,0.8624656200408936,0.8765432238578796,0.8173245787620544,0.8140863180160522,0.6857143044471741,0.8602408170700073,0.7780423164367676,0.8624656200408936,0.8559089303016663,0.8559089303016663,0.02154908888041973,0.7384615540504456,0.011840157210826874,0.02072027698159218,0.800000011920929,0.8649435043334961,0.800000011920929,0.8649435043334961,0.011840158142149448,0.99,0.7384615540504456,0.011840158142149448,0.8235294222831726,0.8000000715255737,0.836527407169342,0.8703703880310059,0.8637027740478516,0.8140863180160522,0.8564706444740295,0.7977527976036072,0.9215686321258544,0.7384615540504456,0.8352941274642944,0.8602408170700073,5,0.8559089303016663,0.8607842922210693,0.8921569585800171,0.8000000715255737,0.8559089303016663,0.855908989906311
