name,instance,run_id,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test/macro_types/f1,test/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_broadcast/macro_types/recall,test_incremental/macro_types/recall,test/micro/f1,test_incremental_broadcast-tv_channel/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental/micro/precision,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/precision,test/micro/precision,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_broadcast/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example/recall,epoch,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_broadcast-tv_channel/macro_types/precision,test_incremental_broadcast-tv_channel/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_broadcast/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental_only/micro/f1,test/macro_example/precision,threshold_incremental,threshold_pretraining,test_incremental/micro/f1,test/macro_types/precision,test/macro_example/f1,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,ggdyegqg,0.01009046658873558,0.01009046658873558,0.8499971032142639,0.819227397441864,0.4833333194255829,0.644444465637207,0.01009046658873558,0.9666666984558104,0.3452380895614624,0.8499971032142639,0.9071387052536012,0.0,0.4833333194255829,0.8907115459442139,0.6904761791229248,0.9666666388511658,0.6904761791229248,0.26851850748062134,0.5370370149612427,0.8811403512954712,0.006726977881044149,0.9666666984558104,0.9004930257797241,0.9004930257797241,0.819227397441864,0.5370370149612427,0.9666666388511658,0.923776388168335,0.9071387052536012,0.8907115459442139,0.0,0.5370370149612427,0.00504523329436779,61,0.01009046658873558,0.4833333492279053,0.5370370149612427,0.9666666388511658,0.9153819680213928,0.0,0.8831683397293091,0.9666666984558104,0.8811403512954712,0.6904761791229248,0.923776388168335,0.03,0.25,0.5087718963623047,0.8831683397293091,0.9153819680213928,0.9666666984558104
no_init_box_kenn_bottom_up_adapter_bert_ms,0,3sdgve3u,0.00730688963085413,0.00730688963085413,0.8486137986183167,0.8138940334320068,0.3499999940395355,0.46666669845581055,0.00730688963085413,0.7000000476837158,0.3499999940395355,0.8486137986183167,0.9065819978713988,0.0,0.3499999940395355,0.8913092017173767,0.699999988079071,0.699999988079071,0.699999988079071,0.3499999940395355,0.699999988079071,0.8793859481811523,0.004871259443461895,0.7000000476837158,0.9035601615905762,0.9035601615905762,0.8138940334320068,0.699999988079071,0.699999988079071,0.924570858478546,0.9065819978713988,0.8913092017173767,0.0,0.699999988079071,0.003653444815427065,60,0.00730688963085413,0.3500000238418579,0.699999988079071,0.699999988079071,0.915488064289093,0.0,0.886427640914917,0.7000000476837158,0.8793859481811523,0.699999988079071,0.924570858478546,0.02,0.25,0.46666666865348816,0.886427640914917,0.915488064289093,0.7000000476837158
no_init_box_adapter_bert_ms,2,py8b4zh6,0.005567153915762901,0.005567153915762901,0.8480929136276245,0.8105607032775879,0.2666666805744171,0.35555562376976013,0.005567153915762901,0.533333420753479,0.3265306055545807,0.8480929136276245,0.9059789180755616,0.0,0.2666666805744171,0.8912874460220337,0.6530612111091614,0.5333333611488342,0.6530612111091614,0.42105263471603394,0.8421052694320679,0.8782894611358643,0.003711436176672578,0.533333420753479,0.904675841331482,0.904675841331482,0.8105607032775879,0.8421052694320679,0.5333333611488342,0.9245766401290894,0.9059789180755616,0.8912874460220337,0.0,0.8421052694320679,0.0027835769578814507,38,0.005567153915762901,0.2666667103767395,0.8421052694320679,0.5333333611488342,0.9151833057403564,0.0,0.8892697095870972,0.533333420753479,0.8782894611358643,0.6530612111091614,0.9245766401290894,0.23,0.25,0.4050633311271667,0.8892697095870972,0.9151833057403564,0.533333420753479
no_init_box_adapter_bert_ms,1,zqr47zlp,0.010438414290547373,0.010438414290547373,0.8503434658050537,0.8198940753936768,0.5,0.6666666865348816,0.010438414290547373,1.0,0.3488371968269348,0.8503434658050537,0.9072257280349731,0.0,0.5,0.8907358050346375,0.6976743936538696,1.0,0.6976743936538696,0.2678571343421936,0.5357142686843872,0.8813596367835999,0.006958942394703627,1.0,0.9003136157989502,0.9003136157989502,0.8198940753936768,0.5357142686843872,1.0,0.9239040017127992,0.9072257280349731,0.8907358050346375,0.0,0.5357142686843872,0.0052192071452736855,75,0.010438414290547373,0.5,0.5357142686843872,1.0,0.91548889875412,0.0,0.8831418752670288,1.0,0.8813596367835999,0.6976743936538696,0.9239040017127992,0.04,0.25,0.517241358757019,0.8831418752670288,0.91548889875412,1.0
no_init_box_adapter_bert_ms,0,g00lnncc,0.01009046658873558,0.01009046658873558,0.8500909805297852,0.819227397441864,0.4833333194255829,0.644444465637207,0.01009046658873558,0.9666666984558104,0.34939759969711304,0.8500909805297852,0.9071387052536012,0.0,0.4833333194255829,0.8908103108406067,0.6987951993942261,0.9666666388511658,0.6987951993942261,0.27358490228652954,0.5471698045730591,0.8811403512954712,0.006726977881044149,0.9666666984558104,0.9006949067115784,0.9006949067115784,0.819227397441864,0.5471698045730591,0.9666666388511658,0.9238053560256958,0.9071387052536012,0.8908103108406067,0.0,0.5471698045730591,0.00504523329436779,61,0.01009046658873558,0.4833333492279053,0.5471698045730591,0.9666666388511658,0.915396213531494,0.0,0.8833709955215454,0.9666666984558104,0.8811403512954712,0.6987951993942261,0.9238053560256958,0.03,0.25,0.5132743120193481,0.8833709955215454,0.915396213531494,0.9666666984558104
no_init_kenn_horizontal_adapter_bert_ms,2,2rhlo2jz,0.008698677644133568,0.008698677644133568,0.8811694383621216,0.8609762191772461,0.6833333373069763,0.7509158253669739,0.008698677644133568,0.8333333730697632,0.7669232487678528,0.8811694383621216,0.9144687652587892,0.5333333611488342,0.6833333373069763,0.9057145714759828,0.819672167301178,0.8333333134651184,0.819672167301178,0.873814046382904,0.8541666865348816,0.8984649181365967,0.007838369347155094,0.8333333730697632,0.913082242012024,0.913082242012024,0.8609762191772461,0.8064516186714172,0.8333333134651184,0.9279459714889526,0.9144687652587892,0.9057145714759828,0.6808511018753052,0.8064516186714172,0.007132916245609522,90,0.008698677644133568,0.6833333969116211,0.8064516186714172,0.8333333134651184,0.9211580753326416,0.9411764740943908,0.9023326635360718,0.833333432674408,0.8984649181365967,0.819672167301178,0.9279459714889526,0.74,0.375,0.7592592835426331,0.9023326635360718,0.9211580753326416,0.8333333730697632
no_init_kenn_horizontal_adapter_bert_ms,1,2o2ztxrz,0.01009046658873558,0.01009046658873558,0.8801774382591248,0.8636428713798523,0.75,0.8446602821350098,0.01009046658873558,0.9666666984558104,0.7497170567512512,0.8801774382591248,0.9147819876670836,0.5333333611488342,0.75,0.904499351978302,0.707317054271698,0.9666666388511658,0.707317054271698,0.7494343519210815,0.6521739363670349,0.8993421196937561,0.008816912770271301,0.9666666984558104,0.9097160696983336,0.9097160696983336,0.8636428713798523,0.557692289352417,0.9666666388511658,0.9265657663345336,0.9147819876670836,0.904499351978302,0.6808511018753052,0.557692289352417,0.007828810252249241,65,0.01009046658873558,0.7500000596046448,0.557692289352417,0.9666666388511658,0.9206361770629884,0.9411764740943908,0.8973574638366699,0.9666666984558104,0.8993421196937561,0.707317054271698,0.9265657663345336,0.34,0.375,0.6976743936538696,0.8973574638366699,0.9206361770629884,0.9666666984558104
no_init_kenn_horizontal_adapter_bert_ms,0,2rsg2650,0.010438414290547373,0.010438414290547373,0.8803118467330933,0.864309549331665,0.7666666507720947,0.8679245710372925,0.010438414290547373,1.0,0.7522915005683899,0.8803118467330933,0.914897918701172,0.5333333611488342,0.7666666507720947,0.9043209552764891,0.6976743936538696,1.0,0.6976743936538696,0.7384454011917114,0.6301369667053223,0.8995614051818848,0.009059756062924862,1.0,0.9091312289237976,0.9091312289237976,0.864309549331665,0.5357142686843872,1.0,0.9263744354248048,0.914897918701172,0.9043209552764891,0.6808511018753052,0.5357142686843872,0.008002784103155136,58,0.010438414290547373,0.7666667103767395,0.5357142686843872,1.0,0.920600414276123,0.9411764740943908,0.8969179391860962,1.0,0.8995614051818848,0.6976743936538696,0.9263744354248048,0.33,0.375,0.6917293071746826,0.8969179391860962,0.920600414276123,1.0
smart_init_box_kenn_hybrid_adapter_bert_ms,2,tb1e4umk,0.004871259443461895,0.004871259443461895,0.8476610779762268,0.8092273473739624,0.23333333432674408,0.3111111521720886,0.004871259443461895,0.46666672825813293,0.30434781312942505,0.8476610779762268,0.9058049321174622,0.0,0.23333333432674408,0.891139805316925,0.6086956262588501,0.46666666865348816,0.6086956262588501,0.4375,0.875,0.8778508901596069,0.0032475062180310488,0.46666672825813293,0.9048372507095336,0.9048372507095336,0.8092273473739624,0.875,0.46666666865348816,0.924536108970642,0.9058049321174622,0.891139805316925,0.0,0.875,0.0024356297217309475,36,0.004871259443461895,0.23333336412906647,0.875,0.46666666865348816,0.9150746464729308,0.0,0.8899276256561279,0.46666672825813293,0.8778508901596069,0.6086956262588501,0.924536108970642,0.21,0.25,0.3684210479259491,0.8899276256561279,0.9150746464729308,0.46666672825813293
smart_init_box_kenn_top_down_adapter_bert_ms,2,nbaav5ma,0.005219206679612398,0.005219206679612398,0.8485938310623169,0.8098940253257751,0.25,0.3333333730697632,0.005219206679612398,0.5000000596046448,0.32608696818351746,0.8485938310623169,0.9058629274368286,0.0,0.25,0.8913624286651611,0.6521739363670349,0.5,0.6521739363670349,0.46875,0.9375,0.8780701756477356,0.0034794709645211697,0.5000000596046448,0.905063271522522,0.905063271522522,0.8098940253257751,0.9375,0.5,0.9245940446853638,0.9058629274368286,0.8913624286651611,0.0,0.9375,0.002609603339806199,37,0.005219206679612398,0.2500000298023224,0.9375,0.5,0.9151326417922974,0.0,0.8911775946617126,0.5000000596046448,0.8780701756477356,0.6521739363670349,0.9245940446853638,0.64,0.25,0.3947368562221527,0.8911775946617126,0.9151326417922974,0.5000000596046448
