name,instance,run_id,test_incremental_only/macro_example/f1,test/micro/f1,test_incremental_only/macro_types/recall,test_incremental_CONTACT_INFO/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example/precision,test/micro/recall,test/macro_types/recall,test_incremental_CONTACT_INFO-url/macro_types/recall,test/macro_example/precision,test_incremental_CONTACT_INFO-url/macro_types/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_CONTACT_INFO/macro_types/recall,test_incremental/macro_example_exclusive/precision,threshold_incremental,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/precision,epoch,test/macro_types/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_CONTACT_INFO/macro_types/precision,test/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example/precision,test/micro/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/f1,test_incremental/micro/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_incremental_only/micro/precision,threshold_pretraining,test_incremental/macro_example_exclusive/recall,test_incremental_CONTACT_INFO-url/macro_types/f1,test_incremental/micro/recall,test_incremental/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,gla5anq3,0.02544769085943699,0.8261772394180298,0.8999999761581421,0.8115941882133484,0.6729278564453125,0.02591894380748272,0.02544769085943699,0.8613718152046204,0.8752915263175964,0.8999999761581421,0.826578676700592,0.6279069781303406,0.8999999761581421,0.02544769085943699,0.9333333373069764,0.9666666984558104,0.03,0.8261772394180298,0.847364068031311,0.7937458157539368,0.8752915263175964,0.8543826341629028,0.8543826341629028,0.7761105298995972,0.6279069781303406,0.7746478915214539,0.9410029053688048,0.9000000357627869,27,0.8211637139320374,0.7397260665893555,0.826578676700592,0.7179487347602844,0.847364068031311,0.9000000357627869,0.02733270451426506,0.7937458157539368,0.9166666269302368,0.8402507305145264,0.6707317233085632,0.8613718152046204,0.7397260665893555,0.6279069781303406,0.175,0.9166666865348816,0.7397260665893555,0.9166666865348816,0.026607058942317963,0.8211637139320374,0.9000000357627869,0.8402507305145264
no_init_box_kenn_bottom_up_adapter_bert_ms,0,nf06sy3y,0.019792648032307625,0.8251650929450989,0.699999988079071,0.8115941882133484,0.6870993375778198,0.023091422393918037,0.019792648032307625,0.8570396900177002,0.8635268211364746,0.699999988079071,0.8268928527832031,0.65625,0.699999988079071,0.019792648032307625,0.9333333373069764,0.9333333969116212,0.060000000000000005,0.8251650929450989,0.8426877856254578,0.7955763936042786,0.8635268211364746,0.8517122268676758,0.8517122268676758,0.7463010549545288,0.65625,0.7480915784835815,0.8711112141609192,0.7000000476837158,27,0.8228309154510498,0.6774193048477173,0.8268928527832031,0.7179487347602844,0.8426877856254578,0.7000000476837158,0.02639019675552845,0.7955763936042786,0.8166666626930237,0.8391190767288208,0.6901408433914185,0.8570396900177002,0.6774193048477173,0.65625,0.175,0.8166667222976685,0.6774193048477173,0.8166666626930237,0.024630850180983543,0.8228309154510498,0.7000000476837158,0.8391190767288208
no_init_kenn_hybrid_adapter_bert_ms,2,nckuky2o,0.02827521041035652,0.825982928276062,1.0,0.7567567229270935,0.6442687511444092,0.02733270451426506,0.02827521041035652,0.8722021579742432,0.889228343963623,1.0,0.8161325454711914,0.6521739363670349,1.0,0.02827521041035652,0.9333333373069764,1.0,0.52,0.825982928276062,0.8440502882003784,0.784415602684021,0.889228343963623,0.8611372709274292,0.8611372709274292,0.7732068300247192,0.6521739363670349,0.7733333110809326,0.9830508828163148,1.0,16,0.8032408356666565,0.7894736528396606,0.8161325454711914,0.6363636255264282,0.8440502882003784,1.0,0.02827521041035652,0.784415602684021,0.9666666984558104,0.8380311727523804,0.644444465637207,0.8722021579742432,0.7894736528396606,0.6521739363670349,0.25,0.9666666984558104,0.7894736528396606,0.9666666388511658,0.02779597043991089,0.8032408356666565,1.0,0.8380311727523804
no_init_kenn_top_down_adapter_bert_ms,2,pp7fvbur,0.02827521041035652,0.825982928276062,1.0,0.7567567229270935,0.6442687511444092,0.02733270451426506,0.02827521041035652,0.8722021579742432,0.889228343963623,1.0,0.8161325454711914,0.6521739363670349,1.0,0.02827521041035652,0.9333333373069764,1.0,0.46,0.825982928276062,0.8440502882003784,0.784415602684021,0.889228343963623,0.8611372709274292,0.8611372709274292,0.7732068300247192,0.6521739363670349,0.7733333110809326,0.9830508828163148,1.0,16,0.8032408356666565,0.7894736528396606,0.8161325454711914,0.6363636255264282,0.8440502882003784,1.0,0.02827521041035652,0.784415602684021,0.9666666984558104,0.8380311727523804,0.644444465637207,0.8722021579742432,0.7894736528396606,0.6521739363670349,0.25,0.9666666984558104,0.7894736528396606,0.9666666388511658,0.02779597043991089,0.8032408356666565,1.0,0.8380311727523804
no_init_kenn_bottom_up_adapter_bert_ms,2,4x42q9h8,0.02827521041035652,0.825982928276062,1.0,0.7567567229270935,0.6442687511444092,0.02733270451426506,0.02827521041035652,0.8722021579742432,0.889228343963623,1.0,0.8161325454711914,0.6521739363670349,1.0,0.02827521041035652,0.9333333373069764,1.0,0.19,0.825982928276062,0.8440502882003784,0.784415602684021,0.889228343963623,0.8611372709274292,0.8611372709274292,0.7732068300247192,0.6521739363670349,0.7733333110809326,0.9830508828163148,1.0,16,0.8032408356666565,0.7894736528396606,0.8161325454711914,0.6363636255264282,0.8440502882003784,1.0,0.02827521041035652,0.784415602684021,0.9666666984558104,0.8380311727523804,0.644444465637207,0.8722021579742432,0.7894736528396606,0.6521739363670349,0.25,0.9666666984558104,0.7894736528396606,0.9666666388511658,0.02779597043991089,0.8032408356666565,1.0,0.8380311727523804
no_init_kenn_hybrid_adapter_bert_ms,1,1ijzzjnp,0.02733270451426506,0.8255813717842102,0.9666666388511658,0.7567567229270935,0.6404040455818176,0.02686145156621933,0.02733270451426506,0.8714801669120789,0.8872675895690918,0.9666666388511658,0.8156613111495972,0.644444465637207,0.9666666388511658,0.02733270451426506,0.9333333373069764,0.9666666984558104,0.23,0.8255813717842102,0.8429153561592102,0.7842755317687988,0.8872675895690918,0.860666036605835,0.860666036605835,0.7650682926177979,0.644444465637207,0.7651007175445557,0.9582608938217164,0.9666666984558104,16,0.802786111831665,0.7733333110809326,0.8156613111495972,0.6363636255264282,0.8429153561592102,0.9666666984558104,0.02733270451426506,0.7842755317687988,0.949999988079071,0.8375595808029175,0.6404494643211365,0.8714801669120789,0.7733333110809326,0.644444465637207,0.25,0.9500000476837158,0.7733333110809326,0.949999988079071,0.02709502913057804,0.802786111831665,0.9666666984558104,0.8375595808029175
no_init_kenn_top_down_adapter_bert_ms,1,br7am9qd,0.02733270451426506,0.8252991437911987,0.9666666388511658,0.7567567229270935,0.633399248123169,0.02686145156621933,0.02733270451426506,0.8714801669120789,0.8872675895690918,0.9666666388511658,0.8161325454711914,0.6304348111152649,0.9666666388511658,0.02733270451426506,0.9333333373069764,1.0,0.3,0.8252991437911987,0.8424608111381531,0.7837662100791931,0.8872675895690918,0.8608231544494629,0.8608231544494629,0.760047435760498,0.6304348111152649,0.7599999904632568,0.9743589758872986,0.9666666984558104,16,0.8019620180130005,0.7631579041481018,0.8161325454711914,0.6363636255264282,0.8424608111381531,0.9666666984558104,0.02827521041035652,0.7837662100791931,0.949999988079071,0.837882399559021,0.6333333253860474,0.8714801669120789,0.7631579041481018,0.6304348111152649,0.25,0.9500000476837158,0.7631579041481018,0.949999988079071,0.02755020558834076,0.8019620180130005,0.9666666984558104,0.837882399559021
no_init_kenn_bottom_up_adapter_bert_ms,1,ec7f0awo,0.02733270451426506,0.8255813717842102,0.9666666388511658,0.7567567229270935,0.6404040455818176,0.02686145156621933,0.02733270451426506,0.8714801669120789,0.8872675895690918,0.9666666388511658,0.8161325454711914,0.644444465637207,0.9666666388511658,0.02733270451426506,0.9333333373069764,1.0,0.13,0.8255813717842102,0.8429153561592102,0.7842755317687988,0.8872675895690918,0.8608231544494629,0.8608231544494629,0.7650682926177979,0.644444465637207,0.7651007175445557,0.9743589758872986,0.9666666984558104,16,0.802786111831665,0.7733333110809326,0.8161325454711914,0.6363636255264282,0.8429153561592102,0.9666666984558104,0.02827521041035652,0.7842755317687988,0.949999988079071,0.837882399559021,0.6404494643211365,0.8714801669120789,0.7733333110809326,0.644444465637207,0.25,0.9500000476837158,0.7733333110809326,0.949999988079071,0.02755020558834076,0.802786111831665,0.9666666984558104,0.837882399559021
no_init_kenn_horizontal_adapter_bert_ms,2,mi84dgpz,0.02827521041035652,0.8257006406784058,1.0,0.7567567229270935,0.6373307704925537,0.02733270451426506,0.02827521041035652,0.8722021579742432,0.889228343963623,1.0,0.8156613111495972,0.6382978558540344,1.0,0.02827521041035652,0.9333333373069764,1.0,0.05,0.8257006406784058,0.8435993790626526,0.7839065790176392,0.889228343963623,0.8611372709274292,0.8611372709274292,0.7681887745857239,0.6382978558540344,0.7682119607925415,0.9830508828163148,1.0,21,0.8024245500564575,0.7792208194732666,0.8156613111495972,0.6363636255264282,0.8435993790626526,1.0,0.02827521041035652,0.7839065790176392,0.9666666984558104,0.837782621383667,0.6373626589775085,0.8722021579742432,0.7792208194732666,0.6382978558540344,0.25,0.9666666984558104,0.7792208194732666,0.9666666388511658,0.02779597043991089,0.8024245500564575,1.0,0.837782621383667
no_init_kenn_horizontal_adapter_bert_ms,1,nucanqdd,0.02733270451426506,0.8244535326957703,0.9666666388511658,0.7567567229270935,0.6141002178192139,0.02686145156621933,0.02733270451426506,0.8714801669120789,0.8872675895690918,0.9666666388511658,0.8147188425064087,0.5918367505073547,0.9666666388511658,0.02733270451426506,0.9333333373069764,1.0,0.03,0.8244535326957703,0.841206431388855,0.7822423577308655,0.8872675895690918,0.8608231544494629,0.8608231544494629,0.7459818124771118,0.5918367505073547,0.7450980544090271,0.9743589758872986,0.9666666984558104,16,0.7996915578842163,0.7341772317886353,0.8147188425064087,0.6363636255264282,0.841206431388855,0.9666666984558104,0.02827521041035652,0.7822423577308655,0.949999988079071,0.8371367454528809,0.6129032373428345,0.8714801669120789,0.7341772317886353,0.5918367505073547,0.25,0.9500000476837158,0.7341772317886353,0.949999988079071,0.02755020558834076,0.7996915578842163,0.9666666984558104,0.8371367454528809
