name,instance,run_id,epoch,test/micro/precision,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_CONTACT_INFO-url/macro_types/precision,test/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_types/f1,test/micro/f1,test/macro_example/recall,test_pretraining/micro/precision,test_incremental_CONTACT_INFO/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/micro/precision,test_incremental_CONTACT_INFO/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,test_incremental/micro/f1,test_pretraining/micro/f1,threshold_pretraining,test/macro_types/precision,threshold_incremental,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/f1,test/macro_types/recall,test/macro_example/precision,test_pretraining/macro_example/f1,test_incremental_CONTACT_INFO-url/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_CONTACT_INFO-url/macro_types/recall,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_types/precision,test_incremental_CONTACT_INFO/macro_types/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,j5i7xrob,34,0.7982276678085327,0.8454873561859131,0.27027028799057007,0.015551365911960602,0.8275997638702393,0.7142857313156128,0.8364962339401245,0.004712535068392754,0.1666666865348816,0.717391312122345,0.8262448310852051,0.5500000715255737,0.9333333969116212,0.019570259377360344,0.8455859422683716,0.1666666716337204,0.8291890621185303,0.550000011920929,0.8291890621185303,0.821178138256073,0.8455859422683716,0.7982276678085327,0.7179487347602844,0.1666666716337204,0.716117262840271,0.6921349167823792,0.7142857313156128,0.8115941882133484,0.1666666865348816,0.8321542739868164,0.02639019675552845,0.6226415038108826,0.821178138256073,0.175,0.8262448310852051,0.060000000000000005,0.6221611499786377,0.550000011920929,0.004712535068392754,0.004712535068392754,0.8321542739868164,0.8275997638702393,0.8364962339401245,0.27027028799057007,0.1666666865348816,0.1666666716337204,0.8454873561859131,0.27027028799057007,0.7142857313156128,0.9333333373069764
no_init_box_kenn_bottom_up_adapter_bert_ms,0,cwvngww5,34,0.4744149148464203,0.8635379076004028,0.05499541386961937,0.02733270451426506,0.4658969640731811,0.02827521227300167,0.6032974720001221,0.02827521041035652,1.0,0.05272727087140083,0.7858912944793701,0.9666666984558104,1.0,0.02779597043991089,0.8556393384933472,1.0,0.8308095932006836,0.9666666388511658,0.8308095932006836,0.6123911738395691,0.8556393384933472,0.4744149148464203,0.7179487347602844,1.0,0.3731119632720947,0.9830508828163148,0.02827521227300167,0.8115941882133484,1.0,0.881173849105835,0.02827521041035652,0.09999999403953552,0.6123911738395691,0.175,0.7858912944793701,0.0,0.5384097099304199,0.9666666984558104,0.02827521041035652,0.02827521041035652,0.881173849105835,0.4658969640731811,0.6032974720001221,0.05499541386961937,1.0,1.0,0.8635379076004028,0.05499541386961937,0.02827521227300167,0.9333333373069764
no_init_kenn_hybrid_adapter_bert_ms,2,c7izlyze,35,0.7842755317687988,0.8714801669120789,0.7733333110809326,0.02686145156621933,0.8161325454711914,0.644444465637207,0.837882399559021,0.02733270451426506,0.9666666984558104,0.6404494643211365,0.802786111831665,0.9500000476837158,1.0,0.02755020558834076,0.8608231544494629,0.9666666388511658,0.8429153561592102,0.949999988079071,0.8429153561592102,0.8255813717842102,0.8608231544494629,0.7842755317687988,0.6363636255264282,0.9666666388511658,0.6404040455818176,0.9743589758872986,0.644444465637207,0.7567567229270935,0.9666666984558104,0.8872675895690918,0.02827521041035652,0.7651007175445557,0.8255813717842102,0.25,0.802786111831665,0.5700000000000001,0.7650682926177979,0.949999988079071,0.02733270451426506,0.02733270451426506,0.8872675895690918,0.8161325454711914,0.837882399559021,0.7733333110809326,0.9666666984558104,0.9666666388511658,0.8714801669120789,0.7733333110809326,0.644444465637207,0.9333333373069764
no_init_kenn_top_down_adapter_bert_ms,2,03r2kyab,34,0.7837662100791931,0.8714801669120789,0.7631579041481018,0.02686145156621933,0.8161325454711914,0.6304348111152649,0.837882399559021,0.02733270451426506,0.9666666984558104,0.6333333253860474,0.8019620180130005,0.9500000476837158,1.0,0.02755020558834076,0.8608231544494629,0.9666666388511658,0.8424608111381531,0.949999988079071,0.8424608111381531,0.8252991437911987,0.8608231544494629,0.7837662100791931,0.6363636255264282,0.9666666388511658,0.633399248123169,0.9743589758872986,0.6304348111152649,0.7567567229270935,0.9666666984558104,0.8872675895690918,0.02827521041035652,0.7599999904632568,0.8252991437911987,0.25,0.8019620180130005,0.44,0.760047435760498,0.949999988079071,0.02733270451426506,0.02733270451426506,0.8872675895690918,0.8161325454711914,0.837882399559021,0.7631579041481018,0.9666666984558104,0.9666666388511658,0.8714801669120789,0.7631579041481018,0.6304348111152649,0.9333333373069764
no_init_kenn_bottom_up_adapter_bert_ms,2,dqwmewfq,36,0.7842755317687988,0.8714801669120789,0.7733333110809326,0.02686145156621933,0.8161325454711914,0.644444465637207,0.837882399559021,0.02733270451426506,0.9666666984558104,0.6404494643211365,0.802786111831665,0.9500000476837158,1.0,0.02755020558834076,0.8608231544494629,0.9666666388511658,0.8429153561592102,0.949999988079071,0.8429153561592102,0.8255813717842102,0.8608231544494629,0.7842755317687988,0.6363636255264282,0.9666666388511658,0.6404040455818176,0.9743589758872986,0.644444465637207,0.7567567229270935,0.9666666984558104,0.8872675895690918,0.02827521041035652,0.7651007175445557,0.8255813717842102,0.25,0.802786111831665,0.22,0.7650682926177979,0.949999988079071,0.02733270451426506,0.02733270451426506,0.8872675895690918,0.8161325454711914,0.837882399559021,0.7733333110809326,0.9666666984558104,0.9666666388511658,0.8714801669120789,0.7733333110809326,0.644444465637207,0.9333333373069764
no_init_kenn_hybrid_adapter_bert_ms,1,t3fsk6ro,39,0.7853403091430664,0.8664259910583496,0.6875,0.023562677204608917,0.8153471350669861,0.6470588445663452,0.835904061794281,0.020735155791044235,0.7333333492279053,0.6410256624221802,0.8029399514198303,0.8333333730697632,0.9333333969116212,0.02489641495049,0.8575243353843689,0.7333333492279053,0.8367543816566467,0.8333333134651184,0.8367543816566467,0.8238928914070129,0.8575243353843689,0.7853403091430664,0.6363636255264282,0.7333333492279053,0.6417112350463867,0.8805031776428223,0.6470588445663452,0.7567567229270935,0.7333333492279053,0.873542070388794,0.02639019675552845,0.7246376276016235,0.8238928914070129,0.25,0.8029399514198303,0.78,0.7250755429267883,0.8333333730697632,0.020735155791044235,0.020735155791044235,0.873542070388794,0.8153471350669861,0.835904061794281,0.6875,0.7333333492279053,0.7333333492279053,0.8664259910583496,0.6875,0.6470588445663452,0.9333333373069764
no_init_kenn_horizontal_adapter_bert_ms,2,c1ih3b6q,36,0.7822423577308655,0.8714801669120789,0.7341772317886353,0.02686145156621933,0.8147188425064087,0.5918367505073547,0.8371367454528809,0.02733270451426506,0.9666666984558104,0.6129032373428345,0.7996915578842163,0.9500000476837158,1.0,0.02755020558834076,0.8608231544494629,0.9666666388511658,0.841206431388855,0.949999988079071,0.841206431388855,0.8244535326957703,0.8608231544494629,0.7822423577308655,0.6363636255264282,0.9666666388511658,0.6141002178192139,0.9743589758872986,0.5918367505073547,0.7567567229270935,0.9666666984558104,0.8872675895690918,0.02827521041035652,0.7450980544090271,0.8244535326957703,0.25,0.7996915578842163,0.05,0.7459818124771118,0.949999988079071,0.02733270451426506,0.02733270451426506,0.8872675895690918,0.8147188425064087,0.8371367454528809,0.7341772317886353,0.9666666984558104,0.9666666388511658,0.8714801669120789,0.7341772317886353,0.5918367505073547,0.9333333373069764
no_init_kenn_top_down_adapter_bert_ms,1,7699p4wb,38,0.7844545841217041,0.8671480417251587,0.6865671873092651,0.024033930152654648,0.8151900768280029,0.6216216087341309,0.8360452651977539,0.021677661687135696,0.7666667103767395,0.6296296119689941,0.8014436364173889,0.8500000238418579,0.9333333969116212,0.025157008320093155,0.8579956293106079,0.7666666507720947,0.8368379473686218,0.8500000238418579,0.8368379473686218,0.8237311244010925,0.8579956293106079,0.7844545841217041,0.6363636255264282,0.7666666507720947,0.6289926171302795,0.8897196650505066,0.6216216087341309,0.7567567229270935,0.7666667103767395,0.87550288438797,0.02639019675552845,0.7234042286872864,0.8237311244010925,0.25,0.8014436364173889,0.8300000000000001,0.7229836583137512,0.8500000238418579,0.021677661687135696,0.021677661687135696,0.87550288438797,0.8151900768280029,0.8360452651977539,0.6865671873092651,0.7666667103767395,0.7666666507720947,0.8671480417251587,0.6865671873092651,0.6216216087341309,0.9333333373069764
no_init_kenn_bottom_up_adapter_bert_ms,1,z853t0s1,41,0.7845953106880188,0.867870032787323,0.7058823704719543,0.02450518310070038,0.8153471946716309,0.6315789222717285,0.8363516330718994,0.022620169445872307,0.8000000715255737,0.6341463327407837,0.8020293712615967,0.8666667342185974,0.9333333969116212,0.02541278302669525,0.8584668636322021,0.800000011920929,0.83805251121521,0.8666666746139526,0.83805251121521,0.824134349822998,0.8584668636322021,0.7845953106880188,0.6363636255264282,0.800000011920929,0.6339712738990784,0.898765504360199,0.6315789222717285,0.7567567229270935,0.8000000715255737,0.8774636387825012,0.02639019675552845,0.7323943972587585,0.824134349822998,0.25,0.8020293712615967,0.6,0.732277512550354,0.8666666746139526,0.022620169445872307,0.022620169445872307,0.8774636387825012,0.8153471946716309,0.8363516330718994,0.7058823704719543,0.8000000715255737,0.800000011920929,0.867870032787323,0.7058823704719543,0.6315789222717285,0.9333333373069764
no_init_kenn_horizontal_adapter_bert_ms,1,al3pum4g,42,0.7845953106880188,0.867870032787323,0.7058823704719543,0.02450518310070038,0.8153471946716309,0.6315789222717285,0.8363516330718994,0.022620169445872307,0.8000000715255737,0.6341463327407837,0.8020293712615967,0.8666667342185974,0.9333333969116212,0.02541278302669525,0.8584668636322021,0.800000011920929,0.83805251121521,0.8666666746139526,0.83805251121521,0.824134349822998,0.8584668636322021,0.7845953106880188,0.6363636255264282,0.800000011920929,0.6339712738990784,0.898765504360199,0.6315789222717285,0.7567567229270935,0.8000000715255737,0.8774636387825012,0.02639019675552845,0.7323943972587585,0.824134349822998,0.25,0.8020293712615967,0.6,0.732277512550354,0.8666666746139526,0.022620169445872307,0.022620169445872307,0.8774636387825012,0.8153471946716309,0.8363516330718994,0.7058823704719543,0.8000000715255737,0.800000011920929,0.867870032787323,0.7058823704719543,0.6315789222717285,0.9333333373069764
