name,instance,run_id,test_incremental/macro_example/recall,test_incremental_only/macro_types/recall,test/macro_types/f1,test_incremental/micro/precision,test_incremental/micro/f1,test_incremental_rail/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test/macro_example/recall,test_incremental_rail-railway/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/precision,test_incremental_rail-railway/macro_types/recall,test_incremental/micro/recall,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/f1,test/micro/f1,test/micro/recall,threshold_incremental,test_incremental_rail/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test/macro_example/f1,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_rail-railway/macro_types/precision,test/macro_types/precision,test_pretraining/macro_example/f1,threshold_pretraining,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/recall,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/recall,test_pretraining/macro_types/f1,test/micro/precision,test_incremental_rail/macro_types/precision,epoch,test_incremental/macro_types/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,atfvz39i,0.006958942860364914,0.9666666388511658,0.8497352600097656,0.5797101259231567,0.6201550364494324,0.523809552192688,0.01009046658873558,0.6666666865348816,0.7127193212509155,0.90717351436615,0.6666666865348816,0.01009046658873558,0.9666666984558104,0.01009046658873558,0.9666666388511658,0.6666666865348816,0.6666666865348816,0.7891156673431396,0.8904155492782593,0.8811403512954712,0.03,0.36666667461395264,0.8904155492782593,0.5087719559669495,0.9666666984558104,0.9146958589553832,0.90717351436615,0.9223440289497375,0.9666666984558104,0.5087719559669495,0.8826030492782593,0.9146958589553832,0.25,0.5087719559669495,0.6666667461395264,0.8811403512954712,0.8998880386352539,0.8826030492782593,0.819227397441864,0.01009046658873558,0.9223440289497375,0.008237116038799286,0.6889241933822632,0.9666666388511658,0.9666666984558104,0.819227397441864,0.8497352600097656,0.8998880386352539,0.9166666865348816,28,0.6666666269302368
no_init_box_kenn_bottom_up_adapter_bert_ms,0,by2vdw0r,0.0059151011519134045,0.7666666507720947,0.8510291576385498,0.8947368264198303,0.6938775777816772,0.523809552192688,0.008002784103155136,0.8214284777641296,0.9006410241127014,0.9065066576004028,0.8214284777641296,0.008002784103155136,0.7666667699813843,0.008002784103155136,0.7666666507720947,0.5666666626930237,0.8214284777641296,0.6516667604446411,0.892150342464447,0.8798245787620544,0.15000000000000002,0.36666667461395264,0.892150342464447,0.8846153616905212,0.7666667699813843,0.9154666662216188,0.9065066576004028,0.924605667591095,0.7666667103767395,0.8846153616905212,0.8901199102401733,0.9154666662216188,0.25,0.8846153616905212,0.5666667222976685,0.8798245787620544,0.9048263430595398,0.8901199102401733,0.8152273893356323,0.008002784103155136,0.924605667591095,0.006802366115152836,0.695645809173584,0.7666666507720947,0.7666667699813843,0.8152273893356323,0.8510291576385498,0.9048263430595398,0.9166666865348816,29,0.5666666626930237
smart_init_box_adapter_bert_ms,2,nu9w1kz5,0.006089074537158012,0.800000011920929,0.8508701920509338,0.8536585569381714,0.6930692791938782,0.523809552192688,0.008350730873644352,0.813559353351593,0.8721264600753784,0.9066226482391356,0.813559353351593,0.008350730873644352,0.8000000715255737,0.008698677644133568,0.800000011920929,0.5833333134651184,0.813559353351593,0.686274528503418,0.8920751810073853,0.8800438642501831,0.76,0.36666667461395264,0.8920751810073853,0.8275862336158752,0.8333333730697632,0.91546893119812,0.9066226482391356,0.924489676952362,0.8000000715255737,0.8275862336158752,0.8889793157577515,0.91546893119812,0.25,0.8275862336158752,0.5833333730697632,0.8800438642501831,0.9044399261474608,0.8889793157577515,0.8158940672874451,0.008350730873644352,0.924489676952362,0.007163617294281721,0.6990786790847778,0.800000011920929,0.8000000715255737,0.8158940672874451,0.8508701920509338,0.9044399261474608,0.9166666865348816,20,0.5833333730697632
smart_init_box_adapter_bert_ms,1,k8qmn944,0.0064370217733085155,0.8666666746139526,0.8514561653137207,0.8409090638160706,0.7115384340286255,0.523809552192688,0.009046625345945358,0.8387096524238586,0.8645833730697632,0.9068545699119568,0.8387096524238586,0.009046625345945358,0.8666667342185974,0.009046625345945358,0.8666666746139526,0.6166666746139526,0.8387096524238586,0.720599353313446,0.8922222256660461,0.8804824352264404,0.75,0.36666667461395264,0.8922222256660461,0.8125,0.8666667342185974,0.9155871868133544,0.9068545699119568,0.9244897365570068,0.8666667342185974,0.8125,0.8886775970458984,0.9155871868133544,0.25,0.8125,0.6166667342185974,0.8804824352264404,0.9042792916297911,0.8886775970458984,0.8172273635864258,0.009046625345945358,0.9244897365570068,0.007521912921220064,0.719878077507019,0.8666666746139526,0.8666667342185974,0.8172273635864258,0.8514561653137207,0.9042792916297911,0.9166666865348816,33,0.6166666746139526
smart_init_box_adapter_bert_ms,0,q4n71su7,0.006958942860364914,0.9666666388511658,0.8494993448257446,0.5555555820465088,0.6060605645179749,0.523809552192688,0.01009046658873558,0.6444444060325623,0.699999988079071,0.90717351436615,0.6444444060325623,0.01009046658873558,0.9666666984558104,0.01009046658873558,0.9666666388511658,0.6666666865348816,0.6444444060325623,0.7891156673431396,0.8901196122169495,0.8811403512954712,0.04,0.36666667461395264,0.8901196122169495,0.4833333194255829,0.9666666984558104,0.9146103262901306,0.90717351436615,0.9221700429916382,0.9666666984558104,0.4833333194255829,0.8820942640304565,0.9146103262901306,0.25,0.4833333194255829,0.6666667461395264,0.8811403512954712,0.899283766746521,0.8820942640304565,0.819227397441864,0.01009046658873558,0.9221700429916382,0.008237116038799286,0.6829268336296082,0.9666666388511658,0.9666666984558104,0.819227397441864,0.8494993448257446,0.899283766746521,0.9166666865348816,15,0.6666666269302368
no_init_kenn_horizontal_adapter_bert_ms,2,bzo2jdpa,0.0066109951585531235,0.8333333134651184,0.879920482635498,0.7599999904632568,0.6909090876579285,0.604651153087616,0.008698677644133568,0.7462686896324158,0.837837815284729,0.9151415228843688,0.7462686896324158,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6333333253860474,0.7462686896324158,0.7196969985961914,0.9051143527030944,0.8984649181365967,0.93,0.4333333373069763,0.9051143527030944,0.6756756901741028,0.8333333730697632,0.9210129380226136,0.9151415228843688,0.9269601106643676,0.833333432674408,0.6756756901741028,0.8997171521186829,0.9210129380226136,0.375,0.6756756901741028,0.6333333253860474,0.8984649181365967,0.9118629097938538,0.8997171521186829,0.8609762191772461,0.008698677644133568,0.9269601106643676,0.007512494456022978,0.7213716506958008,0.8333333134651184,0.8333333730697632,0.8609762191772461,0.879920482635498,0.9118629097938538,1.0,42,0.6333333253860474
no_init_kenn_horizontal_adapter_bert_ms,1,19hafz7l,0.0066109951585531235,0.8333333134651184,0.8809290528297424,0.8444444537162781,0.7238095998764038,0.604651153087616,0.008698677644133568,0.8064516186714172,0.890625,0.9151415228843688,0.8064516186714172,0.008698677644133568,0.8333333730697632,0.008698677644133568,0.8333333134651184,0.6333333253860474,0.8064516186714172,0.7196969985961914,0.9056145548820496,0.8984649181365967,0.97,0.4333333373069763,0.9056145548820496,0.78125,0.8333333730697632,0.921527862548828,0.9151415228843688,0.9280039072036744,0.833333432674408,0.78125,0.9018286466598512,0.921527862548828,0.375,0.78125,0.6333333253860474,0.8984649181365967,0.9128788113594056,0.9018286466598512,0.8609762191772461,0.008698677644133568,0.9280039072036744,0.007512494456022978,0.7402597069740295,0.8333333134651184,0.8333333730697632,0.8609762191772461,0.8809290528297424,0.9128788113594056,1.0,20,0.6333333253860474
no_init_kenn_horizontal_adapter_bert_ms,0,7ayavygb,0.006784969009459019,0.8666666746139526,0.8798707127571106,0.7222222089767456,0.6842105388641357,0.604651153087616,0.009046625345945358,0.7323943972587585,0.8170731663703918,0.9152575135231018,0.7323943972587585,0.009046625345945358,0.8666667342185974,0.009046625345945358,0.8666666746139526,0.6499999761581421,0.7323943972587585,0.7428571581840515,0.9049354195594788,0.8986842036247253,0.9,0.4333333373069763,0.9049354195594788,0.6341463327407837,0.8666667342185974,0.9211002588272096,0.9152575135231018,0.927018105983734,0.8666667342185974,0.6341463327407837,0.8988865613937378,0.9211002588272096,0.375,0.6341463327407837,0.6500000357627869,0.8986842036247253,0.9112741947174072,0.8988865613937378,0.8616428375244141,0.009046625345945358,0.927018105983734,0.007754250429570675,0.7240232229232788,0.8666666746139526,0.8666667342185974,0.8616428375244141,0.8798707127571106,0.9112741947174072,1.0,26,0.6499999761581421
no_init_kenn_hybrid_adapter_bert_ms,2,2hzety8g,0.006263048388063908,0.7666666507720947,0.8803435564041138,0.8571428656578064,0.7058824300765991,0.604651153087616,0.008002784103155136,0.7796610593795776,0.8965517282485962,0.914909601211548,0.7796610593795776,0.008002784103155136,0.7666667699813843,0.008002784103155136,0.7666666507720947,0.6000000238418579,0.7796610593795776,0.6731707453727722,0.9054726362228394,0.8980262875556946,0.97,0.4333333373069763,0.9054726362228394,0.7931034564971924,0.7666667699813843,0.9214102029800416,0.914909601211548,0.9280039668083192,0.7666667103767395,0.7931034564971924,0.9020656943321228,0.9214102029800416,0.375,0.7931034564971924,0.6000000238418579,0.8980262875556946,0.91304349899292,0.9020656943321228,0.8596428632736206,0.008002784103155136,0.9280039668083192,0.00702683487907052,0.7188940644264221,0.7666666507720947,0.7666667699813843,0.8596428632736206,0.8803435564041138,0.91304349899292,1.0,38,0.6000000238418579
no_init_kenn_top_down_adapter_bert_ms,2,3s0pu41x,0.006437021307647228,0.800000011920929,0.8802818655967712,0.8222222328186035,0.7047619223594666,0.604651153087616,0.008350730873644352,0.7741935849189758,0.875,0.915025532245636,0.7741935849189758,0.008350730873644352,0.8000000715255737,0.008350730873644352,0.800000011920929,0.6166666746139526,0.7741935849189758,0.6964706182479858,0.9053934216499328,0.898245632648468,0.97,0.4333333373069763,0.9053934216499328,0.75,0.8000000715255737,0.9212974905967712,0.915025532245636,0.9276560544967652,0.8000000715255737,0.75,0.9012036323547364,0.9212974905967712,0.375,0.75,0.6166666746139526,0.898245632648468,0.9126559495925904,0.9012036323547364,0.8603095412254333,0.008350730873644352,0.9276560544967652,0.007270047906786203,0.7234636545181274,0.800000011920929,0.8000000715255737,0.8603095412254333,0.8802818655967712,0.9126559495925904,1.0,42,0.6166666746139526
