name,instance,run_id,test/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,threshold_pretraining,test_incremental/macro_example/f1,test/macro_types/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test/macro_example/f1,test_incremental_rail/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/micro/f1,test_incremental/micro/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_rail-railway/macro_types/recall,epoch,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental_rail-railway/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_rail/macro_types/precision,test_incremental_rail/macro_types/recall,test_incremental_rail-railway/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,threshold_incremental,test/macro_example/recall,test_incremental/macro_example/precision,test/micro/f1,test/micro/recall,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,ia7aqdak,0.8158940672874451,0.708722710609436,0.9155542850494384,0.25,0.007042785175144672,0.8514313101768494,0.8800438642501831,0.800000011920929,0.9155542850494384,0.523809552192688,0.006089074537158012,0.008350730873644352,0.8888888955116272,0.9246636629104614,0.8000000715255737,0.9048478007316588,0.9246636629104614,0.8514313101768494,0.9048478007316588,0.008350730873644352,0.8888888955116272,0.8922735452651978,0.7070707082748413,0.5833333730697632,0.8421052694320679,0.800000011920929,38,0.8000000715255737,0.008350730873644352,0.5833333730697632,0.8421052694320679,0.8902053833007812,0.8974359035491943,0.800000011920929,0.9066226482391356,0.8888888955116272,0.8000000715255737,0.9027777910232544,0.6746988296508789,0.9166666865348816,0.36666667461395264,0.8421052694320679,0.5833333134651184,0.8158940672874451,0.8902053833007812,0.38,0.9066226482391356,0.008350730873644352,0.8922735452651978,0.8800438642501831,0.8000000715255737
no_init_box_kenn_bottom_up_adapter_bert_ms,0,rl4tmm9d,0.8158940672874451,0.708722710609436,0.9155542850494384,0.25,0.007042785175144672,0.8514313101768494,0.8800438642501831,0.800000011920929,0.9155542850494384,0.523809552192688,0.006089074537158012,0.008350730873644352,0.8888888955116272,0.9246636629104614,0.8000000715255737,0.9048478007316588,0.9246636629104614,0.8514313101768494,0.9048478007316588,0.008350730873644352,0.8888888955116272,0.8922735452651978,0.7070707082748413,0.5833333730697632,0.8421052694320679,0.800000011920929,41,0.8000000715255737,0.008350730873644352,0.5833333730697632,0.8421052694320679,0.8902053833007812,0.8974359035491943,0.800000011920929,0.9066226482391356,0.8888888955116272,0.8000000715255737,0.9027777910232544,0.6746988296508789,0.9166666865348816,0.36666667461395264,0.8421052694320679,0.5833333134651184,0.8158940672874451,0.8902053833007812,0.06999999999999999,0.9066226482391356,0.008350730873644352,0.8922735452651978,0.8800438642501831,0.8000000715255737
smart_init_box_adapter_bert_ms,2,7n15207m,0.8185607194900513,0.7486405968666077,0.915876030921936,0.25,0.007999120280146599,0.8525100350379944,0.8809210658073425,0.9333333373069764,0.915876030921936,0.523809552192688,0.006784969009459019,0.00974251888692379,0.8484848737716675,0.9248376488685608,0.9333333969116212,0.9045259952545166,0.9248376488685608,0.8525100350379944,0.9045259952545166,0.00974251888692379,0.8484848737716675,0.8925674557685852,0.7428571581840515,0.6499999761581421,0.888888955116272,0.9333333373069764,24,0.9333333969116212,0.00974251888692379,0.6500000357627869,0.888888955116272,0.8893972635269165,0.8666666746139526,0.9333333373069764,0.9070864915847778,0.8484848737716675,0.9333333969116212,0.8825757503509521,0.7663158178329468,0.9166666865348816,0.36666667461395264,0.888888955116272,0.6499999761581421,0.8185607194900513,0.8893972635269165,0.56,0.9070864915847778,0.00974251888692379,0.8925674557685852,0.8809210658073425,0.9333333969116212
smart_init_box_adapter_bert_ms,1,nul8gcif,0.8152273893356323,0.6907041072845459,0.9154950976371764,0.25,0.00692499615252018,0.8507295250892639,0.8798245787620544,0.7666666507720947,0.9154950976371764,0.523809552192688,0.005915100686252117,0.008002784103155136,0.8518518805503845,0.9246636629104614,0.7666667103767395,0.9046223163604736,0.9246636629104614,0.8507295250892639,0.9046223163604736,0.008002784103155136,0.8518518805503845,0.892051100730896,0.6868686676025391,0.5666666626930237,0.8070175051689148,0.7666666507720947,30,0.8000000715255737,0.008002784103155136,0.5666667222976685,0.8070175051689148,0.8894646167755127,0.8717948794364929,0.7666666507720947,0.9065066576004028,0.8518518805503845,0.7666667103767395,0.8842592835426331,0.6634146571159363,0.9166666865348816,0.36666667461395264,0.8070175051689148,0.5666666626930237,0.8152273893356323,0.8894646167755127,0.6900000000000001,0.9065066576004028,0.008350730873644352,0.892051100730896,0.8798245787620544,0.7666667103767395
smart_init_box_adapter_bert_ms,0,2rrusefy,0.8178940415382385,0.741360068321228,0.9159022569656372,0.25,0.007760733366012573,0.8523546457290649,0.8807017803192139,0.8999999761581421,0.9159022569656372,0.523809552192688,0.0066109951585531235,0.009394572116434574,0.8709677457809448,0.9250116348266602,0.9000000953674316,0.9047082662582396,0.9250116348266602,0.8523546457290649,0.9047082662582396,0.009394572116434574,0.8709677457809448,0.8925436735153198,0.737864077091217,0.6333333253860474,0.8852458596229553,0.8999999761581421,22,0.9000000953674316,0.009394572116434574,0.6333333849906921,0.8852458596229553,0.889846920967102,0.8837209343910217,0.8999999761581421,0.9069705009460448,0.8709677457809448,0.9000000953674316,0.8938171863555908,0.7434782981872559,0.9166666865348816,0.36666667461395264,0.8852458596229553,0.6333333253860474,0.8178940415382385,0.889846920967102,0.45,0.9069705009460448,0.009394572116434574,0.8925436735153198,0.8807017803192139,0.9000000953674316
no_init_kenn_horizontal_adapter_bert_ms,2,2etwdne2,0.8603095412254333,0.7055330276489258,0.9210980534553528,0.375,0.007270047441124916,0.8793137073516846,0.898245632648468,0.800000011920929,0.9210980534553528,0.604651153087616,0.0064370217733085155,0.008350729942321777,0.6486486196517944,0.9271920919418336,0.8000000715255737,0.9116403460502625,0.9271920919418336,0.8793137073516846,0.9116403460502625,0.008350729942321777,0.6486486196517944,0.9048934578895568,0.6727272868156433,0.6166666746139526,0.7164179086685181,0.800000011920929,45,0.8000000715255737,0.008350729942321777,0.6166666746139526,0.7164179086685181,0.8991765975952148,0.7400000095367432,0.800000011920929,0.9150835275650024,0.6486486196517944,0.8000000715255737,0.8243243098258972,0.6964706182479858,1.0,0.4333333373069763,0.7164179086685181,0.6166666746139526,0.8603095412254333,0.8991765975952148,0.8,0.9150835275650024,0.008350729942321777,0.9048934578895568,0.898245632648468,0.8000000715255737
no_init_kenn_horizontal_adapter_bert_ms,1,252xm8qn,0.8609762191772461,0.7538574934005737,0.9217851161956788,0.375,0.007512494456022978,0.8816995024681091,0.8984649181365967,0.8333333134651184,0.9217851161956788,0.604651153087616,0.0066109951585531235,0.008698677644133568,0.8620689511299133,0.9285259246826172,0.833333432674408,0.9134894013404846,0.9285259246826172,0.8816995024681091,0.9134894013404846,0.008698677644133568,0.8620689511299133,0.9059149026870728,0.7450980544090271,0.6333333253860474,0.8474575877189636,0.8333333134651184,57,0.8333333730697632,0.008698677644133568,0.6333333253860474,0.8474575877189636,0.90344500541687,0.9047619104385376,0.8333333134651184,0.9151415228843688,0.8620689511299133,0.8333333730697632,0.9310344457626344,0.7196969985961914,1.0,0.4333333373069763,0.8474575877189636,0.6333333253860474,0.8609762191772461,0.90344500541687,0.93,0.9151415228843688,0.008698677644133568,0.9059149026870728,0.8984649181365967,0.8333333730697632
no_init_kenn_horizontal_adapter_bert_ms,0,31mpt1wh,0.8616428375244141,0.7408088445663452,0.9215294718742372,0.375,0.007754250429570675,0.880713701248169,0.8986842036247253,0.8666666746139526,0.9215294718742372,0.604651153087616,0.006784969009459019,0.009046625345945358,0.7222222089767456,0.9278879761695862,0.8666667342185974,0.91228848695755,0.9278879761695862,0.880713701248169,0.91228848695755,0.009046625345945358,0.7222222089767456,0.9054352641105652,0.7155963182449341,0.6499999761581421,0.7878787517547607,0.8666666746139526,51,0.8666667342185974,0.009046625345945358,0.6500000357627869,0.7878787517547607,0.9006480574607849,0.795918345451355,0.8666666746139526,0.9152575135231018,0.7222222089767456,0.8666667342185974,0.8611111044883728,0.7428571581840515,1.0,0.4333333373069763,0.7878787517547607,0.6499999761581421,0.8616428375244141,0.9006480574607849,0.8300000000000001,0.9152575135231018,0.009046625345945358,0.9054352641105652,0.8986842036247253,0.8666667342185974
no_init_kenn_hybrid_adapter_bert_ms,2,3j26mdmc,0.8603095412254333,0.7411402463912964,0.921655297279358,0.375,0.007270048372447491,0.8813029527664185,0.898245632648468,0.800000011920929,0.921655297279358,0.604651153087616,0.0064370217733085155,0.008350730873644352,0.8571428656578064,0.9283519387245178,0.8000000715255737,0.9134700894355774,0.9283519387245178,0.8813029527664185,0.9134700894355774,0.008350730873644352,0.8571428656578064,0.9057939052581788,0.7326732873916626,0.6166666746139526,0.8275862336158752,0.800000011920929,43,0.8000000715255737,0.008350730873644352,0.6166667342185974,0.8275862336158752,0.9033464789390564,0.9024389982223512,0.800000011920929,0.9150545597076416,0.8571428656578064,0.8000000715255737,0.9285714626312256,0.6964706778526306,1.0,0.4333333373069763,0.8275862336158752,0.6166666746139526,0.8603095412254333,0.9033464789390564,0.91,0.9150545597076416,0.008350730873644352,0.9057939052581788,0.898245632648468,0.8000000715255737
no_init_kenn_top_down_adapter_bert_ms,2,nb5d0tzi,0.8589761853218079,0.7056451439857483,0.9213660955429076,0.375,0.006782766431570053,0.8799235224723816,0.8978070020675659,0.7333333492279053,0.9213660955429076,0.604651153087616,0.006089074537158012,0.007654836401343346,0.7857142686843872,0.9280039668083192,0.7333333492279053,0.9130240678787231,0.9280039668083192,0.8799235224723816,0.9130240678787231,0.007654836401343346,0.7857142686843872,0.9053515791893004,0.6930692791938782,0.5833333730697632,0.7586206793785095,0.7333333492279053,43,0.7333333492279053,0.007654836401343346,0.5833333730697632,0.7586206793785095,0.9019179344177246,0.8536585569381714,0.7333333492279053,0.9148225784301758,0.7857142686843872,0.7333333492279053,0.8928571343421936,0.6497890949249268,1.0,0.4333333373069763,0.7586206793785095,0.5833333134651184,0.8589761853218079,0.9019179344177246,0.97,0.9148225784301758,0.007654836401343346,0.9053515791893004,0.8978070020675659,0.7333333492279053
