name,instance,run_id,test_pretraining/macro_example/recall,threshold_pretraining,test_incremental_FACILITY-ATTRACTION/macro_types/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_FACILITY-BUILDING/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/micro/recall,test_incremental_FACILITY/macro_types/precision,test_incremental_FACILITY-BUILDING/macro_types/precision,test_incremental/macro_types/precision,test_incremental_FACILITY-AIRPORT/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental/micro/precision,test/micro/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_FACILITY-AIRPORT/macro_types/recall,test/macro_types/precision,test_pretraining/micro/recall,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/f1,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental_FACILITY-ATTRACTION/macro_types/f1,test_incremental_FACILITY-BUILDING/macro_types/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1,test/micro/precision,test_pretraining/micro/precision,test_incremental_FACILITY/macro_types/recall,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental_FACILITY-AIRPORT/macro_types/precision,test_incremental/macro_example/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test/macro_example/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_FACILITY/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,epoch,test/macro_types/recall,test_incremental_FACILITY-ATTRACTION/macro_types/precision,threshold_incremental,test_incremental_only/macro_example_exclusive/recall,test/micro/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,lutzx535,0.8070216774940491,0.175,0.0,0.05000000074505806,0.7127755880355835,0.0,0.0833333283662796,0.33236151933670044,0.9557521939277648,0.0,0.39115044474601746,0.0,0.06715875118970871,1.0,0.9579831957817078,0.7823764681816101,0.005655042361468077,0.42413949966430664,0.0,0.716593861579895,0.7660130858421326,0.20000000298023224,0.716593861579895,0.23560556769371033,0.8170662522315979,0.8170662522315979,0.6428571939468384,0.0,0.0,0.3333333134651184,0.7994542717933655,0.7994542717933655,0.6428571343421936,1.0,0.04137931019067764,0.7823764681816101,0.06629834324121475,0.7089978456497192,0.0,0.05010996013879776,0.16857144236564636,0.8273640871047974,0.005655042361468077,0.034285712987184525,0.7127755880355835,0.4935064911842346,0.005655042361468077,0.8273640871047974,0.3164682686328888,0.8070216774940491,0.04137931019067764,0.7686832547187805,0.10179075598716736,0.25,29,0.7089978456497192,0.0,0.09,0.04137931019067764,0.7660130858421326
no_init_box_kenn_bottom_up_adapter_bert_ms,0,i9ov9z88,0.8079642057418823,0.175,0.0,0.06666667014360428,0.7144561409950256,0.0,0.10526316612958908,0.3381924331188202,0.9557521939277648,0.0,0.39115044474601746,0.0,0.06799999624490738,1.0,0.9586777091026306,0.7831887602806091,0.007540056481957436,0.4294523894786834,0.0,0.716593861579895,0.7673202753067017,0.2666666805744171,0.716593861579895,0.24832558631896973,0.8175491094589233,0.8175491094589233,0.6428571939468384,0.0,0.0,0.4210526645183563,0.7997274994850159,0.7997274994850159,0.6428571343421936,1.0,0.05517241358757019,0.7831887602806091,0.08743169158697128,0.7123311758041382,0.0,0.05105246603488922,0.18190477788448337,0.8273640871047974,0.007540056481957436,0.04571428522467613,0.7144561409950256,0.5000000596046448,0.007540056481957436,0.8273640871047974,0.3224206566810608,0.8079642057418823,0.05517241358757019,0.7686832547187805,0.10179075598716736,0.25,29,0.7123311758041382,0.0,0.01,0.05517241358757019,0.7673202753067017
no_init_kenn_hybrid_adapter_bert_ms,2,sa7xohz0,0.8470782041549683,0.25,0.6909090876579285,0.6102272868156433,0.8044734597206116,0.25,0.6345984935760498,0.6034985184669495,0.9732142686843872,0.8333333134651184,0.7234407663345337,0.6545454859733582,0.09062321484088898,0.6012269854545593,0.7527272701263428,0.800753116607666,0.07492931187152863,0.5723287463188171,0.6000000238418579,0.7823454737663269,0.8339869379997253,0.8999999761581421,0.7823454737663269,0.66654372215271,0.8215097784996033,0.8215097784996033,0.591269850730896,0.6725664138793945,0.3846153914928436,0.5869565606117249,0.7700663805007935,0.7700663805007935,0.648809552192688,0.4354838728904724,0.5896551609039307,0.800753116607666,0.5798816680908203,0.8278895616531372,0.7200000286102295,0.08781024068593979,0.6179437637329102,0.7974395155906677,0.08058435469865799,0.5600000023841858,0.8044734597206116,0.6699029207229614,0.07765401154756546,0.7974395155906677,0.5545635223388672,0.8470782041549683,0.568213164806366,0.7785714268684387,0.0936223715543747,0.6609973907470703,67,0.8278895616531372,0.6551724076271057,0.05,0.5482758283615112,0.8339869379997253
no_init_kenn_top_down_adapter_bert_ms,2,lxqbnych,0.8447219729423523,0.25,0.6000000238418579,0.5708333253860474,0.7845172882080078,0.25,0.5382103323936462,0.5830903649330139,0.9732142686843872,0.6000000238418579,0.601934552192688,0.6440677642822266,0.09027141332626344,0.45728641748428345,0.6430867910385132,0.7874650955200195,0.07115928083658218,0.5701069831848145,0.6333333253860474,0.7519689202308655,0.8294117450714111,0.800000011920929,0.7519689202308655,0.5940804481506348,0.8139092922210693,0.8139092922210693,0.6041667461395264,0.4962405860424042,0.3529411852359772,0.4948453903198242,0.7495570182800293,0.7495570182800293,0.648809552192688,0.35820895433425903,0.5931034088134766,0.7874650955200195,0.48663100600242615,0.820010781288147,0.6551724076271057,0.08545397222042084,0.5864286422729492,0.7852654457092285,0.08105561137199402,0.5199999809265137,0.7845172882080078,0.6116207242012024,0.07578574120998383,0.7852654457092285,0.5396825671195984,0.8447219729423523,0.5545424818992615,0.7785714268684387,0.09566446393728256,0.5091146230697632,67,0.820010781288147,0.42307692766189575,0.12,0.5206896066665649,0.8294117450714111
no_init_kenn_bottom_up_adapter_bert_ms,2,064oa4d5,0.8458215594291687,0.25,0.6363636255264282,0.5965908765792847,0.8028427958488464,0.25,0.6256859302520752,0.5947521924972534,0.9732142686843872,0.8823529481887817,0.7208542823791504,0.6545454859733582,0.0903102308511734,0.5828220844268799,0.7418181896209717,0.7988704442977905,0.07257304340600967,0.5703521370887756,0.6000000238418579,0.7816988229751587,0.8320261240005493,0.8999999761581421,0.7816988229751587,0.6590664982795715,0.8200434446334839,0.8200434446334839,0.596230149269104,0.6140350699424744,0.3896103799343109,0.5869565606117249,0.768255889415741,0.768255889415741,0.648809552192688,0.4354838728904724,0.5827586650848389,0.7988704442977905,0.5621302127838135,0.8251622915267944,0.7200000286102295,0.08655355870723724,0.6070346832275391,0.7957901358604431,0.07964184880256653,0.5428571701049805,0.8028427958488464,0.6601941585540771,0.07594331353902817,0.7957901358604431,0.5466269850730896,0.8458215594291687,0.5556955337524414,0.7785714268684387,0.0944077968597412,0.6577643156051636,67,0.8251622915267944,0.5932203531265259,0.05,0.5310344696044922,0.8320261240005493
no_init_kenn_hybrid_adapter_bert_ms,1,uqai7rct,0.840559184551239,0.25,0.4363636374473572,0.5340908765792847,0.7958948016166687,0.30000001192092896,0.5856777429580688,0.5626822113990784,0.9732142686843872,0.8181818127632141,0.7132792472839355,0.6363636255264282,0.08595973253250122,0.6268656849861145,0.7845528721809387,0.799239993095398,0.06409047544002533,0.5428767204284668,0.699999988079071,0.779805064201355,0.8248366117477417,0.699999988079071,0.779805064201355,0.6255481243133545,0.8176037073135376,0.8176037073135376,0.5704364776611328,0.5274725556373596,0.4390243887901306,0.6000000238418579,0.7751842737197876,0.7751842737197876,0.648809552192688,0.5249999761581421,0.475862056016922,0.799239993095398,0.5436893105506897,0.8126623630523682,0.5833333134651184,0.08199810981750488,0.5570346117019653,0.7958686947822571,0.06503298878669739,0.47999998927116394,0.7958948016166687,0.6553480625152588,0.06455828994512558,0.7958686947822571,0.5178571939468384,0.840559184551239,0.4723886251449585,0.7785714268684387,0.09032359719276428,0.6482954621315002,70,0.8126623630523682,0.6666666865348816,0.14,0.4689655005931854,0.8248366117477417
no_init_kenn_top_down_adapter_bert_ms,1,gol0albt,0.8433082103729248,0.25,0.4363636374473572,0.5840908885002136,0.7820785641670227,0.36666667461395264,0.5244272947311401,0.5860058069229126,0.9732142686843872,0.5641025900840759,0.5753012895584106,0.5952380895614624,0.08622536808252335,0.4693877696990967,0.6525974273681641,0.7888198494911194,0.06974552571773529,0.5445542931556702,0.8333333134651184,0.7453106045722961,0.8300653696060181,0.699999988079071,0.7453106045722961,0.5859665274620056,0.8115475177764893,0.8115475177764893,0.5515873432159424,0.4571428596973419,0.444444477558136,0.5060240626335144,0.7514792680740356,0.7514792680740356,0.648809552192688,0.3962264060974121,0.48160919547080994,0.7888198494911194,0.4959568977355957,0.822662353515625,0.46296295523643494,0.08513980358839035,0.5970346927642822,0.7820923328399658,0.0658184140920639,0.5257142782211304,0.7820785641670227,0.617511510848999,0.06772508472204208,0.7820923328399658,0.5376984477043152,0.8433082103729248,0.4955608248710632,0.7785714268684387,0.08733898401260376,0.4758229851722718,120,0.822662353515625,0.47999998927116394,0.060000000000000005,0.5103448629379272,0.8300653696060181
no_init_kenn_bottom_up_adapter_bert_ms,1,3qlsidiz,0.8407948017120361,0.25,0.4363636374473572,0.5424242615699768,0.7938794493675232,0.30000001192092896,0.5792449116706848,0.565597653388977,0.9732142686843872,0.75,0.6917857527732849,0.6285714507102966,0.08591720461845398,0.6028369069099426,0.7667984366416931,0.7981042861938477,0.06456173211336136,0.5426080822944641,0.7333333492279053,0.7744317054748535,0.8254901766777039,0.699999988079071,0.7744317054748535,0.621209979057312,0.8163864612579346,0.8163864612579346,0.567460298538208,0.5333333611488342,0.4285714626312256,0.5833333134651184,0.7724770903587341,0.7724770903587341,0.648809552192688,0.5,0.475862056016922,0.7981042861938477,0.5379747152328491,0.8143290281295776,0.550000011920929,0.08231228590011597,0.563701331615448,0.7933552861213684,0.06503298878669739,0.48571428656578064,0.7938794493675232,0.6510067582130432,0.06479650735855103,0.7933552861213684,0.5198413133621216,0.8407948017120361,0.4741316735744476,0.7785714268684387,0.08985234051942825,0.6214285492897034,67,0.8143290281295776,0.6857143044471741,0.09,0.4724137783050537,0.8254901766777039
no_init_kenn_hybrid_adapter_bert_ms,0,rvotu7d6,0.8444862961769104,0.25,0.6181818246841431,0.5587121248245239,0.818410336971283,0.38333332538604736,0.6728039383888245,0.5918367505073547,0.9732142686843872,1.0,0.8710018396377563,0.6909090876579285,0.0920744612812996,0.8468468189239502,0.9103139042854308,0.8114833235740662,0.07163053750991821,0.5814940333366394,0.6333333253860474,0.8192357420921326,0.8313725590705872,0.6000000238418579,0.8192357420921326,0.693959653377533,0.827132523059845,0.827132523059845,0.625,0.7234042882919312,0.5542168617248535,0.6666666865348816,0.7925233840942383,0.7925233840942383,0.648809552192688,0.75,0.5586206912994385,0.8114833235740662,0.6573426723480225,0.8175865411758423,0.7599999904632568,0.08608230948448181,0.5767316222190857,0.8104774951934814,0.07634307444095612,0.5371428728103638,0.818410336971283,0.7173144817352295,0.07391177117824554,0.8104774951934814,0.5436508059501648,0.8444862961769104,0.5408301949501038,0.7785714268684387,0.09896323829889296,0.8454487323760986,40,0.8175865411758423,0.8717948794364929,0.28,0.5241379141807556,0.8313725590705872
no_init_kenn_top_down_adapter_bert_ms,0,mtlarw3l,0.846214234828949,0.25,0.6545454263687134,0.5886363387107849,0.805277943611145,0.4333333373069763,0.6345224380493164,0.6093294620513916,0.9732142686843872,0.5531914830207825,0.7451766729354858,0.6153846383094788,0.0935266762971878,0.680272102355957,0.80694979429245,0.8060548901557922,0.07540056854486465,0.5906654596328735,0.6666666865348816,0.7877794504165649,0.8352941274642944,0.6000000238418579,0.7877794504165649,0.6651659607887268,0.8240079879760742,0.8240079879760742,0.6279761791229248,0.75,0.485981285572052,0.6666666865348816,0.7787933945655823,0.7787933945655823,0.648809552192688,0.75,0.58620685338974,0.8060548901557922,0.6211180090904236,0.8235714435577393,0.5714285969734192,0.08828149735927582,0.6006710529327393,0.8029375076293945,0.08011309802532196,0.5714285969734192,0.805277943611145,0.6943521499633789,0.07768543064594269,0.8029375076293945,0.557539701461792,0.846214234828949,0.5684430003166199,0.7785714268684387,0.099434494972229,0.6881672143936157,46,0.8235714435577393,0.8780487775802612,0.31,0.5517241358757019,0.8352941274642944
no_init_kenn_bottom_up_adapter_bert_ms,0,bq3snxwa,0.852262020111084,0.25,0.7636363506317139,0.6784090995788574,0.7936744093894958,0.5833333134651184,0.5784274339675903,0.6618075966835022,0.9732142686843872,0.3181818127632141,0.5979471206665039,0.42718446254730225,0.09804638475179672,0.44029849767684937,0.5973684191703796,0.7873632907867432,0.08953817188739777,0.6192097067832947,0.7333333492279053,0.7509720325469971,0.8470588326454163,0.6333333253860474,0.7509720325469971,0.6330313086509705,0.812644898891449,0.812644898891449,0.6339285969734192,0.7636363506317139,0.4117646813392639,0.6333333253860474,0.7355278134346008,0.7355278134346008,0.648809552192688,0.6333333253860474,0.6390804648399353,0.7873632907867432,0.5327313542366028,0.8415259122848511,0.30136987566947937,0.09582154452800752,0.6724892258644104,0.7765473127365112,0.08733898401260376,0.6742857098579407,0.7936744093894958,0.6279391050338745,0.08842490613460541,0.7765473127365112,0.6051587462425232,0.852262020111084,0.6470263600349426,0.7785714268684387,0.10037700831890106,0.5041303634643555,38,0.8415259122848511,0.7636363506317139,0.05,0.6551724076271057,0.8470588326454163
no_init_kenn_horizontal_adapter_bert_ms,2,ycz8ea15,0.8464498519897461,0.25,0.6727272868156433,0.6015151739120483,0.7932048439979553,0.23333333432674408,0.5817350149154663,0.5976676344871521,0.9732142686843872,0.6666666865348816,0.645214319229126,0.6206896305084229,0.09073269367218018,0.52173912525177,0.6925675868988037,0.7942643761634827,0.0730443000793457,0.5730202198028564,0.6000000238418579,0.7627888917922974,0.8326797485351562,0.8999999761581421,0.7627888917922974,0.6276275515556335,0.8159768581390381,0.8159768581390381,0.5997023582458496,0.5692307949066162,0.34567901492118835,0.6000000238418579,0.7592371702194214,0.7592371702194214,0.648809552192688,0.44999998807907104,0.5666666626930237,0.7942643761634827,0.5348188877105713,0.826147198677063,0.6428571343421936,0.08686773478984833,0.6109740734100342,0.7876217365264893,0.07744266092777252,0.5485714077949524,0.7932048439979553,0.6416274905204773,0.07517920434474945,0.7876217365264893,0.5486111640930176,0.8464498519897461,0.5501044392585754,0.7785714268684387,0.0949575901031494,0.5632143020629883,67,0.826147198677063,0.4933333396911621,0.02,0.5344827175140381,0.8326797485351562
