name,instance,run_id,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_FACILITY/macro_types/f1,test_incremental_FACILITY/macro_types/recall,test_incremental_FACILITY-BUILDING/macro_types/f1,threshold_incremental,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental_FACILITY-AIRPORT/macro_types/precision,test/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_FACILITY-ATTRACTION/macro_types/precision,test/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_FACILITY-AIRPORT/macro_types/recall,test/macro_example/f1,test_incremental/micro/precision,test_incremental_FACILITY-BUILDING/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/macro_example/precision,test/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_FACILITY/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test/micro/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/recall,test_incremental_FACILITY-ATTRACTION/macro_types/recall,test/macro_types/f1,test_incremental_FACILITY-BUILDING/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/f1,test/micro/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_FACILITY-HIGHWAY_STREET/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_incremental_FACILITY-AIRPORT/macro_types/f1,test_incremental_FACILITY-ATTRACTION/macro_types/f1,test/macro_example/precision,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,cm94i06n,0.48571428656578064,0.876288652420044,0.5416847467422485,0.6980108618736267,0.6930277347564697,0.8322694897651672,1.0,0.838281512260437,0.7686832547187805,0.6428571343421936,0.5652173757553101,0.02,0.175,0.07402855902910233,0.9200000166893004,0.8421077728271484,0.5661472082138062,0.8421077728271484,0.7777777910232544,0.8083916902542114,0.8083916902542114,0.7666666507720947,0.8322694897651672,0.9190475940704346,0.4333333373069763,0.58620685338974,26,0.8263430595397949,0.838281512260437,0.8775694370269775,0.9557521939277648,0.5469697117805481,0.5034482479095459,0.8249053955078125,0.8104956150054932,0.8034682273864746,0.5277777910232544,0.2545454502105713,0.8249053955078125,0.8125,0.09437412023544312,0.08356896042823792,0.8461538553237915,0.8034682273864746,0.10838831216096878,0.6845238208770752,0.08011309802532196,0.8176470398902893,0.893206000328064,0.5960174798965454,0.7333333492279053,0.8104956150054932,0.6739076375961304,0.8363636136054993,0.3835616409778595,0.8263430595397949,0.5626822113990784,0.8176470398902893,0.06880301237106323,0.625
no_init_box_kenn_bottom_up_adapter_bert_ms,0,xqjostin,0.4571428596973419,0.930232584476471,0.5089979767799377,0.6937268972396851,0.6874023079872131,0.8321723937988281,1.0,0.8364750146865845,0.7686832547187805,0.6428571343421936,0.5411764979362488,0.03,0.175,0.06956146657466888,1.0,0.8508291244506836,0.5458441972732544,0.8508291244506836,0.7647058963775635,0.8033159971237183,0.8033159971237183,0.7333333492279053,0.8321723937988281,0.9447236061096193,0.38333332538604736,0.5517240762710571,43,0.8279138803482056,0.8364750146865845,0.9211764931678772,0.9557521939277648,0.5215909481048584,0.4724137783050537,0.8263902068138123,0.8101430535316467,0.8059508204460144,0.513888955116272,0.23636363446712497,0.8263902068138123,0.9200000166893004,0.09295553714036942,0.08136977255344391,0.8461538553237915,0.8059508204460144,0.10838831216096878,0.6845238208770752,0.07540056109428406,0.814379096031189,0.9280916452407836,0.5870585441589355,0.7333333492279053,0.8101430535316467,0.666049599647522,0.8461538553237915,0.3611111044883728,0.8279138803482056,0.5481049418449402,0.814379096031189,0.06456173211336136,0.6130267977714539
no_init_kenn_hybrid_adapter_bert_ms,2,a068dg2i,0.5714285969734192,0.787401556968689,0.6178849339485168,0.7182131409645081,0.713939368724823,0.8286718130111694,0.7241379022598267,0.8486490249633789,0.7785714268684387,0.648809552192688,0.4680851101875305,0.23,0.25,0.08444233238697052,0.8125,0.8077683448791504,0.6291558742523193,0.8077683448791504,0.96875,0.8306926488876343,0.8306926488876343,0.8666666746139526,0.8286718130111694,0.874476969242096,0.36666667461395264,0.6448276042938232,26,0.8096135854721069,0.8486490249633789,0.788111686706543,0.9732142686843872,0.6242424249649048,0.5931034088134766,0.8190701007843018,0.8111709952354431,0.7884021997451782,0.5694444179534912,0.5636363625526428,0.8190701007843018,0.6470588445663452,0.09658613055944444,0.09016650915145874,0.7118643522262573,0.7884021997451782,0.10398994386196136,0.6567460894584656,0.08812440931797028,0.8352941274642944,0.8251322507858276,0.6099874377250671,0.699999988079071,0.8111709952354431,0.6966705322265625,0.8387096524238586,0.7126436829566956,0.8096135854721069,0.6093294620513916,0.8352941274642944,0.08105561137199402,0.6622516512870789
no_init_kenn_top_down_adapter_bert_ms,2,l3drigz0,0.7200000286102295,0.4051446914672851,0.7165002226829529,0.6135770678520203,0.6155566573143005,0.8113923668861389,0.24175824224948883,0.8562676906585693,0.7785714268684387,0.648809552192688,0.5228758454322815,0.06999999999999999,0.25,0.09791944921016692,0.5490196347236633,0.7348744869232178,0.7273377180099487,0.7348744869232178,0.4736842215061188,0.8552380800247192,0.8552380800247192,0.9333333373069764,0.8113923668861389,0.5555555820465088,0.6666666865348816,0.705747127532959,36,0.7709864974021912,0.8562676906585693,0.4236423969268799,0.9732142686843872,0.7469696998596191,0.7275862097740173,0.790500819683075,0.7820090055465698,0.7224376797676086,0.6339285969734192,0.6545454263687134,0.790500819683075,0.4301075339317322,0.10320130735635756,0.10037700086832048,0.3636363744735718,0.7224376797676086,0.10618913173675536,0.6706349849700928,0.09644988179206848,0.8522875905036926,0.5335568189620972,0.6517654061317444,0.7333333492279053,0.7820090055465698,0.5406539440155029,0.6913580298423767,0.5496183037757874,0.7709864974021912,0.6851311922073364,0.8522875905036926,0.099434494972229,0.5185185074806213
no_init_kenn_bottom_up_adapter_bert_ms,2,8g0zfjcn,0.5942857265472412,0.7222222089767456,0.6354172825813293,0.7111852765083313,0.704171895980835,0.8271310329437256,0.6363636255264282,0.8499057292938232,0.7785714268684387,0.648809552192688,0.5192307829856873,0.14,0.25,0.08683836460113525,0.7647058963775635,0.7963358163833618,0.642186164855957,0.7963358163833618,0.9090909361839294,0.8339501619338989,0.8339501619338989,0.8666666746139526,0.8271310329437256,0.83203125,0.44999998807907104,0.6586207151412964,26,0.8055450916290283,0.8499057292938232,0.7309492230415344,0.9732142686843872,0.6405303478240967,0.613793134689331,0.8147090673446655,0.8093434572219849,0.7826617956161499,0.579365074634552,0.5454545617103577,0.8147090673446655,0.6136363744735718,0.09809684008359908,0.09173735976219176,0.6666666865348816,0.7826617956161499,0.10540370643138884,0.66567462682724,0.0900094285607338,0.8379085063934326,0.7794021964073181,0.6195282340049744,0.699999988079071,0.8093434572219849,0.6827592849731445,0.8125,0.6818181872367859,0.8055450916290283,0.6209912300109863,0.8379085063934326,0.0838831290602684,0.6520376205444336
no_init_kenn_hybrid_adapter_bert_ms,1,wstruan1,0.7314285635948181,0.396284818649292,0.7181007266044617,0.6092544794082642,0.607337236404419,0.806611955165863,0.3684210479259491,0.8573672771453857,0.7785714268684387,0.648809552192688,0.5972222089767456,0.02,0.25,0.09813816845417024,0.45614033937454224,0.7321692705154419,0.724610447883606,0.7321692705154419,0.30399999022483826,0.8545562028884888,0.8545562028884888,0.8666666746139526,0.806611955165863,0.5448275804519653,0.7166666388511658,0.6873563528060913,31,0.7615300416946411,0.8573672771453857,0.4101165235042572,0.9732142686843872,0.7435605525970459,0.751724123954773,0.7886427640914917,0.7804003953933716,0.7187672257423401,0.6428571939468384,0.6909090876579285,0.7886427640914917,0.511904776096344,0.10318516194820404,0.10179076343774796,0.48275861144065857,0.7187672257423401,0.10461828857660294,0.6607142686843872,0.09393653273582458,0.8535947799682617,0.5227360725402832,0.6516634225845337,0.699999988079071,0.7804003953933716,0.5286513566970825,0.5977011322975159,0.42222222685813904,0.7615300416946411,0.6909620761871338,0.8535947799682617,0.10273326933383942,0.5140562057495117
no_init_kenn_top_down_adapter_bert_ms,1,jwc7fdcs,0.5371428728103638,0.6184210777282715,0.586469829082489,0.6688632369041443,0.6327317953109741,0.8204742670059204,0.5714285969734192,0.8455859422683716,0.7785714268684387,0.648809552192688,0.6226415038108826,0.3,0.25,0.08014903217554092,0.6285714507102966,0.7724044322967529,0.5888528823852539,0.7724044322967529,0.5277777910232544,0.8206168413162231,0.8206168413162231,0.7333333492279053,0.8204742670059204,0.7689393758773804,0.550000011920929,0.617241382598877,31,0.7968111038208008,0.8455859422683716,0.61129230260849,0.9732142686843872,0.5738636255264282,0.5586206912994385,0.7957810759544373,0.8010075688362122,0.7727825045585632,0.5535714626312256,0.34545454382896423,0.7957810759544373,0.717391312122345,0.09399215877056122,0.08765316009521484,0.6153846383094788,0.7727825045585632,0.10131950676441193,0.6398810148239136,0.08435437828302383,0.8313725590705872,0.6836766600608826,0.5936053395271301,0.6666666865348816,0.8010075688362122,0.5919870138168335,0.6769230365753174,0.4175823926925659,0.7968111038208008,0.5918367505073547,0.8313725590705872,0.07634306699037552,0.574923574924469
no_init_kenn_bottom_up_adapter_bert_ms,1,rang5c92,0.7257142663002014,0.39318886399269104,0.713693380355835,0.6066838502883911,0.6013939380645752,0.8056628704071045,0.3499999940395355,0.8568960428237915,0.7785714268684387,0.648809552192688,0.5931035280227661,0.02,0.25,0.09753584116697311,0.4464285671710968,0.7308353185653687,0.7179437279701233,0.7308353185653687,0.31147539615631104,0.8528895378112793,0.8528895378112793,0.8333333134651184,0.8056628704071045,0.5425287485122681,0.7166666388511658,0.685057520866394,31,0.7602105140686035,0.8568960428237915,0.40344658493995667,0.9732142686843872,0.7352272272109985,0.7448276281356812,0.7871591448783875,0.7798027992248535,0.7182168364524841,0.6398809552192688,0.6909090876579285,0.7871591448783875,0.5058823823928833,0.10294246673583984,0.10131950676441193,0.46666666865348816,0.7182168364524841,0.10461828857660294,0.6607142686843872,0.0936223715543747,0.8529411554336548,0.5174001455307007,0.6501307487487793,0.699999988079071,0.7798027992248535,0.5210007429122925,0.5813953280448914,0.4293785393238067,0.7602105140686035,0.6880466341972351,0.8529411554336548,0.10179076343774796,0.5100401639938354
no_init_kenn_hybrid_adapter_bert_ms,0,nkt7ljzy,0.6628571152687073,0.5321100950241089,0.6860509514808655,0.668647825717926,0.654797375202179,0.81846684217453,0.44897958636283875,0.8535972833633423,0.7785714268684387,0.648809552192688,0.5303030014038086,0.05,0.25,0.09375814348459244,0.6578947305679321,0.7586088180541992,0.6833983063697815,0.7586088180541992,0.5762711763381958,0.8442531824111938,0.8442531824111938,0.8333333134651184,0.81846684217453,0.6818181872367859,0.5833333134651184,0.6965516805648804,20,0.7861137390136719,0.8535972833633423,0.5423141717910767,0.9732142686843872,0.6920454502105713,0.6758620738983154,0.7991429567337036,0.7982726693153381,0.7558411359786987,0.6091269850730896,0.6181818246841431,0.7991429567337036,0.4861111044883728,0.09927096217870712,0.09644988924264908,0.5569620132446289,0.7558411359786987,0.10226202011108398,0.6458333730697632,0.09519320726394652,0.8457516431808472,0.6284942030906677,0.6269434094429016,0.7333333492279053,0.7982726693153381,0.6080984473228455,0.7352941036224365,0.5964912176132202,0.7861137390136719,0.6559766530990601,0.8457516431808472,0.09236568957567216,0.5903307199478149
no_init_kenn_top_down_adapter_bert_ms,0,8otxt6j7,0.6399999856948853,0.40143370628356934,0.6879310011863708,0.6021798253059387,0.5904259085655212,0.8094241619110107,0.4313725531101227,0.85218346118927,0.7785714268684387,0.648809552192688,0.4430379569530487,0.17,0.25,0.09401508420705797,0.5102040767669678,0.7336004972457886,0.6688528060913086,0.7336004972457886,0.3703703582286834,0.8406168222427368,0.8406168222427368,0.8333333134651184,0.8094241619110107,0.5652173757553101,0.5833333134651184,0.7241379022598267,15,0.7707508206367493,0.85218346118927,0.4172724783420563,0.9732142686843872,0.6738636493682861,0.6551724076271057,0.7834711670875549,0.7811080813407898,0.7275803685188293,0.5992063283920288,0.5454545617103577,0.7834711670875549,0.3571428656578064,0.1004253625869751,0.09487904608249664,0.5432099103927612,0.7275803685188293,0.1066603809595108,0.6736111640930176,0.09896324574947356,0.843137264251709,0.5284608602523804,0.6342340111732483,0.7333333492279053,0.7811080813407898,0.5153981447219849,0.6329114437103271,0.44117647409439087,0.7707508206367493,0.6443148851394653,0.843137264251709,0.08953817188739777,0.49339208006858826
