name,instance,run_id,test_pretraining/macro_example/recall,test_incremental/micro/f1,test/macro_types/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test_incremental_only/macro_types/precision,test_incremental_geography-mountain/macro_types/f1,test_incremental_geography-island/macro_types/f1,test_incremental_geography/macro_types/precision,test/micro/recall,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_geography/macro_types/recall,test/macro_types/f1,test/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_geography-glacier/macro_types/recall,test/micro/precision,test_incremental/macro_example/f1,epoch,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/micro/precision,test/micro/f1,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/recall,test_incremental_geography-island/macro_types/recall,test_incremental_geography-mountain/macro_types/recall,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example/precision,test_incremental_geography-glacier/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_geography-mountain/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/recall,test_incremental_geography/macro_types/f1,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_only/macro_types/recall,threshold_incremental,test_pretraining/macro_example/precision,test_incremental_geography-island/macro_types/precision,test_incremental_geography-glacier/macro_types/precision,test_pretraining/micro/precision
smart_init_box_adapter_bert_ms,2,ck4j6i50,0.9061296582221984,0.6440678238868713,0.8581035137176514,0.4913793206214905,0.9462365508079528,0.8581035137176514,0.6312103271484375,0.25,0.3333333432674408,0.5,0.48739495873451233,0.988095223903656,0.8818948864936829,0.9125667214393616,0.823737621307373,0.9222221970558168,0.8405694365501404,0.823737621307373,0.909336805343628,0.9666666388511658,0.8726455569267273,0.01976650394499302,10,0.015175769105553629,0.01020644884556532,0.3333333432674408,0.8772458434104919,0.934426248073578,0.8405694365501404,0.32592594623565674,0.8818948864936829,0.02922755852341652,0.9444445371627808,0.9333333969116212,0.9354838728904724,0.9375,0.4929972290992737,0.6503480672836304,0.4930397868156433,0.4970238208770752,0.48461291193962097,0.02957550436258316,0.014932730235159395,0.49152544140815735,0.4768518805503845,0.34090909361839294,0.9061296582221984,0.9404681921005248,0.9540229439735411,0.909336805343628,0.8772458434104919,0.946550190448761,0.11,0.9125667214393616,0.3295454680919647,0.3295454680919647,0.8726455569267273
smart_init_box_adapter_bert_ms,1,t2b6mv68,0.9064775705337524,0.5329249501228333,0.8524768948554993,0.37021276354789734,0.9784946441650392,0.8524768948554993,0.6447521448135376,0.25,0.2358052134513855,0.38749998807907104,0.3703703582286834,0.988095223903656,0.8825438022613525,0.9055257439613342,0.8255999684333801,0.9222221970558168,0.8388231992721558,0.8255999684333801,0.9060013294219972,1.0,0.8510638475418091,0.020190566778182983,35,0.01569780521094799,0.010554395616054537,0.23575130105018616,0.8665180206298828,0.9508196711540222,0.8388231992721558,0.33703702688217163,0.8825438022613525,0.02974947914481163,0.9777778387069702,0.9500000476837158,0.9677419066429138,0.96875,0.3799582719802856,0.5889653563499451,0.3800536394119262,0.4238777160644531,0.5012832880020142,0.030619345605373383,0.015280677936971188,0.3821656107902527,0.4879629909992218,0.2421875,0.9064775705337524,0.9646785259246826,0.9540229439735411,0.9060013294219972,0.8665180206298828,0.9788306951522828,0.01,0.9055257439613342,0.2290076315402985,0.23622047901153564,0.8510638475418091
smart_init_box_adapter_bert_ms,0,khu8w4pz,0.9065935611724854,0.4221954345703125,0.8483200669288635,0.27089783549308777,0.9892473220825196,0.8483200669288635,0.6508768796920776,0.25,0.16375374794006348,0.2818181812763214,0.2767857015132904,0.988095223903656,0.8827601075172424,0.893940806388855,0.8262202739715576,0.9222221970558168,0.8371243476867676,0.8262202739715576,0.9002227187156677,1.0,0.8211267590522766,0.020382363349199295,12,0.015935881063342094,0.01072836946696043,0.16370107233524325,0.8508287072181702,0.9562841653823853,0.8371243476867676,0.34259259700775146,0.8827601075172424,0.02992345206439495,0.98888897895813,0.9555555582046508,1.0,0.96875,0.2809160351753235,0.5359201431274414,0.28100714087486267,0.3698391020298004,0.5088858008384705,0.030967291444540024,0.015454650856554508,0.28436020016670227,0.4935185611248016,0.16489361226558685,0.9065935611724854,0.972743034362793,0.9540229439735411,0.9002227187156677,0.8508287072181702,0.9895833730697632,0.01,0.893940806388855,0.1606217622756958,0.16574585437774658,0.8211267590522766
no_init_box_adapter_bert_ms,2,ez18thdm,0.9025921821594238,0.8580246567726135,0.8951914310455322,0.9858155846595764,0.602150559425354,0.8951914310455322,0.8440588712692261,0.25,0.9761905074119568,0.5777778029441833,0.5777777433395386,0.988095223903656,0.874972939491272,0.9245187044143676,0.8042367696762085,0.9222221970558168,0.8472800850868225,0.8042367696762085,0.9134238958358764,1.0,0.9059350490570068,0.02643190324306488,56,0.019309496507048607,0.01948503777384758,0.9824561476707458,0.8901848196983337,0.7595628499984741,0.8472800850868225,0.6222223043441772,0.874972939491272,0.023892369121313095,0.6111111640930176,0.762963056564331,0.4193548262119293,0.40625,0.7466667294502258,0.8074373602867126,0.749714732170105,0.9791666865348816,0.6166166663169861,0.01913709193468094,0.02957550436258316,1.0,0.944444477558136,1.0,0.9025921821594238,0.6869567632675171,0.9540229439735411,0.9134238958358764,0.8901848196983337,0.6085349321365356,0.01,0.9245187044143676,0.9285714030265808,1.0,0.9059350490570068
no_init_box_adapter_bert_ms,1,w0lcvyom,0.9025921821594238,0.8580246567726135,0.895496666431427,0.9858155846595764,0.602150559425354,0.895496666431427,0.8407125473022461,0.25,0.9814815521240234,0.6086956262588501,0.6938775777816772,0.988095223903656,0.874972939491272,0.9245187044143676,0.8041139841079712,0.9222221970558168,0.8473486304283142,0.8041139841079712,0.9134238958358764,0.8333333134651184,0.9059350490570068,0.026327114552259445,49,0.019397659227252007,0.01948503777384758,0.9824561476707458,0.8901848196983337,0.7595628499984741,0.8473486304283142,0.6222223043441772,0.874972939491272,0.02395036071538925,0.6166667342185974,0.7648148536682129,0.5483871102333069,0.4375,0.7466667294502258,0.8076760768890381,0.7496460676193237,0.983134925365448,0.6194320917129517,0.01931106485426426,0.02922755852341652,0.9090909361839294,0.9333333969116212,1.0,0.9025921821594238,0.6853606700897217,0.9540229439735411,0.9134238958358764,0.8901848196983337,0.6064068078994751,0.03,0.9245187044143676,0.9444444179534912,1.0,0.9059350490570068
no_init_box_adapter_bert_ms,0,v4alzgax,0.9006785154342651,0.7834394574165344,0.8909560441970825,0.9389312863349916,0.4301075339317322,0.8909560441970825,0.7696114182472229,0.25,0.9027777910232544,0.17142857611179352,0.3589743375778198,0.988095223903656,0.8715119957923889,0.923822820186615,0.7945050001144409,0.9222221970558168,0.8399708271026611,0.7945050001144409,0.9121038913726808,1.0,0.9043771028518676,0.024100566282868385,43,0.013651938177645206,0.013917884789407252,0.8510638475418091,0.8876404762268066,0.6721311211585999,0.8399708271026611,0.444444477558136,0.8715119957923889,0.021050801500678062,0.42777779698371887,0.6722222566604614,0.22580644488334656,0.09375,0.5714285969734192,0.6977337002754211,0.5915088653564453,0.9241071343421936,0.4359518885612488,0.013395964168012142,0.028183717280626297,0.9090909361839294,0.9000000357627869,1.0,0.9006785154342651,0.5604446530342102,0.9540229439735411,0.9121038913726808,0.8876404762268066,0.4398521780967712,0.01,0.923822820186615,0.875,0.8333333134651184,0.9043771028518676
no_init_kenn_horizontal_adapter_bert_ms,2,aimb9p5w,0.9123289585113524,0.8908554315567017,0.9064229726791382,0.9679487347602844,0.7526881694793701,0.9064229726791382,0.8699576258659363,0.375,0.941269874572754,0.8363636136054993,0.6923076510429382,0.9878048896789552,0.8959550261497498,0.92803293466568,0.8554142713546753,0.8999999761581421,0.8801802396774292,0.8554142713546753,0.9201139807701112,0.9666666388511658,0.9143487811088562,0.027242930606007576,55,0.02409251220524311,0.02435629814863205,0.945945918560028,0.9050584435462952,0.8251366019248962,0.8801802396774292,0.7777778506278992,0.8959550261497498,0.025922060012817383,0.7611111402511597,0.8277778625488281,0.5806451439857483,0.71875,0.8383232951164246,0.8647439479827881,0.8381255865097046,0.9529036283493042,0.7693542838096619,0.02383437752723694,0.02870563603937626,0.9666666388511658,0.9166667461395264,1.0,0.9123289585113524,0.7915154695510864,0.9418604373931884,0.9201139807701112,0.9050584435462952,0.7553539276123047,0.25,0.92803293466568,0.8571428656578064,0.9666666388511658,0.9143487811088562
no_init_kenn_horizontal_adapter_bert_ms,1,iw5worod,0.9140397310256958,0.9352113008499146,0.9066821336746216,0.9651162624359132,0.9139785170555116,0.9066821336746216,0.931036114692688,0.375,0.9457615613937378,0.8852458596229553,0.9206348657608032,0.9878048896789552,0.8991996645927429,0.927772045135498,0.8646419048309326,0.8999999761581421,0.8851631879806519,0.8646419048309326,0.9208546876907348,0.9666666388511658,0.9144302606582642,0.029155615717172623,78,0.029226522892713547,0.02940153330564499,0.9444444179534912,0.906751036643982,0.9071038365364076,0.8851631879806519,0.9388889670372008,0.8991996645927429,0.028531663119792935,0.927777886390686,0.9111111760139464,0.9354838728904724,0.84375,0.9289617538452148,0.9333364963531494,0.9302815198898317,0.9562723636627196,0.9333003759384156,0.02905358374118805,0.029807470738887787,0.98305082321167,0.9518519639968872,0.931034505367279,0.9140397310256958,0.9114751219749452,0.9418604373931884,0.9208546876907348,0.906751036643982,0.915300190448761,0.08,0.927772045135498,0.90625,1.0,0.9144302606582642
no_init_kenn_horizontal_adapter_bert_ms,0,1qu9hgj5,0.9125319719314576,0.8767908215522766,0.9020273685455322,0.9216867685317992,0.774193525314331,0.9020273685455322,0.8578929305076599,0.375,0.865079402923584,0.7333332896232605,0.7692307233810425,0.9878048896789552,0.8963876366615295,0.9272210597991944,0.8566949963569641,0.8999999761581421,0.878777027130127,0.8566949963569641,0.9198178648948668,1.0,0.9127753376960754,0.02686511911451817,60,0.02478848397731781,0.02505219168961048,0.8571428656578064,0.9045072793960572,0.8360655903816223,0.878777027130127,0.8000000715255737,0.8963876366615295,0.026270007714629173,0.7833333611488342,0.838888943195343,0.6451612710952759,0.6875,0.8135592937469482,0.8497114181518555,0.8189847469329834,0.895760715007782,0.7915789484977722,0.02453027293086052,0.027487821877002716,0.9230769276618958,0.8777778744697571,0.7857142686843872,0.9125319719314576,0.8081653118133545,0.9418604373931884,0.9198178648948668,0.9045072793960572,0.7775537967681885,0.13,0.9272210597991944,0.9523809552192688,0.8571428656578064,0.9127753376960754
smart_init_kenn_hybrid_adapter_bert_ms,2,bffu8v8x,0.909893274307251,0.6753246188163757,0.8803653120994568,0.6435643434524536,0.5268816947937012,0.8803653120994568,0.6954979300498962,0.375,0.4896036684513092,0.29411765933036804,0.8965516686439514,0.9878048896789552,0.8914124965667725,0.923063099384308,0.8423081040382385,0.8999999761581421,0.8609163165092468,0.8423081040382385,0.9164309501647948,0.4333333373069763,0.9005681872367859,0.021779686212539673,17,0.011837254278361796,0.00922059826552868,0.40833333134651184,0.8959668874740601,0.7103825211524963,0.8609163165092468,0.2944444417953491,0.8914124965667725,0.022268615663051605,0.5277778506278992,0.7111111879348755,0.8387096524238586,0.3125,0.4600938856601715,0.6176251173019409,0.5081612467765808,0.6141539812088013,0.3780030310153961,0.016527488827705383,0.021311761811375615,0.29885056614875793,0.6805555820465088,0.2777777910232544,0.909893274307251,0.6211357116699219,0.9418604373931884,0.9164309501647948,0.8959668874740601,0.5281810164451599,0.54,0.923063099384308,0.9629629850387572,0.22807016968727112,0.9005681872367859
smart_init_kenn_top_down_adapter_bert_ms,2,wct7gy4j,0.913488745689392,0.6415841579437256,0.8715901374816895,0.5031055808067322,0.8709677457809448,0.8715901374816895,0.640815019607544,0.375,0.3375000059604645,0.5178571939468384,0.5045045018196106,0.9878048896789552,0.8983344435691833,0.9176533222198486,0.862018346786499,0.8999999761581421,0.866777777671814,0.862018346786499,0.9155662655830384,0.800000011920929,0.8843696713447571,0.02006727270781994,9,0.01395765133202076,0.009394573047757149,0.3375000059604645,0.8912973999977112,0.8852459192276001,0.866777777671814,0.30000001192092896,0.8983344435691833,0.027661796659231182,0.8666667342185974,0.8833333849906921,0.9032257795333862,0.90625,0.4864865243434906,0.6370508670806885,0.48630815744400024,0.500076174736023,0.4457142949104309,0.02713987417519093,0.015744606032967567,0.4363636374473572,0.5027778148651123,0.36250001192092896,0.913488745689392,0.8773689270019531,0.9418604373931884,0.9155662655830384,0.8912973999977112,0.8698253631591797,0.06999999999999999,0.9176533222198486,0.3499999940395355,0.30000001192092896,0.8843696713447571
