name,instance,run_id,test_incremental/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,threshold_pretraining,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,epoch,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_geography/macro_types/precision,test/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental_geography-island/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_geography/macro_types/recall,test_incremental_geography-island/macro_types/f1,test_incremental/macro_example/f1,test_incremental_geography/macro_types/f1,test_incremental_geography-glacier/macro_types/precision,test/micro/recall,test_pretraining/micro/recall,test_incremental/micro/precision,test/micro/precision,test/macro_example/precision,test_incremental_only/micro/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/recall,test/macro_example/f1,test_incremental_geography-glacier/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,test_incremental_geography-mountain/macro_types/recall,test/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_geography-mountain/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_geography-island/macro_types/precision,test_incremental_geography-mountain/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/f1,test_pretraining/micro/precision,test_incremental_geography-glacier/macro_types/f1,test/micro/f1,threshold_incremental
no_init_box_kenn_horizontal_adapter_bert_ms,1,xzmclnh2,0.830548882484436,0.020789477974176407,0.02957550436258316,0.25,0.7176187038421631,0.8585858941078186,0.020876826718449593,47,0.7814207673072815,0.9136762619018556,0.985660195350647,0.6494176387786865,0.988095223903656,0.8065953254699707,0.9030851125717164,0.8906731009483337,0.7870370745658875,0.944444477558136,0.6774193644523621,0.9245187044143676,0.9222221970558168,0.7924528121948242,0.02688682451844215,0.9540229439735411,1.0,0.8758382201194763,0.8758382201194763,0.9862068891525269,0.9060192704200744,0.9245187044143676,0.7792207598686218,0.8488115072250366,0.9030851125717164,0.9136762619018556,0.8333333134651184,0.020702853798866272,0.6451612710952759,0.9836065769195556,0.89569091796875,0.6611111760139465,0.8488115072250366,0.4375,0.89569091796875,0.7827097177505493,0.9848484992980956,0.6086956262588501,0.6666667461395264,0.8065953254699707,0.024646256119012833,0.9545454382896424,1.0,0.6638773679733276,0.871951162815094,0.9060192704200744,0.9090909361839294,0.8906731009483337,0.01
no_init_box_kenn_horizontal_adapter_bert_ms,0,xjkoxrg6,0.738326370716095,0.01582968421280384,0.02957550436258316,0.25,0.6050010919570923,0.8089188933372498,0.016005568206310272,47,0.7049180269241333,0.9128296375274658,0.9470238089561462,0.4992607533931732,0.988095223903656,0.7979324460029602,0.9014323949813844,0.8889623284339905,0.7074074745178223,0.944444477558136,0.12903225421905518,0.9245187044143676,0.9222221970558168,0.2222222238779068,0.025331486016511917,0.9540229439735411,1.0,0.872809886932373,0.872809886932373,0.9847328066825868,0.9057239294052124,0.9245187044143676,0.6571428775787354,0.8426685333251953,0.9014323949813844,0.9128296375274658,0.8999999761581421,0.015657620504498482,0.49462366104125977,0.978723406791687,0.8927189111709595,0.5,0.8426685333251953,0.46875,0.8927189111709595,0.6505355834960938,0.9333333969116212,0.6382978558540344,0.5111111402511597,0.7979324460029602,0.022152632474899292,0.800000011920929,1.0,0.5054945349693298,0.8216561079025269,0.9057239294052124,0.9473683834075928,0.8889623284339905,0.01
smart_init_box_adapter_bert_ms,2,c44xss36,0.6499320268630981,0.015349782072007656,0.015048712491989136,0.25,0.9488015174865724,0.635725200176239,0.010322431102395058,7,0.939890682697296,0.909179151058197,0.4942460358142853,0.9576613306999208,0.988095223903656,0.8243786096572876,0.9062456488609314,0.8768949508666992,0.9388889074325562,0.48055559396743774,0.9354838728904724,0.9121317863464355,0.9222221970558168,0.4793388545513153,0.01990788616240025,0.9540229439735411,0.3333333432674408,0.8821111917495728,0.8821111917495728,0.4858756959438324,0.8717400431632996,0.9121317863464355,0.4903581440448761,0.8408004641532898,0.9062456488609314,0.909179151058197,1.0,0.02992345206439495,0.9569892287254332,0.3296296298503876,0.8578898310661316,0.9555555582046508,0.8408004641532898,0.9375,0.8578898310661316,0.4904463291168213,0.32962965965270996,0.49180325865745544,0.32962965965270996,0.8243786096572876,0.02940153330564499,0.3222222328186035,0.3333333432674408,0.4901697635650635,0.6405959129333496,0.8717400431632996,0.5,0.8768949508666992,0.09
smart_init_box_adapter_bert_ms,1,y0zv9nse,0.5295839905738831,0.015871815383434296,0.015396660193800926,0.25,0.972743034362793,0.6492642760276794,0.010670378804206848,12,0.9562841653823853,0.897558867931366,0.3638310432434082,0.9895833730697632,0.988095223903656,0.8262202739715576,0.9065935611724854,0.8482643961906433,0.9555555582046508,0.491666704416275,1.0,0.8887025117874146,0.9222221970558168,0.2649572789669037,0.020331867039203644,0.9540229439735411,0.15306122601032257,0.8827601075172424,0.8827601075172424,0.25925925374031067,0.8163632750511169,0.8887025117874146,0.2690058648586273,0.8368991613388062,0.9065935611724854,0.897558867931366,1.0,0.030967291444540024,0.9892473220825196,0.15566836297512054,0.8478578925132751,0.98888897895813,0.8368991613388062,0.96875,0.8478578925132751,0.2691296637058258,0.15574297308921814,0.2767857015132904,0.34074074029922485,0.8262202739715576,0.02992345206439495,0.15270936489105225,0.1614583283662796,0.5068400502204895,0.40792542695999146,0.8163632750511169,0.2654867172241211,0.8482643961906433,0.01
smart_init_box_adapter_bert_ms,0,gw2s9ez2,0.6026492714881897,0.01552379410713911,0.015164695680141447,0.25,0.9566140174865724,0.6402391195297241,0.010438413359224796,11,0.9453551769256592,0.9060425162315368,0.43988409638404846,0.9680780172348022,0.988095223903656,0.8249796032905579,0.9063615798950196,0.8696301579475403,0.9444445371627808,0.4842592775821686,0.9354838728904724,0.905723750591278,0.9222221970558168,0.3918918967247009,0.02004924044013023,0.9540229439735411,0.2586206793785095,0.8823274970054626,0.8823274970054626,0.3986175060272217,0.8572930097579956,0.905723750591278,0.40632057189941406,0.8390980362892151,0.9063615798950196,0.9060425162315368,1.0,0.03027139976620674,0.9677419066429138,0.2571428716182709,0.8537081480026245,0.9666666984558104,0.8390980362892151,0.96875,0.8537081480026245,0.4063554108142853,0.25714707374572754,0.4161073863506317,0.3333333432674408,0.8249796032905579,0.02957550436258316,0.24786324799060824,0.2649572789669037,0.4957264959812164,0.5607779622077942,0.8572930097579956,0.4109588861465454,0.8696301579475403,0.05
no_init_box_adapter_bert_ms,2,9gdro2lt,0.7895698547363281,0.02209327183663845,0.03009742684662342,0.25,0.7496919631958008,0.8775800466537476,0.022268615663051605,37,0.8032786846160889,0.913016676902771,0.8339285850524902,0.6921819448471069,0.988095223903656,0.8090624809265137,0.9035200476646424,0.888620913028717,0.8074074983596802,0.9611111879348756,0.5161290168762207,0.922715187072754,0.9222221970558168,0.4383561909198761,0.027481628581881523,0.9540229439735411,0.9666666388511658,0.8767034411430359,0.8767034411430359,0.8399999737739563,0.9008668661117554,0.922715187072754,0.695652186870575,0.8448816537857056,0.9035200476646424,0.913016676902771,0.9666666388511658,0.021920667961239815,0.6881720423698425,0.7032967209815979,0.8840192556381226,0.7000000476837158,0.8448816537857056,0.59375,0.8840192556381226,0.7345927357673645,0.7825397253036499,0.7450980544090271,0.7111111283302307,0.8090624809265137,0.02528415620326996,0.380952388048172,1.0,0.7055118680000305,0.821229100227356,0.9008668661117554,0.9666666388511658,0.888620913028717,0.01
no_init_box_adapter_bert_ms,1,ognn7h95,0.8211134672164917,0.02044152095913887,0.02957550436258316,0.25,0.7095541954040527,0.8552694916725159,0.0205288790166378,47,0.7759562730789185,0.9135318994522096,0.9742965698242188,0.6386649012565613,0.988095223903656,0.8059749603271484,0.9029691219329834,0.8904531002044678,0.7814815044403076,0.944444477558136,0.6451612710952759,0.9243447184562684,0.9222221970558168,0.7547169923782349,0.026782969012856483,0.9540229439735411,1.0,0.8756219148635864,0.8756219148635864,0.9793103337287904,0.9057954549789428,0.9243447184562684,0.7662338018417358,0.8480754494667053,0.9029691219329834,0.9135318994522096,0.8333333134651184,0.02035490609705448,0.6344085931777954,0.9672130942344666,0.8948167562484741,0.6500000953674316,0.8480754494667053,0.4375,0.8948167562484741,0.770114541053772,0.9696969985961914,0.6086956262588501,0.6555556058883667,0.8059749603271484,0.024472281336784363,0.9090909361839294,1.0,0.6527659893035889,0.8658536076545715,0.9057954549789428,0.9090909361839294,0.8904531002044678,0.12
no_init_box_adapter_bert_ms,0,xo2jfauh,0.7977909445762634,0.02096056565642357,0.02922755852341652,0.25,0.7257672548294067,0.8550538420677185,0.021224774420261383,47,0.7868852615356445,0.9130392670631408,0.8856845498085022,0.6602822542190552,0.988095223903656,0.8072221279144287,0.903114140033722,0.889914333820343,0.7888889312744141,0.9333333969116212,0.3870967626571655,0.923184871673584,0.9222221970558168,0.5333333611488342,0.026776213198900223,0.9540229439735411,0.9375,0.8760545253753662,0.8760545253753662,0.929032266139984,0.904219686985016,0.923184871673584,0.7439023852348328,0.8456867337226868,0.903114140033722,0.9130392670631408,1.0,0.020702853798866272,0.6559139490127563,0.8591549396514893,0.88800048828125,0.6611111164093018,0.8456867337226868,0.59375,0.88800048828125,0.7438161969184875,0.8515475988388062,0.6666666269302368,0.6777778267860413,0.8072221279144287,0.02470424398779869,0.8571428656578064,0.7599999904632568,0.6693407893180847,0.8520709872245789,0.904219686985016,0.9677419066429138,0.889914333820343,0.01
no_init_kenn_horizontal_adapter_bert_ms,2,2t47ysru,0.824195146560669,0.028348084539175034,0.029517512768507004,0.375,0.9109710454940796,0.92562597990036,0.027835769578814507,38,0.9071038365364076,0.9189909100532532,0.7525134682655334,0.9146281480789183,0.9878048896789552,0.8646031618118286,0.9140107035636902,0.903106689453125,0.90925931930542,0.9425926208496094,0.8709677457809448,0.9240257740020752,0.8999999761581421,0.7105263471603394,0.028986196964979172,0.9418604373931884,0.7631579041481018,0.8991996645927429,0.8991996645927429,0.7942583560943604,0.9070478081703186,0.9240257740020752,0.7727272510528564,0.8776071667671204,0.9140107035636902,0.9189909100532532,0.9666666388511658,0.02887961082160473,0.9139785170555116,0.6692913174629211,0.8910083770751953,0.9222222566604614,0.8776071667671204,0.90625,0.8910083770751953,0.7761452794075012,0.6740829944610596,0.7631579041481018,0.888888955116272,0.8646031618118286,0.02847367152571678,0.6000000238418579,0.6590909361839294,0.9052488207817078,0.8469387888908386,0.9070478081703186,0.8529411554336548,0.903106689453125,0.060000000000000005
no_init_kenn_horizontal_adapter_bert_ms,1,28cz11hz,0.9120619893074036,0.026964781805872917,0.02957550436258316,0.375,0.8547546863555908,0.9078977704048156,0.027139876037836075,40,0.868852436542511,0.9206711649894714,0.977605938911438,0.8396729230880737,0.9878048896789552,0.8602787852287292,0.9132567644119264,0.9062125086784364,0.8740741014480591,0.9444445371627808,0.7419354915618896,0.9282069206237792,0.8999999761581421,0.836363673210144,0.028431033715605736,0.9418604373931884,1.0,0.8976854681968689,0.8976854681968689,0.9814814925193788,0.9149029850959778,0.9282069206237792,0.9017340540885924,0.8836484551429749,0.9132567644119264,0.9206711649894714,0.9333333373069764,0.026791928336024284,0.8387096524238586,0.975000023841858,0.9083231687545776,0.8555556535720825,0.8836484551429749,0.84375,0.9083231687545776,0.9019505381584167,0.9742063283920288,0.9000000357627869,0.8666667342185974,0.8602787852287292,0.027371838688850403,0.9583333134651184,0.9642857313156128,0.8610753417015076,0.921739101409912,0.9149029850959778,0.9655172228813172,0.9062125086784364,0.16
no_init_kenn_horizontal_adapter_bert_ms,0,24tu7h47,0.8279578685760498,0.02731384709477425,0.02887960895895958,0.375,0.8709005117416382,0.9023590087890624,0.027313850820064545,39,0.8797814249992371,0.918557584285736,0.7890509963035583,0.861200749874115,0.9878048896789552,0.8615208268165588,0.9134597778320312,0.902804970741272,0.8833333849906921,0.9222223162651062,0.7419354915618896,0.9237126111984252,0.8999999761581421,0.8070175051689148,0.028257587924599648,0.9418604373931884,0.7837837934494019,0.8981180787086487,0.8981180787086487,0.8009950518608093,0.9075409770011902,0.9237126111984252,0.7547169923782349,0.8773727416992188,0.9134597778320312,0.918557584285736,0.9666666388511658,0.027313848957419395,0.8602150678634644,0.6722689270973206,0.8938189744949341,0.8722223043441772,0.8773727416992188,0.875,0.8938189744949341,0.7859538793563843,0.7227997779846191,0.6363636255264282,0.8722223043441772,0.8615208268165588,0.027661794796586037,0.8846153616905212,0.5,0.8722223043441772,0.8385416865348816,0.9075409770011902,0.865671694278717,0.902804970741272,0.06999999999999999
smart_init_kenn_hybrid_adapter_bert_ms,2,gubeifr4,0.8958958983421326,0.027313848957419395,0.028009744361042976,0.375,0.8711357116699219,0.8888541460037231,0.027313848957419395,41,0.8797814249992371,0.920534610748291,0.922104835510254,0.8615143299102783,0.9878048896789552,0.8615388870239258,0.9134597778320312,0.9057591557502748,0.8833333849906921,0.894444465637207,0.8387096524238586,0.9277198314666748,0.8999999761581421,0.8387096524238586,0.027834681794047356,0.9418604373931884,0.9333333373069764,0.8981180787086487,0.8981180787086487,0.9415204524993896,0.9135313630104064,0.9277198314666748,0.8791208863258362,0.8822844624519348,0.9134597778320312,0.920534610748291,0.9333333373069764,0.027313848957419395,0.8602150678634644,0.898876428604126,0.904053807258606,0.8722223043441772,0.8822844624519348,0.8125,0.904053807258606,0.8804347515106201,0.9002047777175903,0.8666666150093079,0.8722223043441772,0.8615388870239258,0.027661796659231182,0.8387096524238586,0.9285714030265808,0.8722223043441772,0.9096044898033142,0.9135313630104064,0.9333333373069764,0.9057591557502748,0.6900000000000001
smart_init_kenn_top_down_adapter_bert_ms,2,al1a3ktg,0.8735160827636719,0.02557292953133583,0.028183717280626297,0.375,0.8230006694793701,0.8752643465995789,0.025748085230588913,41,0.8469945192337036,0.9202818274497986,0.9306381940841676,0.7973343133926392,0.9878048896789552,0.8578361868858337,0.9128218293190002,0.9052401781082152,0.8518519401550293,0.9000000953674316,0.6774193644523621,0.9278647899627686,0.8999999761581421,0.7368420362472534,0.027409113943576813,0.9418604373931884,0.9655172228813172,0.8968202471733093,0.8968202471733093,0.9509202241897584,0.9138197302818298,0.9278647899627686,0.8505747318267822,0.8806499242782593,0.9128218293190002,0.9202818274497986,0.9333333373069764,0.02540013939142227,0.7956989407539368,0.9135802388191224,0.904710292816162,0.8111112117767334,0.8806499242782593,0.78125,0.904710292816162,0.8506394624710083,0.9115827083587646,0.8620690107345581,0.8222222924232483,0.8578361868858337,0.02667594514787197,0.807692289352417,0.9615384340286256,0.8166290521621704,0.8959537148475647,0.9138197302818298,0.9491525292396544,0.9052401781082152,0.79
