name,instance,run_id,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_other-language-programming_language/macro_types/f1,test_incremental_only/micro/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test/micro/precision,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental_only/macro_types/recall,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-language/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/precision,test/micro/recall,test/macro_types/f1,test_incremental_other-language-programming_language/macro_types/recall,test_pretraining/micro/f1,test/macro_types/precision,test_incremental/macro_types/f1,test_incremental_other-language/macro_types/recall,test_incremental/macro_example/recall,test/macro_example/f1,test_pretraining/micro/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example/precision,epoch,threshold_incremental,test/macro_example/recall,test_incremental/micro/recall,test_incremental_other-language/macro_types/f1,test_incremental_other-language-programming_language/macro_types/precision,test/micro/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test/macro_example/precision,test_incremental_only/macro_types/f1
smart_init_box_adapter_bert_ms,1,buu57b4d,0.6746863722801208,0.7363040447235107,0.11627907305955888,0.11627907305955888,0.01776023581624031,0.06172839552164078,0.7750765681266785,0.6746863722801208,0.015847595408558846,1.0,0.8069413900375366,0.5014524459838867,0.7750765681266785,0.8067619204521179,1.0,0.9411764740943908,0.6379310488700867,0.6206896305084229,0.7948566675186157,0.7041497826576233,1.0,0.7848420739173889,0.7363040447235107,0.5615178346633911,0.27586206793785095,0.01430685631930828,0.8067619204521179,0.7948566675186157,0.7041497826576233,1.0,0.01480019837617874,0.01480019837617874,0.5,0.15566836297512054,0.09145129472017288,1.0,0.01480019837617874,24,0.01,0.8069413900375366,0.5227272510528564,0.4266666769981384,0.06172839552164078,0.7848420739173889,1.0,0.06172839552164078,0.8065825700759888,0.5538461208343506,0.26,0.8065825700759888,0.11627907305955888
smart_init_box_adapter_bert_ms,0,udhvct63,0.6670475006103516,0.7430963516235352,0.4810127019882202,0.4810127019882202,0.012333497405052183,0.3877550959587097,0.8435345888137817,0.6670475006103516,0.011952048167586328,0.6333333253860474,0.8051325082778931,0.6644657850265503,0.8435345888137817,0.8285059928894043,0.6333333849906921,0.9411764740943908,0.4545977115631103,0.4310344457626343,0.7926973104476929,0.7030212879180908,0.6333333253860474,0.8173261880874634,0.7430963516235352,0.539852499961853,0.27586206793785095,0.011593487113714218,0.8285059928894043,0.7926973104476929,0.7030212879180908,0.6333333253860474,0.009373458102345468,0.009373458102345468,0.4051724076271057,0.4545454680919647,0.5303030014038086,0.6333333849906921,0.009373458102345468,26,0.11,0.8051325082778931,0.3977272808551788,0.4266666769981384,0.3877550959587097,0.8173261880874634,0.6333333849906921,0.3877550959587097,0.8532771468162537,0.4177035093307495,0.26,0.8532771468162537,0.4810127019882202
no_init_kenn_hybrid_adapter_bert_ms,2,jnlpgpbt,0.8133918046951294,0.8596456050872803,0.7076922655105591,0.7076922655105591,0.014553526416420937,0.6571428775787354,0.8557125926017761,0.8133918046951294,0.015257728286087511,0.7666666507720947,0.8633700609207153,0.812442421913147,0.8557125926017761,0.8642586469650269,0.7666667103767395,0.9677419066429138,0.6419540047645569,0.5086206793785095,0.8557125926017761,0.8358793258666992,0.7666666507720947,0.8557125329971313,0.8596456050872803,0.7172055840492249,0.517241358757019,0.01603354513645172,0.8642586469650269,0.8557125926017761,0.8358793258666992,0.7666666507720947,0.011346817016601562,0.011346817016601562,0.5603448152542114,0.6883116960525513,0.8030303120613098,0.7666667103767395,0.011346817016601562,44,0.77,0.8633700609207153,0.6022727489471436,0.6741572618484497,0.6571428775787354,0.8557125329971313,0.7666667103767395,0.6571428775787354,0.8651490211486816,0.5332313776016235,0.33,0.8651490211486816,0.7076922655105591
no_init_kenn_top_down_adapter_bert_ms,2,4h5umoev,0.8133918046951294,0.858905553817749,0.6865671873092651,0.6865671873092651,0.014306857250630856,0.6216216087341309,0.8553767800331116,0.8133918046951294,0.015121066942811012,0.7666666507720947,0.8633700609207153,0.7946817874908447,0.8553767800331116,0.8640945553779602,0.7666667103767395,0.9677419066429138,0.6419540047645569,0.5,0.8557125926017761,0.8355293273925781,0.7666666507720947,0.8555446267127991,0.858905553817749,0.710199773311615,0.517241358757019,0.01603354513645172,0.8640945553779602,0.8557125926017761,0.8355293273925781,0.7666666507720947,0.011346817016601562,0.011346817016601562,0.5603448152542114,0.6794872283935547,0.779411792755127,0.7666667103767395,0.011346817016601562,9,0.62,0.8633700609207153,0.6022727489471436,0.6741572618484497,0.6216216087341309,0.8555446267127991,0.7666667103767395,0.6216216087341309,0.8648201823234558,0.5284552574157715,0.33,0.8648201823234558,0.6865671873092651
no_init_kenn_bottom_up_adapter_bert_ms,2,m8r77psg,0.8133918046951294,0.8596456050872803,0.7076922655105591,0.7076922655105591,0.014553526416420937,0.6571428775787354,0.8557125926017761,0.8133918046951294,0.015257728286087511,0.7666666507720947,0.8633700609207153,0.812442421913147,0.8557125926017761,0.8642586469650269,0.7666667103767395,0.9677419066429138,0.6419540047645569,0.5086206793785095,0.8557125926017761,0.8358793258666992,0.7666666507720947,0.8557125329971313,0.8596456050872803,0.7172055840492249,0.517241358757019,0.01603354513645172,0.8642586469650269,0.8557125926017761,0.8358793258666992,0.7666666507720947,0.011346817016601562,0.011346817016601562,0.5603448152542114,0.6883116960525513,0.8030303120613098,0.7666667103767395,0.011346817016601562,44,0.62,0.8633700609207153,0.6022727489471436,0.6741572618484497,0.6571428775787354,0.8557125329971313,0.7666667103767395,0.6571428775787354,0.8651490211486816,0.5332313776016235,0.33,0.8651490211486816,0.7076922655105591
no_init_kenn_hybrid_adapter_bert_ms,1,7s6vtnjr,0.8154752254486084,0.85826575756073,0.7027026414871216,0.7027026414871216,0.015786876901984215,0.5909090638160706,0.8547912836074829,0.8154752254486084,0.0162652675062418,0.8666666746139526,0.863863468170166,0.7793254852294922,0.8547912836074829,0.8643415570259094,0.8666667342185974,0.9677419066429138,0.6919540166854858,0.5517241358757019,0.8563015460968018,0.8363235592842102,0.8666666746139526,0.8555457592010498,0.85826575756073,0.7330455183982849,0.517241358757019,0.016773555427789688,0.8643415570259094,0.8563015460968018,0.8363235592842102,0.8666666746139526,0.012826837599277496,0.012826837599277496,0.58620685338974,0.6871165633201599,0.746666669845581,0.8666667342185974,0.012826837599277496,27,0.49,0.863863468170166,0.6363636255264282,0.6741572618484497,0.5909090638160706,0.8555457592010498,0.8666667342185974,0.5909090638160706,0.864820122718811,0.5684430003166199,0.33,0.864820122718811,0.7027026414871216
no_init_kenn_top_down_adapter_bert_ms,1,6fjgnr4l,0.8126974105834961,0.8583425283432007,0.6567164063453674,0.6567164063453674,0.013813517056405544,0.5945945978164673,0.855180561542511,0.8126974105834961,0.0147344172000885,0.7333333492279053,0.8632056713104248,0.7811682224273682,0.855180561542511,0.8639916777610779,0.73333340883255,0.9677419066429138,0.6252873539924622,0.48275861144065857,0.8555163145065308,0.8348965644836426,0.7333333492279053,0.8553483486175537,0.8583425283432007,0.6945894956588745,0.517241358757019,0.015786875039339066,0.8639916777610779,0.8555163145065308,0.8348965644836426,0.7333333492279053,0.010853477753698826,0.010853477753698826,0.5517241358757019,0.6666666865348816,0.7647058963775635,0.73333340883255,0.010853477753698826,8,0.49,0.8632056713104248,0.5909090638160706,0.6741572618484497,0.5945945978164673,0.8553483486175537,0.73333340883255,0.5945945978164673,0.8647790551185608,0.5149425268173218,0.33,0.8647790551185608,0.6567164063453674
no_init_kenn_bottom_up_adapter_bert_ms,1,nnl37ips,0.8154752254486084,0.85826575756073,0.7027026414871216,0.7027026414871216,0.015786876901984215,0.5909090638160706,0.8547912836074829,0.8154752254486084,0.0162652675062418,0.8666666746139526,0.863863468170166,0.7793254852294922,0.8547912836074829,0.8643415570259094,0.8666667342185974,0.9677419066429138,0.6919540166854858,0.5517241358757019,0.8563015460968018,0.8363235592842102,0.8666666746139526,0.8555457592010498,0.85826575756073,0.7330455183982849,0.517241358757019,0.016773555427789688,0.8643415570259094,0.8563015460968018,0.8363235592842102,0.8666666746139526,0.012826837599277496,0.012826837599277496,0.58620685338974,0.6871165633201599,0.746666669845581,0.8666667342185974,0.012826837599277496,24,0.35000000000000003,0.863863468170166,0.6363636255264282,0.6741572618484497,0.5909090638160706,0.8555457592010498,0.8666667342185974,0.5909090638160706,0.864820122718811,0.5684430003166199,0.33,0.864820122718811,0.7027026414871216
no_init_kenn_hybrid_adapter_bert_ms,0,l4212bqu,0.8126974105834961,0.8583425283432007,0.6567164063453674,0.6567164063453674,0.013813517056405544,0.5945945978164673,0.855180561542511,0.8126974105834961,0.0147344172000885,0.7333333492279053,0.8632056713104248,0.7811682224273682,0.855180561542511,0.8640121221542358,0.73333340883255,0.9677419066429138,0.6252873539924622,0.48275861144065857,0.8555163145065308,0.8348965644836426,0.7333333492279053,0.8553483486175537,0.8583425283432007,0.6945894956588745,0.517241358757019,0.015786875039339066,0.8640121221542358,0.8555163145065308,0.8348965644836426,0.7333333492279053,0.010853477753698826,0.010853477753698826,0.5517241358757019,0.6666666865348816,0.7647058963775635,0.73333340883255,0.010853477753698826,29,0.15000000000000002,0.8632056713104248,0.5909090638160706,0.6741572618484497,0.5945945978164673,0.8553483486175537,0.73333340883255,0.5945945978164673,0.8648201823234558,0.5149425268173218,0.33,0.8648201823234558,0.6567164063453674
no_init_kenn_top_down_adapter_bert_ms,0,1p4jko3q,0.8126974105834961,0.8583425283432007,0.6567164063453674,0.6567164063453674,0.013813517056405544,0.5945945978164673,0.855180561542511,0.8126974105834961,0.0147344172000885,0.7333333492279053,0.8632056713104248,0.7811682224273682,0.855180561542511,0.8640121221542358,0.73333340883255,0.9677419066429138,0.6252873539924622,0.48275861144065857,0.8555163145065308,0.8348965644836426,0.7333333492279053,0.8553483486175537,0.8583425283432007,0.6945894956588745,0.517241358757019,0.015786875039339066,0.8640121221542358,0.8555163145065308,0.8348965644836426,0.7333333492279053,0.010853477753698826,0.010853477753698826,0.5517241358757019,0.6666666865348816,0.7647058963775635,0.73333340883255,0.010853477753698826,22,0.51,0.8632056713104248,0.5909090638160706,0.6741572618484497,0.5945945978164673,0.8553483486175537,0.73333340883255,0.5945945978164673,0.8648201823234558,0.5149425268173218,0.33,0.8648201823234558,0.6567164063453674
