name,instance,run_id,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental_other-language/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test/macro_example/f1,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_pretraining/micro/f1,test_incremental/micro/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/micro/f1,threshold_pretraining,test_pretraining/micro/precision,test_incremental/macro_example/recall,test/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-language/macro_types/f1,test/macro_types/f1,test/micro/precision,threshold_incremental,test_incremental/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_other-language-programming_language/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/f1,epoch,test/macro_types/precision,test_incremental_other-language-programming_language/macro_types/recall,test/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_other-language-programming_language/macro_types/precision,test/macro_example/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-language/macro_types/precision
smart_init_box_adapter_bert_ms,1,mp140tdr,0.8142046332359314,0.13667427003383636,0.27586206793785095,0.5651423931121826,0.8105568289756775,0.8105568289756775,0.704260528087616,0.13667427003383636,0.01480019837617874,0.7907431125640869,0.5227272510528564,0.8069413900375366,0.8142046332359314,0.01480019837617874,0.01480019837617874,0.7907431125640869,0.26,0.7866718769073486,0.01430685631930828,0.7948566675186157,1.0,0.4266666769981384,0.704260528087616,0.7866718769073486,0.02,0.5072630643844604,0.7365461587905884,1.0,0.17898833751678467,1.0,0.01776023581624031,0.6206896305084229,0.13667427003383636,0.7948566675186157,0.6379310488700867,0.6746863722801208,0.5538461208343506,25,0.7365461587905884,1.0,0.6746863722801208,0.07334963232278824,0.5,0.07334963232278824,0.8069413900375366,0.10798121988773346,0.015847595408558846,0.07334963232278824,1.0,1.0,0.9411764740943908
smart_init_box_adapter_bert_ms,0,n38uy7h4,0.8540993928909302,0.6000000238418579,0.27586206793785095,0.6123213171958923,0.8293288946151733,0.8293288946151733,0.7058085203170776,0.6000000238418579,0.011840157210826874,0.8182553648948669,0.4545454680919647,0.8059547543525696,0.8540993928909302,0.011840157210826874,0.011840157210826874,0.8182553648948669,0.26,0.8444026708602905,0.012826836667954922,0.7936788201332092,0.8000000715255737,0.4266666769981384,0.7058085203170776,0.8444026708602905,0.32,0.7105882167816162,0.7450181245803833,0.8000000715255737,0.5161290168762207,0.800000011920929,0.014800196513533592,0.517241358757019,0.6000000238418579,0.7936788201332092,0.5379310250282288,0.6705197095870972,0.4802955687046051,30,0.7450181245803833,0.800000011920929,0.6705197095870972,0.47999998927116394,0.4482758641242981,0.47999998927116394,0.8059547543525696,0.5970149040222168,0.013743040151894093,0.47999998927116394,0.800000011920929,0.8000000715255737,0.9411764740943908
no_init_kenn_hybrid_adapter_bert_ms,2,55voq45c,0.8577407002449036,0.3880597054958343,0.517241358757019,0.6477592587471008,0.8607912063598633,0.8607912063598633,0.8329371809959412,0.3880597054958343,0.012826837599277496,0.8505411148071289,0.6363636255264282,0.863863468170166,0.8577407002449036,0.012826837599277496,0.012826837599277496,0.8505411148071289,0.33,0.8448576331138611,0.016773555427789688,0.8563015460968018,0.8666667342185974,0.6741572618484497,0.8329371809959412,0.8448576331138611,0.02,0.6088709831237793,0.851163387298584,0.8666667342185974,0.5022421479225159,0.8666666746139526,0.015786875039339066,0.5517241358757019,0.3880597054958343,0.8563015460968018,0.6919540166854858,0.8154752254486084,0.5684430003166199,33,0.851163387298584,0.8666666746139526,0.8154752254486084,0.25,0.5862069129943848,0.25,0.863863468170166,0.4148148000240326,0.01626526564359665,0.25,0.8666666746139526,0.8666667342185974,0.9677419066429138
no_init_kenn_top_down_adapter_bert_ms,2,hn6031zw,0.8583738207817078,0.40625,0.517241358757019,0.6520648002624512,0.8611098527908325,0.8611098527908325,0.8330898880958557,0.40625,0.012826837599277496,0.851038932800293,0.6363636255264282,0.863863468170166,0.8583738207817078,0.012826837599277496,0.012826837599277496,0.851038932800293,0.33,0.8458406329154968,0.016773555427789688,0.8563015460968018,0.8666667342185974,0.6741572618484497,0.8330898880958557,0.8458406329154968,0.09,0.6165239810943604,0.8514822721481323,0.8666667342185974,0.5161290168762207,0.8666666746139526,0.015786875039339066,0.5517241358757019,0.40625,0.8563015460968018,0.6919540166854858,0.8154752254486084,0.5684430003166199,34,0.8514822721481323,0.8666666746139526,0.8154752254486084,0.26530611515045166,0.5862069129943848,0.26530611515045166,0.863863468170166,0.43410852551460266,0.01626526564359665,0.26530611515045166,0.8666666746139526,0.8666667342185974,0.9677419066429138
no_init_kenn_bottom_up_adapter_bert_ms,2,w38vm8jr,0.857494056224823,0.38235294818878174,0.517241358757019,0.6464221477508545,0.8606669306755066,0.8606669306755066,0.8328901529312134,0.38235294818878174,0.012826837599277496,0.850375235080719,0.6363636255264282,0.863863468170166,0.857494056224823,0.012826837599277496,0.012826837599277496,0.850375235080719,0.33,0.8445305228233337,0.016773555427789688,0.8563015460968018,0.8666667342185974,0.6741572618484497,0.8328901529312134,0.8445305228233337,0.02,0.6065124869346619,0.8510651588439941,0.8666667342185974,0.4977777898311615,0.8666666746139526,0.015786875039339066,0.5517241358757019,0.38235294818878174,0.8563015460968018,0.6919540166854858,0.8154752254486084,0.5684430003166199,34,0.8510651588439941,0.8666666746139526,0.8154752254486084,0.24528302252292633,0.5862069129943848,0.24528302252292633,0.863863468170166,0.4087591171264648,0.01626526564359665,0.24528302252292633,0.8666666746139526,0.8666667342185974,0.9677419066429138
no_init_kenn_hybrid_adapter_bert_ms,1,2mfdacma,0.8645734786987305,0.6567164063453674,0.517241358757019,0.6945894956588745,0.8638890385627747,0.8638890385627747,0.8348965644836426,0.6567164063453674,0.010853477753698826,0.8553483486175537,0.5909090638160706,0.8632056713104248,0.8645734786987305,0.010853477753698826,0.010853477753698826,0.8553483486175537,0.33,0.855180561542511,0.015786875039339066,0.8555163145065308,0.73333340883255,0.6741572618484497,0.8348965644836426,0.855180561542511,0.73,0.7811682224273682,0.8583425283432007,0.73333340883255,0.6666666865348816,0.7333333492279053,0.013813517056405544,0.48275861144065857,0.6567164063453674,0.8555163145065308,0.6252873539924622,0.8126974105834961,0.5149425268173218,10,0.8583425283432007,0.7333333492279053,0.8126974105834961,0.5945945978164673,0.5517241358757019,0.5945945978164673,0.8632056713104248,0.7647058963775635,0.0147344172000885,0.5945945978164673,0.7333333492279053,0.73333340883255,0.9677419066429138
no_init_kenn_top_down_adapter_bert_ms,1,d6x5q058,0.8648201823234558,0.6666666269302368,0.517241358757019,0.6978349685668945,0.8640121221542358,0.8640121221542358,0.8350592851638794,0.6666666269302368,0.010853477753698826,0.8554322719573975,0.5909090638160706,0.8632056713104248,0.8648201823234558,0.010853477753698826,0.010853477753698826,0.8554322719573975,0.33,0.8553484082221985,0.015786875039339066,0.8555163145065308,0.73333340883255,0.6741572618484497,0.8350592851638794,0.8553484082221985,0.77,0.7894265055656433,0.8586865663528442,0.73333340883255,0.670967698097229,0.7333333492279053,0.013813517056405544,0.48275861144065857,0.6666666269302368,0.8555163145065308,0.6252873539924622,0.8126974105834961,0.5149425268173218,8,0.8586865663528442,0.7333333492279053,0.8126974105834961,0.6111111044883728,0.5517241358757019,0.6111111044883728,0.8632056713104248,0.7761194109916687,0.0147344172000885,0.6111111044883728,0.7333333492279053,0.73333340883255,0.9677419066429138
no_init_kenn_bottom_up_adapter_bert_ms,1,ua361tlv,0.8647379279136658,0.6764705777168274,0.517241358757019,0.7069146633148193,0.86405348777771,0.86405348777771,0.8353680372238159,0.6764705777168274,0.011346817016601562,0.8554607033729553,0.6022727489471436,0.8633700609207153,0.8647379279136658,0.011346817016601562,0.011346817016601562,0.8554607033729553,0.33,0.8552089333534241,0.01603354513645172,0.8557125926017761,0.7666667699813843,0.6741572618484497,0.8353680372238159,0.8552089333534241,0.54,0.7865025401115417,0.8585647344589233,0.7666667699813843,0.675159215927124,0.7666666507720947,0.01430685631930828,0.4999999701976776,0.6764705777168274,0.8557125926017761,0.6419540047645569,0.8133918046951294,0.5284551978111267,10,0.8585647344589233,0.7666666507720947,0.8133918046951294,0.6052631735801697,0.5603448152542114,0.6052631735801697,0.8633700609207153,0.7681159377098083,0.015121066942811012,0.6052631735801697,0.7666666507720947,0.7666667103767395,0.9677419066429138
no_init_kenn_hybrid_adapter_bert_ms,0,ii4oyejz,0.8648201823234558,0.6764705777168274,0.517241358757019,0.7069146633148193,0.8640945553779602,0.8640945553779602,0.8353680372238159,0.6764705777168274,0.011346817016601562,0.8554607033729553,0.6022727489471436,0.8633700609207153,0.8648201823234558,0.011346817016601562,0.011346817016601562,0.8554607033729553,0.33,0.8552089333534241,0.01603354513645172,0.8557125926017761,0.7666667103767395,0.6741572618484497,0.8353680372238159,0.8552089333534241,0.36000000000000004,0.7865025401115417,0.8585647344589233,0.7666667103767395,0.675159215927124,0.7666666507720947,0.014306857250630856,0.5,0.6764705777168274,0.8557125926017761,0.6419540047645569,0.8133918046951294,0.5284552574157715,17,0.8585647344589233,0.7666666507720947,0.8133918046951294,0.6052631735801697,0.5603448152542114,0.6052631735801697,0.8633700609207153,0.7681159377098083,0.015121066942811012,0.6052631735801697,0.7666666507720947,0.7666667103767395,0.9677419066429138
no_init_kenn_top_down_adapter_bert_ms,0,31luphl0,0.8648201823234558,0.6764705777168274,0.517241358757019,0.7069146633148193,0.8640945553779602,0.8640945553779602,0.8353680372238159,0.6764705777168274,0.011346817016601562,0.8554607033729553,0.6022727489471436,0.8633700609207153,0.8648201823234558,0.011346817016601562,0.011346817016601562,0.8554607033729553,0.33,0.8552089333534241,0.01603354513645172,0.8557125926017761,0.7666667103767395,0.6741572618484497,0.8353680372238159,0.8552089333534241,0.7000000000000001,0.7865025401115417,0.8585647344589233,0.7666667103767395,0.675159215927124,0.7666666507720947,0.014306857250630856,0.5,0.6764705777168274,0.8557125926017761,0.6419540047645569,0.8133918046951294,0.5284552574157715,17,0.8585647344589233,0.7666666507720947,0.8133918046951294,0.6052631735801697,0.5603448152542114,0.6052631735801697,0.8633700609207153,0.7681159377098083,0.015121066942811012,0.6052631735801697,0.7666666507720947,0.7666667103767395,0.9677419066429138
