name,instance,run_id,test_incremental_other-language/macro_types/precision,test/macro_example/precision,test/micro/recall,test_incremental_other-language-programming_language/macro_types/f1,epoch,test_incremental_only/macro_example/precision,test_incremental_other-language/macro_types/f1,test_incremental_other-language/macro_types/recall,test_incremental_other-language-programming_language/macro_types/recall,test_incremental_other-language-programming_language/macro_types/precision,test/macro_example/f1,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,threshold_pretraining,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test/micro/f1,test_pretraining/micro/precision,test/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test/macro_example/recall,test_incremental/micro/f1,test_incremental/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/micro/precision,test/macro_types/recall,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental/macro_example/recall
smart_init_box_adapter_bert_ms,1,71ielse9,0.9411764740943908,0.836051344871521,0.7948566675186157,0.2307692319154739,23,0.01480019837617874,0.4266666769981384,0.27586206793785095,1.0,0.1304347813129425,0.8212384581565857,0.804810106754303,0.6746863722801208,0.1304347813129425,0.836051344871521,1.0,0.26,0.7048037052154541,0.6379310488700867,0.2307692319154739,0.7377355098724365,0.1304347813129425,0.5227272510528564,0.18623481690883636,0.8069413900375366,0.01480019837617874,0.01480019837617874,0.5,1.0,0.5538461208343506,0.804810106754303,0.8150160908699036,0.7048037052154541,0.7948566675186157,0.015847595408558846,1.0,1.0,1.0,0.08,0.8069413900375366,0.27462685108184814,0.01776023581624031,0.2307692319154739,0.5824254751205444,0.5358056426048279,0.6206896305084229,0.8150160908699036,0.6746863722801208,0.7377355098724365,0.8212384581565857,0.01430685631930828
smart_init_box_adapter_bert_ms,0,0ptf7cwb,0.9411764740943908,0.8389949798583984,0.7942677736282349,0.2307692319154739,31,0.013320177793502808,0.4266666769981384,0.27586206793785095,0.8999999761581421,0.13235294818878174,0.8223996758460999,0.8062973022460938,0.6726030111312866,0.13235294818878174,0.8389949798583984,0.9000000953674316,0.26,0.7036834359169006,0.5879310369491577,0.2307692319154739,0.737775444984436,0.13235294818878174,0.4886363744735718,0.1945701390504837,0.8064480423927307,0.013320177793502808,0.013320177793502808,0.47413793206214905,0.8999999761581421,0.5172414183616638,0.8062973022460938,0.8186968564987183,0.7036834359169006,0.7942677736282349,0.014800195582211018,0.8999999761581421,0.9000000953674316,0.9000000953674316,0.05,0.8064480423927307,0.2783171832561493,0.016280215233564377,0.2307692319154739,0.5611839890480042,0.5367647409439087,0.5689655542373657,0.8186968564987183,0.6726030111312866,0.737775444984436,0.8223996758460999,0.013566846027970314
no_init_kenn_hybrid_adapter_bert_ms,2,bt97h28z,0.9677419066429138,0.8555536270141602,0.8568904399871826,0.35582825541496277,18,0.01430685818195343,0.6741572618484497,0.517241358757019,0.9666666388511658,0.21804511547088623,0.8599326610565186,0.8487264513969421,0.8175585269927979,0.21804511547088623,0.8555536270141602,0.9666666984558104,0.33,0.8337029218673706,0.74195396900177,0.35582825541496277,0.8504977226257324,0.21804511547088623,0.6704545617103577,0.35975611209869385,0.8643567562103271,0.01430685818195343,0.01430685818195343,0.6120689511299133,0.9666666388511658,0.6077280044555664,0.8487264513969421,0.8407164812088013,0.8337029218673706,0.8568904399871826,0.017389357089996338,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.02,0.8643567562103271,0.4682539403438568,0.017266895622015,0.35582825541496277,0.6591010689735413,0.5928934812545776,0.6034482717514038,0.8407164812088013,0.8175585269927979,0.8504977226257324,0.8599326610565186,0.017513565719127655
no_init_kenn_top_down_adapter_bert_ms,2,spijwdq6,0.9677419066429138,0.8548053503036499,0.8568904399871826,0.34319525957107544,16,0.01430685818195343,0.6741572618484497,0.517241358757019,0.9666666388511658,0.20863309502601624,0.8595545291900635,0.8482316732406616,0.8175585269927979,0.20863309502601624,0.8548053503036499,0.9666666984558104,0.33,0.8336086869239807,0.74195396900177,0.34319525957107544,0.8503016233444214,0.20863309502601624,0.6704545617103577,0.34705883264541626,0.8643567562103271,0.01430685818195343,0.01430685818195343,0.6120689511299133,0.9666666388511658,0.6077280044555664,0.8482316732406616,0.8397460579872131,0.8336086869239807,0.8568904399871826,0.017389357089996338,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.09,0.8643567562103271,0.45736435055732727,0.017266895622015,0.34319525957107544,0.6561828851699829,0.5881875157356262,0.6034482717514038,0.8397460579872131,0.8175585269927979,0.8503016233444214,0.8595545291900635,0.017513565719127655
no_init_kenn_bottom_up_adapter_bert_ms,2,znkshw3w,0.9677419066429138,0.8558167219161987,0.8568904399871826,0.3670885860919952,16,0.01430685818195343,0.6741572618484497,0.517241358757019,0.9666666388511658,0.2265625,0.8600655198097229,0.8491391539573669,0.8175585269927979,0.2265625,0.8558167219161987,0.9666666984558104,0.33,0.8337881565093994,0.74195396900177,0.3670885860919952,0.850675106048584,0.2265625,0.6704545617103577,0.37106919288635254,0.8643567562103271,0.01430685818195343,0.01430685818195343,0.6120689511299133,0.9666666388511658,0.6077280044555664,0.8491391539573669,0.8415268659591675,0.8337881565093994,0.8568904399871826,0.017389357089996338,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.04,0.8643567562103271,0.4777328372001648,0.017266895622015,0.3670885860919952,0.6617241501808167,0.5971522331237793,0.6034482717514038,0.8415268659591675,0.8175585269927979,0.850675106048584,0.8600655198097229,0.017513565719127655
no_init_kenn_hybrid_adapter_bert_ms,1,6cv4j8cu,0.9677419066429138,0.8639568090438843,0.8563015460968018,0.6341463327407837,20,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.5,0.8639101386070251,0.8548750281333923,0.8154752254486084,0.5,0.8639568090438843,0.8666667342185974,0.33,0.8354232907295227,0.6919540166854858,0.6341463327407837,0.8563717603683472,0.5,0.6363636255264282,0.6746987700462341,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8548750281333923,0.8534533381462097,0.8354232907295227,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.37,0.863863468170166,0.6549707651138306,0.015786876901984215,0.6341463327407837,0.7122963666915894,0.7338709831237793,0.5517241358757019,0.8534533381462097,0.8154752254486084,0.8563717603683472,0.8639101386070251,0.016773555427789688
no_init_kenn_top_down_adapter_bert_ms,1,90bvyl6i,0.9677419066429138,0.8638910055160522,0.8563015460968018,0.6190476417541504,34,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.48148149251937866,0.8638772368431091,0.8547075390815735,0.8154752254486084,0.48148149251937866,0.8638910055160522,0.8666667342185974,0.33,0.8352396488189697,0.6919540166854858,0.6190476417541504,0.8559859991073608,0.48148149251937866,0.6363636255264282,0.658823549747467,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8547075390815735,0.8531194925308228,0.8352396488189697,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.61,0.863863468170166,0.647398829460144,0.015786876901984215,0.6190476417541504,0.7079064249992371,0.7246116995811462,0.5517241358757019,0.8531194925308228,0.8154752254486084,0.8559859991073608,0.8638772368431091,0.016773555427789688
no_init_kenn_bottom_up_adapter_bert_ms,1,l4ick8dd,0.9677419066429138,0.8636854887008667,0.8563015460968018,0.6190476417541504,20,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.48148149251937866,0.8637744784355164,0.8547075390815735,0.8154752254486084,0.48148149251937866,0.8636854887008667,0.8666667342185974,0.33,0.8352396488189697,0.6919540166854858,0.6190476417541504,0.8559859991073608,0.48148149251937866,0.6363636255264282,0.658823549747467,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8547075390815735,0.8531194925308228,0.8352396488189697,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.32,0.863863468170166,0.647398829460144,0.015786876901984215,0.6190476417541504,0.7079064249992371,0.7246116995811462,0.5517241358757019,0.8531194925308228,0.8154752254486084,0.8559859991073608,0.8637744784355164,0.016773555427789688
no_init_kenn_hybrid_adapter_bert_ms,0,twio2doq,0.9677419066429138,0.8632003664970398,0.8563015460968018,0.604651153087616,19,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.4642857015132904,0.863531768321991,0.8545401096343994,0.8154752254486084,0.4642857015132904,0.8632003664970398,0.8666667342185974,0.33,0.8350691199302673,0.6919540166854858,0.604651153087616,0.8556277751922607,0.4642857015132904,0.6363636255264282,0.6436781883239746,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8545401096343994,0.8527859449386597,0.8350691199302673,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.26,0.863863468170166,0.6399999856948853,0.015786876901984215,0.604651153087616,0.7037783265113831,0.7160137891769409,0.5517241358757019,0.8527859449386597,0.8154752254486084,0.8556277751922607,0.863531768321991,0.016773555427789688
no_init_kenn_top_down_adapter_bert_ms,0,alrdi70k,0.9677419066429138,0.8630359172821045,0.8563015460968018,0.5909090638160706,19,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.4482758641242981,0.8634495139122009,0.8543727397918701,0.8154752254486084,0.4482758641242981,0.8630359172821045,0.8666667342185974,0.33,0.8349102139472961,0.6919540166854858,0.5909090638160706,0.8552942276000977,0.4482758641242981,0.6363636255264282,0.6292135119438171,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8543727397918701,0.8524526357650757,0.8349102139472961,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.48,0.863863468170166,0.6327683925628662,0.015786876901984215,0.5909090638160706,0.6998893618583679,0.708008885383606,0.5517241358757019,0.8524526357650757,0.8154752254486084,0.8552942276000977,0.8634495139122009,0.016773555427789688
no_init_kenn_bottom_up_adapter_bert_ms,0,9atrix08,0.9677419066429138,0.8630359172821045,0.8563015460968018,0.5977011322975159,19,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.45614033937454224,0.8634495139122009,0.8544564247131348,0.8154752254486084,0.45614033937454224,0.8630359172821045,0.8666667342185974,0.33,0.8349882960319519,0.6919540166854858,0.5977011322975159,0.8554580211639404,0.45614033937454224,0.6363636255264282,0.6363636255264282,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8544564247131348,0.8526192307472229,0.8349882960319519,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.27,0.863863468170166,0.6363636255264282,0.015786876901984215,0.5977011322975159,0.7018052935600281,0.711941123008728,0.5517241358757019,0.8526192307472229,0.8154752254486084,0.8554580211639404,0.8634495139122009,0.016773555427789688
smart_init_classifier_adapter_bert_ms,2,uv1ouysk,0.9677419066429138,0.8551342487335205,0.8568904399871826,0.34730538725852966,16,0.01430685818195343,0.6741572618484497,0.517241358757019,0.9666666388511658,0.21167883276939392,0.859720766544342,0.8483964800834656,0.8175585269927979,0.21167883276939392,0.8551342487335205,0.9666666984558104,0.33,0.8336391448974609,0.74195396900177,0.34730538725852966,0.8503650426864624,0.21167883276939392,0.6704545617103577,0.3511904776096344,0.8643567562103271,0.01430685818195343,0.01430685818195343,0.6120689511299133,0.9666666388511658,0.6077280044555664,0.8483964800834656,0.8400692939758301,0.8336391448974609,0.8568904399871826,0.017389357089996338,0.9666666388511658,0.9666666984558104,0.9666666984558104,0.11,0.8643567562103271,0.4609375,0.017266895622015,0.34730538725852966,0.6571294665336609,0.5897103548049927,0.6034482717514038,0.8400692939758301,0.8175585269927979,0.8503650426864624,0.859720766544342,0.017513565719127655
smart_init_classifier_adapter_bert_ms,1,s0ci4k6p,0.9677419066429138,0.8629207611083984,0.8563015460968018,0.5652173757553101,8,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.4193548262119293,0.8633918762207031,0.8540381193161011,0.8154752254486084,0.4193548262119293,0.8629207611083984,0.8666667342185974,0.33,0.8346229791641235,0.6919540166854858,0.5652173757553101,0.8546916246414185,0.4193548262119293,0.6363636255264282,0.602150559425354,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8540381193161011,0.851786732673645,0.8346229791641235,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.56,0.863863468170166,0.6187845468521118,0.015786876901984215,0.5652173757553101,0.6927502751350403,0.6935483813285828,0.5517241358757019,0.851786732673645,0.8154752254486084,0.8546916246414185,0.8633918762207031,0.016773555427789688
smart_init_classifier_adapter_bert_ms,0,bg0uf47r,0.9677419066429138,0.8627892136573792,0.8563015460968018,0.5714285969734192,19,0.012826837599277496,0.6741572618484497,0.517241358757019,0.8666666746139526,0.4262295067310333,0.8633260130882263,0.8541218042373657,0.8154752254486084,0.4262295067310333,0.8627892136573792,0.8666667342185974,0.33,0.8346913456916809,0.6919540166854858,0.5714285969734192,0.8548349142074585,0.4262295067310333,0.6363636255264282,0.6086956262588501,0.863863468170166,0.012826837599277496,0.012826837599277496,0.58620685338974,0.8666666746139526,0.5684430003166199,0.8541218042373657,0.8519531488418579,0.8346913456916809,0.8563015460968018,0.0162652675062418,0.8666666746139526,0.8666667342185974,0.8666667342185974,0.49,0.863863468170166,0.6222221851348877,0.015786876901984215,0.5714285969734192,0.6944607496261597,0.6969857215881348,0.5517241358757019,0.8519531488418579,0.8154752254486084,0.8548349142074585,0.8633260130882263,0.016773555427789688
