name,instance,run_id,test_pretraining/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,epoch,threshold_incremental,test/macro_types/precision,test_pretraining/micro/recall,test_incremental_transportation/macro_types/f1,test/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/recall,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/f1,test/micro/precision,test_incremental/micro/f1,test/macro_example/recall,test_incremental_transportation-road/macro_types/f1,test_incremental_only/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/micro/precision,test_incremental/macro_types/precision,test_incremental_transportation-road/macro_types/recall,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_transportation-road/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_transportation/macro_types/recall,test_incremental_transportation/macro_types/precision,test/micro/f1,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1
no_init_kenn_top_down_adapter_bert_ms,1,51rul9l3,0.8827509880065918,0.9048243165016174,0.009394572116434574,0.9032257795333862,0.8827509880065918,0.9062568545341492,0.9018634557724,0.92823588848114,0.009394572116434574,12,0.77,0.9048243165016174,0.8987064361572266,0.9032257795333862,0.8617289066314697,0.00956854596734047,0.009742519818246365,0.8870967626571655,0.9140107035636902,0.8709677457809448,0.9210683703422546,0.009654749184846878,0.931034505367279,0.8709677457809448,0.8870967626571655,0.8709677457809448,0.8950886130332947,0.913935363292694,0.9016393423080444,0.9140107035636902,0.9000000953674316,0.9000000953674316,0.8617289066314697,0.931034505367279,0.9171301126480104,0.8709677457809448,0.8870967626571655,0.92823588848114,0.913935363292694,0.931034505367279,0.9000000953674316,0.8709677457809448,0.9032257795333862,0.9032257795333862,0.9062568545341492,0.375,0.009394572116434574,0.8709677457809448,0.8987064361572266,0.9166666865348816,0.9210683703422546
no_init_kenn_bottom_up_adapter_bert_ms,1,21j53fq0,0.8827509880065918,0.9048243165016174,0.009394572116434574,0.9032257795333862,0.8827509880065918,0.9062568545341492,0.9018634557724,0.92823588848114,0.009394572116434574,13,0.5,0.9048243165016174,0.8987064361572266,0.9032257795333862,0.8617289066314697,0.00956854596734047,0.009742519818246365,0.8870967626571655,0.9140107035636902,0.8709677457809448,0.9210683703422546,0.009654749184846878,0.931034505367279,0.8709677457809448,0.8870967626571655,0.8709677457809448,0.8950886130332947,0.913935363292694,0.9016393423080444,0.9140107035636902,0.9000000953674316,0.9000000953674316,0.8617289066314697,0.931034505367279,0.9171301126480104,0.8709677457809448,0.8870967626571655,0.92823588848114,0.913935363292694,0.931034505367279,0.9000000953674316,0.8709677457809448,0.9032257795333862,0.9032257795333862,0.9062568545341492,0.375,0.009394572116434574,0.8709677457809448,0.8987064361572266,0.9166666865348816,0.9210683703422546
no_init_kenn_hybrid_adapter_bert_ms,0,19gyullz,0.8827509880065918,0.9048243165016174,0.009394572116434574,0.9032257795333862,0.8827509880065918,0.9062568545341492,0.9018634557724,0.92823588848114,0.009394572116434574,13,0.74,0.9048243165016174,0.8987064361572266,0.9032257795333862,0.8617289066314697,0.00956854596734047,0.009742519818246365,0.8870967626571655,0.9140107035636902,0.8709677457809448,0.9210683703422546,0.009654749184846878,0.931034505367279,0.8709677457809448,0.8870967626571655,0.8709677457809448,0.8950886130332947,0.913935363292694,0.9016393423080444,0.9140107035636902,0.9000000953674316,0.9000000953674316,0.8617289066314697,0.931034505367279,0.9171301126480104,0.8709677457809448,0.8870967626571655,0.92823588848114,0.913935363292694,0.931034505367279,0.9000000953674316,0.8709677457809448,0.9032257795333862,0.9032257795333862,0.9062568545341492,0.375,0.009394572116434574,0.8709677457809448,0.8987064361572266,0.9166666865348816,0.9210683703422546
no_init_kenn_top_down_adapter_bert_ms,0,3p40uq4k,0.8828243613243103,0.9042681455612184,0.009742519818246365,0.9032257795333862,0.8828243613243103,0.9062776565551758,0.9032257795333862,0.9281779527664183,0.009742519818246365,14,0.72,0.9042681455612184,0.8989256620407104,0.9032257795333862,0.8623740673065186,0.009742519818246365,0.009742519818246365,0.9032257795333862,0.9141266942024232,0.9032257795333862,0.9210987091064452,0.009742519818246365,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9137508273124696,0.9032257795333862,0.9141266942024232,0.9032257795333862,0.9032257795333862,0.8623740673065186,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9281779527664183,0.9137508273124696,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9062776565551758,0.375,0.009742519818246365,0.9032257795333862,0.8989256620407104,0.9032257795333862,0.9210987091064452
no_init_kenn_bottom_up_adapter_bert_ms,0,1qzser50,0.8828243613243103,0.9042681455612184,0.009742519818246365,0.9032257795333862,0.8828243613243103,0.9062776565551758,0.9032257795333862,0.9281779527664183,0.009742519818246365,14,0.38,0.9042681455612184,0.8989256620407104,0.9032257795333862,0.8623740673065186,0.009742519818246365,0.009742519818246365,0.9032257795333862,0.9141266942024232,0.9032257795333862,0.9210987091064452,0.009742519818246365,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9137508273124696,0.9032257795333862,0.9141266942024232,0.9032257795333862,0.9032257795333862,0.8623740673065186,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9281779527664183,0.9137508273124696,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9032257795333862,0.9062776565551758,0.375,0.009742519818246365,0.9032257795333862,0.8989256620407104,0.9032257795333862,0.9210987091064452
smart_init_kenn_hybrid_adapter_bert_ms,2,yil2048g,0.8824495673179626,0.9027750492095948,0.01009046658873558,0.9354838132858276,0.8824495673179626,0.9060981273651124,0.891826331615448,0.9278299808502196,0.01009046658873558,5,0.03,0.9027750492095948,0.8991449475288391,0.9032257795333862,0.8630192279815674,0.009916492737829683,0.01009046658873558,0.9193547964096068,0.914242684841156,0.9354838132858276,0.9209861755371094,0.010002723895013332,0.8285714387893677,0.9354838132858276,0.9193548560142516,0.9354838728904724,0.9273492097854614,0.9131596684455872,0.8906250596046448,0.914242684841156,0.8787878751754761,0.8787878751754761,0.8630192279815674,0.8285714387893677,0.865898609161377,0.9354838728904724,0.9193547964096068,0.9278299808502196,0.9131596684455872,0.8285714387893677,0.8787878751754761,0.9354838728904724,0.9032257795333862,0.9032257795333862,0.9060981273651124,0.375,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.8636363744735718,0.9209861755371094
smart_init_kenn_top_down_adapter_bert_ms,2,e11axu18,0.8824495673179626,0.9027750492095948,0.01009046658873558,0.9354838132858276,0.8824495673179626,0.9060981273651124,0.891826331615448,0.9278299808502196,0.01009046658873558,5,0.18000000000000002,0.9027750492095948,0.8991449475288391,0.9032257795333862,0.8630192279815674,0.009916492737829683,0.01009046658873558,0.9193547964096068,0.914242684841156,0.9354838132858276,0.9209861755371094,0.010002723895013332,0.8285714387893677,0.9354838132858276,0.9193548560142516,0.9354838728904724,0.9273492097854614,0.9131596684455872,0.8906250596046448,0.914242684841156,0.8787878751754761,0.8787878751754761,0.8630192279815674,0.8285714387893677,0.865898609161377,0.9354838728904724,0.9193547964096068,0.9278299808502196,0.9131596684455872,0.8285714387893677,0.8787878751754761,0.9354838728904724,0.9032257795333862,0.9032257795333862,0.9060981273651124,0.375,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.8636363744735718,0.9209861755371094
smart_init_kenn_bottom_up_adapter_bert_ms,2,kq8co41t,0.8829291462898254,0.90377938747406,0.01009046658873558,0.9354838132858276,0.8829291462898254,0.906298279762268,0.9049588441848756,0.9280619621276855,0.01009046658873558,13,0.08,0.90377938747406,0.8991449475288391,0.9032257795333862,0.8630192279815674,0.009916492737829683,0.01009046658873558,0.9193547964096068,0.914242684841156,0.9354838132858276,0.9211004376411438,0.010002723895013332,0.8787878751754761,0.9354838132858276,0.9193548560142516,0.9354838728904724,0.9273492097854614,0.9135664701461792,0.9047618508338928,0.914242684841156,0.90625,0.90625,0.8630192279815674,0.8787878751754761,0.8910068273544312,0.9354838728904724,0.9193547964096068,0.9280619621276855,0.9135664701461792,0.8787878751754761,0.90625,0.9354838728904724,0.9032257795333862,0.9032257795333862,0.906298279762268,0.375,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.890625,0.9211004376411438
smart_init_kenn_hybrid_adapter_bert_ms,1,0vvxt9u3,0.8829291462898254,0.90377938747406,0.01009046658873558,0.9354838132858276,0.8829291462898254,0.906298279762268,0.9049588441848756,0.9280619621276855,0.01009046658873558,5,0.15000000000000002,0.90377938747406,0.8991449475288391,0.9032257795333862,0.8630192279815674,0.009916492737829683,0.01009046658873558,0.9193547964096068,0.914242684841156,0.9354838132858276,0.9211004376411438,0.010002723895013332,0.8787878751754761,0.9354838132858276,0.9193548560142516,0.9354838728904724,0.9273492097854614,0.9135664701461792,0.9047618508338928,0.914242684841156,0.90625,0.90625,0.8630192279815674,0.8787878751754761,0.8910068273544312,0.9354838728904724,0.9193547964096068,0.9280619621276855,0.9135664701461792,0.8787878751754761,0.90625,0.9354838728904724,0.9032257795333862,0.9032257795333862,0.906298279762268,0.375,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.890625,0.9211004376411438
smart_init_kenn_top_down_adapter_bert_ms,1,ukjztjvn,0.8824495673179626,0.9027750492095948,0.01009046658873558,0.9354838132858276,0.8824495673179626,0.9060981273651124,0.891826331615448,0.9278299808502196,0.01009046658873558,13,0.060000000000000005,0.9027750492095948,0.8991449475288391,0.9032257795333862,0.8630192279815674,0.009916492737829683,0.01009046658873558,0.9193547964096068,0.914242684841156,0.9354838132858276,0.9209861755371094,0.010002723895013332,0.8285714387893677,0.9354838132858276,0.9193548560142516,0.9354838728904724,0.9273492097854614,0.9131596684455872,0.8906250596046448,0.914242684841156,0.8787878751754761,0.8787878751754761,0.8630192279815674,0.8285714387893677,0.865898609161377,0.9354838728904724,0.9193547964096068,0.9278299808502196,0.9131596684455872,0.8285714387893677,0.8787878751754761,0.9354838728904724,0.9032257795333862,0.9032257795333862,0.9060981273651124,0.375,0.01009046658873558,0.9354838132858276,0.8991449475288391,0.8636363744735718,0.9209861755371094
