name,instance,run_id,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental_transportation/macro_types/precision,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_types/f1,epoch,test/micro/f1,test/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_types/precision,test_incremental/macro_types/f1,test_pretraining/micro/precision,test/micro/recall,test_pretraining/micro/f1,test_incremental/micro/precision,test/macro_example/f1,test_incremental/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_transportation/macro_types/f1,test_incremental_transportation-road/macro_types/recall,test/micro/precision,test_incremental_only/micro/f1,test_incremental_transportation-road/macro_types/f1,test/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_transportation-road/macro_types/precision,test/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,threshold_incremental,test/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/micro/recall,threshold_pretraining,test_incremental/macro_example_exclusive/precision,test_incremental_transportation/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/precision,test_incremental/micro/f1,test_pretraining/micro/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,oe6tlnki,0.009916492737829683,0.9655172228813172,0.9354838728904724,0.9193547964096068,0.01009046658873558,0.00974251888692379,0.9032257795333862,0.853256344795227,0.8179585933685303,0.9059556722640992,0.9333333373069764,40,0.8928650617599487,0.9059556722640992,0.9193547964096068,0.9032257795333862,0.9032257795333862,0.8917379379272461,0.934668242931366,0.9053414463996888,0.8807278871536255,0.8928650617599487,0.949999988079071,0.9151288270950316,0.010002723895013332,0.924489676952362,0.9354838728904724,0.9032257795333862,0.9053414463996888,0.9333333373069764,0.9333333373069764,0.853256344795227,0.9151288270950316,0.9655172228813172,0.924489676952362,0.9273492097854614,0.9193548560142516,0.00974251888692379,0.9655172228813172,0.03,0.8179585933685303,0.00974251888692379,0.9032257795333862,0.9032257795333862,0.25,0.9354838132858276,0.9354838728904724,0.8917379379272461,0.9505005478858948,0.934426248073578,0.8807278871536255
no_init_box_kenn_bottom_up_adapter_bert_ms,0,wt1eu0md,0.00922059826552868,0.959999978542328,0.9354838728904724,0.8548387289047241,0.01009046658873558,0.008350730873644352,0.774193525314331,0.8517997860908508,0.815377950668335,0.9054917097091676,0.8571428060531616,40,0.892372727394104,0.9054917097091676,0.8548386693000793,0.774193525314331,0.774193525314331,0.8916276097297668,0.8988962769508362,0.9052560329437256,0.8798509240150452,0.892372727394104,0.9464285969734192,0.914892077445984,0.009635940194129944,0.924489676952362,0.9354838728904724,0.774193525314331,0.9052560329437256,0.8571428060531616,0.8571428060531616,0.8517997860908508,0.914892077445984,0.959999978542328,0.924489676952362,0.8933448791503906,0.8548387289047241,0.008350730873644352,0.959999978542328,0.04,0.815377950668335,0.008350730873644352,0.774193525314331,0.774193525314331,0.25,0.9354838132858276,0.9354838728904724,0.8916276097297668,0.9477419257164,0.8983050584793091,0.8798509240150452
smart_init_box_adapter_bert_ms,2,kd6999oy,0.01009046658873558,0.90625,0.9354838728904724,0.9354838728904724,0.01009046658873558,0.01009046658873558,0.9354838132858276,0.8530638217926025,0.8186037540435791,0.906071662902832,0.9206348657608032,16,0.8927897214889526,0.906071662902832,0.9354838132858276,0.9354838728904724,0.9354838132858276,0.8905526399612427,0.9281178712844848,0.9049549698829652,0.8809471726417542,0.8927897214889526,0.920634925365448,0.9151027798652648,0.01009046658873558,0.9243156909942628,0.9354838728904724,0.9354838728904724,0.9049549698829652,0.9206348657608032,0.9206348657608032,0.8530638217926025,0.9151027798652648,0.90625,0.9243156909942628,0.9354838132858276,0.9354838728904724,0.01009046658873558,0.90625,0.33,0.8186037540435791,0.01009046658873558,0.9354838132858276,0.9354838728904724,0.25,0.9354838132858276,0.9354838728904724,0.8905526399612427,0.9208669662475586,0.928000032901764,0.8809471726417542
smart_init_box_adapter_bert_ms,1,gro5uhqo,0.009046625345945358,0.9583333134651184,0.9354838728904724,0.8387097120285034,0.01009046658873558,0.008002784103155136,0.7419354915618896,0.8514324426651001,0.8147327899932861,0.9053757786750792,0.836363673210144,9,0.8922495245933533,0.9053757786750792,0.8387096524238586,0.7419354915618896,0.7419354915618896,0.8915942907333374,0.8895310163497925,0.9052346348762512,0.8796316385269165,0.8922495245933533,0.9454545378684998,0.914832890033722,0.009540078230202198,0.924489676952362,0.9354838728904724,0.7419354915618896,0.9052346348762512,0.836363673210144,0.836363673210144,0.8514324426651001,0.914832890033722,0.9583333134651184,0.924489676952362,0.8844574093818665,0.8387096524238586,0.008002784103155136,0.9583333134651184,0.85,0.8147327899932861,0.008002784103155136,0.7419354915618896,0.7419354915618896,0.25,0.9354838132858276,0.9354838728904724,0.8915942907333374,0.9469085931777954,0.8888888359069824,0.8796316385269165
smart_init_box_adapter_bert_ms,0,9ooowv47,0.00956854596734047,0.9285714030265808,0.9354838728904724,0.8870967626571655,0.01009046658873558,0.009046625345945358,0.8387096524238586,0.8522158861160278,0.8166682720184326,0.9057236909866332,0.881355881690979,9,0.8925197124481201,0.9057236909866332,0.8870967626571655,0.8387096524238586,0.8387096524238586,0.8909990191459656,0.9090072512626648,0.9050946831703186,0.8802894353866577,0.8925197124481201,0.9322034120559692,0.9149820804595948,0.00982257816940546,0.9244316816329956,0.9354838728904724,0.8387096524238586,0.9050946831703186,0.881355881690979,0.881355881690979,0.8522158861160278,0.9149820804595948,0.9285714030265808,0.9244316816329956,0.910647988319397,0.8870967626571655,0.009046625345945358,0.9285714030265808,0.73,0.8166682720184326,0.009046625345945358,0.8387096524238586,0.8387096524238586,0.25,0.9354838132858276,0.9354838728904724,0.8909990191459656,0.9320276379585266,0.9090908765792848,0.8802894353866577
no_init_kenn_horizontal_adapter_bert_ms,2,37fb69wm,0.009916492737829683,0.3333333432674408,0.9032257795333862,0.9193547964096068,0.01009046658873558,0.01009046658873558,0.9354838132858276,0.8776910305023193,0.8630192279815674,0.914242684841156,0.49152544140815735,25,0.9009226560592652,0.914242684841156,0.9193547964096068,0.9354838728904724,0.9354838132858276,0.892870306968689,0.7393412590026855,0.9027074575424194,0.8991449475288391,0.9009226560592652,0.4830508530139923,0.9171704649925232,0.010002723895013332,0.9201171398162842,0.9032257795333862,0.9354838728904724,0.9027074575424194,0.49152544140815735,0.49152544140815735,0.8776910305023193,0.9171704649925232,0.3333333432674408,0.9201171398162842,0.9273492097854614,0.9193548560142516,0.01009046658873558,0.3333333432674408,0.04,0.8630192279815674,0.01009046658873558,0.9354838132858276,0.9354838728904724,0.375,0.9354838132858276,0.9032257795333862,0.892870306968689,0.6182795763015747,0.6333333253860474,0.8991449475288391
no_init_kenn_horizontal_adapter_bert_ms,1,40c5zupy,0.00922059826552868,0.6578947305679321,0.9032257795333862,0.8548387289047241,0.009742519818246365,0.008698677644133568,0.8064515590667725,0.8794695734977722,0.8604385852813721,0.9137787222862244,0.7246376276016235,26,0.9049144387245178,0.9137787222862244,0.8548386693000793,0.8064516186714172,0.8064515590667725,0.8993614912033081,0.8160126805305481,0.9116600155830384,0.898267924785614,0.9049144387245178,0.7681159377098083,0.9200077056884766,0.009474377147853374,0.9263222217559814,0.9032257795333862,0.8064516186714172,0.9116600155830384,0.7246376276016235,0.7246376276016235,0.8794695734977722,0.9200077056884766,0.6578947305679321,0.9263222217559814,0.8783662915229797,0.8548387289047241,0.008698677644133568,0.6578947305679321,0.33,0.8604385852813721,0.008698677644133568,0.8064515590667725,0.8064516186714172,0.375,0.9032257795333862,0.9032257795333862,0.8993614912033081,0.7805602550506592,0.8091603517532349,0.898267924785614
no_init_kenn_horizontal_adapter_bert_ms,0,13lyrd3p,0.009916492737829683,0.07323232293128967,0.9032257795333862,0.9193547964096068,0.010438413359224796,0.01009046658873558,0.9354838132858276,0.8751702308654785,0.8630192279815674,0.9142136573791504,0.13583137094974518,20,0.8713482022285461,0.9142136573791504,0.9193547964096068,0.9354838728904724,0.9354838132858276,0.887668251991272,0.6377676129341125,0.8452184796333313,0.8991449475288391,0.8713482022285461,0.1334894597530365,0.893085777759552,0.010170761495828629,0.8729123473167419,0.9032257795333862,0.9354838728904724,0.8452184796333313,0.13583137094974518,0.13583137094974518,0.8751702308654785,0.893085777759552,0.07323232293128967,0.8729123473167419,0.9429280161857604,0.9193548560142516,0.01009046658873558,0.07323232293128967,0.01,0.8630192279815674,0.01009046658873558,0.9354838132858276,0.9354838728904724,0.375,0.9677419066429138,0.9032257795333862,0.887668251991272,0.4882290363311768,0.2331288456916809,0.8991449475288391
no_init_kenn_hybrid_adapter_bert_ms,2,1t9w5m85,0.01009046658873558,0.03861003741621971,0.9032257795333862,0.9354838132858276,0.010438413359224796,0.010438413359224796,0.9677419066429138,0.8751649260520935,0.8636643886566162,0.9143296480178832,0.07425741851329803,22,0.8376557230949402,0.9143296480178832,0.9354838728904724,0.9677419066429138,0.9677419066429138,0.8869758248329163,0.6264725923538208,0.783871591091156,0.899364173412323,0.8376557230949402,0.0717821791768074,0.8741052746772766,0.010261490941047668,0.837270975112915,0.9032257795333862,0.9677419066429138,0.783871591091156,0.07425741851329803,0.07425741851329803,0.8751649260520935,0.8741052746772766,0.03861003741621971,0.837270975112915,0.9513394832611084,0.9354838728904724,0.010438413359224796,0.03861003741621971,0.01,0.8636643886566162,0.010438413359224796,0.9677419066429138,0.9677419066429138,0.375,0.9677419066429138,0.9032257795333862,0.8869758248329163,0.4709179103374481,0.13333334028720856,0.899364173412323
no_init_kenn_top_down_adapter_bert_ms,2,yxvzahkb,0.01009046658873558,0.05226480960845947,0.9032257795333862,0.9354838132858276,0.010438413359224796,0.010438413359224796,0.9677419066429138,0.8752977848052979,0.8636643886566162,0.9143296480178832,0.09917356073856354,24,0.8553851842880249,0.9143296480178832,0.9354838728904724,0.9677419066429138,0.9677419066429138,0.8872489333152771,0.6324848532676697,0.8155069351196289,0.899364173412323,0.8553851842880249,0.09586776793003082,0.8889302015304565,0.010261490941047668,0.8649038076400757,0.9032257795333862,0.9677419066429138,0.8155069351196289,0.09917356073856354,0.09917356073856354,0.8752977848052979,0.8889302015304565,0.05226480960845947,0.8649038076400757,0.9513394832611084,0.9354838728904724,0.010438413359224796,0.05226480960845947,0.060000000000000005,0.8636643886566162,0.010438413359224796,0.9677419066429138,0.9677419066429138,0.375,0.9677419066429138,0.9032257795333862,0.8872489333152771,0.4777452945709229,0.17391303181648254,0.899364173412323
