metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental_only/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.00973923938969771,0.00973923938969771,0.009739239079256853,0.004454114740961233,0.004454114740961233,0.004454114379663828
test_incremental_CONTACT_INFO-url/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7214285731315613,0.34444444874922436,0.4506698250770569,0.02575394027967383,0.15752718656077655,0.1573974817944601
test_incremental/micro,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7188428243001302,0.6388888955116272,0.674725333849589,0.007806047583356778,0.07876358592306151,0.045395027069484666
test_pretraining/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.8266650040944418,0.8426117897033691,0.8345450957616171,0.0015149167562393173,0.009266298290964639,0.004642865345805808
test/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.8266650040944418,0.8426117897033691,0.8345450957616171,0.0015149167562393173,0.009266298290964639,0.004642865345805808
test_incremental_CONTACT_INFO/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7179487347602844,0.9333333373069764,0.8115941882133484,0.0,0.0,0.0
test_incremental_only/micro,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7214285731315613,0.34444444874922436,0.4506698250770569,0.02575394027967383,0.15752718656077655,0.1573974817944601
test/micro,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.797875980536143,0.849338153998057,0.8228003978729248,0.0005050162380946372,0.003412154300623515,0.001410312367105708
test_pretraining/micro,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.797875980536143,0.849338153998057,0.8228003978729248,0.0005050162380946372,0.003412154300623515,0.001410312367105708
test_incremental/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7196886539459229,0.6388888955116272,0.6751076579093933,0.012876949475674164,0.07876358592306151,0.04594322844306346
test_incremental/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.02639019675552845,0.01806471807261308,0.02139408638079961,0.0,0.0022270573704806164,0.0016104223197732292
test/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.8155566056569418,0.8601424296696981,0.8372559944788615,0.0005049272288409935,0.0014595576213153848,0.0008023442523199305
test_incremental/macro_example_exclusive,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.9777777989705404,0.9277778267860413,0.9520584543546041,0.03848998123903342,0.053575820461097504,0.04635721304010084
test_pretraining/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.8155566056569418,0.8601424296696981,0.8372559944788615,0.0005049272288409935,0.0014595576213153848,0.0008023442523199305
test_incremental_only/macro_example_exclusive,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.9222222566604614,0.9222222566604614,0.9222222566604614,0.10715164092219509,0.10715164092219509,0.10715164092219509
test_incremental_only/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6294227639834086,0.9222222169240316,0.7462364633878072,0.016207705132606734,0.10715166255469387,0.035626159776639216
test_incremental_only/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.026076028123497963,0.026076028123497963,0.026076028123497963,0.0030297357542914865,0.0030297357542914865,0.0030297357542914865
test_incremental_CONTACT_INFO-url/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6294227639834086,0.9222222169240316,0.7462364633878072,0.016207705132606734,0.10715166255469387,0.035626159776639216
