name,instance,run_id,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_visual_art/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_incremental/micro/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test/macro_types/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_visual_art-color/macro_types/precision,test_pretraining/macro_example/f1,test/macro_types/f1,threshold_pretraining,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_visual_art/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_visual_art-color/macro_types/recall,test/macro_example/recall,test/macro_example/precision,test/micro/recall,test_incremental/micro/precision,test_incremental/macro_types/precision,test/micro/f1,test_pretraining/micro/f1,test/micro/precision,test_incremental/micro/recall,test_pretraining/macro_example/recall,epoch,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_visual_art-color/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_example/f1,test_incremental/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_visual_art/macro_types/precision
kenn_horizontal_adapter_bert_ms,2,adkvrkap,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,24,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_horizontal_adapter_bert_ms,1,3lagqb7p,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,28,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_horizontal_adapter_bert_ms,0,3v59kjx7,0.3921568691730499,0.891081690788269,0.9473683834075928,1,1,0.02,0.5428571701049805,0.010438413359224796,0.949999988079071,0.3921568691730499,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.9150429368019104,0.891081690788269,0.2439024448394775,0.010438413359224796,0.2439024448394775,0.9149037003517152,0.8774914145469666,0.375,0.864309549331665,0.8958287835121155,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.9150429368019104,0.8995614051818848,0.3799999952316284,0.6219512224197388,0.8976912498474121,0.8976912498474121,0.8958287835121155,0.949999988079071,0.9147645235061646,23,0.8774914145469666,1,0.864309549331665,0.3921568691730499,1,0.8995614051818848,0.7517455220222473,0.2439024448394775,0.9149037003517152,0.949999988079071,0.9743589162826538,1.0
kenn_hybrid_adapter_bert_ms,2,2zeoilgg,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,23,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_top_down_adapter_bert_ms,2,2tilx2pr,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,24,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_bottom_up_adapter_bert_ms,2,1zt30ndw,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,24,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_hybrid_adapter_bert_ms,1,g8y9ix16,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,28,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_top_down_adapter_bert_ms,1,33iasilb,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,28,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_bottom_up_adapter_bert_ms,1,2ydgkpj0,0.04622495919466019,0.8866767883300781,0.9473683834075928,1,1,0.99,0.0841328427195549,0.010438413359224796,0.949999988079071,0.04622495919466019,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.7677569389343262,0.8866767883300781,0.02365930564701557,0.010438413359224796,0.02365930564701557,0.8348384499549866,0.875350296497345,0.375,0.864309549331665,0.7166317105293274,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.7677569389343262,0.8995614051818848,0.04401544481515885,0.511829674243927,0.79774409532547,0.79774409532547,0.7166317105293274,0.949999988079071,0.9147645235061646,28,0.875350296497345,1,0.864309549331665,0.04622495919466019,1,0.8995614051818848,0.6652460098266602,0.02365930564701557,0.8348384499549866,0.949999988079071,0.9743589162826538,1.0
kenn_hybrid_adapter_bert_ms,0,rik3tjht,0.2409638613462448,0.8889433145523071,0.9473683834075928,1,1,0.02,0.3725490272045135,0.010438413359224796,0.949999988079071,0.2409638613462448,0.010170761495828629,0.009916492737829683,0.010438413359224796,1,0.902453064918518,0.8889433145523071,0.1369863003492355,0.010438413359224796,0.1369863003492355,0.9085670709609984,0.8764533400535583,0.375,0.864309549331665,0.877433180809021,0.8999999761581421,0.010438413359224796,1,1,0.9147645235061646,0.902453064918518,0.8995614051818848,0.23170731961727145,0.568493127822876,0.888359546661377,0.888359546661377,0.877433180809021,0.949999988079071,0.9147645235061646,19,0.8764533400535583,1,0.864309549331665,0.2409638613462448,1,0.8995614051818848,0.7113215327262878,0.1369863003492355,0.9085670709609984,0.949999988079071,0.9743589162826538,1.0
