name,instance,run_id,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/precision,test_incremental/micro/precision,test_incremental_internet/macro_types/recall,test/micro/precision,test/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_incremental_only/macro_example/f1,test_incremental_internet-website/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/recall,threshold_pretraining,test/macro_types/precision,test_incremental_only/micro/recall,test_incremental_internet/macro_types/precision,test/micro/recall,test/macro_types/f1,test_incremental_internet/macro_types/f1,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_pretraining/micro/precision,epoch,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_internet-website/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test_incremental/micro/recall,test_incremental_only/micro/f1,test/micro/f1,test_incremental_only/macro_example/recall,test_incremental_only/micro/precision,test/macro_example/precision,test_incremental/macro_types/precision,test_incremental_internet-website/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,threshold_incremental,test_incremental/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example/f1,test_pretraining/macro_example/f1
no_init_box_kenn_top_down_adapter_bert_ms,0,vjsgvn97,0.8000000715255737,0.9230769276618958,0.9545454382896424,0.6000000238418579,0.90505188703537,0.9157581329345704,0.8571428656578064,0.008350730873644352,0.807692289352417,0.008350730873644352,0.8571428656578064,0.8000000715255737,0.892372727394104,0.7000000476837158,0.8000000715255737,0.9067269563674928,0.25,0.8908891677856445,0.800000011920929,1.0,0.8800438642501831,0.8517439961433411,0.75,0.746666669845581,0.8158940672874451,0.8800438642501831,0.8101851940155029,0.90505188703537,49,0.8158940672874451,0.8908891677856445,0.008350730873644352,0.9249709844589232,0.800000011920929,0.8000000715255737,0.9067269563674928,0.699999988079071,0.8571428656578064,0.892372727394104,0.008350730873644352,0.9230769276618958,0.9249709844589232,0.9615384340286256,0.9230769276618958,0.8517439961433411,0.800000011920929,0.01,0.7000000476837158,0.00730688963085413,0.007794015575200319,0.9157581329345704
no_init_box_kenn_bottom_up_adapter_bert_ms,0,giqsk1j5,0.73333340883255,1.0,1.0,0.6000000238418579,0.9052464962005616,0.9149941205978394,0.6363636255264282,0.004871259443461895,0.6956522464752197,0.004871259443461895,0.6363636255264282,0.46666669845581055,0.8913382291793823,0.5333333611488342,0.46666669845581055,0.9054802060127258,0.25,0.8924275636672974,0.46666666865348816,1.0,0.8778508901596069,0.8487934470176697,0.75,0.6175438761711121,0.8092273473739624,0.8778508901596069,0.6956522464752197,0.9052464962005616,47,0.8092273473739624,0.8924275636672974,0.007654836401343346,0.9247100353240968,0.46666666865348816,0.46666669845581055,0.9054802060127258,0.5333333611488342,0.6363636255264282,0.8913382291793823,0.004871259443461895,1.0,0.9247100353240968,1.0,1.0,0.8487934470176697,0.46666666865348816,0.02,0.5333333611488342,0.005567153915762901,0.006446178071200848,0.9149941205978394
smart_init_box_adapter_bert_ms,2,bsjkm492,0.6333333849906921,0.9473684430122375,0.9729729890823364,0.6000000238418579,0.9051276445388794,0.9153046607971193,0.7346938252449036,0.006263048388063908,0.7422680258750916,0.006263048388063908,0.7346938252449036,0.6000000238418579,0.8917325735092163,0.6000000238418579,0.6000000238418579,0.90607750415802,0.25,0.891374945640564,0.6000000238418579,1.0,0.8787280917167664,0.8497800827026367,0.75,0.6162163019180298,0.8118940591812134,0.8787280917167664,0.7424749135971069,0.9051276445388794,8,0.8118940591812134,0.891374945640564,0.0066109951585531235,0.9247215986251832,0.6000000238418579,0.6000000238418579,0.90607750415802,0.6000000238418579,0.7346938252449036,0.8917325735092163,0.006263048388063908,0.9473684430122375,0.9247215986251832,0.9736841917037964,0.9473684430122375,0.8497800827026367,0.6000000238418579,0.43,0.6000000238418579,0.006263048388063908,0.006432319991290569,0.9153046607971193
smart_init_box_adapter_bert_ms,1,asf1ehl1,0.9333333969116212,0.2916666567325592,0.4035087823867798,0.6000000238418579,0.8918738961219788,0.9133612513542176,0.4444444477558136,0.00974251888692379,0.5287356376647949,0.00974251888692379,0.4444444477558136,0.9333333969116212,0.886363685131073,0.7666667699813843,0.9333333969116212,0.9071097373962402,0.25,0.8782609701156616,0.9333333373069764,1.0,0.8809210658073425,0.8473606109619141,0.75,0.8418301939964294,0.8185607194900513,0.8809210658073425,0.7010816335678101,0.8918738961219788,9,0.8185607194900513,0.8782609701156616,0.00974251888692379,0.9196996092796326,0.9333333373069764,0.9333333969116212,0.9071097373962402,0.7666666507720947,0.4444444477558136,0.886363685131073,0.00974251888692379,0.2916666567325592,0.9196996092796326,0.6458333134651184,0.2916666567325592,0.8473606109619141,0.9333333373069764,0.01,0.7666666507720947,0.008002784103155136,0.008787370286881924,0.9133612513542176
smart_init_box_adapter_bert_ms,0,ko5fhafo,0.6666666865348816,1.0,1.0,0.6000000238418579,0.9052464962005616,0.914952516555786,0.6363636255264282,0.004871259443461895,0.6956522464752197,0.004871259443461895,0.6363636255264282,0.46666669845581055,0.8913382291793823,0.5333333611488342,0.46666669845581055,0.905526638031006,0.25,0.8924275636672974,0.46666666865348816,1.0,0.8778508901596069,0.8487934470176697,0.75,0.5925926566123962,0.8092273473739624,0.8778508901596069,0.6956522464752197,0.9052464962005616,9,0.8092273473739624,0.8924275636672974,0.006958942394703627,0.9245766401290894,0.46666666865348816,0.46666669845581055,0.905526638031006,0.5333333611488342,0.6363636255264282,0.8913382291793823,0.004871259443461895,1.0,0.9245766401290894,1.0,1.0,0.8487934470176697,0.46666666865348816,0.5,0.5333333611488342,0.005567153915762901,0.006185726262629032,0.914952516555786
no_init_kenn_horizontal_adapter_bert_ms,2,3uxbfhs8,0.8333333730697632,0.875,0.8979591727256775,0.7666666507720947,0.9136160612106324,0.9210719466209412,0.7777777910232544,0.00730688963085413,0.8073394298553467,0.00730688963085413,0.7777777910232544,0.7000000476837158,0.9055309891700744,0.7333333492279053,0.7000000476837158,0.9140570759773254,0.375,0.9037036299705504,0.699999988079071,0.9200000166893004,0.8975877165794373,0.8804218173027039,0.8363636136054993,0.7801418900489807,0.8583095073699951,0.8975877165794373,0.8071538209915161,0.9136160612106324,95,0.8583095073699951,0.9037036299705504,0.008698677644133568,0.9281953573226928,0.699999988079071,0.7000000476837158,0.9140570759773254,0.7333333492279053,0.7777777910232544,0.9055309891700744,0.00730688963085413,0.875,0.9281953573226928,0.8975000381469727,0.875,0.8804218173027039,0.699999988079071,0.48,0.7333333492279053,0.007654836401343346,0.008143442682921886,0.9210719466209412
no_init_kenn_horizontal_adapter_bert_ms,1,nrjxlrks,0.9333333969116212,0.1092436984181404,0.1863117814064026,0.7666666507720947,0.8730294108390808,0.907075047492981,0.1940298527479172,0.009046625345945358,0.3034055829048157,0.009046625345945358,0.1940298527479172,0.8666667342185974,0.8856710195541382,0.8166667222976685,0.8666667342185974,0.9147413969039916,0.375,0.8883885145187378,0.8666666746139526,0.9200000166893004,0.8986842036247253,0.8748112916946411,0.8363636136054993,0.8711112141609192,0.8616428375244141,0.8986842036247253,0.6313800811767578,0.8730294108390808,35,0.8616428375244141,0.8883885145187378,0.00974251888692379,0.8995361328125,0.8666666746139526,0.8666667342185974,0.9147413969039916,0.8166666626930237,0.1940298527479172,0.8856710195541382,0.009046625345945358,0.1092436984181404,0.8995361328125,0.5146218538284302,0.1092436984181404,0.8748112916946411,0.8666666746139526,0.03,0.8166666626930237,0.008524704724550247,0.009093018248677254,0.907075047492981
no_init_kenn_horizontal_adapter_bert_ms,0,r4t5iagj,0.9000000357627869,0.7666666507720947,0.8363636136054993,0.7666666507720947,0.912839949131012,0.921397626399994,0.7666666507720947,0.008002784103155136,0.800000011920929,0.008002784103155136,0.7666666507720947,0.7666667699813843,0.9053725004196168,0.7666667103767395,0.7666667103767395,0.9144397974014282,0.375,0.9015369415283204,0.7666666507720947,0.9200000166893004,0.8980262875556946,0.8800916075706482,0.8363636136054993,0.828000009059906,0.8596428632736206,0.8980262875556946,0.8031745553016663,0.912839949131012,114,0.8596428632736206,0.9015369415283204,0.009394572116434574,0.9284621477127076,0.7666666507720947,0.7666667699813843,0.9144397974014282,0.7666666507720947,0.7666666507720947,0.9053725004196168,0.008002784103155136,0.7666666507720947,0.9284621477127076,0.84333336353302,0.7666666507720947,0.8800916075706482,0.7666666507720947,0.19,0.7666666507720947,0.008002784103155136,0.008643006905913353,0.921397626399994
smart_init_kenn_hybrid_adapter_bert_ms,2,mkk6cewu,0.7666667103767395,1.0,0.957446813583374,0.7666666507720947,0.914247453212738,0.9211918711662292,0.8461538553237915,0.007654836401343346,0.84112149477005,0.007654836401343346,0.8461538553237915,0.7333333492279053,0.9059526920318604,0.75,0.7333333492279053,0.9140570163726808,0.375,0.9062036275863647,0.7333333492279053,0.9200000166893004,0.8978070020675659,0.8819580674171448,0.8363636136054993,0.7582418322563171,0.8589761853218079,0.8978070020675659,0.8421052694320679,0.914247453212738,5,0.8589761853218079,0.9062036275863647,0.008002784103155136,0.9284389019012452,0.7333333492279053,0.7333333492279053,0.9140570163726808,0.75,0.8461538553237915,0.9059526920318604,0.007654836401343346,1.0,0.9284389019012452,0.9600000381469728,1.0,0.8819580674171448,0.7333333492279053,0.96,0.75,0.007828810252249241,0.00791484210640192,0.9211918711662292
smart_init_kenn_top_down_adapter_bert_ms,2,h2b7airu,0.7666667103767395,1.0,0.957446813583374,0.7666666507720947,0.914247453212738,0.9211918711662292,0.8461538553237915,0.007654836401343346,0.84112149477005,0.007654836401343346,0.8461538553237915,0.7333333492279053,0.9059526920318604,0.75,0.7333333492279053,0.9140570163726808,0.375,0.9062036275863647,0.7333333492279053,0.9200000166893004,0.8978070020675659,0.8819580674171448,0.8363636136054993,0.7582418322563171,0.8589761853218079,0.8978070020675659,0.8421052694320679,0.914247453212738,5,0.8589761853218079,0.9062036275863647,0.008002784103155136,0.9284389019012452,0.7333333492279053,0.7333333492279053,0.9140570163726808,0.75,0.8461538553237915,0.9059526920318604,0.007654836401343346,1.0,0.9284389019012452,0.9600000381469728,1.0,0.8819580674171448,0.7333333492279053,0.97,0.75,0.007828810252249241,0.00791484210640192,0.9211918711662292
