name,instance,run_id,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_medicine-drug/macro_types/recall,test_incremental_medicine-medical_treatment/macro_types/recall,test/micro/precision,test/macro_example/precision,test_pretraining/micro/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/precision,threshold_pretraining,test_incremental_medicine-symptom/macro_types/f1,test_incremental_medicine-drug/macro_types/precision,test_incremental_medicine-symptom/macro_types/precision,test_incremental_medicine-medical_treatment/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test_incremental_only/micro/f1,test/micro/recall,test/macro_types/precision,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental_medicine/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/macro_example/f1,test_pretraining/macro_types/recall,epoch,test_incremental_medicine-symptom/macro_types/recall,test_incremental_medicine-medical_treatment/macro_types/precision,test/macro_types/f1,test_pretraining/micro/precision,test_incremental_medicine/macro_types/precision,threshold_incremental,test_incremental/micro/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test_incremental/macro_example/recall,test_incremental/micro/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/recall,test/macro_types/recall,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_incremental_medicine/macro_types/f1,test_incremental_medicine-drug/macro_types/f1
kenn_horizontal_adapter_bert_ms,2,ecjlsn7m,0.7995781302452087,0.46086710691452026,0.918055534362793,0.9142310619354248,0.8696215152740479,0.6118732690811157,0.45605117082595825,0.9666666388511658,0.8541666865348816,0.8461850881576538,0.8830955624580383,0.8990944623947144,0.8983936309814453,0.8004351854324341,0.8443862795829773,0.3033783435821533,0.375,0.6588234901428223,0.10394265502691268,0.5090909004211426,0.44086018204689026,0.2076271176338196,0.7215189933776855,0.8718377351760864,0.3379310071468353,0.8990944623947144,0.8696215152740479,0.30712980031967163,0.02321033924818039,0.02200222015380859,0.02197865955531597,0.8860759735107422,0.8830955624580383,0.02470424398779869,0.01983298733830452,0.8983936309814453,0.8648008704185486,18,0.9333333373069764,0.2971014380455017,0.867204487323761,0.8461850881576538,0.9333333373069764,0.060000000000000005,0.4577656388282776,0.9100606441497804,0.8987342119216919,0.9142310619354248,0.024588264524936676,0.8983957171440125,0.894514799118042,0.9074074029922484,0.8648008704185486,0.8718377351760864,0.867204487323761,0.9090908765792848,0.1877022683620453
kenn_horizontal_adapter_bert_ms,1,ae3ba8vz,0.8544303774833679,0.4273618459701538,0.8472222685813904,0.9128972291946412,0.86704421043396,0.5703065395355225,0.396373987197876,0.8999999761581421,0.7083333134651184,0.8577612638473511,0.8881814479827881,0.8971539735794067,0.9003697633743286,0.7780179381370544,0.8480539917945862,0.25870466232299805,0.375,0.3916083872318268,0.36486485600471497,0.24778760969638824,0.265625,0.2253164499998093,0.7594937086105347,0.8770155310630798,0.3538767397403717,0.8971539735794067,0.86704421043396,0.33829787373542786,0.023311158642172813,0.02138601616024971,0.023486431688070297,0.8860759735107422,0.8881814479827881,0.021920667961239815,0.020876828581094745,0.9003697633743286,0.860714316368103,21,0.9333333373069764,0.16346153616905212,0.8638677000999451,0.8577612638473511,0.9333333373069764,0.05,0.4840182662010193,0.8569356799125671,0.797468364238739,0.9128972291946412,0.02313848212361336,0.8502673506736755,0.8417721390724182,0.8240740895271301,0.860714316368103,0.8770155310630798,0.8638677000999451,0.9090908765792848,0.5192307233810425
kenn_horizontal_adapter_bert_ms,0,27ke2vj2,0.852320671081543,0.4067886471748352,0.8541666865348816,0.9133611917495728,0.8654616475105286,0.5527644157409668,0.36399298906326294,0.8999999761581421,0.7291666865348816,0.8445616960525513,0.8792507648468018,0.8973695635795593,0.8959814310073853,0.821567714214325,0.8575624823570251,0.23127377033233645,0.375,0.5090909004211426,0.11203319579362868,0.3499999940395355,0.35175877809524536,0.1906779706478119,0.7911392450332642,0.870165228843689,0.3103448450565338,0.8973695635795593,0.8654616475105286,0.29250457882881165,0.0235725250095129,0.02258310653269291,0.02342844009399414,0.8860759735107422,0.8792507648468018,0.023486429825425148,0.021746695041656498,0.8959814310073853,0.8611149787902832,18,0.9333333373069764,0.23178808391094208,0.8632828593254089,0.8445616960525513,0.9333333373069764,0.04,0.4359672963619232,0.8621439933776855,0.8544303774833679,0.9133611917495728,0.023718394339084625,0.855614960193634,0.8628692030906677,0.8333333134651184,0.8611149787902832,0.870165228843689,0.8632828593254089,0.9090908765792848,0.19926199316978457
kenn_hybrid_adapter_bert_ms,2,o3x2h3ly,0.8291139602661133,0.4165283441543579,0.9208333492279052,0.9144920110702516,0.8662108778953552,0.571899950504303,0.386102557182312,0.9333333373069764,0.8958333134651184,0.8014988303184509,0.8453201055526733,0.8993100523948669,0.8785466551780701,0.8336642980575562,0.8644598722457886,0.2442600280046463,0.375,0.5773196220397949,0.05426356568932533,0.41791045665740967,0.40375587344169617,0.13235294818878174,0.7637131214141846,0.8475919365882874,0.2313084453344345,0.8993100523948669,0.8662108778953552,0.20534630119800568,0.023762118071317673,0.022915611043572422,0.022790536284446716,0.8860759735107422,0.8453201055526733,0.02522616647183895,0.020992808043956757,0.8785466551780701,0.8649611473083496,16,0.9333333373069764,0.260606050491333,0.8655855059623718,0.8014988303184509,0.9333333373069764,0.060000000000000005,0.33465346693992615,0.9121440052986144,0.9177215695381165,0.9144920110702516,0.024820227175951004,0.903743326663971,0.9029536247253418,0.9166666865348816,0.8649611473083496,0.8475919365882874,0.8655855059623718,0.9090908765792848,0.10256410390138626
kenn_top_down_adapter_bert_ms,2,njftim6d,0.8291140198707581,0.27499711513519287,0.9152778387069702,0.9141730666160583,0.855323851108551,0.4221412241458893,0.10474596917629242,1.0,0.8125,0.6270115971565247,0.7139734029769897,0.898878812789917,0.8017647862434387,0.8193693161010742,0.8586161732673645,0.05555170029401779,0.375,0.15342465043067932,0.025380710139870644,0.0835820883512497,0.1077348068356514,0.04423164576292038,0.7573839426040649,0.738726019859314,0.08431117236614227,0.898878812789917,0.855323851108551,0.07363315671682358,0.023601489141583443,0.022522682324051857,0.022790536284446716,0.8860759735107422,0.7139734029769897,0.02453027293086052,0.020818836987018585,0.8017647862434387,0.8646405935287476,17,0.9333333373069764,0.05769230797886848,0.8599569797515869,0.6270115971565247,0.9333333373069764,0.13,0.13604888319969177,0.9079773426055908,0.8924050331115723,0.9141730666160583,0.024472281336784363,0.893048107624054,0.8902953863143921,0.8981481194496155,0.8646405935287476,0.738726019859314,0.8599569797515869,0.9090908765792848,0.049504946917295456
kenn_bottom_up_adapter_bert_ms,2,3pinsbub,0.8291139602661133,0.42505526542663574,0.9208333492279052,0.9144920110702516,0.8668668270111084,0.5798860788345337,0.4001689851284027,0.9333333373069764,0.8958333134651184,0.8092743754386902,0.851142406463623,0.8993100523948669,0.8816807270050049,0.8324057459831238,0.8644598722457886,0.25562921166419983,0.375,0.5957446694374084,0.0589473694562912,0.4375,0.41545891761779785,0.1418338119983673,0.7616034150123596,0.851919949054718,0.2456575632095337,0.8993100523948669,0.8668668270111084,0.21862871944904327,0.023762118071317673,0.022881019860506054,0.022790536284446716,0.8860759735107422,0.851142406463623,0.02522616647183895,0.02093481831252575,0.8816807270050049,0.8649611473083496,17,0.9333333373069764,0.2704402506351471,0.865912914276123,0.8092743754386902,0.9333333373069764,0.060000000000000005,0.35208332538604736,0.9121439456939696,0.9177215695381165,0.9144920110702516,0.024820227175951004,0.903743326663971,0.9029536247253418,0.9166666865348816,0.8649611473083496,0.851919949054718,0.865912914276123,0.9090908765792848,0.11089108884334564
kenn_hybrid_adapter_bert_ms,1,3okc2ijn,0.8565400838851929,0.5307286977767944,0.75,0.9113198518753052,0.8749955296516418,0.6329752206802368,0.518775999546051,0.8999999761581421,0.4166666567325592,0.8891509175300598,0.91049063205719,0.8941354155540466,0.9109050631523132,0.7299030423164368,0.8168037533760071,0.39652717113494873,0.375,0.5045045018196106,0.6000000238418579,0.34567901492118835,0.3076923191547394,0.36057692766189575,0.7594937086105347,0.8916361927986145,0.474683552980423,0.8941354155540466,0.8749955296516418,0.5123674869537354,0.022452155128121376,0.02006344497203827,0.023544423282146457,0.8860759735107422,0.91049063205719,0.01931106485426426,0.020876826718449593,0.9109050631523132,0.8551054000854492,33,0.9333333373069764,0.2439024448394775,0.8649361729621887,0.8891509175300598,0.9333333373069764,0.11,0.6170212626457214,0.7840189933776855,0.7025316953659058,0.9113198518753052,0.02145673893392086,0.7754010558128357,0.7805907726287842,0.6944444179534912,0.8551054000854492,0.8916361927986145,0.8649361729621887,0.9090908765792848,0.7200000286102295
kenn_top_down_adapter_bert_ms,1,2wv1lugh,0.8544303774833679,0.32030749320983887,0.7916667461395264,0.911940336227417,0.858809232711792,0.4599193036556244,0.20229794085025787,0.8999999761581421,0.5416666865348816,0.7800526022911072,0.8279459476470947,0.8954290747642517,0.867915689945221,0.7498798370361328,0.8294597864151001,0.11596555262804031,0.375,0.22310757637023929,0.1677018702030182,0.126696839928627,0.09737827628850936,0.09331797063350676,0.7594937086105347,0.833768367767334,0.16598358750343323,0.8954290747642517,0.858809232711792,0.16012725234031677,0.02280004136264324,0.0206125620752573,0.023486431688070297,0.8860759735107422,0.8279459476470947,0.02035490609705448,0.020876828581094745,0.867915689945221,0.857509195804596,33,0.9333333373069764,0.05349794402718544,0.8581587672233582,0.7800526022911072,0.9333333373069764,0.1,0.26725664734840393,0.8152689933776855,0.7405064105987549,0.911940336227417,0.02215263433754444,0.8074866533279419,0.8059072494506836,0.75,0.857509195804596,0.833768367767334,0.8581587672233582,0.9090908765792848,0.282722532749176
kenn_bottom_up_adapter_bert_ms,1,2p1zah9f,0.852320671081543,0.5178487300872803,0.8333333730697632,0.9126362800598145,0.8740047216415405,0.6425962448120117,0.5213680863380432,0.8999999761581421,0.6666666865348816,0.8789095282554626,0.902679204940796,0.8967227339744568,0.907630443572998,0.7656136155128479,0.8416399359703064,0.3793538510799408,0.375,0.46666666865348816,0.6000000238418579,0.31111112236976624,0.33862432837486267,0.31521740555763245,0.7531645894050598,0.8877267837524414,0.4531250298023224,0.8967227339744568,0.8740047216415405,0.4472934603691101,0.023134849965572357,0.021045049652457237,0.02342844009399414,0.8860759735107422,0.902679204940796,0.021398747339844704,0.020702853798866272,0.907630443572998,0.8599130511283875,26,0.9333333373069764,0.22695034742355347,0.866901695728302,0.8789095282554626,0.9333333373069764,0.1,0.5836431384086609,0.8465189933776855,0.7784810066223145,0.9126362800598145,0.022848527878522873,0.8395721912384033,0.8312236070632935,0.8055555820465088,0.8599130511283875,0.8877267837524414,0.866901695728302,0.9090908765792848,0.7200000286102295
kenn_hybrid_adapter_bert_ms,0,oorn6vo0,0.8797467947006226,0.4287351071834564,0.8111110925674438,0.9128856658935548,0.867149829864502,0.5653747916221619,0.3943900465965271,0.8333333134651184,0.6666666865348816,0.8553497791290283,0.886435866355896,0.8962914943695068,0.899466335773468,0.8259372711181641,0.8603406548500061,0.26053571701049805,0.375,0.5090909004211426,0.1116071417927742,0.3499999940395355,0.4324324429035187,0.21039603650569916,0.8291139006614685,0.8753421902656555,0.33203125,0.8962914943695068,0.867149829864502,0.32359081506729126,0.02364889159798622,0.02270321547985077,0.02418232522904873,0.8860759735107422,0.886435866355896,0.022616561502218246,0.022790538147091866,0.899466335773468,0.8586310148239136,18,0.9333333373069764,0.3199999928474426,0.862869381904602,0.8553497791290283,0.9333333373069764,0.060000000000000005,0.4654654860496521,0.8298523426055908,0.8227847814559937,0.9128856658935548,0.023138483986258507,0.8288770318031311,0.841772198677063,0.7870370149612427,0.8586310148239136,0.8753421902656555,0.862869381904602,0.9090908765792848,0.19685038924217224
kenn_top_down_adapter_bert_ms,0,2xzablw2,0.8734177350997925,0.2603878080844879,0.8402777910232544,0.9131582379341124,0.8542000651359558,0.3988425135612488,0.06917557120323181,0.8999999761581421,0.6875,0.589318573474884,0.6861107349395752,0.8969383239746094,0.783517599105835,0.8225901126861572,0.8627402186393738,0.03607261925935745,0.375,0.07161124795675278,0.023295944556593895,0.03723404183983803,0.08918918669223785,0.03380714729428291,0.8101266622543335,0.7112934589385986,0.06492069363594055,0.8969383239746094,0.8542000651359558,0.05899925157427788,0.023714851588010788,0.022611210122704502,0.02400835044682026,0.8860759735107422,0.6861107349395752,0.022964509204030037,0.022268615663051605,0.783517599105835,0.8603137135505676,28,0.9333333373069764,0.04768786206841469,0.8572459816932678,0.589318573474884,0.9333333373069764,0.05,0.11029668152332306,0.851727306842804,0.8354430198669434,0.9131582379341124,0.02342844009399414,0.8449198007583618,0.852320671081543,0.8148148059844971,0.8603137135505676,0.7112934589385986,0.8572459816932678,0.9090908765792848,0.04541631415486336
kenn_bottom_up_adapter_bert_ms,0,2wvg6ben,0.8860759735107422,0.414713442325592,0.8180555701255798,0.9129725694656372,0.8660712242126465,0.5541975498199463,0.3733172714710235,0.8333333134651184,0.6875,0.8483982682228088,0.8805555105209351,0.8965071439743042,0.8964710831642151,0.8259372711181641,0.8644643425941467,0.2418401688337326,0.375,0.4955752193927765,0.10121457278728484,0.33734938502311707,0.4049079716205597,0.19325841963291168,0.8291139602661133,0.8717894554138184,0.3110307455062866,0.8965071439743042,0.8660712242126465,0.30000001192092896,0.02376224286854267,0.02270321547985077,0.02435629814863205,0.8860759735107422,0.8805555105209351,0.022616563364863396,0.022790536284446716,0.8964710831642151,0.8590316772460938,21,0.9333333373069764,0.2869565188884735,0.8625370860099792,0.8483982682228088,0.9333333373069764,0.05,0.44130125641822815,0.8350606560707092,0.8227847814559937,0.9129725694656372,0.023196475580334663,0.8342245817184448,0.8438818454742432,0.7962962985038757,0.8590316772460938,0.8717894554138184,0.8625370860099792,0.9090908765792848,0.1805054098367691
box_adapter_bert_ms,2,2nxnpckb,0.8734177350997925,0.5644968748092651,0.6055555939674377,0.9015541672706604,0.8647906184196472,0.6164149045944214,0.5158177018165588,0.46666666865348816,0.4166666567325592,0.5685613751411438,0.5638483166694641,0.8734368085861206,0.6937886476516724,0.6849251985549927,0.7940161228179932,0.44924378395080566,0.25,0.6588234901428223,0.005307050887495279,0.5090909004211426,0.555555522441864,0.022819286212325096,0.7848100662231445,0.6887698173522949,0.043893806636333466,0.8734368085861206,0.8647906184196472,0.04758497327566147,0.021825771778821945,0.018827101215720177,0.02400835044682026,0.8987341523170471,0.5638483166694641,0.016701461747288704,0.021572720259428024,0.6937886476516724,0.8040648698806763,15,0.9333333373069764,0.8333333134651184,0.8333228826522827,0.5685613751411438,0.9102563858032228,0.99,0.08920188248157501,0.6788501739501953,0.6075949668884277,0.9015541672706604,0.02000695839524269,0.7112299203872681,0.7278481721878052,0.5740740895271301,0.8040648698806763,0.6887698173522949,0.8333228826522827,0.9044586420059204,0.010494752787053583
