name,instance,run_id,threshold_pretraining,test/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/macro_example/recall,test_incremental_medicine-symptom/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/micro/precision,test_incremental_only/micro/recall,epoch,test_incremental_medicine-medical_treatment/macro_types/f1,test_incremental/micro/recall,test_incremental_only/micro/f1,test_pretraining/micro/precision,test_incremental_medicine/macro_types/f1,test_incremental_medicine-medical_treatment/macro_types/precision,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/recall,test/micro/recall,test/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_medicine-symptom/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_medicine-medical_treatment/macro_types/recall,threshold_incremental,test/macro_example/recall,test_pretraining/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/micro/f1,test/macro_types/precision,test/macro_example/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_medicine/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/micro/f1,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example/precision,test_incremental_medicine-symptom/macro_types/f1,test_incremental/micro/precision,test_incremental_medicine/macro_types/precision,test_incremental_medicine-drug/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_medicine-drug/macro_types/f1,test/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/micro/precision,test_incremental_medicine-drug/macro_types/precision,test_incremental_only/macro_example_exclusive/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,lmdqn105,0.25,0.7982956171035767,0.8844848275184631,0.013569938018918036,0.699999988079071,0.6329114437103271,0.8985539674758911,0.46296295523643494,28,0.31578946113586426,0.6470588445663452,0.5128204822540283,0.8985539674758911,0.9044586420059204,0.4285714328289032,0.6375554800033569,0.6645569801330566,0.8708494901657104,0.9098870158195496,0.5474473834037781,0.02470424585044384,0.8987341523170471,0.5526315569877625,0.5055555701255798,0.764106035232544,0.25,0.04,0.9002203941345215,0.8341195583343506,0.919763445854187,0.6875,0.8733097910881042,0.919763445854187,0.9098870158195496,0.5969089269638062,0.8987341523170471,0.5546863675117493,0.8844848275184631,0.8708494901657104,0.7982956171035767,0.6038501858711243,0.9002203941345215,0.018267223611474037,0.017397355288267136,0.6176470518112183,0.7333333492279053,0.9102563858032228,0.5666666626930237,0.6752458214759827,0.015247120521962644,0.8733097910881042,0.6666666865348816,0.8341195583343506,0.021003609523177147,0.5747126340866089,0.8095238208770752,0.49367088079452515
no_init_box_kenn_bottom_up_adapter_bert_ms,0,1ifqvihs,0.25,0.7989366054534912,0.8851884603500366,0.013917884789407252,0.7333333492279053,0.6455696225166321,0.8997772932052612,0.4722222089767456,28,0.3287671208381653,0.6524063944816589,0.5368421077728271,0.8997772932052612,0.9044586420059204,0.47999998927116394,0.6637072563171387,0.6708860397338867,0.8710651397705078,0.910344660282135,0.5806993842124939,0.02487821877002716,0.9050633311271667,0.5641025900840759,0.5166667103767395,0.7705759406089783,0.25,0.01,0.9003943204879761,0.8362020254135132,0.9205173254013062,0.7031700015068054,0.8771139979362488,0.9205173254013062,0.910344660282135,0.6628490090370178,0.8987341523170471,0.5675337314605713,0.8851884603500366,0.8710651397705078,0.7989366054534912,0.6121835112571716,0.9003943204879761,0.01844119653105736,0.017745301127433777,0.6376811861991882,0.762499988079071,0.9102563858032228,0.5666666626930237,0.7247008681297302,0.015600265003740788,0.8771139979362488,0.7083333134651184,0.8362020254135132,0.02118145488202572,0.6219512224197388,0.9444444179534912,0.5063291192054749
smart_init_box_adapter_bert_ms,2,tug2opgq,0.25,0.8218532800674438,0.8799655437469482,0.0252261646091938,0.9333333373069764,0.746835470199585,0.8787357807159424,0.9074074029922484,56,0.6614173650741577,0.903743326663971,0.5584045648574829,0.8787357807159424,0.9044586420059204,0.5316455960273743,0.6915127635002136,0.9071729779243468,0.8811987638473511,0.9082356691360474,0.5940415859222412,0.02221062406897545,0.8080168962478638,0.5384615659713745,0.913888931274414,0.8547287583351135,0.875,0.26,0.906118094921112,0.8425230979919434,0.9103630781173706,0.6653543710708618,0.8642594218254089,0.9103630781173706,0.9082356691360474,0.44003573060035706,0.8987341523170471,0.8235068321228027,0.8799655437469482,0.8811987638473511,0.8218532800674438,0.9101002216339112,0.906118094921112,0.024936210364103317,0.0205288790166378,0.6829268932342529,0.5264797210693359,0.9102563858032228,0.9333333373069764,0.557590901851654,0.022636406123638153,0.8642594218254089,0.39436617493629456,0.8425230979919434,0.02349463291466236,0.403292179107666,0.25,0.9177215695381165
smart_init_box_adapter_bert_ms,1,urq0n8lb,0.25,0.8216129541397095,0.885302722454071,0.02505219355225563,0.9333333373069764,0.8016877174377441,0.8894450664520264,0.9074074029922484,57,0.7678571343421936,0.903743326663971,0.6644067764282227,0.8894450664520264,0.9044586420059204,0.671875,0.7359166145324707,0.905063271522522,0.8811987638473511,0.9104724526405334,0.6634479761123657,0.023312456905841827,0.8481012582778931,0.4444444477558136,0.9097222685813904,0.8756568431854248,0.8958333134651184,0.35000000000000003,0.9061180353164672,0.8446396589279175,0.914868950843811,0.747787594795227,0.8689942359924316,0.914868950843811,0.9104724526405334,0.5221065282821655,0.8987341523170471,0.85302734375,0.885302722454071,0.8811987638473511,0.8216129541397095,0.9069752097129822,0.9061180353164672,0.02487821877002716,0.022036651149392128,0.602150559425354,0.6377358436584473,0.9102563858032228,0.8999999761581421,0.6191439628601074,0.02344786375761032,0.8689942359924316,0.6000000238418579,0.8446396589279175,0.024069901555776596,0.5240641832351685,0.44999998807907104,0.9113923907279968
smart_init_box_adapter_bert_ms,0,rpbq4dhz,0.25,0.8141610026359558,0.884276807308197,0.021572720259428024,0.9333333373069764,0.7827004194259644,0.8913472294807434,0.7407407164573669,68,0.5252525806427002,0.8074866533279419,0.6037735939025879,0.8913472294807434,0.9044586420059204,0.5098039507865906,0.6962464451789856,0.8248945474624634,0.8773177862167358,0.9098654985427856,0.6172959208488464,0.023370448499917984,0.850210964679718,0.5490196347236633,0.7805556058883667,0.8373614549636841,0.5416666865348816,0.32,0.9039144515991212,0.8403714299201965,0.915895402431488,0.7156398296356201,0.8683256506919861,0.915895402431488,0.9098654985427856,0.5105170011520386,0.8987341523170471,0.7837538123130798,0.884276807308197,0.8773177862167358,0.8141610026359558,0.8101001977920532,0.9039144515991212,0.022674553096294403,0.021514730527997017,0.6913580298423767,0.6425532102584839,0.9102563858032228,0.8666666746139526,0.6104518175125122,0.021543685346841812,0.8683256506919861,0.611764669418335,0.8403714299201965,0.023017240688204765,0.5095541477203369,0.4727272689342499,0.7848101258277893
no_init_kenn_horizontal_adapter_bert_ms,2,1afa5mog,0.375,0.865361750125885,0.8579948544502258,0.025574112311005592,0.9333333373069764,0.7383966445922852,0.8201297521591187,0.92592591047287,14,0.3120567500591278,0.9090909361839294,0.2706359922885895,0.8201297521591187,0.9090908765792848,0.18803419172763824,0.5294573307037354,0.909282684326172,0.8995256423950195,0.8870229125022888,0.308541476726532,0.02215263433754444,0.8059072494506836,0.27184465527534485,0.9277778267860411,0.8544797301292419,0.9166666865348816,0.03,0.9146080017089844,0.8640760779380798,0.8610531091690063,0.38073909282684326,0.8627942800521851,0.8610531091690063,0.8870229125022888,0.1850389838218689,0.8860759735107422,0.8233449459075928,0.8579948544502258,0.8995256423950195,0.865361750125885,0.9173523187637328,0.9146080017089844,0.02499420195817947,0.020296914502978325,0.42105263471603394,0.24079319834709167,0.9333333373069764,0.9333333373069764,0.37211257219314575,0.02263195626437664,0.8627942800521851,0.17283950746059418,0.8640760779380798,0.023487785831093788,0.15847860276699066,0.095238097012043,0.9303797483444214
no_init_kenn_horizontal_adapter_bert_ms,1,1hn5j3ra,0.375,0.8649611473083496,0.881725013256073,0.02505219168961048,0.9333333373069764,0.7953586578369141,0.8648144602775574,0.9166666865348816,16,0.3788546323776245,0.903743326663971,0.4168421328067779,0.8648144602775574,0.9090908765792848,0.2402234673500061,0.595890462398529,0.900843858718872,0.8993100523948669,0.9048774242401124,0.428080290555954,0.023660404607653614,0.8607594966888428,0.2886597812175751,0.9208333492279052,0.8803455829620361,0.8958333134651184,0.04,0.9144050478935242,0.8665810227394104,0.8955463171005249,0.5373609066009521,0.8682069778442383,0.8955463171005249,0.9048774242401124,0.2788585424423218,0.8860759735107422,0.8494312167167664,0.881725013256073,0.8993100523948669,0.8649611473083496,0.9121439456939696,0.9144050478935242,0.024762237444519997,0.021862678229808807,0.4409448802471161,0.38235294818878174,0.9333333373069764,0.9333333373069764,0.4424772262573242,0.023349016904830933,0.8682069778442383,0.4628099203109741,0.8665810227394104,0.024198785424232483,0.2697547674179077,0.3076923191547394,0.9113924503326416
no_init_kenn_horizontal_adapter_bert_ms,0,3n4lzpxj,0.375,0.860714316368103,0.8871122598648071,0.023486431688070297,0.9333333373069764,0.8227847814559937,0.8772928714752197,0.8240740895271301,17,0.37988826632499695,0.8502673506736755,0.4506328999996186,0.8772928714752197,0.9090908765792848,0.25954198837280273,0.6168988347053528,0.8607594966888428,0.8971539735794067,0.9096145629882812,0.4764742851257324,0.02400835044682026,0.8734177350997925,0.4444444477558136,0.8472222685813904,0.8670424222946167,0.7083333134651184,0.06999999999999999,0.9133031964302064,0.8659452795982361,0.9059556722640992,0.5792350172996521,0.8712402582168579,0.9059556722640992,0.9096145629882812,0.3314363360404968,0.8860759735107422,0.8383090496063232,0.8871122598648071,0.8971539735794067,0.860714316368103,0.8569356203079224,0.9133031964302064,0.023660404607653614,0.022616563364863396,0.602150559425354,0.439226508140564,0.9333333373069764,0.8999999761581421,0.4819105863571167,0.02304329350590706,0.8712402582168579,0.4390243887901306,0.8659452795982361,0.023833107203245163,0.31010451912879944,0.29032257199287415,0.8544303178787231
smart_init_kenn_hybrid_adapter_bert_ms,2,ohdvvjjy,0.375,0.8556662797927856,0.9005530476570129,0.021224774420261383,0.8333333134651184,0.689873456954956,0.90595680475235,0.7407407164573669,16,0.6526315212249756,0.8021390438079834,0.6808510422706604,0.90595680475235,0.9090908765792848,0.6595744490623474,0.745568037033081,0.8143460154533386,0.8952134251594543,0.9180389046669006,0.6880022287368774,0.021224774420261383,0.7721519470214844,0.6410256624221802,0.7597222328186035,0.7926878333091736,0.6458333134651184,0.23,0.9122477769851683,0.871720016002655,0.9239039421081544,0.7712082862854004,0.8883875608444214,0.9239039421081544,0.9180389046669006,0.6286553144454956,0.8860759735107422,0.7286974787712097,0.9005530476570129,0.8952134251594543,0.8556662797927856,0.7913106679916382,0.9122477769851683,0.02238459885120392,0.01896311715245247,0.7246376276016235,0.7425742745399475,0.9333333373069764,0.800000011920929,0.7048248052597046,0.020030304789543152,0.8883875608444214,0.6760563254356384,0.871720016002655,0.02178926393389702,0.6299212574958801,0.5853658318519592,0.7721519470214844
smart_init_kenn_top_down_adapter_bert_ms,2,y035c65h,0.375,0.8550252318382263,0.9016072750091552,0.020876826718449593,0.800000011920929,0.7637131214141846,0.908315122127533,0.7314814925193787,16,0.6813186407089233,0.7967914342880249,0.7117117047309875,0.908315122127533,0.9090908765792848,0.7209302186965942,0.7678410410881042,0.8080168962478638,0.8949978351593018,0.9183370471000672,0.7198734879493713,0.02273254469037056,0.8270042538642883,0.7272727489471436,0.7486111521720886,0.8174002766609192,0.6458333134651184,0.4,0.9120737910270692,0.8731763362884521,0.9246869087219238,0.792553186416626,0.8921147584915161,0.9246869087219238,0.9183370471000672,0.693260669708252,0.8860759735107422,0.7615975737571716,0.9016072750091552,0.8949978351593018,0.8550252318382263,0.7829773426055908,0.9120737910270692,0.02221062406897545,0.020992809906601902,0.7619048357009888,0.7883597612380981,0.9333333373069764,0.800000011920929,0.7532788515090942,0.020934658125042915,0.8921147584915161,0.7058823704719543,0.8731763362884521,0.022468553856015205,0.6929824352264404,0.6315789222717285,0.7594937086105347
