name,instance,run_id,test/macro_example/f1,test_pretraining/micro/f1,test_incremental_medicine-drug/macro_types/f1,test_incremental_only/micro/precision,test/macro_types/recall,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_medicine-symptom/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_types/f1,test_incremental_medicine/macro_types/f1,test_incremental_medicine-drug/macro_types/recall,test_incremental_only/micro/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test_incremental_medicine-medical_treatment/macro_types/precision,test/micro/precision,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,epoch,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_medicine-drug/macro_types/precision,test_incremental_medicine-symptom/macro_types/recall,test_incremental_medicine-medical_treatment/macro_types/f1,threshold_incremental,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test/macro_example/precision,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_example/recall,test/macro_example/recall,test_incremental_medicine/macro_types/recall,test/micro/recall,test_incremental/micro/f1,test_incremental_only/macro_example/recall,test_incremental_medicine/macro_types/precision,test/macro_types/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test/micro/f1,test_incremental_medicine-medical_treatment/macro_types/recall,test_incremental/macro_types/recall,test_incremental_medicine-symptom/macro_types/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,3s5sp9ik,0.9090983867645264,0.8830229640007019,0.4583333432674408,0.5,0.7946097254753113,0.6042780876159668,0.8668031692504883,0.9192415475845336,0.6666667461395264,0.4795234501361847,0.829137921333313,0.9044586420059204,0.36666667461395264,0.4375,0.6975308656692505,0.5316455364227295,0.25,0.2857142984867096,0.8973730802536011,0.5727705955505371,0.3888888955116272,0.01728137396275997,0.43670886754989624,0.829137921333313,0.8973730802536011,0.4841269850730896,0.8860759139060974,0.01461377926170826,46,0.02435629814863205,0.6286920309066772,0.6111111044883728,0.8333333134651184,0.17391304671764374,0.01,0.44166669249534607,0.46192318201065063,0.5906593799591064,0.9192415475845336,0.8691246509552002,0.7946097254753113,0.013181055895984173,0.735517144203186,0.8991765379905701,0.8991765379905701,0.8987341523170471,0.8691246509552002,0.6475644707679749,0.012004176154732704,0.9102563858032228,0.8668031692504883,0.020217763260006905,0.9090983867645264,0.8830229640007019,0.125,0.5559335350990295,0.5555555820465088
no_init_box_kenn_bottom_up_adapter_bert_ms,0,kj0mrlgy,0.9098095297813416,0.8838028311729431,0.4390243887901306,0.6428571343421936,0.7864366769790649,0.5240641832351685,0.8665433526039124,0.9226629734039308,0.6101694703102112,0.30689743161201477,0.8245489001274109,0.9044586420059204,0.30000001192092896,0.35999998450279236,0.8166666626930237,0.3417721688747406,0.25,0.0,0.9024718999862672,0.509353518486023,0.25,0.014961726032197475,0.27848100662231445,0.8245489001274109,0.9024718999862672,0.4796238243579865,0.8734176754951477,0.009394572116434574,46,0.02400835230946541,0.544303834438324,0.8181818127632141,0.6000000238418579,0.0,0.04,0.30000001192092896,0.36911940574646,0.5872819423675537,0.9226629734039308,0.8658904433250427,0.7864366769790649,0.008435942232608795,0.6706600785255432,0.8973093032836914,0.8973093032836914,0.8987341523170471,0.8658904433250427,0.638436496257782,0.007654836401343346,0.9102563858032228,0.8665433526039124,0.018434984609484673,0.9098095297813416,0.8838028311729431,0.0,0.4496835470199585,0.6206896305084229
smart_init_box_adapter_bert_ms,2,g61l6g8k,0.9077844619750975,0.8722429871559143,0.4055943787097931,0.30678465962409973,0.8247379064559937,0.9358288645744324,0.8565718531608582,0.908669650554657,0.4055943787097931,0.6027146577835083,0.8403535485267639,0.9044586420059204,0.9666666388511658,0.46532443165779114,0.4196642637252808,0.4388186037540436,0.25,0.40707963705062866,0.8622287511825562,0.6172152161598206,0.9629629850387572,0.025690095499157906,0.9620253443717957,0.8403535485267639,0.8622287511825562,0.30678465962409973,0.5611814260482788,0.012062166817486286,7,0.015425655990839005,0.9345991611480712,0.2566371560096741,0.9666666388511658,0.5714285373687744,0.05,0.9638888835906982,0.46543243527412415,0.4576525688171386,0.908669650554657,0.8824924826622009,0.8247379064559937,0.01656731404364109,0.7012789249420166,0.906900942325592,0.906900942325592,0.8987341523170471,0.8824924826622009,0.5794702172279358,0.026443980634212497,0.9102563858032228,0.8565718531608582,0.019276630133390427,0.9077844619750975,0.8722429871559143,0.9583333134651184,0.9476001858711244,0.2566371560096741
smart_init_box_adapter_bert_ms,1,8934oy6l,0.9107649922370912,0.8800172209739685,0.5,0.4048582911491394,0.8226546049118042,0.9144384860992432,0.8622457981109619,0.9151936769485474,0.4955752193927765,0.5793421864509583,0.8419851064682007,0.9044586420059204,0.9333333373069764,0.563380241394043,0.5261538624763489,0.4219409823417664,0.25,0.5365853905677795,0.8784103393554688,0.6738273501396179,0.92592591047287,0.025110185146331787,0.9240506291389464,0.8419851064682007,0.8784103393554688,0.4051327407360077,0.5443037748336792,0.011598236858844755,16,0.014961726032197475,0.9135020971298218,0.3414634168148041,0.9333333373069764,0.6769230961799622,0.22,0.9277778267860411,0.5639886260032654,0.5314136743545532,0.9151936769485474,0.881630003452301,0.8226546049118042,0.015924852341413498,0.6821520328521729,0.906378984451294,0.906378984451294,0.8987341523170471,0.881630003452301,0.6679688096046448,0.02540013939142227,0.9102563858032228,0.8622457981109619,0.0187508761882782,0.9107649922370912,0.8800172209739685,0.9166666865348816,0.920516848564148,0.33734938502311707
smart_init_box_adapter_bert_ms,0,o589rgs2,0.9112507104873656,0.8806805610656738,0.5090909004211426,0.4166666567325592,0.822414219379425,0.9144384860992432,0.8629112243652344,0.9161157608032228,0.4909091293811798,0.5793421864509583,0.8421761989593506,0.9044586420059204,0.9333333373069764,0.5747126340866089,0.5377358198165894,0.4219409823417664,0.25,0.5625,0.8797332048416138,0.6798838973045349,0.92592591047287,0.02511018328368664,0.9240506291389464,0.8421761989593506,0.8797332048416138,0.4166666865348816,0.5548523664474487,0.011598237790167332,7,0.01525168213993311,0.9135020971298218,0.3499999940395355,0.8999999761581421,0.703125,0.2,0.9236111044883728,0.5742660164833069,0.5400640964508057,0.9161157608032228,0.881630003452301,0.822414219379425,0.015924854204058647,0.6903766393661499,0.9064370393753052,0.9064370393753052,0.8987341523170471,0.881630003452301,0.6772277355194092,0.02540013939142227,0.9102563858032228,0.8629112243652344,0.018976949155330654,0.9112507104873656,0.8806805610656738,0.9375,0.917391836643219,0.3375000059604645
no_init_kenn_horizontal_adapter_bert_ms,2,21fegqlo,0.9060072302818298,0.8819082379341125,0.1666666716337204,0.23232322931289673,0.8498169183731079,0.7433155179023743,0.8711123466491699,0.901380181312561,0.7200000286102295,0.6908961534500122,0.8603328466415405,0.9090908765792848,0.5333333611488342,0.34074074029922485,0.37365591526031494,0.7194092869758606,0.375,0.2888889014720917,0.8712392449378967,0.5746569037437439,0.6388888955116272,0.02076084539294243,0.6645569801330566,0.8603328466415405,0.8712392449378967,0.32921814918518066,0.8227849006652832,0.019774995744228363,24,0.022616561502218246,0.7552742958068848,0.09876543283462524,0.8999999761581421,0.3768116235733032,0.13,0.6583333611488342,0.43893465399742126,0.4802469313144684,0.901380181312561,0.8928417563438416,0.8498169183731079,0.01899123005568981,0.7875855565071106,0.910681962966919,0.910681962966919,0.8860759735107422,0.8928417563438416,0.4973165988922119,0.018267223611474037,0.9333333373069764,0.8711123466491699,0.021649008616805077,0.9060072302818298,0.8819082379341125,0.5416666865348816,0.7152689695358276,0.6000000238418579
no_init_kenn_horizontal_adapter_bert_ms,1,wq8spoq1,0.8958987593650818,0.8715798258781433,0.5,0.1910112351179123,0.8591117858886719,0.8288770318031311,0.8661059141159058,0.8800336122512817,0.414814829826355,0.7498798966407776,0.8625946640968323,0.9090908765792848,0.8999999761581421,0.30741408467292786,0.29807692766189575,0.7405063509941101,0.375,0.11450381577014924,0.8481942415237427,0.5548296570777893,0.7870370149612427,0.02255857177078724,0.7594937086105347,0.8625946640968323,0.8481942415237427,0.24244146049022677,0.8354430198669434,0.02035490609705448,51,0.022964511066675183,0.8206751346588135,0.3461538553237915,0.9333333373069764,0.19354838132858276,0.03,0.819444477558136,0.3741782605648041,0.41516441106796265,0.8800336122512817,0.8962914943695068,0.8591117858886719,0.02061256393790245,0.8279932737350464,0.912346363067627,0.912346363067627,0.8860759735107422,0.8962914943695068,0.4384724199771881,0.020876824855804443,0.9333333373069764,0.8661059141159058,0.022759729996323586,0.8958987593650818,0.8715798258781433,0.625,0.8361023664474487,0.2666666805744171
no_init_kenn_horizontal_adapter_bert_ms,0,32h1ddda,0.9149318337440492,0.8960487842559814,0.43478262424468994,0.4731182754039765,0.8376374244689941,0.6096256971359253,0.8804551959037781,0.9221468567848206,0.6486486792564392,0.5050711631774902,0.8585126996040344,0.9090908765792848,0.3333333432674408,0.4378109276294708,0.6785714030265808,0.5569620132446289,0.375,0.3030303120613098,0.9048142433166504,0.5784552097320557,0.40740740299224854,0.017455346882343292,0.46202534437179565,0.8585126996040344,0.9048142433166504,0.4911616444587707,0.8860759735107422,0.015309672802686691,71,0.02435629814863205,0.6350211501121521,0.625,0.800000011920929,0.24691356718540192,0.64,0.4472222626209259,0.46816322207450867,0.6017045974731445,0.9221468567848206,0.8874514698982239,0.8376374244689941,0.01388330664485693,0.7398303747177124,0.9078288078308104,0.9078288078308104,0.8860759735107422,0.8874514698982239,0.642253577709198,0.012700069695711136,0.9333333373069764,0.8804551959037781,0.020336326211690903,0.9149318337440492,0.8960487842559814,0.2083333283662796,0.5569356679916382,0.5454545617103577
smart_init_kenn_hybrid_adapter_bert_ms,2,cdae6mm8,0.9172900915145874,0.8981984257698059,0.563380241394043,0.550000011920929,0.8469322919845581,0.7272727489471436,0.8839850425720215,0.9240663647651672,0.4571428596973419,0.525875985622406,0.8650620579719543,0.9090908765792848,0.6666666865348816,0.5789474248886108,0.6974359154701233,0.4599156379699707,0.375,0.7692307829856873,0.9042832255363464,0.6623371243476868,0.6111111044883728,0.020122941583395004,0.6139240264892578,0.8650620579719543,0.9042832255363464,0.5523452758789062,0.7162447571754456,0.01264207810163498,22,0.019688008353114128,0.7320675849914551,0.4878048896789551,0.5333333611488342,0.6896551847457886,0.53,0.6083333492279053,0.5789889097213745,0.647592306137085,0.9240663647651672,0.892194926738739,0.8469322919845581,0.01445518620312214,0.7240697741508484,0.9106124639511108,0.9106124639511108,0.8860759735107422,0.892194926738739,0.7120419144630432,0.016875434666872025,0.9333333373069764,0.8839850425720215,0.01990309916436672,0.9172900915145874,0.8981984257698059,0.625,0.6777690052986145,0.4000000059604645
smart_init_kenn_top_down_adapter_bert_ms,2,3cqo7q5y,0.9167840480804444,0.8967686295509338,0.555555522441864,0.4921875,0.8447688221931458,0.7112299203872681,0.8809449672698975,0.9232486486434937,0.320000022649765,0.4120990037918091,0.8624777793884277,0.9090908765792848,0.6666666865348816,0.5338983535766602,0.6551724076271057,0.3248945474624634,0.375,0.7560975551605225,0.9020506143569946,0.6281710267066956,0.5833333134651184,0.01948503777384758,0.5632911324501038,0.8624777793884277,0.9020506143569946,0.49965155124664307,0.6867088675498962,0.008930642157793045,8,0.018876131623983383,0.7088607549667358,0.4761904776096344,0.4000000059604645,0.6966292262077332,0.28,0.5708333253860474,0.5328758358955383,0.60807204246521,0.9232486486434937,0.8915480971336365,0.8447688221931458,0.011327703483402727,0.6976090669631958,0.910409450531006,0.910409450531006,0.8860759735107422,0.8915480971336365,0.6820512413978577,0.015483645722270012,0.9333333373069764,0.8809449672698975,0.019175751134753227,0.9167840480804444,0.8967686295509338,0.6458333134651184,0.6496440172195435,0.2666666805744171
