name,instance,run_id,test_incremental_LOCATION-REGION/macro_types/recall,epoch,test/macro_example/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test_incremental_LOCATION/macro_types/recall,test_incremental_LOCATION-CONTINENT/macro_types/recall,test_incremental_only/micro/recall,test/micro/recall,test_incremental/macro_example/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_LOCATION-CONTINENT/macro_types/f1,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_LOCATION-REGION/macro_types/precision,test/macro_types/f1,threshold_incremental,test_pretraining/micro/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/macro_example/precision,test_incremental/micro/recall,test_incremental_LOCATION/macro_types/f1,test_incremental_LOCATION/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/f1,test_incremental_LOCATION-REGION/macro_types/f1,test_incremental_LOCATION-RIVER/macro_types/recall,test_incremental_LOCATION-RIVER/macro_types/precision,test/macro_types/precision,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test/micro/f1,test/micro/precision,test_incremental_LOCATION-CONTINENT/macro_types/precision,test_pretraining/micro/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/micro/f1,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_LOCATION-RIVER/macro_types/f1,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,threshold_pretraining,test_incremental_only/macro_example/recall
no_init_box_kenn_top_down_adapter_bert_ms,0,x4b0whd5,0.3958333432674408,29,0.8314599990844727,0.6499999761581421,0.7585570812225342,0.7471264600753784,0.8426012992858887,0.8961039185523987,0.8666666746139526,0.6018518805503845,0.8414217233657837,0.12129931896924973,0.8373222351074219,0.1174992173910141,0.8095238208770752,0.9285714626312256,0.8373222351074219,0.7931700944900513,0.6321839094161987,0.42222222685813904,0.8319553136825562,0.01,0.8414217233657837,0.820609450340271,0.8636363744735718,0.820609450340271,0.7748091816902161,0.8990228176116943,0.901960790157318,0.6848658919334412,0.8314599990844727,0.40860214829444885,0.6666666865348816,0.9523809552192688,0.8266568183898926,0.70652174949646,0.8357051014900208,0.061262957751750946,0.8165836930274963,0.7931700944900513,1.0,0.8165836930274963,0.6430555582046509,0.7096112370491028,0.800788938999176,0.8319553136825562,0.8285714387893677,0.8426012992858887,0.05615771189332008,0.706317663192749,0.8191410303115845,0.791534423828125,0.7843137383460999,0.8266568183898926,0.12535344064235687,0.175,0.05183788761496544
no_init_box_kenn_bottom_up_adapter_bert_ms,0,nuolmwgs,0.1875,30,0.8303329944610596,0.5714285373687744,0.7010676860809326,0.5057471394538879,0.8339616656303406,0.8961039185523987,0.7333333492279053,0.40740740299224854,0.8270676732063293,0.11786691844463348,0.8070590496063232,0.1077599748969078,0.7424242496490479,0.8461538553237915,0.8070590496063232,0.8034528493881226,0.3965517282485962,0.8181818127632141,0.8279746174812317,0.01,0.8270676732063293,0.82673579454422,0.8961039185523987,0.82673579454422,0.694656491279602,0.8990228176116943,0.901960790157318,0.4445420801639557,0.8303329944610596,0.305084764957428,0.4333333373069763,1.0,0.8500031232833862,0.95652174949646,0.8120571970939636,0.04147031158208847,0.815089225769043,0.8034528493881226,1.0,0.815089225769043,0.4513888955116272,0.6097745895385742,0.7895877957344055,0.8279746174812317,0.9145728349685668,0.8339616656303406,0.036451611667871475,0.5625676512718201,0.9300356507301332,0.9393939971923828,0.604651153087616,0.8500031232833862,0.13006597757339478,0.175,0.032516494393348694
no_init_kenn_hybrid_adapter_bert_ms,2,dhdud1mb,0.6041666865348816,28,0.7601238489151001,0.22250640392303467,0.4638347327709198,0.8754788637161255,0.8579955697059631,0.8961039185523987,1.0,0.8055555820465088,0.8646616339683533,0.11098921298980712,0.8765463829040527,0.12818096578121185,0.8831168413162231,0.20338982343673703,0.8765463829040527,0.5834870934486389,0.8620689511299133,0.1442786008119583,0.7814702987670898,0.01,0.8646616339683533,0.6822943687438965,0.674242377281189,0.6822943687438965,0.8587786555290222,0.8874598741531372,0.8789808750152588,0.868722140789032,0.7601238489151001,0.2329317182302475,0.9333333373069764,0.13461539149284363,0.7050011157989502,0.1290801167488098,0.7646723985671997,0.07178762555122375,0.6967777609825134,0.5834870934486389,0.11320754885673524,0.6967777609825134,0.845833420753479,0.2264147847890854,0.4117108881473541,0.7814702987670898,0.27075812220573425,0.8579955697059631,0.07123357802629471,0.8584010004997253,0.3177706003189087,0.1307005137205124,0.2352941334247589,0.7050011157989502,0.09786365181207655,0.25,0.07068803161382675
no_init_kenn_top_down_adapter_bert_ms,2,f4w4xiir,0.5625,28,0.7974828481674194,0.34355828166007996,0.5282503962516785,0.8965517282485962,0.8568959832191467,0.8961039185523987,0.9666666388511658,0.7777777910232544,0.8626110553741455,0.1177891045808792,0.8725990056991577,0.1269242912530899,0.874458909034729,0.35151514410972595,0.8725990056991577,0.6730666756629944,0.8333333730697632,0.2288135588169098,0.7885238528251648,0.08,0.8626110553741455,0.7457743883132935,0.7570346593856812,0.7457743883132935,0.847328245639801,0.8874598741531372,0.8789808750152588,0.8637873530387878,0.7974828481674194,0.32530122995376587,0.9333333373069764,0.21875,0.7192262411117554,0.22047244012355804,0.811521053314209,0.07351554930210114,0.7561414837837219,0.6730666756629944,0.21481481194496155,0.7561414837837219,0.8208333253860474,0.3479830026626587,0.5550000071525574,0.7885238528251648,0.4126394093036651,0.8568959832191467,0.07082893699407578,0.8396509885787964,0.38533979654312134,0.22079280018806455,0.35443034768104553,0.7192262411117554,0.10988061130046844,0.25,0.0683317631483078
no_init_kenn_bottom_up_adapter_bert_ms,2,mcz46zcn,0.5416666865348816,26,0.826481819152832,0.6377952694892883,0.7327755689620972,0.8620690107345581,0.8556393384933472,0.8961039185523987,0.9666666388511658,0.75,0.8605604767799377,0.12137281149625778,0.8679938316345215,0.12551051378250122,0.8647186756134033,0.8529411554336548,0.8679938316345215,0.7676829099655151,0.7988505959510803,0.3939394056797027,0.8204508423805237,0.1,0.8605604767799377,0.7992460131645203,0.8095238208770752,0.7992460131645203,0.8358778357505798,0.8874598741531372,0.8789808750152588,0.8292565941810608,0.826481819152832,0.45614033937454224,0.8666666746139526,0.6190476417541504,0.7778455018997192,0.5547945499420166,0.8362114429473877,0.07068803161382675,0.8114727139472961,0.7676829099655151,0.7631579041481018,0.8114727139472961,0.7916667461395264,0.6774587631225586,0.7752212285995483,0.8204508423805237,0.7227723002433777,0.8556393384933472,0.06799748539924622,0.8177759647369385,0.6637814044952393,0.5920483469963074,0.7222222685813904,0.7778455018997192,0.1174992099404335,0.25,0.06550423800945282
no_init_kenn_hybrid_adapter_bert_ms,1,zlfweo2b,0.6041666865348816,22,0.8223152756690979,0.6014493107795715,0.7307353019714355,0.902298867702484,0.8565818071365356,0.8961039185523987,0.8999999761581421,0.7685185074806213,0.8619275689125061,0.11713289469480516,0.8695288896560669,0.12676720321178436,0.8733766674995422,0.8709677457809448,0.8695288896560669,0.7587244510650635,0.8333333730697632,0.3258427083492279,0.8201940655708313,0.15000000000000002,0.8619275689125061,0.7906849384307861,0.75,0.7906849384307861,0.8435114622116089,0.8874598741531372,0.8789808750152588,0.8664459586143494,0.8223152756690979,0.42335769534111023,0.8999999761581421,0.5744680762290955,0.7761568427085876,0.494047611951828,0.8070000410079956,0.07398680597543716,0.8070400953292847,0.7587244510650635,0.84375,0.8070400953292847,0.8013889193534851,0.6738641858100891,0.7529812455177307,0.8201940655708313,0.6800000071525574,0.8565818071365356,0.07104692608118057,0.8250676393508911,0.6557604074478149,0.5813536047935486,0.701298713684082,0.7761568427085876,0.1088595613837242,0.25,0.0683317631483078
no_init_kenn_top_down_adapter_bert_ms,1,r0189l2p,0.6041666865348816,28,0.8197765350341797,0.5627118945121765,0.6989408731460571,0.9080459475517272,0.8565818071365356,0.8961039185523987,0.8999999761581421,0.7685185074806213,0.8619275689125061,0.12127695977687836,0.8695288896560669,0.12676720321178436,0.8733766078948975,0.8571428060531616,0.8695288896560669,0.7501487135887146,0.8333333134651184,0.3580246865749359,0.8143386840820312,0.21,0.8619275689125061,0.7860037684440613,0.8008657693862915,0.7860037684440613,0.8435114622116089,0.8874598741531372,0.8789808750152588,0.8690868616104126,0.8197765350341797,0.44961240887641907,0.8999999761581421,0.36986300349235535,0.7657362818717957,0.4438502788543701,0.8355509638786316,0.0744580626487732,0.8021628260612488,0.7501487135887146,0.8181818127632141,0.8021628260612488,0.8013889193534851,0.6273057460784912,0.7293729186058044,0.8143386840820312,0.6424418687820435,0.8565818071365356,0.07126349210739136,0.8250676393508911,0.6062625646591187,0.5153565406799316,0.5242717862129211,0.7657362818717957,0.11624253541231155,0.25,0.0683317631483078
no_init_kenn_bottom_up_adapter_bert_ms,1,oz3g7xl6,0.6666666865348816,28,0.8238902688026428,0.6439394354820251,0.7457118630409241,0.890804648399353,0.8570530414581299,0.8961039185523987,0.8999999761581421,0.7870370149612427,0.8632946014404297,0.12106182426214218,0.8710639476776123,0.1272384524345398,0.8766233921051025,0.8852458596229553,0.8710639476776123,0.7654545307159424,0.8390804529190063,0.42105263471603394,0.8231832385063171,0.11,0.8632946014404297,0.7931982278823853,0.7954545617103577,0.7931982278823853,0.8511450290679932,0.8874598741531372,0.8789808750152588,0.8641692996025085,0.8238902688026428,0.5161290168762207,0.8666666746139526,0.5306122303009033,0.7802922129631042,0.5448718070983887,0.8340688943862915,0.0730443000793457,0.811435878276825,0.7654545307159424,0.8709677457809448,0.811435878276825,0.8111111521720886,0.6947224736213684,0.7756521105766296,0.8231832385063171,0.7124600410461426,0.8570530414581299,0.07086025178432465,0.8323593139648438,0.675403356552124,0.6075442433357239,0.658227801322937,0.7802922129631042,0.11545711755752563,0.25,0.06880301237106323
no_init_kenn_hybrid_adapter_bert_ms,0,ck6x9f5m,0.6458333134651184,30,0.8202383518218994,0.5448916554450989,0.6586875915527344,0.8505747318267822,0.8581526875495911,0.8961039185523987,1.0,0.8148148059844971,0.8653451800346375,0.1151595488190651,0.8769849538803101,0.12818096578121185,0.8831169009208679,0.6666666865348816,0.8769849538803101,0.7407841086387634,0.8563218712806702,0.35227271914482117,0.808786928653717,0.05,0.8653451800346375,0.7855324745178223,0.7202380895614624,0.7855324745178223,0.8625954389572144,0.8874598741531372,0.8789808750152588,0.8534386157989502,0.8202383518218994,0.455882340669632,0.8999999761581421,0.4029850661754608,0.7504304051399231,0.40930232405662537,0.7934044599533081,0.0697455182671547,0.7982345819473267,0.7407841086387634,0.5,0.7982345819473267,0.8486111164093018,0.5604841709136963,0.7129337787628174,0.808786928653717,0.6075268983840942,0.8581526875495911,0.06998035311698914,0.8604843020439148,0.5335596799850464,0.4184193015098572,0.5567010045051575,0.7504304051399231,0.10453974455595016,0.25,0.07021677494049072
no_init_kenn_top_down_adapter_bert_ms,0,o2rmqc0e,0.5,30,0.8218082785606384,0.5498281717300415,0.6606299877166748,0.8448275923728943,0.8554822206497192,0.8961039185523987,0.9666666388511658,0.7407407164573669,0.8598769903182983,0.12049179524183272,0.8675551414489746,0.12488219141960144,0.8603896498680115,0.7160494327545166,0.8675551414489746,0.7501490712165833,0.7816091775894165,0.3870967626571655,0.8073543310165405,0.18000000000000002,0.8598769903182983,0.7906848788261414,0.801948070526123,0.7906848788261414,0.8320610523223877,0.8874598741531372,0.8789808750152588,0.8119897842407227,0.8218082785606384,0.4363636374473572,0.8999999761581421,0.3857142925262451,0.7549661993980408,0.437158465385437,0.830141544342041,0.06927426904439926,0.8012738823890686,0.7501490712165833,0.5686274766921997,0.8012738823890686,0.7888889312744141,0.5707745552062988,0.7242525219917297,0.8073543310165405,0.6411764621734619,0.8554822206497192,0.06658163666725159,0.815692663192749,0.5551048517227173,0.4471462070941925,0.5399999618530273,0.7549661993980408,0.1163996160030365,0.25,0.06409047544002533
no_init_kenn_bottom_up_adapter_bert_ms,0,n9ubck3b,0.6458333134651184,30,0.8239056468009949,0.6111111044883728,0.7068145871162415,0.8620689511299133,0.8581526875495911,0.8961039185523987,1.0,0.8148148059844971,0.8653451800346375,0.1204792857170105,0.8769849538803101,0.12818096578121185,0.8831169009208679,0.7792208194732666,0.8769849538803101,0.7562723755836487,0.8563218712806702,0.4078947305679322,0.8168070912361145,0.060000000000000005,0.8653451800346375,0.7922871112823486,0.7830086350440979,0.7922871112823486,0.8625954389572144,0.8874598741531372,0.8789808750152588,0.8591857552528381,0.8239056468009949,0.4999999403953552,0.8999999761581421,0.4736842215061188,0.7643576860427856,0.4888888895511627,0.830055296421051,0.07068802416324615,0.8071405291557312,0.7562723755836487,0.6382978558540344,0.8071405291557312,0.8486111164093018,0.6344693899154663,0.7545909285545349,0.8168070912361145,0.6706231236457825,0.8581526875495911,0.07045160979032516,0.8604843020439148,0.5997143983840942,0.5066255927085876,0.6206896901130676,0.7643576860427856,0.11365064233541489,0.25,0.07021677494049072
no_init_kenn_horizontal_adapter_bert_ms,2,1z8a799r,0.5208333134651184,26,0.8265241384506226,0.6396760940551758,0.7349110841751099,0.8448276519775391,0.855010986328125,0.8961039185523987,0.9666666388511658,0.7314814925193787,0.8591934442520142,0.12192104756832124,0.8651429414749146,0.12456801533699036,0.8582251667976379,0.8787878155708313,0.8651429414749146,0.7697489261627197,0.7758620977401733,0.3968254029750824,0.8206679821014404,0.12,0.8591934442520142,0.7998743057250977,0.822510838508606,0.7998743057250977,0.8282442688941956,0.8874598741531372,0.8789808750152588,0.8088775277137756,0.8265241384506226,0.45045047998428345,0.8333333134651184,0.625,0.7805421352386475,0.568345308303833,0.8399884700775146,0.06927426904439926,0.8120155334472656,0.7697489261627197,0.8055555820465088,0.8120155334472656,0.7736111283302307,0.681585967540741,0.7777777314186096,0.8206679821014404,0.7331081032752991,0.855010986328125,0.06632642447948456,0.8042342662811279,0.6765904426574707,0.6091270446777344,0.7142857313156128,0.7805421352386475,0.11938422918319702,0.25,0.0636192262172699
no_init_kenn_horizontal_adapter_bert_ms,1,f6ah0m4p,0.6041666865348816,22,0.8202983140945435,0.5899280309677124,0.7240300178527832,0.8850574493408203,0.8562676906585693,0.8961039185523987,0.8666666746139526,0.7592592835426331,0.8612440228462219,0.12001483142375946,0.867774486541748,0.12645304203033447,0.8712121248245239,0.8666666746139526,0.867774486541748,0.7572115659713745,0.8275861740112305,0.3258427083492279,0.8187628984451294,0.11,0.8612440228462219,0.787229061126709,0.7867965698242188,0.787229061126709,0.8396946787834167,0.8874598741531372,0.8789808750152588,0.8553575277328491,0.8202983140945435,0.42335769534111023,0.8999999761581421,0.529411792755127,0.7749916315078735,0.48235294222831726,0.8268553614616394,0.07257304340600967,0.8058842420578003,0.7572115659713745,0.8666666746139526,0.8058842420578003,0.7902778387069702,0.6649781465530396,0.7470288872718811,0.8187628984451294,0.6727828979492188,0.8562676906585693,0.07013770937919617,0.8167343139648438,0.6502255201339722,0.5739737749099731,0.6666666865348816,0.7749916315078735,0.11420044302940369,0.25,0.06786050647497177
