name,instance,run_id,test_pretraining/macro_example/precision,test_incremental_LOCATION-CONTINENT/macro_types/f1,test/micro/recall,test/macro_example/recall,test_incremental/macro_example/f1,threshold_incremental,test_incremental_LOCATION/macro_types/recall,test_incremental_LOCATION/macro_types/precision,test_incremental/macro_types/precision,threshold_pretraining,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/precision,test_incremental_LOCATION/macro_types/f1,test/macro_types/f1,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test/macro_types/precision,test_incremental_LOCATION-RIVER/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/f1,test/micro/precision,test_incremental/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental_LOCATION-REGION/macro_types/f1,test/macro_example/precision,test_incremental_LOCATION-REGION/macro_types/recall,test_incremental_LOCATION-CONTINENT/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_LOCATION-RIVER/macro_types/recall,test_incremental_LOCATION-CONTINENT/macro_types/precision,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_LOCATION-REGION/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,epoch,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test/macro_types/recall,test_incremental/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_LOCATION-RIVER/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental/macro_example/precision
kenn_top_down_adapter_bert_ms,0,t0ic0j3x,0.6849939227104187,0.3333333432674408,0.85850989818573,0.8542255163192749,0.10553815960884094,0.060000000000000005,0.8961039185523987,0.8789808750152588,0.32421135902404785,0.25,0.4596866667270661,0.27763494849205017,0.6331169009208679,0.8874598741531372,0.7764850854873657,0.7603065371513367,0.7222222089767456,0.7541667222976685,0.7063570618629456,0.14102564752101898,0.7586207389831543,0.7020682096481323,0.5938534140586853,0.12393967807292938,0.7764850854873657,0.12560386955738068,0.222222238779068,0.6849939227104187,0.5625,0.9666666388511658,0.8538961410522461,0.7333333492279053,0.2013888955116272,0.41538459062576294,0.7603065371513367,0.23514682054519653,0.06220546364784241,0.85850989818573,0.7896509766578674,0.05356581509113312,0.13846154510974884,0.6532567143440247,48,0.7020682096481323,0.5938534140586853,0.13928821682929993,0.8620727062225342,0.8244274854660034,0.05756326392292976,0.7271167635917664,0.8620727062225342,0.7020072340965271,0.07801418751478195,0.21399177610874176,0.8542255163192749,0.7063570618629456,0.09189444035291672
kenn_bottom_up_adapter_bert_ms,0,2b6h0rg6,0.6689130067825317,0.29591837525367737,0.8619275689125061,0.8561105728149414,0.09876054525375366,0.01,0.8961039185523987,0.8789808750152588,0.3153666853904724,0.25,0.4548696279525757,0.2566782832145691,0.5595238208770752,0.8874598741531372,0.7775684595108032,0.751022458076477,0.7685185074806213,0.7888889312744141,0.7044950127601624,0.13333332538604736,0.8045977354049683,0.6888828277587891,0.5737033486366272,0.12598177790641785,0.7775684595108032,0.11789772659540176,0.223776251077652,0.6689130067825317,0.6666666865348816,0.9666666388511658,0.8679653406143188,0.7333333492279053,0.17469879984855652,0.3935886323451996,0.751022458076477,0.21951411664485931,0.06597549468278885,0.8619275689125061,0.815692663192749,0.04869619756937027,0.13445378839969635,0.5938697457313538,48,0.6888828277587891,0.5737033486366272,0.12749530375003815,0.8675551414489746,0.8435114622116089,0.05603398382663727,0.6804217100143433,0.8675551414489746,0.6833569407463074,0.07333333045244217,0.20443348586559296,0.8561105728149414,0.7044950127601624,0.08121269941329956
box_adapter_bert_ms,2,zx6jnlym,0.5055136680603027,0.9180328249931335,0.8516746163368225,0.8485704660415649,0.11476273089647292,0.99,0.8961039185523987,0.901960790157318,0.5110766887664795,0.175,0.6274863481521606,0.18458932638168335,0.7337661981582642,0.8990228176116943,0.8077911138534546,0.6335853934288025,0.7407407164573669,0.7847222089767456,0.7618011832237244,0.05953693389892578,0.7988505959510803,0.6307263970375061,0.5008038878440857,0.1244109272956848,0.8077911138534546,0.07782100886106491,0.2976190447807312,0.5055136680603027,0.5208333134651184,0.9333333373069764,0.8571428656578064,0.8999999761581421,0.9032257795333862,0.3021482825279236,0.6335853934288025,0.5127533078193665,0.06550423800945282,0.8516746163368225,0.8125675916671753,0.07540056109428406,0.2083333283662796,0.9195402264595032,89,0.6307263970375061,0.5008038878440857,0.3807819783687592,0.8596906065940857,0.8320610523223877,0.07010487467050552,0.7906705737113953,0.8596906065940857,0.8549571633338928,0.030786773189902306,0.14084506034851074,0.8485704660415649,0.7618011832237244,0.10650329291820526
box_adapter_bert_ms,1,2oopp1lk,0.5556236505508423,0.7352941036224365,0.8359535336494446,0.8397737741470337,0.11236976832151412,0.98,0.8961039185523987,0.901960790157318,0.4172106087207794,0.175,0.5172151923179626,0.1882239431142807,0.7629870176315308,0.8990228176116943,0.7843779921531677,0.6687674522399902,0.5277777910232544,0.6083333492279053,0.7420399188995361,0.06540881097316742,0.5517241358757019,0.6426694393157959,0.521980345249176,0.11404335498809814,0.7843779921531677,0.0645526647567749,0.09375,0.5556236505508423,0.125,0.8333333134651184,0.7857142686843872,0.8666666746139526,0.6578947305679321,0.3004622459411621,0.6687674522399902,0.3599853217601776,0.045240335166454315,0.8359535336494446,0.6802759766578674,0.05372290313243866,0.07500000298023224,0.6551724076271057,56,0.6426694393157959,0.521980345249176,0.25562721490859985,0.8318397402763367,0.7442747950553894,0.04911808297038078,0.7741839289665222,0.8318397402763367,0.5990147590637207,0.033986929804086685,0.11503532528877258,0.8397737741470337,0.7420399188995361,0.11074457317590714
box_adapter_bert_ms,0,179i6l13,0.5012723803520203,0.7575757503509521,0.8455228805541992,0.8448004722595215,0.11069376021623611,0.99,0.8961039185523987,0.901960790157318,0.44845589995384216,0.175,0.5630520582199097,0.17696866393089294,0.7045454382896423,0.8990228176116943,0.7951493263244629,0.6292008757591248,0.6574074029922485,0.7097222805023193,0.7486178874969482,0.05947136878967285,0.7126436233520508,0.6261706352233887,0.4971864819526672,0.12064090371131896,0.7951493263244629,0.06906614452600479,0.23456791043281555,0.5012723803520203,0.3958333432674408,0.8333333134651184,0.8311688303947449,0.8999999761581421,0.6944444179534912,0.2896742820739746,0.6292008757591248,0.4190458059310913,0.058435436338186264,0.8455228805541992,0.7563176155090332,0.06691800057888031,0.1666666716337204,0.8160919547080994,95,0.6261706352233887,0.4971864819526672,0.29728761315345764,0.8478485345840454,0.7977099418640137,0.062389716506004333,0.7626368999481201,0.8478485345840454,0.7608675956726074,0.030751708894968033,0.1249999925494194,0.8448004722595215,0.7486178874969482,0.1022620126605034
classifier_adapter_bert_ms,2,2ej3xs0x,0.7667586207389832,0.34319525957107544,0.8673957586288452,0.8587810397148132,0.09088832885026932,0.13,0.8961039185523987,0.8789808750152588,0.3870393037796021,0.25,0.5357150435447693,0.4060283601284027,0.48376625776290894,0.8874598741531372,0.7913265228271484,0.8101651668548584,0.8425925970077515,0.8611111640930176,0.7195839881896973,0.3270440399646759,0.8620689511299133,0.7544589638710022,0.6675434112548828,0.12880930304527283,0.7913265228271484,0.223587229847908,0.3850267231464386,0.7667586207389832,0.75,0.9666666388511658,0.887445867061615,0.8666666746139526,0.20863309502601624,0.5544794201850891,0.8101651668548584,0.3543326258659363,0.07068802416324615,0.8673957586288452,0.8698592782020569,0.04335532337427139,0.2589927911758423,0.5287356376647949,19,0.7544589638710022,0.6675434112548828,0.2230587601661682,0.8789587020874023,0.8740457892417908,0.053746264427900314,0.6261851787567139,0.8789587020874023,0.6554574370384216,0.20155039429664612,0.35339805483818054,0.8587810397148132,0.7195839881896973,0.07021677494049072
classifier_adapter_bert_ms,1,3kyhsmm4,0.7711749076843262,0.35036495327949524,0.8571428656578064,0.8532830476760864,0.0958559438586235,0.39,0.8961039185523987,0.8789808750152588,0.38910549879074097,0.25,0.5140893459320068,0.4358452260494232,0.54058438539505,0.8874598741531372,0.7818402051925659,0.8101538419723511,0.7037037014961243,0.7111111879348755,0.7200189828872681,0.29411765933036804,0.7413793206214905,0.7620784044265747,0.6859956383705139,0.12315425276756288,0.7818402051925659,0.227544903755188,0.3786982297897339,0.7711749076843262,0.6666666865348816,0.800000011920929,0.8484848141670227,0.6666666865348816,0.22429905831813812,0.5683931112289429,0.8101538419723511,0.3427780568599701,0.060791704803705215,0.8571428656578064,0.7573593258857727,0.043041154742240906,0.26446279883384705,0.5249042510986328,20,0.7620784044265747,0.6859956383705139,0.22581371665000916,0.8552745580673218,0.8167939186096191,0.05039917677640915,0.6604101061820984,0.8552745580673218,0.6146382689476013,0.18867924809455872,0.3438914120197296,0.8532830476760864,0.7200189828872681,0.07846371084451675
classifier_adapter_bert_ms,0,1ktrsxle,0.7650330066680908,0.251748263835907,0.847573459148407,0.8482563495635986,0.0916592925786972,0.51,0.8961039185523987,0.8789808750152588,0.3546312749385834,0.25,0.4596885144710541,0.395256906747818,0.5167748928070068,0.8874598741531372,0.7683507204055786,0.8044980764389038,0.5740740895271301,0.5722222328186035,0.7127612829208374,0.2064516246318817,0.6264367699623108,0.7501511573791504,0.6728160381317139,0.117813378572464,0.7683507204055786,0.17765043675899506,0.3522012233734131,0.7650330066680908,0.5833333134651184,0.6000000238418579,0.8116883635520935,0.5333333611488342,0.1592920422554016,0.5208333134651184,0.8044980764389038,0.2736794054508209,0.05136663466691971,0.847573459148407,0.6531926393508911,0.02827521413564682,0.2522522509098053,0.3448275923728943,20,0.7501511573791504,0.6728160381317139,0.1798481047153473,0.8333446979522705,0.7633587718009949,0.0364733524620533,0.631496787071228,0.8333446979522705,0.4448072016239166,0.12800000607967377,0.27133479714393616,0.8482563495635986,0.7127612829208374,0.0750078558921814
