name,instance,run_id,test/macro_example/f1,threshold_pretraining,test/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_LOCATION/macro_types/f1,test_incremental_LOCATION-CONTINENT/macro_types/f1,test_incremental_LOCATION-CONTINENT/macro_types/recall,test_incremental_LOCATION-REGION/macro_types/precision,test_incremental_LOCATION/macro_types/precision,threshold_incremental,test_incremental/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_LOCATION-RIVER/macro_types/f1,test_incremental_LOCATION-RIVER/macro_types/precision,test/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_LOCATION-REGION/macro_types/recall,test_pretraining/micro/recall,test_incremental/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_LOCATION/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_pretraining/macro_types/recall,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/recall,test_incremental_only/macro_example/precision,epoch,test/micro/precision,test_incremental_LOCATION-RIVER/macro_types/recall,test/micro/recall,test/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_LOCATION-REGION/macro_types/f1,test/micro/f1,test_incremental/micro/f1,test_incremental/micro/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_LOCATION-CONTINENT/macro_types/precision
no_init_box_kenn_top_down_adapter_bert_ms,0,xwhomu3o,0.8275774717330933,0.175,0.802707314491272,0.117813378572464,0.7333333492279053,0.8409091234207153,0.797182023525238,0.6834120154380798,0.7053807973861694,0.8990228176116943,0.9666666388511658,0.9666666388511658,0.3243243098258972,0.901960790157318,0.01,0.7740259766578674,0.6398541927337646,0.6769230365753174,0.6285714507102966,0.8264201283454895,0.8275774717330933,0.5,0.8482570052146912,0.11989652365446092,0.06079170107841492,0.06536742299795151,0.802707314491272,0.8961039185523987,0.8620689511299133,0.8264201283454895,0.851576566696167,0.809456467628479,0.776110053062439,0.5395683646202087,0.8116883039474487,0.8260403871536255,0.8129770755767822,0.07068802416324615,23,0.776110053062439,0.7333333492279053,0.8482570052146912,0.851576566696167,0.8465284109115601,0.810581386089325,0.7381107807159424,0.8465284109115601,0.3934426009654999,0.810581386089325,0.7689530849456787,0.7294520735740662,0.6944444179534912,0.7413792610168457,0.6072874665260315,0.12205466628074646,0.809456467628479,0.9666666388511658
no_init_box_kenn_bottom_up_adapter_bert_ms,0,d4uml4ga,0.8306813836097717,0.175,0.819785475730896,0.12158341705799104,0.6819444894790649,0.8257575631141663,0.7427055835723877,0.7134537696838379,0.7865021228790283,0.8990228176116943,0.9473683834075928,0.8999999761581421,0.4107142984867096,0.901960790157318,0.01,0.7354843616485596,0.7480159401893616,0.7407407760620117,0.8333333134651184,0.8314554691314697,0.8306813836097717,0.4791666567325592,0.8448393940925598,0.1207132637500763,0.05655042454600334,0.06090046092867851,0.819785475730896,0.8961039185523987,0.8045977354049683,0.8314554691314697,0.8434625267982483,0.8174678087234497,0.7887683510780334,0.6542056202888489,0.8376623392105103,0.8316673040390015,0.7938931584358215,0.06597549468278885,23,0.7887683510780334,0.6666666865348816,0.8448393940925598,0.8434625267982483,0.8443292379379272,0.815841555595398,0.760138213634491,0.8443292379379272,0.442307710647583,0.815841555595398,0.7969349026679993,0.800000011920929,0.6481481194496155,0.6896551847457886,0.6511628031730652,0.11985547840595244,0.8174678087234497,1.0
no_init_kenn_hybrid_adapter_bert_ms,2,4vkhstxe,0.8226515650749207,0.25,0.7615889310836792,0.11514294147491456,0.831944465637207,0.8787878751754761,0.891599178314209,0.6160261034965515,0.5865629315376282,0.8874598741531372,0.8333333730697632,1.0,0.4029850661754608,0.8789808750152588,0.060000000000000005,0.8479843139648438,0.4890902936458587,0.5090909004211426,0.3499999940395355,0.8140848278999329,0.8226515650749207,0.5625,0.8632946014404297,0.12103051692247392,0.06974552571773529,0.0731094554066658,0.7615889310836792,0.8961039185523987,0.9367815852165222,0.8140848278999329,0.8743534088134766,0.7906377911567688,0.7504456043243408,0.44973546266555786,0.7932900786399841,0.8338531851768494,0.8511450290679932,0.07681432366371155,21,0.7504456043243408,0.9333333373069764,0.8632946014404297,0.8743534088134766,0.857367217540741,0.8029243350028992,0.6934539079666138,0.857367217540741,0.469565212726593,0.8029243350028992,0.7335526347160339,0.6445086598396301,0.7870370149612427,0.8505747318267822,0.5723905563354492,0.12755262851715088,0.7906377911567688,0.7142857313156128
no_init_kenn_top_down_adapter_bert_ms,2,4nrualse,0.8101301789283752,0.25,0.7429131269454956,0.11734212934970856,0.8138889074325562,0.8733766078948975,0.8794788718223572,0.5094934701919556,0.49785277247428894,0.8874598741531372,0.6904761791229248,0.9666666388511658,0.3768115937709808,0.8789808750152588,0.12,0.8344426155090332,0.3708100914955139,0.3274853825569153,0.19858156144618988,0.8020867109298706,0.8101301789283752,0.5416666865348816,0.8619275689125061,0.12187271565198898,0.0683317631483078,0.07211560755968094,0.7429131269454956,0.8961039185523987,0.9310344457626344,0.8020867109298706,0.8715025186538696,0.7684574127197266,0.7172923684120178,0.31439393758773804,0.8084415793418884,0.8396554589271545,0.8435114622116089,0.07634307444095612,21,0.7172923684120178,0.9333333373069764,0.8619275689125061,0.8715025186538696,0.8565818071365356,0.7829866409301758,0.6236298084259033,0.8565818071365356,0.4444444477558136,0.7829866409301758,0.6471449732780457,0.5249406099319458,0.7685185074806213,0.8333333730697632,0.4462365508079529,0.12676720321178436,0.7684574127197266,0.5370370149612427
no_init_kenn_bottom_up_adapter_bert_ms,2,wh6e936f,0.8156240582466125,0.25,0.7505595684051514,0.114985853433609,0.831944465637207,0.8787878751754761,0.8863593935966492,0.5575243830680847,0.5341732501983643,0.8874598741531372,0.7792208194732666,1.0,0.3552631437778473,0.8789808750152588,0.04,0.8479843139648438,0.419237345457077,0.4117647409439087,0.2641509473323822,0.8077408671379089,0.8156240582466125,0.5625,0.8632946014404297,0.12094368040561676,0.06974552571773529,0.07267981022596359,0.7505595684051514,0.8961039185523987,0.9252873659133912,0.8077408671379089,0.8743534088134766,0.7777568101882935,0.7330238223075867,0.3711790442466736,0.7922077178955078,0.8332548141479492,0.8511450290679932,0.07587181776762009,20,0.7330238223075867,0.9333333373069764,0.8632946014404297,0.8743534088134766,0.857367217540741,0.7928436398506165,0.6554542779922485,0.857367217540741,0.4354838728904724,0.7928436398506165,0.6882716417312622,0.5777202248573303,0.7870370149612427,0.8505747318267822,0.5044510364532471,0.12755262851715088,0.7777568101882935,0.6382978558540344
no_init_kenn_hybrid_adapter_bert_ms,1,oo779my9,0.8290657997131348,0.25,0.7960447072982788,0.1258246898651123,0.7375000715255737,0.8517315983772278,0.810283899307251,0.7220895886421204,0.750227689743042,0.8874598741531372,0.8666666746139526,0.8666666746139526,0.6052631735801697,0.8789808750152588,0.42,0.7771509885787964,0.7073099613189697,0.7428571581840515,0.6499999761581421,0.8265290856361389,0.8290657997131348,0.4791666567325592,0.8564593195915222,0.1247154027223587,0.06267672032117844,0.06644175201654434,0.7960447072982788,0.8961039185523987,0.8620690107345581,0.8265290856361389,0.8594411611557007,0.8057650327682495,0.7821472883224487,0.6944444179534912,0.8668831586837769,0.8592405319213867,0.8129770755767822,0.07068802416324615,23,0.7821472883224487,0.8666666746139526,0.8564593195915222,0.8594411611557007,0.8537543416023254,0.8176183104515076,0.7634520530700684,0.8537543416023254,0.5348836779594421,0.8176183104515076,0.808349072933197,0.8037735819816589,0.6944444179534912,0.7643678188323975,0.6944444179534912,0.1236255094408989,0.8057650327682495,0.8666666746139526
no_init_kenn_top_down_adapter_bert_ms,1,6y53rovh,0.8236052393913269,0.25,0.781112551689148,0.1258246898651123,0.7486110925674438,0.8538961410522461,0.8185836672782898,0.6738950610160828,0.6793000102043152,0.8874598741531372,0.8852458596229553,0.8999999761581421,0.5111111402511597,0.8789808750152588,0.46,0.7854843139648438,0.6127398014068604,0.5977011322975159,0.45614033937454224,0.8192015886306763,0.8236052393913269,0.4791666567325592,0.8571428656578064,0.12487506866455078,0.06314796954393387,0.06712232530117035,0.781112551689148,0.8961039185523987,0.8735632300376892,0.8192015886306763,0.8611955642700195,0.7952403426170349,0.770743727684021,0.5714285969734192,0.8668831586837769,0.8603406548500061,0.8167939186096191,0.07163053750991821,23,0.770743727684021,0.8666666746139526,0.8571428656578064,0.8611955642700195,0.8540685176849365,0.8116505742073059,0.7285434603691101,0.8540685176849365,0.49462366104125977,0.8116505742073059,0.7753623127937317,0.7379310131072998,0.7037037014961243,0.7701148986816406,0.6307054162025452,0.12393967807292938,0.7952403426170349,0.8709677457809448
no_init_kenn_bottom_up_adapter_bert_ms,1,al2ulgjh,0.8184886574745178,0.25,0.7668704986572266,0.11985547840595244,0.7875000238418579,0.8690476417541504,0.8575711846351624,0.6282253265380859,0.6116499900817871,0.8874598741531372,0.8571428060531616,0.8999999761581421,0.4354838728904724,0.8789808750152588,0.08,0.8146510124206543,0.5225397348403931,0.4655172526836395,0.3139534890651703,0.8140150308609009,0.8184886574745178,0.5625,0.8605604767799377,0.12291692197322844,0.06738924980163574,0.07031922042369843,0.7668704986572266,0.8961039185523987,0.8965517282485962,0.8140150308609009,0.8673359155654907,0.7841658592224121,0.7516418099403381,0.4475138187408447,0.825757622718811,0.8468497395515442,0.8358778357505798,0.07351554930210114,23,0.7516418099403381,0.8999999761581421,0.8605604767799377,0.8673359155654907,0.8559535145759583,0.8024219274520874,0.6987042427062988,0.8559535145759583,0.4909090995788574,0.8024219274520874,0.7300000190734863,0.6479290127754211,0.75,0.8218390941619873,0.5605536103248596,0.1261388659477234,0.7841658592224121,0.8181818127632141
no_init_kenn_hybrid_adapter_bert_ms,0,3j1pn33n,0.8279814124107361,0.25,0.7863970398902893,0.1247251033782959,0.8097222447395325,0.8712121248245239,0.8679489493370056,0.7187831401824951,0.7044013142585754,0.8874598741531372,0.9230769276618958,1.0,0.6000000238418579,0.8789808750152588,0.25,0.831317663192749,0.6462081670761108,0.6190476417541504,0.48148149251937866,0.8264692425727844,0.8279814124107361,0.5625,0.8619275689125061,0.12558312714099884,0.06738924980163574,0.07117016613483429,0.7863970398902893,0.8961039185523987,0.919540286064148,0.8264692425727844,0.8708447217941284,0.8013666272163391,0.7745700478553772,0.6194030046463013,0.8593073487281799,0.8652187585830688,0.8435114622116089,0.07540056109428406,21,0.7745700478553772,0.8666666746139526,0.8619275689125061,0.8708447217941284,0.8564247488975525,0.8159171938896179,0.7626151442527771,0.8564247488975525,0.5806451439857483,0.8159171938896179,0.7992767095565796,0.7594501972198486,0.7685185074806213,0.8218390941619873,0.6859503984451294,0.12645302712917328,0.8013666272163391,0.8571428656578064
no_init_kenn_top_down_adapter_bert_ms,0,iecpfu4f,0.8236356377601624,0.25,0.779558002948761,0.1258246898651123,0.7986111640930176,0.8679653406143188,0.8614962100982666,0.6870870590209961,0.6719158887863159,0.8874598741531372,0.90625,0.9666666388511658,0.6136363744735718,0.8789808750152588,0.34,0.8229842782020569,0.6028943061828613,0.49056604504585266,0.34210526943206787,0.8218930959701538,0.8236356377601624,0.5625,0.8612440228462219,0.1259031891822815,0.06644675135612488,0.07064106315374374,0.779558002948761,0.8961039185523987,0.919540286064148,0.8218930959701538,0.8690903186798096,0.7936694622039795,0.7645630836486816,0.5324675440788269,0.8668831586837769,0.8674238920211792,0.8396946787834167,0.07540056109428406,21,0.7645630836486816,0.8666666746139526,0.8612440228462219,0.8690903186798096,0.8559534549713135,0.8100289702415466,0.7398168444633484,0.8559534549713135,0.5869565606117249,0.8100289702415466,0.7678883075714111,0.7073954939842224,0.7592592835426331,0.8103448152542114,0.6259542107582092,0.12598177790641785,0.7936694622039795,0.8529411554336548
