name,instance,run_id,test_incremental_only/macro_types/f1,test/micro/recall,test/macro_example/precision,test_pretraining/micro/precision,test_incremental_PRODUCT/macro_types/f1,test/micro/f1,test/micro/precision,test_incremental/macro_example/recall,test_incremental_PRODUCT-VEHICLE/macro_types/recall,test_incremental_PRODUCT-VEHICLE/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_example/f1,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_PRODUCT-WEAPON/macro_types/f1,test/macro_types/recall,test_incremental/macro_types/f1,test_incremental_PRODUCT-WEAPON/macro_types/precision,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,epoch,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_pretraining/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_PRODUCT-VEHICLE/macro_types/precision,test_incremental/micro/recall,test_incremental_PRODUCT/macro_types/precision,threshold_pretraining,test_incremental_PRODUCT-WEAPON/macro_types/recall,test/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_example/precision,test_incremental_only/micro/recall,test/macro_types/f1,test_incremental_PRODUCT/macro_types/recall,test/macro_example/recall,threshold_incremental
no_init_box_kenn_top_down_adapter_bert_ms,0,weavrsgv,0.8349514603614807,0.8544169664382935,0.8279924392700195,0.8043912053108215,0.9493670463562012,0.8286496996879578,0.8043912053108215,0.06503298878669739,0.8333333134651184,0.9090909361839294,0.7166667580604553,0.8383084535598755,0.8540263772010803,1.0,0.04052780196070671,0.991342067718506,0.04052780196070671,0.75,0.8562938570976257,0.8770702481269836,1.0,0.8488847017288208,0.8929758071899414,0.8518518805503845,30,0.8517708778381348,0.7166666984558105,0.8544169664382935,0.04052780196070671,1.0,0.8279924392700195,0.9382716417312622,0.9042145609855652,0.8286496996879578,0.8562938570976257,0.06817251443862915,0.7864197492599487,0.7166667580604553,0.9833333492279052,0.7166667580604553,1.0,0.8368794322013855,0.9740259647369384,0.175,0.6000000238418579,0.8517708778381348,0.8349514007568359,0.8383084535598755,0.07163053750991821,0.7166666388511658,0.8540263772010803,0.92592591047287,0.8488847017288208,0.01
no_init_box_kenn_bottom_up_adapter_bert_ms,0,ob26hwlj,0.8349514603614807,0.8544169664382935,0.8279924392700195,0.8043912053108215,0.9493670463562012,0.8286496996879578,0.8043912053108215,0.06503298878669739,0.8333333134651184,0.9090909361839294,0.7166667580604553,0.8383084535598755,0.8540263772010803,1.0,0.04052780196070671,0.991342067718506,0.04052780196070671,0.75,0.8562938570976257,0.8770702481269836,1.0,0.8488847017288208,0.8929758071899414,0.8518518805503845,55,0.8517708778381348,0.7166666984558105,0.8544169664382935,0.04052780196070671,1.0,0.8279924392700195,0.9382716417312622,0.9042145609855652,0.8286496996879578,0.8562938570976257,0.06817251443862915,0.7864197492599487,0.7166667580604553,0.9833333492279052,0.7166667580604553,1.0,0.8368794322013855,0.9740259647369384,0.175,0.6000000238418579,0.8517708778381348,0.8349514007568359,0.8383084535598755,0.07163053750991821,0.7166666388511658,0.8540263772010803,0.92592591047287,0.8488847017288208,0.01
no_init_kenn_hybrid_adapter_bert_ms,2,0c3nl7j7,0.5193082094192505,0.8699646592140198,0.7841815948486328,0.7478736042976379,0.9161290526390076,0.8043122887611389,0.7478736042976379,0.06738924980163574,0.8999999761581421,0.43548384308815,0.8706539273262024,0.8207169771194458,0.8185177445411682,0.3486842215061188,0.048539113253355026,0.5649898052215576,0.04923584684729576,0.5909090638160706,0.8824194073677063,0.6884854435920715,0.4482758641242981,0.8608231544494629,0.8304070830345154,0.8827161192893982,25,0.7632460594177246,0.8833333253860474,0.8699646592140198,0.04995287209749222,0.3677549362182617,0.7841815948486328,0.783950686454773,0.6757493615150452,0.8043122887611389,0.8824194073677063,0.06339582055807114,0.8810700178146362,0.8833333849906921,0.5486725568771362,0.8583333492279053,0.28723403811454773,0.8794326186180115,0.9594594836235046,0.25,0.8666666746139526,0.7632460594177246,0.5,0.8207169771194458,0.05984920263290405,0.8833333253860474,0.8185177445411682,0.8765432238578796,0.8608231544494629,0.04
no_init_kenn_top_down_adapter_bert_ms,2,tmtosphv,0.212654247879982,0.8720847964286804,0.7046968340873718,0.6260781288146973,0.9161290526390076,0.7288835644721985,0.6260781288146973,0.06880301237106323,0.9666666388511658,0.18831168115139008,0.9032257795333862,0.7755473256111145,0.8047074675559998,0.11740042269229888,0.04948161914944649,0.3998181521892547,0.05107779800891876,0.235807865858078,0.8879749774932861,0.5563674569129944,0.13567839562892914,0.8622368574142456,0.8313972353935242,0.9012346267700196,25,0.7357174754142761,0.9333332777023317,0.8720847964286804,0.0527803935110569,0.11999747157096864,0.7046968340873718,0.7716050148010254,0.36705201864242554,0.7288835644721985,0.8879749774932861,0.06347141414880753,0.9144033193588256,0.9333333373069764,0.2304900139570236,0.875,0.10431654751300812,0.9007092118263245,0.9594594836235046,0.25,0.8999999761581421,0.7357174754142761,0.2085660994052887,0.7755473256111145,0.058906689286231995,0.9333333373069764,0.8047074675559998,0.8765432238578796,0.8622368574142456,0.04
no_init_kenn_bottom_up_adapter_bert_ms,2,agvkwc3q,0.5256398320198059,0.8699646592140198,0.7855953574180603,0.7496954798698425,0.9161290526390076,0.805364727973938,0.7496954798698425,0.06738924980163574,0.8999999761581421,0.44999998807907104,0.8749207258224487,0.8214905858039856,0.8189253211021423,0.3581081032752991,0.04901036620140076,0.5692451596260071,0.04947713389992714,0.5909090638160706,0.8824194073677063,0.6916356682777405,0.4482758641242981,0.8608231544494629,0.8372821807861328,0.8827161192893982,25,0.763955295085907,0.8833333253860474,0.8699646592140198,0.04995287209749222,0.3741379380226135,0.7855953574180603,0.7962963581085205,0.6831956505775452,0.805364727973938,0.8824194073677063,0.06392069905996323,0.8810699582099915,0.8833333849906921,0.5585585832595825,0.8666666746139526,0.30000001192092896,0.8794326186180115,0.9594594836235046,0.25,0.8666666746139526,0.763955295085907,0.5096153616905212,0.8214905858039856,0.060791708528995514,0.8833333253860474,0.8189253211021423,0.8765432238578796,0.8608231544494629,0.04
no_init_kenn_hybrid_adapter_bert_ms,1,6i4gs678,0.7210522294044495,0.8699646592140198,0.8053094148635864,0.7786211371421814,0.9161290526390076,0.8217623829841614,0.7786211371421814,0.06738925725221634,0.8999999761581421,0.7297297716140747,0.8663462400436401,0.8320680856704712,0.8336933851242065,0.6091954112052917,0.048067860305309296,0.7259156703948975,0.04899224266409874,0.7123287916183472,0.8824194073677063,0.7960027456283569,0.604651153087616,0.860666036605835,0.8222560882568359,0.8827161192893982,17,0.7900670766830444,0.8833333253860474,0.8699646592140198,0.04995287209749222,0.6091437339782715,0.8053094148635864,0.7695473432540894,0.8211920857429504,0.8217623829841614,0.8824194073677063,0.06277354806661606,0.8810700178146362,0.8833333849906921,0.7701863646507263,0.8500000834465027,0.6136363744735718,0.8794326186180115,0.9594594836235046,0.25,0.8666666746139526,0.7900670766830444,0.7210884690284729,0.8320680856704712,0.05874960869550705,0.8833333253860474,0.8336933851242065,0.8765432238578796,0.860666036605835,0.16
no_init_kenn_top_down_adapter_bert_ms,1,d597ajdw,0.5386497974395752,0.8713780641555786,0.7830034494400024,0.7463680505752563,0.9161290526390076,0.8040430545806885,0.7463680505752563,0.0683317631483078,0.8999999761581421,0.6352941393852234,0.8996914029121399,0.8204275369644165,0.8209803700447083,0.34810125827789307,0.04995287209749222,0.5740711092948914,0.05087792873382568,0.42105263471603394,0.8861230611801147,0.7019992470741272,0.27184465527534485,0.8616085648536682,0.8393253684043884,0.8950617909431458,17,0.7647596001625061,0.9166666269302368,0.8713780641555786,0.05183788761496544,0.38137686252593994,0.7830034494400024,0.790123462677002,0.6756032109260559,0.8040430545806885,0.8861230611801147,0.06407666951417923,0.9032922387123108,0.9166667461395264,0.5431034564971924,0.8833333849906921,0.4909090995788574,0.8936170339584351,0.9594594836235046,0.25,0.9333333373069764,0.7647596001625061,0.5045871734619141,0.8204275369644165,0.060320451855659485,0.9166666865348816,0.8209803700447083,0.8765432238578796,0.8616085648536682,0.2
no_init_kenn_bottom_up_adapter_bert_ms,1,31mgb8d0,0.6579310297966003,0.8706713914871216,0.7987276315689087,0.7699999809265137,0.9161290526390076,0.8172470927238464,0.7699999809265137,0.06786050647497177,0.8999999761581421,0.7105262875556946,0.8830189108848572,0.8287591338157654,0.8288652896881104,0.5094339847564697,0.04901036620140076,0.6654720306396484,0.04993509128689766,0.6000000238418579,0.8842712640762329,0.7623283267021179,0.44999998807907104,0.8611372709274292,0.8319650292396545,0.888888955116272,17,0.7799931168556213,0.8999999761581421,0.8706713914871216,0.05089538171887398,0.518478274345398,0.7987276315689087,0.7818930149078369,0.7788161635398865,0.8172470927238464,0.8842712640762329,0.06351476162672043,0.8921810984611511,0.9000000953674316,0.6944444179534912,0.8666667342185974,0.5869565010070801,0.8865247964859009,0.9594594836235046,0.25,0.8999999761581421,0.7799931168556213,0.6506024599075317,0.8287591338157654,0.05969211086630821,0.8999999761581421,0.8288652896881104,0.8765432238578796,0.8611372709274292,0.1
no_init_kenn_hybrid_adapter_bert_ms,0,gf6j9wms,0.3263731598854065,0.8727915287017822,0.7431824803352356,0.6922645568847656,0.9161290526390076,0.7721162438392639,0.6922645568847656,0.06927426904439926,0.9666666388511658,0.34319525957107544,0.9109589457511902,0.7984299063682556,0.8105697631835938,0.19655172526836395,0.049481622874736786,0.45117437839508057,0.051515113562345505,0.3093922734260559,0.889826774597168,0.6066271662712097,0.1854304671287537,0.8625510334968567,0.8279673457145691,0.9074074625968932,21,0.7442768216133118,0.949999988079071,0.8727915287017822,0.05372290313243866,0.19703178107738495,0.7431824803352356,0.7613168954849243,0.5069307088851929,0.7721162438392639,0.889826774597168,0.06320956349372864,0.9255144596099854,0.9500000476837158,0.35164836049079895,0.8750000596046448,0.20863309502601624,0.907801389694214,0.9594594836235046,0.25,0.9333333373069764,0.7442768216133118,0.3257142901420593,0.7984299063682556,0.05812126770615578,0.949999988079071,0.8105697631835938,0.8765432238578796,0.8625510334968567,0.02
no_init_kenn_top_down_adapter_bert_ms,0,ndom3qa0,0.428757905960083,0.8685512542724609,0.7752120494842529,0.7350478172302246,0.9161290526390076,0.7962422966957092,0.7350478172302246,0.06644675135612488,0.8999999761581421,0.4319999814033508,0.8373134732246399,0.8153541088104248,0.8117325305938721,0.28651684522628784,0.046654097735881805,0.5109422206878662,0.047350428998470306,0.4247787594795227,0.8787157535552979,0.6407136917114258,0.28915661573410034,0.8598806262016296,0.8191721439361572,0.8703703880310059,32,0.7542381286621094,0.8500000238418579,0.8685512542724609,0.048067860305309296,0.2866835594177246,0.7752120494842529,0.7736625671386719,0.6208651065826416,0.7962422966957092,0.8787157535552979,0.06253811717033386,0.8588477969169617,0.8500000834465027,0.4841269850730896,0.8250000476837158,0.28421053290367126,0.8652482032775879,0.9594594836235046,0.25,0.800000011920929,0.7542381286621094,0.4285714328289032,0.8153541088104248,0.05906377732753754,0.8500000238418579,0.8117325305938721,0.8765432238578796,0.8598806262016296,0.08
no_init_kenn_bottom_up_adapter_bert_ms,0,571h695n,0.3230224549770355,0.8727915287017822,0.7415017485618591,0.6911023855209351,0.9161290526390076,0.7713928818702698,0.6911023855209351,0.06927426904439926,0.9666666388511658,0.331428587436676,0.9154545664787292,0.7974589467048645,0.8104090690612793,0.19453924894332889,0.04995287209749222,0.4495495557785034,0.05176933854818344,0.3146067261695862,0.889826774597168,0.6051567196846008,0.18918919563293457,0.8625510334968567,0.8316043615341187,0.9074074625968932,20,0.7440060377120972,0.949999988079071,0.8727915287017822,0.05372290313243866,0.1945945918560028,0.7415017485618591,0.7674897313117981,0.5039370059967041,0.7713928818702698,0.889826774597168,0.0634872317314148,0.9255144596099854,0.9500000476837158,0.3487738370895386,0.8833333849906921,0.20000000298023224,0.907801389694214,0.9594594836235046,0.25,0.9333333373069764,0.7440060377120972,0.322946161031723,0.7974589467048645,0.058592524379491806,0.949999988079071,0.8104090690612793,0.8765432238578796,0.8625510334968567,0.02
no_init_kenn_horizontal_adapter_bert_ms,2,wtfxczkl,0.7010409832000732,0.869257926940918,0.8024661540985107,0.7765151262283325,0.9161290526390076,0.8202733993530273,0.7765151262283325,0.06691800057888031,0.8999999761581421,0.6585366129875183,0.8582525253295898,0.8304014801979065,0.8315936923027039,0.5777778029441833,0.048067860305309296,0.7121950387954712,0.048534538596868515,0.7352941036224365,0.8805675506591797,0.7832112908363342,0.6578947305679321,0.8603518009185791,0.8816573023796082,0.8765432834625244,24,0.7877802848815918,0.8666666746139526,0.869257926940918,0.04901036620140076,0.5885627269744873,0.8024661540985107,0.8868312835693359,0.8065573573112488,0.8202733993530273,0.8805675506591797,0.06730842590332031,0.8699588775634766,0.8666667342185974,0.75,0.8500000238418579,0.5192307829856873,0.8723404407501221,0.9594594836235046,0.25,0.8333333134651184,0.7877802848815918,0.6933333873748779,0.8304014801979065,0.06770342588424683,0.8666666746139526,0.8315936923027039,0.8765432238578796,0.8603518009185791,0.060000000000000005
no_init_kenn_horizontal_adapter_bert_ms,1,mqvy8npo,0.542704164981842,0.8713780641555786,0.7796104550361633,0.7477259039878845,0.9161290526390076,0.8048303127288818,0.7477259039878845,0.0683317631483078,0.8999999761581421,0.6352941393852234,0.8865415453910828,0.8185611367225647,0.8212413191795349,0.35483869910240173,0.04853910952806473,0.5767895579338074,0.05013429373502731,0.4307692348957062,0.8861230611801147,0.7040280103683472,0.2800000011920929,0.8616085648536682,0.8496600389480591,0.8950617909431458,17,0.7652126550674438,0.9166666269302368,0.8713780641555786,0.05183788761496544,0.3854545354843139,0.7796104550361633,0.8086420297622681,0.6810811161994934,0.8048303127288818,0.8861230611801147,0.06486565619707108,0.9032922387123108,0.9166667461395264,0.5502183437347412,0.85833340883255,0.4909090995788574,0.8936170339584351,0.9594594836235046,0.25,0.9333333373069764,0.7652126550674438,0.5116279125213623,0.8185611367225647,0.06173420697450638,0.9166666865348816,0.8212413191795349,0.8765432238578796,0.8616085648536682,0.03
no_init_kenn_horizontal_adapter_bert_ms,0,k6xe25sa,0.7309694886207581,0.8671377897262573,0.8059220910072327,0.7825255393981934,0.9161290526390076,0.8226617574691772,0.7825255393981934,0.06550423800945282,0.8666666746139526,0.7647058963775635,0.808247447013855,0.8315859436988831,0.8335776329040527,0.662162184715271,0.045240335166454315,0.7608529925346375,0.04570673033595085,0.696969747543335,0.8750120401382446,0.7969421744346619,0.6388888955116272,0.8589380979537964,0.8631380796432495,0.8580247163772583,20,0.7958899140357971,0.8166666626930237,0.8671377897262573,0.046182844787836075,0.6615496873855591,0.8059220910072327,0.8683127760887146,0.8304498195648193,0.8226617574691772,0.8750120401382446,0.06589461117982864,0.8366255760192871,0.8166667222976685,0.8108108043670654,0.8000000715255737,0.6842105388641357,0.8510638475418091,0.9594594836235046,0.25,0.7666666507720947,0.7958899140357971,0.7313432693481445,0.8315859436988831,0.06628966331481934,0.8166666626930237,0.8335776329040527,0.8765432238578796,0.8589380979537964,0.13
