metric,projector,instance,family,subset,precision,recall,f1,epoch
test_incremental_only/micro,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.3777777850627899,0.5483871102333069,56
test_incremental_only/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.3777778148651123,0.3777778148651123,0.3777778148651123,56
test/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.7656172513961792,0.6503655910491943,0.7033010721206665,56
test_incremental/micro,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.41111111640930176,0.5826771855354309,56
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.30000001192092896,0.46153849363327026,56
test/micro,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.84932941198349,0.7863795161247253,0.8166431784629822,56
test_pretraining/micro,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.84932941198349,0.7863795161247253,0.8166431784629822,56
test_incremental/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.39444443583488464,0.5657370090484619,56
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,1.0,0.7333333492279053,0.8461538553237915,56
test_incremental/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,1,location/geography,10,0.02417365461587906,0.018253576010465625,0.02080058678984642,56
test/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8575938940048218,0.8015146255493164,0.8286064863204956,58
test_incremental/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.588888943195343,0.444444477558136,0.5065711140632629,58
test_pretraining/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8575938940048218,0.8015146255493164,0.8286064863204956,58
test_incremental_location-geography-island/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,1.0,0.10000000149011612,0.1818181872367859,58
test_incremental_location-geography/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,58
test_incremental_only/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.9047619104385376,0.4444444477558136,0.5960784554481506,58
test_pretraining/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.7599029541015625,0.6543655395507812,0.7031964659690857,58
test_incremental_only/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.019733596593141556,0.019733596593141556,0.019733596593141556,58
test_incremental_only/micro,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.8695651888847351,0.4444444477558136,0.5882352590560913,58
test_incremental_only/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.444444477558136,0.444444477558136,0.444444477558136,58
test/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.7599029541015625,0.6543655395507812,0.7031964659690857,58
test_incremental/micro,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.930232584476471,0.4444444477558136,0.6015037894248962,58
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.7142857313156128,0.5,0.5882353186607361,58
test/micro,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.848453164100647,0.7875436544418335,0.8168644905090332,58
test_pretraining/micro,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.848453164100647,0.7875436544418335,0.8168644905090332,58
test_incremental/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.9285714626312256,0.4444444477558136,0.6011560559272766,58
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,1.0,0.7333333492279053,0.8461538553237915,58
test_incremental/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,1,location/geography,10,0.026147015392780304,0.019733596593141556,0.0224920567125082,58
test/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8584983348846436,0.8005279898643494,0.8285002708435059,56
test_incremental/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.5444445013999939,0.41111114621162415,0.46847546100616455,56
test_pretraining/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.8584983348846436,0.8005279898643494,0.8285002708435059,56
test_incremental_location-geography-island/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.10000000149011612,0.1818181872367859,56
test_incremental_location-geography/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,56
test_incremental_only/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.3777777850627899,0.5483871102333069,56
test_pretraining/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.7656172513961792,0.6503655910491943,0.7033010721206665,56
