metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental_only/macro_example,classifier_adapter_bert_ms,location/geography,10,0.010551992182930311,0.029600394268830616,0.01555575244128704,0.0007900859763417961,0.0013052547616590384,0.0010367094853054625
test_incremental_location-geography-body_of_water/macro_types,classifier_adapter_bert_ms,location/geography,10,0.3789348304271698,0.7888888915379842,0.511605421702067,0.03026326031930003,0.019245025032274446,0.029792894255764184
test_incremental_location-geography/macro_types,classifier_adapter_bert_ms,location/geography,10,1.0,0.644444465637207,0.7837837934494019,0.0,0.0,0.0
test/micro,classifier_adapter_bert_ms,location/geography,10,0.837654709815979,0.8529297510782877,0.8452224135398865,0.0014592247923905632,0.0005133442559788267,0.0004904418927930748
test_incremental/micro,classifier_adapter_bert_ms,location/geography,10,0.47817814350128174,0.6555555661519369,0.5527617732683817,0.013435641083435037,0.01469862315080832,0.0035920552122392308
test_pretraining/micro,classifier_adapter_bert_ms,location/geography,10,0.837654709815979,0.8529297510782877,0.8452224135398865,0.0014592247923905632,0.0005133442559788267,0.0004904418927930748
test/macro_types,classifier_adapter_bert_ms,location/geography,10,0.8312062422434489,0.8055227796236674,0.8181619842847189,0.000434810884552416,0.0017638415368201104,0.0007000159204047159
test_incremental_location-geography-mountain/macro_types,classifier_adapter_bert_ms,location/geography,10,0.23578418294588724,0.5000000099341074,0.3202969928582509,0.029637548918282193,0.08819171074429517,0.04553762371887333
test_pretraining/macro_example,classifier_adapter_bert_ms,location/geography,10,0.855555534362793,0.861643373966217,0.8585883577664694,0.0008035225296084382,0.00043509172601861987,0.0002222229535034475
test/macro_example,classifier_adapter_bert_ms,location/geography,10,0.855555534362793,0.861643373966217,0.8585883577664694,0.0008035225296084382,0.00043509172601861987,0.0002222229535034475
test_incremental_only/micro,classifier_adapter_bert_ms,location/geography,10,0.31775952378908795,0.6666666666666666,0.4301072259744008,0.006919705262708123,0.029397246301616668,0.0004941180414102314
test_incremental/macro_example,classifier_adapter_bert_ms,location/geography,10,0.01628021647532781,0.029107054074605305,0.02087804116308689,0.00014241450927272867,0.0006526270288230536,5.918023355587931e-05
test_pretraining/macro_types,classifier_adapter_bert_ms,location/geography,10,0.8312062422434489,0.8055227796236674,0.8181619842847189,0.000434810884552416,0.0017638415368201104,0.0007000159204047159
test_incremental/macro_types,classifier_adapter_bert_ms,location/geography,10,0.4886174003283183,0.6611111164093018,0.5617423057556152,0.005435224356071476,0.022047906565662648,0.0045088511405031485
test_incremental_only/macro_types,classifier_adapter_bert_ms,location/geography,10,0.31815656026204425,0.6666666865348816,0.4304620623588562,0.007246977131898373,0.02939725756583933,0.00029429638536263307
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.6259259780248007,0.6518518924713135,0.6384821931521097,0.0756317872228774,0.08037976191119338,0.07723323593334144
test_incremental/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.7074074149131775,0.6481481790542603,0.6761677463849386,0.03745138249554842,0.04018988095559669,0.03487187530520608
test_incremental_location-geography-island/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.46776991089185077,0.5777777830759684,0.5060894787311554,0.11697741884234407,0.08388706007038475,0.047498101240152496
test_incremental_only/macro_example,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.027791481465101242,0.0289426085849603,0.02834898481766383,0.003358095184074746,0.0035689087020421223,0.003429200484360205
test_incremental_location-geography-body_of_water/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.6649717340866724,0.7555555502573649,0.6490581731001536,0.4114788257003248,0.05091751769361268,0.2979658552725214
test_incremental_location-geography/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,1.0,0.644444465637207,0.7837837934494019,0.0,0.0,0.0
test/micro,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.8467432061831156,0.8526710669199625,0.8496554295221964,0.013058960968729058,0.0014035941230504563,0.00591359593313425
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.6867973903814951,0.6481481393178304,0.6474699974060059,0.23556397138874124,0.040189861730542335,0.10520089250852398
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.8467432061831156,0.8526710669199625,0.8496554295221964,0.013058960968729058,0.0014035941230504563,0.00591359593313425
test/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.8473682999610901,0.804633895556132,0.8253755370775858,0.014529358605049938,0.004822817628385116,0.004522379592021413
test_incremental_location-geography-mountain/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.6298309067885081,0.6222222248713175,0.5798260470231374,0.25209380410035587,0.15752719496915157,0.08228550911197073
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.8579844435056051,0.8614789446194967,0.8597048123677572,0.00984556609516291,0.0011054242490454056,0.004417290131609468
test/macro_example,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.8579844435056051,0.8614789446194967,0.8597048123677572,0.00984556609516291,0.0011054242490454056,0.004417290131609468
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.555182933807373,0.6518518527348837,0.5649835566679636,0.25521549486821987,0.08037974268613396,0.1379460849493433
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.03140930707255999,0.028778161232670147,0.03002224676311016,0.0016628623286844794,0.0017844538789774937,0.0015483303325815147
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.8473682999610901,0.804633895556132,0.8253755370775858,0.014529358605049938,0.004822817628385116,0.004522379592021413
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,location/geography,10,0.6906431217988332,0.649999996026357,0.6552329460779825,0.1816173122467625,0.06028482898609617,0.06444437505778626
